,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,4.332B,,4.332B,3.769B,5.865B,9.634B,1.328B,4.138B,77.00M,,5.543B,955.00M,20.46B,,,,,,,,,3.533B,11.96B,702.00M,12.66B,565.00M,16.76B,37.22B,,2018-03,2.851B,665.00M,3.516B,,2.498B,2.498B,,2.498B,7.095B,7.095B,,1.521B,15.24B,3.981B,,3.981B,249.00M,555.00M,804.00M,4.359B,1.059B,10.20B,2018-03,482.00M,27.60B,2.82B,15.74B,,2018-03,AOR,Restated
2017-12,2.983B,,2.983B,3.617B,5.24B,8.857B,1.357B,3.872B,74.00M,,5.303B,1.185B,18.33B,0.00,357.00M,2.837B,4.736B,,307.00M,8.237B,-4.72B,3.517B,11.91B,702.00M,12.62B,585.00M,16.72B,35.05B,,2017-12,3.207B,786.00M,3.993B,,2.00M,2.00M,,2.00M,6.992B,6.992B,,1.497B,13.10B,3.98B,,3.98B,244.00M,814.00M,1.058B,4.408B,1.066B,10.51B,2017-12,482.00M,26.44B,2.872B,15.54B,,2017-12,AOR,Restated
2017-09,2.722B,,2.722B,3.391B,5.609B,9.00B,1.865B,3.884B,32.00M,,5.781B,577.00M,18.08B,,,,,,,,,3.461B,11.92B,715.00M,12.63B,740.00M,16.83B,34.91B,,2017-09,2.718B,795.00M,3.513B,,903.00M,903.00M,,903.00M,6.61B,6.61B,,1.549B,13.21B,3.979B,,3.979B,212.00M,636.00M,848.00M,4.211B,1.103B,10.14B,2017-09,482.00M,26.06B,2.841B,15.17B,,2017-09,AOR,Restated
2017-06,1.856B,,1.856B,3.69B,5.045B,8.735B,1.885B,3.917B,37.00M,,5.839B,696.00M,17.13B,,,,,,,,,3.424B,11.68B,685.00M,12.36B,879.00M,16.67B,33.79B,,2017-06,2.62B,692.00M,3.312B,,989.00M,989.00M,,989.00M,6.822B,6.822B,,1.745B,13.50B,2.989B,,2.989B,202.00M,695.00M,897.00M,4.31B,1.142B,9.338B,2017-06,482.00M,25.55B,2.796B,14.95B,,2017-06,AOR,Restated
2017-03,2.168B,,2.168B,3.483B,4.557B,8.04B,1.982B,3.775B,65.00M,,5.822B,584.00M,16.61B,,,,,,,,,3.412B,11.53B,679.00M,12.21B,974.00M,16.60B,33.21B,,2017-03,2.466B,639.00M,3.105B,,901.00M,901.00M,,901.00M,6.686B,6.686B,,1.846B,13.16B,2.988B,,2.988B,187.00M,765.00M,952.00M,4.359B,1.164B,9.463B,2017-03,482.00M,25.05B,2.762B,14.45B,,2017-03,AOR,Restated
2016-12,2.334B,,2.334B,3.399B,4.212B,7.611B,1.429B,3.643B,46.00M,,5.118B,1.471B,16.53B,0.00,333.00M,2.745B,4.582B,,269.00M,7.929B,-4.452B,3.477B,11.44B,678.00M,12.12B,1.038B,16.64B,33.17B,,2016-12,2.538B,693.00M,3.231B,,900.00M,900.00M,,900.00M,6.827B,6.827B,,1.852B,13.45B,2.988B,,2.988B,183.00M,719.00M,902.00M,4.393B,1.138B,9.421B,2016-12,482.00M,24.54B,2.819B,14.16B,,2016-12,AOR,Restated
2016-09,2.303B,,2.303B,3.502B,,3.502B,6.593B,2.204B,73.00M,,8.87B,622.00M,15.30B,,,,,,,,,3.445B,11.58B,715.00M,12.30B,1.63B,17.37B,32.67B,,2016-09,2.276B,741.00M,3.017B,,1.00M,1.00M,,1.00M,5.249B,6.297B,1.048B,1.897B,11.89B,3.885B,,3.885B,88.00M,359.00M,447.00M,4.011B,1.115B,9.458B,2016-09,482.00M,24.66B,2.789B,13.72B,,2016-09,AOR,Restated
2016-06,1.899B,,1.899B,3.539B,,3.539B,6.331B,2.079B,106.00M,,8.516B,432.00M,14.39B,,,,,,,,,3.44B,11.57B,733.00M,12.30B,1.638B,17.38B,31.77B,,2016-06,2.128B,649.00M,2.777B,,537.00M,537.00M,,537.00M,5.365B,6.191B,826.00M,1.944B,12.14B,2.899B,,2.899B,86.00M,394.00M,480.00M,4.149B,1.111B,8.639B,2016-06,482.00M,24.21B,2.756B,13.49B,,2016-06,AOR,Restated
2016-03,1.907B,,1.907B,3.654B,,3.654B,6.051B,2.055B,103.00M,,8.209B,418.00M,14.19B,,,,,,,,,3.477B,11.60B,759.00M,12.35B,1.683B,17.51B,31.70B,,2016-03,2.15B,607.00M,2.757B,,501.00M,501.00M,,501.00M,5.56B,6.379B,819.00M,2.132B,12.42B,2.899B,,2.899B,84.00M,415.00M,499.00M,4.199B,1.10B,8.697B,2016-03,482.00M,23.69B,2.74B,13.39B,,2016-03,AOR,Restated
2015-12,2.785B,,2.785B,3.446B,,3.446B,5.733B,1.889B,101.00M,,7.723B,617.00M,14.57B,0.00,328.00M,2.666B,4.394B,,288.00M,7.676B,-4.21B,3.466B,11.44B,763.00M,12.21B,1.754B,17.43B,32.00B,,2015-12,1.964B,648.00M,2.612B,,501.00M,501.00M,,501.00M,5.674B,6.503B,829.00M,2.156B,12.44B,2.898B,,2.898B,75.00M,506.00M,581.00M,4.251B,1.084B,8.814B,2015-12,482.00M,23.20B,2.73B,12.39B,,2015-12,AOR,Restated
2015-09,3.372B,,3.372B,3.796B,,3.796B,5.529B,1.882B,43.00M,,7.454B,666.00M,15.29B,,,,,,,,,3.37B,11.53B,800.00M,12.33B,1.989B,17.69B,32.98B,,2015-09,2.387B,732.00M,3.119B,,501.00M,501.00M,,501.00M,5.871B,6.744B,873.00M,2.109B,13.18B,2.912B,,2.912B,81.00M,557.00M,638.00M,4.432B,1.086B,9.068B,2015-09,482.00M,22.66B,2.697B,11.92B,,2015-09,AOR,Restated
2015-06,4.032B,,4.032B,3.595B,,3.595B,5.598B,1.992B,42.00M,,7.632B,514.00M,15.77B,,,,,,,,,3.329B,11.64B,841.00M,12.48B,2.067B,17.88B,33.65B,,2015-06,2.275B,645.00M,2.92B,,2.00M,2.00M,,2.00M,6.104B,6.875B,771.00M,2.207B,12.71B,3.411B,,3.411B,89.00M,580.00M,669.00M,4.537B,1.053B,9.67B,2015-06,482.00M,22.14B,2.657B,10.91B,,2015-06,AOR,Restated
2015-03,4.412B,,4.412B,3.661B,,3.661B,5.771B,1.98B,90.00M,,7.841B,438.00M,16.35B,,,,,,,,,3.323B,11.70B,893.00M,12.59B,2.118B,18.03B,34.38B,,2015-03,2.266B,601.00M,2.867B,,1.00M,1.00M,,1.00M,6.487B,7.226B,739.00M,2.295B,13.11B,3.41B,,3.41B,85.00M,594.00M,679.00M,4.595B,1.069B,9.753B,2015-03,482.00M,21.62B,2.588B,9.949B,,2015-03,AOR,Restated
2014-12,4.388B,,4.388B,4.05B,,4.05B,5.881B,1.828B,103.00M,,7.812B,1.157B,17.41B,0.00,331.00M,2.518B,4.182B,,261.00M,7.292B,-3.963B,3.329B,11.73B,912.00M,12.64B,1.958B,17.93B,35.34B,,2014-12,2.057B,718.00M,2.775B,,501.00M,501.00M,,501.00M,7.335B,8.064B,729.00M,1.682B,13.75B,3.392B,,3.392B,82.00M,617.00M,699.00M,4.596B,1.07B,9.757B,2014-12,482.00M,21.13B,2.548B,9.396B,,2014-12,AOR,Restated
2014-09,5.105B,,5.105B,4.181B,,4.181B,5.68B,1.843B,52.00M,,7.575B,1.308B,18.17B,,,,,,,,,3.322B,11.76B,929.00M,12.68B,1.135B,17.14B,35.31B,,2014-09,2.505B,720.00M,3.225B,,,501.00M,,501.00M,7.99B,8.553B,563.00M,1.624B,14.67B,3.41B,,3.41B,92.00M,502.00M,594.00M,2.612B,1.015B,7.631B,2014-09,482.00M,20.63B,2.467B,9.233B,,2014-09,AOR,Restated
2014-06,3.841B,,3.841B,4.474B,,4.474B,6.115B,1.906B,71.00M,,8.092B,776.00M,17.18B,,,,,,,,,3.327B,11.93B,983.00M,12.91B,912.00M,17.15B,34.33B,,2014-06,2.659B,698.00M,3.357B,,,501.00M,,501.00M,6.694B,7.015B,321.00M,1.567B,13.22B,3.409B,,3.409B,91.00M,592.00M,683.00M,2.915B,984.00M,7.991B,2014-06,482.00M,20.14B,2.415B,8.816B,,2014-06,AOR,Restated
2014-03,4.296B,,4.296B,4.286B,,4.286B,6.109B,1.688B,69.00M,,7.866B,516.00M,16.96B,,,,,,,,,3.408B,11.95B,1.184B,13.13B,880.00M,17.42B,34.38B,,2014-03,2.365B,607.00M,2.972B,,,502.00M,,502.00M,6.502B,6.83B,328.00M,1.526B,12.62B,3.409B,,3.409B,97.00M,594.00M,691.00M,3.02B,949.00M,8.069B,2014-03,482.00M,19.81B,2.325B,7.723B,,2014-03,AOR,Restated
2013-12,5.301B,,5.301B,4.37B,,4.37B,5.99B,1.633B,47.00M,,7.67B,821.00M,18.16B,0.00,329.00M,2.496B,4.082B,,245.00M,7.152B,-3.793B,3.359B,11.93B,1.044B,12.98B,997.00M,17.33B,35.49B,,2013-12,2.216B,801.00M,3.017B,,1.00M,1.00M,,1.00M,6.584B,6.884B,300.00M,1.557B,12.26B,3.908B,,3.908B,135.00M,677.00M,812.00M,3.076B,938.00M,8.734B,2013-12,482.00M,19.43B,2.226B,6.45B,,2013-12,AOR,Restated
2013-09,4.065B,,4.065B,4.365B,,4.365B,6.313B,1.674B,112.00M,,8.099B,589.00M,17.12B,,,,,,,,,3.365B,12.01B,1.248B,13.26B,1.732B,18.35B,35.47B,,2013-09,2.443B,765.00M,3.208B,,,,,,6.266B,6.609B,343.00M,1.402B,12.06B,3.908B,,3.908B,131.00M,680.00M,811.00M,5.292B,790.00M,10.80B,2013-09,482.00M,19.13B,2.161B,6.50B,,2013-09,AOR,Restated
2013-06,3.757B,,3.757B,4.289B,,4.289B,6.27B,1.657B,118.00M,,8.045B,447.00M,16.54B,,,,,,,,,3.351B,11.91B,1.27B,13.18B,1.663B,18.19B,34.73B,,2013-06,2.444B,754.00M,3.198B,,,,,,6.113B,6.32B,207.00M,1.466B,11.84B,3.907B,,3.907B,136.00M,724.00M,860.00M,5.606B,761.00M,11.13B,2013-06,482.00M,18.68B,2.043B,6.557B,,2013-06,AOR,Restated
2013-03,3.745B,,3.745B,4.261B,,4.261B,6.19B,1.62B,126.00M,,7.936B,408.00M,16.35B,,,,,,,,,3.374B,11.93B,1.31B,13.24B,1.641B,18.26B,34.61B,,2013-03,2.503B,661.00M,3.164B,,,,,,5.958B,6.079B,121.00M,1.64B,11.77B,3.909B,,3.909B,132.00M,839.00M,971.00M,5.642B,736.00M,11.26B,2013-03,482.00M,18.23B,1.961B,6.201B,,2013-03,AOR,Restated
2012-12,3.296B,,3.296B,4.204B,,4.204B,6.073B,1.518B,149.00M,,7.74B,504.00M,15.74B,0.00,340.00M,2.442B,3.966B,,255.00M,7.003B,-3.60B,3.403B,12.05B,1.383B,13.43B,1.731B,18.56B,34.31B,,2012-12,2.469B,835.00M,3.304B,,,,,,6.042B,6.215B,173.00M,1.205B,11.62B,3.908B,,3.908B,144.00M,849.00M,993.00M,5.671B,727.00M,11.30B,2012-12,482.00M,17.86B,1.988B,6.165B,,2012-12,AOR,Restated
2012-09,2.874B,,2.874B,4.339B,,4.339B,1.065B,1.457B,139.00M,,2.661B,5.719B,15.59B,,,,,,,,,3.345B,13.99B,1.734B,15.72B,845.00M,19.91B,35.50B,,2012-09,2.54B,,2.54B,,,1.001B,,1.001B,5.523B,5.523B,,3.129B,12.19B,2.924B,,2.924B,,,,,6.114B,9.038B,2012-09,482.00M,20.17B,1.971B,6.194B,,2012-09,AOR,Restated
2012-06,2.54B,,2.54B,4.571B,,4.571B,1.051B,1.487B,110.00M,,2.648B,5.768B,15.53B,,,,,,,,,3.248B,13.76B,1.738B,15.50B,928.00M,19.68B,35.20B,,2012-06,2.559B,,2.559B,,,1.028B,,1.028B,5.398B,5.398B,,3.194B,12.18B,2.905B,,2.905B,,,,,6.457B,9.362B,2012-06,482.00M,19.75B,1.939B,6.208B,,2012-06,AOR,Restated
2012-03,2.632B,,2.632B,4.686B,,4.686B,1.041B,1.31B,93.00M,,2.444B,5.748B,15.51B,,,,,,,,,3.29B,13.76B,1.783B,15.54B,967.00M,19.80B,35.31B,,2012-03,2.509B,,2.509B,,,3.00M,,3.00M,5.299B,5.299B,,3.142B,10.95B,3.905B,,3.905B,,,,,6.597B,10.50B,2012-03,482.00M,19.30B,1.897B,5.71B,,2012-03,AOR,Restated
2011-12,2.649B,,2.649B,4.429B,,4.429B,6.199B,1.202B,77.00M,,7.478B,812.00M,15.37B,0.00,321.00M,2.172B,3.712B,,313.00M,6.518B,-3.234B,3.284B,13.58B,1.813B,15.39B,842.00M,19.52B,34.88B,,2011-12,2.895B,845.00M,3.74B,,,,,,5.011B,5.142B,131.00M,1.413B,11.14B,3.907B,,3.907B,170.00M,1.132B,1.302B,4.627B,670.00M,10.51B,2011-12,482.00M,18.92B,1.888B,5.743B,,2011-12,AOR,Restated
2011-09,1.54B,,1.54B,4.119B,,4.119B,993.00M,1.424B,89.00M,,2.506B,5.875B,14.04B,,,,,,,,,3.063B,13.45B,2.044B,15.50B,807.00M,19.37B,33.41B,,2011-09,2.584B,,2.584B,,,222.00M,,222.00M,4.69B,4.69B,,2.986B,10.48B,3.907B,,3.907B,,,,,5.40B,9.307B,2011-09,482.00M,18.48B,1.853B,5.758B,,2011-09,AOR,Restated
2011-06,2.157B,,2.157B,4.229B,,4.229B,988.00M,1.305B,89.00M,,2.382B,5.905B,14.67B,,,,,,,,,3.048B,12.89B,1.945B,14.83B,807.00M,18.69B,33.36B,,2011-06,2.63B,,2.63B,,,772.00M,,772.00M,4.865B,4.865B,,3.226B,11.49B,2.409B,,2.409B,,,,,5.534B,7.943B,2011-06,482.00M,18.00B,1.82B,5.417B,,2011-06,AOR,Restated
2011-03,2.484B,,2.484B,4.237B,,4.237B,961.00M,1.204B,108.00M,,2.273B,5.801B,14.80B,,,,,,,,,2.993B,12.72B,1.943B,14.67B,650.00M,18.31B,33.10B,,2011-03,2.51B,,2.51B,,,792.00M,,792.00M,4.731B,4.731B,,3.219B,11.25B,2.411B,,2.411B,,,,,5.564B,7.975B,2011-03,482.00M,17.52B,1.781B,4.647B,,2011-03,AOR,Restated
2010-12,2.613B,,2.613B,3.848B,,3.848B,965.00M,1.124B,69.00M,,2.158B,5.567B,14.19B,0.00,283.00M,2.084B,3.388B,,204.00M,5.959B,-2.988B,2.971B,12.65B,1.992B,14.64B,747.00M,18.36B,32.54B,,2010-12,2.736B,,2.736B,,,773.00M,,773.00M,4.465B,4.465B,,3.203B,11.18B,2.43B,,2.43B,,,,,5.622B,8.052B,2010-12,482.00M,17.08B,1.729B,4.535B,,2010-12,AOR,Restated
2010-09,1.843B,,1.843B,3.874B,,3.874B,939.00M,976.00M,71.00M,4.986B,6.972B,701.00M,13.39B,,,,,,,,,2.918B,12.54B,2.011B,14.56B,620.00M,18.09B,31.48B,,2010-09,2.571B,,2.571B,,,774.00M,,774.00M,4.08B,4.08B,,2.886B,10.31B,2.43B,,2.43B,,,,,5.16B,7.59B,2010-09,482.00M,16.50B,1.662B,4.077B,,2010-09,AOR,Restated
2010-06,1.853B,,1.853B,3.545B,,3.545B,942.00M,950.00M,75.00M,4.893B,6.86B,908.00M,13.17B,,,,,,,,,2.85B,12.32B,2.018B,14.33B,522.00M,17.71B,30.87B,,2010-06,2.396B,,2.396B,,,703.00M,,703.00M,3.74B,3.74B,,2.956B,9.795B,3.159B,,3.159B,,,,,5.079B,8.238B,2010-06,482.00M,16.01B,1.631B,3.917B,,2010-06,AOR,Restated
2010-03,2.025B,,2.025B,3.738B,,3.738B,955.00M,940.00M,90.00M,4.692B,6.677B,913.00M,13.35B,,,,,,,,,2.85B,12.29B,2.032B,14.32B,536.00M,17.71B,31.06B,,2010-03,2.25B,,2.25B,,,704.00M,,704.00M,4.102B,4.102B,,2.881B,9.937B,3.159B,,3.159B,,,,,5.184B,8.343B,2010-03,482.00M,15.53B,1.599B,3.56B,,2010-03,AOR,Restated
2009-12,2.263B,,2.263B,3.678B,,3.678B,1.129B,907.00M,90.00M,,2.126B,5.182B,13.25B,0.00,270.00M,2.069B,3.195B,,143.00M,5.677B,-2.765B,2.912B,12.27B,2.098B,14.37B,549.00M,17.83B,31.08B,,2009-12,2.365B,,2.365B,,,705.00M,,705.00M,4.313B,4.313B,,2.988B,10.37B,3.159B,,3.159B,,,,,5.124B,8.283B,2009-12,482.00M,15.09B,1.518B,3.463B,,2009-12,AOR,Restated
2009-09,1.409B,,1.409B,3.851B,,3.851B,1.124B,890.00M,62.00M,36.00M,2.112B,4.856B,12.23B,,,,,,,,,2.874B,12.41B,1.846B,14.26B,417.00M,17.55B,29.78B,,2009-09,2.316B,,2.316B,,,705.00M,,705.00M,,,,6.806B,9.827B,3.159B,,3.159B,,,,,5.071B,8.23B,2009-09,482.00M,14.63B,1.457B,3.412B,,2009-09,AOR,Restated
2009-06,1.614B,,1.614B,3.649B,,3.649B,1.138B,831.00M,125.00M,4.452B,6.546B,489.00M,12.30B,,,,,,,,,2.857B,11.74B,1.566B,13.30B,398.00M,16.56B,28.86B,,2009-06,2.427B,,2.427B,,,55.00M,,55.00M,3.862B,3.862B,,2.916B,9.26B,3.86B,,3.86B,,,,,4.737B,8.597B,2009-06,482.00M,14.20B,1.414B,3.437B,,2009-06,AOR,Restated
2009-03,1.126B,,1.126B,3.795B,,3.795B,1.034B,851.00M,152.00M,4.284B,6.321B,588.00M,11.83B,,,,,,,,,2.84B,11.53B,1.606B,13.14B,474.00M,16.45B,28.28B,,2009-03,2.596B,,2.596B,3.679B,,,770.00M,770.00M,,,,3.035B,10.08B,3.112B,,3.112B,,,,,4.816B,7.928B,2009-03,482.00M,13.73B,1.383B,3.439B,,2009-03,AOR,Restated
2008-12,1.621B,,1.621B,3.469B,,3.469B,1.001B,876.00M,100.00M,4.341B,6.318B,542.00M,11.95B,0.00,227.00M,1.863B,2.957B,,293.00M,5.34B,-2.468B,2.872B,11.41B,1.617B,13.03B,521.00M,16.42B,28.37B,,2008-12,2.443B,,2.443B,,,911.00M,,911.00M,4.154B,4.154B,,2.852B,10.36B,3.113B,,3.113B,,,,,4.847B,7.96B,2008-12,482.00M,13.29B,1.346B,3.349B,,2008-12,AOR,Restated
2008-09,2.617B,,2.617B,3.103B,,3.103B,835.00M,834.00M,,56.00M,1.725B,4.814B,12.26B,,,,,,,4.823B,-2.257B,2.566B,9.134B,924.00M,10.06B,1.163B,13.79B,26.05B,,2008-09,2.064B,,2.064B,,,22.00M,,22.00M,,,,6.467B,8.553B,2.117B,,2.117B,,,,,3.242B,5.359B,2008-09,482.00M,12.81B,1.315B,3.019B,,2008-09,,Restated
2008-06,2.74B,,2.74B,7.467B,,7.467B,812.00M,828.00M,,32.00M,1.672B,569.00M,12.45B,,,,,,,4.803B,-2.257B,2.546B,8.986B,920.00M,9.906B,1.189B,13.64B,26.09B,,2008-06,2.115B,,2.115B,,,172.00M,,172.00M,,,,6.419B,8.706B,2.117B,,2.117B,,,,,3.082B,5.199B,2008-06,482.00M,12.31B,1.255B,2.545B,,2008-06,,Restated
2008-03,2.605B,,2.605B,7.357B,,7.357B,797.00M,814.00M,,52.00M,1.663B,565.00M,12.19B,,,,,,,4.744B,-2.257B,2.487B,8.979B,954.00M,9.933B,1.097B,13.52B,25.71B,,2008-03,2.091B,,2.091B,,,673.00M,,673.00M,,,,6.292B,9.056B,2.117B,,2.117B,990.00M,,990.00M,,1.767B,4.874B,2008-03,482.00M,11.81B,1.19B,2.399B,,2008-03,,
2007-12,2.891B,,2.891B,2.874B,,2.874B,804.00M,774.00M,30.00M,4.337B,5.945B,588.00M,12.30B,0.00,221.00M,1.576B,2.64B,,292.00M,4.729B,-2.257B,2.472B,8.942B,972.00M,9.914B,1.049B,13.44B,25.73B,,2007-12,2.318B,,2.318B,,,673.00M,,673.00M,3.44B,3.44B,,2.733B,9.164B,2.118B,,2.118B,,,,,2.683B,4.801B,2007-12,482.00M,11.38B,1.141B,1.881B,,2007-12,AOR,Restated
