,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,EBITDA,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,,SharesData(Quarterly),AverageBasicSharesOutstanding,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,7.535B,7.535B,5.99B,1.545B,537.00M,537.00M,,27.00M,,-27.00M,,537.00M,1.008B,,27.00M,-27.00M,-21.00M,-27.00M,960.00M,161.00M,799.00M,,799.00M,799.00M,1.096B,,2018-03,2.70,,,,2018-03,2.65,,,,2018-03,296.40M,,2018-03,AOR,Restated
2017-12,8.277B,8.277B,6.68B,1.597B,537.00M,537.00M,,41.00M,,-27.00M,,537.00M,1.06B,,41.00M,-27.00M,-25.00M,-27.00M,1.008B,372.00M,636.00M,0.00,636.00M,636.00M,1.164B,,2017-12,2.14,0.00,,,2017-12,2.10,0.00,,,2017-12,296.98M,,2017-12,AOR,Restated
2017-09,7.58B,7.58B,6.014B,1.566B,503.00M,503.00M,,27.00M,,-27.00M,,503.00M,1.063B,,27.00M,-27.00M,-9.00M,-27.00M,1.027B,263.00M,764.00M,0.00,764.00M,764.00M,1.16B,,2017-09,2.56,0.00,,,2017-09,2.52,0.00,,,2017-09,298.14M,,2017-09,AOR,Restated
2017-06,7.675B,7.675B,6.114B,1.561B,494.00M,494.00M,,24.00M,,-24.00M,,494.00M,1.067B,,24.00M,-24.00M,-11.00M,-24.00M,1.032B,283.00M,749.00M,,749.00M,749.00M,1.165B,,2017-06,2.50,,,,2017-06,2.45,,,,2017-06,299.79M,,2017-06,AOR,Restated
2017-03,7.441B,7.441B,5.923B,1.518B,472.00M,472.00M,,25.00M,,-25.00M,,472.00M,1.046B,,25.00M,-25.00M,-11.00M,-25.00M,1.01B,247.00M,763.00M,,763.00M,763.00M,1.146B,,2017-03,2.53,,,,2017-03,2.48,,,,2017-03,301.77M,,2017-03,AOR,Restated
2016-12,7.654B,7.654B,6.372B,1.282B,504.00M,504.00M,,31.00M,,-23.00M,,504.00M,778.00M,,31.00M,-23.00M,-10.00M,-23.00M,745.00M,165.00M,580.00M,-10.00M,570.00M,580.00M,889.00M,,2016-12,2.67,-0.04,,,2016-12,2.62,-0.04,,,2016-12,302.49M,,2016-12,AOR,Restated
2016-09,7.657B,7.657B,6.171B,1.486B,471.00M,471.00M,,23.00M,,-23.00M,,471.00M,1.015B,,23.00M,-23.00M,2.00M,-23.00M,994.00M,263.00M,731.00M,-84.00M,647.00M,731.00M,1.126B,,2016-09,2.40,-0.27,,,2016-09,2.36,-0.27,,,2016-09,303.94M,,2016-09,AOR,Restated
2016-06,7.774B,7.774B,6.262B,1.512B,485.00M,485.00M,,23.00M,,-23.00M,,485.00M,1.027B,,23.00M,-23.00M,1.00M,-23.00M,1.005B,291.00M,714.00M,,714.00M,714.00M,1.143B,,2016-06,2.35,,,,2016-06,2.30,,,,2016-06,304.47M,,2016-06,AOR,Restated
2016-03,7.476B,7.476B,6.091B,1.385B,461.00M,461.00M,,22.00M,,-22.00M,,461.00M,924.00M,,22.00M,-22.00M,10.00M,-22.00M,912.00M,258.00M,654.00M,-13.00M,641.00M,654.00M,1.05B,,2016-03,2.12,-0.04,,,2016-03,2.08,-0.04,,,2016-03,307.93M,,2016-03,AOR,Restated
2015-12,8.121B,8.121B,6.477B,1.644B,491.00M,491.00M,,34.00M,,-19.00M,,491.00M,1.153B,,34.00M,-19.00M,2.00M,-19.00M,1.136B,301.00M,835.00M,0.00,835.00M,835.00M,1.291B,,2015-12,2.44,0.00,,,2015-12,2.40,0.00,,,2015-12,313.26M,,2015-12,AOR,Restated
2015-09,7.994B,7.994B,6.484B,1.51B,476.00M,476.00M,,23.00M,,-23.00M,,476.00M,1.034B,,23.00M,-23.00M,2.00M,-23.00M,1.013B,280.00M,733.00M,0.00,733.00M,733.00M,1.153B,,2015-09,2.31,0.00,,,2015-09,2.28,0.00,,,2015-09,316.68M,,2015-09,AOR,Restated
2015-06,7.882B,7.882B,6.334B,1.548B,467.00M,467.00M,,20.00M,,-20.00M,,467.00M,1.081B,,20.00M,-20.00M,,-20.00M,1.061B,309.00M,752.00M,,752.00M,752.00M,1.20B,,2015-06,2.31,,,,2015-06,2.27,,,,2015-06,326.15M,,2015-06,AOR,Restated
2015-03,7.784B,7.784B,6.254B,1.53B,503.00M,503.00M,,21.00M,,-21.00M,,503.00M,1.027B,,21.00M,-21.00M,3.00M,-21.00M,1.009B,293.00M,716.00M,0.00,716.00M,716.00M,1.154B,,2015-03,2.18,0.00,,,2015-03,2.14,0.00,,,2015-03,329.15M,,2015-03,AOR,Restated
2014-12,8.362B,8.362B,6.766B,1.596B,529.00M,529.00M,,36.00M,,-19.00M,,529.00M,1.067B,,36.00M,-19.00M,-3.00M,-19.00M,1.045B,308.00M,737.00M,-36.00M,701.00M,737.00M,1.201B,,2014-12,2.23,-0.11,,,2014-12,2.19,-0.11,,,2014-12,330.04M,,2014-12,AOR,Restated
2014-09,7.751B,7.751B,6.274B,1.477B,478.00M,478.00M,,21.00M,,-21.00M,,478.00M,999.00M,,21.00M,-21.00M,1.00M,-21.00M,979.00M,285.00M,694.00M,2.00M,696.00M,694.00M,1.124B,,2014-09,2.09,0.01,,,2014-09,2.05,0.01,,,2014-09,331.81M,,2014-09,AOR,Restated
2014-06,7.474B,7.474B,6.039B,1.435B,486.00M,486.00M,,24.00M,,-24.00M,,486.00M,949.00M,,24.00M,-24.00M,,-24.00M,925.00M,279.00M,646.00M,-105.00M,541.00M,646.00M,1.076B,,2014-06,1.92,-0.31,,,2014-06,1.88,-0.31,,,2014-06,336.69M,,2014-06,AOR,Restated
2014-03,7.265B,7.265B,5.90B,1.365B,491.00M,491.00M,,22.00M,,-22.00M,,491.00M,874.00M,,22.00M,-22.00M,1.00M,-22.00M,853.00M,257.00M,596.00M,-1.00M,595.00M,596.00M,1.00B,,2014-03,1.74,0.00,,,2014-03,1.71,0.00,,,2014-03,342.23M,,2014-03,AOR,Restated
2013-12,8.047B,8.047B,6.59B,1.457B,533.00M,533.00M,,40.00M,,-23.00M,,533.00M,924.00M,,40.00M,-23.00M,4.00M,-23.00M,905.00M,281.00M,624.00M,-129.00M,495.00M,624.00M,1.078B,,2013-12,1.78,-0.37,,,2013-12,1.76,-0.37,,,2013-12,350.53M,,2013-12,AOR,Restated
2013-09,7.735B,7.735B,6.277B,1.458B,497.00M,497.00M,,22.00M,,-22.00M,,497.00M,961.00M,,22.00M,-22.00M,4.00M,-22.00M,943.00M,291.00M,652.00M,-1.00M,651.00M,652.00M,1.092B,,2013-09,1.86,0.00,,,2013-09,1.84,0.00,,,2013-09,349.34M,,2013-09,AOR,Restated
2013-06,7.834B,7.834B,6.359B,1.475B,514.00M,514.00M,,18.00M,,-18.00M,,514.00M,961.00M,,18.00M,-18.00M,,-18.00M,943.00M,303.00M,640.00M,0.00,640.00M,640.00M,1.084B,,2013-06,1.82,0.00,,,2013-06,1.81,0.00,,,2013-06,351.11M,,2013-06,AOR,Restated
2013-03,7.404B,7.404B,6.05B,1.354B,507.00M,507.00M,,23.00M,,-23.00M,,507.00M,847.00M,,23.00M,-23.00M,,-23.00M,824.00M,253.00M,571.00M,,571.00M,571.00M,989.00M,,2013-03,1.62,,,,2013-03,1.62,,,,2013-03,351.87M,,2013-03,AOR,Restated
2012-12,7.557B,7.557B,6.882B,675.00M,651.00M,651.00M,,53.00M,,-41.00M,,651.00M,24.00M,,53.00M,-41.00M,-2.122B,-41.00M,-2.139B,40.00M,-2.179B,,-2.13B,-2.179B,-1.954B,,2012-12,-6.07,0.00,,,2012-12,-6.07,0.00,,,2012-12,350.88M,,2012-12,AOR,Restated
2012-09,7.934B,7.934B,6.519B,1.415B,510.00M,510.00M,,39.00M,,-39.00M,,510.00M,905.00M,,39.00M,-39.00M,-3.00M,-39.00M,863.00M,263.00M,600.00M,,600.00M,600.00M,1.056B,,2012-09,1.71,,,,2012-09,1.70,,,,2012-09,350.47M,,2012-09,AOR,Restated
2012-06,7.922B,7.922B,6.427B,1.495B,525.00M,525.00M,,37.00M,,-37.00M,,525.00M,970.00M,,37.00M,-37.00M,-5.00M,-37.00M,928.00M,294.00M,634.00M,,634.00M,634.00M,1.115B,,2012-06,1.79,,,,2012-06,1.77,,,,2012-06,355.05M,,2012-06,AOR,Restated
2012-03,7.579B,7.579B,6.184B,1.395B,535.00M,535.00M,,39.00M,,-39.00M,,535.00M,860.00M,,39.00M,-39.00M,,-39.00M,821.00M,257.00M,564.00M,,564.00M,564.00M,1.014B,,2012-03,1.58,,,,2012-03,1.57,,,,2012-03,356.99M,,2012-03,AOR,Restated
2011-12,9.147B,9.147B,7.673B,1.474B,,524.00M,-34.00M,40.00M,2.00M,-38.00M,,524.00M,950.00M,2.00M,40.00M,-38.00M,-1.00M,-38.00M,911.00M,308.00M,603.00M,0.00,603.00M,625.50M,1.108B,,2011-12,1.69,0.00,,,2011-12,1.68,0.00,,,2011-12,356.24M,,2011-12,AOR,Restated
2011-09,7.853B,7.853B,6.363B,1.49B,,492.00M,-8.00M,41.00M,3.00M,-38.00M,,492.00M,998.00M,3.00M,41.00M,-38.00M,-8.00M,-38.00M,952.00M,287.00M,665.00M,-13.00M,652.00M,670.59M,1.14B,,2011-09,1.84,-0.03,,,2011-09,1.83,-0.03,,,2011-09,359.71M,,2011-09,AOR,Restated
2011-06,7.879B,7.879B,6.425B,1.454B,,505.00M,41.00M,31.00M,,-31.00M,,505.00M,949.00M,,31.00M,-31.00M,41.00M,-31.00M,959.00M,293.00M,666.00M,-13.00M,653.00M,637.53M,1.135B,,2011-06,1.81,-0.04,,,2011-06,1.79,-0.04,,,2011-06,367.96M,,2011-06,AOR,Restated
2011-03,7.798B,7.798B,6.36B,1.438B,,509.00M,1.00M,34.00M,,-34.00M,,509.00M,929.00M,,34.00M,-34.00M,1.00M,-34.00M,896.00M,278.00M,618.00M,,618.00M,617.31M,1.073B,,2011-03,1.66,0.00,,,2011-03,1.64,0.00,,,2011-03,372.68M,,2011-03,AOR,Restated
2010-12,8.601B,8.601B,7.006B,1.595B,,519.00M,,36.00M,3.00M,-33.00M,,519.00M,1.076B,3.00M,36.00M,-33.00M,0.00,-33.00M,1.043B,314.00M,729.00M,0.00,729.00M,729.00M,1.224B,,2010-12,1.94,0.00,,,2010-12,1.91,0.00,,,2010-12,376.75M,,2010-12,AOR,Restated
2010-09,8.011B,8.011B,6.564B,1.447B,,481.00M,0.00,39.00M,1.00M,-38.00M,,481.00M,966.00M,1.00M,39.00M,-38.00M,,-38.00M,928.00M,279.00M,649.00M,1.00M,650.00M,649.00M,1.108B,,2010-09,1.71,0.00,,,2010-09,1.70,0.00,,,2010-09,379.09M,,2010-09,AOR,Restated
2010-06,8.104B,8.104B,6.641B,1.463B,,478.00M,2.00M,45.00M,3.00M,-42.00M,,478.00M,985.00M,3.00M,45.00M,-42.00M,2.00M,-42.00M,945.00M,294.00M,651.00M,-3.00M,648.00M,649.62M,1.13B,,2010-06,1.70,-0.01,,,2010-06,1.68,-0.01,,,2010-06,384.30M,,2010-06,AOR,Restated
2010-03,7.75B,7.75B,6.346B,1.404B,,486.00M,0.00,47.00M,3.00M,-44.00M,,486.00M,918.00M,3.00M,47.00M,-44.00M,,-44.00M,874.00M,275.00M,599.00M,-2.00M,597.00M,599.00M,1.064B,,2010-03,1.56,-0.01,,,2010-03,1.54,-0.01,,,2010-03,384.82M,,2010-03,AOR,Restated
2009-12,7.898B,7.898B,6.464B,1.434B,,483.00M,1.00M,44.00M,1.00M,-43.00M,,483.00M,951.00M,1.00M,44.00M,-43.00M,1.00M,-43.00M,909.00M,291.00M,618.00M,-4.00M,614.00M,617.32M,1.097B,,2009-12,1.60,-0.01,,,2009-12,1.58,-0.01,,,2009-12,385.78M,,2009-12,AOR,Restated
2009-09,7.719B,7.719B,6.393B,1.326B,,452.00M,-6.00M,42.00M,2.00M,-40.00M,,452.00M,874.00M,2.00M,42.00M,-40.00M,-6.00M,-40.00M,828.00M,253.00M,575.00M,-3.00M,572.00M,579.17M,1.009B,,2009-09,1.49,-0.01,,,2009-09,1.48,-0.01,,,2009-09,385.24M,,2009-09,AOR,Restated
2009-06,8.10B,8.10B,6.646B,1.454B,,509.00M,,43.00M,5.00M,-38.00M,,509.00M,945.00M,5.00M,43.00M,-38.00M,,-38.00M,907.00M,286.00M,621.00M,-3.00M,618.00M,621.00M,1.09B,,2009-06,1.61,-0.01,,,2009-06,1.61,-0.01,,,2009-06,385.04M,,2009-06,AOR,Restated
2009-03,8.264B,8.264B,6.849B,1.415B,,510.00M,3.00M,42.00M,3.00M,-39.00M,,510.00M,905.00M,3.00M,42.00M,-39.00M,3.00M,-39.00M,869.00M,276.00M,593.00M,-3.00M,590.00M,590.95M,1.05B,,2009-03,1.54,-0.01,,,2009-03,1.54,-0.01,,,2009-03,385.84M,,2009-03,AOR,Restated
2008-12,7.852B,7.852B,5.195B,2.657B,,424.00M,14.00M,35.00M,11.00M,-24.00M,,424.00M,2.233B,11.00M,35.00M,-24.00M,14.00M,-24.00M,928.00M,298.00M,630.00M,-18.00M,612.00M,620.50M,1.084B,,2008-12,1.63,-0.05,,,2008-12,1.62,-0.05,,,2008-12,388.95M,,2008-12,AOR,Restated
2008-09,7.14B,7.14B,5.793B,1.347B,,414.00M,0.00,27.00M,16.00M,-11.00M,,414.00M,933.00M,16.00M,27.00M,-11.00M,,-11.00M,922.00M,288.00M,634.00M,0.00,634.00M,634.00M,1.062B,,2008-09,1.60,0.00,,,2008-09,1.59,0.00,,,2008-09,396.75M,,2008-09,,Restated
2008-06,7.303B,7.303B,6.382B,921.00M,,,0.00,33.00M,21.00M,-12.00M,,0.00,921.00M,21.00M,33.00M,-12.00M,,-12.00M,909.00M,268.00M,641.00M,0.00,641.00M,641.00M,1.053B,,2008-06,1.61,0.00,,,2008-06,1.60,0.00,,,2008-06,398.49M,,2008-06,,Restated
2008-03,7.005B,7.005B,6.144B,861.00M,,,3.00M,,,,,3.00M,861.00M,,,,3.00M,,845.00M,272.00M,573.00M,-1.00M,572.00M,570.97M,963.00M,,2008-03,1.43,0.00,,,2008-03,1.42,0.00,,,2008-03,400.76M,,2008-03,,
2007-12,7.515B,7.515B,6.644B,871.00M,,,0.00,,,,,0.00,871.00M,,,,0.00,,860.00M,282.00M,578.00M,1.00M,579.00M,578.00M,1.047B,,2007-12,1.43,0.00,,,2007-12,1.43,0.00,,,2007-12,403.85M,,2007-12,AOR,Restated
2007-09,6.834B,6.834B,6.033B,801.00M,,,2.00M,,,,,2.00M,801.00M,,,,2.00M,,791.00M,247.00M,544.00M,2.00M,546.00M,542.62M,906.00M,,2007-09,1.35,0.00,,,2007-09,1.34,0.00,,,2007-09,404.44M,,2007-09,,
2007-06,6.591B,6.591B,5.831B,760.00M,,,1.00M,,,,,1.00M,760.00M,,,,1.00M,,740.00M,222.00M,518.00M,-5.00M,513.00M,517.30M,866.00M,,2007-06,1.28,-0.01,,,2007-06,1.27,-0.01,,,2007-06,403.94M,,2007-06,,
2007-03,6.30B,6.30B,5.619B,681.00M,,,1.00M,,,,,1.00M,681.00M,,,,1.00M,,656.00M,216.00M,440.00M,-6.00M,434.00M,439.33M,782.00M,,2007-03,1.08,-0.01,,,2007-03,1.07,-0.01,,,2007-03,405.60M,,2007-03,,
2006-12,6.514B,6.514B,5.811B,703.00M,,,0.00,,,,,0.00,703.00M,,,,0.00,,676.00M,213.00M,463.00M,-55.00M,408.00M,463.00M,871.00M,,2006-12,1.15,-0.14,,,2006-12,1.13,-0.14,,,2006-12,403.67M,,2006-12,AOR,Restated
2006-09,6.069B,6.069B,5.392B,677.00M,,,1.00M,,,,,1.00M,677.00M,,,,1.00M,,644.00M,204.00M,440.00M,-2.00M,438.00M,439.32M,774.00M,,2006-09,1.09,0.00,,,2006-09,1.08,0.00,,,2006-09,401.83M,,2006-09,,
2006-06,5.934B,5.934B,4.90B,1.034B,,385.00M,2.00M,,,,,385.00M,649.00M,,,,2.00M,,628.00M,208.00M,420.00M,216.00M,636.00M,418.66M,743.00M,,2006-06,1.04,0.54,,,2006-06,1.03,0.53,,,2006-06,402.53M,,2006-06,,
2006-03,5.546B,5.546B,4.95B,596.00M,,,,,,,,,596.00M,,,,,,573.00M,192.00M,387.00M,-13.00M,374.00M,387.00M,679.00M,,2006-03,0.96,-0.03,,,2006-03,0.95,-0.03,,,2006-03,401.47M,,2006-03,,
2005-12,5.764B,5.764B,6.093B,-329.00M,,,12.00M,,,,,-941.00M,612.00M,,,,12.00M,,599.00M,201.00M,398.00M,8.00M,406.00M,390.03M,857.00M,,2005-12,1.00,0.02,,,2005-12,0.98,0.02,,,2005-12,398.53M,,2005-12,AOR,Restated
2005-09,5.302B,5.302B,4.41B,892.00M,,317.00M,-4.00M,,,,,317.00M,575.00M,,,,-4.00M,,541.00M,177.00M,364.00M,10.00M,374.00M,366.69M,656.00M,,2005-09,0.91,0.02,,,2005-09,0.90,0.02,,,2005-09,402.15M,,2005-09,,
2005-06,5.137B,5.137B,4.282B,855.00M,,316.00M,1.00M,,,,,316.00M,539.00M,,,,1.00M,,511.00M,173.00M,338.00M,7.00M,345.00M,337.34M,618.00M,,2005-06,0.84,0.02,,,2005-06,0.83,0.02,,,2005-06,401.16M,,2005-06,,
2005-03,4.80B,4.80B,4.031B,769.00M,,309.00M,-1.00M,,,,,309.00M,460.00M,,,,-1.00M,,425.00M,72.00M,353.00M,-17.00M,336.00M,353.83M,544.00M,,2005-03,0.86,-0.02,,,2005-03,0.85,-0.02,,,2005-03,401.11M,,2005-03,,
2004-12,5.174B,5.174B,5.489B,-315.00M,,,1.00M,,,,,-845.00M,530.00M,,,,1.00M,,494.00M,164.00M,330.00M,6.00M,336.00M,329.33M,763.00M,,2004-12,0.825,0.015,,,2004-12,0.815,0.015,,,2004-12,400.53M,,2004-12,AOR,Restated
2004-09,4.647B,4.647B,3.871B,776.00M,,283.00M,3.00M,,,,-6.00M,277.00M,499.00M,,,,3.00M,,463.00M,143.00M,320.00M,2.00M,322.00M,317.93M,579.00M,,2004-09,0.80,0.005,,,2004-09,0.795,0.005,,,2004-09,400.00M,,2004-09,,
2004-06,4.652B,4.652B,3.894B,758.00M,,273.00M,-12.00M,,,,,273.00M,485.00M,,,,-12.00M,,434.00M,144.00M,290.00M,10.00M,300.00M,298.02M,568.00M,,2004-06,0.73,0.025,,,2004-06,0.72,0.025,,,2004-06,397.35M,,2004-06,,
2004-03,4.646B,4.646B,3.921B,725.00M,,289.00M,,,,,,289.00M,436.00M,,,,,,397.00M,132.00M,265.00M,4.00M,269.00M,265.00M,511.00M,,2004-03,0.67,0.01,,,2004-03,0.66,0.01,,,2004-03,396.88M,,2004-03,,
2003-12,4.586B,4.586B,4.961B,-375.00M,,,0.00,,,,,-767.00M,392.00M,,,,0.00,,353.00M,89.00M,264.00M,15.00M,279.00M,264.00M,483.00M,,2003-12,0.67,0.035,,,2003-12,0.665,0.035,,,2003-12,395.50M,,2003-12,AOR,Restated
2003-09,4.427B,4.427B,3.797B,630.00M,,273.00M,-3.00M,,,,,273.00M,357.00M,,,,-3.00M,,325.00M,70.00M,255.00M,7.00M,262.00M,257.35M,437.00M,,2003-09,0.645,0.02,,,2003-09,0.64,0.02,,,2003-09,394.62M,,2003-09,,
2003-06,3.935B,3.935B,3.557B,378.00M,,,2.00M,,,,,2.00M,378.00M,,,,2.00M,,361.00M,119.00M,242.00M,,242.00M,240.66M,434.00M,,2003-06,0.615,0.00,,,2003-06,0.61,0.00,,,2003-06,394.45M,,2003-06,,
2003-03,3.421B,3.421B,3.103B,318.00M,,,4.00M,,,,,4.00M,318.00M,,,,4.00M,,311.00M,90.00M,221.00M,,221.00M,218.16M,375.00M,,2003-03,0.555,0.00,,,2003-03,0.555,0.00,,,2003-03,397.76M,,2003-03,,
2002-12,3.937B,3.937B,4.20B,-263.00M,,,39.00M,,,,,-629.00M,366.00M,,,,39.00M,,394.00M,124.00M,269.00M,-112.00M,157.00M,242.27M,474.00M,,2002-12,0.67,-0.28,,,2002-12,0.665,-0.28,,,2002-12,401.96M,,2002-12,AOR,Restated
2002-09,3.284B,3.289B,2.671B,618.00M,,189.00M,8.00M,,,,5.00M,194.00M,424.00M,,,,8.00M,,421.00M,143.00M,278.00M,-10.00M,268.00M,272.72M,481.00M,,2002-09,0.69,-0.025,,,2002-09,0.685,-0.025,,,2002-09,403.25M,,2002-09,,
2002-06,3.506B,3.506B,3.083B,423.00M,,,3.00M,,,,,3.00M,423.00M,,,,3.00M,,415.00M,143.00M,272.00M,-9.00M,263.00M,270.03M,479.00M,,2002-06,0.675,-0.025,,,2002-06,0.67,-0.025,,,2002-06,403.65M,,2002-06,,
2002-03,3.102B,3.102B,2.733B,369.00M,,,-3.00M,,,,,-3.00M,369.00M,,,,-3.00M,,354.00M,122.00M,232.00M,-3.00M,229.00M,233.97M,421.00M,,2002-03,0.575,-0.005,,,2002-03,0.57,-0.005,,,2002-03,401.99M,,2002-03,,
2001-12,3.399B,3.399B,3.571B,-172.00M,,,,,,,,-577.00M,405.00M,,,,,,384.00M,138.00M,246.00M,,246.00M,246.00M,481.00M,,2001-12,0.61,0.00,,,2001-12,0.605,0.00,,,2001-12,403.37M,,2001-12,AOR,Restated
2001-09,3.02B,3.02B,2.458B,562.00M,,186.00M,-5.00M,,,,,186.00M,376.00M,,,,-5.00M,,358.00M,128.00M,230.00M,,230.00M,233.21M,444.00M,,2001-09,0.57,0.00,,,2001-09,0.565,0.00,,,2001-09,402.90M,,2001-09,,
2001-06,2.962B,2.962B,2.382B,580.00M,,209.00M,-3.00M,,,,18.00M,227.00M,353.00M,,,,-3.00M,,353.00M,126.00M,227.00M,,227.00M,228.93M,420.00M,,2001-06,0.565,0.00,,,2001-06,0.56,0.00,,,2001-06,402.06M,,2001-06,,
2001-03,2.673B,2.673B,2.157B,516.00M,,182.00M,8.00M,,,,,182.00M,334.00M,,,,8.00M,,330.00M,90.00M,240.00M,,240.00M,234.18M,394.00M,,2001-03,0.60,0.00,,,2001-03,0.595,0.00,,,2001-03,400.80M,,2001-03,,
2000-12,2.691B,2.691B,2.986B,-295.00M,,,-2.00M,,,,,-646.00M,351.00M,,,,-2.00M,,341.00M,122.00M,219.00M,,219.00M,220.28M,411.00M,,2000-12,0.55,0.00,,,2000-12,0.545,0.00,,,2000-12,399.37M,,2000-12,,Restated
2000-09,2.502B,2.502B,1.95B,552.00M,,155.00M,-3.00M,,,,,215.00M,337.00M,,,,-3.00M,,317.00M,23.00M,294.00M,,294.00M,296.78M,397.00M,,2000-09,0.74,0.00,,,2000-09,0.735,0.00,,,2000-09,397.35M,,2000-09,,
