,NetIncome,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,EndingCash,,AdditionalItems(Quarterly),CashfromDiscontinuedOperationsAdjustment,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,Restated
2018-03,799.00M,,89.00M,20.00M,109.00M,109.00M,4.00M,29.00M,,64.00M,-758.00M,-236.00M,-358.00M,,,-149.00M,-1.501B,,-496.00M,,2018-03,,,,,-1.00M,-105.00M,,2018-03,,2.494B,,-267.00M,-267.00M,-250.00M,-250.00M,,-25.00M,1.952B,,2018-03,2.983B,4.332B,,2018-03,-2.00M,2.494B,,-267.00M,,21.00M,,2018-03,Restated
2017-12,636.00M,,93.00M,22.00M,115.00M,115.00M,246.00M,30.00M,,19.00M,153.00M,-239.00M,267.00M,,,560.00M,948.00M,,1.994B,,2017-12,,,-35.00M,,-13.00M,-203.00M,,2017-12,-898.00M,-898.00M,,-386.00M,-386.00M,-251.00M,-251.00M,,17.00M,-1.518B,,2017-12,2.722B,2.983B,,2017-12,-12.00M,0.00,-898.00M,-386.00M,-398.00M,-66.00M,,2017-12,Restated
2017-09,764.00M,,87.00M,19.00M,106.00M,106.00M,62.00M,41.00M,,16.00M,-229.00M,71.00M,308.00M,,,-267.00M,-117.00M,,872.00M,,2017-09,,,-275.00M,,5.00M,-390.00M,,2017-09,984.00M,984.00M,,-271.00M,-271.00M,-252.00M,-252.00M,,-66.00M,395.00M,,2017-09,1.856B,2.722B,,2017-09,-11.00M,985.00M,-1.00M,-271.00M,70.00M,20.00M,,2017-09,Restated
2017-06,749.00M,,90.00M,19.00M,109.00M,109.00M,48.00M,29.00M,,148.00M,-684.00M,-16.00M,-48.00M,,76.00M,66.00M,-606.00M,,477.00M,,2017-06,,,-89.00M,,70.00M,-110.00M,,2017-06,-1.00M,-1.00M,,-547.00M,-547.00M,-253.00M,-253.00M,,131.00M,-670.00M,,2017-06,2.168B,1.856B,,2017-06,-9.00M,,-1.00M,-547.00M,328.00M,26.00M,,2017-06,Restated
2017-03,763.00M,,92.00M,19.00M,111.00M,111.00M,45.00M,23.00M,,52.00M,-422.00M,2.00M,130.00M,,-76.00M,-95.00M,-461.00M,,533.00M,,2017-03,,,,,-23.00M,-85.00M,,2017-03,,0.00,,-354.00M,-354.00M,-230.00M,-230.00M,,-22.00M,-606.00M,,2017-03,2.334B,2.168B,,2017-03,-8.00M,0.00,,-354.00M,,20.00M,,2017-03,Restated
2016-12,580.00M,,95.00M,18.00M,113.00M,113.00M,36.00M,19.00M,,-342.00M,-284.00M,-171.00M,276.00M,,,249.00M,385.00M,,791.00M,,2016-12,,,-2.00M,,41.00M,-109.00M,,2016-12,0.00,0.00,,-482.00M,-482.00M,-233.00M,-233.00M,,-218.00M,-641.00M,,2016-12,2.303B,2.334B,,2016-12,-10.00M,0.00,0.00,-482.00M,-677.00M,-58.00M,,2016-12,Restated
2016-09,731.00M,,89.00M,20.00M,109.00M,109.00M,138.00M,25.00M,,-92.00M,-325.00M,-122.00M,134.00M,,,-99.00M,-412.00M,,499.00M,,2016-09,,,-56.00M,,69.00M,-97.00M,,2016-09,492.00M,492.00M,,-325.00M,-325.00M,-231.00M,-231.00M,,76.00M,12.00M,,2016-09,1.899B,2.303B,,2016-09,-10.00M,992.00M,-500.00M,-325.00M,217.00M,16.00M,,2016-09,Restated
2016-06,714.00M,,92.00M,23.00M,115.00M,115.00M,28.00M,24.00M,,110.00M,-75.00M,137.00M,-275.00M,,52.00M,-437.00M,-598.00M,,393.00M,,2016-06,,,,,2.00M,-67.00M,,2016-06,,,,-163.00M,-163.00M,-232.00M,-232.00M,,89.00M,-306.00M,,2016-06,1.907B,1.899B,,2016-06,-28.00M,,,-163.00M,439.00M,26.00M,,2016-06,Restated
2016-03,654.00M,,89.00M,27.00M,116.00M,116.00M,-18.00M,27.00M,,46.00M,-486.00M,-221.00M,432.00M,,-52.00M,-18.00M,-345.00M,,480.00M,,2016-03,,,,,-53.00M,-118.00M,,2016-03,,,,-1.026B,-1.026B,-215.00M,-215.00M,,7.00M,-1.234B,,2016-03,2.785B,1.907B,,2016-03,-6.00M,,,-1.026B,21.00M,16.00M,,2016-03,Restated
2015-12,835.00M,,93.00M,28.00M,121.00M,121.00M,125.00M,14.00M,,12.00M,439.00M,-221.00M,-423.00M,,,-645.00M,-770.00M,,337.00M,,2015-12,,,,0.00,-4.00M,-218.00M,,2015-12,0.00,0.00,,-504.00M,-504.00M,-218.00M,-218.00M,28.00M,0.00,-694.00M,,2015-12,3.372B,2.785B,,2015-12,-12.00M,0.00,0.00,-504.00M,-776.00M,-62.00M,,2015-12,Restated
2015-09,733.00M,,88.00M,29.00M,117.00M,117.00M,67.00M,13.00M,,71.00M,-201.00M,181.00M,112.00M,,,-256.00M,-164.00M,,837.00M,,2015-09,,,,0.00,37.00M,-133.00M,,2015-09,0.00,0.00,,-1.164B,-1.164B,-223.00M,-223.00M,42.00M,-4.00M,-1.349B,,2015-09,4.032B,3.372B,,2015-09,-15.00M,0.00,0.00,-1.164B,246.00M,17.00M,,2015-09,Restated
2015-06,752.00M,,90.00M,29.00M,119.00M,119.00M,29.00M,31.00M,30.00M,30.00M,67.00M,212.00M,-239.00M,,38.00M,-381.00M,-303.00M,,688.00M,,2015-06,,,,0.00,147.00M,55.00M,,2015-06,0.00,0.00,,-945.00M,-945.00M,-226.00M,-226.00M,111.00M,-55.00M,-1.115B,,2015-06,4.412B,4.032B,,2015-06,-8.00M,,0.00,-945.00M,477.00M,26.00M,,2015-06,Restated
2015-03,716.00M,,94.00M,30.00M,124.00M,124.00M,-8.00M,40.00M,-30.00M,-6.00M,388.00M,-31.00M,461.00M,,-38.00M,-871.00M,-91.00M,,745.00M,,2015-03,,,,500.00M,94.00M,496.00M,,2015-03,-500.00M,-500.00M,,-620.00M,-620.00M,-206.00M,-206.00M,87.00M,30.00M,-1.209B,,2015-03,4.388B,4.412B,,2015-03,-8.00M,,-500.00M,-620.00M,53.00M,19.00M,,2015-03,Restated
2014-12,737.00M,,90.00M,30.00M,120.00M,120.00M,42.00M,34.00M,66.00M,47.00M,141.00M,-143.00M,-483.00M,,9.00M,-540.00M,-1.016B,,30.00M,,2014-12,,,,0.00,-92.00M,-276.00M,,2014-12,0.00,0.00,,-265.00M,-265.00M,-204.00M,-204.00M,72.00M,-84.00M,-481.00M,,2014-12,5.105B,4.388B,,2014-12,10.00M,,0.00,-265.00M,-573.00M,-65.00M,,2014-12,Restated
2014-09,694.00M,,94.00M,30.00M,124.00M,124.00M,30.00M,30.00M,-12.00M,-204.00M,293.00M,529.00M,52.00M,,-238.00M,1.206B,1.842B,,2.504B,,2014-09,,,,-500.00M,-6.00M,-681.00M,,2014-09,0.00,0.00,,-426.00M,-426.00M,-207.00M,-207.00M,60.00M,12.00M,-561.00M,,2014-09,3.841B,5.105B,,2014-09,2.00M,,0.00,-426.00M,292.00M,21.00M,,2014-09,Restated
2014-06,646.00M,,96.00M,31.00M,127.00M,127.00M,28.00M,37.00M,-22.00M,60.00M,-223.00M,-293.00M,149.00M,,173.00M,190.00M,-4.00M,,872.00M,,2014-06,,,,0.00,7.00M,-68.00M,,2014-06,0.00,0.00,,-1.261B,-1.261B,-213.00M,-213.00M,166.00M,22.00M,-1.286B,,2014-06,4.296B,3.841B,,2014-06,27.00M,,0.00,-1.261B,214.00M,25.00M,,2014-06,Restated
2014-03,596.00M,,95.00M,30.00M,125.00M,125.00M,36.00M,27.00M,-32.00M,-117.00M,119.00M,-115.00M,121.00M,,-173.00M,-165.00M,-213.00M,,422.00M,,2014-03,,,,0.00,10.00M,-77.00M,,2014-03,0.00,0.00,,-1.43B,-1.43B,-198.00M,-198.00M,249.00M,32.00M,-1.347B,,2014-03,5.301B,4.296B,,2014-03,-3.00M,,0.00,-1.43B,67.00M,19.00M,,2014-03,Restated
2013-12,624.00M,,102.00M,31.00M,133.00M,133.00M,64.00M,30.00M,-4.00M,349.00M,-42.00M,308.00M,-283.00M,,65.00M,314.00M,362.00M,,1.558B,,2013-12,,,,-22.00M,40.00M,-151.00M,,2013-12,,,,-44.00M,-44.00M,-197.00M,-197.00M,99.00M,-23.00M,-165.00M,,2013-12,4.065B,5.301B,,2013-12,-6.00M,,,-44.00M,-713.00M,-66.00M,,2013-12,Restated
2013-09,652.00M,,94.00M,33.00M,127.00M,127.00M,4.00M,29.00M,-3.00M,-294.00M,-79.00M,-45.00M,39.00M,,-34.00M,70.00M,-49.00M,,466.00M,,2013-09,,,,0.00,51.00M,-51.00M,,2013-09,,,,-211.00M,-211.00M,-196.00M,-196.00M,272.00M,30.00M,-105.00M,,2013-09,3.757B,4.065B,,2013-09,-2.00M,,,-211.00M,245.00M,20.00M,,2013-09,Restated
2013-06,639.00M,,91.00M,32.00M,123.00M,123.00M,36.00M,30.00M,-4.00M,41.00M,-45.00M,-93.00M,-211.00M,,27.00M,40.00M,-282.00M,,583.00M,,2013-06,,,,3.00M,2.00M,-85.00M,,2013-06,,,,-485.00M,-485.00M,-198.00M,-198.00M,200.00M,4.00M,-479.00M,,2013-06,3.745B,3.757B,,2013-06,-7.00M,,,-485.00M,442.00M,27.00M,,2013-06,Restated
2013-03,571.00M,,95.00M,47.00M,142.00M,142.00M,11.00M,31.00M,-12.00M,30.00M,-57.00M,-193.00M,251.00M,,-176.00M,-94.00M,-269.00M,,504.00M,,2013-03,,,,-3.00M,2.00M,-76.00M,,2013-03,,,,0.00,0.00,0.00,0.00,12.00M,12.00M,24.00M,,2013-03,3.296B,3.745B,,2013-03,-3.00M,,,0.00,26.00M,19.00M,,2013-03,Restated
2012-12,-2.179B,,90.00M,42.00M,132.00M,132.00M,-197.00M,10.00M,-5.00M,93.00M,86.00M,-92.00M,-45.00M,,128.00M,473.00M,550.00M,,699.00M,,2012-12,,,426.00M,-216.00M,-34.00M,26.00M,,2012-12,,,,0.00,0.00,-360.00M,-360.00M,25.00M,-17.00M,-370.00M,,2012-12,2.874B,3.296B,,2012-12,67.00M,,,0.00,-805.00M,-135.00M,,2012-12,Restated
2012-09,600.00M,,97.00M,57.00M,154.00M,154.00M,50.00M,35.00M,-2.00M,-202.00M,249.00M,-127.00M,-93.00M,,9.00M,31.00M,69.00M,,704.00M,,2012-09,,,-261.00M,100.00M,109.00M,-162.00M,,2012-09,,,,-10.00M,-10.00M,-180.00M,-180.00M,10.00M,-26.00M,-206.00M,,2012-09,2.54B,2.874B,,2012-09,-2.00M,,,-10.00M,299.00M,57.00M,,2012-09,Restated
2012-06,634.00M,,92.00M,58.00M,150.00M,150.00M,0.00,34.00M,-1.00M,-81.00M,123.00M,-170.00M,-76.00M,,155.00M,21.00M,53.00M,,789.00M,,2012-06,,,-165.00M,91.00M,-82.00M,-242.00M,,2012-06,,,,-516.00M,-516.00M,-184.00M,-184.00M,33.00M,27.00M,-640.00M,,2012-06,2.632B,2.54B,,2012-06,1.00M,,,-516.00M,424.00M,21.00M,,2012-06,Restated
2012-03,564.00M,,97.00M,57.00M,154.00M,154.00M,3.00M,35.00M,-21.00M,127.00M,-233.00M,48.00M,-199.00M,,-269.00M,205.00M,-448.00M,,414.00M,,2012-03,,,,-191.00M,17.00M,-264.00M,,2012-03,,,,-76.00M,-76.00M,-169.00M,-169.00M,78.00M,1.00M,-166.00M,,2012-03,2.649B,2.632B,,2012-03,-1.00M,,,-76.00M,82.00M,57.00M,,2012-03,Restated
2011-12,603.00M,,95.00M,62.00M,157.00M,157.00M,-49.00M,32.00M,-2.00M,-93.00M,-254.00M,98.00M,188.00M,252.00M,350.00M,,1.263B,6.00M,2.028B,,2011-12,,,-417.00M,180.00M,-95.00M,-517.00M,,2011-12,0.00,-200.00M,,-19.00M,-19.00M,,-169.00M,12.00M,1.00M,-375.00M,,2011-12,1.54B,2.649B,,2011-12,,-200.00M,0.00,-19.00M,-804.00M,-112.00M,,2011-12,Restated
2011-09,665.00M,,87.00M,60.00M,147.00M,147.00M,29.00M,32.00M,-1.00M,-120.00M,242.00M,-122.00M,-68.00M,-120.00M,-547.00M,,-615.00M,-3.00M,134.00M,,2011-09,,,-1.143B,85.00M,-27.00M,-1.206B,,2011-09,747.00M,947.00M,,-328.00M,-328.00M,,-171.00M,11.00M,-4.00M,455.00M,,2011-09,2.157B,1.54B,,2011-09,,1.697B,-750.00M,-328.00M,270.00M,46.00M,,2011-09,Restated
2011-06,666.00M,,87.00M,58.00M,145.00M,145.00M,15.00M,32.00M,-6.00M,-30.00M,4.00M,-70.00M,-92.00M,-118.00M,205.00M,,-71.00M,-2.00M,749.00M,,2011-06,,,0.00,-178.00M,156.00M,-113.00M,,2011-06,,,,-807.00M,-807.00M,,-176.00M,37.00M,-17.00M,-963.00M,,2011-06,2.484B,2.157B,,2011-06,,,,-807.00M,479.00M,22.00M,,2011-06,Restated
2011-03,618.00M,,85.00M,58.00M,143.00M,143.00M,19.00M,32.00M,-15.00M,21.00M,-389.00M,-154.00M,-11.00M,-14.00M,78.00M,,-490.00M,-1.00M,327.00M,,2011-03,,,0.00,-136.00M,59.00M,-138.00M,,2011-03,,,,-314.00M,-314.00M,,-157.00M,138.00M,15.00M,-318.00M,,2011-03,2.613B,2.484B,,2011-03,,,,-314.00M,55.00M,44.00M,,2011-03,Restated
2010-12,729.00M,,88.00M,57.00M,145.00M,145.00M,-9.00M,30.00M,1.00M,40.00M,26.00M,-506.00M,165.00M,478.00M,290.00M,,483.00M,,1.419B,,2010-12,,,0.00,47.00M,-43.00M,-147.00M,,2010-12,0.00,0.00,,-459.00M,-459.00M,,-160.00M,118.00M,-3.00M,-504.00M,,2010-12,1.843B,2.613B,,2010-12,2.00M,,0.00,-459.00M,-750.00M,-145.00M,,2010-12,Restated
2010-09,649.00M,,86.00M,55.00M,141.00M,141.00M,35.00M,30.00M,0.00,197.00M,-329.00M,-12.00M,175.00M,-64.00M,58.00M,,-172.00M,3.00M,883.00M,,2010-09,,,4.00M,278.00M,-1.00M,185.00M,,2010-09,-700.00M,-700.00M,,-215.00M,-215.00M,,-161.00M,2.00M,0.00,-1.074B,,2010-09,1.853B,1.843B,,2010-09,-4.00M,0.00,-700.00M,-215.00M,227.00M,62.00M,,2010-09,Restated
2010-06,651.00M,,85.00M,55.00M,140.00M,140.00M,20.00M,29.00M,-2.00M,-285.00M,202.00M,18.00M,-94.00M,-173.00M,-29.00M,,-76.00M,0.00,477.00M,,2010-06,,,-237.00M,66.00M,70.00M,-164.00M,,2010-06,,,,-311.00M,-311.00M,,-163.00M,-11.00M,0.00,-485.00M,,2010-06,2.025B,1.853B,,2010-06,,,,-311.00M,488.00M,21.00M,,2010-06,Restated
2010-03,599.00M,,86.00M,57.00M,143.00M,143.00M,10.00M,29.00M,-17.00M,79.00M,-51.00M,143.00M,120.00M,-241.00M,-604.00M,,-633.00M,-3.00M,207.00M,,2010-03,,,,-276.00M,54.00M,-282.00M,,2010-03,,,,-200.00M,-200.00M,,-147.00M,168.00M,16.00M,-163.00M,,2010-03,2.263B,2.025B,,2010-03,,,,-200.00M,35.00M,62.00M,,2010-03,Restated
2009-12,618.00M,,87.00M,57.00M,144.00M,144.00M,38.00M,30.00M,-5.00M,48.00M,173.00M,-16.00M,54.00M,-32.00M,295.00M,64.00M,538.00M,-3.00M,1.495B,,2009-12,,,-6.00M,-355.00M,24.00M,-471.00M,,2009-12,0.00,0.00,,-100.00M,-100.00M,,-147.00M,74.00M,3.00M,-170.00M,,2009-12,1.409B,2.263B,,2009-12,,747.00M,904.00M,-100.00M,-614.00M,-114.00M,,2009-12,Restated
2009-09,575.00M,,86.00M,53.00M,139.00M,139.00M,103.00M,29.00M,1.00M,30.00M,-175.00M,59.00M,-128.00M,-3.00M,137.00M,-143.00M,-253.00M,-3.00M,591.00M,,2009-09,,,-640.00M,152.00M,-65.00M,-634.00M,,2009-09,0.00,-51.00M,,0.00,0.00,,-147.00M,38.00M,-2.00M,-162.00M,,2009-09,1.614B,1.409B,,2009-09,,-747.00M,-51.00M,0.00,144.00M,63.00M,,2009-09,Restated
2009-06,621.00M,,86.00M,54.00M,140.00M,140.00M,46.00M,30.00M,0.00,110.00M,143.00M,-51.00M,-361.00M,-141.00M,-81.00M,210.00M,-281.00M,-3.00M,606.00M,,2009-06,,,3.00M,-107.00M,191.00M,-2.00M,,2009-06,747.00M,33.00M,,0.00,0.00,,-147.00M,3.00M,-5.00M,-116.00M,,2009-06,1.126B,1.614B,,2009-06,,747.00M,-714.00M,0.00,429.00M,22.00M,,2009-06,Restated
2009-03,593.00M,,85.00M,54.00M,139.00M,139.00M,40.00M,28.00M,-1.00M,-53.00M,-292.00M,-64.00M,343.00M,64.00M,-512.00M,-131.00M,-592.00M,-6.00M,148.00M,,2009-03,,,-168.00M,0.00,-36.00M,-285.00M,,2009-03,,-139.00M,,-109.00M,-109.00M,,-136.00M,27.00M,-1.00M,-358.00M,,2009-03,1.621B,1.126B,,2009-03,,,-139.00M,-109.00M,41.00M,29.00M,,2009-03,Restated
2008-12,630.00M,,78.00M,43.00M,121.00M,121.00M,113.00M,27.00M,-31.00M,-156.00M,-179.00M,-40.00M,221.00M,73.00M,26.00M,,101.00M,-8.00M,797.00M,,2008-12,,,-2.921B,-90.00M,134.00M,-3.053B,,2008-12,1.145B,2.049B,,-475.00M,-475.00M,,-136.00M,-4.00M,-174.00M,1.26B,,2008-12,2.617B,1.621B,,2008-12,,995.00M,150.00M,-475.00M,-728.00M,-100.00M,,2008-12,Restated
2008-09,634.00M,,77.00M,36.00M,113.00M,113.00M,57.00M,28.00M,24.00M,-9.00M,-124.00M,-70.00M,-52.00M,163.00M,99.00M,,16.00M,0.00,863.00M,,2008-09,,,-237.00M,37.00M,0.00,-314.00M,,2008-09,-150.00M,-150.00M,,-387.00M,-387.00M,,-140.00M,59.00M,-54.00M,-672.00M,,2008-09,2.74B,2.617B,,2008-09,,,-150.00M,-387.00M,212.00M,34.00M,,2008-09,Restated
2008-06,642.00M,-18.00M,77.00M,34.00M,111.00M,111.00M,27.00M,50.00M,-24.00M,-27.00M,55.00M,-31.00M,24.00M,-163.00M,379.00M,,264.00M,-4.00M,1.021B,,2008-06,-31.00M,54.00M,-1.00M,-56.00M,31.00M,-172.00M,,2008-06,-500.00M,-500.00M,-30.00M,-141.00M,-171.00M,,-140.00M,89.00M,8.00M,-714.00M,,2008-06,2.605B,2.74B,,2008-06,,0.00,-500.00M,-141.00M,516.00M,66.00M,,2008-06,Restated
2008-03,572.00M,18.00M,69.00M,33.00M,102.00M,102.00M,-1.00M,,,9.00M,-138.00M,-42.00M,-231.00M,,142.00M,,-269.00M,-1.00M,430.00M,,2008-03,31.00M,-54.00M,-65.00M,-5.00M,,-124.00M,,2008-03,,,30.00M,-519.00M,-489.00M,,-117.00M,,14.00M,-592.00M,,2008-03,2.891B,2.605B,,2008-03,,,,-519.00M,,,,2008-03,
2007-12,587.00M,,77.00M,34.00M,111.00M,111.00M,72.00M,,,-39.00M,-321.00M,-65.00M,392.00M,-435.00M,729.00M,30.00M,330.00M,-13.00M,1.067B,,2007-12,,294.00M,-31.00M,34.00M,15.00M,-162.00M,,2007-12,,,-128.00M,-39.00M,-167.00M,,-117.00M,,30.00M,-47.00M,,2007-12,2.033B,2.891B,,2007-12,,,,-39.00M,,,,2007-12,Restated
2007-09,546.00M,-2.00M,69.00M,36.00M,105.00M,105.00M,-3.00M,,,16.00M,176.00M,30.00M,107.00M,38.00M,-27.00M,-30.00M,294.00M,-17.00M,939.00M,,2007-09,-93.00M,-221.00M,0.00,-213.00M,99.00M,-311.00M,,2007-09,,,26.00M,-313.00M,-287.00M,,-118.00M,,16.00M,-389.00M,,2007-09,1.794B,2.033B,,2007-09,,,,-313.00M,,,,2007-09,
2007-06,513.00M,21.00M,70.00M,36.00M,106.00M,106.00M,29.00M,,,14.00M,-448.00M,-8.00M,-105.00M,81.00M,197.00M,,-283.00M,6.00M,406.00M,,2007-06,93.00M,-20.00M,-1.00M,,-16.00M,-38.00M,,2007-06,,,44.00M,0.00,44.00M,,-117.00M,,7.00M,-66.00M,,2007-06,1.492B,1.794B,,2007-06,,,,0.00,,,,2007-06,
2007-03,434.00M,-19.00M,62.00M,39.00M,101.00M,101.00M,24.00M,,,1.00M,74.00M,-92.00M,-54.00M,-119.00M,166.00M,,-25.00M,-3.00M,513.00M,,2007-03,,-53.00M,-298.00M,,10.00M,-341.00M,,2007-03,,,58.00M,-153.00M,-95.00M,,-93.00M,,-96.00M,-284.00M,,2007-03,1.604B,1.492B,,2007-03,,,,-153.00M,,,,2007-03,
2006-12,262.00M,,72.00M,38.00M,110.00M,110.00M,15.00M,,,145.00M,54.00M,-84.00M,325.00M,-390.00M,188.00M,-16.00M,77.00M,178.00M,801.00M,,2006-12,-15.00M,182.00M,-24.00M,,258.00M,72.00M,,2006-12,,-319.00M,-192.00M,0.00,-192.00M,,-93.00M,,119.00M,-232.00M,,2006-12,963.00M,1.604B,,2006-12,,,,0.00,,,,2006-12,Restated
