,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2015-12,3.211B,3.211B,2.908B,302.59M,,88.01M,,13.47M,-13.47M,88.01M,214.58M,13.47M,-13.47M,,-13.47M,201.11M,74.52M,126.58M,,126.58M,126.58M,231.48M,16.90M,214.58M,,0.88,,0.88,0.88,,0.88,,0.88,0.88,,143.60M,144.59M,0.43,,AOR,Restated
2015-09,3.419B,3.419B,3.095B,324.50M,,91.79M,,6.559M,-6.559M,91.79M,232.71M,6.559M,-6.559M,,-6.559M,226.15M,86.72M,139.43M,,139.43M,139.43M,249.54M,16.83M,232.71M,,0.96,,0.96,0.96,,0.96,,0.96,0.96,,144.58M,144.78M,0.38,,AOR,Restated
2015-06,3.545B,3.545B,3.225B,320.02M,,90.92M,,5.894M,-5.894M,90.92M,229.10M,5.894M,-5.894M,,-5.894M,223.20M,85.99M,137.21M,,137.21M,137.21M,245.53M,16.44M,229.10M,,0.94,,0.94,0.94,,0.94,,0.94,0.94,,145.52M,145.68M,0.38,,AOR,Restated
2015-03,3.301B,3.301B,3.031B,269.97M,,88.04M,,9.605M,-9.605M,88.04M,181.92M,9.605M,-9.605M,,-9.605M,172.32M,65.84M,106.48M,,106.48M,106.48M,198.17M,16.24M,181.92M,,0.73,,0.73,0.73,,0.73,,0.73,0.73,,146.20M,146.38M,0.38,,AOR,Restated
2014-12,3.357B,3.357B,3.091B,266.70M,,78.97M,,6.40M,-6.40M,78.97M,187.73M,6.40M,-6.40M,,-6.40M,181.33M,68.38M,112.95M,,112.95M,112.95M,201.30M,13.57M,187.73M,,0.77,,0.77,0.77,,0.77,,0.77,0.77,,145.82M,146.71M,0.38,,AOR,Restated
2014-09,3.467B,3.467B,3.184B,282.94M,,79.61M,,6.204M,-6.204M,79.61M,203.34M,6.204M,-6.204M,,-6.204M,197.13M,72.15M,124.98M,,124.98M,124.98M,217.43M,14.09M,203.34M,,0.85,,0.85,0.85,,0.85,,0.85,0.85,,146.65M,146.86M,0.35,,AOR,Restated
2014-06,3.503B,3.503B,3.221B,282.05M,,81.67M,,6.252M,-6.252M,81.67M,200.38M,6.252M,-6.252M,,-6.252M,194.13M,75.53M,118.60M,,118.60M,118.60M,215.18M,14.80M,200.38M,,0.80,,0.80,0.80,,0.80,,0.80,0.80,,147.83M,147.97M,0.35,,AOR,Restated
2014-03,3.143B,3.143B,2.906B,236.94M,,79.97M,,6.131M,-6.131M,79.97M,156.97M,6.131M,-6.131M,,-6.131M,150.84M,57.65M,93.19M,,93.19M,93.19M,171.52M,14.55M,156.97M,,0.63,,0.63,0.63,,0.63,,0.63,0.63,,148.52M,149.01M,0.35,,AOR,Restated
2013-12,3.153B,3.153B,2.912B,240.85M,,85.73M,,6.005M,-6.005M,85.73M,155.11M,6.005M,-6.005M,,-6.005M,149.11M,56.16M,92.95M,,92.95M,92.95M,169.94M,14.83M,155.11M,,0.62,,0.62,0.62,,0.62,,0.62,0.62,,151.20M,151.67M,0.35,,AOR,Restated
2013-09,3.317B,3.317B,3.058B,258.92M,,82.56M,,2.635M,-2.635M,82.56M,176.36M,2.635M,-2.635M,,-2.635M,173.72M,65.98M,107.74M,,107.74M,107.74M,190.46M,14.10M,176.36M,,0.69,,0.69,0.69,,0.69,,0.69,0.69,,156.92M,157.04M,0.35,,AOR,Restated
2013-06,3.288B,3.288B,3.022B,266.59M,,84.12M,,0.589M,-0.589M,84.12M,182.48M,0.589M,-0.589M,,-0.589M,181.89M,70.02M,111.87M,,111.87M,111.87M,196.62M,14.14M,182.48M,,0.70,,0.70,0.70,,0.70,,0.70,0.70,,159.82M,159.92M,0.35,,AOR,Restated
2013-03,2.994B,2.994B,2.751B,243.08M,,74.37M,,,,74.37M,168.71M,,,-0.06M,,168.65M,65.30M,103.34M,,103.34M,103.38M,182.51M,13.81M,168.71M,,0.64,,0.6402,0.64,,0.64,,0.6402,0.64,,160.64M,160.69M,0.35,,AOR,Restated
2012-12,2.971B,2.971B,2.752B,218.59M,,84.99M,,,,84.99M,133.60M,,,,,415.77M,159.38M,256.39M,,256.39M,256.39M,145.61M,12.01M,133.60M,,1.59,,1.59,1.59,,1.58,,1.58,1.58,,160.88M,161.66M,0.35,,AOR,Restated
2012-09,2.880B,2.880B,2.627B,253.33M,,66.07M,,,,66.07M,187.26M,,,0.076M,,187.33M,71.00M,116.33M,,116.33M,116.28M,196.13M,8.873M,187.26M,,0.72,,0.7197,0.72,,0.72,,0.7197,0.72,,160.78M,161.00M,0.33,,AOR,Restated
2012-06,2.956B,2.956B,2.707B,248.34M,,63.42M,,,,63.42M,184.91M,,,0.686M,,185.60M,71.02M,114.58M,,114.58M,114.16M,193.70M,8.791M,184.91M,,0.71,,0.7074,0.71,,0.71,,0.7074,0.71,,161.89M,162.20M,0.33,,AOR,Restated
2012-03,2.552B,2.552B,2.321B,231.31M,,61.76M,,,,61.76M,169.54M,,,0.214M,,169.76M,63.26M,106.50M,,106.50M,106.37M,177.96M,8.417M,169.54M,,0.65,,0.6492,0.65,,0.65,,0.6492,0.65,,162.69M,163.02M,0.33,,AOR,Restated
2011-12,2.568B,2.568B,2.863B,-294.85M,,-466.80M,,,,-466.80M,171.96M,,,1.373M,,173.33M,64.11M,109.21M,,109.21M,109.21M,180.74M,8.784M,171.96M,,0.67,,0.67,0.67,,0.67,,0.67,0.67,,162.92M,163.68M,0.33,,AOR,Restated
2011-09,2.695B,2.695B,2.272B,423.07M,239.10M,239.10M,0.05M,,,239.10M,183.96M,,,0.05M,,184.02M,69.67M,114.35M,,114.35M,114.32M,192.38M,8.415M,183.96M,,0.70,0.00,0.6998,0.70,,0.70,0.00,0.6998,0.70,,163.95M,164.47M,0.29,,AOR,Restated
2011-06,2.708B,2.708B,2.290B,417.87M,237.77M,237.77M,0.326M,,,237.77M,180.10M,,,0.326M,,180.42M,69.40M,111.02M,,111.02M,110.82M,188.26M,8.16M,180.10M,,0.67,0.00,0.6688,0.67,,0.67,0.00,0.6688,0.67,,164.61M,165.19M,0.29,,AOR,Restated
2011-03,2.365B,2.365B,1.975B,390.34M,233.63M,233.63M,0.225M,,,233.63M,156.72M,,,0.225M,,156.94M,59.91M,97.03M,,97.03M,96.89M,163.85M,7.139M,156.72M,,0.59,0.00,0.5892,0.59,,0.59,0.00,0.5892,0.59,,165.12M,165.76M,0.29,,AOR,Restated
2010-12,2.325B,2.325B,2.569B,-243.90M,,-407.96M,,,,-407.96M,164.06M,,,0.256M,,164.32M,61.16M,103.16M,,103.16M,103.16M,171.32M,7.256M,164.06M,,0.63,,0.63,0.63,,0.62,,0.62,0.62,,164.73M,165.93M,0.29,,AOR,Restated
2010-09,2.420B,2.420B,2.038B,382.58M,216.25M,216.25M,0.149M,,,216.25M,166.33M,,,0.149M,,166.48M,63.86M,102.63M,,102.63M,102.54M,173.74M,7.412M,166.33M,,0.62,0.00,0.6194,0.62,,0.62,0.00,0.6194,0.62,,164.69M,165.58M,0.25,,AOR,Restated
2010-06,2.454B,2.454B,2.089B,364.63M,208.18M,208.18M,0.363M,,,208.18M,156.46M,,,0.363M,,156.82M,59.59M,97.23M,,97.23M,97.00M,163.60M,7.142M,156.46M,,0.59,0.00,0.5886,0.59,,0.59,0.00,0.5886,0.59,,164.75M,165.76M,0.25,,AOR,Restated
2010-03,2.075B,2.075B,1.742B,332.60M,196.59M,196.59M,0.474M,,,196.59M,136.01M,,,0.474M,,136.48M,52.47M,84.01M,,84.01M,83.72M,143.57M,7.559M,136.01M,,0.51,0.00,0.5082,0.51,,0.50,0.00,0.4982,0.50,,165.44M,166.58M,0.25,,AOR,Restated
2009-12,2.008B,2.008B,1.669B,339.09M,196.33M,196.33M,0.592M,,,196.33M,142.76M,,,0.592M,,143.35M,55.62M,87.73M,,87.73M,87.37M,151.08M,8.319M,142.76M,,0.53,0.00,0.5278,0.53,,0.52,0.00,0.5178,0.52,,166.28M,167.54M,0.25,,AOR,Restated
2009-09,1.955B,1.955B,1.602B,352.57M,197.76M,197.76M,0.439M,,,197.76M,154.80M,,,0.439M,,155.24M,59.78M,95.46M,,95.46M,95.19M,162.34M,7.541M,154.80M,,0.57,0.00,0.5684,0.57,,0.57,0.00,0.5684,0.57,,167.19M,168.65M,0.24,,AOR,Restated
2009-06,1.926B,1.926B,1.574B,351.70M,201.82M,201.82M,0.729M,,,201.82M,149.88M,,,0.729M,,150.61M,58.36M,92.25M,,92.25M,91.81M,157.06M,7.173M,149.88M,,0.55,0.00,0.5473,0.55,,0.54,0.00,0.5374,0.54,,167.97M,169.58M,0.24,,AOR,Restated
2009-03,1.688B,1.688B,1.349B,338.60M,201.24M,201.24M,0.49M,,,201.24M,137.37M,,,0.49M,,137.86M,52.48M,85.38M,,85.38M,85.08M,144.85M,7.481M,137.37M,,0.50,0.00,0.4982,0.50,,0.50,0.00,0.4982,0.50,,169.14M,170.82M,0.24,,AOR,Restated
2008-12,1.955B,1.955B,1.611B,344.16M,,201.78M,1.023M,,,201.78M,142.38M,,,1.023M,,143.41M,54.53M,88.88M,,88.88M,88.25M,150.35M,7.966M,142.38M,,0.52,0.00,0.5162,0.52,,0.52,0.00,0.5163,0.52,,167.93M,171.22M,0.24,,AOR,Restated
2008-09,2.317B,2.317B,1.965B,351.59M,,202.97M,1.595M,,,202.97M,148.62M,,,1.595M,,150.21M,56.65M,93.56M,,93.56M,92.57M,156.45M,7.828M,148.62M,,0.55,0.00,0.5441,0.55,,0.54,0.00,0.5342,0.54,,168.86M,172.45M,0.22,,,
2008-06,2.322B,2.322B,1.981B,341.19M,,196.68M,1.709M,,,196.68M,144.51M,,,1.709M,,146.22M,55.80M,90.42M,,90.42M,89.36M,152.21M,7.707M,144.51M,,0.53,0.00,0.5238,0.53,,0.52,0.00,0.5139,0.52,,169.73M,173.48M,0.22,,,
2008-03,1.985B,1.985B,1.647B,338.03M,,201.95M,2.474M,,,201.95M,136.08M,,,2.474M,,138.55M,52.23M,86.32M,,86.32M,84.78M,143.74M,7.663M,136.08M,,0.51,0.00,0.5009,0.51,,0.50,0.00,0.4911,0.50,,169.86M,174.03M,0.22,,,
2007-12,1.952B,1.952B,1.629B,322.75M,,189.88M,3.337M,,,189.88M,132.87M,,,3.337M,,136.21M,50.96M,85.25M,,85.25M,83.17M,140.17M,7.301M,132.87M,,0.50,0.00,0.4877,0.50,,0.49,0.00,0.4780,0.49,,169.58M,174.10M,0.22,,,Restated
2007-09,1.865B,1.865B,1.552B,313.20M,,181.37M,3.467M,,,181.37M,131.83M,,,3.467M,,135.30M,51.55M,83.74M,,83.74M,81.60M,138.73M,6.903M,131.83M,,0.49,0.00,0.4774,0.49,,0.48,0.00,0.4676,0.48,,170.27M,173.35M,0.18,,,
2007-06,1.880B,1.880B,1.569B,310.90M,,181.10M,3.43M,,,181.10M,129.79M,,,3.43M,,133.22M,50.92M,82.30M,,82.30M,80.18M,136.40M,6.61M,129.79M,,0.48,0.00,0.4676,0.48,,0.47,0.00,0.4578,0.47,,170.94M,174.20M,0.18,,,
2007-03,1.619B,1.619B,1.322B,296.93M,,181.74M,3.596M,,,181.74M,115.19M,,,3.596M,,118.78M,45.82M,72.96M,,72.96M,70.76M,121.74M,6.552M,115.19M,,0.43,0.00,0.4171,0.43,,0.42,0.00,0.4074,0.42,,171.18M,174.89M,0.18,,,
2006-12,1.643B,1.643B,1.364B,278.52M,,168.15M,,,,168.15M,110.38M,,,,,113.70M,41.88M,71.83M,,71.83M,71.83M,116.56M,6.19M,110.38M,,0.42,0.00,0.42,0.42,,0.42,0.00,0.42,0.42,,170.55M,174.18M,0.18,,,
2006-09,1.713B,1.713B,1.435B,278.35M,,167.23M,,,,167.23M,111.12M,,,,,114.09M,43.70M,70.39M,,70.39M,70.39M,117.31M,6.195M,111.12M,,0.41,0.00,0.41,0.41,,0.40,0.00,0.40,0.40,,170.92M,174.78M,0.13,,,
2006-06,1.701B,1.701B,1.430B,270.62M,,166.70M,2.877M,,,166.70M,103.92M,,,2.877M,,106.80M,40.20M,66.59M,,66.59M,64.80M,109.90M,5.98M,103.92M,,0.39,0.00,0.3795,0.39,,0.38,0.00,0.3698,0.38,,171.22M,175.20M,0.13,,,
2006-03,1.499B,1.499B,1.244B,255.06M,,162.62M,0.082M,,,162.62M,92.43M,,,0.082M,,95.10M,36.98M,58.11M,,58.11M,58.06M,98.00M,5.567M,92.43M,,0.34,0.00,0.3397,0.34,,0.33,0.00,0.3297,0.33,,171.22M,175.27M,0.13,,,
2005-12,1.583B,1.583B,1.347B,236.08M,,143.46M,,,,143.46M,92.62M,,,,,94.73M,36.58M,58.15M,,58.15M,58.15M,97.80M,5.174M,92.62M,,0.35,0.00,0.35,0.35,,0.33,0.00,0.33,0.33,,169.99M,175.72M,0.13,,,
2005-09,1.485B,1.485B,1.256B,228.87M,,143.26M,,,,143.26M,85.62M,,,,,87.48M,33.39M,54.09M,,54.09M,54.09M,90.33M,4.713M,85.62M,,0.32,0.00,0.32,0.32,,0.31,0.00,0.31,0.31,,170.10M,174.53M,0.075,,,
2005-06,1.405B,1.405B,1.190B,215.41M,,135.08M,1.287M,,,135.08M,80.33M,,,1.287M,,81.62M,32.27M,49.35M,,49.35M,48.57M,85.06M,4.73M,80.33M,,0.29,0.00,0.2854,0.29,,0.28,0.00,0.2755,0.28,,170.24M,174.39M,0.075,,,
2005-03,1.215B,1.215B,1.016B,199.38M,,131.59M,0.117M,,,131.59M,67.79M,,,0.117M,,68.92M,27.15M,41.78M,,41.78M,41.71M,71.68M,3.883M,67.79M,,0.25,0.00,0.2496,0.25,,0.24,0.00,0.2396,0.24,,169.88M,174.13M,0.075,,,
2004-12,1.194B,1.194B,1.013B,181.18M,,119.11M,,,,119.11M,62.07M,,,,,63.41M,24.85M,38.56M,,38.56M,38.56M,65.42M,3.353M,62.07M,,0.225,0.00,0.225,0.225,,0.22,0.00,0.22,0.22,,169.08M,173.53M,0.075,,,
2004-09,1.124B,1.124B,951.63M,172.17M,,111.16M,-0.08M,,,111.16M,61.01M,,,-0.08M,,61.57M,24.22M,37.35M,,37.35M,37.40M,64.10M,3.087M,61.01M,,0.22,0.00,0.2203,0.22,,0.215,0.00,0.2153,0.215,,169.23M,173.10M,0.06,,,
2004-06,1.077B,1.077B,919.05M,158.06M,,105.54M,-0.039M,,,105.54M,52.52M,,,-0.039M,,53.24M,20.96M,32.28M,,32.28M,32.30M,55.26M,2.74M,52.52M,,0.19,0.00,0.1901,0.19,,0.185,0.00,0.1851,0.185,,169.35M,173.13M,0.06,,,
2004-03,946.61M,946.61M,797.03M,149.58M,,102.41M,0.07M,,,102.41M,47.17M,,,0.07M,,47.83M,18.76M,29.07M,,29.07M,29.03M,49.80M,2.634M,47.17M,,0.17,0.00,0.1697,0.17,,0.17,0.00,0.1698,0.17,,169.24M,172.83M,0.06,,,
2003-12,942.36M,942.36M,802.45M,139.91M,,100.28M,0.098M,,,100.28M,39.63M,,,0.098M,,40.48M,17.80M,22.68M,,22.68M,22.62M,42.48M,2.85M,39.63M,,0.14,0.00,0.1397,0.14,,0.13,0.00,0.1297,0.13,,168.85M,172.59M,0.06,,,
2003-09,919.34M,919.34M,783.52M,135.82M,,89.01M,0.061M,,,89.01M,46.81M,,,0.061M,,47.15M,18.25M,28.90M,,28.90M,28.87M,49.48M,2.676M,46.81M,,0.17,0.00,0.1698,0.17,,0.17,0.00,0.1698,0.17,,168.80M,172.46M,0.04,,,
2003-06,935.21M,935.21M,799.18M,136.02M,,89.87M,1.05M,,,89.87M,46.15M,,,1.05M,,47.20M,18.25M,28.95M,,28.95M,28.31M,48.84M,2.686M,46.15M,,0.17,0.00,0.1662,0.17,,0.17,0.00,0.1663,0.17,,168.78M,172.25M,0.04,,,
2003-03,816.74M,816.74M,683.65M,133.09M,,89.63M,0.344M,,,89.63M,43.46M,,,0.344M,,43.80M,16.97M,26.84M,,26.84M,26.63M,46.24M,2.78M,43.46M,,0.16,0.00,0.1588,0.16,,0.155,0.00,0.1538,0.155,,168.66M,171.25M,0.04,,,
2002-12,839.48M,839.48M,713.95M,125.53M,,93.77M,0.123M,,,93.77M,31.76M,,,0.123M,,32.23M,14.43M,17.80M,,17.80M,17.73M,35.13M,3.368M,31.76M,,0.105,0.00,0.1046,0.105,,0.10,0.00,0.0996,0.10,,169.13M,171.67M,0.04,,,
2002-09,872.24M,872.24M,749.16M,123.08M,,80.72M,-0.242M,,,80.72M,42.36M,,,-0.242M,,42.54M,16.59M,25.95M,,25.95M,26.10M,45.90M,3.54M,42.36M,,0.155,0.00,0.1559,0.155,,0.15,0.00,0.1509,0.15,,168.58M,171.00M,0.03,,,
2002-06,842.72M,842.72M,721.15M,121.57M,,80.60M,0.352M,,,80.60M,40.97M,,,0.352M,,41.32M,16.12M,25.21M,,25.21M,24.99M,44.55M,3.579M,40.97M,,0.15,0.00,0.1487,0.15,,0.145,0.00,0.1438,0.145,,168.68M,171.96M,0.03,,,
2002-03,740.03M,740.03M,626.43M,113.60M,,79.76M,0.328M,,,79.76M,33.84M,,,0.328M,,34.17M,13.32M,20.84M,,20.84M,20.64M,37.38M,3.542M,33.84M,,0.125,0.00,0.1238,0.125,,0.12,0.00,0.1188,0.12,,169.13M,171.96M,0.03,,,
2001-12,776.38M,776.38M,664.31M,112.07M,,78.50M,0.346M,,,78.50M,33.57M,,,0.346M,,33.92M,13.33M,20.59M,,20.59M,20.38M,38.29M,4.719M,33.57M,,0.105,0.00,0.1038,0.105,,0.10,0.00,0.0988,0.10,,168.96M,171.54M,0.03,,,
2001-09,784.52M,784.52M,671.32M,113.19M,,78.42M,2.508M,,,78.42M,34.77M,,,2.508M,,37.28M,14.65M,22.63M,,22.63M,21.11M,39.59M,4.817M,34.77M,,0.135,0.00,0.1260,0.135,,0.13,0.00,0.1211,0.13,,168.59M,171.39M,0.025,,,
2001-06,796.69M,796.69M,678.69M,118.00M,,81.45M,0.739M,,,81.45M,36.56M,,,0.739M,,37.30M,14.65M,22.64M,,22.64M,22.19M,41.32M,4.762M,36.56M,,0.135,0.00,0.1323,0.135,,0.13,0.00,0.1274,0.13,,168.71M,171.76M,0.025,,,
2001-03,732.48M,732.48M,619.18M,113.31M,,83.94M,0.506M,,,83.94M,29.37M,,,0.506M,,29.88M,11.75M,18.13M,,18.13M,17.83M,34.21M,4.838M,29.37M,,0.105,0.00,0.1032,0.105,,0.105,0.00,0.1032,0.105,,168.74M,171.51M,0.025,,,
2000-12,733.48M,733.48M,626.06M,107.42M,,77.08M,0.462M,,,77.08M,30.33M,,,0.462M,,30.80M,12.17M,18.63M,,18.63M,18.35M,34.91M,4.574M,30.33M,,0.1101,,0.1084,0.1101,,0.10,0.00,0.0984,0.10,,169.24M,178.42M,0.025,,,
2000-09,747.62M,747.62M,640.46M,107.15M,,77.00M,0.361M,,,77.00M,30.15M,,,0.361M,,30.51M,12.05M,18.46M,,18.46M,18.24M,34.55M,4.398M,30.15M,,0.11,0.00,0.1087,0.11,,0.11,0.00,0.1087,0.11,,169.04M,171.84M,0.02,,,
2000-06,750.99M,750.99M,644.60M,106.40M,,74.96M,-0.123M,,,74.96M,31.44M,,,-0.123M,,31.31M,12.37M,18.94M,,18.94M,19.02M,35.58M,4.142M,31.44M,,0.115,0.00,0.1154,0.115,,0.11,0.00,0.1104,0.11,,169.16M,171.25M,0.02,,,
2000-03,650.09M,650.09M,551.72M,98.38M,,73.29M,0.05M,,,73.29M,25.09M,,,0.05M,,25.14M,9.93M,15.21M,,15.21M,15.18M,29.29M,4.204M,25.09M,,0.09,0.00,0.0898,0.09,,0.09,0.00,0.0898,0.09,,169.12M,170.95M,0.02,,,
