,NetIncome,Gain/LossonSaleBusiness,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2018-06,159.16M,,,24.24M,24.24M,-8.988M,26.57M,-1.278M,0.345M,-225.78M,,-1.001M,99.57M,,,32.64M,-94.58M,107.90M,,-14.62M,,-8.85M,-5.77M,-1.315M,,-0.82M,-16.76M,,591.01M,-585.00M,6.012M,,-72.60M,-72.60M,-65.18M,-65.18M,11.35M,,-120.42M,,349.78M,-29.27M,-9.937M,310.58M,,,890.01M,-884.00M,-72.60M,,AOR,Restated
2018-03,142.30M,,,24.24M,24.24M,-0.026M,18.13M,-6.224M,0.323M,-23.32M,,6.327M,68.96M,,,-36.77M,15.20M,200.57M,,-15.46M,,-11.72M,-3.744M,0.00,,-0.726M,-16.19M,,,-64.00M,-64.00M,,-65.79M,-65.79M,-65.38M,-65.38M,24.50M,,-170.68M,,333.89M,13.70M,2.187M,349.78M,,,2.119B,-2.183B,-65.79M,,AOR,Restated
2017-12,152.56M,,,23.64M,23.64M,-21.32M,17.30M,-1.749M,3.139M,13.10M,,-9.85M,-9.904M,,,-3.568M,-10.22M,165.65M,,-11.53M,,-7.99M,-3.537M,-0.622M,,-0.725M,-12.87M,,0.00,-4.00M,-4.00M,,-56.30M,-56.30M,-65.46M,-65.46M,14.86M,,-110.90M,,297.31M,41.88M,-5.293M,333.89M,,,2.336B,-2.34B,-56.30M,,AOR,Restated
2017-09,119.19M,,-0.536M,23.96M,23.96M,-1.791M,7.667M,-1.325M,-4.907M,-132.60M,,10.32M,22.54M,,,16.05M,-83.68M,68.34M,,-13.45M,,-8.027M,-5.421M,-46.67M,,1.299M,-58.82M,,0.00,127.00M,127.00M,,-60.62M,-60.62M,-63.96M,-63.96M,3.456M,,5.88M,,273.18M,15.40M,8.722M,297.31M,,,2.166B,-2.039B,-60.62M,,AOR,Restated
2017-06,111.07M,,0.051M,22.95M,22.95M,-2.94M,4.524M,-1.239M,3.285M,-149.48M,,-3.597M,57.42M,,,14.51M,-81.15M,57.32M,,-16.25M,,-10.57M,-5.682M,0.00,,-1.151M,-17.40M,,250.00M,-148.00M,102.00M,,-42.17M,-42.17M,-64.21M,-64.21M,3.991M,,-0.384M,,229.79M,39.53M,3.858M,273.18M,,,2.082B,-1.98B,-42.17M,,AOR,Restated
2017-03,122.08M,,0.485M,22.43M,22.43M,-2.048M,12.32M,-9.344M,2.974M,-95.20M,,-6.049M,83.29M,,,-38.88M,-56.84M,92.70M,,-16.72M,,-13.54M,-3.183M,-1.78M,,0.056M,-18.44M,,,0.00,0.00,,-47.95M,-47.95M,-64.60M,-64.60M,15.82M,,-96.73M,,247.67M,-22.48M,4.604M,229.79M,,,2.45B,-2.45B,-47.95M,,AOR,Restated
2016-12,122.30M,,-0.566M,21.95M,21.95M,-6.823M,6.939M,-1.255M,-11.51M,-35.40M,,5.77M,33.96M,,,1.394M,5.724M,152.58M,,-20.33M,,-17.33M,-2.999M,0.00,,-0.613M,-20.94M,,0.00,15.00M,15.00M,,-64.30M,-64.30M,-54.30M,-54.30M,3.268M,1.255M,-99.08M,,224.45M,32.56M,-9.348M,247.67M,,,2.185B,-2.17B,-64.30M,,AOR,Restated
2016-09,129.03M,,0.20M,17.66M,17.66M,4.828M,4.841M,-2.103M,2.738M,-43.78M,,6.918M,1.641M,,,9.746M,-25.48M,129.57M,,-27.14M,,-22.64M,-4.493M,-220.20M,,-0.33M,-247.67M,,0.00,260.00M,260.00M,,-66.92M,-66.92M,-63.61M,-63.61M,3.871M,2.103M,135.44M,,207.08M,17.34M,0.026M,224.45M,,,1.575B,-1.315B,-66.92M,,AOR,Restated
2016-06,143.09M,,0.186M,18.18M,18.18M,1.654M,10.61M,-1.277M,9.329M,-136.32M,,-11.69M,94.84M,,,21.79M,-31.39M,143.11M,,-26.15M,,-20.36M,-5.789M,0.00,,0.365M,-25.79M,,0.00,-5.00M,-5.00M,,-24.86M,-24.86M,-63.63M,-63.63M,5.142M,1.277M,-87.08M,,179.41M,30.25M,-2.573M,207.08M,,,1.36B,-1.365B,-24.86M,,AOR,Restated
2016-03,118.96M,,0.18M,16.88M,16.88M,15.35M,15.18M,-13.83M,1.352M,42.30M,,-7.378M,0.859M,,,-84.43M,-48.66M,104.15M,,-17.82M,,-13.12M,-4.704M,0.00,,-0.77M,-18.60M,,,20.00M,20.00M,,-53.52M,-53.52M,-63.89M,-63.89M,6.99M,13.83M,-76.59M,,168.23M,8.965M,2.212M,179.41M,,,1.48B,-1.46B,-53.52M,,AOR,Restated
2015-12,126.58M,,-0.459M,16.90M,16.90M,-8.739M,14.15M,,-36.10M,146.61M,,6.119M,-68.47M,,,22.78M,107.04M,253.89M,,-11.83M,,-8.798M,-3.033M,-2.725M,,0.106M,-14.45M,,,-80.00M,-80.00M,,-69.14M,-69.14M,-64.17M,-64.17M,2.521M,1.25M,-209.53M,,143.09M,29.91M,-4.769M,168.23M,,,1.325B,-1.405B,-69.14M,,AOR,Restated
2015-09,139.43M,,0.021M,16.83M,16.83M,-6.576M,12.49M,,12.49M,48.61M,,13.46M,-41.77M,,,27.83M,48.12M,213.25M,,-13.21M,,-7.775M,-5.431M,2.035M,,0.174M,-11.00M,,,-100.00M,-100.00M,,-71.98M,-71.98M,-56.93M,-56.93M,3.178M,1.258M,-224.48M,,171.45M,-22.23M,-6.137M,143.09M,,,1.615B,-1.715B,-71.98M,,AOR,Restated
2015-06,137.21M,,0.009M,16.44M,16.44M,-2.206M,15.68M,,15.68M,-60.06M,,-7.163M,13.85M,,,31.98M,-21.39M,150.80M,,-12.94M,,-7.647M,-5.292M,0.00,,-0.101M,-13.04M,,,0.00,0.00,,-52.86M,-52.86M,-57.18M,-57.18M,2.944M,1.198M,-105.90M,,135.78M,31.86M,3.806M,171.45M,,,1.868B,-1.868B,-52.86M,,AOR,Restated
2015-03,106.48M,,0.429M,16.24M,16.24M,0.426M,15.34M,,15.34M,-27.60M,,-12.64M,61.01M,,,-63.27M,-42.51M,100.40M,,-6.666M,,-3.895M,-2.771M,-369.14M,,359.85M,-15.96M,,,25.00M,25.00M,,-47.25M,-47.25M,-57.34M,-57.34M,6.914M,4.842M,-67.83M,,128.94M,16.60M,-9.76M,135.78M,,,2.025B,-2.00B,-47.25M,,AOR,Restated
2014-12,112.95M,0.00,-0.568M,13.57M,13.57M,-4.018M,14.30M,,-32.85M,69.87M,,10.38M,-25.54M,,,17.29M,71.99M,208.10M,,-4.366M,,-3.073M,-1.293M,0.00,,-359.82M,-364.19M,,,260.00M,260.00M,,-39.73M,-39.73M,-57.42M,-57.42M,2.129M,-0.128M,164.86M,,127.72M,8.773M,-7.549M,128.94M,,,1.325B,-1.065B,-39.73M,,AOR,Restated
2014-09,124.98M,0.00,0.068M,14.09M,14.09M,-4.993M,17.14M,,17.14M,54.36M,,10.13M,-72.81M,,,29.20M,20.88M,176.95M,,-6.312M,,-4.431M,-1.881M,0.00,,0.16M,-6.152M,,,-55.00M,-55.00M,,-76.76M,-76.76M,-52.68M,-52.68M,2.396M,1.004M,-181.04M,,144.22M,-10.24M,-6.258M,127.72M,,,1.063B,-1.118B,-76.76M,,AOR,Restated
2014-06,118.60M,0.00,0.128M,14.80M,14.80M,-0.863M,11.63M,,11.63M,-92.61M,,2.072M,23.38M,,,31.94M,-35.22M,113.93M,,-6.229M,,-3.736M,-2.493M,0.00,,0.00,-6.229M,,,-10.00M,-10.00M,,-47.21M,-47.21M,-52.49M,-52.49M,2.731M,0.945M,-106.02M,,142.81M,1.679M,-0.277M,144.22M,,,1.21B,-1.22B,-47.21M,,AOR,Restated
2014-03,93.19M,-1.848M,-1.476M,14.55M,14.55M,6.757M,4.793M,,4.793M,-168.72M,,-16.29M,113.18M,,,-37.81M,-109.64M,14.44M,,-12.60M,,-11.12M,-1.471M,0.00,,0.268M,-12.33M,,,35.00M,35.00M,,-12.95M,-12.95M,-52.42M,-52.42M,4.686M,4.253M,-21.43M,,162.05M,-19.32M,0.084M,142.81M,,,1.225B,-1.19B,-12.95M,,AOR,Restated
2013-12,92.95M,0.00,-0.227M,14.83M,14.83M,-3.47M,-1.762M,,-10.54M,110.15M,,5.211M,-66.34M,,,7.926M,56.95M,164.85M,,-13.97M,,-12.49M,-1.477M,0.00,,0.00,-13.97M,,0.00,25.00M,25.00M,,-93.92M,-93.92M,-53.13M,-53.13M,2.269M,1.029M,-118.75M,,129.72M,32.13M,0.196M,162.05M,,,1.111B,-1.086B,-93.92M,,AOR,Restated
2013-09,107.74M,0.00,0.089M,14.10M,14.10M,2.703M,0.971M,,0.971M,1.201M,,1.681M,-20.77M,,,12.25M,-5.63M,124.66M,,-11.66M,,-9.545M,-2.114M,0.00,,0.114M,-11.54M,,500.00M,-15.65M,484.35M,,-569.19M,-569.19M,-54.10M,-54.10M,2.599M,1.425M,-134.91M,,150.02M,-21.80M,1.507M,129.72M,,,1.42B,-935.65M,-569.19M,,AOR,Restated
2013-06,111.87M,0.00,0.103M,14.14M,14.14M,-1.31M,4.77M,,4.77M,-124.40M,,0.012M,93.15M,,,14.64M,-16.60M,116.32M,,-12.40M,,-9.571M,-2.829M,19.13M,,0.064M,6.79M,,,-24.98M,-24.98M,,-52.43M,-52.43M,-56.56M,-56.56M,2.895M,1.201M,-129.87M,,159.90M,-6.756M,-3.127M,150.02M,,,1.126B,-1.151B,-52.43M,,AOR,Restated
2013-03,103.34M,0.00,0.035M,13.81M,13.81M,27.30M,5.115M,,5.115M,-74.27M,,-12.16M,-73.61M,,,-49.92M,-209.95M,-58.05M,,-10.18M,,-8.745M,-1.432M,,,0.043M,-10.13M,,,136.98M,136.98M,,-91.91M,-91.91M,-56.47M,-56.47M,7.403M,22.63M,18.63M,,210.02M,-49.56M,-0.562M,159.90M,,,1.008B,-871.02M,-91.91M,,AOR,Restated
2012-12,256.39M,,-280.74M,12.01M,12.01M,-18.30M,38.30M,,38.30M,115.25M,,7.302M,51.06M,,,9.586M,183.20M,193.19M,,-11.76M,,-8.00M,-3.765M,-308.83M,,0.213M,-320.38M,,0.00,248.36M,248.36M,,-78.60M,-78.60M,-112.08M,-112.08M,5.028M,1.415M,64.13M,,272.96M,-63.07M,0.13M,210.02M,,,324.05M,-75.69M,-78.60M,,AOR,Restated
2012-09,116.33M,,0.00,8.873M,8.873M,0.313M,4.518M,,4.518M,26.00M,,3.589M,-30.43M,,,23.40M,22.56M,157.13M,,-13.92M,,-10.69M,-3.228M,0.00,,0.014M,-13.91M,,0.00,0.00,0.00,,-63.75M,-63.75M,-54.12M,-54.12M,3.104M,2.177M,-112.59M,,240.63M,30.63M,1.697M,272.96M,,,0.00,0.00,-63.75M,,AOR,Restated
2012-06,114.58M,,2.379M,8.791M,8.791M,-0.609M,6.793M,,6.793M,-168.77M,,-6.431M,59.52M,,,17.93M,-97.75M,32.94M,,-11.15M,,-7.515M,-3.635M,0.00,,0.188M,-10.96M,,,0.00,0.00,,-40.88M,-40.88M,-54.43M,-54.43M,3.108M,1.655M,-90.55M,,311.36M,-68.56M,-2.173M,240.63M,,,0.00,0.00,-40.88M,,AOR,Restated
2012-03,106.50M,,0.018M,8.417M,8.417M,4.152M,9.766M,,9.766M,-60.59M,,0.80M,72.64M,,,-69.47M,-56.62M,77.08M,,-13.82M,,-9.888M,-3.932M,,,0.004M,-13.82M,,,0.00,0.00,,-72.62M,-72.62M,-54.72M,-54.72M,7.628M,-5.614M,-125.33M,,373.67M,-62.06M,-0.242M,311.36M,,,0.00,0.00,-72.62M,,AOR,Restated
2011-12,,,,8.784M,8.784M,,6.527M,,-283.89M,46.31M,,-9.027M,-55.06M,,,,2.992M,136.16M,,-23.72M,,-6.851M,,,0.00,0.021M,-23.70M,,4.318M,,4.318M,-15.13M,-80.16M,-95.29M,,-48.38M,,-2.03M,-122.45M,,382.74M,-9.994M,0.926M,373.67M,,-15.13M,,4.318M,-80.16M,,AOR,Restated
2011-09,,,,8.415M,8.415M,,9.465M,,115.06M,70.21M,,5.904M,2.793M,,,,78.91M,214.70M,,-9.296M,,-9.296M,,,0.00,5.156M,-4.14M,,0.00,,0.00,3.347M,-98.75M,-95.40M,,-48.76M,,1.914M,-142.24M,,315.90M,68.32M,-1.48M,382.74M,,3.347M,,0.00,-98.75M,,AOR,Restated
2011-06,,,,8.16M,8.16M,,10.10M,,112.23M,-137.08M,,-4.373M,35.55M,,,,-105.91M,26.24M,,-10.16M,,-10.16M,,,0.984M,-0.013M,-9.184M,,-0.468M,,-0.468M,4.587M,-25.86M,-21.28M,,-48.71M,,9.521M,-60.93M,,359.34M,-43.88M,0.439M,315.90M,,4.587M,,-0.468M,-25.86M,,AOR,Restated
2011-03,,,,7.139M,7.139M,,12.51M,,95.21M,-142.12M,,-4.078M,81.56M,,,,-64.64M,52.61M,,-9.63M,,-9.63M,,,8.327M,0.018M,-1.285M,,-3.85M,,-3.85M,7.193M,-45.50M,-38.31M,,-48.85M,,1.532M,-89.48M,,398.61M,-38.15M,-1.124M,359.34M,,7.193M,,-3.85M,-45.50M,,AOR,Restated
2010-12,387.03M,,,7.256M,7.256M,,14.48M,,-257.60M,103.76M,,4.45M,-34.44M,,,,82.84M,207.64M,,-6.962M,,-3.718M,-3.244M,,24.88M,-0.072M,17.85M,,,,,,-47.33M,-47.33M,,-42.19M,10.82M,3.595M,-75.10M,,249.43M,150.39M,-1.216M,398.61M,,,,,-47.33M,,AOR,Restated
2010-09,,,,7.412M,7.412M,,10.19M,,102.82M,3.218M,,5.246M,-6.00M,,,,2.464M,127.26M,,-8.97M,,-1.255M,-7.715M,,15.24M,0.015M,6.285M,,,,,-8.909M,-20.91M,-29.82M,,-42.07M,13.23M,5.20M,-53.46M,,166.12M,80.08M,3.223M,249.43M,,-8.909M,,,-20.91M,,AOR,Restated
2010-06,-84.01M,,,7.142M,7.142M,,7.717M,,188.72M,-151.97M,,-3.415M,37.35M,,,,-118.04M,5.948M,,-8.377M,,-8.377M,,,4.298M,-5.002M,-9.081M,,,,,3.555M,-20.94M,-17.38M,,-42.23M,,1.906M,-57.71M,,229.64M,-60.84M,-2.681M,166.12M,,3.555M,,,-20.94M,,AOR,Restated
2010-03,84.01M,,,7.559M,7.559M,,4.664M,,3.111M,-119.12M,,-4.401M,25.46M,,,,-98.06M,3.925M,,-4.368M,,-4.368M,,,-2.06M,-0.025M,-6.453M,,,,,5.354M,-68.20M,-62.85M,,-42.41M,,2.391M,-102.86M,,337.31M,-105.39M,-2.27M,229.64M,,5.354M,,,-68.20M,,AOR,Restated
2009-12,87.73M,,,8.319M,8.319M,-0.63M,4.08M,,5.94M,-4.872M,,2.223M,27.15M,,,,24.50M,130.20M,,-5.473M,,-5.473M,,2.392M,-39.31M,-0.028M,-42.42M,,,,,3.493M,-89.94M,-86.44M,,-40.84M,,1.914M,-125.37M,,376.27M,-37.59M,-1.377M,337.31M,,3.493M,,,-89.94M,,AOR,Restated
2009-09,95.46M,,,7.541M,7.541M,,5.52M,,6.151M,44.20M,,-0.647M,-2.196M,,,,41.36M,156.03M,,-8.968M,,-8.968M,,-31.12M,-11.30M,0.174M,-51.22M,,,,,1.175M,-50.09M,-48.91M,,-41.18M,,3.826M,-86.26M,,356.87M,18.56M,0.847M,376.27M,,1.175M,,,-50.09M,,AOR,Restated
2009-06,92.25M,,,7.173M,7.173M,1.258M,6.04M,,1.379M,-123.32M,,-7.671M,50.54M,,,,-80.45M,27.65M,,-8.412M,,-8.412M,,-12.41M,1.396M,0.039M,-19.39M,,,,,6.974M,-71.51M,-64.53M,,-41.28M,,2.243M,-103.56M,,449.70M,-95.30M,2.471M,356.87M,,6.974M,,,-71.51M,,AOR,Restated
2009-03,85.38M,,,7.481M,7.481M,-1.258M,5.627M,,3.858M,26.13M,,-6.809M,-61.73M,,,,-42.41M,58.68M,,-11.61M,,-11.61M,,,0.75M,,-10.86M,,,,,6.099M,-55.38M,-49.28M,,-39.57M,,1.983M,-86.87M,,494.74M,-39.05M,-5.995M,449.70M,,6.099M,,,-55.38M,,AOR,Restated
2008-12,88.88M,,,7.966M,7.966M,,,,-17.02M,282.92M,,2.975M,-139.78M,,22.30M,,168.42M,272.25M,,-7.64M,,-7.64M,,0.035M,0.585M,0.092M,-6.928M,,,,0.00,3.665M,-50.71M,-47.04M,,-37.72M,,2.255M,-82.50M,,311.92M,182.82M,0.011M,494.74M,,3.665M,,,-50.71M,,AOR,Restated
2008-09,93.56M,,,7.828M,7.828M,,,,7.541M,60.02M,,2.238M,-81.55M,,22.51M,,3.217M,112.15M,,-5.055M,,-5.055M,,-49.78M,36.08M,0.026M,-18.74M,,,,-9.383M,2.542M,-54.67M,-52.13M,,-37.67M,,1.296M,-97.89M,,318.71M,-4.479M,-2.317M,311.92M,,2.542M,,,-54.67M,,,
2008-06,90.42M,,,7.707M,7.707M,,,,11.96M,-145.32M,,5.254M,85.32M,,-17.88M,,-72.63M,37.45M,,-5.125M,,-5.125M,,-9.915M,-3.85M,0.151M,-18.74M,,,,,7.074M,-53.58M,-46.50M,,-37.81M,,0.795M,-83.51M,,379.85M,-64.80M,3.666M,318.71M,,7.074M,,,-53.58M,,,
2008-03,86.32M,,,7.663M,7.663M,,,,11.86M,-97.46M,,-10.26M,54.54M,,-26.92M,,-80.11M,25.73M,,-5.928M,,-5.928M,,,81.31M,0.50M,75.88M,,,,,10.05M,-41.89M,-31.85M,,-38.00M,,7.711M,-62.13M,,338.88M,39.48M,1.479M,379.85M,,10.05M,,,-41.89M,,,
2007-12,85.25M,,,7.301M,7.301M,,,,-24.72M,24.85M,,-0.955M,-4.517M,,12.14M,,31.52M,128.75M,,-11.78M,,-11.78M,,0.00,13.34M,-0.02M,1.54M,,,,,-1.939M,-44.07M,-46.01M,,-31.17M,,4.072M,-73.11M,,281.76M,57.19M,-0.058M,338.88M,,-1.939M,,,-44.07M,,,Restated
2007-09,83.74M,,,6.903M,6.903M,,,,10.17M,-58.63M,,3.775M,8.909M,,29.15M,,-16.79M,84.02M,,-8.427M,,-8.427M,,-12.96M,3.528M,0.005M,-17.85M,,,,,3.253M,-45.16M,-41.91M,,-31.29M,,2.26M,-70.94M,,288.69M,-4.767M,-2.168M,281.76M,,3.253M,,,-45.16M,,,
2007-06,82.30M,,,6.61M,6.61M,,,,4.638M,-80.53M,,0.55M,30.97M,,-4.066M,,-53.07M,40.47M,,-13.46M,,-13.46M,,0.00,-5.205M,-0.22M,-18.89M,,,,,3.018M,-46.04M,-43.02M,,-31.38M,,4.706M,-69.69M,,335.99M,-48.10M,0.805M,288.69M,,3.018M,,,-46.04M,,,
2007-03,72.96M,,,6.552M,6.552M,,,,16.65M,-38.92M,,-8.576M,43.74M,,-37.22M,,-40.99M,55.18M,,-10.04M,,-10.04M,,-9.261M,-1.389M,0.167M,-20.52M,,,,,9.408M,-32.05M,-22.65M,,-31.35M,,5.63M,-48.36M,,348.59M,-13.71M,1.104M,335.99M,,9.408M,,,-32.05M,,,
2006-12,71.83M,,0.08M,6.19M,6.19M,,,,17.04M,19.58M,,0.424M,-11.12M,,17.33M,,26.21M,112.47M,,-10.29M,,-8.592M,,-3.55M,4.727M,3.073M,-4.342M,,,,,1.899M,-25.36M,-23.46M,,-22.79M,,0.70M,-45.56M,,285.39M,62.57M,0.635M,348.59M,,1.899M,,,-25.36M,,,
2006-09,70.39M,,,6.195M,6.195M,,,,10.64M,-0.02M,,3.771M,3.388M,,20.86M,,28.00M,115.23M,,-17.15M,,-17.15M,,-2.20M,-5.149M,-1.089M,-25.59M,,,,,16.28M,-22.21M,-5.927M,,-22.68M,,-14.12M,-42.73M,,239.41M,46.91M,-0.932M,285.39M,,16.28M,,,-22.21M,,,
2006-06,66.59M,,-16.48M,5.98M,5.98M,,,,29.89M,-82.85M,,-1.085M,51.62M,,5.918M,,-26.39M,59.59M,,-9.325M,,-9.325M,,-26.00M,1.07M,-2.678M,-36.93M,,,,,-12.10M,-25.35M,-37.45M,,-22.78M,,18.79M,-41.44M,,256.43M,-18.78M,1.762M,239.41M,,-12.10M,,,-25.35M,,,
2006-03,58.11M,,16.48M,5.567M,5.567M,,,,-3.199M,7.802M,,-4.413M,13.70M,,-37.96M,,-20.87M,56.09M,,-6.477M,,-6.477M,,-7.974M,-1.674M,1.75M,-14.38M,,,,,12.10M,-12.35M,-0.243M,,-22.59M,,6.708M,-16.12M,,230.63M,25.60M,0.204M,256.43M,,12.10M,,,-12.35M,,,
2005-12,58.15M,,-33.30M,5.174M,5.174M,,,,37.31M,-20.86M,,0.193M,-4.959M,,26.27M,,0.642M,67.47M,,-5.673M,,-5.673M,,-0.029M,0.617M,-1.857M,-6.942M,,,,,2.083M,-12.66M,-10.57M,,-12.88M,,4.983M,-18.47M,,191.94M,42.06M,-3.376M,230.63M,,2.083M,,,-12.66M,,,
2005-09,54.09M,,33.48M,4.713M,4.713M,,,,-19.94M,-21.94M,,0.918M,2.992M,,24.75M,,6.722M,79.06M,,-3.696M,,-3.696M,,-16.53M,-0.77M,-0.282M,-21.28M,,,,,13.47M,-10.70M,2.763M,,-12.88M,,-13.20M,-23.31M,,156.95M,34.47M,0.529M,191.94M,,13.47M,,,-10.70M,,,
