,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2016-03,179.41M,,179.41M,1.463B,,1.463B,,47.44M,,15.63M,,1.706B,,,,,,,,,,195.92M,1.109B,114.18M,1.224B,,37.04M,1.457B,3.162B,,690.69M,32.59M,70.39M,793.67M,47.14M,840.81M,,470.00M,,470.00M,,1.372B,500.00M,,500.00M,79.65M,79.65M,,0.208M,598.38M,1.970B,,14.30M,2.978B,393.65M,2.159B,-34.40M,1.192B,,AOR,Restated
2015-12,168.23M,,168.23M,1.506B,,1.506B,,40.06M,,16.79M,,1.731B,0.00,23.76M,110.06M,211.55M,,5.597M,28.18M,379.14M,-188.26M,190.87M,1.108B,141.68M,1.250B,0.00,12.77M,1.454B,3.184B,,697.58M,12.57M,86.30M,796.46M,55.48M,851.93M,450.00M,450.00M,,450.00M,,1.449B,500.00M,,500.00M,65.46M,65.46M,,0.217M,585.31M,2.034B,,14.34M,2.923B,379.44M,2.128B,-37.95M,1.150B,,AOR,Restated
2015-09,143.09M,,143.09M,1.652B,,1.652B,,45.27M,0.00,16.06M,,1.856B,,,,,,,,,,190.24M,1.098B,126.35M,1.224B,,42.02M,1.456B,3.313B,,799.31M,21.22M,60.88M,881.41M,45.84M,927.25M,,530.00M,,530.00M,,1.581B,500.00M,,500.00M,76.14M,76.14M,,0.211M,599.94M,2.181B,,14.41M,2.860B,365.52M,2.065B,-44.07M,1.131B,,AOR,Restated
2015-06,171.45M,,171.45M,1.706B,,1.706B,,58.73M,0.00,7.731M,,1.944B,,,,,,,,,,190.85M,1.098B,132.45M,1.230B,,38.80M,1.460B,3.404B,,832.86M,25.54M,61.18M,919.58M,49.71M,969.29M,,630.00M,,630.00M,,1.695B,500.00M,,500.00M,74.39M,74.39M,,0.228M,597.34M,2.292B,,14.51M,2.778B,352.49M,1.995B,-37.68M,1.112B,,AOR,Restated
2015-03,135.78M,,135.78M,1.651B,,1.651B,,51.32M,0.00,8.387M,,1.847B,,,,,,,,,,191.14M,1.097B,138.54M,1.236B,,35.36M,1.462B,3.309B,,791.72M,52.80M,66.54M,911.05M,47.48M,958.53M,,630.00M,,630.00M,,1.651B,500.00M,,500.00M,77.26M,77.26M,,0.23M,600.11M,2.251B,,14.58M,2.698B,336.96M,1.949B,-41.81M,1.058B,,AOR,Restated
2014-12,128.94M,,128.94M,1.572B,,1.572B,,37.79M,359.39M,7.746M,,2.105B,0.00,14.98M,79.98M,191.57M,,1.612M,25.54M,313.69M,-161.22M,152.47M,825.04M,112.26M,937.30M,,19.11M,1.109B,3.214B,,716.65M,4.616M,78.60M,799.87M,45.36M,845.24M,605.00M,605.00M,,605.00M,,1.576B,500.00M,,500.00M,66.96M,66.96M,,0.223M,591.46M,2.167B,,14.65M,2.649B,321.97M,1.910B,-28.61M,1.047B,,AOR,Restated
2014-09,127.72M,,127.72M,1.641B,,1.641B,,48.06M,,8.301M,,1.825B,,,,,,,,,,156.94M,826.55M,102.66M,929.21M,,30.92M,1.117B,2.942B,,767.16M,13.96M,54.96M,836.09M,39.96M,876.05M,,345.00M,,345.00M,,1.329B,500.00M,,500.00M,71.65M,71.65M,,0.218M,593.86M,1.923B,,14.66M,2.593B,307.58M,1.876B,-20.62M,1.019B,,AOR,Restated
2014-06,144.22M,,144.22M,1.700B,,1.700B,,58.04M,,7.156M,,1.909B,,,,,,,,,,160.27M,828.77M,107.61M,936.38M,,31.25M,1.128B,3.037B,,815.25M,25.68M,60.86M,901.80M,50.29M,952.08M,,400.00M,,400.00M,,1.431B,500.00M,,500.00M,75.50M,75.50M,,0.224M,596.01M,2.027B,,14.77M,2.521B,290.06M,1.804B,-11.70M,1.010B,,AOR,Restated
2014-03,142.81M,,142.81M,1.612B,,1.612B,,60.86M,,7.378M,,1.823B,,,,,,,,,,163.96M,829.10M,112.58M,941.68M,,31.45M,1.137B,2.960B,,782.91M,44.90M,60.15M,887.97M,35.95M,923.91M,,410.00M,,410.00M,,1.380B,500.00M,,500.00M,76.59M,76.59M,,0.912M,598.08M,1.979B,,14.85M,2.455B,278.82M,1.756B,-10.96M,981.60M,,AOR,Restated
2013-12,162.05M,,162.05M,1.450B,,1.450B,,44.57M,0.00,8.286M,,1.664B,0.00,15.01M,64.64M,179.69M,,16.97M,24.49M,300.80M,-140.09M,160.70M,829.07M,132.46M,961.53M,,16.10M,1.138B,2.803B,,685.89M,11.68M,69.12M,766.69M,43.05M,809.73M,375.00M,375.00M,,375.00M,,1.270B,500.00M,,500.00M,70.62M,70.62M,,0.911M,593.11M,1.863B,,15.02M,2.414B,217.89M,1.696B,-10.62M,939.72M,,AOR,Restated
2013-09,129.72M,,129.72M,1.565B,,1.565B,,49.83M,,8.889M,,1.753B,,,,,,,,,,155.69M,828.21M,122.34M,950.55M,,31.88M,1.138B,2.892B,,757.56M,23.90M,53.18M,834.64M,41.82M,876.46M,,350.00M,,350.00M,,1.306B,500.00M,,500.00M,74.69M,74.69M,,0.887M,596.77M,1.903B,,15.25M,2.374B,145.29M,1.534B,-11.90M,988.56M,,AOR,Restated
2013-06,150.02M,,150.02M,1.571B,,1.571B,,51.46M,,10.60M,,1.783B,,,,,,,,,,153.33M,826.29M,127.25M,953.54M,,31.71M,1.139B,2.922B,,747.02M,51.92M,60.95M,859.89M,37.93M,897.82M,,365.65M,,365.65M,,1.331B,,,,69.93M,69.93M,,0.944M,91.49M,1.422B,,15.97M,2.320B,296.91M,1.119B,-14.98M,1.499B,,AOR,Restated
2013-03,159.90M,,159.90M,1.470B,,1.470B,,51.39M,,9.465M,,1.691B,,,,,,,,,,150.90M,825.20M,132.25M,957.45M,,31.64M,1.140B,2.831B,,701.77M,9.964M,56.96M,768.69M,37.70M,806.40M,,390.63M,,390.63M,,1.249B,,,,70.10M,70.10M,,0.945M,91.45M,1.341B,,16.06M,2.265B,292.63M,1.073B,-11.57M,1.490B,,AOR,Restated
2012-12,210.02M,,210.02M,1.412B,,1.412B,,38.36M,,11.78M,,1.672B,0.00,15.00M,64.45M,157.08M,,5.808M,22.66M,265.01M,-115.16M,149.85M,822.22M,152.22M,974.44M,,7.649M,1.132B,2.804B,,639.46M,121.58M,68.02M,829.06M,46.17M,875.23M,253.65M,253.65M,,253.65M,,1.232B,,,,45.11M,45.11M,,1.933M,67.64M,1.300B,,16.13M,2.218B,303.48M,1.024B,-9.345M,1.504B,,AOR,Restated
2012-09,272.96M,,272.96M,1.368B,,1.335B,,39.76M,,6.639M,,1.726B,,,,,,,,,,134.44M,359.61M,23.06M,382.66M,,,517.10M,2.243B,,729.74M,34.51M,,764.26M,,764.26M,,,,,87.32M,938.06M,,,,,,13.41M,0.926M,14.34M,952.39M,,16.12M,2.020B,207.21M,942.69M,-9.878M,1.291B,,AOR,Restated
2012-06,240.63M,,240.63M,,,1.415B,,44.84M,,6.743M,,1.708B,,,,,,,,,,132.26M,359.37M,40.77M,400.14M,,,532.40M,2.240B,,834.69M,49.38M,,884.08M,,884.08M,,,,,,949.34M,,,,,,11.51M,0.962M,12.47M,961.81M,,16.22M,1.957B,206.85M,890.59M,-11.74M,1.278B,,AOR,Restated
2012-03,311.36M,,311.36M,1.280B,,1.245B,,38.25M,,6.134M,,1.601B,,,,,,,,,,130.76M,360.04M,42.35M,402.39M,,,533.15M,2.134B,,747.64M,77.48M,,825.12M,,825.12M,,,,,,871.87M,,,,,,13.34M,0.969M,14.30M,886.17M,,16.27M,1.897B,201.98M,858.29M,-8.888M,1.248B,,AOR,Restated
2011-12,373.67M,,373.67M,1.190B,,1.190B,,39.86M,,8.382M,,1.612B,0.00,14.84M,55.68M,127.08M,,4.684M,17.78M,220.07M,-93.24M,126.83M,359.69M,34.89M,394.58M,,5.092M,526.50M,2.138B,,642.67M,4.456M,62.06M,709.19M,49.90M,759.09M,,,,,,876.63M,,,,0.842M,0.842M,,1.592M,12.94M,889.57M,,16.34M,1.845B,205.79M,809.58M,-9.115M,1.248B,,AOR,Restated
2011-09,382.74M,0.00,382.74M,1.270B,,1.238B,,30.68M,,5.247M,,1.657B,,,,,,,,,,114.81M,360.21M,37.83M,398.04M,9.846M,,522.69M,2.179B,,740.98M,50.29M,,791.27M,,791.27M,,,,,,896.71M,,,,,,12.26M,2.244M,14.50M,911.21M,,16.43M,1.791B,202.07M,731.81M,-9.063M,1.268B,,AOR,Restated
2011-06,315.90M,0.00,315.90M,1.342B,,1.311B,,41.14M,,7.854M,,1.676B,,,,,,,,,,114.87M,358.79M,36.56M,395.35M,7.496M,,517.72M,2.194B,,758.02M,54.35M,,812.37M,,812.37M,,,,,,889.89M,,,,,,11.59M,3.896M,15.48M,905.37M,,16.56M,1.725B,193.62M,639.49M,-6.89M,1.288B,,AOR,Restated
2011-03,359.34M,0.982M,360.32M,,,1.176B,,36.59M,,9.386M,,1.582B,,,,,,,,,,114.78M,358.66M,34.85M,393.51M,5.972M,,514.26M,2.096B,,709.12M,93.54M,,802.66M,,802.66M,,,,,,851.76M,,,,,,10.77M,6.28M,17.05M,868.81M,,16.58M,1.662B,183.53M,627.28M,-7.525M,1.228B,,AOR,Restated
2010-12,398.61M,9.29M,407.90M,,,1.036B,,32.34M,,5.466M,,1.482B,0.00,14.84M,55.53M,145.92M,,1.145M,15.80M,233.23M,-118.90M,114.33M,359.12M,13.50M,372.61M,7.836M,19.15M,513.93M,1.996B,,567.96M,47.06M,,615.02M,96.99M,712.01M,,,,,59.60M,771.61M,,,,10.67M,10.67M,,9.357M,20.02M,791.63M,,16.60M,1.614B,178.09M,598.11M,-6.425M,1.204B,,AOR,Restated
2010-09,249.43M,34.12M,283.56M,,,1.142B,,36.78M,,4.142M,,1.467B,,,,,,,,,,116.26M,359.71M,31.30M,391.01M,7.875M,,515.14M,1.982B,,670.91M,,,670.91M,118.58M,789.48M,,,,,,789.48M,,,,13.29M,13.29M,,8.733M,22.02M,811.50M,,16.60M,1.560B,167.18M,568.38M,-4.551M,1.171B,,AOR,Restated
2010-06,166.12M,49.40M,215.52M,,,1.150B,,41.90M,,3.151M,,1.411B,,,,,,,,,,115.44M,357.09M,30.04M,387.14M,8.462M,,511.04M,1.922B,,697.38M,,,697.38M,55.19M,752.57M,,,,,39.60M,792.17M,,,,12.20M,12.20M,,12.65M,24.85M,817.02M,,16.60M,1.499B,164.49M,564.46M,-11.03M,1.105B,,AOR,Restated
2010-03,229.64M,52.72M,282.36M,,,1.003B,,33.48M,,4.785M,,1.323B,,,,,,,,,,115.54M,359.27M,30.18M,389.44M,13.78M,,518.77M,1.842B,,643.24M,,,643.24M,112.82M,756.06M,,,,,,756.06M,,,,11.54M,11.54M,,11.51M,23.05M,779.11M,,16.62M,1.444B,162.10M,554.01M,-5.764M,1.063B,,AOR,Restated
2009-12,337.31M,48.31M,385.62M,,,885.54M,,29.65M,,6.454M,,1.307B,0.00,14.84M,55.29M,136.12M,,0.189M,14.08M,220.52M,-102.82M,117.70M,361.67M,18.37M,380.04M,14.42M,14.82M,526.98M,1.834B,,529.26M,34.44M,,563.69M,90.86M,654.55M,,,,,77.26M,731.81M,,,,10.55M,10.55M,,12.00M,22.54M,754.35M,,16.71M,1.402B,165.10M,502.58M,-1.636M,1.080B,,AOR,Restated
2009-09,376.27M,11.92M,388.19M,,,884.56M,,32.48M,,7.046M,,1.312B,,,,,,,,,,118.78M,363.20M,32.27M,395.47M,15.50M,,529.75M,1.842B,,590.80M,,,590.80M,107.22M,698.02M,,,,,,698.02M,,,,10.84M,11.84M,,13.93M,25.77M,723.79M,,16.79M,1.357B,167.00M,422.89M,0.202M,1.118B,,AOR,Restated
2009-06,356.87M,0.592M,357.46M,,,920.69M,,30.60M,,8.124M,,1.317B,,,,,,,,,,111.80M,334.59M,23.56M,358.14M,16.86M,,486.80M,1.804B,,595.44M,,,595.44M,94.61M,690.05M,,,,,,690.05M,,,,11.32M,12.31M,,,12.31M,702.36M,,16.85M,1.303B,169.66M,386.21M,-1.548M,1.101B,,AOR,Restated
2009-03,449.70M,1.988M,451.69M,,,798.80M,,22.16M,,6.351M,,1.279B,,,,,,,,,,108.55M,323.63M,23.08M,346.71M,15.15M,,470.41M,1.749B,,523.05M,,,523.05M,111.42M,634.47M,,,,,,634.47M,,,,10.80M,11.74M,,,11.74M,646.22M,,16.96M,1.251B,170.72M,330.99M,-4.955M,1.103B,,AOR,Restated
2008-12,494.74M,2.644M,497.39M,,,828.88M,,16.19M,,5.413M,,1.348B,0.00,14.33M,40.05M,119.27M,,7.44M,10.52M,191.61M,-87.52M,104.09M,324.70M,14.90M,339.60M,14.83M,9.325M,467.85M,1.816B,,568.76M,35.46M,-83.59M,520.63M,93.43M,614.06M,,,,,83.59M,697.65M,,,,9.887M,9.887M,,0.96M,10.85M,708.50M,,17.04M,1.207B,177.49M,296.90M,2.165M,1.107B,,AOR,Restated
2008-09,311.92M,2.99M,314.91M,1.118B,,1.118B,,19.43M,,4.345M,,1.457B,,,,,,,,179.78M,-78.02M,101.75M,324.73M,39.50M,364.23M,,,465.98M,1.923B,,695.70M,,,695.70M,114.38M,810.08M,,,,,,810.08M,,,,,,,,11.83M,821.91M,,16.93M,1.160B,179.05M,257.45M,2.106M,1.101B,,,
2008-06,318.71M,38.74M,357.45M,1.149B,,1.149B,,20.43M,,3.292M,,1.530B,,,,,,,,179.54M,-78.02M,101.52M,289.02M,35.68M,324.71M,,,426.23M,1.956B,,758.01M,,,758.01M,91.65M,849.66M,,,,,,849.66M,,,,,,,,11.97M,861.63M,,17.02M,1.104B,178.73M,211.68M,6.248M,1.094B,,,
2008-03,379.85M,34.89M,414.73M,1.006B,,1.006B,,25.68M,,5.098M,,1.452B,,,,,,,,180.19M,-78.02M,102.16M,279.37M,40.39M,319.75M,,,421.92M,1.874B,,672.62M,,,672.62M,110.12M,782.74M,,,,,,782.74M,,,,,,,,12.11M,794.85M,,17.07M,1.052B,186.52M,178.89M,2.602M,1.079B,,,
2007-12,338.88M,115.84M,454.73M,,,911.78M,,15.46M,,7.184M,,1.389B,0.00,13.37M,38.46M,117.91M,,0.459M,9.486M,179.69M,-78.02M,101.66M,278.74M,14.47M,293.21M,16.01M,11.26M,422.15M,1.811B,,530.75M,37.50M,,568.25M,101.93M,670.18M,,,,,87.44M,757.62M,,,,10.22M,11.44M,,,11.44M,769.06M,,17.08M,1.003B,190.32M,168.38M,0.263M,1.042B,,,Restated
2007-09,281.76M,129.08M,410.83M,937.98M,,937.98M,,14.51M,,5.645M,,1.369B,,,,,,,,159.89M,-63.19M,96.70M,278.64M,40.74M,319.38M,,,416.08M,1.785B,,624.53M,,,624.53M,124.15M,748.67M,,,,,,748.67M,,,,,,,,9.916M,758.59M,,17.14M,955.71M,189.41M,136.36M,0.565M,1.026B,,,
2007-06,288.69M,131.65M,420.34M,880.60M,,880.60M,,18.21M,,7.225M,,1.326B,,,,,,,,156.97M,-63.19M,93.78M,270.19M,38.60M,308.80M,,,402.57M,1.729B,,614.78M,,,614.78M,95.74M,710.52M,,,,,,710.52M,,,,,,,,9.674M,720.19M,,17.21M,903.14M,187.23M,100.54M,1.708M,1.009B,,,
2007-03,335.99M,126.82M,462.81M,801.24M,,801.24M,,18.76M,,8.774M,,1.292B,,,,,,,,149.56M,-63.19M,86.37M,269.71M,36.54M,306.25M,,,392.62M,1.684B,,583.89M,,,583.89M,104.49M,688.38M,,,,,,688.38M,,,,,,,,9.118M,697.50M,,17.26M,852.13M,188.66M,72.25M,0.902M,986.70M,,,
2006-12,348.59M,124.77M,473.36M,765.00M,,765.00M,,10.18M,,7.614M,,1.256B,0.00,13.37M,25.32M,101.95M,,4.613M,,145.26M,-63.19M,82.07M,261.77M,15.96M,277.72M,6.668M,9.083M,375.54M,1.632B,,468.50M,,,468.50M,146.82M,615.32M,,,,,71.63M,686.95M,,,,,,,,1.022M,687.97M,,17.27M,807.98M,184.46M,65.79M,-0.202M,943.72M,,,
2006-09,285.39M,129.03M,414.42M,786.40M,,786.40M,,10.60M,,7.946M,,1.219B,,,,,,,,132.02M,-53.09M,78.92M,259.90M,29.50M,289.40M,,,368.33M,1.588B,,542.59M,,,542.59M,126.90M,669.50M,,,,,,669.50M,,,,,,,,1.231M,670.73M,,17.31M,767.50M,250.37M,48.03M,-70.18M,916.97M,,,
2006-06,239.41M,123.16M,362.56M,788.47M,,788.47M,,14.38M,,8.275M,,1.174B,,,,,,,,119.20M,-53.09M,66.11M,259.87M,27.80M,287.66M,,,353.77M,1.527B,,539.19M,,,539.19M,109.11M,648.30M,,,,,,648.30M,,,,,,,,1.243M,649.54M,,17.33M,719.81M,242.65M,33.25M,-68.64M,877.91M,,,
