,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2017-06,69.30M,-0.10M,,,-0.80M,10.10M,7.90M,18.00M,18.00M,,,5.60M,0.20M,0.00,,,,-65.90M,-65.90M,,33.50M,-8.20M,,-8.20M,,174.00M,-288.90M,8.60M,-419.10M,0.00,887.00M,887.00M,,-0.30M,-0.30M,,-58.30M,-3.50M,-61.80M,3.60M,-0.30M,284.80M,773.00M,-100.80M,672.20M,,,0.00,-0.30M,20.50M,45.60M
2017-03,70.80M,15.70M,,,14.80M,9.30M,6.30M,15.60M,15.60M,,,7.10M,1.00M,31.90M,,,,31.00M,31.00M,,176.60M,-8.60M,,-8.60M,,,329.10M,-3.10M,373.50M,-125.10M,-873.10M,-998.20M,,-2.90M,-2.90M,,-52.70M,-3.50M,-56.20M,21.20M,,-391.20M,614.10M,158.90M,773.00M,,,-125.10M,-2.90M,5.80M,40.70M
2016-12,75.90M,6.00M,,,3.40M,9.30M,6.20M,15.50M,15.50M,,,5.30M,0.00,18.10M,,,,-80.00M,-80.00M,,49.60M,-13.20M,,-13.20M,,-59.80M,191.80M,0.20M,-249.80M,0.00,-378.90M,-378.90M,,-0.20M,-0.20M,,-51.60M,-1.80M,-53.40M,77.50M,,94.00M,720.30M,-106.20M,614.10M,,,0.00,-0.20M,27.20M,38.90M
2016-09,73.70M,0.00,,,-1.90M,9.20M,5.80M,15.00M,15.00M,,,5.00M,0.00,26.50M,,,,15.60M,15.60M,,142.30M,-11.20M,,-11.20M,,0.00,-270.80M,1.90M,-613.60M,-0.10M,-126.10M,-126.20M,,0.00,0.00,,-51.70M,0.00,-51.70M,5.30M,,483.80M,707.80M,12.50M,720.30M,,,-0.10M,0.00,18.10M,38.40M
2016-06,68.50M,0.00,,,-0.90M,9.20M,5.80M,15.00M,15.00M,,,5.50M,0.00,-19.90M,,,,-50.10M,-50.10M,,28.10M,-14.50M,,-14.50M,,0.00,-8.60M,-15.80M,-566.70M,0.00,846.60M,846.60M,,-0.30M,-0.30M,,-51.80M,0.00,-51.80M,4.60M,,692.70M,553.70M,154.10M,707.80M,,,0.00,-0.30M,65.60M,38.50M
2016-03,62.90M,-0.10M,,,-1.00M,9.20M,5.80M,15.00M,15.00M,,,4.90M,0.00,13.10M,,,,10.60M,10.60M,,116.00M,-3.50M,,-3.50M,,,-222.00M,5.50M,-323.30M,-0.10M,-589.30M,-589.40M,,-2.90M,-2.90M,,-50.60M,0.00,-50.60M,0.50M,,45.70M,715.30M,-161.60M,553.70M,,,-0.10M,-2.90M,2.40M,37.40M
2015-12,70.80M,0.00,,,-10.50M,9.90M,6.10M,16.00M,16.00M,,,5.40M,,12.30M,,,,11.30M,11.30M,,129.10M,-33.90M,,-33.90M,,,-592.50M,9.30M,-1.362B,0.00,1.311B,1.311B,,-0.10M,-0.10M,,-50.60M,,-50.60M,5.70M,,1.404B,544.90M,170.40M,715.30M,,,0.00,-0.10M,22.10M,35.30M
2015-09,68.40M,,,,-1.50M,9.80M,5.90M,15.70M,15.70M,,,5.60M,,31.30M,,,,-51.70M,-51.70M,,74.00M,-20.60M,,-20.60M,,,-196.50M,1.60M,-318.70M,-1.10M,-564.20M,-565.30M,,-0.20M,-0.20M,,-50.60M,,-50.60M,2.50M,,231.30M,558.30M,-13.40M,544.90M,,,-1.10M,-0.20M,33.10M,34.90M
2015-06,61.70M,0.00,,,-1.80M,9.90M,6.00M,15.90M,15.90M,,,5.20M,,4.20M,,,,36.40M,36.40M,,129.30M,-10.50M,,-10.50M,,,-152.20M,-0.90M,-793.70M,-0.10M,420.60M,420.50M,,-0.20M,-0.20M,,-50.50M,,-50.50M,11.20M,,665.90M,556.80M,1.50M,558.30M,,,-0.10M,-0.20M,47.70M,33.90M
2015-03,59.20M,0.00,,,-2.60M,9.70M,5.90M,15.60M,15.60M,,,6.30M,,-5.50M,,,,-86.90M,-86.90M,,-4.10M,-15.30M,,-15.30M,,,-475.60M,-138.50M,-872.30M,-0.10M,-548.00M,-548.10M,,-2.70M,-2.70M,,-49.50M,,-49.50M,8.10M,,419.50M,1.014B,-456.90M,556.80M,,,-0.10M,-2.70M,4.90M,32.10M
2014-12,64.70M,-2.70M,20.60M,,-3.40M,10.00M,6.20M,16.20M,16.20M,,,5.00M,,9.10M,,,,4.30M,4.30M,,112.50M,-23.00M,,-23.00M,,,-263.00M,0.90M,-723.80M,-0.20M,276.70M,276.50M,,-0.10M,-0.10M,,-49.50M,,-49.50M,1.60M,,1.105B,519.60M,494.10M,1.014B,,0.00,-0.20M,-0.10M,14.10M,31.00M
2014-09,61.60M,-0.20M,0.00,,-1.10M,9.80M,6.20M,16.00M,16.00M,,,4.90M,,10.80M,,,,-20.50M,-20.50M,,84.10M,-17.70M,,-17.70M,,,-54.00M,0.10M,-875.60M,-19.10M,-356.50M,-375.60M,,-0.30M,-0.30M,,-49.40M,,-49.40M,0.80M,,748.10M,563.00M,-43.40M,519.60M,,0.00,-19.10M,-0.30M,19.90M,22.30M
2014-06,72.30M,0.00,-20.60M,,-20.20M,9.80M,6.20M,16.00M,16.00M,,,4.80M,,-8.30M,,,,-14.10M,-14.10M,,59.30M,-10.00M,,-10.00M,,,183.20M,0.10M,-652.20M,394.20M,-113.50M,280.70M,,0.00,0.00,,-49.40M,,-49.40M,1.00M,,655.50M,500.40M,62.60M,563.00M,,394.40M,-0.20M,0.00,71.40M,31.60M
2014-03,53.10M,-0.10M,,,-0.90M,10.00M,6.20M,16.20M,16.20M,,,5.30M,,17.80M,,,,-6.90M,-6.90M,,94.10M,-2.80M,,-2.80M,,,292.90M,0.30M,41.30M,-0.10M,-1.169B,-1.169B,,-2.60M,-2.60M,,-48.60M,,-48.60M,2.60M,,-109.40M,474.40M,26.00M,500.40M,,,-0.10M,-2.60M,4.30M,23.90M
2013-12,59.30M,,,,-0.90M,10.00M,6.60M,16.60M,16.60M,,,5.00M,,14.60M,,,,-30.60M,-30.60M,,89.50M,-37.40M,,-37.40M,,,-573.60M,-53.60M,-1.833B,-0.10M,1.436B,1.436B,,-131.90M,-131.90M,,-49.80M,,-49.80M,0.80M,,1.623B,595.20M,-120.80M,474.40M,,,-0.10M,-131.90M,11.50M,32.90M
2013-09,58.50M,0.00,0.00,,-3.90M,10.10M,6.50M,16.60M,16.60M,,,4.30M,,51.50M,,,,15.80M,15.80M,,154.90M,-13.80M,,-13.80M,,,206.40M,-6.60M,-183.20M,-35.10M,31.10M,-4.00M,,-30.20M,-30.20M,,-50.30M,,-50.30M,1.10M,,124.40M,499.10M,96.10M,595.20M,,0.00,-35.10M,-30.20M,19.10M,25.40M
2013-06,62.10M,0.00,0.00,,-10.00M,10.10M,6.60M,16.70M,16.70M,,,4.50M,,-5.80M,,,,-16.30M,-16.30M,,60.40M,-16.80M,,-16.80M,,,11.80M,-32.40M,-751.50M,-20.80M,777.80M,757.00M,,-153.20M,-153.20M,,-51.90M,,-51.90M,0.40M,,742.50M,447.70M,51.40M,499.10M,,0.00,-20.80M,-153.20M,58.00M,34.10M
2013-03,52.50M,0.00,,,-5.70M,10.10M,6.50M,16.60M,16.60M,,,5.00M,,39.50M,,,,-45.70M,-45.70M,,74.60M,-16.00M,,-16.00M,,,-79.70M,-8.40M,-534.60M,-0.10M,463.80M,463.70M,,-145.80M,-145.80M,,-52.80M,,-52.80M,0.10M,,306.30M,601.40M,-153.70M,447.70M,,,-0.10M,-145.80M,5.10M,26.20M
2012-12,61.20M,,,,-6.40M,10.00M,6.70M,16.70M,16.70M,,,-1.00M,,-3.50M,,,,-41.10M,-41.10M,,82.70M,-24.00M,,-24.00M,,0.00,-842.80M,0.00,-1.538B,394.20M,963.20M,1.357B,,-57.00M,-57.00M,,-53.60M,,-53.60M,0.00,,1.635B,422.00M,179.40M,601.40M,,,-100.10M,-57.00M,1.80M,26.10M
2012-09,62.20M,,,,-3.60M,10.20M,6.70M,16.90M,16.90M,,,6.50M,,7.50M,,,,56.50M,56.50M,,161.10M,-16.50M,,-16.50M,,-26.60M,-79.00M,0.40M,-589.50M,-0.10M,565.80M,565.70M,,-53.80M,-53.80M,,-54.30M,,-54.30M,0.10M,,362.50M,487.90M,-65.90M,422.00M,,,-0.10M,-53.80M,20.80M,27.10M
2012-06,64.60M,,,,-3.50M,9.60M,6.80M,16.40M,16.40M,,,7.10M,,8.80M,,,,0.40M,0.40M,,104.40M,-28.70M,,-28.70M,,324.80M,-802.40M,0.90M,-642.80M,-0.20M,149.90M,149.70M,,-53.70M,-53.70M,,-55.10M,,-55.10M,0.00,,-82.20M,1.108B,-620.60M,487.90M,,,-0.20M,-53.70M,50.60M,27.40M
2012-03,57.30M,,,,-3.60M,9.30M,6.60M,15.90M,15.90M,,,6.70M,,54.40M,,,,23.20M,23.20M,,165.40M,-15.00M,,-15.00M,,,-15.90M,4.10M,-132.50M,-0.10M,-44.40M,-44.50M,,-57.80M,-57.80M,,-54.90M,,-54.90M,0.20M,,294.70M,780.90M,327.60M,1.108B,,,-0.10M,-57.80M,2.20M,31.20M
2011-12,41.40M,0.00,,,-58.20M,-5.10M,6.90M,1.80M,1.80M,,,9.80M,,11.60M,,,,-32.20M,-32.20M,,55.00M,-5.60M,,-5.60M,,0.00,-393.30M,-0.10M,-675.30M,-0.10M,-22.50M,-22.60M,,-1.00M,-1.00M,,-54.80M,,-54.80M,0.50M,,251.20M,1.15B,-369.10M,780.90M,,-43.90M,-0.10M,-1.00M,16.10M,29.20M
2011-09,48.10M,-8.60M,,,-17.20M,15.60M,7.00M,22.60M,22.60M,,,5.40M,,1.10M,,,,36.00M,36.00M,,110.40M,-11.60M,,-11.60M,,361.30M,930.50M,-0.20M,675.40M,-382.20M,-306.40M,-688.60M,,-186.80M,-186.80M,,-57.40M,,-57.40M,0.10M,,-792.40M,1.157B,-6.60M,1.15B,,43.90M,-732.50M,-186.80M,37.00M,38.80M
2011-06,51.20M,-0.10M,,,-18.90M,14.50M,6.00M,20.50M,20.50M,,,7.50M,,1.10M,,,,-6.20M,-6.20M,,69.20M,-10.60M,,-10.60M,,-214.50M,449.20M,-430.90M,-424.00M,-19.30M,174.90M,155.60M,,0.00,0.00,,-54.50M,,-54.50M,0.70M,,270.00M,1.241B,-84.80M,1.157B,,,155.60M,0.00,43.60M,31.20M
2011-03,51.70M,-0.10M,,,70.40M,14.20M,5.90M,20.10M,20.10M,,,5.40M,,1.20M,,,,-223.60M,-223.60M,,-60.20M,-15.50M,,-15.50M,,,-604.00M,435.90M,142.90M,-32.10M,175.40M,143.30M,,-62.00M,-62.00M,,-54.20M,,-54.20M,0.10M,,204.20M,954.50M,286.90M,1.241B,,,143.30M,-62.00M,1.40M,36.60M
2010-12,28.80M,1.00M,,,-12.20M,13.10M,6.20M,19.30M,19.30M,,,11.00M,,-8.90M,,,,-16.90M,-16.90M,,24.20M,-31.30M,,-31.30M,,71.30M,81.50M,1.30M,213.20M,-112.30M,217.90M,105.60M,,-116.30M,-116.30M,,-55.20M,,-55.20M,0.30M,,-81.30M,798.40M,156.10M,954.50M,,-99.10M,-113.30M,-116.30M,8.90M,25.80M
2010-09,24.10M,0.00,,,6.60M,13.00M,6.00M,19.00M,19.00M,,,5.70M,,-4.70M,,,,11.60M,11.60M,,84.10M,-26.10M,,-26.10M,,-0.20M,-678.30M,1.70M,-715.40M,2.10M,111.20M,113.30M,,-25.40M,-25.40M,,-55.50M,,-55.50M,0.00,,-127.00M,1.557B,-758.30M,798.40M,,102.80M,-0.60M,-25.40M,6.30M,34.60M
2010-06,16.00M,0.00,,,-21.90M,12.70M,4.80M,17.50M,17.50M,,,7.80M,,7.00M,,,,49.10M,49.10M,,93.30M,-16.70M,,-16.70M,,31.60M,-874.40M,,-1.392B,-36.20M,-31.10M,-67.30M,,-54.60M,-54.60M,,-56.20M,,-56.20M,0.10M,,31.40M,2.824B,-1.267B,1.557B,,-20.00M,-36.20M,-54.60M,29.10M,29.80M
2010-03,13.60M,0.00,,,16.40M,12.70M,4.70M,17.40M,17.40M,,,6.30M,,1.50M,,,,-40.80M,-40.80M,,23.90M,-3.40M,,-3.40M,,-291.60M,22.10M,,249.60M,-786.70M,20.00M,-766.70M,,-1.90M,-1.90M,,-51.20M,,-51.20M,0.10M,,-867.90M,3.418B,-594.40M,2.824B,,20.00M,-786.70M,-1.90M,1.20M,36.90M
2009-12,24.90M,0.10M,,-4.30M,6.30M,11.40M,5.00M,16.40M,16.40M,,,5.80M,,-38.90M,,,,-54.90M,-109.20M,,-76.80M,-18.10M,,-18.10M,,0.00,16.90M,,804.40M,-0.30M,5.00M,4.70M,,-2.20M,-2.20M,,-51.10M,,-51.10M,-0.10M,,346.50M,2.344B,1.074B,3.418B,,33.80M,-0.30M,-2.20M,10.30M,36.70M
2009-09,26.80M,-4.70M,,1.40M,130.00M,12.60M,5.10M,17.70M,17.70M,,,5.90M,,5.90M,,,,-9.20M,-9.20M,,192.70M,-21.10M,-2.90M,-24.00M,,0.00,-164.20M,,-834.80M,0.40M,-6.50M,-6.10M,,-0.20M,-0.20M,,-51.20M,,-51.20M,0.20M,,-29.80M,3.016B,-671.90M,2.344B,,-33.10M,27.00M,-0.20M,9.40M,50.30M
2009-06,25.30M,-12.00M,,2.90M,-98.00M,10.60M,5.30M,15.90M,15.90M,,,7.00M,,11.50M,-5.10M,,,2.10M,-3.00M,,-40.30M,2.80M,2.00M,-4.10M,8.90M,-16.20M,115.90M,,-120.40M,-0.20M,-25.00M,-25.20M,,,0.00,,-51.10M,,-51.10M,0.20M,,109.60M,3.067B,-51.10M,3.016B,,,-25.20M,,27.80M,47.80M
2009-03,24.20M,-5.40M,,,-74.20M,10.50M,5.20M,15.70M,15.70M,,,6.00M,,1.50M,5.10M,,,41.70M,46.80M,,27.90M,-25.10M,0.90M,-15.30M,-8.90M,0.00,1.074B,,1.022B,-0.30M,-2.30M,-2.60M,,,0.00,,-50.20M,,-50.20M,0.10M,,533.40M,1.484B,1.583B,3.067B,,,-2.60M,,1.20M,55.40M
2008-12,33.70M,-0.20M,,-4.50M,12.00M,10.10M,5.50M,15.60M,15.60M,,0.00,5.50M,,-81.90M,,,,69.10M,66.40M,,80.50M,-19.50M,,-19.50M,,-20.70M,-1.447B,-2.40M,-1.697B,-0.20M,36.20M,36.00M,,,0.00,,-50.20M,,-50.20M,1.80M,,129.20M,2.971B,-1.487B,1.484B,,-12.50M,-0.20M,,16.00M,55.00M
2008-09,46.00M,0.20M,,4.50M,-14.30M,29.90M,15.80M,15.30M,15.30M,,19.30M,16.60M,,39.70M,,,,-31.80M,-20.70M,,83.50M,-12.40M,,-12.40M,,0.00,413.20M,-282.30M,840.90M,-0.20M,8.10M,7.90M,,,-8.70M,,-144.20M,,-50.00M,26.60M,,-404.20M,2.451B,520.20M,2.971B,,12.50M,-0.20M,,66.20M,216.40M
2008-06,43.00M,0.20M,,,-2.00M,,,15.20M,15.20M,,,,,-32.90M,,,,,-15.60M,,7.70M,-9.10M,,-9.10M,,0.00,139.50M,81.10M,211.50M,-1.80M,-2.80M,-4.60M,,,6.40M,,,,-49.90M,,,-676.40M,2.908B,-457.20M,2.451B,,,-1.80M,,,
2008-03,15.10M,-8.50M,,,-10.50M,,,15.20M,15.20M,,,,,29.10M,,,,,4.50M,,53.40M,-9.90M,,-9.90M,,-762.80M,26.00M,204.80M,-541.90M,-2.50M,7.20M,4.70M,,,2.30M,,,,-44.30M,,,12.30M,3.384B,-476.20M,2.908B,,,-2.50M,,,
2007-12,46.00M,0.00,,,-0.60M,,,6.60M,6.60M,,,,,45.00M,,,,,-32.30M,,59.00M,-18.30M,,-18.30M,,,1.002B,-18.60M,965.60M,,4.10M,0.00,,,-125.30M,,,,-38.20M,,0.00,-64.70M,2.424B,959.90M,3.384B,,,,,,
2007-09,57.60M,-5.50M,,,-6.30M,,,6.60M,6.60M,,,,,-7.20M,,,,,28.00M,,78.70M,-11.00M,,-11.00M,,,-6.50M,113.20M,95.70M,,0.00,0.00,,,-8.00M,,,,-38.70M,,8.10M,-347.70M,2.598B,-173.30M,2.424B,,,,,,
2007-06,14.00M,,,,-0.90M,-5.70M,-0.20M,6.40M,6.40M,,,,,39.50M,,,,-24.10M,-57.40M,,0.80M,-17.90M,,-17.90M,,,-1.417B,354.10M,-1.161B,,-7.80M,-7.80M,-1.90M,,3.127B,,15.50M,,-38.70M,,,2.204B,1.554B,1.043B,2.598B,-1.90M,,,,,
2007-03,33.10M,,,,-0.70M,5.70M,0.20M,5.90M,5.90M,,,,,-20.30M,,,0.00,24.10M,24.10M,0.0,42.90M,-16.30M,,-16.30M,,,3.90M,-0.10M,67.10M,,3.70M,3.70M,1.90M,,1.90M,,-15.50M,,-15.50M,,,875.10M,568.70M,985.60M,1.554B,1.90M,,,,,
2006-03,33.90M,,,,-0.40M,5.50M,0.30M,5.80M,5.80M,,,,,0.60M,,,-2.90M,6.60M,3.70M,0.0,41.30M,-10.20M,,-10.20M,,,103.60M,-50.00M,-145.00M,,-43.90M,-43.90M,2.40M,,2.40M,,-13.60M,,-13.60M,,,114.70M,423.50M,11.90M,435.40M,2.40M,,,,,
2005-12,35.20M,22.30M,,,21.40M,,,5.50M,5.50M,,,,,-10.70M,,,,,-6.20M,,47.90M,-6.40M,,-6.40M,,,481.73M,-559.73M,-135.40M,56.60M,-45.90M,10.70M,,,1.90M,,,,-13.50M,,,56.40M,454.60M,-31.10M,423.50M,,,56.60M,,,
2005-09,33.50M,-22.20M,,,-23.70M,,,5.60M,5.60M,,,,,-1.80M,,,,,22.40M,,36.00M,-4.60M,,-4.60M,,,-205.13M,258.93M,49.20M,-70.10M,106.90M,36.80M,,,3.40M,,,,-13.50M,,,-63.90M,433.30M,21.30M,454.60M,,,-70.10M,,,
2005-06,37.00M,-0.10M,,,-1.10M,,,5.80M,5.80M,,,,,-39.30M,,,,,-20.70M,,-18.30M,-6.20M,,-6.20M,,,344.60M,-352.30M,-13.90M,,-55.00M,-55.00M,,,4.70M,,,,-13.50M,,,66.80M,398.70M,34.60M,433.30M,,,,,,
2005-03,31.40M,0.10M,,,-0.50M,,,5.90M,5.90M,,,,,3.90M,,,,,-1.70M,,39.00M,-4.90M,,-4.90M,,,62.70M,-156.80M,-99.00M,,-51.90M,-51.90M,,,5.30M,,,,-11.90M,,,125.50M,333.20M,65.50M,398.70M,,,,,,
2004-12,28.00M,-6.10M,,,298.60M,,,6.10M,6.10M,,,,,-310.00M,,,,,6.40M,,33.40M,-10.00M,,-10.00M,,,132.00M,-342.50M,-220.50M,0.00,118.70M,118.70M,,,4.00M,,,,-11.90M,,,160.40M,359.90M,-26.70M,333.20M,,,0.00,,,
2004-09,27.50M,0.00,,,-4.10M,,,6.70M,6.70M,,,,,1.290B,,,,,,,1.320B,-5.40M,,-5.40M,,,343.80M,-1.545B,-1.206B,0.00,-3.30M,-3.30M,,,1.20M,,,,-11.80M,,,-150.70M,397.20M,-37.30M,359.90M,,,0.00,,,
2004-06,25.00M,6.00M,,,-297.30M,,,6.90M,6.90M,,,,,-1.062B,,,,,-1.30M,,-1.328B,-3.50M,,-3.50M,,,-502.80M,1.171B,665.10M,0.00,-70.40M,-70.40M,,,2.40M,,,,-11.70M,,,76.40M,984.10M,-586.90M,397.20M,,,0.00,,,
2004-03,119.20M,4.80M,,,3.80M,,,7.30M,7.30M,,,,,1.441B,,,,,1.30M,,1.572B,-3.20M,,-3.20M,,,404.00M,-131.50M,269.30M,-1.042B,-311.10M,-1.353B,,,11.60M,,,,-10.40M,,,-1.272B,414.90M,569.20M,984.10M,,,-1.042B,,,
