,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,TotalDeposits,PensionLiability,DerivativeContractLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2012-12,470.00M,601.40M,4.532B,5.134B,112.70M,25.00M,137.70M,21.40M,5.371B,39.70M,281.70M,414.30M,,162.40M,898.10M,-422.10M,476.00M,1.954B,199.00M,2.154B,21.85B,188.00M,21.66B,4.608B,0.00,28.99B,30.32B,53.20M,53.20M,69.90M,123.10M,905.40M,905.40M,905.40M,2.236B,932.90M,,932.90M,18.70M,18.70M,21.75B,172.50M,73.80M,22.95B,25.29B,3.90M,756.20M,5.261B,712.20M,,-96.90M,5.039B
2012-09,,422.00M,,422.00M,,,,,422.00M,,,,,,,,334.70M,1.954B,205.80M,2.160B,21.10B,186.00M,20.91B,3.714B,,27.74B,28.58B,,,,,,,,895.00M,789.70M,,789.70M,,,21.36B,,,22.15B,23.47B,3.90M,750.10M,5.264B,656.20M,,-79.00M,5.107B
2012-06,,415.10M,,415.10M,,,,,487.90M,,,,,,,,337.40M,1.954B,212.50M,2.166B,20.66B,180.30M,20.48B,3.628B,,27.26B,28.15B,,,,,,,,629.30M,490.40M,,490.40M,,,21.46B,,,21.95B,23.01B,3.90M,754.40M,5.258B,602.90M,,-90.20M,5.147B
2012-03,,341.10M,,341.10M,,,,,1.108B,,,,,,,,330.40M,1.953B,216.20M,2.169B,20.55B,183.20M,20.36B,2.821B,,26.29B,27.81B,,,,,,,,479.60M,491.30M,,491.30M,,,21.27B,,,21.76B,22.63B,3.90M,745.50M,5.252B,549.10M,,-93.10M,5.181B
2011-12,370.20M,780.90M,2.726B,3.506B,118.70M,72.90M,191.60M,55.50M,3.816B,41.90M,292.00M,364.20M,,149.90M,848.00M,-400.80M,447.20M,1.951B,222.80M,2.174B,20.54B,182.90M,20.36B,2.872B,20.30M,25.97B,27.56B,117.80M,117.80M,90.00M,207.80M,26.10M,26.10M,26.10M,731.10M,493.00M,,493.00M,,,20.82B,182.70M,58.90M,21.55B,22.34B,3.90M,734.50M,5.247B,493.50M,,-95.80M,5.215B
2011-09,,370.90M,,370.90M,,,,,1.15B,,,,,,,,363.10M,1.921B,229.80M,2.151B,20.19B,177.00M,20.02B,2.462B,,25.65B,27.21B,,,,,,,,547.10M,492.80M,,492.80M,,,20.49B,,,20.98B,21.92B,3.90M,757.70M,5.242B,494.30M,,-36.80M,5.290B
2011-06,,1.157B,,1.157B,,,,,1.157B,,,,,,,,323.60M,1.72B,226.70M,1.947B,17.72B,176.00M,17.55B,3.166B,,23.81B,25.32B,,,,,,,,853.70M,636.60M,,636.60M,,,18.28B,,,18.91B,20.13B,3.70M,763.20M,4.989B,307.60M,,-70.20M,5.194B
2011-03,,1.241B,,1.241B,,,,,1.241B,,,,,,,,326.00M,1.720B,232.70M,1.953B,17.54B,177.50M,17.36B,3.144B,,23.37B,24.96B,,,,,,,,676.30M,657.90M,,657.90M,,,18.11B,,,18.77B,19.80B,3.70M,767.20M,4.982B,307.60M,,-98.40M,5.160B
2010-12,,354.70M,599.80M,954.50M,,,,,1.474B,39.50M,284.60M,293.50M,,116.20M,733.80M,-408.70M,325.10M,1.723B,238.60M,1.962B,17.42B,172.50M,17.24B,3.570B,,23.81B,25.04B,,,,,,,,502.30M,690.50M,,690.50M,,,17.93B,,,18.62B,19.82B,3.70M,772.60M,4.979B,248.90M,,-99.00M,5.219B
2010-09,,320.30M,,320.30M,,,,,798.40M,,,,,,,,254.10M,1.534B,238.70M,1.772B,15.21B,172.50M,15.04B,2.444B,,20.83B,21.90B,,,,,,,,244.20M,192.60M,,192.60M,,,15.67B,,,15.87B,16.53B,3.70M,798.50M,4.946B,134.60M,,-59.40M,5.364B
2010-06,,357.50M,,357.50M,,,,,1.557B,,,,,,,,255.00M,1.533B,244.80M,1.778B,15.21B,172.50M,15.04B,1.753B,,20.12B,21.95B,,,,,,,,133.00M,182.50M,,182.50M,,,15.83B,,,16.02B,16.54B,3.80M,831.10M,4.941B,110.20M,,-60.50M,5.413B
2010-03,,296.30M,,296.30M,,,,,2.824B,,,,,,,,258.20M,1.518B,248.80M,1.766B,15.31B,172.50M,15.14B,855.10M,,18.50B,21.59B,,,,,,,,164.10M,192.70M,,192.70M,,,15.40B,,,15.59B,16.11B,3.80M,874.50M,4.925B,58.20M,,-72.80M,5.479B
2009-12,,3.418B,,3.418B,,,,,3.818B,37.90M,258.50M,298.30M,,63.80M,658.50M,-394.00M,264.50M,1.262B,253.50M,1.515B,14.23B,172.50M,14.06B,870.70M,,17.16B,21.26B,,,,,,,,144.10M,196.60M,,196.60M,,,15.45B,,,15.64B,16.16B,3.50M,914.50M,4.511B,58.60M,,-74.80M,5.101B
2009-09,,410.90M,,410.90M,,,,,3.488B,,,,,,,,261.70M,1.262B,258.50M,1.520B,14.30B,172.50M,14.13B,519.00M,,17.06B,20.81B,,,,,0.00,0.00,0.00,139.00M,196.50M,,196.50M,,,15.05B,,,15.25B,15.69B,3.50M,943.40M,4.506B,59.60M,,-81.40M,5.115B
2009-06,,343.00M,,343.00M,,,,,3.416B,,,,,,,,258.20M,1.262B,263.60M,1.525B,14.55B,167.00M,14.39B,490.90M,,17.16B,20.81B,,,,,,,,145.50M,195.80M,,195.80M,,,15.02B,,,15.22B,15.67B,3.50M,974.70M,4.501B,60.10M,,-83.30M,5.137B
2009-03,,311.20M,2.756B,3.067B,,,,,3.067B,,,,,,,,260.40M,1.262B,268.90M,1.531B,14.65B,159.00M,14.49B,3.530B,,20.11B,20.68B,,,,,0.00,0.00,0.00,170.50M,195.60M,,195.60M,,,14.85B,,,15.04B,15.52B,3.50M,998.80M,4.494B,60.50M,,-74.70M,5.160B
2008-12,,345.10M,,345.10M,,,,,1.484B,38.60M,246.80M,288.20M,,63.10M,636.70M,-374.30M,262.40M,1.262B,274.10M,1.536B,14.57B,157.50M,14.41B,1.871B,,18.42B,20.17B,,,,,,,,,368.40M,,368.40M,,,14.27B,,,14.64B,14.99B,3.50M,1.021B,4.485B,57.90M,,-75.40M,5.174B
2008-09,,437.50M,,437.50M,,,,,437.50M,,,,,,,,265.60M,,,1.537B,14.33B,154.50M,14.18B,2.962B,,19.60B,20.04B,,,,,,,,,332.10M,,332.10M,,,14.15B,,,14.48B,14.80B,3.50M,1.038B,4.476B,58.00M,,-220.10M,5.239B
2008-06,,585.70M,,585.70M,,,,,985.70M,,,,,,,,267.20M,,,1.541B,14.37B,151.70M,14.21B,2.731B,,19.41B,20.39B,,,,,,,,,323.60M,,323.60M,,,14.53B,,,14.86B,15.18B,3.50M,1.042B,4.450B,60.60M,,-223.30M,5.211B
2008-03,,522.30M,,522.30M,,,,,892.30M,,,,,,,,269.10M,,,1.536B,14.49B,151.70M,14.34B,3.362B,,20.21B,21.11B,,,,,,,,111.20M,216.60M,,216.60M,,,15.16B,,,15.38B,15.89B,3.50M,1.049B,4.436B,58.20M,,-211.80M,5.219B
2007-12,,296.20M,,296.20M,,,,,724.20M,,,,,,,,156.80M,,,104.00M,8.950B,72.70M,8.877B,3.150B,,12.83B,13.55B,,,,,,,,,65.40M,,65.40M,,,8.881B,,,8.946B,9.109B,3.00M,1.080B,3.643B,51.80M,,-228.20M,4.445B
2007-09,,304.20M,,304.20M,,,,,1.734B,,,,,,,,151.40M,,,104.20M,8.936B,73.50M,8.862B,2.186B,,11.82B,13.55B,,,,,,,,,65.30M,,65.30M,,,8.782B,,,8.847B,9.017B,3.00M,1.074B,3.710B,,,-253.40M,4.534B
2007-06,,360.90M,,360.90M,,,,,1.779B,,,,,,,,147.40M,,,104.50M,9.046B,72.50M,8.974B,2.306B,,12.04B,13.82B,,,,,,,,,65.30M,,65.30M,,,9.091B,,,9.156B,9.318B,3.00M,1.055B,3.709B,,,-263.50M,4.504B
2007-03,,1.554B,,1.554B,,,,,1.554B,,,,,,,,143.20M,101.50M,3.30M,104.80M,9.31B,74.40M,9.236B,72.70M,,9.833B,11.60B,,,,,,,,7.80M,65.30M,,65.30M,,,9.968B,,,10.03B,10.24B,,1.080B,324.70M,,,-46.40M,1.359B
2006-12,,344.10M,,344.10M,,,,,344.10M,,,,,,,,136.80M,,,105.00M,9.372B,74.00M,9.298B,302.10M,,10.34B,10.69B,,,,,,,,4.10M,65.30M,,65.30M,,,9.083B,,,9.148B,9.347B,142.20M,1.062B,182.90M,,,-48.00M,1.340B
2005-12,,391.60M,,391.60M,,,,,416.60M,,,,,,,,149.40M,,,106.10M,8.573B,75.00M,8.498B,1.395B,,10.52B,10.93B,,,,,43.50M,43.50M,43.50M,313.40M,90.10M,,90.10M,,,9.083B,,,9.173B,9.644B,141.60M,998.40M,175.50M,,,-26.90M,1.289B
2005-09,,358.40M,,358.40M,,,,,383.40M,,,,,,,,148.40M,,,106.40M,8.383B,73.00M,8.310B,1.594B,,10.51B,10.89B,,,,,,,,270.70M,122.00M,,122.00M,,,9.086B,,,9.208B,9.623B,141.60M,976.70M,174.10M,,,-24.70M,1.268B
2005-06,,375.40M,,375.40M,,,,,400.40M,,,,,,,,149.00M,,,106.80M,8.288B,73.00M,8.215B,1.715B,,10.53B,10.93B,,,,,,,,208.90M,146.90M,,146.90M,,,9.177B,,,9.324B,9.680B,141.40M,956.80M,167.00M,,,-14.70M,1.250B
2005-03,,282.40M,,282.40M,,,,,307.40M,,,,,,,,148.20M,,,109.20M,8.088B,73.00M,8.015B,2.087B,,10.55B,10.86B,,,,,,,,188.90M,221.90M,,221.90M,,,9.046B,,,9.268B,9.641B,94.20M,933.20M,215.60M,,,-26.70M,1.216B
2004-12,,309.00M,,309.00M,,,,,309.00M,,,,,,,,148.50M,,,109.90M,7.933B,72.50M,7.861B,2.095B,,10.41B,10.72B,,,,,100.00M,100.00M,100.00M,340.80M,121.80M,,121.80M,,,8.862B,,,8.984B,9.518B,140.90M,913.70M,160.70M,,,-15.50M,1.200B
2004-09,,310.70M,,310.70M,,,,,310.70M,,,,,,,,143.70M,,,110.70M,7.597B,75.00M,7.522B,2.259B,,10.23B,10.54B,,,,,,,,222.10M,121.70M,,121.70M,,,8.812B,,,8.934B,9.357B,93.70M,897.60M,204.40M,,,-11.50M,1.184B
2004-06,,343.90M,,343.90M,,,,,343.90M,,,,,,,,144.20M,,,111.60M,7.342B,73.00M,7.269B,2.591B,,10.32B,10.66B,,,,,,,,225.40M,121.70M,,121.70M,,,8.949B,,,9.071B,9.503B,93.70M,881.90M,203.20M,,,-22.20M,1.157B
2004-03,,279.80M,,279.80M,,,,,279.80M,,,,,,,,146.80M,,,112.50M,7.233B,68.30M,7.165B,2.769B,,10.39B,10.67B,,,,,,,,,417.50M,,417.50M,,,8.793B,,,9.211B,9.510B,62.40M,868.60M,226.90M,,,0.80M,1.159B
2003-12,,343.00M,,343.00M,,,,,343.00M,,,,,,,,156.90M,,,113.30M,8.234B,112.50M,8.122B,2.628B,,11.33B,11.67B,,,,,165.10M,165.10M,165.10M,717.00M,1.052B,,1.052B,,,8.714B,,,9.766B,10.67B,62.00M,759.80M,215.20M,,,-35.00M,1.002B
2003-09,,316.70M,,316.70M,,,,,316.70M,,,,,,,,159.30M,,,114.20M,8.196B,112.50M,8.083B,2.729B,,11.45B,11.76B,,,,,949.50M,949.50M,949.50M,1.656B,252.80M,,252.80M,,,8.693B,,,8.945B,10.78B,61.90M,752.80M,210.30M,,,-41.20M,983.80M
2003-06,,343.90M,,343.90M,,,,,343.90M,,,,,,,,165.50M,,,115.10M,7.996B,115.50M,7.881B,3.006B,,11.44B,11.78B,,,,,811.20M,811.20M,811.20M,1.571B,252.70M,,252.70M,,,8.81B,,,9.063B,10.81B,61.80M,748.20M,209.30M,,,-49.30M,970.00M
2003-03,,320.90M,,320.90M,,,,,320.90M,,,,,,,,172.00M,,,115.90M,7.584B,117.90M,7.466B,3.488B,,11.53B,11.85B,,,,,951.90M,951.90M,951.90M,1.69B,252.60M,,252.60M,,,8.756B,,,9.008B,10.90B,61.80M,743.10M,207.40M,,,-58.90M,953.40M
2002-12,,721.00M,,721.00M,,,,,721.00M,,,,,,,,178.80M,,,113.20M,7.450B,114.20M,7.336B,3.336B,,11.54B,12.26B,,,,,793.90M,793.90M,793.90M,1.069B,1.620B,,1.620B,,,8.426B,,,10.05B,11.32B,61.70M,736.60M,206.90M,,,-65.60M,939.60M
2002-09,,311.70M,,311.70M,,,,,311.70M,,,,,,,,186.10M,,,114.10M,7.201B,114.70M,7.086B,3.525B,,11.51B,11.82B,,,,,252.40M,252.40M,252.40M,1.122B,1.354B,,1.354B,,,8.220B,,,9.574B,10.88B,61.70M,728.90M,206.50M,,,-57.30M,939.80M
2002-06,,1.105B,,1.105B,,,,,1.105B,,,,,,,,189.50M,,,114.90M,6.641B,114.70M,6.527B,362.50M,,10.71B,11.81B,,,,,2.803B,2.803B,2.803B,3.733B,1.164B,,1.164B,,,5.522B,,,6.686B,10.86B,61.70M,723.60M,206.00M,,,-38.10M,953.20M
2002-03,,735.20M,,735.20M,,,,,735.20M,,,,,,,,194.80M,,,115.60M,6.728B,114.70M,6.614B,3.312B,,10.62B,11.36B,,,,,1.234B,1.234B,1.234B,1.656B,252.20M,,252.20M,,,8.341B,,,8.594B,10.42B,61.60M,720.80M,205.30M,,,-50.10M,937.60M
2001-12,,884.00M,,884.00M,,,,,884.00M,,,,,,,,202.20M,,,115.60M,7.046B,114.70M,6.931B,2.900B,,11.01B,11.89B,,,,,228.10M,228.10M,228.10M,1.446B,1.348B,,1.348B,,,7.983B,,,9.332B,10.96B,61.50M,718.50M,204.60M,,,-49.60M,935.00M
2001-09,,346.20M,,346.20M,,,,,346.20M,,,,,,,,204.10M,,,118.10M,6.806B,118.00M,6.688B,3.131B,,10.59B,10.93B,,,,,1.260B,1.260B,1.260B,1.680B,266.80M,,266.80M,,,7.858B,,,8.125B,9.992B,61.50M,720.30M,204.00M,,,-43.60M,942.20M
2001-06,,988.10M,,988.10M,,,,,988.10M,,,,,,,,203.10M,,,120.60M,6.779B,113.00M,6.666B,2.514B,,9.974B,10.96B,,,,,1.420B,1.420B,1.420B,1.763B,266.70M,,266.70M,,,7.804B,,,8.071B,10.03B,61.40M,718.10M,203.20M,,,-54.50M,928.20M
