,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,RestrictedCash,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentAccruedExpenses,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,RestrictedCommonStock,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2018-03,59.71M,,59.71M,22.40M,88.81M,,,,,,,,,,,,,45.00M,,135.04M,11.33B,11.42B,,,390.38M,390.38M,,,390.38M,4.499B,4.499B,,,229.12M,,7.782M,,4.507B,4.897B,1.144M,-840.64M,7.128B,,0.009M,3.00M,6.291B
2017-12,10.75M,,10.75M,78.12M,94.19M,,,,,,,,,,,7.10M,7.10M,44.96M,,128.71M,11.40B,11.49B,,,405.56M,405.56M,,,405.56M,4.502B,4.502B,,,233.98M,,10.41M,,4.512B,4.918B,1.143M,-784.50M,7.121B,,0.009M,2.157M,6.340B
2017-09,47.85M,,47.85M,80.25M,133.42M,,,,,,,,,,1.239M,,1.239M,45.10M,3.906M,120.49M,11.40B,11.53B,17.28M,17.28M,439.66M,456.94M,,,456.94M,4.493B,4.493B,,2.602M,233.70M,,10.80M,19.00M,4.525B,4.982B,1.143M,-802.84M,7.118B,,0.009M,0.79M,6.317B
2017-06,39.66M,,39.66M,27.86M,98.88M,,,,,,,,,,1.239M,,1.239M,44.84M,4.292M,116.70M,11.44B,11.53B,13.93M,13.93M,381.23M,395.16M,,,395.16M,4.573B,4.573B,,3.626M,233.90M,,10.41M,19.64M,4.607B,5.002B,1.143M,-817.62M,7.114B,,0.009M,0.735M,6.298B
2017-03,33.96M,,33.96M,24.54M,58.50M,,,,,,,,,,1.239M,,1.239M,44.63M,4.679M,124.13M,11.50B,11.56B,13.35M,13.35M,368.78M,382.13M,,,382.13M,4.557B,4.557B,,5.001M,235.77M,,9.132M,19.42M,4.591B,4.973B,1.143M,-765.75M,7.111B,,0.009M,4.223M,6.351B
2016-12,33.54M,,33.54M,88.26M,121.80M,,,,,,,,,,,42.40M,42.40M,44.49M,,98.43M,11.48B,11.60B,,,452.60M,452.60M,,,452.60M,4.500B,4.500B,,,238.28M,,10.07M,,4.510B,4.962B,1.142M,-707.48M,7.109B,,0.009M,1.144M,6.404B
2016-09,27.82M,,27.82M,31.04M,58.85M,,,,,,,,,,1.607M,,1.607M,0.02M,4.26M,56.77M,6.822B,6.881B,9.08M,9.08M,259.96M,269.04M,,,269.04M,3.434B,3.434B,,8.95M,164.25M,,9.358M,12.22M,3.465B,3.734B,0.754M,-647.39M,3.632B,,,-2.045M,2.983B
2016-06,26.28M,,26.28M,25.13M,51.41M,,,,,,,,,,1.607M,,1.607M,0.05M,4.587M,51.99M,6.818B,6.869B,7.464M,7.464M,218.66M,226.12M,,,226.12M,3.489B,3.489B,,11.76M,163.58M,,10.37M,12.39M,3.524B,3.750B,0.754M,-670.95M,3.630B,,,-4.15M,2.956B
2016-03,28.18M,,28.18M,21.64M,49.82M,,,,,,,,,,1.607M,,1.607M,0.526M,4.916M,57.21M,6.778B,6.828B,8.222M,8.222M,206.78M,215.00M,,,215.00M,3.444B,3.444B,,12.26M,164.50M,,9.413M,12.05M,3.478B,3.693B,0.754M,-653.76M,3.628B,,,-3.976M,2.971B
2015-12,37.56M,,37.56M,26.08M,63.64M,,,,,,,,,,1.607M,6.10M,7.707M,1.811M,5.232M,52.84M,6.784B,6.848B,5.922M,5.922M,226.24M,232.16M,,,232.16M,3.428B,3.428B,,10.36M,165.73M,,8.25M,11.62M,3.458B,3.690B,0.753M,-634.14M,3.627B,,,-1.589M,2.992B
2015-09,44.88M,,44.88M,89.32M,134.20M,,,,,,,,,,1.607M,,1.607M,1.807M,11.90M,64.06M,6.753B,6.887B,10.51M,10.51M,243.71M,254.22M,,,254.22M,3.425B,3.425B,,17.95M,167.54M,,7.266M,11.45M,3.462B,3.716B,0.754M,-614.50M,3.624B,,,-6.306M,3.004B
2015-06,30.03M,,30.03M,53.41M,147.70M,,,,,,,,,,1.607M,,1.607M,1.809M,12.76M,62.15M,6.696B,6.843B,11.88M,11.88M,215.13M,227.02M,,,227.02M,3.442B,3.442B,,13.07M,165.67M,,6.298M,11.28M,3.474B,3.701B,0.754M,-647.41M,3.622B,,,0.952M,2.977B
2015-03,18.33M,,18.33M,26.95M,220.57M,,,,,,,,,,2.321M,,2.321M,1.802M,13.64M,50.86M,6.579B,6.800B,7.68M,7.68M,195.22M,202.90M,,,202.90M,3.479B,3.479B,,15.01M,161.18M,,6.309M,10.49M,3.543B,3.746B,0.753M,-726.06M,3.620B,,,-2.453M,2.892B
2014-12,26.65M,,26.65M,28.18M,54.83M,,,,,,,,,,2.321M,8.30M,10.62M,1.791M,5.996M,52.82M,6.767B,6.822B,8.395M,8.395M,219.04M,227.44M,,,227.44M,3.513B,3.513B,,13.39M,161.29M,,5.911M,10.53M,3.543B,3.770B,0.752M,-729.09M,3.619B,,,-0.412M,2.891B
2014-09,87.77M,,87.77M,59.79M,183.29M,,,,,,,,,,2.321M,,2.321M,1.802M,17.87M,63.00M,6.600B,6.783B,10.09M,10.09M,238.85M,248.94M,,,248.94M,3.430B,3.430B,,13.13M,162.96M,,5.028M,9.97M,3.458B,3.707B,0.752M,-705.02M,3.617B,,,0.396M,2.913B
2014-06,26.32M,,26.32M,64.68M,125.14M,,,,,,,,,,4.106M,,4.106M,3.295M,18.26M,51.79M,6.658B,6.783B,15.30M,15.30M,202.00M,217.29M,,,217.29M,3.475B,3.475B,,18.00M,162.27M,,5.407M,9.808M,3.509B,3.726B,0.751M,-717.64M,3.613B,,,-1.395M,2.895B
2014-03,121.90M,,121.90M,37.88M,193.91M,,,,,,,,,,4.106M,,4.106M,2.982M,16.30M,57.36M,6.592B,6.786B,15.17M,15.17M,198.00M,213.17M,,,213.17M,3.463B,3.463B,,17.94M,163.74M,,4.828M,9.522M,3.495B,3.709B,0.749M,-694.15M,3.604B,,,2.691M,2.913B
2013-12,89.33M,,89.33M,44.36M,172.46M,,,,,,,,,,4.106M,50.30M,54.41M,5.499M,17.42M,41.34M,6.669B,6.842B,15.07M,15.07M,206.27M,221.34M,,,221.34M,3.473B,3.473B,,20.02M,166.73M,,5.05M,9.27M,3.507B,3.728B,0.747M,-653.59M,3.600B,,,0.108M,2.947B
2013-09,181.10M,,181.10M,58.58M,239.68M,,,,,,,,,,4.106M,,4.106M,3.237M,13.63M,47.03M,2.789B,3.028B,6.963M,6.963M,109.28M,116.24M,,,116.24M,1.860B,1.860B,,9.858M,39.64M,,5.039M,6.892M,1.882B,1.998B,0.427M,-567.66M,1.562B,,,-4.599M,990.38M
2013-06,8.792M,,8.792M,12.99M,27.66M,,,,,,,,,,4.106M,,4.106M,3.178M,12.49M,43.06M,2.807B,2.834B,10.08M,10.08M,96.28M,106.37M,,,106.37M,1.692B,1.692B,,11.91M,31.50M,,5.521M,6.934M,1.716B,1.822B,0.427M,-582.88M,1.569B,,,-6.336M,980.30M
2013-03,8.224M,,8.224M,0.649M,8.873M,,,,,,,,,,4.106M,,4.106M,0.749M,12.99M,32.77M,2.766B,2.775B,5.672M,5.672M,86.44M,92.11M,,,92.11M,1.691B,1.691B,,17.31M,30.13M,,5.191M,6.83M,1.721B,1.813B,0.426M,-612.13M,1.566B,,,-21.87M,932.18M
2012-12,9.075M,,9.075M,0.808M,9.883M,,,,,,,,,,4.106M,1.60M,5.706M,4.837M,13.84M,27.57M,2.741B,2.751B,4.586M,4.586M,94.72M,99.30M,,,99.30M,1.674B,1.674B,,21.42M,31.06M,,4.713M,6.669M,1.707B,1.806B,0.422M,-603.32M,1.543B,,,-26.05M,914.05M
2012-09,13.42M,,13.42M,1.299M,14.72M,7.835M,389.21M,3.133B,96.37M,,61.80M,3.688B,-995.48M,2.693B,4.106M,,4.106M,5.16M,15.25M,43.64M,2.761B,2.776B,5.637M,5.637M,101.08M,106.71M,,,106.71M,1.706B,1.706B,,25.82M,31.20M,,,11.38M,1.744B,1.850B,0.419M,-596.03M,1.520B,,,-30.47M,894.18M
2012-06,22.34M,,22.34M,1.038M,23.38M,7.865M,359.74M,2.966B,94.98M,,75.55M,3.504B,-990.94M,2.514B,4.106M,,4.106M,6.202M,14.86M,37.04M,2.576B,2.599B,5.582M,5.582M,89.94M,95.52M,,,95.52M,1.589B,1.589B,,27.65M,26.58M,,,11.28M,1.638B,1.733B,0.41M,-624.30M,1.494B,,,-30.89M,839.39M
2012-03,41.83M,,41.83M,22.74M,64.57M,8.014M,338.53M,2.866B,93.92M,,74.29M,3.381B,-980.04M,2.401B,4.106M,,4.106M,16.57M,15.31M,26.17M,2.463B,2.527B,4.001M,4.001M,79.44M,83.44M,,,83.44M,1.540B,1.540B,,,29.19M,,,40.20M,1.580B,1.664B,0.409M,-625.27M,1.491B,,,-31.80M,834.53M
2011-12,57.32M,,57.32M,1.362M,58.68M,,,,,,,,,,4.106M,1.80M,5.906M,17.01M,14.68M,27.40M,2.472B,2.530B,2.091M,2.091M,91.72M,93.81M,,,93.81M,1.650B,1.650B,,33.10M,25.13M,,4.037M,6.31M,1.693B,1.787B,0.389M,-621.83M,1.376B,,,-35.85M,718.33M
2011-09,24.25M,,24.25M,12.95M,37.20M,8.277M,321.36M,2.795B,90.71M,,35.33M,3.251B,-937.99M,2.313B,4.106M,,4.106M,17.19M,14.13M,26.81M,2.375B,2.412B,3.088M,3.088M,93.38M,96.47M,,,96.47M,1.588B,1.588B,,39.16M,23.80M,,,10.22M,1.637B,1.734B,0.378M,-614.76M,1.310B,,,-41.58M,654.50M
2011-06,12.84M,,12.84M,1.627M,14.46M,8.231M,313.69M,2.733B,86.52M,,31.44M,3.173B,-937.33M,2.236B,4.106M,,4.106M,17.61M,13.91M,27.61M,2.299B,2.314B,2.826M,2.826M,82.45M,85.28M,,,85.28M,1.536B,1.536B,,41.09M,22.66M,,,10.75M,1.588B,1.673B,0.371M,-605.32M,1.265B,,,-42.27M,617.64M
2011-03,47.22M,,47.22M,1.377M,48.60M,8.395M,293.00M,2.601B,85.14M,,20.49M,3.008B,-917.13M,2.091B,4.106M,,4.106M,18.25M,13.35M,26.51M,2.153B,2.202B,2.615M,2.615M,72.33M,74.95M,,,74.95M,1.452B,1.452B,,,23.26M,,,51.75M,1.504B,1.578B,0.365M,-589.19M,1.230B,,,-41.64M,600.00M
2010-12,45.94M,,45.94M,1.514M,47.46M,8.141M,290.20M,2.565B,83.25M,,11.50M,2.958B,-889.84M,2.068B,4.106M,,4.106M,17.50M,13.71M,25.13M,2.129B,2.176B,1.815M,1.815M,74.00M,75.81M,,,75.81M,1.500B,1.500B,,48.94M,22.12M,,,10.46M,1.560B,1.635B,0.348M,-575.02M,1.142B,,,-48.85M,518.50M
2010-09,100.09M,,100.09M,2.426M,102.52M,8.163M,272.29M,2.509B,81.30M,,3.735M,2.875B,-862.66M,2.012B,4.106M,,4.106M,15.57M,14.33M,41.31M,2.087B,2.190B,2.099M,2.099M,80.03M,82.13M,,,82.13M,1.551B,1.551B,,60.07M,20.03M,3.368M,,7.598M,1.622B,1.704B,0.338M,-559.61M,1.086B,,,-60.98M,465.45M
2010-06,25.24M,,25.24M,0.73M,25.98M,8.157M,259.70M,2.410B,78.58M,,4.256M,2.761B,-836.93M,1.924B,4.106M,,4.106M,12.38M,13.66M,17.96M,1.972B,1.998B,1.483M,1.483M,67.61M,69.09M,,,69.09M,1.363B,1.363B,,56.86M,21.96M,2.90M,,8.092M,1.431B,1.500B,0.353M,-541.72M,1.074B,,0.031M,-56.84M,475.94M
2010-03,32.33M,,32.33M,0.844M,33.17M,0.00,251.05M,2.337B,75.85M,9.506M,8.152M,2.682B,-812.61M,1.869B,4.106M,,4.106M,14.08M,13.87M,21.64M,1.923B,1.956B,1.158M,1.158M,65.36M,66.51M,,,66.51M,1.359B,1.359B,,52.69M,22.90M,2.805M,,8.842M,1.423B,1.490B,0.358M,-523.30M,1.017B,,0.062M,-50.71M,443.51M
2009-12,13.82M,,13.82M,0.561M,14.38M,8.721M,256.73M,2.365B,73.98M,,10.52M,2.715B,-788.26M,1.927B,4.106M,,4.106M,8.619M,13.37M,19.75M,1.972B,1.987B,1.702M,1.702M,69.53M,71.23M,,,71.23M,1.400B,1.400B,,51.16M,22.66M,,,11.59M,1.462B,1.534B,0.352M,-510.99M,988.64M,,0.062M,-47.44M,430.57M
2009-09,16.49M,,16.49M,1.101M,17.59M,8.764M,244.45M,2.263B,72.58M,,10.39M,2.599B,-763.95M,1.835B,4.106M,,4.106M,8.805M,13.94M,32.50M,1.894B,1.912B,1.175M,1.175M,76.46M,77.63M,,,77.63M,1.314B,1.314B,,58.98M,24.04M,2.523M,,9.062M,1.385B,1.462B,0.35M,-499.04M,979.26M,,0.062M,-55.09M,425.48M
2009-06,6.08M,,6.08M,0.687M,6.767M,8.527M,244.42M,2.251B,70.51M,,10.57M,2.585B,-740.38M,1.845B,4.106M,,4.106M,6.572M,14.51M,27.59M,1.897B,1.904B,1.916M,1.916M,67.57M,69.48M,,,69.48M,1.324B,1.324B,,54.06M,24.55M,1.976M,,9.339M,1.389B,1.459B,0.344M,-484.31M,955.27M,,0.062M,-50.22M,421.08M
2009-03,47.67M,,47.67M,0.763M,48.43M,8.716M,240.44M,2.224B,68.16M,,13.45M,2.554B,-717.12M,1.837B,4.106M,,4.106M,6.699M,15.21M,27.99M,1.891B,1.940B,1.448M,1.448M,63.38M,64.83M,,,64.83M,1.354B,1.354B,,71.28M,24.82M,1.588M,,9.322M,1.436B,1.501B,0.344M,-473.66M,954.81M,,0.062M,-67.75M,413.74M
2008-12,9.426M,,9.426M,0.414M,9.84M,7.958M,240.43M,2.198B,65.54M,,25.27M,2.537B,-694.05M,1.843B,4.106M,,4.106M,6.824M,15.68M,42.30M,1.912B,1.922B,1.234M,1.234M,66.98M,68.22M,,,68.22M,1.323B,1.323B,,76.96M,25.65M,1.805M,,9.30M,1.411B,1.479B,0.344M,-464.62M,954.13M,,0.062M,-72.88M,416.97M
2008-09,43.67M,,43.67M,4.274M,47.94M,7.762M,241.09M,2.168B,62.66M,,35.35M,2.515B,-667.87M,1.847B,4.106M,,4.106M,6.897M,15.69M,53.45M,1.927B,1.975B,2.395M,2.395M,96.73M,99.13M,,,99.13M,1.356B,1.356B,,,31.61M,2.25M,,9.634M,1.368B,1.467B,0.342M,-452.42M,947.92M,,0.062M,-19.63M,476.22M
2008-06,9.977M,,9.977M,3.833M,13.81M,7.91M,224.97M,2.114B,60.69M,,32.94M,2.441B,-660.05M,1.780B,4.106M,,4.106M,6.745M,15.70M,20.55M,1.828B,1.841B,1.552M,1.552M,85.50M,87.05M,,,87.05M,1.244B,1.244B,,,31.48M,2.238M,,8.851M,1.255B,1.342B,0.336M,-438.25M,920.76M,,0.062M,-14.93M,467.92M
2008-03,7.059M,,7.059M,3.521M,10.58M,,,,,,,2.389B,-638.04M,1.751B,4.106M,,4.106M,,,,1.755B,1.800B,1.569M,1.569M,,1.569M,,,1.569M,1.272B,1.272B,102.52M,,28.84M,2.068M,,,1.376B,1.387B,0.323M,-426.79M,853.33M,,0.062M,-42.49M,384.38M
2007-12,17.19M,,17.19M,3.724M,20.92M,6.778M,217.10M,2.044B,55.60M,,12.89M,2.337B,-616.36M,1.720B,4.106M,,4.106M,0.168M,15.22M,23.03M,1.763B,1.784B,1.099M,1.099M,61.21M,62.31M,,,62.31M,1.265B,1.265B,,16.04M,28.87M,2.574M,,8.453M,1.292B,1.354B,0.319M,-414.97M,832.51M,,0.062M,-16.91M,400.96M
2007-09,4.041M,0.051M,4.092M,5.095M,9.187M,,,,,,,2.325B,-594.87M,1.730B,4.106M,,4.106M,,,,1.734B,1.790B,1.931M,1.931M,,1.931M,,,1.931M,1.248B,1.248B,72.93M,,30.16M,2.92M,,,1.323B,1.334B,0.317M,-403.48M,827.47M,,0.062M,1.676M,425.98M
2007-06,4.292M,0.051M,4.343M,4.149M,8.492M,,,,,,,2.259B,-573.47M,1.685B,4.105M,,4.105M,,,,1.689B,1.761B,0.647M,0.647M,,0.647M,,,0.647M,1.196B,1.196B,63.88M,,32.09M,2.901M,,,1.262B,1.272B,0.322M,-396.65M,835.93M,,0.067M,17.84M,457.44M
2007-03,6.375M,,6.375M,4.085M,10.46M,,,,,,,2.211B,-559.40M,1.652B,4.105M,,4.105M,,,,1.656B,1.733B,1.69M,1.69M,,1.69M,,,1.69M,1.184B,1.184B,53.46M,,32.79M,,,,1.237B,1.250B,0.32M,-387.02M,828.83M,,0.067M,7.971M,450.10M
2006-12,5.545M,3.718M,9.263M,4.145M,13.41M,,,,,,,2.213B,-543.80M,1.670B,5.051M,,5.051M,,,,1.675B,1.747B,2.773M,2.773M,,2.773M,,,2.773M,1.196B,1.196B,57.92M,,32.60M,,,,1.254B,1.265B,0.318M,-378.09M,815.94M,,0.067M,10.90M,449.07M
2006-09,7.689M,3.839M,11.53M,5.186M,16.71M,,,,,,,2.166B,-522.72M,1.644B,5.051M,,5.051M,,,,1.649B,1.723B,0.678M,0.678M,,0.678M,,,0.678M,1.202B,1.202B,50.83M,,32.21M,,,,1.253B,1.261B,0.312M,-363.72M,782.25M,,0.067M,11.00M,429.84M
2006-06,11.37M,3.926M,15.29M,4.586M,19.88M,,,,,,,2.068B,-503.79M,1.564B,5.051M,,5.051M,,,,1.569B,1.631B,5.986M,5.986M,,5.986M,,,5.986M,1.125B,1.125B,29.01M,,31.94M,,,,1.154B,1.168B,0.307M,-351.27M,757.58M,,0.067M,24.63M,431.25M
2006-03,11.07M,,11.07M,4.402M,15.48M,,,,,,,2.043B,-491.81M,1.552B,5.051M,,5.051M,,,,1.557B,1.617B,2.663M,2.663M,,2.663M,,,2.663M,1.181B,1.181B,28.35M,,28.36M,,,,1.209B,1.219B,0.293M,-339.31M,691.43M,,0.067M,17.54M,369.96M
2005-12,14.06M,,14.06M,5.534M,19.60M,,,,,,,1.984B,-473.42M,1.510B,5.051M,,5.051M,,,,1.515B,1.570B,3.278M,3.278M,,3.278M,,,3.278M,1.140B,1.140B,28.38M,,29.80M,,,,1.168B,1.178B,0.287M,-314.35M,671.88M,,0.067M,7.128M,362.53M
2005-09,10.09M,,10.09M,8.282M,18.38M,,,,,,,1.974B,-454.35M,1.520B,5.051M,,5.051M,,,,1.525B,1.575B,2.592M,2.592M,,2.592M,1.201M,1.201M,3.793M,1.140B,1.140B,50.83M,,28.66M,,,,1.191B,1.200B,0.284M,-314.46M,662.87M,,0.067M,1.292M,346.49M
2005-06,6.616M,,6.616M,7.266M,13.88M,,,,,,,1.910B,-435.50M,1.475B,5.051M,,5.051M,,,,1.480B,1.521B,2.439M,2.439M,,2.439M,,,2.439M,1.087B,1.087B,44.40M,,31.30M,,,,1.131B,1.140B,0.282M,-289.04M,654.32M,,0.067M,-12.43M,349.46M
2005-03,6.009M,,6.009M,6.558M,12.57M,,,,,,,1.913B,-417.47M,1.496B,5.306M,,5.306M,,,,1.501B,1.555B,2.427M,2.427M,,2.427M,,,2.427M,1.116B,1.116B,27.40M,,31.48M,10.00M,,,1.154B,1.162B,0.28M,-281.09M,648.62M,,0.067M,-3.436M,360.85M
2004-12,9.133M,,9.133M,6.041M,15.17M,,,,,,,1.860B,-399.76M,1.460B,5.40M,,5.40M,,,,1.465B,1.522B,0.767M,0.767M,,0.767M,,,0.767M,1.083B,1.083B,43.38M,,31.38M,,,,1.127B,1.134B,0.28M,-269.48M,644.52M,,0.071M,-14.74M,357.32M
2004-09,9.406M,,9.406M,6.491M,15.90M,,,,,,,1.771B,-382.50M,1.389B,5.762M,,5.762M,,,,1.395B,1.457B,2.391M,2.391M,,2.391M,,,2.391M,1.017B,1.017B,54.22M,,28.49M,,,,1.071B,1.079B,0.277M,-265.73M,638.42M,,0.071M,-19.80M,349.71M
2004-06,38.91M,,38.91M,6.565M,45.47M,,,,,,,1.758B,-372.63M,1.385B,5.762M,,5.762M,,,,1.391B,1.459B,1.658M,1.658M,,1.658M,,,1.658M,1.018B,1.018B,42.19M,,29.72M,,,,1.060B,1.067B,0.275M,-253.22M,631.54M,,0.071M,-13.16M,362.45M
2004-03,8.30M,,8.30M,9.362M,17.66M,,,,,,,1.734B,-356.31M,1.378B,5.762M,,5.762M,,,,1.383B,1.425B,1.736M,1.736M,,1.736M,,,1.736M,979.50M,979.50M,52.95M,,30.75M,,,,1.032B,1.039B,0.275M,-242.60M,630.67M,,0.071M,-30.01M,354.71M
2003-12,,,,,,,,,,,,1.352B,,1.352B,,,,,,,1.352B,1.407B,,,,,,,,,,,,32.02M,,,,,1.023B,,,,,,,351.29M
2003-09,5.576M,,5.576M,10.36M,15.94M,,,,,,,1.623B,-323.68M,1.299B,,,,,,,1.299B,1.366B,1.875M,1.875M,60.95M,62.82M,,,62.82M,911.70M,911.70M,,,32.76M,,,,911.70M,979.23M,0.266M,-221.08M,608.42M,,0.071M,-29.10M,354.47M
2003-06,17.77M,,17.77M,7.145M,24.91M,,,,,,,1.510B,-310.58M,1.200B,,,,4.345M,,,1.204B,1.254B,3.39M,3.39M,,3.39M,,,3.39M,833.21M,833.21M,62.64M,,30.51M,,,,895.85M,907.41M,0.248M,-207.48M,561.64M,,0.068M,-34.54M,315.65M
2003-03,5.759M,,5.759M,6.746M,12.50M,,,,,,,1.500B,-297.05M,1.203B,,,,,,,1.203B,1.246B,1.037M,1.037M,,1.037M,,,1.037M,825.78M,825.78M,51.38M,,31.91M,,,,877.15M,886.44M,0.247M,-198.20M,559.34M,,0.068M,-29.53M,327.52M
2002-12,,,,,,,,,,,,1.193B,,1.193B,,,,,,,1.193B,1.239B,,,,,,,,,,,,33.40M,,,,,877.89M,,,,,,,328.17M
2002-09,14.18M,,14.18M,10.05M,24.23M,,,,,,,1.494B,-268.70M,1.225B,,,,,,,1.225B,1.278B,1.038M,1.038M,,1.038M,,,1.038M,822.73M,822.73M,53.71M,,39.15M,,,,876.44M,886.02M,0.247M,-174.84M,557.14M,,0.069M,-24.71M,353.32M
2002-06,16.10M,,16.10M,9.241M,25.34M,,,,,,,1.455B,-256.32M,1.199B,,,,,,,1.199B,1.251B,1.546M,1.546M,,1.546M,,,1.546M,788.14M,788.14M,36.28M,,43.11M,,,,824.42M,834.65M,0.245M,-164.29M,554.39M,,0.069M,-12.53M,373.20M
2002-03,12.52M,,12.52M,8.489M,21.01M,,,,,,,1.439B,-243.23M,1.196B,,,,,,,1.196B,1.253B,1.356M,1.356M,23.77M,25.12M,,,25.12M,783.61M,783.61M,,,44.76M,,,,783.61M,817.41M,0.244M,-154.99M,550.91M,,0.069M,-4.968M,390.43M
2001-12,,,,,,,,,,,,1.217B,,1.217B,,,,,,,1.217B,1.263B,,,,,,,,,,,,43.90M,,,,,821.23M,,,,,,,398.36M
2001-09,10.65M,,10.65M,14.40M,25.05M,,,,,,,1.440B,-217.54M,1.222B,,,,,,,1.222B,1.274B,1.997M,1.997M,,1.997M,,,1.997M,775.47M,775.47M,37.28M,,47.93M,,,,812.75M,823.53M,0.243M,-136.99M,549.56M,,0.069M,-9.829M,402.06M
