,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2007-06,588.00M,,,392.00M,1.252B,292.00M,1.544B,1.544B,94.00M,,,84.00M,-140.00M,,-131.00M,,,-6.00M,-277.00M,,2.425B,2007-06,-1.715B,,-1.715B,,-761.00M,460.00M,-1.00M,-2.017B,2007-06,,,-29.00M,116.00M,-752.00M,-636.00M,,,,48.00M,-617.00M,2007-06,1.037B,-209.00M,,,2007-06,116.00M,,,-752.00M,,,
2007-03,837.00M,,,-634.00M,1.225B,277.00M,1.502B,1.502B,103.00M,,,51.00M,212.00M,,51.00M,,,-157.00M,106.00M,,1.965B,2007-03,-1.572B,,-1.572B,,-9.00M,349.00M,44.00M,-1.188B,2007-03,,,-701.00M,218.00M,-500.00M,-282.00M,,,,4.00M,-979.00M,2007-03,1.239B,-202.00M,,,2007-03,218.00M,,,-500.00M,,,
2006-12,390.00M,,,20.00M,1.219B,296.00M,1.515B,1.515B,-237.00M,,,98.00M,-221.00M,,175.00M,,,-259.00M,-305.00M,-78.00M,1.403B,2006-12,-1.423B,,-1.423B,,-1.271B,-2.122B,1.00M,-4.815B,2006-12,,,1.71B,277.00M,-465.00M,-188.00M,,,,18.00M,1.54B,2006-12,3.111B,-1.872B,,,2006-12,277.00M,,,-465.00M,,,
2006-09,1.217B,,,-840.00M,843.00M,250.00M,1.093B,1.093B,1.156B,,,83.00M,-75.00M,,410.00M,,,-355.00M,-20.00M,-658.00M,2.031B,2006-09,-1.283B,,-1.283B,,-3.289B,1.834B,0.00,-2.738B,2006-09,,,3.066B,73.00M,-494.00M,-421.00M,,,,5.00M,2.65B,2006-09,1.168B,1.943B,,,2006-09,73.00M,,,-494.00M,,,
2006-06,460.00M,,,-11.00M,970.00M,233.00M,1.203B,1.203B,-30.00M,,,77.00M,-211.00M,,52.00M,,,-94.00M,-253.00M,,1.446B,2006-06,-1.117B,,-1.117B,,-550.00M,84.00M,64.00M,-1.519B,2006-06,,,-103.00M,48.00M,-678.00M,-630.00M,,,,11.00M,-722.00M,2006-06,1.963B,-795.00M,,,2006-06,48.00M,,,-678.00M,,,
2006-03,466.00M,,,-12.00M,935.00M,216.00M,1.151B,1.151B,-215.00M,,,64.00M,150.00M,,-77.00M,,,211.00M,284.00M,,1.738B,2006-03,-878.00M,,-878.00M,,,145.00M,-67.00M,-800.00M,2006-03,,,785.00M,12.00M,-710.00M,-698.00M,,,,-9.00M,78.00M,2006-03,947.00M,1.016B,,,2006-03,12.00M,,,-710.00M,,,
2005-12,133.00M,,,13.00M,987.00M,276.00M,1.263B,1.263B,244.00M,,,,-70.00M,,-91.00M,241.00M,,-912.00M,-832.00M,,895.00M,2005-12,-868.00M,,-868.00M,,-3.00M,845.00M,-706.00M,-732.00M,2005-12,,,881.00M,93.00M,-1.022B,-929.00M,,,,-88.00M,-136.00M,2005-12,579.00M,27.00M,,,2005-12,93.00M,,,-1.022B,,,
2005-09,222.00M,,,118.00M,914.00M,302.00M,1.216B,1.216B,5.00M,,,,41.00M,,-62.00M,-241.00M,,124.00M,-138.00M,,1.423B,2005-09,-911.00M,,-911.00M,,-62.00M,-325.00M,614.00M,-684.00M,2005-09,,,-825.00M,-59.00M,-631.00M,-690.00M,,,,20.00M,-1.495B,2005-09,1.335B,-756.00M,,,2005-09,-59.00M,,,-631.00M,,,
2005-06,430.00M,,,-333.00M,891.00M,270.00M,1.161B,1.161B,30.00M,,,,-144.00M,,44.00M,,,-3.00M,-103.00M,,1.185B,2005-06,-950.00M,,-950.00M,,-134.00M,-110.00M,-125.00M,-1.319B,2005-06,,,1.103B,19.00M,-334.00M,-315.00M,,,,45.00M,833.00M,2005-06,636.00M,699.00M,,,2005-06,19.00M,,,-334.00M,,,
2005-03,143.00M,,,209.00M,874.00M,290.00M,1.164B,1.164B,-96.00M,,,,76.00M,,-43.00M,,,-121.00M,-88.00M,,1.332B,2005-03,-892.00M,,-892.00M,,,59.00M,-180.00M,-1.013B,2005-03,,,113.00M,40.00M,-326.00M,-286.00M,,,,38.00M,-135.00M,2005-03,452.00M,184.00M,,,2005-03,40.00M,,,-326.00M,,,
2004-12,423.00M,,,-1.02B,989.00M,286.00M,1.275B,1.275B,292.00M,,,771.00M,-34.00M,,33.00M,-105.00M,,12.00M,-94.00M,,1.647B,2004-12,-1.05B,,-1.05B,,0.00,197.00M,-269.00M,-1.122B,2004-12,,,-358.00M,113.00M,-354.00M,-241.00M,,,,-39.00M,-638.00M,2004-12,717.00M,-113.00M,,,2004-12,113.00M,,,-354.00M,,,
2004-09,220.00M,,,438.00M,869.00M,305.00M,1.174B,1.174B,84.00M,,,,-12.00M,,40.00M,105.00M,,-247.00M,-114.00M,,1.802B,2004-09,-878.00M,,-878.00M,,40.00M,-68.00M,81.00M,-825.00M,2004-09,,,-376.00M,-38.00M,-496.00M,-534.00M,,,,56.00M,-854.00M,2004-09,594.00M,123.00M,,,2004-09,-38.00M,,,-496.00M,,,
2004-06,262.00M,,,-95.00M,813.00M,287.00M,1.10B,1.10B,150.00M,,,343.00M,-139.00M,,-9.00M,,,247.00M,99.00M,,1.859B,2004-06,-904.00M,,-904.00M,,-295.00M,-20.00M,-148.00M,-1.367B,2004-06,,,-290.00M,38.00M,-511.00M,-473.00M,,,,-10.00M,-773.00M,2004-06,875.00M,-281.00M,,,2004-06,38.00M,,,-511.00M,,,
2004-03,65.00M,,,69.00M,798.00M,276.00M,1.074B,1.074B,5.00M,,,-343.00M,131.00M,,-227.00M,,,,-96.00M,,774.00M,2004-03,-828.00M,,-828.00M,,-41.00M,-50.00M,-279.00M,-1.198B,2004-03,,,-269.00M,,,,,,,18.00M,-251.00M,2004-03,1.55B,-675.00M,,,2004-03,,,,,,,
2003-12,383.00M,,,-2.296B,796.00M,182.00M,978.00M,978.00M,1.109B,,,-105.00M,-57.00M,,536.00M,157.00M,,,266.00M,,335.00M,2003-12,-1.068B,,-1.068B,,-113.00M,6.919B,-3.146B,717.00M,2003-12,,,-2.769B,,,,,,,-31.00M,-2.747B,2003-12,3.245B,-1.695B,,,2003-12,,,,,,,
2003-09,-282.00M,,,-39.00M,734.00M,341.00M,1.075B,1.075B,-63.00M,,,105.00M,-20.00M,27.00M,-118.00M,-160.00M,,,-271.00M,,525.00M,2003-09,-1.052B,,-1.052B,,-17.00M,-674.00M,3.141B,3.273B,2003-09,,,-1.601B,,,,,,,0.00,-1.601B,2003-09,1.324B,2.197B,,,2003-09,,,,,,,
2003-06,36.00M,,,239.00M,856.00M,395.00M,1.251B,1.251B,-44.00M,,,277.00M,-40.00M,-27.00M,-354.00M,3.00M,,,-418.00M,,1.341B,2003-06,-1.083B,,-1.083B,,-22.00M,-1.195B,1.886B,-414.00M,2003-06,,,-520.00M,,,,,,,13.00M,-507.00M,2003-06,628.00M,420.00M,,,2003-06,,,,,,,
2003-03,-355.00M,,,290.00M,780.00M,354.00M,1.134B,1.134B,-182.00M,,,-277.00M,72.00M,,-29.00M,,,,43.00M,,653.00M,2003-03,-958.00M,,-958.00M,,,2.687B,-66.00M,1.663B,2003-03,,,-2.177B,,,,,,,-16.00M,-2.193B,2003-03,505.00M,123.00M,,,2003-03,,,,,,,
2002-12,-105.00M,,,-123.00M,737.00M,87.00M,824.00M,824.00M,-35.00M,,,56.00M,69.00M,,37.00M,5.00M,,,161.00M,,778.00M,2002-12,-817.00M,,-817.00M,,-235.00M,485.00M,34.00M,-533.00M,2002-12,,,176.00M,19.00M,,19.00M,,,,-345.00M,-150.00M,2002-12,410.00M,95.00M,,,2002-12,19.00M,,,,,,
2002-09,-65.50M,,,-23.90M,280.40M,35.30M,315.70M,315.70M,-55.80M,,,-77.50M,2.10M,-40.50M,524.70M,13.20M,,,499.50M,,592.50M,2002-09,-246.10M,,-246.10M,,0.10M,122.70M,-97.50M,-220.80M,2002-09,,,-387.80M,-11.20M,,-11.20M,,,,15.50M,-383.50M,2002-09,557.80M,-11.80M,,,2002-09,-11.20M,,,,,,
2002-06,-209.50M,,,577.90M,342.60M,45.70M,388.30M,388.30M,-21.20M,,,9.50M,21.90M,12.50M,-276.70M,28.80M,,,-213.50M,,531.50M,2002-06,-389.90M,,-389.90M,,-4.10M,557.30M,-77.50M,85.80M,2002-06,,,-606.20M,6.20M,,6.20M,,,,-2.50M,-602.50M,2002-06,543.00M,14.80M,,,2002-06,6.20M,,,,,,
2002-03,-89.00M,,,289.00M,334.00M,53.00M,387.00M,387.00M,17.00M,,,12.00M,-13.00M,28.00M,-65.00M,-47.00M,,,-97.00M,,519.00M,2002-03,-399.00M,,-399.00M,,-12.00M,10.00M,-56.00M,-457.00M,2002-03,,,69.00M,5.00M,,5.00M,,,,57.00M,131.00M,2002-03,350.00M,193.00M,,,2002-03,5.00M,,,,,,
2001-12,-320.60M,,,-26.30M,381.60M,607.30M,988.90M,988.90M,-112.30M,,,2.00M,-16.00M,-16.00M,,-27.00M,,-403.40M,-556.40M,,-24.70M,2001-12,-496.80M,,-496.80M,,-411.50M,116.50M,246.00M,-545.80M,2001-12,,,258.20M,3.80M,0.10M,3.90M,,,,0.50M,262.60M,2001-12,658.40M,-307.90M,,,2001-12,3.80M,,,0.10M,,,
2001-09,-106.80M,,,-518.50M,245.70M,652.50M,898.20M,898.20M,3.20M,,,-26.10M,-111.20M,33.30M,-360.70M,65.30M,,403.40M,30.10M,,280.10M,2001-09,-547.50M,,-547.50M,,-44.70M,825.40M,-468.20M,-235.00M,2001-09,,,-108.50M,3.00M,-27.10M,-24.10M,,,,0.00,-132.60M,2001-09,745.90M,-87.50M,,,2001-09,3.00M,,,-27.10M,,,
2001-06,35.20M,,,-133.70M,293.40M,526.10M,819.50M,819.50M,-560.80M,,,14.10M,111.20M,-33.30M,360.70M,-65.30M,,169.00M,542.30M,,716.60M,2001-06,-621.80M,,-621.80M,,-846.40M,-62.60M,-52.10M,-1.583B,2001-06,,,959.70M,6.70M,,6.70M,,,,-22.50M,943.90M,2001-06,668.30M,77.60M,,,2001-06,6.70M,,,,,,
2001-03,1.001B,,,-1.756B,221.30M,520.10M,741.40M,741.40M,428.90M,,,12.00M,,,,,,-169.00M,-169.00M,,258.00M,2001-03,-521.90M,,-521.90M,,-26.40M,-23.30M,-71.70M,-643.30M,2001-03,,,388.60M,13.50M,,13.50M,,,,,402.10M,2001-03,651.50M,16.80M,,,2001-03,13.50M,,,,,,
2000-12,783.60M,,,-2.289B,,,789.10M,789.10M,544.10M,,,695.90M,,,,,,-119.20M,-119.20M,,404.60M,2000-12,-580.80M,,-580.80M,,-26.30M,-529.40M,-24.30M,-1.161B,2000-12,,,881.10M,6.70M,-34.60M,-27.90M,,,,-21.40M,831.80M,2000-12,575.90M,75.60M,,,2000-12,6.70M,,,-34.60M,,,
2000-09,1.265B,,,-1.533B,-376.70M,-803.40M,662.10M,662.10M,667.90M,,,-695.90M,,,,,,274.50M,274.50M,,641.00M,2000-09,-448.00M,,-448.00M,,-77.20M,41.60M,-218.20M,-701.80M,2000-09,,,87.20M,2.30M,-70.70M,-68.40M,,,,-34.40M,-15.60M,2000-09,652.30M,-76.40M,,,2000-09,2.30M,,,-70.70M,,,
2000-06,182.60M,,,144.10M,376.70M,803.40M,634.40M,634.40M,143.90M,,,-674.20M,,,,,,-113.60M,-113.60M,,317.20M,2000-06,-318.90M,,-318.90M,,-8.50M,365.20M,-87.30M,-49.50M,2000-06,,,-277.00M,21.50M,-110.50M,-89.00M,,,,,-366.00M,2000-06,750.60M,-98.30M,,,2000-06,21.50M,,,-110.50M,,,
2000-03,-186.40M,,,-553.60M,,,545.70M,545.70M,-253.60M,,,674.20M,,,,,,-369.80M,-369.80M,,-143.50M,2000-03,-289.10M,,-289.10M,,-75.30M,1.137B,-79.40M,693.50M,2000-03,,,-612.50M,,-109.10M,-109.10M,,,,,-721.60M,2000-03,922.20M,-171.60M,,,2000-03,,,,-109.10M,,,
1999-12,-167.60M,,,-1.115B,,,357.10M,357.10M,-246.80M,,,,,,,,,34.30M,34.30M,,-1.138B,1999-12,-348.50M,0.00,-348.50M,,,-656.20M,625.80M,-378.90M,1999-12,,,1.592B,,1.80M,1.80M,,0.00,,-36.40M,1.558B,1999-12,881.90M,40.30M,,,1999-12,,,,1.80M,,,
1999-09,233.00M,,,-456.70M,,,312.80M,312.80M,-173.10M,,,-177.70M,143.30M,,,,,534.90M,678.20M,,416.50M,1999-09,-266.10M,361.10M,95.00M,,,-106.50M,-767.60M,-779.10M,1999-09,,,-933.60M,-0.20M,-15.40M,-15.60M,,0.00,,0.00,-949.20M,1999-09,2.194B,-1.312B,,,1999-09,-0.20M,,,-15.40M,,,
1999-06,969.60M,,,19.80M,,,307.60M,307.60M,362.70M,,,154.60M,-143.30M,,,,,,-143.30M,,1.671B,1999-06,-912.00M,,-912.00M,,,-118.90M,-43.10M,-1.074B,1999-06,,,47.90M,0.20M,3.50M,3.70M,,-0.40M,,-3.20M,48.00M,1999-06,1.549B,645.00M,,,1999-06,0.20M,,,3.50M,,,
1999-03,81.70M,,,-68.30M,,,238.50M,238.50M,25.30M,,,23.10M,,,,,,,,,300.30M,1999-03,-122.40M,,-122.40M,,,-106.30M,-78.60M,-307.30M,1999-03,,,711.90M,,-3.50M,-3.50M,,-9.00M,,-14.40M,685.00M,1999-03,870.70M,678.00M,,,1999-03,,,,-3.50M,,,
1998-12,423.00M,,,-602.50M,,,230.70M,230.70M,212.40M,,,129.70M,,,,,,-90.20M,-90.20M,,303.10M,1998-12,-436.50M,,-436.50M,,,-20.90M,-80.50M,-537.90M,1998-12,,,698.50M,3.20M,,3.20M,,-8.90M,,-8.10M,684.70M,1998-12,420.80M,449.90M,,,1998-12,3.20M,,,,,,
1998-09,717.00M,,,-988.50M,,,240.40M,240.40M,279.80M,,,-1.70M,,,,,,90.20M,90.20M,,337.20M,1998-09,-290.90M,,-290.90M,,,-44.40M,-29.40M,-364.70M,1998-09,,,-62.60M,11.80M,,11.80M,,-9.20M,,2.10M,-57.90M,1998-09,0.00,-85.40M,,,1998-09,11.80M,,,,,,
1998-06,-84.80M,,,114.00M,,,229.20M,229.20M,-33.70M,,,-67.90M,,,,,,,,,156.80M,1998-06,-290.00M,,-290.00M,,,-61.70M,83.30M,-268.40M,1998-06,,,-39.70M,8.10M,,8.10M,,-9.00M,,-2.00M,-42.60M,1998-06,0.00,-154.20M,,,1998-06,8.10M,,,,,,
