,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1997-03,87.00M,,87.00M,,1.161B,,,,1.079B,,,,304.00M,2.631B,,,,,,,12.10B,-5.212B,6.887B,,,,,,,4.156B,11.04B,13.67B,,728.00M,,,728.00M,,728.00M,,,,343.00M,,343.00M,,,583.00M,1.654B,5.328B,5.328B,1.324B,1.324B,,114.00M,708.00M,7.36B,9.014B,,,4.313B,,,,,,,4.546B,,,
1996-12,71.00M,,71.00M,,1.134B,,,,1.001B,,,,289.00M,2.495B,,,,,,,12.15B,-5.146B,7.007B,,,,,,,4.094B,11.10B,13.60B,,725.00M,,,725.00M,,725.00M,,,,341.00M,,341.00M,,,662.00M,1.728B,5.083B,5.083B,1.324B,1.324B,,113.00M,744.00M,7.151B,8.879B,,,4.372B,,,,,,,4.604B,,,
1996-09,83.00M,,83.00M,,1.074B,,,,947.00M,,,,290.00M,2.394B,,,,,,,11.48B,-4.90B,6.585B,,,,,,,4.70B,11.28B,13.68B,,685.00M,,,685.00M,,685.00M,,,,318.00M,,318.00M,,,607.00M,1.61B,5.359B,5.359B,1.285B,1.285B,,,837.00M,7.481B,9.091B,,,4.353B,,,,,,,4.588B,,,
1996-06,86.00M,,86.00M,,1.131B,,,,971.00M,,,,315.00M,2.503B,,,,,,,11.55B,-4.90B,6.652B,,,,,,,4.619B,11.27B,13.77B,,660.00M,,,660.00M,,660.00M,,,,344.00M,,344.00M,,,607.00M,1.611B,5.534B,5.534B,1.254B,1.254B,,110.00M,707.00M,7.495B,9.106B,,,4.313B,,,,,,,4.558B,,,
1996-03,79.00M,,79.00M,,1.27B,,,,1.092B,,,,305.00M,2.746B,,,,,,,11.58B,-4.90B,6.677B,,,,,,,4.292B,10.97B,13.72B,,665.00M,,,665.00M,,665.00M,,,,381.00M,,381.00M,,,580.00M,1.626B,5.457B,5.457B,1.223B,1.223B,,112.00M,773.00M,7.453B,9.079B,,,4.289B,,,,,,,4.524B,,,
1995-12,84.00M,,84.00M,,1.223B,,,,960.00M,,,,265.00M,2.532B,,,,,,,11.62B,-4.90B,6.717B,,,,,,,4.004B,10.72B,13.25B,,747.00M,,,747.00M,,747.00M,,,,487.00M,,487.00M,,,707.00M,1.941B,4.736B,4.736B,1.196B,1.196B,,111.00M,783.00M,6.715B,8.656B,,,4.226B,,,,,,,4.486B,,,
1995-09,227.00M,,227.00M,,1.177B,,,,874.00M,,,,291.00M,2.569B,,,,,,,11.09B,-4.862B,6.229B,,,,,,,4.54B,10.77B,13.34B,,756.00M,,,756.00M,,756.00M,,,,439.00M,,439.00M,,,654.00M,1.849B,4.944B,4.944B,1.173B,1.173B,,106.00M,800.00M,6.917B,8.766B,,,4.056B,,,,,,,4.466B,,,
1995-06,157.00M,,157.00M,,1.152B,,,,830.00M,,,,283.00M,2.422B,,,,,,,10.87B,-4.657B,6.209B,,,,,,,4.822B,11.03B,13.45B,,679.00M,,,679.00M,,679.00M,,,,398.00M,,398.00M,,,667.00M,1.744B,5.171B,5.171B,1.087B,1.087B,,106.00M,831.00M,7.089B,8.833B,,,4.042B,,,,,,,4.514B,,,
1995-03,390.00M,,390.00M,,964.00M,,,,870.00M,,,,314.00M,2.538B,,,,,,,10.79B,-4.657B,6.134B,,,,,,,4.806B,10.94B,13.48B,,681.00M,,,681.00M,,681.00M,,,,319.00M,,319.00M,,,677.00M,1.677B,5.356B,5.356B,1.036B,1.036B,,103.00M,873.00M,7.265B,8.942B,,,3.878B,,,,,,,4.433B,,,
1994-12,112.00M,,112.00M,,1.497B,,,,746.00M,,,,284.00M,2.639B,,,,,,,10.85B,-4.657B,6.196B,,,,,,,4.172B,10.37B,13.01B,,645.00M,,,645.00M,,645.00M,,,,743.00M,,743.00M,,,695.00M,2.083B,4.666B,4.666B,986.00M,986.00M,,103.00M,879.00M,6.531B,8.614B,,,3.733B,,,,,,,4.29B,,,
1994-09,18.60M,,18.60M,,899.90M,,,,745.10M,,,,303.80M,1.967B,,,,,,,10.41B,-4.646B,5.764B,,,,,,,5.083B,10.85B,12.81B,,600.30M,,,600.30M,,600.30M,,,,20.00M,,20.00M,,,666.40M,1.287B,5.317B,5.317B,977.90M,977.90M,,103.10M,943.50M,7.238B,8.525B,,,3.606B,,,,,,,4.186B,,,
1994-06,98.40M,,98.40M,,1.638B,,,,763.60M,,,,301.50M,2.802B,,,,,,,10.31B,-4.544B,5.767B,,,,,,,4.139B,9.905B,12.71B,,563.30M,,,563.30M,,563.30M,,,,166.60M,,166.60M,,,656.80M,1.387B,5.240B,5.240B,945.10M,945.10M,,102.90M,954.40M,7.139B,8.526B,,,3.523B,,,,,,,4.078B,,,
1994-03,106.60M,,106.60M,,949.00M,,,,846.50M,,,,294.50M,2.197B,,,,,,,10.06B,-4.471B,5.585B,,,,,,,4.974B,10.56B,12.76B,,507.30M,,,507.30M,,507.30M,,,,160.10M,,160.10M,,,636.70M,1.304B,5.447B,5.447B,935.30M,935.30M,,108.60M,943.60M,7.326B,8.630B,,,3.456B,,,,,,,4.017B,,,
1993-12,159.90M,,159.90M,,917.90M,,,,762.50M,,,,280.50M,2.121B,,,,,,,10.03B,-4.428B,5.606B,,,,,,,4.912B,10.52B,12.64B,,492.00M,,,492.00M,,492.00M,,,,308.20M,,308.20M,,,565.00M,1.365B,5.302B,5.302B,904.30M,904.30M,,109.30M,991.00M,7.198B,8.563B,,,3.391B,,,,,,,3.966B,,,
1993-09,104.40M,,104.40M,,931.70M,,,,741.40M,,,,260.50M,2.038B,,,,,,,9.865B,-4.393B,5.472B,,,,,,,5.090B,10.56B,12.60B,,451.30M,,,451.30M,,451.30M,,,,179.20M,,179.20M,,,551.10M,1.182B,5.464B,5.464B,922.70M,922.70M,,109.50M,998.20M,7.385B,8.567B,,,3.351B,,,,,,,3.924B,,,
1993-06,161.10M,,161.10M,,810.70M,,,,737.10M,,,,248.00M,1.957B,,,,,,,9.843B,-4.338B,5.505B,,,,,,,5.166B,10.67B,12.63B,,405.80M,,,405.80M,,405.80M,,,,204.80M,,204.80M,,,584.20M,1.195B,4.877B,4.877B,875.00M,875.00M,,93.80M,1.644B,7.396B,8.591B,,,3.346B,,,,,,,3.943B,,,
1993-03,241.70M,,241.70M,,832.20M,,,,806.80M,,,,211.10M,2.092B,,,,,,,9.843B,-4.289B,5.554B,,,,,,,10.74B,16.29B,18.38B,,379.70M,,,379.70M,,379.70M,,,,298.30M,,298.30M,,,717.90M,1.396B,5.143B,5.143B,821.80M,821.80M,,93.00M,7.090B,13.06B,14.45B,,,3.226B,,,,,,,3.840B,,,
1992-12,524.30M,,524.30M,,1.139B,,,,723.90M,,,,168.10M,2.555B,,,,,,,10.84B,-4.313B,6.526B,,,,,,,9.077B,15.60B,18.16B,,386.60M,,,386.60M,,386.60M,,,,128.30M,,128.30M,,,623.10M,1.138B,5.788B,5.788B,760.90M,760.90M,,93.50M,6.732B,13.28B,14.42B,,,3.058B,,,,,,,3.646B,,,
1992-09,516.60M,,516.60M,,778.30M,,,,646.70M,,,,198.90M,2.140B,,,,,,,9.452B,-4.389B,5.063B,,,,,,,10.25B,15.31B,17.45B,,358.50M,,,358.50M,,358.50M,,,,266.40M,,266.40M,,,542.20M,1.167B,5.167B,5.167B,823.60M,823.60M,,91.90M,6.590B,12.58B,13.75B,,,3.034B,,,,,,,3.611B,,,
1992-06,465.60M,,465.60M,,1.117B,,,,637.60M,,,,182.20M,2.402B,,,,,,,9.374B,-4.362B,5.012B,,,,,,,9.658B,14.67B,17.07B,,324.10M,,,324.10M,,324.10M,,,,327.50M,,327.50M,,,574.50M,1.226B,5.228B,5.228B,741.70M,741.70M,,94.60M,6.212B,12.18B,13.41B,,,2.987B,,,,,,,3.569B,,,
1992-03,231.80M,,231.80M,,1.087B,,,,697.40M,,,,182.00M,2.198B,,,,,,,9.328B,-4.344B,4.983B,,,,,,,9.773B,14.76B,16.95B,,323.90M,,,323.90M,,323.90M,,,,233.80M,,233.80M,,,505.30M,1.063B,5.666B,5.666B,747.00M,747.00M,,88.20M,5.862B,12.27B,13.34B,,,2.956B,,,,,,,3.529B,,,
1991-12,615.90M,,615.90M,,1.093B,,,,635.80M,,,,178.20M,2.523B,,,,,,,10.13B,-4.329B,5.800B,,,,,,,8.605B,14.40B,16.93B,,420.50M,,,420.50M,,420.50M,,,,257.00M,,257.00M,,,486.10M,1.164B,5.266B,5.266B,734.30M,734.30M,,90.50M,6.184B,12.18B,13.35B,,,2.930B,,,,,,,3.489B,,,
1991-09,364.80M,,364.80M,,1.279B,,,,633.50M,,,,94.00M,2.372B,,,,,,,9.016B,-4.315B,4.701B,,,,,,,9.945B,14.65B,17.02B,,335.50M,,,335.50M,,335.50M,,,,233.70M,,233.70M,,,418.30M,987.50M,5.312B,5.312B,856.80M,856.80M,,83.80M,5.891B,12.06B,13.05B,,,3.325B,,,,,,,3.886B,,,
1991-06,203.50M,,203.50M,,1.959B,,,,649.60M,,,,129.20M,2.941B,,,,,,,8.895B,-4.227B,4.668B,,,,,,,9.520B,14.19B,17.13B,,329.30M,,,329.30M,,329.30M,,,,112.00M,,112.00M,,,470.40M,911.70M,5.677B,5.677B,844.50M,844.50M,,83.40M,5.728B,12.25B,13.16B,,,3.335B,,,,,,,3.885B,,,
1991-03,179.50M,,179.50M,,1.418B,,,,705.90M,,,,147.50M,2.451B,,,,,,,8.845B,-4.153B,4.692B,,,,,,,9.580B,14.27B,16.72B,,311.40M,,,311.40M,,311.40M,,,,272.30M,,272.30M,,,486.40M,1.070B,5.410B,5.410B,847.30M,847.30M,,72.90M,5.466B,11.72B,12.79B,,,3.325B,,,,,,,3.858B,,,
1990-12,215.30M,,215.30M,,1.374B,,,,669.80M,,,,134.30M,2.394B,,,,,,,8.810B,-4.064B,4.747B,,,,,,,9.215B,13.96B,16.36B,,346.10M,,,346.10M,,346.10M,,,,131.80M,,131.80M,,,443.20M,921.10M,5.364B,5.364B,1.116B,1.116B,,71.70M,5.020B,11.50B,12.42B,,,3.333B,,,,,,,3.864B,,,
1990-09,198.30M,,198.30M,,1.485B,,,,666.00M,,,,156.30M,2.506B,,,,,,,8.597B,-3.984B,4.612B,,,,,,,9.283B,13.89B,16.40B,,362.60M,,,362.60M,,362.60M,,,,609.10M,,609.10M,,,544.00M,1.516B,4.847B,4.847B,846.40M,846.40M,,70.50M,5.238B,10.93B,12.45B,,,3.335B,,,,,,,3.883B,,,
1990-06,232.00M,,232.00M,,1.577B,,,,685.80M,,,,158.80M,2.654B,,,,,,,8.514B,-3.909B,4.605B,,,,,,,8.884B,13.49B,16.14B,,383.60M,,,383.60M,,383.60M,,,,444.20M,,444.20M,,,493.60M,1.321B,4.733B,4.733B,837.40M,837.40M,,25.90M,4.965B,10.54B,11.86B,,,3.310B,,,,,,,4.260B,,,
1990-03,128.10M,,128.10M,,1.221B,,,,776.90M,,,,155.40M,2.282B,,,,,,,7.959B,-3.873B,4.086B,,,,,,,9.870B,13.96B,16.24B,,389.30M,,,389.30M,,389.30M,,,,1.667B,,1.667B,,,614.50M,2.671B,3.790B,3.790B,810.10M,810.10M,,25.50M,4.732B,9.332B,12.00B,,,3.261B,,,,,,,4.209B,,,
1989-12,73.80M,,73.80M,,775.20M,,,,735.50M,,,,148.90M,1.733B,,,,,,,8.621B,-3.802B,4.818B,,,,,,,9.424B,14.24B,15.98B,,405.20M,,,405.20M,,405.20M,,,,282.30M,,282.30M,,,558.50M,1.246B,3.728B,3.728B,1.076B,1.076B,,25.00M,5.754B,10.56B,11.80B,,4.00M,3.197B,,,4.00M,,,,4.148B,,,
1989-09,156.70M,,156.70M,,852.00M,,,,731.30M,,,,118.50M,1.858B,,,,,,,7.782B,-3.687B,4.095B,,,,,,,10.63B,14.73B,16.58B,,365.70M,,,365.70M,,365.70M,,,,1.046B,,1.046B,,,471.90M,1.884B,4.814B,4.814B,889.60M,889.60M,,23.40M,4.633B,10.34B,12.22B,,4.00M,3.393B,,,4.00M,,,,4.341B,,,
1989-06,160.70M,,160.70M,,910.80M,,,,744.90M,,,,118.90M,1.935B,,,,,,,7.683B,-3.634B,4.049B,,,,,,,10.64B,14.69B,16.62B,,358.00M,,,358.00M,,358.00M,,,,1.584B,,1.584B,,,490.10M,2.432B,4.585B,4.585B,854.60M,854.60M,,26.80M,4.492B,9.932B,12.36B,,4.00M,3.293B,,,4.00M,,,,4.233B,,,
1988-12,38.40M,,38.40M,,809.10M,,,,737.20M,,,,117.30M,1.702B,,,,,,,7.961B,-3.526B,4.435B,,,,,,,9.25B,13.69B,15.39B,,,,,,,,,,,74.20M,,74.20M,,,874.30M,948.50M,4.199B,4.199B,945.00M,945.00M,,,5.254B,10.40B,11.35B,,,3.125B,,,,,,,4.041B,,,
1987-12,54.90M,,54.90M,,736.70M,,,,698.80M,,,,123.60M,1.614B,,,,,,,6.974B,-3.291B,3.684B,,,,,,,1.904B,5.588B,7.202B,,,,,,,,,,,22.00M,,22.00M,,,784.00M,806.00M,1.591B,1.591B,874.20M,874.20M,,,218.10M,2.684B,3.490B,,,2.814B,,,,,,,3.712B,,,
1986-12,38.10M,,38.10M,,597.10M,,,,599.50M,,,,108.80M,1.344B,,,,,,,7.364B,-2.994B,4.37B,,,,,,,844.20M,5.214B,6.558B,,,,,,,,,,,174.10M,,174.10M,,,687.70M,861.80M,1.476B,1.476B,512.80M,512.80M,,,458.40M,2.447B,3.308B,,,2.568B,,,,,,,3.249B,,,
1985-12,39.70M,,39.70M,,520.60M,,,,379.40M,,,,260.50M,1.200B,,,,,,,6.922B,-2.785B,4.137B,,,,,,,668.30M,4.805B,6.005B,,,,,,,,,,,33.40M,,33.40M,,,675.70M,709.10M,1.234B,1.234B,463.90M,463.90M,,,281.30M,1.979B,2.688B,,,2.499B,,,,,,,3.317B,,,
1984-12,173.30M,,173.30M,,511.60M,,,,559.00M,,,,94.50M,1.338B,,,,,,,6.300B,-2.782B,3.518B,,,,,,,1.102B,4.619B,5.958B,,,,,,,,,,,251.00M,,251.00M,,,640.10M,891.10M,1.160B,1.160B,445.30M,445.30M,,,280.20M,1.886B,2.777B,,,2.502B,,,,,,,3.181B,,,
