,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2013-06,912.00M,,912.00M,663.00M,706.00M,140.00M,421.00M,,561.00M,96.00M,,144.00M,,2.419B,,,,,8.925B,72.00M,8.997B,-6.219B,2.778B,42.00M,,42.00M,821.00M,,265.00M,5.86B,11.49B,13.91B,,341.00M,50.00M,,391.00M,405.00M,796.00M,2.00M,,163.00M,165.00M,,165.00M,61.00M,61.00M,,1.079B,4.466B,4.466B,38.00M,1.823B,,38.00M,634.00M,6.923B,8.002B,,736.00M,350.00M,,,14.00M,,,-1.508B,5.868B,,AOR,Restated
2013-03,639.00M,,639.00M,703.00M,768.00M,142.00M,565.00M,,596.00M,89.00M,,189.00M,,2.281B,,,,,9.135B,56.00M,9.191B,-6.35B,2.841B,40.00M,,40.00M,211.00M,,274.00M,5.242B,10.23B,12.51B,,357.00M,45.00M,,402.00M,375.00M,777.00M,,,184.00M,184.00M,,184.00M,54.00M,54.00M,,1.072B,4.633B,4.633B,46.00M,1.902B,,32.00M,627.00M,7.162B,8.234B,,683.00M,264.00M,,,,,,-1.53B,4.244B,,AOR,Restated
2012-12,898.00M,,898.00M,523.00M,618.00M,139.00M,392.00M,,531.00M,88.00M,184.00M,88.00M,,2.407B,0.00,129.00M,1.327B,6.926B,878.00M,50.00M,9.31B,-6.388B,2.922B,40.00M,,40.00M,828.00M,,368.00M,4.361B,10.18B,12.59B,,373.00M,29.00M,,402.00M,504.00M,906.00M,0.00,,570.00M,570.00M,,570.00M,71.00M,71.00M,,1.605B,4.393B,4.393B,0.00,1.93B,,43.00M,551.00M,6.874B,8.479B,,678.00M,219.00M,,,,,,-1.558B,4.07B,,AOR,Restated
2012-09,602.00M,,602.00M,504.00M,601.00M,526.00M,91.00M,,512.00M,83.00M,,117.00M,,1.915B,0.00,982.00M,,,9.359B,822.00M,11.16B,-6.60B,4.563B,40.00M,,40.00M,208.00M,36.00M,233.00M,5.343B,10.42B,12.34B,,356.00M,37.00M,46.00M,439.00M,280.00M,719.00M,,,,340.00M,,340.00M,66.00M,66.00M,,1.254B,3.951B,3.951B,68.00M,68.00M,1.378B,13.00M,1.334B,6.731B,7.985B,,676.00M,169.00M,4.692B,,,,,-1.197B,4.34B,,AOR,Restated
2012-06,857.00M,,857.00M,,494.00M,510.00M,81.00M,,487.00M,86.00M,,100.00M,,2.024B,0.00,959.00M,,,9.463B,789.00M,11.21B,-6.693B,4.518B,40.00M,,40.00M,207.00M,38.00M,238.00M,5.41B,10.45B,12.48B,,360.00M,46.00M,,406.00M,135.00M,541.00M,,,,184.00M,,184.00M,62.00M,62.00M,113.00M,1.12B,4.288B,4.288B,92.00M,92.00M,1.429B,11.00M,1.349B,7.158B,8.278B,,672.00M,132.00M,4.62B,,,,,-1.238B,4.186B,,AOR,Restated
2012-03,726.00M,,726.00M,,503.00M,543.00M,77.00M,,517.00M,80.00M,,113.00M,,1.939B,0.00,943.00M,,,9.492B,798.00M,11.23B,-6.663B,4.57B,40.00M,,40.00M,208.00M,30.00M,246.00M,5.441B,10.54B,12.47B,,343.00M,43.00M,49.00M,435.00M,274.00M,709.00M,,,,167.00M,,167.00M,58.00M,58.00M,,1.046B,4.309B,4.309B,108.00M,108.00M,1.47B,8.00M,1.336B,7.223B,8.269B,,672.00M,128.00M,4.611B,,,,,-1.214B,4.197B,,AOR,Restated
2011-12,953.00M,,953.00M,509.00M,531.00M,137.00M,459.00M,,476.00M,68.00M,,81.00M,,2.109B,0.00,142.00M,1.405B,7.036B,868.00M,145.00M,9.596B,-6.55B,3.046B,40.00M,,40.00M,213.00M,,276.00M,5.459B,10.52B,12.63B,,336.00M,42.00M,,378.00M,429.00M,807.00M,,,12.00M,12.00M,,12.00M,59.00M,59.00M,,941.00M,5.25B,5.25B,129.00M,1.596B,,4.00M,580.00M,7.426B,8.367B,,671.00M,176.00M,,,,,,-1.179B,4.263B,,AOR,Restated
2011-09,971.00M,,971.00M,,498.00M,500.00M,80.00M,,468.00M,81.00M,,106.00M,,2.124B,0.00,989.00M,,,9.615B,671.00M,11.28B,-6.672B,4.603B,40.00M,,40.00M,209.00M,,260.00M,5.599B,10.71B,12.84B,,305.00M,122.00M,46.00M,473.00M,285.00M,758.00M,,,,11.00M,,11.00M,65.00M,65.00M,,988.00M,4.499B,4.499B,440.00M,440.00M,797.00M,4.00M,1.312B,7.048B,8.036B,,671.00M,192.00M,4.587B,,,,,-655.00M,4.795B,,AOR,Restated
2011-06,881.00M,,881.00M,,569.00M,544.00M,91.00M,,513.00M,115.00M,,167.00M,,2.245B,0.00,988.00M,,,13.90B,672.00M,15.56B,-6.834B,8.73B,40.00M,,40.00M,206.00M,,263.00M,1.555B,10.79B,13.04B,,326.00M,,,326.00M,712.00M,1.038B,,,,,,,,,,1.038B,4.51B,4.51B,533.00M,533.00M,835.00M,2.00M,1.387B,7.265B,8.303B,,673.00M,116.00M,4.607B,,,,,-662.00M,4.734B,,AOR,Restated
2011-03,1.463B,,1.463B,,559.00M,589.00M,77.00M,,544.00M,85.00M,,155.00M,,2.806B,0.00,978.00M,,,9.90B,664.00M,11.54B,-6.749B,4.793B,40.00M,,40.00M,207.00M,,266.00M,5.468B,10.77B,13.58B,,359.00M,,,359.00M,686.00M,1.045B,,,,,,,,,,1.045B,5.058B,5.058B,485.00M,485.00M,908.00M,2.00M,1.38B,7.831B,8.876B,,674.00M,187.00M,4.597B,,,,,-756.00M,4.702B,,AOR,Restated
