,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2007-09,101.00M,,,,,,,58.00M,236.00M,236.00M,-53.00M,,,-50.00M,9.00M,-199.00M,-28.00M,49.00M,,,-18.00M,-187.00M,105.00M,,-119.00M,21.00M,-98.00M,1.361B,1.00M,-1.347B,-83.00M,,,,411.00M,3.00M,-441.00M,-438.00M,,,,,-130.00M,,0.00,-157.00M,,215.00M,-135.00M,80.00M,,3.00M,,,-441.00M,,,,,
2007-06,32.00M,,,,,,,-146.00M,228.00M,228.00M,3.00M,,,254.00M,68.00M,121.00M,-18.00M,-172.00M,,,-105.00M,-106.00M,265.00M,,-189.00M,39.00M,-150.00M,-39.00M,10.00M,5.00M,-174.00M,,,,-921.00M,10.00M,-22.00M,-12.00M,,,,,-131.00M,,3.00M,-1.061B,,1.185B,-970.00M,215.00M,,10.00M,,,-22.00M,,,,,
2007-03,755.00M,,,,,,,-716.00M,289.00M,289.00M,-109.00M,,,5.00M,-270.00M,-163.00M,17.00M,-92.00M,,,,-508.00M,-284.00M,,-170.00M,10.00M,-160.00M,,10.00M,1.345B,1.195B,,,,-175.00M,306.00M,,306.00M,,,,,-143.00M,,43.00M,31.00M,,243.00M,942.00M,1.185B,,306.00M,,,,,,,,
2006-12,507.00M,,,,,,,-66.00M,341.00M,341.00M,-32.00M,,,34.00M,241.00M,212.00M,35.00M,76.00M,,,-40.00M,524.00M,1.308B,,-286.00M,12.00M,-274.00M,33.00M,-3.00M,4.00M,-240.00M,,,,-496.00M,31.00M,-340.00M,-309.00M,,,,,-142.00M,,-5.00M,-952.00M,,127.00M,116.00M,243.00M,,31.00M,,,-340.00M,,,,,
2006-09,224.00M,,,,,,,-55.00M,314.00M,314.00M,-43.00M,,,60.00M,98.00M,-193.00M,-12.00M,-213.00M,,,-43.00M,-363.00M,137.00M,,-155.00M,7.00M,-148.00M,135.00M,-12.00M,-17.00M,-42.00M,,,,361.00M,0.00,-332.00M,-332.00M,,,,,-150.00M,,4.00M,-117.00M,,149.00M,-22.00M,127.00M,,0.00,,,-332.00M,,,,,
2006-06,298.00M,,,,,,,-838.00M,313.00M,313.00M,-83.00M,,,831.00M,-109.00M,-60.00M,7.00M,156.00M,,,-48.00M,-54.00M,467.00M,,-219.00M,10.00M,-209.00M,0.00,13.00M,-21.00M,-217.00M,,,,-166.00M,40.00M,,40.00M,,,,,-123.00M,,4.00M,-245.00M,,144.00M,5.00M,149.00M,,40.00M,,,,,,,,
2006-03,-576.00M,,,,,,,798.00M,315.00M,315.00M,-16.00M,,,-2.00M,-201.00M,-274.00M,-31.00M,-259.00M,,,-57.00M,-822.00M,-303.00M,,-214.00M,2.00M,-212.00M,-213.00M,,25.00M,-400.00M,,,,-283.00M,131.00M,,131.00M,,,,,-123.00M,,18.00M,-257.00M,,1.104B,-960.00M,144.00M,,131.00M,,,,,,,,
2005-12,-211.00M,,,,,,,-67.00M,338.00M,338.00M,-239.00M,,,691.00M,221.00M,146.00M,51.00M,22.00M,,,-64.00M,376.00M,888.00M,,-320.00M,19.00M,-301.00M,1.175B,14.00M,,-219.00M,,,,-328.00M,10.00M,,-1.00M,,,,,-124.00M,,-1.00M,-454.00M,,889.00M,215.00M,1.104B,,10.00M,,,,,,,,
2005-09,285.00M,,,,,,,-264.00M,333.00M,333.00M,24.00M,,,175.00M,59.00M,-67.00M,39.00M,-99.00M,,,-60.00M,-128.00M,425.00M,,-253.00M,4.00M,-249.00M,-8.00M,144.00M,8.00M,-105.00M,,,,-1.035B,14.00M,,14.00M,,,,,-122.00M,,-3.00M,-1.146B,,1.715B,-826.00M,889.00M,,14.00M,,,,,,,,
2005-06,420.00M,,,,,,,-67.00M,332.00M,332.00M,-195.00M,,,43.00M,-171.00M,18.00M,5.00M,332.00M,,,-51.00M,133.00M,666.00M,,-185.00M,12.00M,-173.00M,-22.00M,,-15.00M,897.00M,,,,-193.00M,65.00M,,65.00M,,,,,-123.00M,,-4.00M,-255.00M,,407.00M,1.308B,1.715B,,65.00M,,,,,,,,
2005-03,239.00M,,,,,,,38.00M,334.00M,334.00M,-14.00M,,,-43.00M,-290.00M,-290.00M,-41.00M,-160.00M,,,,-781.00M,-227.00M,,-135.00M,6.00M,-129.00M,,,7.00M,-122.00M,,,,-412.00M,71.00M,,71.00M,,,,,-97.00M,,-3.00M,-441.00M,,1.197B,-790.00M,407.00M,,71.00M,,,,,,,,
2004-12,199.00M,,,,,,,84.00M,334.00M,334.00M,1.00M,,,-137.00M,156.00M,112.00M,7.00M,44.00M,,,137.00M,456.00M,937.00M,,-305.00M,46.00M,-259.00M,40.00M,-399.00M,407.00M,-211.00M,,,,-728.00M,39.00M,,39.00M,,,,,-96.00M,,21.00M,-764.00M,,1.235B,-38.00M,1.197B,,39.00M,,,,,,,,
2004-09,594.00M,,,,,,,-250.00M,329.00M,329.00M,50.00M,,,,55.00M,-113.00M,-39.00M,54.00M,,150.00M,-137.00M,-30.00M,693.00M,,-120.00M,405.00M,285.00M,-24.00M,37.00M,-394.00M,-96.00M,,,,-298.00M,10.00M,,10.00M,,,,,-97.00M,,286.00M,-99.00M,,737.00M,498.00M,1.235B,,10.00M,,,,,,,,
2004-06,369.00M,,,,,,,55.00M,332.00M,332.00M,77.00M,,,96.00M,-152.00M,-37.00M,-14.00M,201.00M,,-150.00M,,-152.00M,777.00M,,-84.00M,29.00M,-55.00M,-12.00M,-3.00M,21.00M,-49.00M,,,,-961.00M,982.00M,,982.00M,,,,,-90.00M,,-1.00M,-70.00M,,79.00M,658.00M,737.00M,,982.00M,,,,,,,,
2004-03,121.00M,,,,,,,46.00M,327.00M,327.00M,8.00M,,,-96.00M,-209.00M,-189.00M,-16.00M,-131.00M,,,,-545.00M,-139.00M,,-83.00M,63.00M,-20.00M,-21.00M,3.00M,-7.00M,-45.00M,,,,52.00M,103.00M,,103.00M,,,,,-89.00M,,-5.00M,61.00M,,202.00M,-123.00M,79.00M,,103.00M,,,,,,,,
2003-12,92.00M,,,,,,,-246.00M,356.00M,356.00M,-39.00M,,,,184.00M,159.00M,27.00M,231.00M,,132.00M,131.00M,865.00M,890.00M,,-279.00M,469.00M,190.00M,101.00M,,-185.00M,-330.00M,,,,-728.00M,21.00M,,21.00M,,,,,-89.00M,,356.00M,-440.00M,,82.00M,120.00M,202.00M,,21.00M,,,,,,,,
2003-09,82.00M,,,,,,,84.00M,323.00M,323.00M,50.00M,,,,7.00M,151.00M,-24.00M,-98.00M,,158.00M,-131.00M,63.00M,602.00M,,-149.00M,-141.00M,-290.00M,-19.00M,,148.00M,-161.00M,,,,-362.00M,35.00M,,35.00M,,,,,-89.00M,,-1.00M,-417.00M,,58.00M,24.00M,82.00M,,35.00M,,,,,,,,
2003-06,157.00M,,,,,,,25.00M,315.00M,315.00M,12.00M,,,,-53.00M,94.00M,35.00M,88.00M,,-250.00M,,-86.00M,423.00M,,-177.00M,185.00M,8.00M,-27.00M,,2.00M,-17.00M,,,,-335.00M,2.00M,,2.00M,,,,,-88.00M,,6.00M,-415.00M,,67.00M,-9.00M,58.00M,,2.00M,,,,,,,,
2003-03,-54.00M,,,,,,,149.00M,324.00M,324.00M,-5.00M,,,,-147.00M,-205.00M,-31.00M,-100.00M,,-40.00M,,-523.00M,-109.00M,,-132.00M,43.00M,-89.00M,-63.00M,,-51.00M,-203.00M,,,,349.00M,2.00M,,2.00M,,,,,-89.00M,,-5.00M,257.00M,,122.00M,-55.00M,67.00M,,2.00M,,,,,,,,
2002-12,126.00M,,,,,,,-148.00M,342.00M,342.00M,24.00M,,,117.00M,189.00M,88.00M,75.00M,-23.00M,22.00M,,12.00M,363.00M,824.00M,,-288.00M,206.00M,-82.00M,0.00,-75.00M,-53.00M,-210.00M,,,,-624.00M,0.00,,0.00,,,,,-88.00M,,90.00M,-622.00M,,130.00M,-8.00M,122.00M,,0.00,,,,,,,,
2002-09,13.00M,,,,,,,-11.00M,305.00M,305.00M,0.00,,,84.00M,49.00M,106.00M,59.00M,-265.00M,0.00,2.00M,-12.00M,-61.00M,330.00M,,-265.00M,5.00M,-260.00M,33.00M,-47.00M,62.00M,-212.00M,,,,-9.00M,1.00M,,1.00M,,,,,-88.00M,,-41.00M,-137.00M,,149.00M,-19.00M,130.00M,,1.00M,,,,,,,,
2002-06,72.00M,,,,,,,0.00,312.00M,312.00M,25.00M,,,-77.00M,-54.00M,20.00M,-49.00M,163.00M,4.00M,-2.00M,-10.00M,72.00M,404.00M,,-308.00M,20.00M,-288.00M,-27.00M,47.00M,-21.00M,-289.00M,,,,-71.00M,20.00M,,20.00M,,,,,-89.00M,,36.00M,-104.00M,,138.00M,11.00M,149.00M,,20.00M,,,,,,,,
2002-03,30.00M,,,,,,,22.00M,266.00M,266.00M,8.00M,,,-7.00M,-153.00M,-197.00M,-67.00M,10.00M,3.00M,,10.00M,-394.00M,-75.00M,,-158.00M,18.00M,-140.00M,-6.125B,,1.00M,-6.264B,,,,6.318B,46.00M,,46.00M,,,,,-88.00M,,-3.00M,6.273B,,204.00M,-66.00M,138.00M,,46.00M,,,,,,,,
2001-12,-15.00M,,,,,,,80.00M,224.00M,224.00M,-4.00M,,,,172.00M,130.00M,-8.00M,-216.00M,-1.00M,-78.00M,95.00M,94.00M,379.00M,,-83.00M,33.00M,-50.00M,-131.00M,,0.00,-181.00M,,,,38.00M,1.00M,,1.00M,,,,,-88.00M,,-58.00M,-107.00M,,113.00M,91.00M,204.00M,,1.00M,,,,,,,,
2001-09,91.00M,,,,,,,-12.00M,227.00M,227.00M,-10.00M,,,92.00M,40.00M,33.00M,45.00M,60.00M,-5.00M,-1.00M,-95.00M,77.00M,465.00M,,-171.00M,20.00M,-151.00M,-261.00M,-140.00M,111.00M,-441.00M,,,,-11.00M,5.00M,,5.00M,,,,,50.00M,,-26.00M,18.00M,,71.00M,42.00M,113.00M,,5.00M,,,,,,,,
2001-06,171.00M,,,,,,,-62.00M,217.00M,217.00M,44.00M,,,-73.00M,19.00M,80.00M,-25.00M,54.00M,7.00M,1.00M,,136.00M,433.00M,,-217.00M,9.00M,-208.00M,33.00M,138.00M,-208.00M,-245.00M,,,,6.00M,15.00M,,15.00M,,,,,-226.00M,,23.00M,-182.00M,,65.00M,6.00M,71.00M,,15.00M,,,,,,,,
2001-03,107.00M,,,,,,,-64.00M,208.00M,208.00M,28.00M,,,-19.00M,3.00M,-211.00M,-7.00M,-205.00M,1.00M,,,-419.00M,-159.00M,,-189.00M,12.00M,-177.00M,-33.00M,2.00M,193.00M,-15.00M,,,,204.00M,9.00M,,9.00M,,,,,-87.00M,,-10.00M,116.00M,,123.00M,-58.00M,65.00M,,9.00M,,,,,,,,
2000-12,194.00M,,,,,,,-43.00M,262.00M,262.00M,82.00M,,,-88.00M,182.00M,8.00M,,231.00M,43.00M,1.00M,,465.00M,872.00M,,-272.00M,61.00M,-211.00M,-132.00M,,-9.00M,-352.00M,,,,-238.00M,4.00M,0.00,4.00M,,,,,-89.00M,,-161.00M,-484.00M,,87.00M,36.00M,123.00M,,4.00M,,,0.00,,,,,
2000-09,199.00M,,,,,,,-56.00M,195.00M,195.00M,46.00M,,,6.00M,36.00M,46.00M,,-266.00M,5.00M,17.00M,,-162.00M,228.00M,,-245.00M,19.00M,-226.00M,1.00M,,37.00M,-188.00M,,,,141.00M,0.00,-178.00M,-178.00M,,,,,-88.00M,,57.00M,-68.00M,,115.00M,-28.00M,87.00M,,0.00,,,-178.00M,,,,,
2000-06,203.00M,,,,,,,44.00M,195.00M,195.00M,30.00M,,,29.00M,37.00M,-8.00M,-26.00M,-53.00M,-104.00M,-23.00M,,-177.00M,324.00M,,-187.00M,4.00M,-183.00M,-41.00M,-1.00M,11.00M,-214.00M,,,,283.00M,1.00M,-419.00M,-418.00M,,,,,-95.00M,,139.00M,-91.00M,,96.00M,19.00M,115.00M,,1.00M,,,-419.00M,,,,,
2000-03,244.00M,,,,,,,-47.00M,207.00M,207.00M,35.00M,,,-29.00M,-66.00M,-191.00M,26.00M,-176.00M,2.00M,,,-405.00M,5.00M,,-144.00M,,-144.00M,-602.00M,1.00M,39.00M,-706.00M,,,,-494.00M,8.00M,-211.00M,-203.00M,,,,,-91.00M,,-58.00M,-846.00M,,1.643B,-1.547B,96.00M,,8.00M,,,-211.00M,,,,,
1999-12,173.00M,,,,,,,-30.00M,176.00M,176.00M,44.00M,,,10.00M,88.00M,14.00M,,69.00M,38.00M,3.00M,,212.00M,585.00M,,-230.00M,26.00M,-204.00M,,247.00M,-6.00M,37.00M,,,,966.00M,6.00M,,6.00M,,,,,-81.00M,,2.00M,893.00M,,128.00M,1.515B,1.643B,,6.00M,,,,,,,,
1999-09,238.00M,,,,,,,-54.00M,154.00M,154.00M,65.00M,,,-8.00M,-10.00M,19.00M,,32.00M,15.00M,9.00M,,65.00M,460.00M,,-109.00M,-10.00M,-119.00M,,,18.00M,-101.00M,,,,-210.00M,1.00M,,1.00M,,,,,-80.00M,,4.00M,-285.00M,,54.00M,74.00M,128.00M,,1.00M,,,,,,,,
1999-06,163.00M,,,,,,,-34.00M,154.00M,154.00M,60.00M,,,17.00M,-87.00M,42.00M,,120.00M,6.00M,9.00M,,90.00M,450.00M,,-121.00M,95.00M,-26.00M,,-6.00M,-19.00M,-51.00M,,,,-357.00M,67.00M,,67.00M,,,,,-81.00M,,-11.00M,-382.00M,,0.00,17.00M,54.00M,,67.00M,,,,,,,,
1999-03,42.00M,,,,,,,70.00M,156.00M,156.00M,16.00M,,,-16.00M,-104.00M,-143.00M,,-21.00M,6.00M,,,-262.00M,6.00M,,-106.00M,4.00M,-102.00M,,6.00M,5.00M,-91.00M,,,,151.00M,23.00M,,23.00M,,,,,-79.00M,,-8.00M,87.00M,,35.00M,2.00M,0.00,,23.00M,,,,,,,,
1998-12,30.00M,,,,,,,33.00M,177.00M,177.00M,40.00M,,,-42.00M,59.00M,68.00M,,74.00M,2.00M,72.00M,,275.00M,513.00M,,-713.00M,33.00M,-680.00M,,46.00M,-100.00M,-734.00M,,,,15.00M,1.00M,0.00,1.00M,,,,,-80.00M,,-12.00M,-76.00M,,0.00,-297.00M,35.00M,,1.00M,,,0.00,,,,,
1998-09,110.00M,,,,,,,-23.00M,146.00M,146.00M,57.00M,,,49.00M,14.00M,-3.00M,,-25.00M,77.00M,-72.00M,,-9.00M,330.00M,,-141.00M,5.00M,-136.00M,,-14.00M,29.00M,-121.00M,,,,156.00M,0.00,0.00,0.00,,,,,-79.00M,,5.00M,82.00M,,0.00,291.00M,0.00,,0.00,,,0.00,,,,,
1998-06,69.00M,,,,,,,-10.00M,144.00M,144.00M,35.00M,,,-37.00M,-24.00M,75.00M,,7.00M,20.00M,,,78.00M,279.00M,,-165.00M,9.00M,-156.00M,,16.00M,-6.00M,-146.00M,,,,-61.00M,13.00M,0.00,13.00M,,,,,-80.00M,,4.00M,-124.00M,,0.00,9.00M,0.00,,13.00M,,,0.00,,,,,
1998-03,85.00M,,,,,,,-10.00M,149.00M,149.00M,28.00M,,,-12.00M,-48.00M,-84.00M,,-53.00M,-55.00M,,,-240.00M,0.00,,-90.00M,19.00M,-71.00M,,18.00M,237.00M,184.00M,,,,-146.00M,5.00M,-42.00M,-37.00M,,,,,-80.00M,,-11.00M,-274.00M,,122.00M,-90.00M,0.00,,5.00M,,,-42.00M,,,,,
1997-12,98.00M,,,,,,,82.00M,158.00M,158.00M,5.00M,,,-112.00M,130.00M,77.00M,,131.00M,-74.00M,,,264.00M,495.00M,,-218.00M,320.00M,102.00M,,26.00M,-297.00M,-169.00M,,,,-188.00M,0.00,-6.00M,-6.00M,,,,,-79.00M,,26.00M,-247.00M,,0.00,79.00M,122.00M,,0.00,,,-6.00M,,,,,
1997-09,114.00M,,,,,,,-14.00M,146.00M,146.00M,28.00M,,,39.00M,-39.00M,-19.00M,,19.00M,74.00M,,,35.00M,348.00M,,-147.00M,-186.00M,-333.00M,,14.00M,75.00M,-244.00M,,,,-48.00M,30.00M,0.00,30.00M,,,,,-80.00M,,-2.00M,-100.00M,,0.00,4.00M,0.00,,30.00M,,,0.00,,,,,
1997-06,109.00M,,,,,,,18.00M,159.00M,159.00M,35.00M,,,-27.00M,-52.00M,76.00M,,-35.00M,-74.00M,60.00M,,-25.00M,269.00M,,-175.00M,216.00M,41.00M,,10.00M,-19.00M,32.00M,,,,-277.00M,22.00M,64.00M,86.00M,,,,,-158.00M,,0.00,-349.00M,,0.00,-48.00M,0.00,,22.00M,,,64.00M,,,,,
1997-03,21.00M,,,,,,,19.00M,165.00M,165.00M,7.00M,,,42.00M,-48.00M,-147.00M,,-73.00M,,-60.00M,,-328.00M,-74.00M,,-129.00M,3.00M,-126.00M,,5.00M,36.00M,-85.00M,,,,247.00M,9.00M,-80.00M,-71.00M,,,,,,,-1.00M,175.00M,,71.00M,16.00M,0.00,,9.00M,,,-80.00M,,,,,
1996-12,98.10M,,,,,,,17.00M,168.00M,168.00M,56.00M,,,-17.10M,180.00M,-39.00M,,,,206.00M,,265.00M,587.00M,,-297.00M,10.00M,-287.00M,,0.00,27.00M,-260.00M,,,,-260.00M,1.00M,0.00,1.00M,,,,,-79.00M,,,-339.00M,,0.00,-12.00M,0.00,,1.00M,,,0.00,,,,,
1996-09,119.90M,,,,,,,3.00M,152.00M,152.00M,28.00M,,,110.10M,-54.00M,22.00M,,,,57.00M,,25.00M,438.00M,,-195.00M,52.00M,-143.00M,,4.00M,-11.00M,-150.00M,,,,-201.00M,1.00M,-11.00M,-10.00M,,,,,-80.00M,,,-291.00M,,0.00,-3.00M,0.00,,1.00M,,,-11.00M,,,,,
1996-06,103.00M,,,,,,,-7.00M,150.00M,150.00M,47.00M,,,18.00M,-8.00M,207.00M,,,,-53.00M,,146.00M,457.00M,,-414.00M,10.00M,-404.00M,,21.00M,-37.00M,-420.00M,,,,39.00M,10.00M,0.00,10.00M,,,,,-79.00M,,,-30.00M,,0.00,7.00M,0.00,,10.00M,,,0.00,,,,,
1996-03,142.00M,,,,,,,11.00M,147.00M,147.00M,50.00M,,,-149.00M,-51.00M,-134.00M,,,,-210.00M,,-395.00M,-194.00M,,-421.00M,2.00M,-419.00M,,81.00M,14.00M,-324.00M,,,,618.00M,8.00M,-34.00M,-26.00M,,,,,-79.00M,,,513.00M,,84.00M,-5.00M,0.00,,8.00M,,,-34.00M,,,,,
1995-12,250.90M,,,,,,,-17.00M,200.00M,200.00M,13.00M,,,175.10M,99.00M,11.00M,,,,-22.00M,,88.00M,710.00M,,-436.00M,4.00M,-432.00M,,9.00M,34.00M,-389.00M,,,,-499.00M,2.00M,188.00M,190.00M,,,,,-154.00M,,-1.00M,-464.00M,,0.00,-143.00M,0.00,,2.00M,,,188.00M,,,,,
1995-09,95.10M,,,,,,,9.00M,135.00M,135.00M,-12.00M,,,214.90M,-24.00M,-75.00M,,,,-47.00M,,-146.00M,296.00M,,-221.00M,3.00M,-218.00M,,184.00M,7.00M,-27.00M,,,,-195.00M,7.00M,-79.00M,-72.00M,,,,,-81.00M,,-2.00M,-350.00M,,0.00,-81.00M,0.00,,7.00M,,,-79.00M,,,,,
1995-06,246.00M,,,,,,,6.00M,148.00M,148.00M,51.00M,,,-103.00M,-98.00M,88.00M,,,,-50.00M,,-60.00M,288.00M,,-233.00M,3.00M,-230.00M,,9.00M,-12.00M,-233.00M,,,,-105.00M,9.00M,-109.00M,-100.00M,,,,,-82.00M,,-1.00M,-288.00M,,0.00,-233.00M,0.00,,9.00M,,,-109.00M,,,,,
1995-03,207.00M,,,,,,,2.00M,138.00M,138.00M,51.00M,,,58.00M,-28.00M,-183.00M,,,,17.00M,,-194.00M,262.00M,,-183.00M,9.00M,-174.00M,,-16.00M,1.00M,-189.00M,,,,266.00M,1.00M,,1.00M,,,,,-62.00M,,,205.00M,,112.00M,278.00M,0.00,,1.00M,,,,,,,,
1994-12,189.20M,,,,,,,7.50M,145.00M,145.00M,48.90M,,,389.00M,-17.10M,21.70M,,,,-137.00M,,-132.40M,647.20M,,-299.90M,8.20M,-291.70M,,-218.30M,-100.80M,-610.80M,,,,74.20M,0.50M,,0.50M,,,,,-62.00M,,-0.90M,11.80M,,0.00,48.20M,0.00,,0.50M,,,,,,,,
1994-09,144.40M,,,,,,,-0.20M,128.70M,128.70M,25.80M,,,-62.20M,17.60M,42.40M,,,,29.70M,,89.70M,326.20M,,-255.50M,7.90M,-247.60M,,15.00M,2.90M,-229.70M,,,,-67.40M,0.60M,,0.60M,,,,,-61.70M,,-2.80M,-131.30M,,0.00,-34.80M,0.00,,0.60M,,,,,,,,
1994-06,128.90M,,,,,,,4.80M,136.80M,136.80M,22.10M,,,-21.50M,-96.00M,85.90M,,,,224.80M,,214.70M,485.80M,,-278.50M,19.70M,-258.80M,,33.90M,-1.60M,-226.50M,,,,-200.50M,0.60M,,0.60M,,,,,-61.60M,,-5.90M,-267.40M,,0.00,-8.10M,0.00,,0.60M,,,,,,,,
1994-03,126.50M,,,,,,,-2.10M,123.50M,123.50M,30.20M,,,21.70M,-29.50M,-130.00M,,,,48.50M,,-111.00M,188.80M,,-268.10M,22.20M,-245.90M,,49.40M,-2.50M,-199.00M,,,,-3.30M,14.30M,,14.30M,,,,,-61.70M,,7.60M,-43.10M,,159.90M,-53.30M,0.00,,14.30M,,,,,,,,
1993-12,101.70M,,,,,,,18.30M,120.70M,120.70M,-21.70M,,,-142.00M,44.40M,-9.70M,,,,144.40M,,356.70M,433.70M,,-297.10M,-163.90M,-461.00M,,211.90M,17.50M,-231.60M,,,,113.90M,2.20M,,2.20M,,,,,-61.50M,,-201.20M,-146.60M,,0.00,55.50M,0.00,,2.20M,,,,,,,,
1993-09,66.70M,,,,,,,-21.00M,120.70M,120.70M,97.40M,,,-45.80M,13.20M,-76.40M,,,,81.30M,,18.10M,236.10M,,-261.90M,27.60M,-234.30M,,66.90M,6.00M,-161.40M,,,,-309.30M,0.80M,,0.80M,,,,,-61.50M,,238.60M,-131.40M,,0.00,-56.70M,0.00,,0.80M,,,,,,,,
1993-06,181.50M,,,,,,,-50.80M,118.10M,118.10M,35.30M,,,-5.70M,-13.50M,19.90M,,,,-360.60M,,-354.20M,-75.80M,,-243.60M,434.60M,191.00M,,39.40M,-5.00M,225.40M,,,,-48.50M,5.10M,,5.10M,,,,,-61.50M,,-125.30M,-230.20M,,0.00,-80.60M,0.00,,5.10M,,,,,,,,
1993-03,177.40M,,,,,,,-74.70M,127.40M,127.40M,20.40M,,,-1.00M,-137.30M,-180.20M,,,,335.30M,,17.80M,267.30M,,-164.90M,211.70M,46.80M,,-425.10M,-43.90M,-422.20M,,,,-171.90M,12.50M,,12.50M,,,,,-61.30M,,93.00M,-127.70M,,524.30M,-282.60M,0.00,,12.50M,,,,,,,,
1992-12,85.30M,,,,,,,-20.60M,151.20M,151.20M,26.90M,,,27.00M,-89.10M,11.20M,,,,17.50M,,-60.40M,209.40M,,-219.70M,51.60M,-168.10M,,-49.70M,-504.10M,-721.90M,,,,-618.40M,7.70M,553.10M,560.80M,,,,,-61.20M,,639.00M,520.20M,,0.00,7.70M,0.00,,7.70M,,,553.10M,,,,,
1992-09,107.20M,,,,,,,-7.40M,125.80M,125.80M,54.70M,,,-234.40M,-11.40M,-98.90M,,,,238.00M,,127.70M,173.60M,,-161.30M,21.80M,-139.50M,,-120.40M,26.70M,-233.20M,,,,495.70M,1.80M,-553.10M,-551.30M,,,,,-61.10M,,227.30M,110.60M,,0.00,51.00M,0.00,,1.80M,,,-553.10M,,,,,
1992-06,92.90M,,,,,,,-2.80M,109.00M,109.00M,25.40M,,,172.80M,-7.00M,6.70M,,,,171.70M,,171.40M,568.70M,,-126.10M,10.90M,-115.20M,,91.50M,-60.10M,-83.80M,,,,-333.40M,17.60M,,17.60M,,,,,-60.90M,,125.60M,-251.10M,,0.00,233.80M,0.00,,17.60M,,,,,,,,
1992-03,86.60M,,,,,,,-6.90M,116.70M,116.70M,18.30M,,,66.30M,-131.40M,-93.50M,,,,26.50M,,-198.40M,82.60M,,-109.10M,12.80M,-96.30M,,-201.90M,-36.00M,-334.20M,,,,500.30M,,,,,,,,-60.80M,,-572.00M,-132.50M,,615.90M,-384.10M,0.00,,,,,,,,,,
1991-12,-273.30M,,,,,,,-19.50M,85.70M,85.70M,-92.80M,,,438.90M,60.10M,-35.50M,,,,398.90M,,423.50M,562.50M,,-99.20M,59.90M,-39.30M,,-15.10M,30.00M,-24.40M,,,,-232.60M,,,,,,,,-60.60M,,6.70M,-287.00M,,0.00,251.10M,0.00,,,,,,,,,,
1991-09,50.40M,,,,,,,-9.20M,145.40M,145.40M,33.50M,,,-5.50M,64.20M,-0.10M,,,,185.00M,,249.10M,463.70M,,-171.50M,18.70M,-152.80M,,-105.60M,-35.60M,-294.00M,,,,104.30M,,,,,,,,-60.50M,,-52.20M,-8.40M,,0.00,161.30M,0.00,,,,,,,,,,
1991-06,69.60M,,,,,,,-18.40M,132.70M,132.70M,13.80M,,,-1.80M,-37.40M,112.00M,,,,-108.00M,,-33.40M,162.50M,,-202.80M,37.30M,-165.50M,,-169.10M,8.00M,-326.60M,,,,283.60M,,,,,,,,-60.40M,,-35.20M,188.00M,,0.00,23.90M,0.00,,,,,,,,,,
1991-03,52.40M,,,,,,,-5.20M,137.50M,137.50M,2.50M,,,-47.90M,-66.80M,-73.20M,,,,65.30M,,-74.70M,64.60M,,-189.90M,24.80M,-165.10M,,-195.80M,-40.20M,-401.10M,,,,310.60M,,,,,,,,-60.30M,,50.50M,300.80M,,215.30M,-35.70M,0.00,,,,,,,,,,
1990-12,58.80M,,,,,,,-0.90M,88.20M,88.20M,13.50M,,,-90.70M,53.00M,-40.10M,,,,75.80M,,88.70M,157.60M,,-249.90M,78.40M,-171.50M,,-186.20M,40.60M,-317.10M,,,,163.00M,,-15.50M,-15.50M,,,,,-60.40M,,89.30M,176.40M,,0.00,16.90M,0.00,,,,,-15.50M,,,,,
1990-09,90.60M,,,,,,,-9.30M,131.60M,131.60M,10.40M,,,-14.10M,76.50M,73.20M,,,,155.10M,,304.80M,514.00M,,-205.80M,8.50M,-197.30M,,-231.20M,-23.90M,-452.40M,,,,233.10M,,-212.40M,-212.40M,,,,,-65.20M,,-50.70M,-95.20M,,0.00,-33.60M,0.00,,,,,-212.40M,,,,,
