,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2015-06,997.83M,997.83M,495.74M,502.09M,276.64M,0.39M,0.797M,0.063M,-0.734M,,276.64M,225.44M,0.063M,0.797M,-0.734M,0.39M,-0.734M,225.10M,84.74M,140.36M,140.36M,140.11M,245.91M,20.01M,225.90M,,0.24,,,0.2396,0.24,,0.24,,,0.2396,0.24,,582.35M,583.66M,0.14,,AOR,Restated
2015-03,953.32M,953.32M,469.27M,484.05M,280.39M,0.108M,0.358M,0.099M,-0.259M,,280.39M,203.66M,0.099M,0.358M,-0.259M,0.108M,-0.259M,203.51M,75.91M,127.61M,127.61M,127.54M,223.41M,19.54M,203.87M,,0.215,,,0.2149,0.215,,0.215,,,0.2149,0.215,,590.48M,591.87M,0.14,,AOR,Restated
2014-12,926.25M,926.25M,458.69M,467.56M,278.78M,0.242M,0.324M,0.122M,-0.202M,,278.78M,188.78M,0.122M,0.324M,-0.202M,0.242M,-0.202M,188.82M,70.43M,118.39M,118.39M,118.24M,207.94M,18.80M,189.14M,,0.20,,,0.1997,0.20,,0.20,,,0.1997,0.20,,592.07M,593.60M,0.125,,AOR,Restated
2014-09,980.81M,980.81M,482.12M,498.69M,286.13M,0.31M,0.271M,0.388M,0.117M,,286.13M,212.56M,0.388M,0.271M,0.117M,0.31M,0.117M,212.99M,79.67M,133.31M,133.31M,133.12M,231.68M,18.42M,213.26M,,0.225,,,0.2247,0.225,,0.225,,,0.2247,0.225,,593.19M,594.76M,0.125,,AOR,Restated
2014-06,949.94M,949.94M,467.27M,482.67M,276.02M,0.196M,0.194M,0.129M,-0.065M,,276.02M,206.65M,0.129M,0.194M,-0.065M,0.196M,-0.065M,206.78M,76.27M,130.51M,130.51M,130.39M,225.02M,18.04M,206.98M,,0.22,,,0.2198,0.22,,0.22,,,0.2198,0.22,,593.38M,595.16M,0.125,,AOR,Restated
2014-03,876.50M,876.50M,428.02M,448.48M,269.84M,0.216M,0.126M,0.12M,-0.006M,,269.84M,178.64M,0.12M,0.126M,-0.006M,0.216M,-0.006M,178.84M,66.91M,111.93M,111.93M,111.80M,196.38M,17.41M,178.97M,,0.19,,,0.1898,0.19,,0.19,,,0.1898,0.19,,593.28M,594.99M,0.125,,AOR,Restated
2013-12,813.76M,813.76M,402.31M,411.45M,254.39M,0.075M,0.052M,0.191M,0.139M,,254.39M,157.06M,0.191M,0.052M,0.139M,0.075M,0.139M,157.27M,58.04M,99.23M,99.23M,99.18M,174.02M,16.69M,157.33M,,0.165,,,0.1649,0.165,,0.165,,,0.1649,0.165,,593.50M,595.26M,0.125,,AOR,Restated
2013-09,858.42M,858.42M,415.03M,443.40M,254.96M,0.112M,0.025M,0.118M,0.093M,,254.96M,188.44M,0.118M,0.025M,0.093M,0.112M,0.093M,188.64M,69.29M,119.35M,119.35M,119.28M,205.04M,16.38M,188.67M,,0.20,,,0.1999,0.20,,0.20,,,0.1999,0.20,,593.69M,595.43M,0.125,,AOR,Restated
2013-06,847.60M,847.60M,404.88M,442.72M,250.75M,0.243M,0.003M,0.168M,0.165M,,250.75M,191.97M,0.168M,0.003M,0.165M,0.243M,0.165M,192.38M,71.37M,121.01M,121.01M,120.86M,208.33M,15.95M,192.38M,,0.205,,,0.2047,0.205,,0.205,,,0.2047,0.205,,593.56M,595.44M,0.10,,AOR,Restated
2013-03,806.33M,806.33M,384.45M,421.88M,247.33M,0.213M,0.034M,0.447M,0.413M,,247.33M,174.55M,0.447M,0.034M,0.413M,0.213M,0.413M,175.17M,66.12M,109.05M,109.05M,108.92M,190.38M,15.18M,175.21M,,0.185,,,0.1848,0.185,,0.185,,,0.1848,0.185,,593.29M,595.30M,0.05,,AOR,Restated
2012-12,757.24M,757.24M,366.41M,390.82M,232.91M,0.137M,0.00,0.107M,0.107M,,232.91M,157.91M,0.107M,0.00,0.107M,0.137M,0.107M,158.15M,59.44M,98.72M,98.72M,98.63M,172.60M,14.45M,158.15M,,0.165,,,0.1649,0.165,,0.165,,,0.1649,0.165,,592.93M,594.71M,0.105,,AOR,Restated
2012-09,802.58M,802.58M,388.20M,414.38M,238.81M,0.158M,0.00,0.117M,0.117M,,238.81M,175.56M,0.117M,0.00,0.117M,0.158M,0.117M,175.84M,66.52M,109.32M,109.32M,109.22M,189.42M,13.59M,175.84M,,0.185,,,0.1848,0.185,,0.185,,,0.1848,0.185,,592.48M,594.36M,0.095,,AOR,Restated
2012-06,804.89M,804.89M,389.74M,415.15M,236.54M,0.282M,0.00,0.144M,0.144M,,236.54M,178.61M,0.144M,0.00,0.144M,0.282M,0.144M,179.04M,66.73M,112.31M,112.31M,112.13M,192.48M,13.45M,179.04M,,0.19,,,0.1897,0.19,,0.19,,,0.1897,0.19,,592.22M,594.26M,0.085,,AOR,Restated
2012-03,768.88M,768.88M,374.70M,394.18M,232.97M,-0.174M,0.00,0.096M,0.096M,,232.97M,161.21M,0.096M,0.00,0.096M,-0.174M,0.096M,161.13M,60.94M,100.19M,100.19M,100.30M,173.69M,12.56M,161.13M,,0.17,,,0.1702,0.17,,0.17,,,0.1702,0.17,,591.08M,593.85M,0.085,,AOR,Restated
2011-12,697.80M,697.80M,340.63M,357.18M,216.55M,-0.011M,,0.154M,0.154M,,216.55M,140.63M,0.154M,,0.154M,-0.011M,0.154M,140.77M,53.30M,87.47M,87.47M,87.48M,152.72M,11.82M,140.90M,,0.145,,,0.1450,0.145,,0.145,,,0.1450,0.145,,590.47M,592.37M,0.07,,AOR,Restated
2011-09,726.74M,726.74M,349.36M,377.38M,222.26M,0.101M,,0.094M,0.094M,,222.26M,155.12M,0.094M,,0.094M,0.101M,0.094M,155.32M,58.52M,96.80M,96.80M,96.74M,166.35M,11.23M,155.12M,,0.165,0.00,,0.1649,0.165,,0.165,0.00,,0.1649,0.165,,590.29M,591.79M,0.065,,AOR,Restated
2011-06,701.73M,701.73M,335.50M,366.23M,215.87M,-0.259M,,0.076M,0.076M,,215.87M,150.36M,0.076M,,0.076M,-0.259M,0.076M,150.18M,56.07M,94.11M,94.11M,94.27M,161.40M,11.03M,150.36M,,0.16,0.00,,0.1603,0.16,,0.16,0.00,,0.1603,0.16,,589.95M,591.83M,0.065,,AOR,Restated
2011-03,640.58M,640.58M,307.20M,333.38M,204.69M,-0.025M,,0.148M,0.148M,,204.69M,128.69M,0.148M,,0.148M,-0.025M,0.148M,128.81M,49.26M,79.55M,79.55M,79.56M,139.32M,10.63M,128.69M,,0.135,0.00,,0.1350,0.135,,0.135,0.00,,0.1350,0.135,,589.72M,590.86M,0.125,,AOR,Restated
2010-12,573.77M,573.77M,275.15M,298.62M,191.78M,0.068M,,0.238M,0.238M,,191.78M,106.84M,0.238M,,0.238M,0.068M,0.238M,107.14M,41.98M,65.16M,65.16M,65.12M,117.11M,10.27M,106.84M,,0.11,,,0.1099,0.11,,0.11,,,0.1099,0.11,,589.73M,589.73M,0.00,,AOR,Restated
2010-09,603.75M,603.75M,291.10M,312.65M,192.14M,0.002M,,0.192M,0.192M,,192.14M,120.51M,0.192M,,0.192M,0.002M,0.192M,120.70M,45.71M,74.99M,74.99M,74.99M,130.55M,10.04M,120.51M,,0.125,0.00,,0.1250,0.125,,0.125,0.00,,0.1250,0.125,,589.72M,589.72M,0.105,,AOR,
2010-06,571.18M,571.18M,273.52M,297.66M,185.78M,-0.039M,,0.289M,0.289M,,185.78M,111.88M,0.289M,,0.289M,-0.039M,0.289M,112.12M,42.96M,69.17M,69.17M,69.19M,122.01M,10.13M,111.88M,,0.115,0.00,,0.1150,0.115,,0.115,0.00,,0.1150,0.115,,589.72M,590.32M,0.00,,AOR,Restated
2010-03,520.77M,520.77M,254.86M,265.91M,175.41M,-0.067M,,0.233M,0.233M,,175.41M,90.50M,0.233M,,0.233M,-0.067M,0.233M,90.67M,34.64M,56.03M,56.03M,56.08M,100.81M,10.30M,90.50M,,0.095,0.00,,0.0951,0.095,,0.095,0.00,,0.0951,0.095,,589.72M,589.72M,0.10,,AOR,Restated
2009-12,476.75M,476.75M,239.04M,237.72M,166.62M,-0.06M,,0.385M,0.385M,,166.62M,71.09M,0.385M,,0.385M,-0.06M,0.385M,71.42M,26.88M,44.54M,44.54M,44.57M,80.98M,9.89M,71.09M,,0.075,0.00,,0.0751,0.075,,0.075,0.00,,0.0751,0.075,,591.36M,591.36M,0.00,,AOR,Restated
2009-09,489.34M,489.34M,244.77M,244.57M,168.12M,-0.038M,,0.592M,0.592M,,168.12M,76.45M,0.592M,,0.592M,-0.038M,0.592M,77.00M,29.41M,47.59M,47.59M,47.61M,86.25M,9.80M,76.45M,,0.08,0.00,,0.0800,0.08,,0.08,0.00,,0.0800,0.08,,594.12M,594.12M,0.0925,,AOR,Restated
2009-06,474.89M,474.89M,232.39M,242.50M,172.14M,-0.424M,,0.464M,0.464M,0.424M,172.57M,69.94M,0.464M,,0.464M,-0.424M,0.464M,70.40M,26.86M,43.54M,43.54M,43.80M,80.02M,10.08M,69.94M,,0.0725,0.00,,0.0729,0.0725,,0.0725,0.00,,0.0729,0.0725,,594.12M,594.12M,0.00,,AOR,Restated
2009-03,489.35M,489.35M,230.70M,258.65M,179.91M,-0.328M,,0.256M,0.256M,,179.91M,78.74M,0.256M,,0.256M,-0.328M,0.256M,78.67M,29.97M,48.69M,48.69M,48.90M,89.06M,10.32M,78.74M,,0.0825,0.00,,0.0828,0.0825,,0.0825,0.00,,0.0828,0.0825,,594.12M,594.12M,0.0875,,AOR,Restated
2008-12,544.96M,544.96M,253.77M,291.19M,191.92M,0.032M,,0.295M,0.295M,,191.92M,99.27M,0.295M,,0.295M,0.032M,0.295M,99.60M,37.06M,62.54M,62.54M,62.52M,109.27M,9.998M,99.27M,,0.105,0.00,,0.1050,0.105,,0.105,0.00,,0.1050,0.105,,594.10M,594.10M,0.00,,AOR,Restated
2008-09,625.04M,625.04M,294.15M,330.88M,213.31M,0.046M,,0.167M,0.167M,,213.31M,117.57M,0.167M,,0.167M,0.046M,0.167M,117.79M,44.88M,72.91M,72.91M,72.88M,127.45M,9.873M,117.57M,,0.1225,0.00,,0.1225,0.1225,,0.1225,0.00,,0.1225,0.1225,,594.29M,594.29M,0.0675,,,Restated
2008-06,604.22M,604.22M,286.83M,317.39M,193.90M,-0.141M,,0.247M,0.247M,,193.90M,123.49M,0.247M,,0.247M,-0.141M,0.247M,123.60M,47.43M,76.17M,76.17M,76.25M,133.28M,9.789M,123.49M,,0.1275,0.00,,0.1276,0.1275,,0.1275,0.00,,0.1276,0.1275,,596.45M,596.45M,0.00,,,Restated
2008-03,566.21M,566.21M,269.58M,296.63M,186.56M,-0.104M,,0.221M,0.221M,,186.56M,110.07M,0.221M,,0.221M,-0.104M,0.221M,110.18M,42.09M,68.09M,68.09M,68.16M,119.61M,9.541M,110.07M,,0.115,0.00,,0.1151,0.115,,0.115,0.00,,0.1151,0.115,,596.48M,596.48M,0.0625,,,Restated
2007-12,519.21M,519.21M,254.64M,264.57M,172.96M,0.014M,,,,-0.014M,172.94M,91.62M,,,,0.014M,,91.96M,35.76M,56.19M,56.19M,56.18M,101.01M,9.39M,91.62M,,0.095,0.00,,0.0950,0.095,,0.095,0.00,,0.0950,0.095,,598.34M,598.34M,0.00,,,
2007-09,533.75M,533.75M,261.73M,272.02M,173.18M,0.002M,,,,-0.002M,173.18M,98.85M,,,,0.002M,,99.31M,37.17M,62.14M,62.14M,62.14M,108.22M,9.375M,98.85M,,0.1025,0.00,,0.1025,0.1025,,0.1025,0.00,,0.1025,0.1025,,601.85M,601.85M,0.0575,,,
2007-06,519.71M,519.71M,258.24M,261.47M,164.26M,0.198M,,,,-0.198M,164.06M,97.41M,,,,0.198M,,97.86M,37.60M,60.26M,60.26M,60.13M,106.80M,9.391M,97.41M,,0.10,0.00,,0.0998,0.10,,0.10,0.00,,0.0998,0.10,,603.96M,603.96M,0.00,,,
2007-03,489.16M,489.16M,239.64M,249.52M,160.85M,-0.115M,,,,0.205M,161.06M,88.46M,,,,-0.115M,,88.77M,34.74M,54.03M,54.03M,54.10M,97.70M,9.243M,88.46M,,0.09,0.00,,0.0901,0.09,,0.0894,0.00,,0.0895,0.0894,,604.72M,604.72M,0.0525,,,
2006-12,448.73M,448.73M,224.78M,223.95M,150.98M,-0.047M,,,,0.047M,151.03M,72.92M,,,,-0.047M,,73.08M,27.51M,45.57M,45.57M,45.60M,83.52M,10.60M,72.92M,,0.075,0.00,,0.0750,0.075,,0.075,0.00,,0.0750,0.075,,604.48M,604.58M,0.00,,,
2006-09,470.09M,470.09M,232.85M,237.24M,150.04M,-0.026M,,,,0.026M,150.06M,87.17M,,,,-0.026M,,87.40M,33.30M,54.10M,54.10M,54.12M,95.07M,7.897M,87.17M,,0.09,0.00,,0.0900,0.09,,0.0896,0.00,,0.0896,0.0896,,603.63M,604.03M,0.05,,,
2006-06,458.82M,458.82M,229.81M,229.00M,146.08M,-0.115M,,,,0.115M,146.20M,82.81M,,,,-0.115M,,83.22M,31.71M,51.51M,51.51M,51.58M,89.85M,7.043M,82.81M,,0.085,0.00,,0.0851,0.085,,0.085,0.00,,0.0851,0.085,,604.22M,605.61M,0.00,,,
2006-03,431.70M,431.70M,214.22M,217.49M,140.51M,-0.035M,,,,0.035M,140.55M,76.94M,,,,-0.035M,,76.94M,29.47M,47.85M,47.85M,47.88M,84.99M,8.052M,76.94M,,0.08,0.00,,0.0800,0.08,,0.0790,0.00,,0.0791,0.0790,,604.22M,605.56M,0.05,,,
2005-12,384.04M,384.04M,190.62M,193.42M,130.47M,-0.134M,,,,0.134M,130.60M,62.82M,,,,-0.134M,,63.17M,24.00M,39.16M,39.16M,39.25M,70.22M,7.396M,62.82M,,0.065,0.00,,0.0651,0.065,,0.065,0.00,,0.0651,0.065,,604.17M,605.31M,0.00,,,
2005-09,402.22M,402.22M,203.10M,199.12M,125.38M,0.139M,,,,-0.139M,125.24M,73.88M,,,,0.139M,,74.15M,28.18M,45.97M,45.97M,45.88M,81.64M,7.758M,73.88M,,0.075,0.00,,0.0749,0.075,,0.075,0.00,,0.0749,0.075,,604.22M,605.17M,0.0388,,,
2005-06,383.26M,383.26M,192.47M,190.79M,118.86M,-0.204M,,,,0.204M,119.06M,71.73M,,,,-0.204M,,72.01M,27.36M,44.65M,44.65M,44.77M,78.99M,7.256M,71.73M,,0.075,0.00,,0.0752,0.075,,0.0737,0.00,,0.0739,0.0737,,604.94M,605.76M,0.00,,,
2005-03,353.81M,353.81M,176.44M,177.37M,117.70M,-0.248M,,,,-0.051M,117.65M,59.73M,,,,-0.248M,,59.73M,22.70M,37.03M,37.03M,37.18M,66.39M,6.663M,59.73M,,0.0612,0.00,,0.0615,0.0612,,0.0609,0.00,,0.0612,0.0609,,607.02M,607.95M,0.0388,,,
2004-12,318.46M,318.46M,157.88M,160.59M,110.06M,-0.088M,,,,0.088M,110.15M,50.44M,,,,-0.088M,,50.72M,17.45M,33.27M,33.27M,33.33M,56.79M,6.356M,50.44M,,0.0538,0.00,,0.0538,0.0538,,0.0538,0.00,,0.0538,0.0538,,607.03M,608.01M,0.00,,,
2004-09,325.68M,325.68M,162.12M,163.56M,107.82M,-0.052M,,,,0.052M,107.87M,55.69M,,,,-0.052M,,56.05M,21.31M,34.74M,34.74M,34.77M,61.79M,6.096M,55.69M,,0.0575,0.00,,0.0576,0.0575,,0.0571,0.00,,0.0572,0.0571,,607.02M,608.07M,0.0312,,,
2004-06,310.14M,310.14M,152.94M,157.21M,101.19M,-0.116M,,,,0.116M,101.31M,55.90M,,,,-0.116M,,56.18M,21.35M,34.83M,34.83M,34.90M,61.61M,5.708M,55.90M,,0.0575,0.00,,0.0576,0.0575,,0.0573,0.00,,0.0574,0.0573,,607.02M,607.85M,0.00,,,
2004-03,284.21M,284.21M,141.23M,142.98M,97.45M,-0.396M,,,,0.396M,97.85M,45.13M,,,,-0.396M,,45.38M,17.23M,28.15M,28.15M,28.39M,50.68M,5.55M,45.13M,,0.0462,0.00,,0.0467,0.0462,,0.0462,0.00,,0.0467,0.0462,,607.02M,607.72M,0.0188,,,
2003-12,251.64M,251.64M,129.15M,122.49M,90.46M,-0.125M,,,,0.125M,90.58M,31.91M,,,,-0.125M,,32.24M,12.35M,19.89M,19.89M,19.97M,37.26M,5.354M,31.91M,,0.0338,0.00,,0.0339,0.0338,,0.0328,,,0.0329,0.0328,,607.03M,607.03M,0.00,,,
2003-09,258.33M,258.33M,131.82M,126.51M,89.08M,-0.038M,,,,0.038M,89.12M,37.39M,,,,-0.038M,,37.39M,14.44M,23.26M,23.26M,23.29M,42.51M,5.127M,37.39M,,0.0388,0.00,,0.0388,0.0388,,0.0388,0.00,,0.0388,0.0388,,607.02M,607.02M,0.0188,,,
2003-06,249.11M,249.11M,125.74M,123.37M,88.11M,-0.023M,,,,0.023M,88.13M,35.24M,,,,-0.023M,,35.54M,13.61M,21.93M,21.93M,21.94M,40.38M,5.139M,35.24M,,0.0362,0.00,,0.0363,0.0362,,0.0362,0.00,,0.0363,0.0362,,607.02M,607.02M,0.00,,,
2003-03,235.84M,235.84M,119.15M,116.70M,85.97M,-0.131M,,,,0.131M,86.10M,30.60M,,,,-0.131M,,30.86M,11.82M,19.04M,19.04M,19.12M,35.49M,4.891M,30.60M,,0.0312,0.00,,0.0314,0.0312,,0.0312,0.00,,0.0314,0.0312,,607.02M,607.02M,0.0075,,,
2002-12,219.29M,219.29M,109.94M,109.34M,88.32M,5.925M,,,,,82.69M,26.65M,,,,5.925M,,27.34M,10.46M,16.89M,16.89M,13.23M,31.10M,4.449M,26.65M,,0.0288,0.00,0.00,0.0227,0.0288,,0.0278,,0.00,0.0218,0.0278,,607.02M,607.02M,0.00,,,
