,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2011-09,1.576B,1.576B,917.36M,658.39M,319.39M,70.85M,,9.826M,85.77M,-85.77M,,390.24M,268.16M,85.77M,-85.77M,9.826M,-85.77M,192.21M,34.83M,157.38M,-0.68M,,156.70M,148.65M,419.56M,141.57M,277.98M,,0.37,0.00,0.3511,0.37,,0.36,0.00,0.3414,0.36,,426.41M,431.59M,0.00,,AOR,Restated
2011-06,1.574B,1.574B,904.45M,669.43M,314.22M,72.49M,,4.974M,84.65M,-84.65M,,386.71M,282.72M,84.65M,-84.65M,4.974M,-84.65M,203.04M,56.05M,146.99M,-0.54M,,146.45M,142.85M,413.02M,125.33M,287.69M,,0.34,0.00,0.3317,0.34,,0.33,0.00,0.3219,0.33,,433.24M,445.39M,0.00,,AOR,Restated
2011-03,1.449B,1.449B,858.01M,590.95M,280.00M,75.31M,,-20.72M,84.41M,-84.41M,,355.30M,235.64M,84.41M,-84.41M,-20.72M,-84.41M,130.52M,25.97M,104.54M,-0.37M,,104.18M,120.77M,334.48M,119.55M,214.93M,,0.24,0.00,0.2780,0.24,,0.23,0.00,0.2670,0.23,,437.15M,448.47M,0.00,,AOR,Restated
2010-12,1.388B,1.434B,855.31M,579.19M,290.19M,82.07M,,-83.32M,91.48M,-91.48M,,372.26M,206.93M,91.48M,-91.48M,-117.50M,-91.48M,-2.044M,-22.84M,20.80M,-0.952M,17.26M,19.85M,74.01M,202.35M,112.92M,89.43M,,-0.03,,0.1154,-0.03,,-0.03,,0.1137,-0.03,,372.40M,376.87M,0.00,,AOR,Restated
2010-09,1.355B,1.355B,775.06M,580.06M,272.28M,71.99M,,-16.73M,87.54M,-87.54M,,344.28M,235.78M,87.54M,-87.54M,-16.73M,-87.54M,131.51M,-12.03M,143.54M,-0.356M,34.76M,143.18M,154.06M,323.99M,104.94M,219.05M,,0.35,0.00,0.3851,0.35,,0.33,0.00,0.3548,0.33,,309.45M,437.92M,0.00,,AOR,Restated
2010-06,1.369B,1.369B,826.69M,541.85M,268.37M,66.79M,,-27.34M,78.40M,-78.40M,,335.16M,206.69M,78.40M,-78.40M,-27.34M,-78.40M,100.94M,14.01M,86.93M,-0.705M,34.76M,86.23M,109.78M,281.81M,102.47M,179.35M,,0.17,0.00,0.2462,0.17,,0.16,0.00,0.2349,0.16,,308.97M,314.41M,0.00,,AOR,Restated
2010-03,1.292B,1.292B,776.08M,516.30M,255.76M,61.30M,,0.335M,74.05M,-74.05M,,317.06M,199.24M,74.05M,-74.05M,0.335M,-74.05M,125.53M,31.26M,94.27M,1.587M,34.76M,95.86M,95.61M,302.04M,102.47M,199.58M,,0.20,0.00,0.1992,0.20,,0.20,0.00,0.1992,0.20,,307.00M,311.95M,0.00,,AOR,Restated
2009-12,1.352B,1.352B,835.82M,515.99M,269.19M,72.59M,,-121.81M,78.29M,-78.29M,,341.78M,174.21M,78.29M,-78.29M,-121.81M,-78.29M,-25.89M,-73.31M,47.42M,-8.519M,34.76M,38.90M,118.08M,156.61M,104.21M,52.40M,,0.02,0.00,0.2789,0.02,,0.01,0.00,0.2659,0.01,,305.80M,309.39M,0.00,,AOR,Restated
2009-09,1.264B,1.264B,759.09M,504.98M,259.61M,69.81M,,-114.04M,77.03M,-77.03M,,329.42M,175.56M,77.03M,-77.03M,-114.04M,-77.03M,-15.51M,-11.09M,-4.421M,-0.841M,34.76M,-5.262M,68.86M,165.11M,103.59M,61.52M,,-0.13,0.00,0.1128,-0.13,,-0.13,0.00,0.1128,-0.13,,305.28M,305.28M,0.00,,AOR,Restated
2009-06,1.267B,1.267B,739.21M,527.77M,279.67M,74.02M,,25.94M,78.17M,-78.17M,,353.69M,174.08M,78.17M,-78.17M,25.94M,-78.17M,121.85M,26.18M,95.67M,-2.801M,34.76M,92.87M,72.50M,298.74M,98.72M,200.02M,,0.19,0.00,0.1232,0.19,,0.19,0.00,0.1235,0.19,,304.99M,306.26M,0.00,,AOR,Restated
2009-03,1.210B,1.210B,684.18M,525.73M,241.67M,58.84M,,6.306M,85.00M,-85.00M,,300.51M,225.22M,85.00M,-85.00M,6.306M,-85.00M,146.53M,37.45M,109.07M,-3.016M,34.76M,106.06M,101.36M,326.17M,94.64M,231.53M,,0.23,0.00,0.2146,0.23,,0.23,0.00,0.2198,0.23,,304.58M,458.05M,0.00,,AOR,Restated
2008-12,1.203B,1.203B,808.50M,394.65M,265.53M,77.90M,,-25.88M,74.64M,-74.64M,,343.43M,51.22M,74.64M,-74.64M,-25.88M,-74.64M,-49.30M,-42.64M,-6.656M,1.765M,34.80M,-4.891M,11.93M,122.83M,97.49M,25.34M,,-0.13,0.00,-0.0748,-0.13,,-0.13,0.00,-0.0748,-0.13,,304.52M,304.52M,0.00,,AOR,
2008-09,1.657B,1.657B,745.71M,911.14M,275.58M,74.72M,,5.766M,93.54M,-93.54M,,350.30M,560.83M,93.54M,-93.54M,5.766M,-93.54M,473.06M,256.09M,216.97M,0.151M,34.76M,217.12M,213.37M,674.20M,107.60M,566.60M,,0.60,0.00,0.5877,0.60,,0.47,0.00,0.4618,0.47,,304.45M,458.35M,0.00,,,Restated
2008-06,1.203B,1.203B,788.91M,414.21M,259.46M,80.75M,,7.855M,92.39M,-92.39M,,340.21M,74.00M,92.39M,-92.39M,7.855M,-92.39M,-10.53M,-28.90M,18.37M,0.072M,34.76M,18.45M,13.34M,191.53M,109.68M,81.86M,,-0.05,0.00,-0.0668,-0.05,,-0.05,0.00,-0.0668,-0.05,,304.28M,304.28M,0.00,,,Restated
2008-03,1.074B,1.074B,724.24M,350.22M,252.91M,83.84M,,-378.04M,96.48M,-96.48M,,336.76M,13.46M,96.48M,-96.48M,-378.04M,-96.48M,-461.05M,-47.12M,-413.93M,2.042M,34.72M,-411.89M,-72.49M,-254.06M,110.51M,-364.58M,,-1.47,0.00,-0.3542,-1.47,,-1.47,0.00,-0.3542,-1.47,,304.18M,304.18M,0.00,,,Restated
2007-09,477.09M,477.09M,255.45M,221.64M,97.02M,33.58M,,167.68M,,,-0.848M,129.74M,91.90M,,,167.68M,,235.62M,88.50M,149.83M,2.704M,,149.83M,45.13M,119.24M,27.34M,91.90M,,0.60,0.00,0.1789,0.60,,0.60,0.00,0.1820,0.60,,248.66M,250.50M,0.00,,,
2007-06,546.32M,546.32M,249.61M,296.71M,76.91M,31.72M,,-36.36M,,,,108.63M,188.07M,,,-36.36M,,128.80M,49.21M,79.73M,0.137M,,79.73M,102.19M,214.94M,26.87M,188.07M,,0.32,0.00,0.4104,0.32,,0.32,0.00,0.4093,0.32,,248.48M,251.60M,0.06,,,
2007-03,101.14M,101.14M,10.67M,90.47M,-21.15M,1.547M,,-45.38M,,,-45.31M,-64.90M,155.38M,,,-45.38M,,79.42M,17.56M,59.02M,-2.841M,,59.02M,94.37M,155.38M,-17.20M,155.38M,,0.35,0.00,0.35,0.35,,0.34,0.00,0.34,0.34,,,,0.06,,,
2006-12,477.09M,477.09M,255.45M,221.64M,97.02M,33.58M,,167.68M,,,-0.848M,129.74M,91.90M,,,167.68M,,235.62M,88.50M,149.83M,2.704M,,149.83M,45.13M,146.72M,54.83M,91.90M,,0.60,0.00,0.1789,0.60,,0.60,0.00,0.1820,0.60,,248.66M,250.50M,0.06,,,
2006-09,366.66M,366.66M,170.57M,196.09M,50.35M,22.70M,,9.278M,,,-11.50M,61.54M,134.55M,,,9.278M,,121.88M,44.34M,77.54M,,,77.54M,71.64M,146.65M,12.10M,134.55M,,0.37,0.00,0.3420,0.37,,0.36,0.00,0.3326,0.36,,211.00M,215.08M,0.06,,,
2006-06,356.14M,356.14M,167.94M,188.20M,49.83M,21.22M,,9.584M,,,,71.05M,117.15M,,,9.584M,,116.37M,40.79M,75.59M,,,75.59M,69.36M,128.94M,11.79M,117.15M,,0.36,0.00,0.3304,0.36,,0.35,0.00,0.3210,0.35,,209.96M,214.79M,0.06,,,
2006-03,324.55M,324.55M,163.79M,160.76M,49.04M,19.90M,,4.072M,,,0.01M,68.95M,91.80M,,,4.072M,,84.16M,26.51M,57.65M,,,57.65M,54.86M,103.49M,11.69M,91.80M,,0.26,0.00,0.2467,0.26,,0.26,0.00,0.2471,0.26,,209.72M,215.61M,0.06,,,
2005-12,311.25M,311.25M,155.45M,155.80M,48.13M,29.28M,,4.172M,,,0.345M,77.76M,78.04M,,,4.172M,,71.93M,23.73M,48.21M,,,48.21M,45.41M,89.24M,11.21M,78.04M,,0.23,0.00,0.2169,0.23,,0.22,0.00,0.2072,0.22,,213.35M,218.70M,0.06,,,
2005-09,297.99M,297.99M,154.76M,143.23M,57.00M,28.25M,,4.347M,,,,85.25M,57.98M,,,4.347M,,53.39M,17.62M,35.77M,,,35.77M,32.86M,70.41M,12.42M,57.98M,,0.16,0.00,0.1471,0.16,,0.16,0.00,0.1473,0.16,,225.04M,229.26M,0.06,,,
2005-06,323.38M,323.38M,155.54M,167.83M,71.09M,25.18M,,-6.444M,,,12.00M,108.27M,59.56M,,,-6.444M,,65.12M,22.21M,42.92M,,,42.92M,47.16M,71.07M,11.50M,59.56M,,0.16,0.00,0.1758,0.16,,0.16,0.00,0.1755,0.16,,269.44M,273.26M,0.06,,,
2005-03,316.44M,316.44M,163.25M,153.19M,78.47M,21.55M,,3.786M,,,-0.005M,100.02M,53.17M,,,3.786M,,56.95M,18.82M,38.14M,,,38.14M,35.60M,64.84M,11.67M,53.17M,,0.14,0.00,0.1306,0.14,,0.14,0.00,0.1307,0.14,,269.28M,273.01M,0.03,,,
2004-12,290.97M,290.97M,155.62M,135.35M,63.20M,23.17M,,3.699M,,,,86.36M,48.98M,,,3.699M,,52.68M,17.91M,34.77M,,,34.77M,32.33M,60.36M,11.38M,48.98M,,0.13,0.00,0.1209,0.13,,0.13,0.00,0.1211,0.13,,269.16M,273.14M,0.03,,,
2004-09,306.96M,306.96M,151.70M,155.25M,59.69M,22.04M,,1.91M,,,,81.73M,73.52M,,,1.91M,,75.43M,26.78M,48.65M,,,48.65M,47.42M,84.61M,11.09M,73.52M,,0.18,0.00,0.1754,0.18,,0.18,0.00,0.1755,0.18,,268.94M,272.93M,0.03,,,
2004-06,339.01M,339.01M,159.26M,179.75M,57.75M,21.50M,,26.67M,,,-25.98M,53.26M,126.50M,,,26.67M,,127.18M,45.15M,82.03M,,,82.03M,64.83M,137.46M,10.96M,126.50M,,0.31,0.00,0.2459,0.31,,0.30,0.00,0.2375,0.30,,268.55M,275.41M,0.03,,,
2004-03,333.36M,333.36M,155.22M,178.15M,53.46M,26.88M,,13.49M,,,-10.41M,69.93M,108.22M,,,13.49M,,111.30M,36.45M,74.85M,,,74.85M,65.78M,119.83M,11.60M,108.22M,,0.27,0.00,0.2362,0.27,,0.27,0.00,0.2371,0.27,,268.30M,275.84M,0.03,,,
2003-12,349.79M,349.79M,150.60M,199.18M,51.12M,25.25M,,6.87M,,,-2.676M,73.70M,125.49M,,,6.87M,,129.68M,45.06M,84.62M,,,84.62M,80.14M,137.16M,11.67M,125.49M,,0.32,0.00,0.3033,0.32,,0.31,0.00,0.2938,0.31,,268.56M,276.88M,0.03,,,
2003-09,360.06M,360.06M,152.35M,207.71M,49.59M,23.95M,,7.428M,,,,73.53M,134.18M,,,7.428M,,141.60M,50.33M,91.28M,,,91.28M,86.49M,144.90M,10.72M,134.18M,,0.34,0.00,0.3222,0.34,,0.33,0.00,0.3127,0.33,,268.64M,276.42M,0.0222,,,
2003-06,331.41M,331.41M,153.98M,177.43M,47.44M,24.74M,,24.77M,,,-21.67M,50.51M,126.92M,,,24.77M,,130.02M,46.16M,83.86M,,,83.86M,67.88M,137.24M,10.33M,126.92M,,0.3133,0.00,0.2542,0.3133,,0.3067,0.00,0.2488,0.3067,,270.22M,276.13M,0.0222,,,
2003-03,353.69M,353.69M,166.16M,187.53M,51.45M,26.80M,,7.56M,,,,75.88M,111.65M,,,7.56M,,116.84M,43.00M,73.84M,,,73.84M,69.07M,122.10M,10.45M,111.65M,,0.2733,0.00,0.2558,0.2733,,0.26,0.00,0.2428,0.26,,273.17M,278.53M,0.0222,,,
2002-12,320.49M,320.49M,150.92M,169.58M,43.94M,22.94M,,3.734M,,,,66.88M,102.69M,,,3.734M,,106.43M,38.00M,68.43M,,,68.43M,66.03M,113.18M,10.48M,102.69M,,0.2467,0.00,0.2380,0.2467,,0.2467,0.00,0.2381,0.2467,,276.52M,279.89M,0.0222,,,
2002-09,319.54M,319.54M,152.81M,166.73M,41.57M,20.17M,,1.613M,,,,61.74M,105.00M,,,1.613M,,106.61M,38.38M,68.23M,,,68.23M,67.20M,114.46M,9.468M,105.00M,,0.24,0.00,0.2363,0.24,,0.24,0.00,0.2364,0.24,,282.06M,285.25M,0.0178,,,
