,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2015-06,3.794B,3.827B,2.286B,1.541B,42.30M,239.40M,219.20M,3.10M,-216.10M,,737.10M,804.10M,3.10M,219.20M,-216.10M,42.30M,-216.10M,630.30M,224.30M,431.40M,-0.10M,,-1.30M,,430.00M,402.85M,1.374B,524.90M,849.50M,0.88,0.0,,,0.8244,0.88,0.88,0.0,,,0.8244,0.88,490.21M,490.48M,0.53
2015-03,4.553B,4.580B,2.736B,1.844B,38.10M,245.70M,218.70M,1.40M,-217.30M,,741.10M,1.103B,1.40M,218.70M,-217.30M,38.10M,-217.30M,923.60M,327.20M,620.20M,10.50M,,-1.50M,,629.20M,594.10M,1.676B,533.70M,1.142B,1.27,0.02,,,1.22,1.29,1.27,0.02,,,1.22,1.29,489.60M,489.94M,0.53
2014-12,3.797B,3.820B,2.687B,1.132B,40.10M,222.30M,218.00M,2.40M,-215.60M,,701.90M,430.40M,2.40M,218.00M,-215.60M,40.10M,-215.60M,254.90M,119.60M,160.50M,31.50M,,-1.20M,,190.80M,133.24M,982.70M,509.80M,472.90M,0.32,0.07,,,0.2667,0.39,0.32,0.07,,,0.2668,0.39,489.29M,489.81M,0.53
2014-09,4.133B,4.161B,2.527B,1.634B,34.00M,230.00M,217.00M,1.00M,-216.00M,,729.00M,905.00M,1.00M,217.00M,-216.00M,34.00M,-216.00M,723.00M,264.00M,483.00M,11.00M,,-1.00M,,493.00M,460.41M,1.459B,519.00M,940.00M,0.99,0.02,,,0.9459,1.01,0.99,0.02,,,0.9459,1.01,488.91M,488.97M,0.5
2014-06,3.873B,4.044B,2.616B,1.428B,34.00M,218.00M,221.00M,3.00M,-218.00M,,661.00M,767.00M,3.00M,221.00M,-218.00M,34.00M,-218.00M,583.00M,215.00M,391.00M,,,-1.00M,,390.00M,368.54M,1.288B,484.00M,804.00M,0.8,,,,0.756,0.8,0.8,,,,0.7561,0.8,488.29M,488.54M,0.5
2014-03,4.531B,4.648B,2.878B,1.77B,28.00M,238.00M,220.00M,1.00M,-219.00M,,729.00M,1.041B,1.00M,220.00M,-219.00M,28.00M,-219.00M,850.00M,307.00M,561.00M,,,-1.00M,,560.00M,542.11M,1.599B,529.00M,1.07B,1.15,,,,1.113,1.15,1.15,,,,1.113,1.15,487.87M,488.27M,0.5
2013-12,3.596B,3.230B,2.043B,1.187B,103.50M,210.40M,205.00M,2.90M,-202.10M,,612.90M,573.90M,2.90M,205.00M,-202.10M,103.50M,-202.10M,475.30M,157.70M,336.90M,,,-0.70M,,346.50M,267.04M,1.112B,432.10M,680.30M,0.69,,,,0.5481,0.71,0.69,,,,0.5482,0.71,487.42M,487.79M,0.5
2013-09,4.041B,4.176B,2.479B,1.697B,-117.00M,231.00M,225.00M,3.00M,-222.00M,,678.00M,1.019B,3.00M,225.00M,-222.00M,-117.00M,-222.00M,680.00M,257.00M,434.00M,,,-1.00M,,433.00M,505.78M,1.39B,485.00M,905.00M,0.89,,,,1.0390000000000001,0.89,0.89,,,,1.0390000000000001,0.89,486.93M,487.26M,0.49
2013-06,3.493B,3.582B,2.216B,1.366B,-129.00M,222.00M,228.00M,49.00M,-179.00M,,665.00M,701.00M,49.00M,228.00M,-179.00M,-129.00M,-179.00M,393.00M,68.00M,339.00M,,,-1.00M,,338.00M,444.68M,1.093B,472.00M,621.00M,0.69,,,,0.9094,0.69,0.69,,,,0.9092,0.69,486.29M,486.76M,0.49
2013-03,3.704B,3.826B,2.433B,1.393B,19.00M,218.00M,232.00M,3.00M,-229.00M,,638.00M,755.00M,3.00M,232.00M,-229.00M,19.00M,-229.00M,545.00M,195.00M,364.00M,,,-1.00M,,363.00M,350.80M,1.231B,454.00M,777.00M,0.75,,,,0.7249,0.75,0.75,,,,0.7249,0.75,485.82M,486.34M,0.47
2012-12,3.914B,3.613B,2.446B,1.167B,-253.00M,202.00M,291.00M,2.00M,-289.00M,,631.00M,536.00M,2.00M,291.00M,-289.00M,-253.00M,-289.00M,-6.00M,-16.00M,21.00M,,,0.00,,21.00M,185.45M,750.00M,465.00M,285.00M,0.05,,,,0.3888,0.05,0.05,,,,0.3885,0.05,485.42M,485.86M,0.47
2012-09,3.814B,4.156B,2.537B,1.619B,21.00M,224.00M,233.00M,2.00M,-231.00M,,694.00M,925.00M,2.00M,233.00M,-231.00M,21.00M,-231.00M,715.00M,241.00M,488.00M,,,-1.00M,,487.00M,473.08M,1.454B,506.00M,948.00M,1.0,,,,0.9713,1.0,1.0,,,,0.9713,1.0,484.98M,485.36M,0.47
2012-06,3.235B,3.551B,2.143B,1.408B,35.00M,207.00M,235.00M,2.00M,-233.00M,,667.00M,741.00M,2.00M,235.00M,-233.00M,35.00M,-233.00M,543.00M,190.00M,363.00M,,,-1.00M,,362.00M,339.25M,1.268B,490.00M,778.00M,0.75,,,,0.703,0.75,0.75,,,,0.7031,0.75,484.50M,484.86M,0.47
2012-03,3.363B,3.625B,2.231B,1.394B,43.00M,217.00M,229.00M,2.00M,-227.00M,,640.00M,754.00M,2.00M,229.00M,-227.00M,43.00M,-227.00M,570.00M,189.00M,390.00M,,,-1.00M,,389.00M,360.26M,1.256B,457.00M,799.00M,0.8,,,,0.7406,0.8,0.8,,,,0.7406,0.8,483.83M,484.25M,0.47
2011-12,2.815B,3.444B,5.453B,-2.009B,50.00M,196.00M,210.00M,3.00M,-207.00M,,-2.401B,392.00M,3.00M,210.00M,-207.00M,50.00M,-207.00M,235.00M,32.00M,211.00M,,100.00M,0.00,3.00M,311.00M,167.81M,979.00M,534.00M,445.00M,-0.14,0.77,0.0,,-0.2294,0.63,-0.14,0.77,0.2069,,-0.2293,0.63,483.09M,483.46M,0.47
2011-09,4.333B,4.333B,1.665B,2.668B,227.00M,213.00M,242.00M,19.00M,-223.00M,,1.688B,980.00M,19.00M,242.00M,-223.00M,227.00M,-223.00M,984.00M,334.00M,657.00M,,273.00M,-1.00M,1.00M,929.00M,506.05M,1.671B,445.00M,1.226B,1.92,0.0,0.0,,1.609,1.92,1.92,0.0,0.5655,,1.609,1.92,482.50M,482.80M,0.46
2011-06,3.609B,3.609B,1.267B,2.342B,40.00M,202.00M,239.00M,3.00M,-236.00M,,1.625B,717.00M,3.00M,239.00M,-236.00M,40.00M,-236.00M,521.00M,168.00M,353.00M,,,-1.00M,,352.00M,324.90M,1.17B,376.00M,760.00M,0.73,0.0,,,0.6738,0.73,0.73,0.0,,,0.6738,0.73,481.93M,482.20M,0.46
2011-03,3.73B,3.73B,1.331B,2.399B,35.00M,213.00M,242.00M,2.00M,-240.00M,,1.567B,832.00M,2.00M,242.00M,-240.00M,35.00M,-240.00M,627.00M,-278.00M,355.00M,,,-1.00M,1.00M,354.00M,331.25M,1.306B,437.00M,869.00M,0.73,0.0,,,0.6827,0.73,0.73,0.0,,,0.6827,0.73,481.14M,481.37M,0.46
2010-12,2.694B,3.434B,5.493B,-2.059B,36.00M,201.00M,249.00M,14.00M,-235.00M,,-2.545B,486.00M,14.00M,249.00M,-235.00M,36.00M,-235.00M,287.00M,113.00M,178.00M,,0.00,-1.00M,1.00M,177.00M,155.17M,1.079B,543.00M,536.00M,0.37,0.0,0.0,,0.3246,0.37,0.37,0.0,0.0,,0.3246,0.37,480.42M,480.62M,0.46
2010-09,4.064B,4.064B,1.436B,2.628B,35.00M,210.00M,251.00M,3.00M,-248.00M,,1.603B,1.025B,3.00M,251.00M,-248.00M,35.00M,-248.00M,812.00M,258.00M,557.00M,,0.00,-1.00M,1.00M,556.00M,532.12M,1.487B,424.00M,1.063B,1.16,0.0,0.0,,1.11,1.16,1.16,0.0,0.0,,1.11,1.16,479.58M,479.75M,0.42
2010-06,3.36B,3.36B,1.122B,2.238B,38.00M,202.00M,249.00M,18.00M,-231.00M,,1.844B,394.00M,18.00M,249.00M,-231.00M,38.00M,-231.00M,201.00M,65.00M,137.00M,,,-1.00M,,136.00M,110.29M,855.00M,405.00M,450.00M,0.28,0.0,,,0.2263,0.28,0.28,0.0,,,0.2263,0.28,479.05M,479.18M,0.42
2010-03,3.569B,3.569B,1.252B,2.317B,38.00M,207.00M,250.00M,3.00M,-247.00M,,1.559B,758.00M,3.00M,250.00M,-247.00M,38.00M,-247.00M,549.00M,-207.00M,346.00M,,,-1.00M,1.00M,345.00M,320.30M,1.207B,408.00M,799.00M,0.72,0.0,,,0.6684,0.72,0.72,0.0,,,0.6684,0.72,478.43M,478.84M,0.41
2009-12,3.282B,3.282B,1.107B,2.175B,37.00M,183.00M,247.00M,6.00M,-241.00M,,1.694B,481.00M,6.00M,247.00M,-241.00M,37.00M,-241.00M,277.00M,40.00M,239.00M,,0.00,0.00,1.00M,239.00M,207.34M,943.00M,419.00M,524.00M,0.49,0.01,0.0,,0.4238,0.49,0.49,0.01,0.0002,,0.4238,0.49,477.94M,478.44M,0.41
2009-09,3.547B,3.547B,1.178B,2.369B,35.00M,193.00M,248.00M,5.00M,-243.00M,,1.511B,858.00M,5.00M,248.00M,-243.00M,35.00M,-243.00M,650.00M,208.00M,446.00M,,0.00,-2.00M,1.00M,444.00M,420.20M,1.335B,437.00M,898.00M,0.93,0.0,0.0,,0.8801,0.93,0.93,0.0,0.0,,0.8801,0.93,476.95M,477.11M,0.41
2009-06,3.202B,3.202B,1.022B,2.18B,32.00M,192.00M,240.00M,5.00M,-235.00M,,1.498B,682.00M,5.00M,240.00M,-235.00M,32.00M,-235.00M,469.00M,148.00M,322.00M,,-5.00M,-1.00M,,316.00M,299.10M,1.118B,409.00M,709.00M,0.68,-0.01,0.0,,0.6336,0.67,0.68,-0.01,-0.0106,,0.6336,0.67,472.22M,472.22M,0.41
2009-03,3.458B,3.458B,1.224B,2.234B,25.00M,197.00M,238.00M,5.00M,-233.00M,,1.484B,750.00M,5.00M,238.00M,-233.00M,25.00M,-233.00M,542.00M,179.00M,363.00M,,,-2.00M,1.00M,361.00M,344.26M,1.175B,395.00M,780.00M,0.89,0.0,,,0.8488,0.89,0.89,0.0,,,0.8489,0.89,406.83M,407.38M,0.41
2008-12,3.236B,3.236B,1.219B,2.017B,-223.00M,183.00M,288.00M,12.00M,-276.00M,-241.00M,1.341B,676.00M,12.00M,288.00M,-276.00M,-223.00M,-276.00M,177.00M,34.00M,143.00M,11.00M,0.00,-1.00M,1.00M,153.00M,322.16M,841.00M,376.00M,465.00M,0.34,0.03,0.0,,0.7862,0.37,0.34,0.03,0.0,,0.784,0.37,403.73M,405.79M,0.41
2008-09,4.191B,4.191B,1.874B,2.317B,32.00M,189.00M,216.00M,14.00M,-202.00M,-6.00M,1.58B,737.00M,14.00M,216.00M,-202.00M,32.00M,-202.00M,567.00M,192.00M,376.00M,0.00,0.00,-1.00M,1.00M,375.00M,353.84M,1.197B,414.00M,783.00M,0.93,0.0,0.0,,0.8774,0.93,0.93,0.0,0.0,,0.8776,0.93,402.29M,403.91M,0.41
2008-06,3.546B,3.546B,1.419B,2.127B,37.00M,191.00M,234.00M,15.00M,-219.00M,-5.00M,1.541B,586.00M,15.00M,234.00M,-219.00M,37.00M,-219.00M,404.00M,123.00M,281.00M,1.00M,0.00,-1.00M,,281.00M,254.26M,1.056B,418.00M,638.00M,0.7,0.0,0.0,,0.6359,0.7,0.7,0.0,0.0,,0.6361,0.7,401.51M,402.79M,0.41
2008-03,3.467B,3.467B,1.243B,2.224B,285.00M,198.00M,219.00M,16.00M,-203.00M,,1.439B,785.00M,16.00M,219.00M,-203.00M,285.00M,-203.00M,867.00M,293.00M,576.00M,,,-2.00M,1.00M,574.00M,385.31M,1.449B,363.00M,1.086B,1.43,0.0,,,0.9592,1.43,1.43,0.0,,,0.9607,1.43,400.80M,402.07M,0.41
2007-12,3.276B,3.276B,1.219B,2.057B,73.00M,190.00M,,,,,1.643B,414.00M,,,,73.00M,,282.00M,73.00M,209.00M,22.00M,0.00,0.00,,231.00M,154.90M,800.00M,386.00M,414.00M,0.52,0.06,0.0,,0.3847,0.58,0.51,0.06,0.0002,,0.3755,0.57,399.90M,402.14M,0.41
2007-09,3.789B,3.789B,1.457B,2.332B,16.00M,191.00M,,,,,1.536B,796.00M,,,,16.00M,,612.00M,205.00M,407.00M,,,-1.00M,,407.00M,396.36M,1.192B,396.00M,796.00M,1.02,0.0,,,0.9933,1.02,1.02,0.0,,,0.9934,1.02,399.22M,400.22M,0.39
2007-06,3.146B,3.146B,1.159B,1.987B,19.00M,188.00M,,,,,1.441B,546.00M,,,,19.00M,,365.00M,108.00M,257.00M,2.00M,-79.00M,-1.00M,,180.00M,243.62M,935.00M,389.00M,546.00M,0.64,0.01,0.0,,0.6064,0.45,0.64,0.01,-0.1982,,0.6065,0.45,398.68M,399.87M,0.39
2007-03,3.169B,3.169B,1.132B,2.037B,35.00M,186.00M,,,,,1.515B,522.00M,,,,35.00M,,401.00M,130.00M,271.00M,,,-1.00M,,271.00M,247.35M,929.00M,407.00M,522.00M,0.68,0.0,,,0.6205,0.68,0.68,0.0,,,0.6207,0.68,397.31M,398.55M,0.39
2006-12,2.984B,2.984B,1.037B,1.947B,55.00M,170.00M,,,,0.00,1.577B,370.00M,,,,55.00M,,268.00M,91.00M,177.00M,4.00M,,-1.00M,,181.00M,140.68M,765.00M,395.00M,370.00M,0.47,0.01,,,0.3782,0.46,0.46,0.01,,,0.3689,0.46,395.59M,398.58M,0.39
2006-09,3.594B,3.594B,1.384B,2.21B,3.00M,186.00M,,,,209.00M,1.675B,535.00M,,,,3.00M,,398.00M,133.00M,265.00M,,,-1.00M,,265.00M,263.00M,930.00M,395.00M,535.00M,0.67,0.0,,,0.6649,0.67,0.67,0.0,,,0.665,0.67,393.91M,396.27M,0.37
2006-06,2.936B,2.936B,1.125B,1.811B,39.00M,190.00M,,,,,1.44B,371.00M,,,,39.00M,,244.00M,72.00M,172.00M,3.00M,,-1.00M,,175.00M,144.51M,736.00M,365.00M,371.00M,0.44,0.0,,,0.3702,0.44,0.44,0.0,,,0.3705,0.44,393.72M,395.50M,0.37
2006-03,3.108B,3.108B,1.127B,1.981B,100.00M,191.00M,,,,,1.36B,621.00M,,,,100.00M,,567.00M,189.00M,378.00M,3.00M,,,,381.00M,311.33M,983.00M,362.00M,621.00M,0.96,0.01,,,0.7906,0.97,0.95,0.01,,,0.7815,0.96,393.65M,395.58M,0.37
2005-12,2.899B,2.899B,1.127B,1.772B,-27.00M,197.00M,,,,-3.00M,1.585B,187.00M,,,,-27.00M,,51.00M,-41.00M,92.00M,1.00M,,-1.00M,,-149.00M,108.20M,547.00M,271.00M,187.00M,0.23,0.0,,,0.2712,-0.39,0.23,0.0,,,0.2709,-0.39,392.88M,395.70M,0.37
2005-09,3.328B,3.328B,1.252B,2.076B,79.00M,205.00M,,,,39.00M,1.453B,623.00M,,,,79.00M,,561.00M,196.00M,365.00M,22.00M,,-1.00M,,387.00M,313.60M,974.00M,351.00M,623.00M,0.94,0.05,,,0.8079,0.99,0.94,0.05,,,0.8082,0.99,389.00M,390.00M,0.35
2005-06,2.819B,2.819B,988.00M,1.831B,46.00M,173.00M,,,,,1.376B,455.00M,,,,46.00M,,321.00M,103.00M,218.00M,3.00M,,-1.00M,,221.00M,186.76M,807.00M,352.00M,455.00M,0.57,0.01,,,0.4886,0.58,0.57,0.01,,,0.4889,0.58,384.00M,385.00M,0.35
2005-03,3.065B,3.065B,1.168B,1.897B,146.00M,188.00M,,,,,1.352B,545.00M,,,,146.00M,,526.00M,172.00M,354.00M,1.00M,,-1.00M,,355.00M,255.74M,872.00M,327.00M,545.00M,0.9,0.0,,,0.65,0.9,0.9,0.0,,,0.6506,0.9,393.00M,394.00M,0.35
2004-12,3.689B,3.689B,1.871B,1.818B,-210.00M,175.00M,,,,,1.059B,759.00M,,,,-210.00M,,403.00M,128.00M,275.00M,23.00M,,,,177.00M,418.30M,1.087B,233.00M,759.00M,0.7,0.06,,,1.062,0.45,0.7,0.06,,,1.062,0.45,396.00M,396.00M,0.35
2004-09,3.781B,3.781B,1.781B,2.00B,172.00M,181.00M,,,,,1.361B,639.00M,,,,172.00M,,616.00M,204.00M,412.00M,118.00M,,,,530.00M,296.96M,1.037B,398.00M,639.00M,1.04,0.3,,,0.7495,1.34,1.04,0.3,,,0.7502,1.34,396.00M,397.00M,0.35
2004-06,3.411B,3.411B,1.522B,1.889B,21.00M,181.00M,,,,2.00M,1.481B,408.00M,,,,21.00M,,229.00M,78.00M,151.00M,-51.00M,,,,100.00M,137.15M,848.00M,440.00M,408.00M,0.38,-0.13,,,0.345,0.25,0.38,-0.13,,,0.345,0.25,396.00M,396.00M,0.35
2004-03,3.364B,3.364B,1.362B,2.002B,26.00M,193.00M,,,,,1.376B,626.00M,,,,26.00M,,451.00M,162.00M,289.00M,-7.00M,,-2.00M,,282.00M,272.34M,945.00M,226.00M,626.00M,0.73,-0.02,,,0.6878,0.71,0.73,-0.02,,,0.6878,0.71,395.00M,395.00M,0.35
2003-12,3.657B,3.657B,1.52B,2.137B,-89.00M,177.00M,,,,,2.20B,-63.00M,,,,-89.00M,,-326.00M,-71.00M,-255.00M,-507.00M,0.00,,,-762.00M,-185.38M,273.00M,255.00M,-63.00M,-0.68,-1.31,0.0,,-0.4925,-1.99,-0.68,-1.31,0.0,,-0.5038,-1.99,371.24M,395.02M,0.35
2003-09,3.941B,3.941B,1.794B,2.147B,-39.00M,179.00M,,,,,1.412B,735.00M,,,,-39.00M,,479.00M,172.00M,307.00M,-50.00M,,,,257.00M,332.00M,1.163B,428.00M,735.00M,0.78,-0.13,,,0.8433,0.65,0.78,-0.13,,,0.8433,0.65,395.00M,395.00M,0.35
2003-06,3.45B,3.45B,1.623B,1.827B,50.00M,157.00M,,,,,1.434B,393.00M,,,,50.00M,,235.00M,58.00M,177.00M,-2.00M,,-8.00M,,175.00M,139.34M,823.00M,430.00M,393.00M,0.45,-0.01,,,0.3547,0.44,0.45,-0.01,,,0.3547,0.44,395.00M,395.00M,0.35
