,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2015-06,431.40M,,-20.10M,-92.50M,-112.60M,524.90M,,524.90M,524.90M,348.70M,,18.10M,,-36.80M,-31.70M,15.90M,-204.60M,44.60M,-14.40M,-42.30M,-232.50M,4.40M,945.60M,-1.105B,,-1.105B,,-70.50M,1.80M,-1.174B,320.40M,250.00M,570.40M,25.40M,,25.40M,-261.10M,,-261.10M,-97.50M,233.00M,190.40M,4.80M,,195.20M,25.40M,1.830B,-1.259B,,95.60M,208.00M
2015-03,620.20M,,-21.00M,,-21.00M,533.70M,,533.70M,533.70M,203.50M,,3.40M,,-44.70M,-2.30M,132.10M,79.30M,-24.40M,-203.10M,-19.00M,-37.40M,0.20M,1.258B,-1.129B,,-1.129B,,75.50M,32.40M,-1.017B,507.40M,-491.00M,16.40M,30.40M,,30.40M,-261.00M,,-261.00M,4.90M,-213.40M,162.50M,27.90M,,190.40M,30.40M,773.80M,-757.40M,,2.10M,222.60M
2014-12,160.50M,,-68.10M,76.90M,8.80M,509.80M,,509.80M,509.80M,222.00M,,41.50M,,-47.60M,-41.30M,-121.20M,-54.50M,-20.60M,168.30M,61.70M,-7.60M,,898.50M,-1.240B,,-1.240B,-19.80M,-79.30M,12.40M,-1.327B,593.40M,64.00M,657.40M,10.60M,,10.60M,-261.60M,,-261.60M,2.70M,397.50M,194.00M,-31.00M,,162.50M,10.60M,925.00M,-267.60M,,-109.00M,-649.00M
2014-09,478.00M,,6.00M,1.00M,7.00M,519.00M,,519.00M,519.00M,103.00M,,28.00M,,-41.00M,54.00M,15.00M,105.00M,3.00M,160.00M,87.00M,424.00M,,1.518B,-1.065B,,-1.065B,0.00,43.00M,11.00M,-1.011B,-89.00M,-200.00M,-289.00M,34.00M,,34.00M,-246.00M,,-246.00M,-2.00M,-503.00M,190.00M,4.00M,,194.00M,34.00M,67.00M,-356.00M,,46.00M,227.00M
2014-06,391.00M,,3.00M,-71.00M,-68.00M,484.00M,,484.00M,484.00M,257.00M,,32.00M,,-77.00M,10.00M,-2.00M,-142.00M,48.00M,40.00M,91.00M,45.00M,,1.064B,-985.00M,,-985.00M,-2.00M,-78.00M,-22.00M,-1.087B,1.00M,150.00M,151.00M,14.00M,,14.00M,-245.00M,,-245.00M,1.00M,-79.00M,292.00M,-102.00M,,190.00M,14.00M,1.013B,-862.00M,,63.00M,188.00M
2014-03,561.00M,,6.00M,,6.00M,529.00M,,529.00M,529.00M,245.00M,,-137.00M,,-84.00M,-83.00M,209.00M,17.00M,-51.00M,-131.00M,52.00M,13.00M,,1.133B,-956.00M,,-956.00M,-43.00M,27.00M,-9.00M,-981.00M,-327.00M,575.00M,248.00M,15.00M,,15.00M,-245.00M,,-245.00M,4.00M,22.00M,118.00M,174.00M,,292.00M,15.00M,651.00M,-403.00M,,,234.00M
2013-12,336.90M,,9.50M,167.70M,177.20M,432.10M,,432.10M,432.10M,-97.20M,,-47.60M,,-89.30M,18.90M,47.20M,486.30M,20.40M,101.40M,-330.10M,344.10M,,1.066B,-1.179B,,-1.179B,-26.00M,-75.20M,-17.50M,-1.298B,785.00M,-458.00M,327.00M,22.20M,,22.20M,-245.30M,,-245.30M,109.40M,203.30M,147.00M,-29.20M,,117.50M,22.20M,862.60M,-535.60M,,,-702.00M
2013-09,434.00M,,13.00M,0.00,13.00M,485.00M,,485.00M,485.00M,338.00M,,186.00M,,-82.00M,57.00M,133.00M,-35.00M,5.00M,1.00M,-11.00M,150.00M,,1.524B,-895.00M,,-895.00M,-2.00M,-5.00M,25.00M,-877.00M,-82.00M,-320.00M,-402.00M,20.00M,,20.00M,-240.00M,,-240.00M,5.00M,-617.00M,117.00M,30.00M,,147.00M,20.00M,826.00M,-1.228B,,,247.00M
2013-06,339.00M,,-18.00M,0.00,-18.00M,472.00M,,472.00M,472.00M,240.00M,,154.00M,,-78.00M,-49.00M,-60.00M,-199.00M,6.00M,14.00M,-61.00M,-349.00M,,760.00M,-806.00M,,-806.00M,-2.00M,-47.00M,-16.00M,-871.00M,38.00M,231.00M,269.00M,26.00M,,26.00M,-239.00M,,-239.00M,-7.00M,49.00M,179.00M,-62.00M,,117.00M,26.00M,501.00M,-232.00M,,19.00M,202.00M
2013-03,364.00M,,34.00M,,34.00M,454.00M,,454.00M,454.00M,195.00M,,-4.00M,,-68.00M,-4.00M,-1.00M,-72.00M,-16.00M,-179.00M,53.00M,-219.00M,,756.00M,-890.00M,,-890.00M,-2.00M,47.00M,73.00M,-772.00M,-203.00M,326.00M,123.00M,15.00M,,15.00M,-230.00M,,-230.00M,8.00M,-84.00M,279.00M,-100.00M,,179.00M,15.00M,1.017B,-894.00M,,-19.00M,253.00M
2012-12,21.00M,,-13.00M,20.00M,7.00M,465.00M,,465.00M,465.00M,-156.00M,,311.00M,,-77.00M,-12.00M,-55.00M,379.00M,25.00M,94.00M,-110.00M,321.00M,,892.00M,-1.011B,,-1.011B,-5.00M,-59.00M,-35.00M,-1.11B,499.00M,-235.00M,264.00M,19.00M,,19.00M,-229.00M,,-229.00M,0.00,54.00M,443.00M,-164.00M,,279.00M,19.00M,1.26B,-996.00M,,44.00M,-698.00M
2012-09,488.00M,,62.00M,-100.00M,-38.00M,506.00M,,506.00M,506.00M,288.00M,,55.00M,,-56.00M,-97.00M,30.00M,-73.00M,-21.00M,122.00M,-5.00M,-44.00M,,1.199B,-739.00M,,-739.00M,-1.00M,3.00M,-14.00M,-751.00M,-95.00M,8.00M,-87.00M,14.00M,,14.00M,-229.00M,,-229.00M,0.00,-302.00M,297.00M,146.00M,,443.00M,14.00M,339.00M,-426.00M,,-2.00M,254.00M
2012-06,363.00M,,-2.00M,,-2.00M,490.00M,,490.00M,490.00M,273.00M,,-21.00M,,-35.00M,-114.00M,-73.00M,-136.00M,8.00M,27.00M,57.00M,-231.00M,,837.00M,-630.00M,,-630.00M,-3.00M,-90.00M,-15.00M,-738.00M,-37.00M,158.00M,121.00M,19.00M,,19.00M,-229.00M,,-229.00M,1.00M,-88.00M,286.00M,11.00M,,297.00M,19.00M,129.00M,-8.00M,,23.00M,179.00M
2012-03,390.00M,,10.00M,,10.00M,457.00M,,457.00M,457.00M,212.00M,,112.00M,,-43.00M,207.00M,-126.00M,-56.00M,-15.00M,-166.00M,-106.00M,-262.00M,,876.00M,-752.00M,,-752.00M,-85.00M,60.00M,-15.00M,-792.00M,775.00M,-600.00M,175.00M,31.00M,,31.00M,-229.00M,,-229.00M,4.00M,-19.00M,221.00M,65.00M,,286.00M,31.00M,1.153B,-978.00M,,-65.00M,265.00M
2011-12,584.00M,,,-300.00M,-212.00M,1.792B,,534.00M,534.00M,15.00M,-108.00M,24.00M,-84.00M,-622.00M,56.00M,-99.00M,303.00M,24.00M,13.00M,195.00M,492.00M,,450.00M,-812.00M,-116.00M,-928.00M,-19.00M,-66.00M,90.00M,-923.00M,404.00M,14.00M,418.00M,22.00M,,22.00M,-230.00M,0.00,-230.00M,2.00M,148.00M,546.00M,-325.00M,,221.00M,22.00M,980.00M,-272.00M,,,
2011-09,657.00M,,,-150.00M,-150.00M,,,445.00M,445.00M,239.00M,36.00M,90.00M,23.00M,-197.00M,-2.00M,129.00M,131.00M,22.00M,72.00M,,352.00M,,1.606B,-747.00M,22.00M,-725.00M,0.00,54.00M,-16.00M,-687.00M,-588.00M,-276.00M,-864.00M,21.00M,,21.00M,-222.00M,-1.00M,-223.00M,276.00M,-790.00M,417.00M,129.00M,,546.00M,21.00M,506.00M,-1.094B,,,
2011-06,353.00M,,,,52.00M,-403.00M,-34.00M,376.00M,376.00M,195.00M,72.00M,,61.00M,-150.00M,-128.00M,25.00M,-63.00M,-11.00M,-56.00M,114.00M,-119.00M,,902.00M,-647.00M,25.00M,-1.162B,0.00,-25.00M,-20.00M,-667.00M,-444.00M,479.00M,35.00M,18.00M,,18.00M,-223.00M,0.00,-223.00M,-273.00M,-443.00M,625.00M,-208.00M,,417.00M,18.00M,-502.00M,-29.00M,,,
2011-03,355.00M,,,,-103.00M,403.00M,34.00M,437.00M,437.00M,330.00M,,,,-157.00M,181.00M,121.00M,-222.00M,2.00M,,-114.00M,-32.00M,,830.00M,-569.00M,69.00M,40.00M,-214.00M,103.00M,-2.00M,-613.00M,220.00M,87.00M,307.00M,31.00M,,31.00M,-223.00M,-1.00M,-224.00M,,114.00M,294.00M,331.00M,,625.00M,31.00M,1.576B,-1.269B,,,
2010-12,178.00M,,,-37.00M,-7.00M,,,543.00M,543.00M,384.00M,-113.00M,-253.00M,108.00M,64.00M,-100.00M,-19.00M,115.00M,35.00M,69.00M,113.00M,213.00M,,960.00M,-722.00M,-160.00M,-882.00M,-155.00M,-103.00M,192.00M,-948.00M,-608.00M,-3.00M,-611.00M,28.00M,,28.00M,-222.00M,-1.00M,-223.00M,-2.00M,-808.00M,1.09B,-796.00M,,294.00M,28.00M,1.209B,-597.00M,,-243.00M,-755.00M
2010-09,557.00M,,,-463.00M,-463.00M,,,424.00M,424.00M,192.00M,44.00M,0.00,-112.00M,2.00M,36.00M,169.00M,360.00M,-28.00M,-164.00M,,373.00M,,1.12B,-557.00M,13.00M,-544.00M,0.00,-44.00M,5.00M,-583.00M,19.00M,-123.00M,-104.00M,23.00M,,23.00M,-203.00M,-1.00M,-204.00M,0.00,-285.00M,838.00M,252.00M,,1.09B,23.00M,-1.16B,-167.00M,,69.00M,268.00M
2010-06,483.00M,,,,,,,405.00M,405.00M,91.00M,92.00M,,73.00M,-433.00M,-185.00M,-12.00M,-295.00M,100.00M,152.00M,55.00M,-185.00M,,580.00M,-510.00M,8.00M,-1.111B,0.00,-68.00M,8.00M,-562.00M,-219.00M,408.00M,189.00M,16.00M,,16.00M,-202.00M,0.00,-202.00M,-1.00M,2.00M,818.00M,20.00M,,838.00M,16.00M,949.00M,-760.00M,,172.00M,216.00M
2010-03,,,,,,,,408.00M,408.00M,121.00M,-23.00M,,-69.00M,220.00M,-617.00M,83.00M,-37.00M,-34.00M,5.00M,-55.00M,-655.00M,,2.00M,-647.00M,139.00M,101.00M,,110.00M,-32.00M,-430.00M,-10.00M,938.00M,928.00M,26.00M,,26.00M,-197.00M,-1.00M,-198.00M,,756.00M,490.00M,328.00M,,818.00M,26.00M,1.607B,-679.00M,,2.00M,271.00M
2009-12,239.00M,-14.00M,,0.00,-220.00M,397.00M,22.00M,419.00M,419.00M,582.00M,,,,-120.00M,-27.00M,-81.00M,-213.00M,13.00M,21.00M,-9.00M,-296.00M,,604.00M,-685.00M,,-16.00M,,-112.00M,-22.00M,-819.00M,217.00M,-226.00M,-9.00M,22.00M,,22.00M,-194.00M,-1.00M,-195.00M,10.00M,-172.00M,877.00M,-387.00M,,490.00M,22.00M,203.00M,-212.00M,,-74.00M,-744.00M
2009-09,446.00M,-33.00M,,0.00,255.00M,421.00M,16.00M,437.00M,437.00M,302.00M,,,,-227.00M,39.00M,-81.00M,-143.00M,-12.00M,-13.00M,11.00M,-199.00M,,1.014B,-577.00M,,-1.00M,11.00M,12.00M,-65.00M,-619.00M,530.00M,-210.00M,320.00M,18.00M,,18.00M,-200.00M,-1.00M,-201.00M,-13.00M,124.00M,358.00M,519.00M,,877.00M,18.00M,887.00M,-567.00M,,47.00M,249.00M
2009-06,322.00M,,,,53.00M,397.00M,12.00M,409.00M,409.00M,143.00M,,,,-139.00M,-73.00M,-195.00M,9.00M,-28.00M,39.00M,,-248.00M,,540.00M,-726.00M,,-76.00M,-11.00M,-79.00M,65.00M,-751.00M,-170.00M,-1.414B,-1.584B,1.64B,,1.64B,-195.00M,0.00,-195.00M,-2.00M,-141.00M,710.00M,-352.00M,,358.00M,1.64B,487.00M,-2.071B,,25.00M,181.00M
2009-03,363.00M,,,,-119.00M,382.00M,13.00M,395.00M,395.00M,217.00M,,,,-70.00M,102.00M,-118.00M,-98.00M,-46.00M,-309.00M,,-469.00M,,317.00M,-973.00M,,-76.00M,,90.00M,156.00M,-727.00M,831.00M,0.00,831.00M,48.00M,,48.00M,-169.00M,-1.00M,-170.00M,,709.00M,411.00M,299.00M,,710.00M,48.00M,975.00M,-144.00M,,2.00M,314.00M
2008-12,143.00M,,,,-475.00M,360.00M,16.00M,376.00M,376.00M,-35.00M,,,,432.00M,140.00M,-134.00M,-92.00M,-6.00M,159.00M,14.00M,81.00M,,522.00M,-1.125B,,99.00M,-352.00M,408.00M,103.00M,-966.00M,-50.00M,-1.302B,-1.352B,53.00M,,53.00M,-166.00M,-1.00M,-167.00M,1.983B,517.00M,338.00M,73.00M,,411.00M,53.00M,213.00M,-923.00M,,-126.00M,-657.00M
2008-09,376.00M,,,,-29.00M,387.00M,27.00M,414.00M,414.00M,181.00M,,,,-49.00M,54.00M,33.00M,-111.00M,-34.00M,37.00M,-14.00M,-35.00M,,858.00M,-968.00M,,0.00,81.00M,-447.00M,-82.00M,-1.416B,219.00M,597.00M,816.00M,34.00M,,34.00M,-167.00M,-1.00M,-168.00M,-4.00M,678.00M,218.00M,120.00M,,338.00M,34.00M,312.00M,-138.00M,,-5.00M,245.00M
2008-06,281.00M,,,,18.00M,736.00M,45.00M,418.00M,418.00M,305.00M,-22.00M,,26.00M,-277.00M,-184.00M,-102.00M,45.00M,-4.00M,72.00M,-6.00M,-179.00M,,570.00M,-831.00M,,-1.00M,-81.00M,96.00M,65.00M,-751.00M,80.00M,296.00M,376.00M,27.00M,,27.00M,-166.00M,0.00,-166.00M,7.00M,244.00M,155.00M,63.00M,,218.00M,27.00M,1.333B,-1.208B,,95.00M,160.00M
2008-03,576.00M,,,,-3.00M,,,363.00M,363.00M,47.00M,22.00M,,-26.00M,-274.00M,61.00M,20.00M,98.00M,-25.00M,-234.00M,6.00M,-74.00M,,631.00M,-876.00M,,-98.00M,,-17.00M,-1.00M,-894.00M,604.00M,-251.00M,353.00M,45.00M,,45.00M,-167.00M,-1.00M,-168.00M,10.00M,240.00M,178.00M,-23.00M,,155.00M,45.00M,916.00M,-312.00M,,36.00M,252.00M
2007-12,231.00M,,,,-86.00M,,,,386.00M,32.00M,,,,-84.00M,96.00M,29.00M,33.00M,25.00M,142.00M,-24.00M,301.00M,-22.00M,758.00M,-1.547B,144.00M,-1.403B,512.00M,-154.00M,59.00M,-986.00M,,,279.00M,28.00M,,28.00M,,,-163.00M,66.00M,210.00M,196.00M,-18.00M,,178.00M,28.00M,,,,-5.00M,185.00M
2007-09,407.00M,,,,20.00M,,,,396.00M,68.00M,,,,-51.00M,-128.00M,77.00M,4.00M,2.00M,50.00M,-184.00M,-179.00M,0.00,661.00M,-345.00M,4.00M,-341.00M,-512.00M,88.00M,-43.00M,-808.00M,,,329.00M,26.00M,,26.00M,,,-156.00M,-28.00M,171.00M,172.00M,24.00M,,196.00M,26.00M,,,,235.00M,245.00M
2007-06,180.00M,,,,-210.00M,,,,389.00M,-29.00M,,,,327.00M,-52.00M,-87.00M,-27.00M,31.00M,14.00M,84.00M,-37.00M,-2.00M,618.00M,-1.343B,6.00M,-1.337B,,-137.00M,-25.00M,-1.499B,,,939.00M,36.00M,,36.00M,,,-156.00M,-25.00M,794.00M,259.00M,-87.00M,,172.00M,36.00M,,,,62.00M,152.00M
2007-03,271.00M,,,,29.00M,,,,407.00M,5.00M,,,,-113.00M,-29.00M,-3.00M,-31.00M,-7.00M,-210.00M,32.00M,-248.00M,,351.00M,-907.00M,68.00M,-839.00M,,216.00M,-5.00M,-628.00M,,,355.00M,54.00M,,54.00M,,,-155.00M,-19.00M,235.00M,301.00M,-42.00M,,259.00M,54.00M,,,,66.00M,152.00M
