,Cash,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,TotalDeposits,PensionLiability,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,3.423B,29.74B,29.74B,54.42B,3.241B,57.66B,,87.41B,10.17B,-5.917B,4.251B,,,,78.53B,1.84B,76.69B,4.753B,,97.45B,184.86B,,13.80B,,13.80B,,13.80B,,1.972B,1.972B,1.972B,15.77B,55.88B,,55.88B,,,69.61B,,,125.50B,163.97B,,173.00M,10.90B,12.31B,,-18.00M,-438.00M,-2.027B,,-2.483B,20.89B,,AOR,Restated
2018-03,3.627B,31.09B,31.09B,53.68B,3.194B,56.87B,,87.96B,10.00B,-5.732B,4.271B,,,,75.69B,1.786B,73.91B,3.388B,,91.99B,179.96B,,14.04B,,14.04B,,14.04B,,1.852B,1.852B,1.852B,15.89B,52.46B,,52.46B,,,69.10B,,,121.56B,160.34B,,172.00M,9.597B,12.22B,,-11.00M,-439.00M,-1.931B,,-2.381B,19.61B,,AOR,Restated
2017-12,5.148B,32.93B,32.93B,53.53B,3.209B,56.74B,684.00M,90.47B,9.784B,-5.455B,4.329B,3.009B,899.00M,3.908B,76.01B,1.706B,74.30B,4.182B,1.637B,88.75B,181.20B,,14.66B,,14.66B,1.564B,16.22B,1.168B,4.947B,6.115B,6.115B,22.34B,55.78B,23.00M,55.80B,1.554B,1.554B,67.01B,2.277B,,126.64B,162.94B,,172.00M,8.307B,12.21B,,,,,,-2.428B,18.26B,,AOR,Restated
2017-09,2.82B,26.17B,26.17B,51.00B,2.701B,53.70B,,79.87B,10.16B,-5.797B,4.367B,,,,70.15B,1.502B,68.64B,3.25B,,88.71B,168.58B,,12.24B,,12.24B,,12.24B,,2.352B,2.352B,2.352B,14.59B,48.76B,,48.76B,,,63.66B,,,112.42B,147.49B,,175.00M,10.91B,12.32B,,11.00M,-521.00M,-1.806B,,-2.316B,21.08B,,AOR,Restated
2017-06,2.709B,30.44B,30.44B,48.93B,2.832B,51.76B,,82.20B,10.04B,-5.596B,4.445B,,,,67.83B,1.32B,66.51B,3.36B,,84.79B,167.00B,,12.11B,,12.11B,,12.11B,,3.426B,3.426B,3.426B,15.53B,51.94B,,51.94B,,,60.23B,,,112.17B,145.82B,,177.00M,10.97B,12.46B,,13.00M,-528.00M,-1.913B,,-2.428B,21.18B,,AOR,Restated
2017-03,2.459B,29.37B,29.37B,47.15B,2.812B,49.97B,,79.33B,9.838B,-5.405B,4.433B,,,,65.20B,1.248B,63.96B,3.561B,,82.05B,161.38B,,11.70B,,11.70B,,11.70B,,3.60B,3.60B,3.60B,15.30B,51.65B,,51.65B,,,56.50B,,,108.14B,140.45B,,179.00M,10.63B,12.59B,,13.00M,-537.00M,-1.946B,,-2.47B,20.94B,,AOR,Restated
2016-12,3.278B,25.21B,25.21B,46.84B,3.232B,50.07B,696.00M,76.53B,9.578B,-5.145B,4.433B,2.927B,868.00M,3.795B,66.68B,1.223B,65.46B,3.981B,2.336B,79.74B,158.89B,,11.19B,,11.19B,1.382B,12.57B,2.993B,4.843B,7.836B,7.836B,20.41B,46.97B,24.00M,46.99B,1.411B,1.411B,55.85B,2.055B,,106.31B,138.39B,,181.00M,10.37B,12.73B,,7.00M,-529.00M,-2.262B,,-2.784B,20.50B,,AOR,Restated
2016-09,2.524B,26.52B,26.52B,44.82B,2.51B,47.33B,,73.85B,9.296B,-4.995B,4.301B,,,,61.78B,1.114B,60.66B,3.728B,,79.53B,153.38B,,11.37B,,11.37B,,11.37B,,2.861B,2.861B,2.861B,14.23B,44.89B,,44.89B,,,56.16B,,,101.05B,132.36B,,184.00M,10.66B,12.79B,,50.00M,-509.00M,-2.159B,,-2.618B,21.02B,,AOR,Restated
2016-06,2.811B,33.77B,33.77B,44.80B,2.697B,47.50B,,81.26B,9.065B,-4.855B,4.21B,,,,61.02B,1.091B,59.93B,3.892B,,78.38B,159.64B,,11.73B,,11.73B,,11.73B,,2.343B,2.343B,2.343B,14.07B,50.65B,,50.65B,,,57.21B,,,107.86B,138.93B,,185.00M,10.28B,12.87B,,65.00M,-516.00M,-2.17B,,-2.621B,20.71B,,AOR,Restated
2016-03,2.761B,25.04B,25.04B,44.03B,2.633B,46.66B,,71.70B,11.11B,-6.972B,4.137B,,,,70.28B,1.012B,69.27B,3.839B,,87.11B,158.82B,,12.03B,,12.03B,,12.03B,,2.596B,2.596B,2.596B,14.62B,47.31B,,47.31B,,,58.78B,,,106.09B,138.09B,,191.00M,9.949B,13.09B,,60.00M,-522.00M,-2.04B,,-2.502B,20.73B,,AOR,Restated
2015-12,2.935B,22.76B,22.76B,43.67B,3.024B,46.70B,851.00M,70.59B,10.91B,-6.801B,4.108B,2.749B,796.00M,3.545B,74.82B,1.028B,73.79B,4.397B,2.231B,87.89B,161.18B,,11.82B,,11.82B,2.238B,14.06B,2.12B,3.101B,5.221B,5.221B,19.28B,48.03B,29.00M,48.06B,1.343B,1.343B,58.24B,2.097B,,109.74B,140.51B,,194.00M,9.665B,13.35B,,58.00M,-548.00M,-2.044B,,-2.534B,20.67B,,AOR,Restated
2015-09,2.613B,19.94B,19.94B,43.89B,2.517B,46.41B,,66.34B,10.76B,-6.733B,4.032B,,,,69.95B,1.164B,68.78B,3.947B,,87.87B,154.22B,,11.34B,,11.34B,,11.34B,,3.16B,3.16B,3.16B,14.50B,48.65B,,48.65B,,,52.34B,,,101.00B,132.88B,,197.00M,10.02B,13.49B,,69.00M,-480.00M,-1.963B,,-2.374B,21.34B,,AOR,Restated
2015-06,2.442B,21.07B,21.07B,44.46B,2.805B,47.26B,,68.34B,10.58B,-6.56B,4.016B,,,,69.97B,1.132B,68.84B,4.584B,,88.82B,157.15B,,11.06B,,11.06B,,11.06B,,4.486B,4.486B,4.486B,15.54B,52.74B,,52.74B,,,50.39B,,,103.13B,135.27B,,201.00M,10.20B,13.64B,,76.00M,-487.00M,-1.743B,,-2.154B,21.88B,,AOR,Restated
2015-03,2.286B,23.57B,23.57B,43.27B,2.354B,45.63B,,69.20B,10.31B,-6.369B,3.94B,,,,67.79B,1.13B,66.66B,4.417B,,85.48B,154.68B,,10.64B,,10.64B,,10.64B,,2.361B,2.361B,2.361B,13.00B,54.71B,,54.71B,,,48.29B,,,103.00B,132.85B,,204.00M,10.11B,13.67B,,96.00M,-493.00M,-1.754B,,-2.151B,21.83B,,AOR,Restated
2014-12,2.628B,22.29B,22.29B,44.39B,2.614B,47.00B,1.626B,71.62B,10.21B,-6.27B,3.938B,3.024B,854.00M,3.878B,71.30B,1.201B,70.10B,5.053B,2.11B,84.98B,159.10B,,11.30B,,11.30B,2.073B,13.37B,769.00M,3.358B,4.127B,4.127B,17.50B,57.81B,143.00M,57.96B,1.308B,1.308B,47.84B,2.258B,,109.36B,138.43B,,205.00M,9.513B,12.87B,,96.00M,-516.00M,-1.499B,,-1.919B,20.67B,,AOR,Restated
2014-09,2.30B,21.26B,21.26B,44.68B,2.631B,47.32B,,68.58B,10.25B,-6.327B,3.921B,,,,66.91B,1.146B,65.77B,4.75B,,85.28B,153.86B,,11.51B,,11.51B,,11.51B,,3.382B,3.382B,3.382B,14.89B,55.71B,,55.71B,,,46.24B,,,101.95B,133.65B,,207.00M,9.335B,12.22B,,94.00M,-351.00M,-1.285B,,-1.542B,20.22B,,AOR,Restated
2014-06,2.643B,18.43B,18.43B,44.89B,3.753B,48.65B,,67.08B,10.03B,-6.162B,3.87B,,,,67.04B,1.17B,65.87B,4.855B,,85.31B,152.38B,,11.64B,,11.64B,,11.64B,,3.436B,3.436B,3.436B,15.08B,54.84B,,54.84B,,,45.85B,,,100.69B,132.17B,,210.00M,9.127B,12.25B,,105.00M,-358.00M,-1.118B,,-1.371B,20.21B,,AOR,Restated
2014-03,2.493B,20.74B,20.74B,44.24B,3.134B,47.37B,,68.11B,9.983B,-6.09B,3.893B,,,,64.67B,1.191B,63.48B,4.761B,,83.38B,151.50B,,11.84B,,11.84B,,11.84B,,2.821B,2.821B,2.821B,14.66B,54.10B,,54.10B,,,46.51B,,,100.61B,131.52B,,212.00M,8.822B,12.34B,,102.00M,-372.00M,-1.124B,,-1.394B,19.98B,,AOR,Restated
2013-12,2.212B,19.49B,19.49B,43.78B,3.408B,47.18B,1.998B,69.00B,9.853B,-5.978B,3.875B,3.198B,817.00M,4.015B,67.85B,1.261B,66.58B,5.016B,2.443B,81.45B,153.38B,,10.62B,,10.62B,2.21B,12.82B,200.00M,5.263B,5.463B,5.463B,18.29B,55.09B,239.00M,55.33B,1.314B,1.314B,46.00B,2.227B,,104.87B,133.88B,,213.00M,8.507B,12.20B,,63.00M,-399.00M,-1.09B,,-1.426B,19.50B,,AOR,Restated
2013-09,2.19B,22.29B,22.29B,43.07B,3.429B,46.50B,,68.78B,9.614B,-5.868B,3.746B,,,,63.50B,1.281B,62.22B,5.137B,,81.32B,150.10B,,11.36B,,11.36B,,11.36B,,3.247B,3.247B,3.247B,14.61B,52.53B,,52.53B,,,46.58B,,,99.10B,130.89B,,215.00M,8.147B,12.19B,,105.00M,-428.00M,-1.016B,,-1.339B,19.22B,,AOR,Restated
2013-06,3.873B,23.13B,23.13B,43.71B,3.204B,46.92B,,70.04B,9.427B,-5.711B,3.716B,,,,63.61B,1.342B,62.26B,5.262B,,81.89B,151.93B,,14.31B,,14.31B,,14.31B,,2.961B,2.961B,2.961B,17.27B,52.68B,,52.68B,,,44.64B,,,97.32B,132.90B,,217.00M,7.883B,12.24B,,153.00M,-434.00M,-1.027B,,-1.308B,19.03B,,AOR,Restated
2013-03,3.433B,27.96B,27.96B,42.96B,3.143B,46.10B,,74.07B,9.362B,-5.649B,3.713B,,,,62.83B,1.367B,61.46B,5.793B,,82.79B,156.86B,,14.23B,,14.23B,,14.23B,,3.359B,3.359B,3.359B,17.59B,56.37B,,56.37B,,,45.53B,,,101.90B,137.56B,,220.00M,7.83B,12.22B,,280.00M,-461.00M,-799.00M,,-980.00M,19.29B,,AOR,Restated
2012-12,2.02B,22.25B,22.25B,42.34B,3.576B,45.91B,1.96B,70.72B,9.064B,-5.429B,3.635B,3.181B,993.00M,4.174B,65.78B,1.471B,64.31B,5.614B,2.458B,79.40B,153.14B,,10.01B,,10.01B,2.079B,12.08B,0.00,3.846B,3.846B,3.846B,15.93B,58.85B,123.00M,58.97B,1.286B,1.286B,44.40B,2.224B,,106.89B,134.25B,,221.00M,7.525B,12.07B,,315.00M,-488.00M,-754.00M,,-927.00M,18.89B,,AOR,Restated
2012-09,,25.14B,25.14B,45.18B,,45.18B,,70.32B,8.86B,-5.307B,3.553B,,,,62.25B,1.459B,60.79B,6.06B,,82.55B,152.87B,,13.09B,,13.09B,,13.09B,,4.027B,4.027B,4.027B,17.12B,56.27B,,56.27B,,,37.20B,,,93.47B,133.40B,,224.00M,7.923B,12.17B,,340.00M,-447.00M,-728.00M,,-835.00M,19.48B,,AOR,Restated
2012-06,,22.07B,22.07B,43.92B,,43.92B,,65.99B,8.547B,-5.105B,3.442B,,,,61.46B,1.547B,59.91B,6.326B,,82.14B,148.13B,,11.77B,,11.77B,,11.77B,,3.553B,3.553B,3.553B,15.32B,55.95B,,55.95B,,,35.96B,,,91.91B,128.86B,,228.00M,7.717B,12.27B,,319.00M,-461.00M,-809.00M,,-951.00M,19.27B,,AOR,Restated
2012-03,,27.08B,27.08B,43.91B,,43.91B,,70.99B,8.407B,-4.956B,3.451B,,,,60.58B,1.698B,58.88B,6.679B,,80.79B,151.78B,,11.38B,,11.38B,,11.38B,,8.486B,8.486B,8.486B,19.86B,56.84B,,56.84B,,,38.22B,,,95.06B,131.88B,,233.00M,8.015B,12.44B,,308.00M,-475.00M,-610.00M,,-777.00M,19.91B,,AOR,Restated
2011-12,3.514B,24.89B,24.89B,40.45B,3.657B,44.11B,2.378B,72.30B,8.114B,-4.747B,3.367B,3.172B,1.149B,4.321B,63.04B,1.874B,61.17B,7.147B,2.875B,77.58B,153.34B,,10.46B,,10.46B,1.866B,12.32B,608.00M,5.907B,6.515B,6.515B,18.84B,59.45B,123.00M,59.57B,1.063B,1.063B,43.02B,2.192B,,105.85B,134.54B,,232.00M,7.221B,12.22B,,288.00M,-481.00M,-682.00M,-1.00M,-876.00M,18.79B,,AOR,Restated
2011-09,,24.55B,24.55B,42.89B,,42.89B,,67.44B,7.934B,-4.747B,3.187B,,,,58.68B,2.25B,56.43B,9.664B,,81.26B,148.69B,,10.58B,,10.58B,,10.58B,,8.704B,8.704B,8.704B,19.29B,61.77B,,61.77B,,,33.14B,,,94.91B,130.59B,,233.00M,6.52B,12.15B,,261.00M,-445.00M,-619.00M,,-803.00M,18.10B,,AOR,Restated
2011-06,,22.61B,22.61B,43.38B,,43.38B,,66.00B,7.742B,-4.68B,3.062B,,,,59.14B,2.579B,56.57B,9.897B,,81.80B,147.80B,,10.93B,,10.93B,,10.93B,,8.935B,8.935B,8.935B,19.87B,61.40B,,61.40B,,,32.29B,,,93.69B,129.59B,,238.00M,6.437B,12.28B,,149.00M,-459.00M,-441.00M,,-751.00M,18.20B,,AOR,Restated
2011-03,,22.03B,22.03B,40.79B,,40.79B,,62.81B,7.669B,-4.682B,2.987B,,,,58.15B,2.921B,55.23B,10.50B,,81.17B,143.98B,,10.12B,,10.12B,,10.12B,,3.375B,3.375B,3.375B,13.49B,60.73B,,60.73B,,,31.76B,,,92.49B,126.50B,,240.00M,5.902B,12.19B,,55.00M,-467.00M,-437.00M,,-849.00M,17.48B,,AOR,Restated
2010-12,,16.36B,16.36B,40.43B,,40.43B,,56.79B,7.388B,-4.483B,2.905B,,,,61.29B,3.67B,57.62B,14.01B,,89.90B,146.69B,,9.691B,,9.691B,,9.691B,,3.414B,3.414B,3.414B,13.10B,66.42B,,66.42B,,,29.73B,,,96.14B,130.46B,,238.00M,4.972B,11.94B,,50.00M,-464.00M,-503.00M,,-917.00M,16.23B,,AOR,Restated
2010-09,,21.34B,21.34B,38.03B,,38.03B,,59.37B,7.298B,-4.499B,2.799B,,,,57.62B,4.343B,53.28B,17.17B,,86.68B,146.06B,,10.51B,,10.51B,,10.51B,,1.919B,1.919B,1.919B,12.43B,68.83B,,68.83B,,,28.36B,,,97.19B,130.14B,,240.00M,4.582B,11.72B,,293.00M,-430.00M,-480.00M,,-617.00M,15.92B,,AOR,Restated
2010-06,,20.69B,20.69B,37.05B,,37.05B,,57.73B,7.101B,-4.387B,2.714B,,,,57.70B,4.89B,52.82B,17.33B,,86.03B,143.76B,,9.503B,,9.503B,,9.503B,,2.609B,2.609B,2.609B,12.11B,69.34B,,69.34B,,,28.35B,,,97.70B,129.25B,,239.00M,3.724B,11.59B,,185.00M,-434.00M,-787.00M,,-1.036B,14.51B,,AOR,Restated
2010-03,,21.10B,21.10B,35.92B,,35.92B,,57.02B,6.979B,-4.248B,2.731B,,,,58.06B,5.341B,52.72B,18.34B,,86.29B,143.31B,,9.195B,,9.195B,,9.195B,,1.931B,1.931B,1.931B,11.13B,72.29B,,72.29B,,,28.12B,,,100.41B,129.89B,,238.00M,2.925B,11.30B,,155.00M,-442.00M,-753.00M,,-1.04B,13.42B,,AOR,Restated
2009-12,,16.60B,16.60B,38.20B,,38.20B,,54.80B,6.912B,-4.13B,2.782B,,,,33.28B,3.268B,30.01B,24.34B,,70.34B,125.14B,,9.063B,,9.063B,,9.063B,,2.344B,2.344B,2.344B,11.41B,52.34B,,52.34B,,,26.29B,,,78.63B,110.74B,,237.00M,3.737B,11.14B,,479.00M,-469.00M,-722.00M,,-712.00M,14.41B,,AOR,Restated
2009-09,,8.06B,8.06B,34.80B,,34.80B,,53.44B,6.814B,-4.055B,2.759B,,,,32.02B,3.389B,28.63B,23.80B,,67.00B,120.44B,,8.78B,,8.78B,,8.78B,,7.948B,7.948B,7.948B,16.73B,52.85B,,52.85B,,,23.86B,,,76.71B,106.50B,,237.00M,3.247B,11.02B,,549.00M,-426.00M,-679.00M,,-556.00M,13.94B,,AOR,Restated
2009-06,,6.717B,6.717B,34.64B,,34.64B,,50.26B,6.715B,-3.952B,2.763B,,,,33.04B,3.25B,29.79B,22.32B,,66.76B,117.04B,,8.286B,,8.286B,,8.286B,,8.166B,8.166B,8.166B,16.45B,53.52B,,53.52B,,,20.13B,,,73.64B,103.62B,,239.00M,2.931B,11.16B,,-16.00M,-430.00M,-459.00M,,-905.00M,13.42B,,AOR,Restated
2009-03,,7.25B,7.25B,32.34B,,32.34B,,53.14B,6.704B,-3.85B,2.854B,,,,37.37B,3.054B,34.32B,18.20B,,67.84B,121.18B,,8.07B,,8.07B,,8.07B,,8.784B,8.784B,8.784B,16.85B,57.62B,,57.62B,,,18.10B,,,75.72B,105.40B,,3.403B,3.044B,10.59B,3.168B,-428.00M,-438.00M,-387.00M,,-1.253B,15.78B,,AOR,Restated
2008-12,,8.128B,8.128B,36.57B,,36.57B,,57.12B,,,2.948B,,,,43.27B,2.609B,40.66B,12.53B,,68.74B,126.07B,,8.428B,,8.428B,,8.428B,,15.43B,15.43B,15.43B,23.85B,60.04B,,60.04B,,,15.49B,,,75.53B,114.23B,,232.00M,2.719B,10.50B,,-779.00M,-459.00M,-368.00M,,-1.606B,11.84B,,,Restated
2008-09,,15.56B,15.56B,,,40.71B,,56.26B,,,2.839B,,,,46.76B,2.684B,44.07B,13.28B,,70.96B,127.22B,,,,9.639B,,9.639B,,13.90B,13.90B,13.90B,23.54B,57.80B,,57.80B,,,11.87B,,,69.66B,114.70B,,232.00M,2.694B,10.46B,,,,-391.00M,-475.00M,-866.00M,12.52B,,,Restated
2008-06,,20.09B,20.09B,,,42.67B,,62.76B,,,2.791B,,,,50.47B,2.641B,47.83B,14.68B,,74.57B,137.33B,,,,9.705B,,9.705B,,17.52B,17.52B,17.52B,27.22B,57.04B,,57.04B,,,14.85B,,,71.88B,125.06B,,232.00M,2.094B,10.39B,,,,-348.00M,-103.00M,-451.00M,12.27B,,,Restated
2008-03,,19.49B,19.49B,,,41.09B,,60.58B,,,2.74B,,,,50.42B,1.966B,48.45B,14.15B,,74.71B,135.29B,,,,9.071B,,9.071B,,18.99B,18.99B,18.99B,28.06B,55.53B,,55.53B,,,14.00B,,,69.53B,123.78B,,232.00M,1.654B,10.29B,,,,-256.00M,-405.00M,-661.00M,11.51B,,,Restated
2007-12,,7.107B,7.107B,,,41.99B,,49.10B,,,2.692B,,,1.712B,55.22B,1.876B,53.34B,14.98B,,100.37B,149.74B,,,,7.74B,,7.74B,,15.33B,15.33B,15.33B,25.50B,55.28B,,55.28B,,,15.40B,,,70.68B,138.71B,,232.00M,1.075B,10.16B,,,,-255.00M,-187.00M,-442.00M,11.03B,,,
2007-09,,8.41B,8.41B,,,40.23B,,48.64B,,,2.589B,,,,51.42B,1.516B,49.90B,16.48B,,92.29B,140.93B,,,,10.31B,,10.31B,,15.44B,15.44B,15.44B,25.75B,54.06B,,54.06B,,,9.036B,,,63.10B,130.03B,,234.00M,1.126B,10.10B,,,,-241.00M,-320.00M,-561.00M,10.90B,,,
2007-06,,7.371B,7.371B,,,39.50B,,46.87B,,,2.575B,,,,56.98B,1.528B,55.45B,21.42B,,87.50B,134.37B,,,,9.647B,,9.647B,,15.80B,15.80B,15.80B,25.45B,49.87B,,49.87B,,,22.62B,,,72.50B,123.74B,,236.00M,1.024B,9.998B,,,,-231.00M,-392.00M,-623.00M,10.64B,,,
2007-03,,7.979B,7.979B,,,37.51B,,45.49B,,,2.502B,,,,50.60B,1.374B,49.23B,21.64B,,80.87B,126.36B,,,,9.185B,,9.185B,,15.03B,15.03B,15.03B,24.21B,43.73B,,43.73B,,,22.52B,,,66.25B,115.87B,,238.00M,959.00M,9.798B,,,,-223.00M,-277.00M,-500.00M,10.50B,,,
2006-12,,5.306B,5.306B,,,38.66B,,43.97B,,,2.35B,,,,44.32B,1.207B,43.12B,17.95B,,84.36B,128.33B,,,,8.676B,,8.676B,,15.24B,15.24B,15.24B,23.91B,42.75B,,42.75B,,,12.01B,,,54.76B,117.82B,,240.00M,1.153B,9.638B,,,,-222.00M,-298.00M,-520.00M,10.51B,,,
2006-09,,7.978B,7.978B,,,36.46B,,44.43B,,,2.261B,,,,47.14B,1.236B,45.91B,21.58B,,76.50B,120.93B,,,,9.005B,,9.005B,,15.22B,15.22B,15.22B,24.22B,39.41B,,39.41B,,,21.86B,,,61.27B,110.18B,,241.00M,1.408B,9.14B,,,,-225.00M,192.00M,-33.00M,10.76B,,,
2006-06,,6.798B,6.798B,,,35.80B,,42.59B,,,2.215B,,,,45.22B,1.199B,44.02B,21.51B,,74.69B,117.28B,,,,8.801B,,8.801B,,15.04B,15.04B,15.04B,23.84B,36.17B,,36.17B,,,22.06B,,,58.23B,106.81B,,243.00M,1.349B,8.981B,,,,-226.00M,128.00M,-98.00M,10.48B,,,
2006-03,,5.393B,5.393B,,,34.18B,,39.57B,,,2.22B,,,,41.51B,1.162B,40.34B,21.27B,,70.50B,110.06B,,,,8.724B,,8.724B,,15.18B,15.18B,15.18B,23.90B,30.93B,,30.93B,,,20.07B,,,51.00B,99.46B,,247.00M,1.629B,8.899B,,,,-363.00M,193.00M,-170.00M,10.60B,,,
