,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2016-12,-22.70M,,0.432M,,-0.707M,-0.275M,,32.74M,32.74M,,,5.382M,-0.406M,7.53M,-20.15M,10.84M,53.87M,-4.782M,,-30.20M,9.572M,94.75M,,2016-12,-45.24M,0.02M,0.02M,-0.129M,11.78M,-16.34M,-50.12M,,2016-12,-0.035M,,-0.035M,-8.828M,0.00,-8.828M,,0.412M,2.829M,2016-12,417.94M,47.46M,-9.50M,,2016-12,-8.828M,,-0.072M,0.00,,AOR,Restated
2016-09,18.40M,,0.168M,,-0.027M,0.141M,,38.49M,38.49M,,,4.911M,-1.019M,-0.291M,0.583M,-16.96M,19.48M,0.543M,,-12.68M,-9.028M,51.61M,,2016-09,-39.46M,0.357M,0.357M,0.00,-0.308M,-14.02M,-53.43M,,2016-09,-0.075M,,-0.075M,1.953M,0.00,1.953M,,1.019M,2.897M,2016-09,418.65M,1.075M,-1.787M,,2016-09,1.953M,,-0.075M,0.00,,AOR,Restated
2016-06,18.01M,,,,-0.295M,-0.295M,,37.58M,37.58M,,,4.762M,-0.008M,-0.589M,12.08M,-16.58M,1.038M,13.17M,,7.989M,17.69M,77.16M,,2016-06,-31.58M,0.02M,0.02M,-0.006M,-1.843M,-26.07M,-59.47M,,2016-06,-0.079M,,-0.079M,3.107M,0.00,3.107M,,0.008M,3.036M,2016-06,403.62M,20.72M,-5.685M,,2016-06,3.107M,,-0.079M,0.00,,AOR,Restated
2016-03,12.28M,,,,0.229M,0.229M,,34.09M,34.09M,,,4.645M,-0.067M,-1.284M,19.99M,-34.40M,-33.59M,-15.73M,,6.393M,-57.34M,-7.448M,,2016-03,-25.30M,0.001M,0.001M,,-9.634M,-15.93M,-50.86M,,2016-03,-0.077M,,-0.077M,3.768M,,3.768M,,-3.433M,0.258M,2016-03,457.55M,-58.05M,4.114M,,2016-03,3.768M,,-0.077M,,,AOR,Restated
2015-12,45.59M,,,,-1.581M,-1.281M,,33.83M,33.83M,,,4.691M,-0.358M,-0.56M,-56.00M,13.41M,8.671M,-2.52M,,-10.12M,-46.56M,35.95M,,2015-12,-27.98M,0.038M,0.038M,0.003M,-0.866M,-50.76M,-83.78M,,2015-12,-0.15M,,-0.15M,3.51M,,3.51M,,0.368M,3.728M,2015-12,507.33M,-44.10M,-5.682M,,2015-12,3.51M,,-0.15M,,,AOR,Restated
2015-09,17.37M,,,,0.053M,0.053M,,33.56M,33.56M,,,4.004M,-1.984M,-0.825M,7.137M,-21.02M,38.88M,3.84M,,1.268M,30.10M,82.28M,,2015-09,-24.80M,0.012M,0.012M,-0.054M,-0.901M,-1.548M,-27.24M,,2015-09,-0.001M,,-0.001M,0.14M,,0.14M,,1.984M,2.123M,2015-09,450.13M,57.17M,0.029M,,2015-09,0.14M,,-0.001M,,,AOR,Restated
2015-06,28.42M,,,,0.142M,0.142M,,32.13M,32.13M,,,4.234M,-0.046M,1.287M,-5.708M,-17.12M,-4.61M,3.856M,,-4.056M,-27.63M,38.53M,,2015-06,-32.20M,0.025M,0.025M,-0.014M,-1.694M,6.007M,-27.86M,,2015-06,-0.065M,,-0.065M,3.08M,,3.08M,,0.046M,3.061M,2015-06,425.73M,13.73M,10.68M,,2015-06,3.08M,,-0.065M,,,AOR,Restated
2015-03,17.82M,,,,-0.214M,-0.214M,,32.28M,32.28M,,,4.071M,-1.212M,-1.192M,15.57M,-29.47M,-1.641M,-5.076M,,-1.489M,-22.11M,29.45M,,2015-03,-28.39M,0.004M,0.004M,-1.307M,-0.895M,1.287M,-27.99M,,2015-03,-0.066M,,-0.066M,1.506M,,1.506M,,-1.771M,-0.331M,2015-03,413.25M,1.124M,11.35M,,2015-03,1.506M,,-0.066M,,,AOR,Restated
2014-12,38.99M,,,,-0.029M,0.371M,,39.77M,39.77M,,,4.186M,-0.534M,10.99M,-40.05M,34.68M,-28.65M,-6.054M,,-13.49M,-53.56M,40.22M,,2014-12,-40.12M,-0.156M,-0.156M,0.009M,-0.982M,-8.181M,-49.44M,,2014-12,-1.27M,,-1.27M,6.686M,,6.686M,,-1.791M,3.625M,2014-12,424.59M,-5.603M,-5.739M,,2014-12,6.686M,,-1.27M,,,AOR,Restated
2014-09,11.51M,,,,0.013M,0.013M,,37.12M,37.12M,,,3.332M,-0.298M,-3.039M,5.079M,-4.29M,26.61M,3.714M,,10.91M,42.02M,90.65M,,2014-09,-27.46M,0.043M,0.043M,-0.106M,-1.635M,-17.46M,-46.51M,,2014-09,-0.363M,,-0.363M,1.892M,,1.892M,,0.237M,1.766M,2014-09,384.67M,45.91M,-5.986M,,2014-09,1.892M,,-0.363M,,,AOR,Restated
2014-06,31.63M,,,,0.216M,0.216M,,36.34M,36.34M,,,3.681M,-0.286M,-0.446M,6.501M,-9.811M,3.605M,8.03M,,-2.585M,5.74M,76.87M,,2014-06,-33.95M,0.224M,0.224M,-3.024M,-40.65M,15.39M,-58.99M,,2014-06,-0.064M,,-0.064M,3.049M,,3.049M,,-0.177M,2.808M,2014-06,364.51M,20.69M,-0.531M,,2014-06,3.049M,,-0.064M,,,AOR,Restated
2014-03,6.668M,,,,0.10M,0.10M,,36.67M,36.67M,,,3.701M,-0.182M,-4.893M,39.57M,-14.78M,8.939M,-11.39M,,1.167M,23.50M,65.57M,,2014-03,-34.94M,0.114M,0.114M,-12.36M,-1.364M,0.619M,-35.57M,,2014-03,-0.116M,,-0.116M,3.424M,,3.424M,,0.182M,3.49M,2014-03,331.55M,33.49M,-0.534M,,2014-03,3.424M,,-0.116M,,,AOR,Restated
2013-12,30.12M,,,,0.192M,0.692M,,42.02M,42.02M,,,3.806M,-1.892M,-4.417M,-39.00M,21.88M,6.638M,1.548M,,9.154M,0.217M,70.55M,,2013-12,-27.92M,-0.038M,-0.038M,-0.20M,-3.544M,-7.943M,-39.44M,,2013-12,0.016M,,0.016M,1.84M,,1.84M,,1.912M,3.768M,2013-12,291.79M,34.87M,4.885M,,2013-12,1.84M,,-0.032M,,,AOR,Restated
2013-09,-7.099M,,,,0.511M,0.511M,,36.97M,36.97M,,,3.113M,-0.309M,-0.046M,21.28M,-24.49M,26.50M,3.308M,,-4.913M,21.69M,54.83M,,2013-09,-20.34M,0.164M,0.164M,0.00,-2.627M,197.73M,174.93M,,2013-09,-300.06M,,-300.06M,2.817M,,2.817M,,-12.09M,-309.33M,2013-09,367.00M,-79.57M,4.361M,,2013-09,2.817M,,-300.06M,,,AOR,Restated
2013-06,34.60M,,,,0.087M,0.087M,,34.92M,34.92M,,,3.299M,-0.393M,-0.59M,-20.93M,-18.74M,-19.11M,2.105M,,4.487M,-52.19M,19.74M,,2013-06,-24.53M,1.062M,1.062M,-0.037M,-1.827M,-0.987M,-26.28M,,2013-06,-0.048M,,-0.048M,3.445M,,3.445M,,-2.107M,1.29M,2013-06,368.63M,-5.257M,3.627M,,2013-06,3.445M,,-0.048M,,,AOR,Restated
2013-03,20.17M,,,,-0.19M,-0.19M,,33.29M,33.29M,,,3.482M,-0.106M,-0.711M,14.45M,-18.35M,-18.84M,-11.16M,,1.972M,-31.92M,24.02M,,2013-03,-34.57M,0.026M,0.026M,-0.463M,-64.06M,-9.686M,-108.28M,,2013-03,-0.093M,,-0.093M,3.135M,,3.135M,,-10.47M,-7.426M,2013-03,463.39M,-91.69M,-3.068M,,2013-03,3.135M,,-0.093M,,,AOR,Restated
2012-12,43.13M,,,,-1.503M,-6.303M,,35.52M,35.52M,,,3.952M,-1.975M,-0.136M,-20.48M,5.079M,33.64M,-1.233M,,-5.945M,11.06M,86.24M,,2012-12,-30.56M,6.094M,6.094M,-0.056M,-0.964M,-34.19M,-59.62M,,2012-12,-0.102M,,-0.102M,1.653M,0.00,1.653M,,1.964M,3.515M,2012-12,426.46M,30.13M,6.802M,,2012-12,1.653M,,-0.102M,0.00,,AOR,Restated
2012-09,42.86M,,,,3.486M,3.486M,,32.14M,32.14M,,,2.922M,-0.376M,-11.86M,4.952M,-3.684M,-11.29M,4.347M,,7.845M,2.17M,71.34M,,2012-09,-37.16M,0.117M,0.117M,-0.491M,-19.89M,-46.99M,-103.93M,,2012-09,-0.568M,,-0.568M,2.746M,0.00,2.746M,,0.376M,2.554M,2012-09,456.49M,-30.03M,0.00,,2012-09,2.746M,,-0.568M,0.00,,AOR,Restated
2012-06,48.56M,,,,-4.746M,-4.746M,,31.65M,31.65M,,,3.19M,-0.208M,-0.139M,2.346M,0.207M,-3.129M,-4.097M,,,-4.673M,73.64M,,2012-06,-42.03M,0.114M,0.114M,-0.988M,-3.26M,-105.38M,-150.55M,,2012-06,-0.055M,,-0.055M,2.748M,-0.101M,2.647M,,0.208M,2.80M,2012-06,533.81M,-74.11M,-3.214M,,2012-06,2.748M,,-0.055M,-0.101M,,AOR,Restated
2012-03,30.94M,,,,-4.837M,-4.837M,,31.10M,31.10M,,,3.136M,-0.341M,-3.985M,17.58M,-15.50M,-18.22M,-4.617M,,,-20.75M,35.26M,,2012-03,-34.90M,0.00,0.00,-0.245M,-15.33M,-36.06M,-86.28M,,2012-03,-0.086M,,-0.086M,3.464M,,3.464M,,0.341M,3.719M,2012-03,574.23M,-47.31M,6.887M,,2012-03,3.464M,,-0.086M,,,AOR,Restated
2011-12,59.98M,,,,0.24M,-3.141M,,32.87M,32.87M,,,2.884M,-1.17M,-5.751M,-31.73M,5.094M,6.098M,14.59M,,-4.013M,-9.963M,81.50M,,2011-12,-35.65M,0.057M,0.057M,0.003M,-149.84M,9.411M,-172.44M,,2011-12,-4.12M,0.031M,-4.089M,1.218M,0.00,1.218M,,1.138M,-1.733M,2011-12,671.03M,-92.68M,-4.117M,,2011-12,1.218M,,-4.089M,0.00,,AOR,Restated
2011-09,45.86M,,,,0.783M,-6.166M,,30.38M,30.38M,,,2.512M,-0.259M,2.253M,-1.033M,-20.51M,-9.032M,8.472M,,0.927M,-21.18M,51.16M,,2011-09,-24.97M,0.063M,0.063M,-0.296M,-3.47M,-34.38M,-55.81M,,2011-09,-0.247M,-0.529M,-0.776M,2.573M,0.00,2.573M,,0.259M,2.056M,2011-09,670.30M,-2.599M,3.326M,,2011-09,2.573M,,-0.776M,0.00,,AOR,Restated
2011-06,40.02M,,,,0.426M,3.337M,,29.63M,29.63M,,,2.521M,-0.532M,1.989M,1.764M,-9.10M,38.11M,-3.496M,,8.046M,35.32M,110.30M,,2011-06,-24.79M,0.091M,0.091M,-0.04M,-1.657M,-51.52M,-80.78M,,2011-06,-0.605M,-1.887M,-2.492M,2.82M,0.00,2.82M,,0.532M,0.86M,2011-06,627.91M,30.38M,12.02M,,2011-06,2.82M,,-2.492M,0.00,,AOR,Restated
2011-03,32.94M,,,,0.051M,7.67M,,28.12M,28.12M,,,2.783M,-1.239M,1.544M,10.90M,-20.68M,-36.38M,-8.466M,,4.14M,-50.48M,19.78M,,2011-03,-17.91M,0.023M,0.023M,-0.103M,-3.571M,-48.21M,-77.29M,,2011-03,-225.76M,2.385M,-223.38M,7.638M,,7.638M,,0.997M,-214.74M,2011-03,906.55M,-272.25M,-6.389M,,2011-03,7.638M,,-223.38M,,,AOR,Restated
2010-12,67.90M,,,,,-1.966M,,28.94M,28.94M,,,2.843M,-0.216M,0.236M,-19.03M,5.745M,-8.913M,-5.739M,,25.91M,-2.02M,100.39M,,2010-12,-33.55M,0.681M,0.681M,-1.366M,-0.613M,-10.96M,-52.10M,,2010-12,220.54M,0.462M,221.00M,3.713M,,3.713M,,-3.191M,221.52M,2010-12,630.64M,269.81M,6.103M,,2010-12,3.713M,422.63M,-201.63M,,,AOR,Restated
2010-09,45.08M,,,13.15M,,11.92M,,26.33M,26.33M,,,2.533M,-2.152M,0.381M,-8.264M,-8.675M,12.45M,13.05M,,-25.41M,-16.85M,66.87M,,2010-09,-21.08M,0.19M,0.19M,-0.684M,-21.35M,-7.111M,-61.26M,,2010-09,-2.501M,-0.013M,-2.514M,3.394M,,3.394M,,2.152M,3.032M,2010-09,614.22M,8.637M,7.78M,,2010-09,3.394M,0.00,-2.514M,,,AOR,Restated
2010-06,73.91M,,,-13.15M,,-8.543M,,26.08M,26.08M,,,2.538M,-0.309M,-31.10M,-7.344M,-5.378M,-20.49M,-7.401M,,18.71M,-21.91M,36.39M,,2010-06,-19.82M,0.035M,0.035M,-0.35M,-0.849M,-14.05M,-26.14M,,2010-06,0.655M,-0.158M,0.497M,2.927M,,2.927M,,-0.266M,3.158M,2010-06,598.13M,13.41M,2.68M,,2010-06,2.927M,2.00M,-1.503M,,,AOR,Restated
2010-03,,,,,,-4.606M,,27.55M,27.55M,,,2.286M,-0.223M,35.39M,-2.366M,-7.592M,6.753M,-9.207M,,-25.72M,-38.13M,22.27M,,2010-03,-18.09M,0.284M,0.284M,-1.681M,-66.50M,2.682M,-77.01M,,2010-03,-1.595M,-0.291M,-1.886M,2.696M,,2.696M,,0.223M,1.033M,2010-03,649.94M,-53.71M,1.908M,,2010-03,2.696M,0.00,-1.886M,,,AOR,Restated
2009-12,38.52M,,,,,,,27.70M,27.70M,,,2.43M,-0.32M,-5.381M,0.815M,30.62M,-2.486M,2.565M,,5.167M,36.68M,115.72M,,2009-12,-20.00M,,,-2.136M,-0.053M,-6.229M,-22.59M,,2009-12,-1.57M,0.338M,-1.232M,2.618M,,2.618M,,0.284M,1.67M,2009-12,554.18M,94.80M,0.958M,,2009-12,2.618M,0.00,-1.232M,,,AOR,Restated
2009-09,39.30M,,,,,,,26.24M,26.24M,,,2.553M,-0.292M,2.261M,-3.497M,4.012M,29.92M,0.635M,,-1.383M,29.69M,97.49M,,2009-09,-17.61M,,,-2.07M,-2.132M,-56.54M,-82.59M,,2009-09,-1.668M,-0.413M,-2.081M,3.272M,,3.272M,,-0.033M,1.158M,2009-09,533.47M,16.06M,4.649M,,2009-09,3.272M,0.00,-2.081M,,,AOR,Restated
2009-06,39.30M,,,,,,,25.44M,25.44M,,,2.07M,-0.061M,2.009M,6.626M,5.762M,19.03M,7.965M,,-0.636M,38.74M,105.49M,,2009-06,-20.09M,,,-5.36M,-33.36M,0.854M,-58.05M,,2009-06,293.05M,-0.144M,292.90M,2.50M,,2.50M,,-2.255M,293.15M,2009-06,192.87M,340.59M,0.018M,,2009-06,2.50M,294.75M,-1.847M,,,AOR,Restated
2009-03,32.04M,,,,,,,22.33M,22.33M,,,2.047M,-0.027M,2.02M,0.356M,-4.597M,-43.26M,0.635M,,-3.148M,-50.02M,6.371M,,2009-03,-18.67M,,,0.00,-0.441M,0.831M,-12.72M,,2009-03,-1.882M,-2.084M,-3.966M,1.896M,,1.896M,,0.027M,-2.043M,2009-03,204.52M,-8.388M,-3.266M,,2009-03,1.896M,,-3.966M,,,AOR,Restated
2008-12,-6.508M,,,,,,,22.78M,22.78M,,,2.024M,-1.641M,-3.01M,4.983M,8.57M,4.949M,-0.632M,,0.211M,18.08M,78.34M,,2008-12,-22.68M,,,-0.60M,-34.94M,-1.774M,-64.24M,,2008-12,-0.64M,-1.47M,-2.11M,2.441M,,2.441M,,1.591M,1.922M,2008-12,193.63M,16.02M,-5.127M,,2008-12,2.441M,1.60M,-3.71M,,,AOR,Restated
2008-09,30.89M,,,,,,,25.00M,25.00M,,,2.157M,-0.967M,1.19M,4.167M,-21.75M,11.46M,-0.275M,,-4.559M,-10.96M,46.12M,,2008-09,-25.87M,,,-2.725M,-0.959M,-7.593M,-29.72M,,2008-09,-4.935M,0.601M,-4.334M,4.10M,,4.10M,,0.967M,0.733M,2008-09,183.64M,17.14M,-7.153M,,2008-09,4.10M,0.00,-4.334M,,,,Restated
2008-06,45.32M,,,,,,,25.58M,25.58M,,,1.533M,-0.533M,1.00M,-9.554M,-22.00M,26.12M,4.191M,,-1.576M,-2.819M,69.09M,,2008-06,-20.54M,,,0.00,-0.004M,2.566M,-17.19M,,2008-06,-2.224M,-0.105M,-2.329M,2.683M,,2.683M,,0.533M,0.887M,2008-06,129.48M,52.79M,1.377M,,2008-06,2.683M,0.00,-2.329M,,,,Restated
2008-03,28.56M,,,,,,,23.74M,23.74M,,,1.586M,-1.959M,-0.373M,11.50M,-16.72M,-50.93M,-3.884M,,5.924M,-54.10M,-2.177M,,2008-03,-19.72M,,,-0.675M,-17.11M,7.907M,-34.96M,,2008-03,-2.19M,-0.668M,-2.858M,3.688M,,3.688M,,1.959M,2.789M,2008-03,161.76M,-34.35M,2.068M,,2008-03,3.688M,,-2.858M,,,,Restated
2007-12,-80.64M,,,,,,,-43.41M,-43.41M,,,,,-1.258M,-5.24M,10.82M,26.10M,2.192M,12.84M,-9.843M,36.87M,103.15M,,2007-12,-14.66M,,48.01M,,-385.18M,7.332M,-394.49M,,2007-12,,,-22.88M,2.471M,,2.471M,,0.373M,-20.04M,2007-12,472.79M,-311.38M,0.348M,,2007-12,2.471M,,,,,,Restated
2007-09,27.97M,,,,,,,14.57M,14.57M,,,,,1.158M,10.76M,-1.862M,2.641M,1.928M,-13.25M,11.08M,11.30M,55.00M,,2007-09,-18.67M,,-18.67M,,0.00,198.05M,176.04M,,2007-09,,,-0.059M,2.947M,,2.947M,,0.347M,3.235M,2007-09,232.40M,234.27M,6.116M,,2007-09,2.947M,,,,,,
2007-06,25.67M,,,,,,,14.46M,14.46M,,,,,0.612M,-10.66M,-3.471M,11.94M,4.861M,3.002M,-0.351M,5.324M,46.07M,,2007-06,-18.03M,,-18.03M,,-1.636M,-29.08M,-47.84M,,2007-06,,,-0.419M,2.015M,,2.015M,,0.494M,2.09M,2007-06,230.31M,0.322M,1.767M,,2007-06,2.015M,,,,,,
2007-03,27.00M,,,,,,,14.38M,14.38M,,,,,-0.512M,5.134M,-5.486M,-40.68M,-8.981M,-2.595M,-0.889M,-53.50M,-12.64M,,2007-03,-11.31M,,-11.31M,,-0.86M,23.73M,11.86M,,2007-03,,,1.34M,4.147M,,4.147M,,1.778M,7.265M,2007-03,223.61M,6.482M,0.225M,,2007-03,4.147M,,,,,,
