,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,,SharesData(Quarterly),AverageBasicSharesOutstanding,SECFilingLinks,AsOriginallyReported,Restated
2009-06,427.18M,427.18M,185.22M,241.96M,143.67M,42.41M,,3.756M,10.37M,,-10.37M,,186.08M,55.88M,,10.37M,-10.37M,3.756M,-10.37M,49.27M,9.974M,39.30M,,-1.331M,37.97M,25.44M,59.64M,,2009-06,1.39,1.39,,2009-06,1.37,0.00,,2009-06,27.37M,2009-06,AOR,Restated
2009-03,400.93M,400.93M,172.03M,228.90M,140.31M,37.15M,,-0.385M,7.807M,,-7.807M,,177.46M,51.44M,,7.807M,-7.807M,-0.385M,-7.807M,43.24M,11.20M,32.04M,,-1.778M,30.26M,22.33M,51.05M,,2009-03,1.11,1.11,,2009-03,1.10,0.00,,2009-03,27.32M,2009-03,AOR,Restated
2008-12,447.96M,447.96M,201.29M,246.68M,154.50M,41.12M,,-31.38M,7.985M,,-7.985M,,195.62M,51.06M,,7.985M,-7.985M,-39.02M,-7.985M,4.059M,10.57M,-6.508M,,-1.708M,-8.216M,22.78M,12.04M,,2008-12,-0.31,-0.31,,2008-12,-0.31,0.00,,2008-12,27.28M,2008-12,AOR,Restated
2008-09,441.84M,441.84M,201.30M,240.54M,150.52M,38.83M,,0.432M,8.18M,,-8.18M,,189.35M,51.19M,,8.18M,-8.18M,0.432M,-8.18M,43.45M,12.56M,30.89M,,-3.056M,27.83M,25.00M,51.63M,,2008-09,1.02,1.02,,2008-09,1.00,0.00,,2008-09,27.17M,2008-09,,Restated
2008-06,452.36M,452.36M,203.94M,248.42M,146.63M,42.08M,,4.239M,7.991M,,-7.991M,,188.71M,59.71M,,7.991M,-7.991M,4.239M,-7.991M,55.96M,10.63M,45.32M,,-1.926M,43.40M,25.58M,63.95M,,2008-06,1.61,1.61,,2008-06,1.57,0.00,,2008-06,27.04M,2008-06,,Restated
2008-03,422.20M,422.20M,195.31M,226.88M,139.66M,37.49M,,-2.40M,7.957M,,-7.957M,,177.14M,49.74M,,7.957M,-7.957M,-2.40M,-7.957M,39.38M,10.82M,28.56M,,-2.064M,26.50M,23.74M,47.34M,,2008-03,0.98,0.98,,2008-03,0.96,0.00,,2008-03,26.96M,2008-03,,Restated
2007-12,459.69M,459.69M,226.06M,233.63M,162.99M,47.51M,,0.051M,,,,,210.50M,23.13M,,,,-2.525M,,12.58M,-1.072M,13.66M,,,12.36M,,40.39M,,2007-12,0.45,0.45,,2007-12,0.45,0.00,,2007-12,26.91M,2007-12,,Restated
2007-09,339.74M,339.74M,151.38M,188.36M,117.69M,33.14M,,5.43M,,,,,150.83M,37.52M,,,,5.43M,,35.11M,7.137M,27.97M,,,27.97M,14.57M,37.52M,,2007-09,1.05,1.05,,2007-09,1.03,0.00,,2007-09,26.72M,2007-09,,
2007-06,339.11M,339.11M,149.12M,189.99M,119.55M,34.75M,,7.893M,,,,,154.30M,35.69M,,,,7.893M,,35.71M,10.04M,25.67M,,,25.67M,14.46M,35.69M,,2007-06,0.96,0.96,,2007-06,0.95,0.00,,2007-06,26.66M,2007-06,,
2007-03,322.51M,322.51M,143.13M,179.38M,107.75M,32.78M,,6.458M,,,,,140.53M,38.85M,,,,6.458M,,37.44M,10.44M,27.00M,,,27.00M,14.38M,38.85M,,2007-03,1.02,1.02,,2007-03,0.99,0.00,,2007-03,26.58M,2007-03,,
2006-12,343.08M,343.08M,157.52M,185.56M,122.46M,37.43M,,7.141M,,,,,159.89M,25.67M,,,,6.088M,,23.84M,7.196M,16.65M,,,16.65M,15.10M,53.61M,,2006-12,0.63,0.63,,2006-12,0.61,0.00,,2006-12,26.48M,2006-12,,Restated
2006-09,304.76M,304.76M,137.98M,166.79M,105.95M,30.99M,,10.81M,,,,,136.94M,29.85M,,,,10.81M,,32.45M,9.296M,23.15M,,,23.15M,13.86M,29.85M,,2006-09,0.88,0.88,,2006-09,0.86,0.00,,2006-09,26.41M,2006-09,,
2006-06,317.75M,317.75M,133.08M,184.66M,110.47M,30.97M,,6.512M,,,,,141.44M,43.22M,,,,6.512M,,41.86M,9.591M,32.27M,,,32.27M,13.46M,43.22M,,2006-06,1.22,1.22,,2006-06,1.20,0.00,,2006-06,26.34M,2006-06,,
2006-03,308.34M,308.34M,132.81M,175.53M,100.07M,28.09M,,4.531M,,,,,128.16M,47.37M,,,,4.531M,,43.88M,12.68M,31.20M,,,31.20M,12.97M,47.37M,,2006-03,1.19,1.19,,2006-03,1.16,0.00,,2006-03,26.28M,2006-03,,
2005-12,307.29M,307.29M,144.66M,162.62M,109.63M,31.11M,,-4.614M,,,,,140.74M,21.89M,,,,-4.614M,,9.005M,-4.447M,13.45M,0.00,,13.45M,16.42M,21.89M,,2005-12,0.51,0.51,,2005-12,0.50,0.00,,2005-12,26.21M,2005-12,,
2005-09,283.22M,283.22M,126.41M,156.81M,102.74M,28.67M,,3.603M,,,,,131.41M,25.40M,,,,3.603M,,20.79M,4.575M,16.22M,,,16.22M,14.49M,25.40M,,2005-09,0.62,0.62,,2005-09,0.61,0.00,,2005-09,26.12M,2005-09,,
2005-06,291.30M,291.30M,130.66M,160.64M,104.22M,28.50M,,5.611M,,,,,132.72M,27.92M,,,,5.611M,,25.49M,7.101M,18.39M,,,18.39M,14.92M,27.92M,,2005-06,0.71,0.71,,2005-06,0.69,0.00,,2005-06,26.02M,2005-06,,
2005-03,299.17M,299.17M,132.76M,166.41M,99.50M,26.82M,,6.115M,,,,,126.32M,40.08M,,,,6.115M,,38.08M,8.563M,29.52M,3.974M,,33.49M,15.17M,40.08M,,2005-03,1.14,1.29,,2005-03,1.11,0.15,,2005-03,25.91M,2005-03,,
2004-12,307.87M,307.87M,139.53M,168.34M,110.82M,31.88M,,7.015M,,,,,142.71M,25.62M,,,,7.015M,,27.38M,10.27M,17.11M,0.00,,17.11M,18.77M,25.62M,,2004-12,0.67,0.66,,2004-12,0.65,-0.01,,2004-12,25.82M,2004-12,,
2004-09,258.85M,258.85M,116.04M,142.81M,90.18M,26.58M,,-11.94M,,,,,116.76M,26.05M,,,,-11.94M,,9.117M,2.827M,6.29M,,,6.29M,13.85M,26.05M,,2004-09,0.24,0.24,,2004-09,0.24,0.00,,2004-09,25.75M,2004-09,,
2004-06,260.55M,260.55M,110.88M,149.66M,90.20M,25.54M,,0.321M,,,,,115.74M,33.92M,,,,0.321M,,29.32M,9.048M,20.27M,2.592M,,22.86M,12.38M,33.92M,,2004-06,0.79,0.89,,2004-06,0.76,0.10,,2004-06,25.70M,2004-06,,
2004-03,262.75M,262.75M,113.48M,149.26M,87.06M,24.33M,,-1.318M,,,,,111.39M,37.87M,,,,-1.318M,,31.51M,8.886M,22.62M,-0.642M,,21.98M,10.50M,37.87M,,2004-03,0.88,0.86,,2004-03,0.85,-0.02,,2004-03,25.62M,2004-03,,
2003-12,258.10M,258.10M,112.60M,145.50M,87.04M,25.65M,,-0.241M,,,,,112.68M,32.82M,,,,-0.241M,,30.31M,9.164M,18.64M,0.553M,,19.19M,10.84M,32.82M,,2003-12,0.73,0.75,,2003-12,0.71,0.02,,2003-12,25.52M,2003-12,,
2003-09,241.81M,241.81M,106.82M,134.99M,78.22M,23.02M,,-0.988M,,,,,101.24M,33.75M,,,,-0.988M,,14.42M,4.841M,10.03M,-0.374M,,9.66M,10.66M,33.75M,,2003-09,0.39,0.38,,2003-09,0.38,-0.01,,2003-09,25.47M,2003-09,,
2003-06,239.32M,239.32M,104.26M,135.06M,76.95M,21.99M,,0.326M,,,,,98.94M,36.12M,,,,0.326M,,32.75M,10.83M,21.92M,-0.963M,,20.96M,10.60M,36.12M,,2003-06,0.86,0.83,,2003-06,0.83,-0.03,,2003-06,25.39M,2003-06,,
2003-03,245.97M,245.97M,103.26M,142.71M,77.16M,21.39M,,-0.165M,,,,,98.55M,44.17M,,,,-0.165M,,39.35M,12.99M,26.36M,,,26.36M,9.896M,44.17M,,2003-03,1.04,1.04,,2003-03,1.01,0.00,,2003-03,25.28M,2003-03,,
2002-12,215.29M,215.29M,88.37M,126.92M,72.94M,19.75M,,1.39M,,,,,92.70M,34.22M,,,,1.39M,,25.80M,8.896M,16.90M,,,16.24M,,34.22M,,2002-12,0.67,0.64,,2002-12,0.64,-0.03,,2002-12,25.35M,2002-12,,
2002-09,224.88M,224.88M,95.85M,129.03M,73.42M,19.99M,,-2.382M,,,,,93.40M,35.62M,,,,-2.382M,,26.38M,9.763M,16.62M,,,16.62M,10.09M,35.62M,,2002-09,0.66,0.66,,2002-09,0.64,0.00,,2002-09,25.16M,2002-09,,
2002-06,214.66M,214.66M,92.39M,122.27M,69.49M,19.81M,,-1.57M,,,,,89.29M,32.98M,,,,-1.57M,,25.43M,9.198M,16.23M,,,16.23M,8.523M,32.98M,,2002-06,0.65,0.65,,2002-06,0.62,0.00,,2002-06,25.10M,2002-06,,
2002-03,210.18M,210.18M,88.84M,121.34M,65.66M,20.24M,,-2.28M,,,,,85.90M,35.44M,,,,-2.28M,,27.61M,8.835M,18.77M,,,18.77M,8.817M,35.44M,,2002-03,0.75,0.75,,2002-03,0.73,0.00,,2002-03,24.93M,2002-03,,
2001-12,233.38M,233.38M,99.48M,133.90M,77.47M,21.99M,,-7.126M,,,,,99.46M,34.44M,,,,-7.126M,,21.83M,4.829M,17.00M,,,17.00M,10.61M,34.44M,,2001-12,0.685,0.685,,2001-12,0.67,0.00,,2001-12,24.78M,2001-12,,
2001-09,186.10M,186.10M,79.92M,106.19M,67.20M,18.42M,,-3.301M,,,,,85.63M,20.56M,,,,-3.301M,,11.19M,4.139M,7.047M,,,7.047M,10.44M,20.56M,,2001-09,0.285,0.285,,2001-09,0.275,0.00,,2001-09,24.70M,2001-09,,
2001-06,195.35M,195.35M,85.61M,109.74M,65.34M,17.70M,,-2.41M,,,,,83.04M,26.70M,,,,-2.41M,,18.35M,6.789M,11.56M,,,11.56M,9.944M,26.70M,,2001-06,0.47,0.47,,2001-06,0.455,0.00,,2001-06,24.60M,2001-06,,
2001-03,202.67M,202.67M,81.02M,121.65M,62.60M,18.43M,,-10.13M,,,,-10.30M,81.03M,40.62M,,,,-10.13M,,13.60M,5.033M,8.569M,,,8.569M,10.30M,40.62M,,2001-03,0.35,0.35,,2001-03,0.34,0.00,,2001-03,24.51M,2001-03,,
