,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2015-09,507.33M,278.75M,786.08M,341.55M,,341.55M,121.70M,118.89M,272.15M,,512.74M,,,,154.05M,1.794B,,,,,,1.106B,-672.01M,433.82M,503.60M,225.00M,728.60M,663.53M,,46.02M,,2015-09,268.23M,22.62M,,290.85M,,290.85M,,,0.379M,,0.379M,,,,144.01M,435.24M,435.73M,,435.73M,254.64M,,111.06M,801.43M,1.237B,,1.759B,291.87M,0.101M,,,379.38M,2.430B,,2015-09,AOR,Restated
2015-06,450.13M,277.51M,727.65M,354.16M,,354.16M,115.51M,123.94M,261.53M,,500.98M,,,,159.15M,1.742B,,,,,,1.109B,-669.48M,439.64M,514.10M,237.70M,751.80M,541.73M,,50.26M,,2015-06,239.85M,25.24M,,265.08M,,265.08M,,,0.268M,,0.268M,,,,138.54M,403.89M,435.66M,,435.66M,211.96M,,114.93M,762.55M,1.166B,,1.741B,285.74M,0.101M,,,332.05M,2.359B,,2015-06,AOR,Restated
2015-03,425.73M,284.96M,710.69M,342.22M,,342.22M,108.62M,126.44M,243.32M,,478.38M,,,,170.56M,1.702B,,,,,,1.077B,-648.54M,428.30M,503.40M,243.00M,746.40M,400.26M,,49.40M,,2015-03,250.81M,31.93M,,282.74M,,282.74M,,,0.264M,,0.264M,,,,133.88M,416.88M,435.66M,,435.66M,,,275.14M,710.80M,1.128B,,1.713B,278.38M,0.101M,,,207.45M,2.199B,,2015-03,AOR,Restated
2014-12,413.25M,284.38M,697.64M,377.64M,,377.64M,106.03M,131.78M,233.19M,,471.00M,108.35M,0.00,,61.75M,1.716B,0.00,18.16M,282.79M,788.14M,,1.089B,-660.26M,428.84M,500.40M,254.20M,754.60M,389.31M,,52.10M,,2014-12,128.61M,35.16M,,163.77M,153.43M,317.20M,,,0.265M,,0.265M,26.72M,26.72M,,102.58M,446.76M,435.71M,,435.71M,154.92M,,118.74M,709.36M,1.156B,,1.695B,271.35M,0.101M,,,218.94M,2.185B,,2014-12,AOR,Restated
2014-09,424.59M,277.98M,702.58M,354.40M,,354.40M,119.67M,135.52M,260.86M,,516.05M,191.42M,,,,1.764B,,,,,,1.088B,-667.23M,420.90M,513.50M,273.53M,787.03M,364.13M,,49.57M,,2014-09,126.64M,24.40M,,151.04M,197.73M,348.77M,,,1.471M,,1.471M,,,,153.54M,503.78M,435.74M,,435.74M,,,269.77M,705.51M,1.209B,,1.656B,259.86M,0.101M,,,261.04M,2.177B,,2014-09,AOR,Restated
2014-06,384.67M,262.91M,647.58M,378.89M,,378.89M,112.88M,144.75M,263.01M,,520.64M,220.38M,,,,1.767B,,,,,,1.130B,-690.06M,440.33M,535.20M,292.50M,827.70M,382.91M,,49.25M,,2014-06,125.46M,14.51M,,139.97M,139.12M,279.09M,,,1.725M,,1.725M,,13.76M,13.76M,185.68M,480.25M,435.61M,,435.61M,,,301.95M,737.56M,1.218B,,1.644B,254.34M,0.101M,,,351.28M,2.250B,,2014-06,AOR,Restated
2014-03,364.51M,276.83M,641.33M,383.93M,,383.93M,108.55M,145.17M,260.13M,,513.85M,227.70M,,,,1.767B,,,,,,1.106B,-674.93M,430.88M,520.52M,256.44M,776.97M,420.24M,,46.48M,,2014-03,130.86M,32.60M,,163.46M,133.05M,296.51M,,,1.732M,,1.732M,,,,183.01M,481.25M,435.61M,,435.61M,,,291.91M,727.52M,1.209B,,1.613B,247.32M,0.101M,,,372.60M,2.233B,,2014-03,AOR,Restated
2013-12,331.55M,277.37M,608.92M,422.66M,,422.66M,105.71M,129.89M,280.64M,,516.24M,130.64M,,,79.02M,1.757B,0.00,19.07M,284.30M,756.46M,,1.060B,-645.43M,414.40M,517.80M,266.20M,784.00M,377.87M,,55.08M,,2013-12,148.51M,33.56M,,182.06M,160.66M,342.72M,,,1.786M,,1.786M,26.39M,26.39M,,116.57M,487.47M,435.62M,,435.62M,162.11M,,116.87M,714.60M,1.202B,,1.606B,239.99M,0.101M,,,340.72M,2.187B,,2013-12,AOR,Restated
2013-09,291.79M,270.03M,561.82M,383.47M,,383.47M,105.25M,132.11M,286.15M,,523.50M,131.36M,,,74.39M,1.675B,,,,,,1.066B,-640.61M,425.08M,513.70M,276.10M,789.80M,354.73M,,36.30M,,2013-09,131.90M,32.42M,,164.32M,153.08M,317.40M,,,1.705M,,1.705M,,,,143.78M,462.88M,435.54M,,435.54M,,0.00,257.74M,693.28M,1.156B,,1.576B,232.03M,0.101M,,,316.33M,2.124B,,2013-09,AOR,Restated
2013-06,367.00M,467.43M,834.43M,395.97M,,395.97M,101.16M,127.38M,256.12M,,484.67M,187.96M,,,,1.903B,,,,,,1.032B,-613.86M,418.53M,501.50M,277.30M,778.80M,,,382.45M,,2013-06,129.12M,25.90M,,155.02M,138.78M,293.80M,,,1.693M,,1.693M,,,,135.75M,431.24M,732.80M,,732.80M,,0.00,247.84M,980.64M,1.412B,,1.578B,225.78M,0.101M,,,267.39M,2.071B,,2013-06,AOR,Restated
2013-03,368.63M,468.20M,836.83M,377.55M,,377.55M,98.51M,125.38M,243.43M,,467.32M,183.48M,,,,1.865B,,,,,,1.028B,-605.09M,422.70M,502.10M,286.70M,788.80M,,,380.06M,,2013-03,119.34M,32.96M,,152.30M,155.15M,307.44M,,,1.698M,,1.698M,,,,137.60M,446.74M,732.59M,,732.59M,,0.00,246.26M,978.85M,1.426B,,1.543B,218.69M,0.101M,,,269.44M,2.031B,,2013-03,AOR,Restated
2012-12,463.39M,457.68M,921.07M,398.74M,,398.74M,93.01M,124.74M,237.37M,,455.12M,92.49M,,,69.26M,1.937B,0.00,18.90M,268.22M,724.92M,,1.012B,-595.10M,416.94M,495.40M,260.90M,756.30M,293.61M,,39.91M,,2012-12,130.87M,34.78M,,165.65M,165.67M,331.32M,,,1.75M,,1.75M,26.29M,26.29M,,113.04M,472.40M,732.41M,,732.41M,115.05M,0.535M,108.10M,955.56M,1.428B,,1.528B,212.24M,0.101M,,,274.53M,2.015B,,2012-12,AOR,Restated
2012-09,426.46M,427.16M,853.62M,375.80M,,375.80M,93.22M,123.91M,241.30M,,458.43M,157.59M,,,,1.845B,,,,,,974.41M,-576.46M,397.95M,489.36M,268.87M,758.22M,,,301.40M,,2012-09,113.28M,30.40M,,143.68M,22.70M,166.38M,0.306M,,0.306M,,0.306M,,,,137.29M,433.67M,732.23M,,732.23M,,0.60M,201.64M,933.87M,1.368B,,1.482B,204.56M,0.101M,,,248.78M,1.935B,,2012-09,AOR,Restated
2012-06,456.49M,378.77M,835.26M,373.82M,,373.82M,93.71M,122.23M,233.52M,,449.46M,152.54M,,,,1.811B,,,,,,937.72M,-557.07M,380.66M,466.16M,241.34M,707.50M,,,269.67M,,2012-06,119.45M,32.61M,,152.06M,21.44M,173.50M,0.783M,,0.783M,,0.783M,,,,129.46M,417.18M,732.05M,,732.05M,,0.604M,167.16M,899.22M,1.316B,,1.439B,198.49M,0.101M,,,214.24M,1.852B,,2012-06,AOR,Restated
2012-03,533.81M,273.24M,807.05M,387.62M,,387.62M,102.44M,125.81M,235.11M,,463.37M,159.41M,,,,1.817B,,,,,,925.49M,-556.29M,369.20M,480.06M,258.31M,738.37M,,,262.86M,,2012-03,109.57M,50.03M,,159.60M,22.93M,182.54M,0.809M,,0.809M,,0.809M,,,,140.99M,444.08M,731.90M,,731.90M,,0.397M,171.85M,903.75M,1.348B,,1.391B,192.34M,,,,256.39M,1.840B,,2012-03,AOR,Restated
2011-12,574.23M,238.88M,813.12M,398.67M,,398.67M,99.33M,120.19M,213.99M,,433.51M,99.08M,,53.78M,,1.798B,0.00,19.04M,249.62M,613.25M,,881.91M,-532.41M,349.50M,468.90M,259.50M,728.40M,,11.19M,209.53M,,2011-12,129.12M,52.28M,,181.41M,137.78M,319.19M,,,0.814M,,0.814M,24.32M,24.32M,,114.79M,459.12M,731.70M,,731.70M,85.52M,0.445M,76.09M,893.31M,1.352B,,1.360B,185.33M,0.00,,,198.69M,1.744B,,2011-12,AOR,Restated
2011-09,671.03M,239.17M,910.20M,375.03M,,375.03M,101.88M,123.62M,220.08M,,445.58M,146.89M,0.00,,,1.878B,,,,,,862.14M,-523.20M,338.94M,371.23M,180.23M,551.46M,,,201.70M,,2011-09,113.48M,46.37M,,159.84M,21.61M,181.45M,0.806M,,0.806M,,0.806M,,,,112.90M,415.33M,731.60M,,731.60M,,0.497M,129.23M,860.82M,1.276B,,1.301B,179.84M,,,,212.64M,1.693B,,2011-09,AOR,Restated
2011-06,670.30M,215.95M,886.25M,394.91M,,394.91M,99.24M,127.48M,222.62M,,449.34M,159.16M,0.00,,,1.890B,,,,,,875.13M,-526.69M,348.44M,393.12M,201.42M,594.55M,,,211.60M,,2011-06,120.51M,49.37M,,169.89M,26.39M,196.27M,1.363M,,1.363M,,1.363M,,,,122.95M,442.84M,731.33M,,731.33M,,0.081M,144.16M,875.49M,1.318B,,1.255B,174.49M,,,,296.56M,1.726B,,2011-06,AOR,Restated
2011-03,627.91M,163.53M,791.44M,388.55M,,388.55M,96.16M,116.44M,217.38M,,429.98M,180.81M,6.533M,,,1.797B,,,,,,841.90M,-504.28M,337.62M,369.11M,198.66M,567.76M,,,206.07M,,2011-03,111.37M,59.66M,,171.03M,19.04M,190.07M,,,10.27M,,10.27M,,,,110.52M,427.59M,731.21M,,731.21M,,1.196M,136.48M,867.69M,1.295B,,1.215B,167.90M,,,,229.66M,1.612B,,2011-03,AOR,Restated
2010-12,906.55M,118.64M,1.025B,388.00M,,388.00M,82.27M,110.53M,205.30M,,398.10M,109.62M,6.422M,48.02M,,1.975B,0.00,18.46M,232.96M,560.72M,,812.13M,-478.52M,333.62M,363.98M,203.88M,567.86M,,12.98M,172.96M,,2010-12,113.44M,50.94M,,164.38M,23.94M,188.32M,233.18M,,233.18M,,233.18M,,,,113.75M,666.63M,731.10M,,731.10M,59.74M,3.823M,64.78M,855.62M,1.522B,,1.182B,156.99M,,198.02M,,198.02M,1.537B,,2010-12,AOR,Restated
2010-09,630.64M,107.36M,738.00M,368.60M,,368.60M,77.60M,117.30M,208.00M,-0.017M,402.88M,142.22M,,,,1.652B,0.00,18.20M,228.80M,537.10M,0.007M,784.11M,-462.60M,321.51M,351.86M,206.62M,558.48M,,,150.51M,,2010-09,99.12M,52.18M,,151.30M,145.05M,296.34M,,,9.161M,,9.161M,,,,105.19M,410.69M,733.57M,,733.57M,,4.30M,109.80M,843.38M,1.254B,,1.114B,150.14M,,,,159.91M,1.424B,,2010-09,AOR,Restated
2010-06,614.22M,103.49M,717.71M,335.35M,,335.35M,76.50M,113.40M,180.40M,-0.028M,370.27M,132.49M,,,,1.556B,0.00,17.60M,218.00M,501.40M,0.036M,737.04M,-431.10M,305.94M,329.39M,199.92M,529.31M,,,136.05M,,2010-06,95.16M,44.00M,,139.16M,138.29M,277.45M,,,9.75M,,9.75M,,,,102.29M,389.50M,734.34M,,734.34M,,17.60M,100.56M,834.90M,1.224B,,1.069B,140.73M,,,,75.38M,1.285B,,2010-06,AOR,Restated
2010-03,598.13M,93.65M,691.78M,344.99M,,344.99M,78.00M,107.80M,194.90M,0.007M,380.71M,125.81M,,,,1.543B,0.00,17.90M,217.80M,509.20M,0.049M,744.95M,-431.40M,313.55M,335.08M,213.34M,548.43M,,,141.61M,,2010-03,99.16M,41.88M,,141.04M,156.49M,297.53M,,,5.104M,,5.104M,,,,95.53M,398.17M,738.66M,,738.66M,,18.74M,109.12M,847.78M,1.246B,,1.031B,134.94M,,,,116.19M,1.282B,,2010-03,AOR,Restated
2009-12,649.94M,94.88M,744.81M,345.73M,,345.73M,68.16M,97.51M,185.54M,,351.21M,77.82M,0.00,43.10M,,1.563B,0.00,16.85M,204.61M,506.69M,,728.15M,-425.73M,302.42M,327.63M,204.78M,532.40M,,13.27M,125.08M,,2009-12,92.99M,42.32M,,135.31M,46.69M,182.00M,5.132M,,5.132M,,5.132M,,,,106.14M,419.97M,737.92M,,737.92M,42.89M,19.49M,55.86M,836.67M,1.257B,,996.20M,130.44M,,133.08M,,133.08M,1.260B,,2009-12,AOR,Restated
2009-09,554.18M,87.93M,642.11M,350.76M,,350.76M,71.20M,114.30M,198.40M,,383.90M,126.63M,,,,1.503B,0.00,16.92M,202.90M,505.60M,,725.42M,-419.50M,305.92M,327.47M,216.73M,544.20M,,,124.68M,,2009-09,92.38M,53.81M,,146.19M,164.47M,310.66M,,,5.346M,,5.346M,,,,99.69M,415.70M,738.69M,,738.69M,41.22M,19.01M,54.94M,834.84M,1.251B,,958.34M,125.08M,,,,125.24M,1.209B,,2009-09,AOR,Restated
2009-06,533.47M,29.88M,563.36M,335.83M,,335.83M,69.59M,109.20M,198.80M,,377.59M,121.05M,,,,1.398B,0.00,16.60M,198.74M,491.50M,,706.84M,-404.00M,302.84M,318.26M,213.93M,532.20M,,,111.59M,,2009-06,90.85M,,46.49M,137.34M,139.64M,276.98M,,,5.874M,,5.874M,,,,100.76M,383.61M,738.45M,,738.45M,42.42M,17.46M,52.34M,833.21M,1.217B,,919.81M,118.92M,,,,71.45M,1.110B,,2009-06,AOR,Restated
2009-03,192.87M,29.96M,222.83M,326.31M,,326.31M,70.00M,105.10M,193.90M,0.041M,369.04M,131.74M,,,,1.050B,0.00,16.20M,191.50M,466.50M,0.011M,674.21M,-379.60M,294.61M,307.92M,211.24M,519.16M,,,91.61M,,2009-03,95.95M,,36.74M,132.69M,118.92M,251.61M,,,6.253M,,6.253M,,,,98.01M,355.88M,444.21M,,444.21M,39.96M,31.69M,56.96M,541.13M,897.01M,,881.84M,128.38M,,16.39M,,16.39M,1.027B,,2009-03,AOR,Restated
2008-12,204.52M,38.95M,243.47M,339.65M,,339.65M,69.55M,105.01M,201.06M,,375.62M,93.79M,,41.41M,,1.094B,0.00,16.57M,193.32M,466.02M,,675.91M,-375.18M,300.73M,321.82M,228.59M,550.41M,,12.36M,79.82M,,2008-12,117.98M,33.73M,,151.71M,30.87M,182.59M,9.578M,,9.578M,,9.578M,,8.159M,8.159M,98.29M,418.03M,445.98M,,445.98M,42.57M,29.50M,60.04M,548.59M,966.62M,,851.58M,124.40M,,65.16M,,65.16M,1.041B,,2008-12,AOR,Restated
2008-09,193.63M,40.68M,234.31M,348.25M,,348.25M,,,,,383.27M,117.62M,,,,1.083B,,,,,,635.90M,-342.77M,293.13M,325.64M,199.77M,525.41M,,,112.96M,,2008-09,100.63M,,,100.63M,143.24M,243.87M,11.89M,,11.89M,,11.89M,,,,130.06M,385.81M,446.38M,,446.38M,36.53M,35.58M,60.41M,543.31M,929.13M,,859.79M,118.59M,,71.85M,,71.85M,1.050B,,2008-09,,Restated
