,NetIncome,TotalAssets,TotalLiabilities,AverageBasicSharesOutstanding,CashFromOperations,NetCapitalExpenditures
2005-09-30,301,25433,16517,404.3,742,-201
2005-12-31,362,25861,16572,407.481,#N/A N/A,#N/A N/A
2006-03-31,305,26241,16532,412.4,510,-204
2006-06-30,375,26559,16608,413.5,588,-297
2006-09-30,416,25978,16399,402,619,-275
2006-12-31,385,26028,16413,395.952,489,-283
2007-03-31,285,26030,16402,394.2,586,-200
2007-06-30,394,25931,16019,393.7,551,-306
2007-09-30,386,25960,16081,389,674,-284
2007-12-31,399,26144,16417,381.6,522,-427
2008-03-31,291,26465,16717,375.7,604,-301
2008-06-30,453,26414,16422,375.4,454,-309
2008-09-30,520,26717,16671,372.5,1017,-420
2008-12-31,452,26297,16690,365.8,640,-419
2009-03-31,177,26546,16836,366.2,354,-242
2009-06-30,247,26633,16774,366.8,289,-297
2009-09-30,303,27075,17009,367.3,732,-319
2009-12-31,307,27369,17016,367.9,485,-357
2010-03-31,257,27730,17166,369.5,758,-256
2010-06-30,392,27633,16872,369.7,624,-292
2010-09-30,445,28062,17273,366.3,746,-278
2010-12-31,402,28199,17530,360.7,586,-547
2011-03-31,325,27728,17127,355.2,652,-433
2011-06-30,557,28478,17851,351,1048,-435
2011-09-30,554,28311,18056,343.2,1064,-495
2011-12-31,480,28538,18627,332.8,463,-713
2012-03-31,410,29375,19560,328.3,1035,-459
2012-06-30,524,29191,19413,322.7,628,-494
2012-09-30,402,29840,20073,317.7,813,-522
2012-12-31,413,30342,20582,314.8,589,-574
2013-03-31,450,30599,20489,314.5,723,-360
2013-06-30,465,30605,20417,314.1,783,-456
2013-09-30,482,31365,21071,310.4,898,-545
2013-12-31,513,32483,21194,308.7,674,-466
2014-03-31,368,32700,21007,309.5,588,-359
2014-06-30,562,33040,20963,309.5,849,-406
2014-09-30,559,33206,20767,309.4,909,-545
2014-12-31,511,33200,20792,309,569,-694
2015-03-31,310,32775,20617,306.8,631,-376
2015-06-30,433,33310,21233,302.9,842,-478
2015-09-30,452,33527,21398,300.1,735,-880
2015-12-31,361,34139,21951,297.9,700,-588
2016-03-31,387,33785,21562,297.2,879,-386
2016-06-30,405,34334,22061,294.7,553,-506
2016-09-30,460,34632,22236,292.7,880,-325
2016-12-31,416,34892,22483,291.2,722,-540
2017-03-31,433,35145,22618,290.3,846,-403
2017-06-30,497,34922,22260,289,730,-420
2017-09-30,506,35153,22426,287.1,889,-355
2017-12-31,3968,35711,19352,287.8,788,-343
2018-03-31,552,36162,19744,283.5,816,-370
2018-06-30,710,35788,19229,281.3,1010,-418
2018-09-30,702,36322,20842,275.5,1058,-445
2018-12-31,702,36239,20877,271.0425,842,-514
2019-03-31,677,37062,21731,267.1,881,-315
2019-06-30,722,37172,21861,264.8,1071,-450
2019-09-30,657,37500,22262,262.1,1045,-447
2019-12-31,666,37923,22739,261.6,895,-430
2020-03-31,381,37438,22554,257.3,955,-208
2020-06-30,392,37962,23101,255.4,803,-269
2020-09-30,569,38179,23238,254.6,1009,-285
2020-12-31,671,37962,23171,253.2075,870,-399
2021-03-31,673,37937,23294,251.4,1015,-228
