,NetIncome,TotalAssets,TotalLiabilities,AverageBasicSharesOutstanding,CashFromOperations,NetCapitalExpenditures
2008-03-31,276.185,7801.256,2942.08,244.869,212.747,-144.774
2008-06-30,297.089,8129.206,3055.093,244.273,544.256,-152.175
2008-09-30,282.174,7912.943,2977.375,243.863,456.938,-183.856
2008-12-31,312.082,7660.693,2893.722,242.397,265.504,-95.365
2009-03-31,261.274,7575.83,2771.807,240.239,260.25,-127.825
2009-06-30,341.027,8848.987,3637.091,240.109,532.172,-130.878
2009-09-30,317.22,9304.624,4161.912,239.162,658.889,-231.128
2009-12-31,316.376,9094.276,3834.117,237.36,394.52,-110.797
2010-03-31,297.631,8943.392,3793.758,235.325,292.015,-118.8
2010-06-30,306.908,9031.673,3877.796,233.242,507.709,-100.388
2010-09-30,396.695,9650.694,4216.114,231.396,550.024,-200.984
2010-12-31,315.937,10071.27,5193.337,228.083,466.109,-79.842
2011-03-31,312.019,10344.223,5245.162,220.894,241.559,-113.846
2011-06-30,343.058,10620.819,5322.419,218.966,465.635,-127.58
2011-09-30,299.98,10430.428,5602.253,216.726,542.697,-187.732
2011-12-31,262.985,11413.363,6685.809,214.3,314.558,-102.413
2012-03-31,291.033,11195.392,6719.104,206.426,293.553,-112.103
2012-06-30,326.866,11024.864,6790.36,202.015,473.237,-98.965
2012-09-30,289,11361,7225,199.072,678.88,-173.949
2012-12-31,625.436,11629.437,7159.968,196.427,233.45,-80.385
2013-03-31,275.637,11629.923,7041.141,194.609,209.454,-116.948
2013-06-30,301.55,11587.047,6870.527,194.879,392.983,-141.691
2013-09-30,91,12149,7107,194.697,669.113,-182.976
2013-12-31,271,12035,6957,194.203,355,-99
2014-03-31,287,12250,6935,193.609,413,-115
2014-06-30,326,12374,6996,193.054,1207,-339
2014-09-30,301,12447,7394,192.332,539,-253
2014-12-31,236,18504,13435,192.844,286,-105
2015-03-31,216,28293,21134,196.085,228,-147
2015-06-30,62,27079,19827,210.175,539,-135
2015-09-30,181,26478,19314,210.985,678,-209
2015-12-31,229,26046,18823,211.689,463,-134
2016-03-31,338,26236,18570,212.469,557,-124
2016-06-30,390,26016,17983,213.083,834,-147
2016-09-30,19,25586,17953,213.571,705,-288
2016-12-31,562,24318,16735,213.064,315,-112
2017-03-31,344,24121,16158,213.583,725,-160
2017-06-30,-132,37166,24579,220.807,384,-195
2017-09-30,327,37734,24786,228.218,1126,-260
2017-12-31,-136,55363,34116,230.038,321,-178
2018-03-31,-12,54573,33420,267.341,696,-213
2018-06-30,594,53977,32620,267.836,542,-197
2018-09-30,-135,53904,32910,268.201,1306,-307
2018-12-31,599,52932,31529,269.035,245,-167
2019-03-31,20,52598,31289,269.882,782,-195
2019-06-30,451,52233,30736,270.249,932,-237
2019-09-30,163,51765,30684,270.61,1371,-358
2019-12-31,278,51952,30750,271.102,712,-173
2020-03-31,183,53516,32565,272.014,484,-222
2020-06-30,286,53959,29937,282.385,862,-202
2020-09-30,128,54012,30247,290.348,1481,-213
2020-12-31,1003,54748,30085,290.59,1534,-246
2021-03-31,299,54921,30094,291.095,1187,-253
