,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,10.13B,19.26B,29.40B,3.504B,,3.504B,303.00M,1.702B,1.058B,3.063B,,2.008B,37.97B,,,,,,,,,4.922B,14.72B,8.443B,23.17B,,1.625B,29.71B,67.68B,,1.026B,,,1.026B,5.891B,6.917B,,,,4.288B,4.288B,,11.20B,30.21B,30.21B,1.155B,1.155B,1.443B,41.57B,52.78B,,31.05B,-15.27B,,,,-873.00M,14.91B,,AOR,Restated
2018-03,9.741B,22.43B,32.17B,3.633B,,3.633B,275.00M,1.627B,1.05B,2.952B,,1.932B,40.69B,,,,,,,,,4.943B,14.77B,8.779B,23.55B,,1.982B,30.48B,71.16B,,1.089B,,,1.089B,7.207B,8.296B,,,,2.183B,2.183B,,10.48B,33.36B,33.36B,1.215B,1.215B,1.326B,45.06B,55.54B,,31.00B,-14.39B,,,,-994.00M,15.62B,,AOR,Restated
2017-12,3.80B,37.88B,41.68B,3.237B,,3.237B,232.00M,1.668B,934.00M,2.834B,,1.727B,49.48B,0.00,283.00M,3.507B,4.701B,3.254B,834.00M,12.58B,-7.59B,4.989B,14.76B,8.609B,23.37B,,2.119B,30.48B,79.95B,,1.352B,953.00M,,2.305B,4.747B,7.052B,,,,1.152B,1.152B,,9.02B,34.19B,34.19B,1.166B,1.166B,1.238B,45.69B,54.71B,,30.99B,-5.072B,,,,-679.00M,25.24B,,AOR,Restated
2017-09,3.00B,38.35B,41.35B,3.404B,,3.404B,318.00M,1.597B,1.012B,2.927B,,2.07B,49.75B,,,,,,,,,4.914B,14.78B,8.873B,23.65B,,2.016B,30.58B,80.33B,,879.00M,,,879.00M,5.315B,6.194B,,,,1.999B,1.999B,,8.193B,33.78B,33.78B,2.131B,2.131B,1.268B,39.91B,48.10B,,30.90B,1.774B,,,,-443.00M,32.23B,,AOR,Restated
2017-06,2.629B,36.60B,39.23B,3.56B,,3.56B,237.00M,1.618B,1.106B,2.961B,,2.694B,48.44B,,,,,,,,,4.98B,14.77B,9.561B,24.33B,,1.838B,31.14B,79.59B,,883.00M,,,883.00M,5.473B,6.356B,,,,1.459B,1.459B,,7.815B,33.60B,33.60B,2.299B,2.299B,1.543B,40.05B,47.86B,,30.79B,1.378B,,,,-449.00M,31.72B,,AOR,Restated
2017-03,3.358B,35.04B,38.40B,3.248B,,3.248B,216.00M,1.496B,1.159B,2.871B,,1.939B,46.46B,,,,,,,,,4.96B,14.76B,9.922B,24.68B,,1.767B,31.41B,77.86B,,902.00M,,,902.00M,5.822B,6.724B,,,,3.799B,3.799B,,10.52B,30.29B,30.29B,2.37B,2.37B,1.497B,36.70B,47.22B,,30.77B,233.00M,,,,-362.00M,30.64B,,AOR,Restated
2016-12,3.241B,34.84B,38.08B,3.165B,,3.165B,225.00M,1.608B,912.00M,2.745B,,2.015B,46.01B,0.00,295.00M,3.64B,3.367B,4.38B,745.00M,12.43B,-7.466B,4.961B,14.75B,10.28B,25.03B,,1.625B,31.62B,77.63B,,917.00M,849.00M,,1.766B,4.115B,5.881B,,,,4.403B,4.403B,,11.20B,30.19B,30.19B,2.436B,2.436B,1.499B,36.55B,47.75B,,30.78B,-438.00M,,,,-471.00M,29.88B,,AOR,Restated
2016-09,3.485B,34.50B,37.98B,3.186B,,3.186B,220.00M,1.356B,1.105B,2.681B,,1.997B,45.84B,,,,,,,,,4.912B,14.80B,10.69B,25.49B,,1.902B,32.31B,78.15B,,825.00M,,,825.00M,4.92B,5.745B,,,,4.797B,4.797B,,10.54B,30.53B,30.53B,2.412B,2.412B,3.897B,36.84B,47.38B,,30.69B,221.00M,,,,-139.00M,30.77B,,AOR,Restated
2016-06,2.63B,32.40B,35.03B,3.078B,,3.078B,205.00M,1.51B,956.00M,2.671B,,2.164B,42.95B,,,,,,,,,4.884B,14.80B,11.07B,25.87B,,1.773B,32.52B,75.47B,,870.00M,,,870.00M,4.666B,5.536B,,,,5.294B,5.294B,,10.83B,27.93B,27.93B,2.598B,2.598B,3.982B,34.51B,45.34B,,30.60B,-356.00M,,,,-106.00M,30.13B,,AOR,Restated
2016-03,2.896B,31.84B,34.74B,3.078B,,3.078B,206.00M,1.583B,783.00M,2.572B,,1.816B,42.21B,,,,,,,,,4.885B,14.80B,11.45B,26.25B,,1.773B,32.91B,75.12B,,818.00M,,,818.00M,5.458B,6.276B,,,,2.247B,2.247B,,8.523B,32.06B,32.06B,2.202B,2.202B,3.649B,37.91B,46.43B,,30.59B,-1.638B,,,,-268.00M,28.68B,,AOR,Restated
2015-12,4.144B,27.24B,31.38B,2.995B,,2.995B,201.00M,1.529B,705.00M,2.435B,,1.703B,38.52B,0.00,319.00M,3.638B,3.191B,4.278B,746.00M,12.17B,-7.265B,4.907B,14.79B,11.64B,26.43B,,1.599B,32.93B,71.45B,,965.00M,754.00M,,1.719B,3.782B,5.501B,,,,2.247B,2.247B,,8.664B,29.18B,29.18B,2.239B,2.239B,1.308B,34.70B,43.37B,,30.65B,-2.086B,,,,-480.00M,28.08B,,AOR,Restated
2015-09,3.226B,27.89B,31.12B,2.901B,,2.901B,221.00M,1.348B,962.00M,2.531B,,2.292B,38.84B,,,,,,,,,4.988B,14.67B,11.61B,26.29B,,1.75B,33.02B,71.87B,,1.067B,,,1.067B,4.848B,5.915B,,,,1.25B,1.25B,,7.165B,30.51B,30.51B,3.109B,3.109B,3.117B,36.74B,43.90B,,30.56B,-2.352B,,,,-237.00M,27.97B,,AOR,Restated
2015-06,3.795B,26.20B,29.99B,2.779B,,2.779B,221.00M,1.32B,1.026B,2.567B,,2.397B,37.74B,,,,,,,,,5.05B,14.72B,11.99B,26.71B,,1.712B,33.47B,71.21B,,934.00M,,,934.00M,4.707B,5.641B,,,,1.25B,1.25B,,6.891B,30.70B,30.70B,3.227B,3.227B,2.905B,36.83B,43.72B,,30.46B,-2.912B,,,,-68.00M,27.48B,,AOR,Restated
2015-03,2.864B,24.25B,27.12B,2.548B,,2.548B,212.00M,1.282B,1.192B,2.686B,,2.712B,35.06B,,,,,,,,,5.123B,14.72B,12.26B,26.99B,,1.779B,33.89B,68.95B,,888.00M,,,888.00M,4.948B,5.836B,,,,500.00M,500.00M,,6.336B,29.84B,29.84B,3.33B,3.33B,2.939B,36.11B,42.45B,,30.42B,-4.051B,,,,137.00M,26.51B,,AOR,Restated
2014-12,3.731B,23.30B,27.03B,2.546B,,2.546B,198.00M,1.551B,898.00M,2.647B,,2.494B,34.71B,0.00,398.00M,3.612B,2.951B,4.112B,1.183B,12.26B,-7.033B,5.223B,14.79B,12.69B,27.48B,,1.592B,34.30B,69.01B,,995.00M,601.00M,,1.596B,3.992B,5.588B,,,,500.00M,500.00M,,7.008B,30.22B,30.22B,3.461B,3.461B,2.547B,36.22B,43.23B,,30.41B,-4.624B,,,,-8.00M,25.78B,,AOR,Restated
2014-09,3.677B,24.40B,28.08B,2.355B,,2.355B,207.00M,1.69B,988.00M,2.885B,,2.733B,36.05B,,,,,,,,,5.267B,14.82B,13.10B,27.92B,0.00,1.545B,34.73B,70.78B,,955.00M,,,955.00M,5.096B,6.051B,,,,2.50B,2.50B,,8.551B,30.48B,30.48B,,,6.419B,36.90B,45.45B,,30.13B,-4.698B,,,,-104.00M,25.32B,,AOR,Restated
2014-06,4.352B,21.84B,26.19B,2.697B,,2.697B,202.00M,1.836B,916.00M,2.954B,,2.489B,34.33B,,,,,,,,,5.371B,14.84B,13.50B,28.34B,0.00,1.492B,35.21B,69.53B,,982.00M,,,982.00M,4.384B,5.366B,,,,2.50B,2.50B,,7.866B,30.83B,30.83B,,,6.458B,37.29B,45.15B,,29.98B,-5.476B,,,,-123.00M,24.38B,,AOR,Restated
2014-03,3.687B,16.12B,19.80B,2.514B,,2.514B,212.00M,1.885B,869.00M,2.966B,,3.02B,28.30B,,,,,,,,,5.365B,14.83B,13.57B,28.40B,3.414B,1.525B,38.70B,67.00B,,949.00M,,,949.00M,4.749B,5.698B,,,,2.505B,2.505B,,8.203B,29.52B,29.52B,,,6.541B,36.06B,44.26B,,29.89B,-7.023B,,,,-126.00M,22.74B,,AOR,Restated
2013-12,3.805B,15.60B,19.40B,2.697B,,2.697B,217.00M,2.064B,738.00M,3.019B,,2.25B,27.37B,0.00,408.00M,3.467B,3.189B,4.107B,1.12B,12.29B,-6.942B,5.349B,14.97B,13.26B,28.23B,3.412B,1.767B,38.76B,66.12B,,787.00M,460.00M,,1.247B,3.192B,4.439B,,,,2.505B,2.505B,,7.947B,29.62B,29.62B,3.498B,3.498B,2.961B,36.08B,44.03B,,29.89B,-7.634B,,,,-161.00M,22.10B,,AOR,Restated
2013-09,8.281B,14.28B,22.56B,2.67B,560.00M,3.23B,218.00M,1.807B,813.00M,2.838B,,2.049B,30.68B,,,,,,,,,5.283B,12.57B,3.682B,16.25B,3.411B,1.45B,26.40B,57.07B,,895.00M,,,895.00M,3.937B,4.832B,,,,11.00M,11.00M,,4.843B,27.18B,27.18B,,,3.324B,30.50B,35.34B,,29.66B,-7.84B,,,,-97.00M,21.73B,,AOR,Restated
2013-06,5.806B,16.21B,22.02B,2.674B,,2.674B,204.00M,1.706B,863.00M,2.773B,,2.208B,29.67B,,,,,,,,,5.293B,12.58B,3.776B,16.35B,,1.29B,22.94B,52.61B,,1.006B,,,1.006B,3.771B,4.777B,,,,7.00M,7.00M,,4.784B,23.91B,23.91B,,,3.324B,27.23B,32.02B,,29.52B,-8.854B,,,,-71.00M,20.59B,,AOR,Restated
2013-03,2.53B,18.74B,21.27B,2.528B,,2.528B,215.00M,1.646B,876.00M,2.737B,,2.159B,28.70B,,,,,,,,,5.296B,12.60B,3.897B,16.50B,,1.148B,22.94B,51.64B,,940.00M,,,940.00M,4.195B,5.135B,,,,7.00M,7.00M,,5.142B,23.88B,23.88B,,,3.122B,27.01B,32.15B,,29.46B,-10.11B,,,,137.00M,19.49B,,AOR,Restated
2012-12,3.257B,20.80B,24.06B,2.518B,,2.518B,192.00M,1.723B,829.00M,2.744B,,1.886B,31.21B,0.00,412.00M,3.51B,3.063B,3.891B,1.071B,11.95B,-6.621B,5.326B,12.66B,3.968B,16.63B,0.00,1.133B,23.09B,54.30B,,905.00M,355.00M,,1.26B,3.426B,4.686B,,,,2.495B,2.495B,,8.191B,24.03B,24.03B,,,3.013B,27.05B,35.24B,,29.34B,-10.42B,,,,146.00M,19.06B,,AOR,Restated
2012-09,5.823B,19.55B,25.37B,2.696B,,2.696B,198.00M,1.755B,816.00M,2.769B,,1.766B,32.60B,,,,,,,11.78B,-6.40B,5.381B,12.59B,3.68B,16.27B,,1.193B,22.84B,55.45B,,878.00M,,,878.00M,5.031B,5.909B,,,,2.458B,2.458B,,8.367B,24.02B,24.02B,,,3.159B,27.18B,35.55B,,29.10B,-9.348B,,,,147.00M,19.90B,,AOR,Restated
2012-06,5.849B,16.63B,22.48B,2.708B,,2.708B,201.00M,1.639B,752.00M,2.592B,,1.787B,29.56B,,,,,,,11.64B,-6.20B,5.437B,12.43B,10.67B,23.09B,,,22.66B,52.23B,,884.00M,,,884.00M,4.732B,5.616B,,,,2.416B,2.416B,,8.032B,21.96B,21.96B,,,2.993B,24.96B,32.99B,,28.47B,-9.38B,,,,151.00M,19.24B,,AOR,Restated
2012-03,4.207B,15.17B,19.37B,2.988B,,2.988B,191.00M,1.597B,711.00M,2.499B,,1.994B,26.86B,,,,,,,11.29B,-5.90B,5.392B,12.12B,10.52B,22.64B,,,22.40B,49.25B,,891.00M,,,891.00M,5.026B,5.917B,,,,2.381B,2.381B,,8.298B,19.03B,19.03B,,,3.05B,22.08B,30.38B,,28.21B,-9.444B,,,,106.00M,18.87B,,AOR,Restated
2011-12,6.946B,13.70B,20.64B,2.896B,,2.896B,158.00M,1.802B,524.00M,2.484B,,1.572B,27.59B,0.00,366.00M,3.463B,2.913B,3.745B,744.00M,11.23B,-5.811B,5.42B,11.75B,2.584B,14.33B,,1.524B,21.28B,48.87B,,642.00M,,,642.00M,4.112B,4.754B,,,,84.00M,84.00M,,5.754B,21.34B,21.34B,,,2.744B,24.09B,29.84B,,27.78B,-8.919B,,,,171.00M,19.03B,,AOR,Restated
2011-09,3.891B,13.78B,17.68B,2.725B,,2.725B,155.00M,1.72B,482.00M,2.357B,,1.672B,24.43B,,,,,,,10.99B,-5.60B,5.391B,11.77B,2.683B,14.45B,,1.493B,21.34B,45.76B,,734.00M,,,734.00M,4.197B,4.931B,,300.00M,84.00M,384.00M,384.00M,,5.315B,13.88B,13.88B,,,3.016B,16.90B,22.21B,,27.60B,-4.167B,,,,118.00M,23.55B,,AOR,Restated
2011-06,5.998B,13.17B,19.17B,2.713B,,2.713B,157.00M,1.553B,520.00M,2.23B,,1.366B,25.48B,,,,,,,11.02B,-5.50B,5.516B,11.79B,2.782B,14.58B,,1.363B,21.46B,46.94B,,870.00M,,,870.00M,3.629B,4.499B,83.00M,,,83.00M,83.00M,,4.582B,13.85B,13.85B,,,2.893B,16.74B,21.32B,,27.51B,-1.945B,,,,45.00M,25.61B,,AOR,Restated
2011-03,1.266B,14.09B,15.36B,2.517B,,2.517B,135.00M,1.445B,518.00M,2.098B,,1.716B,21.69B,,,,,,,10.76B,-5.30B,5.455B,11.50B,2.808B,14.31B,,1.258B,21.02B,42.71B,,832.00M,,,832.00M,3.334B,4.166B,83.00M,,,83.00M,83.00M,,4.249B,10.82B,10.82B,,,2.657B,13.48B,17.73B,,27.38B,-2.383B,,,,-9.00M,24.98B,,AOR,Restated
2010-12,3.287B,14.14B,17.42B,2.335B,,2.335B,128.00M,1.382B,512.00M,2.022B,,1.35B,23.13B,0.00,361.00M,3.392B,2.757B,3.547B,631.00M,10.69B,-5.166B,5.522B,11.33B,2.23B,13.56B,,1.271B,20.36B,43.49B,,716.00M,,,716.00M,2.602B,3.318B,,,,2.488B,2.488B,,6.57B,10.87B,10.87B,,,2.098B,12.97B,19.54B,,27.30B,-3.508B,,,,153.00M,23.94B,,AOR,Restated
2010-06,1.712B,12.81B,14.52B,2.208B,,2.208B,127.00M,1.521B,464.00M,2.112B,,1.321B,20.16B,,,,,,,10.53B,-4.90B,5.63B,11.33B,2.421B,13.76B,,1.251B,20.64B,40.80B,,722.00M,,,722.00M,2.856B,3.578B,2.414B,,,2.414B,2.414B,,5.992B,9.318B,9.318B,,,2.32B,11.64B,17.63B,,27.12B,-4.266B,,,,317.00M,23.17B,,AOR,Restated
2010-03,2.266B,11.85B,14.12B,2.271B,,2.271B,118.00M,1.573B,511.00M,2.202B,,1.219B,19.81B,,,,,,,10.42B,-4.80B,5.619B,11.34B,2.462B,13.80B,,1.141B,20.56B,40.37B,,882.00M,,,882.00M,3.302B,4.184B,2.378B,,,2.378B,2.378B,,6.562B,9.286B,9.286B,,,2.179B,11.46B,18.03B,,27.03B,-4.852B,,,,160.00M,22.34B,,AOR,Restated
2009-12,2.884B,10.56B,13.44B,2.109B,,2.109B,97.00M,1.683B,440.00M,2.22B,,1.161B,18.93B,0.00,450.00M,3.293B,5.723B,,910.00M,10.38B,-4.638B,5.738B,11.34B,7.868B,19.20B,,,20.70B,39.63B,,574.00M,,,574.00M,3.299B,3.873B,0.00,,,0.00,0.00,,3.873B,10.60B,10.60B,,,2.488B,13.09B,16.96B,,26.94B,-4.322B,,,,45.00M,22.67B,,AOR,Restated
2009-09,3.577B,10.44B,14.01B,2.331B,,2.331B,109.00M,1.565B,481.00M,2.155B,,1.475B,19.97B,,,,,,,10.24B,-4.50B,5.743B,11.34B,2.674B,14.01B,,1.214B,20.97B,40.94B,,613.00M,,,613.00M,3.29B,3.903B,,,,1.00B,1.00B,,4.903B,10.54B,10.54B,,,2.643B,13.18B,18.08B,,26.85B,-4.042B,,,,47.00M,22.86B,,AOR,Restated
2009-06,2.968B,8.997B,11.96B,2.182B,,2.182B,121.00M,1.371B,569.00M,2.061B,,1.488B,17.70B,,,,,,,10.20B,-4.40B,5.80B,11.34B,2.78B,14.12B,,1.225B,21.14B,38.84B,,635.00M,,,635.00M,2.913B,3.548B,,,,1.00B,1.00B,,4.548B,10.47B,10.47B,,,2.461B,12.93B,17.48B,,26.72B,-5.423B,,,,63.00M,21.36B,,AOR,Restated
2009-03,2.777B,7.601B,10.38B,2.009B,,2.009B,120.00M,1.417B,543.00M,2.08B,,1.609B,16.08B,,,,,,,10.10B,-4.30B,5.804B,11.34B,2.882B,14.22B,,1.282B,21.30B,37.38B,,687.00M,,,687.00M,2.986B,3.673B,,,,1.00B,1.00B,,4.673B,10.41B,10.41B,,,2.332B,12.74B,17.41B,,26.53B,-6.659B,,,,100.00M,19.97B,,AOR,Restated
2008-12,1.774B,7.778B,9.552B,2.073B,,2.073B,112.00M,1.519B,444.00M,2.075B,,1.521B,15.22B,0.00,456.00M,3.205B,5.508B,,826.00M,9.995B,-4.116B,5.879B,11.34B,2.988B,14.33B,,1.016B,21.22B,36.44B,,504.00M,,,504.00M,3.382B,3.886B,,,,1.00B,1.00B,,4.886B,9.176B,9.176B,,,1.995B,11.17B,16.06B,,25.53B,-5.258B,,25.00M,92.00M,117.00M,20.39B,,,Restated
2008-09,2.522B,7.235B,9.757B,2.114B,,2.114B,139.00M,1.434B,431.00M,2.004B,,1.745B,15.62B,,,,,,,9.532B,-3.56B,5.972B,11.34B,3.095B,14.44B,,971.00M,21.38B,37.00B,,538.00M,,,538.00M,3.413B,3.951B,,,,1.00B,1.00B,,4.951B,10.18B,10.18B,346.00M,346.00M,1.693B,12.22B,17.17B,,25.35B,-5.519B,,,,3.00M,19.83B,,,
2008-06,3.392B,5.091B,8.483B,2.331B,,2.331B,152.00M,1.382B,600.00M,2.134B,,1.579B,14.53B,,,,,,,9.528B,-3.56B,5.968B,11.34B,3.176B,14.51B,,1.052B,21.53B,36.06B,,764.00M,,,764.00M,3.665B,4.429B,,,,1.00B,1.00B,,5.429B,10.18B,10.18B,381.00M,381.00M,1.543B,12.10B,17.53B,,25.20B,-6.653B,,,,-13.00M,18.53B,,,
2008-03,4.324B,4.323B,8.647B,2.224B,,2.224B,176.00M,1.217B,698.00M,2.091B,,1.565B,14.53B,,,,,,,9.509B,-3.56B,5.949B,11.35B,3.271B,14.62B,,1.034B,21.60B,36.13B,,522.00M,,,522.00M,3.432B,3.954B,,,,2.00B,2.00B,,5.954B,9.177B,9.177B,381.00M,381.00M,1.529B,11.09B,17.04B,,25.09B,-6.031B,,,,30.00M,19.09B,,,
2007-12,2.024B,5.127B,7.151B,2.101B,,2.101B,173.00M,1.246B,672.00M,2.091B,,1.698B,13.04B,0.00,451.00M,3.102B,5.055B,,893.00M,9.501B,-3.56B,5.941B,11.24B,3.332B,14.57B,,1.085B,21.60B,34.64B,,378.00M,,,378.00M,3.801B,4.179B,,,,2.00B,2.00B,,6.179B,9.177B,9.177B,480.00M,480.00M,934.00M,10.59B,16.77B,,24.98B,-7.16B,,59.00M,-6.00M,53.00M,17.87B,,,
2007-09,1.389B,4.561B,5.95B,2.154B,,2.154B,184.00M,1.228B,664.00M,2.076B,,1.526B,11.71B,,,,,,,8.689B,-2.767B,5.922B,11.31B,3.445B,14.76B,,1.065B,21.75B,33.45B,,438.00M,,,438.00M,3.654B,4.092B,,,,136.00M,136.00M,,4.228B,11.18B,11.18B,294.00M,294.00M,848.00M,12.32B,16.55B,,24.81B,-7.894B,,,,-7.00M,16.90B,,,
2007-06,1.727B,3.579B,5.306B,2.163B,,2.163B,231.00M,1.359B,616.00M,2.206B,,1.521B,11.20B,,,,,,,8.737B,-2.767B,5.97B,11.26B,3.539B,14.80B,,1.001B,21.78B,32.97B,,542.00M,,,542.00M,3.587B,4.129B,,,,100.00M,100.00M,,4.229B,11.21B,11.21B,413.00M,413.00M,648.00M,12.27B,16.50B,,24.58B,-8.093B,,,,-14.00M,16.47B,,,
2007-03,1.067B,3.77B,4.837B,2.157B,,2.157B,227.00M,1.259B,629.00M,2.115B,,1.418B,10.53B,,,,,,,8.794B,-2.767B,6.027B,11.27B,3.643B,14.91B,,1.104B,22.04B,32.57B,,601.00M,,,601.00M,3.906B,4.507B,,,,100.00M,100.00M,,4.607B,7.214B,7.214B,466.00M,466.00M,568.00M,8.248B,12.86B,,24.34B,-4.638B,,,,18.00M,19.72B,,,
2006-12,1.283B,4.994B,6.277B,2.124B,,2.124B,205.00M,1.09B,608.00M,1.903B,,1.408B,11.71B,0.00,398.00M,2.776B,4.243B,,1.271B,8.688B,-2.767B,5.921B,11.30B,3.747B,15.05B,,1.106B,22.08B,33.79B,,555.00M,,,555.00M,4.589B,5.144B,1.778B,,100.00M,1.878B,1.878B,,7.022B,7.134B,7.134B,367.00M,367.00M,301.00M,7.802B,14.82B,,24.16B,-5.203B,,45.00M,-33.00M,12.00M,18.96B,,,
