,NetIncome,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2014-03,1.073B,,,518.00M,518.00M,,87.00M,-8.00M,180.00M,-3.00M,44.00M,,,-749.00M,-528.00M,1.142B,,-172.00M,,-172.00M,,-104.00M,-116.00M,-373.00M,-765.00M,,-125.00M,,-125.00M,,0.00,0.00,-460.00M,-460.00M,38.00M,52.00M,-495.00M,,3.805B,-118.00M,3.687B,,,,-125.00M,0.00,,AOR,Restated
2013-12,1.021B,,,444.00M,444.00M,-235.00M,99.00M,30.00M,94.00M,64.00M,211.00M,,,107.00M,476.00M,1.835B,,-201.00M,,-181.00M,,-9.434B,-463.00M,-40.00M,-10.12B,,4.109B,,4.109B,,0.00,0.00,-354.00M,-354.00M,28.00M,24.00M,3.807B,,8.281B,-4.476B,3.805B,,,4.98B,-871.00M,0.00,,AOR,Restated
2013-09,1.368B,,,288.00M,288.00M,46.00M,100.00M,-62.00M,1.00M,-37.00M,-2.00M,,,105.00M,67.00M,1.807B,,-175.00M,,-175.00M,0.00,0.00,-1.424B,-520.00M,-2.119B,,3.074B,,3.074B,,0.00,0.00,-354.00M,-354.00M,56.00M,11.00M,2.787B,,5.806B,2.475B,8.281B,,,3.074B,0.00,0.00,,AOR,Restated
2013-06,1.258B,,,277.00M,277.00M,,112.00M,173.00M,-152.00M,-22.00M,-104.00M,,,58.00M,-220.00M,1.60B,,-159.00M,,-159.00M,,0.00,2.162B,-44.00M,1.959B,,0.00,,0.00,,0.00,0.00,-354.00M,-354.00M,119.00M,-48.00M,-283.00M,,2.53B,3.276B,5.806B,,,0.00,0.00,0.00,,AOR,Restated
2013-03,1.434B,,,277.00M,277.00M,,92.00M,-38.00M,19.00M,-12.00M,-371.00M,,,-352.00M,-716.00M,1.049B,,-158.00M,,-158.00M,,0.00,1.973B,-6.00M,1.809B,,-2.50B,,-2.50B,,-832.00M,-832.00M,-353.00M,-353.00M,93.00M,7.00M,-3.585B,,3.257B,-727.00M,2.53B,,,,-2.50B,-832.00M,,AOR,Restated
2012-12,788.00M,,,273.00M,273.00M,,91.00M,-2.00M,150.00M,25.00M,-636.00M,,,-83.00M,-544.00M,812.00M,,-225.00M,,-200.00M,,-400.00M,-1.433B,27.00M,-2.031B,,-21.00M,,-21.00M,,-1.217B,-1.217B,-274.00M,-274.00M,159.00M,6.00M,-1.347B,,5.823B,-2.566B,3.257B,,,0.00,-21.00M,-1.217B,,AOR,Restated
2012-09,1.107B,,,287.00M,287.00M,,91.00M,67.00M,11.00M,-107.00M,-27.00M,,,294.00M,171.00M,1.723B,,-173.00M,,-173.00M,,-319.00M,-2.742B,61.00M,-3.173B,,1.954B,,1.954B,,-810.00M,-810.00M,-279.00M,-279.00M,545.00M,14.00M,1.424B,,5.849B,-26.00M,5.823B,,,1.954B,0.00,-810.00M,,AOR,Restated
2012-06,1.266B,,,269.00M,269.00M,,105.00M,-206.00M,279.00M,-52.00M,-35.00M,,,749.00M,941.00M,2.375B,,-172.00M,,-172.00M,,-702.00M,-1.467B,-99.00M,-2.44B,,2.961B,,2.961B,,-1.205B,-1.205B,-280.00M,-280.00M,210.00M,21.00M,1.707B,,4.207B,1.642B,5.849B,,,2.979B,-18.00M,-1.205B,,AOR,Restated
2012-03,1.184B,,,259.00M,259.00M,,75.00M,67.00M,-92.00M,-16.00M,166.00M,,,-671.00M,-613.00M,972.00M,,-144.00M,,-144.00M,,-969.00M,-1.233B,,-2.346B,,-84.00M,,-84.00M,,-1.375B,-1.375B,-285.00M,-285.00M,374.00M,5.00M,-1.365B,,6.946B,-2.739B,4.207B,,,,-84.00M,-1.375B,,AOR,Restated
2011-12,3.683B,,,261.00M,261.00M,,96.00M,-2.717B,-171.00M,-110.00M,999.00M,,,-135.00M,583.00M,1.584B,,-224.00M,,-224.00M,,0.00,-30.00M,34.00M,-220.00M,,7.414B,-300.00M,7.114B,-126.00M,-5.298B,-5.424B,,-245.00M,,4.00M,1.691B,,3.891B,3.055B,6.946B,,-126.00M,7.876B,-762.00M,-5.298B,,AOR,Restated
