,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2016-12,1.883B,1.883B,955.00M,928.00M,322.00M,322.00M,142.00M,30.00M,23.00M,-80.00M,56.00M,8.00M,-48.00M,,494.00M,434.00M,8.00M,56.00M,-48.00M,-24.00M,-48.00M,362.00M,118.00M,244.00M,,-1.00M,243.00M,295.57M,493.00M,75.00M,418.00M,1.47,0.0,1.788,1.47,1.43,0.0,1.739,1.43,165.40M,170.40M,0.47
2016-09,1.532B,1.532B,770.00M,762.00M,247.00M,247.00M,137.00M,31.00M,2.00M,-8.00M,58.00M,4.00M,-54.00M,,415.00M,347.00M,4.00M,58.00M,-54.00M,3.00M,-54.00M,293.00M,100.00M,193.00M,,-1.00M,192.00M,195.30M,427.00M,76.00M,351.00M,1.15,,1.17,1.15,1.13,,1.149,1.13,166.30M,169.60M,0.41
2016-06,1.43B,1.43B,754.00M,676.00M,240.00M,240.00M,138.00M,38.00M,,-36.00M,59.00M,5.00M,-54.00M,,416.00M,260.00M,5.00M,59.00M,-54.00M,-39.00M,-54.00M,167.00M,59.00M,108.00M,,-1.00M,107.00M,132.35M,308.00M,82.00M,226.00M,0.62,,0.7675,0.62,0.61,,0.755,0.61,171.90M,174.80M,0.41
2016-03,1.193B,1.193B,691.00M,502.00M,234.00M,234.00M,135.00M,13.00M,,-20.00M,53.00M,4.00M,-49.00M,,382.00M,120.00M,4.00M,53.00M,-49.00M,-49.00M,-49.00M,22.00M,5.00M,17.00M,,0.00,17.00M,54.73M,137.00M,62.00M,75.00M,0.1,,0.3162,0.1,0.1,,0.3132,0.1,174.50M,177.00M,0.41
2015-12,1.682B,1.682B,844.00M,838.00M,252.00M,252.00M,152.00M,2.00M,40.00M,-46.00M,54.00M,3.00M,-51.00M,,406.00M,432.00M,3.00M,54.00M,-51.00M,-4.00M,-51.00M,377.00M,99.00M,278.00M,2.00M,-1.00M,279.00M,285.11M,468.00M,37.00M,431.00M,1.58,0.02,1.626,1.6,1.56,0.01,1.605,1.57,176.80M,179.60M,0.41
2015-09,1.422B,1.422B,737.00M,685.00M,259.00M,259.00M,153.00M,2.00M,0.00,-40.00M,47.00M,4.00M,-43.00M,,414.00M,271.00M,4.00M,47.00M,-43.00M,-31.00M,-43.00M,197.00M,71.00M,126.00M,-11.00M,0.00,115.00M,146.47M,276.00M,32.00M,244.00M,0.63,-0.05,0.7327,0.58,0.63,-0.06,0.7317,0.57,199.20M,201.30M,0.34
2015-06,1.368B,1.368B,720.00M,648.00M,254.00M,254.00M,156.00M,3.00M,3.00M,16.00M,42.00M,3.00M,-39.00M,,413.00M,235.00M,3.00M,42.00M,-39.00M,19.00M,-39.00M,215.00M,64.00M,151.00M,-8.00M,-1.00M,142.00M,138.10M,297.00M,40.00M,257.00M,0.72,-0.04,0.6628,0.68,0.72,-0.04,0.6632,0.68,208.00M,209.50M,0.34
2015-03,1.223B,1.223B,675.00M,548.00M,256.00M,256.00M,159.00M,2.00M,,-12.00M,43.00M,3.00M,-40.00M,,417.00M,131.00M,3.00M,43.00M,-40.00M,37.00M,-40.00M,128.00M,40.00M,88.00M,-13.00M,-1.00M,74.00M,62.85M,212.00M,41.00M,171.00M,0.4,-0.06,0.2878,0.34,0.4,-0.06,0.2891,0.34,215.30M,217.80M,0.34
2014-12,1.823B,1.823B,911.00M,912.00M,282.00M,282.00M,165.00M,1.00M,0.00,-1.922B,45.00M,4.00M,-41.00M,,448.00M,464.00M,4.00M,45.00M,-41.00M,-1.921B,-41.00M,-1.498B,-572.00M,-926.00M,1.127B,,200.00M,259.24M,-1.411B,42.00M,-1.453B,-4.02,4.89,1.158,0.87,-4.02,4.89,1.158,0.87,229.10M,229.10M,0.34
2014-09,1.436B,1.436B,751.00M,685.00M,287.00M,287.00M,166.00M,1.00M,0.00,-61.00M,38.00M,7.00M,-31.00M,,454.00M,231.00M,7.00M,38.00M,-31.00M,-49.00M,-31.00M,151.00M,84.00M,67.00M,81.00M,,148.00M,96.25M,234.00M,45.00M,189.00M,0.27,0.33,0.3888,0.6,0.27,0.32,0.3878,0.59,246.30M,248.20M,0.34
2014-06,1.393B,1.393B,737.00M,656.00M,308.00M,308.00M,176.00M,1.00M,0.00,-33.00M,34.00M,5.00M,-29.00M,,485.00M,171.00M,5.00M,34.00M,-29.00M,-44.00M,-29.00M,98.00M,20.00M,78.00M,746.00M,0.00,824.00M,112.40M,178.00M,46.00M,132.00M,0.31,2.94,0.4456,3.25,0.3,2.92,0.4343,3.22,253.70M,256.20M,0.31
2014-03,1.228B,1.228B,651.00M,577.00M,307.00M,307.00M,174.00M,1.00M,,12.00M,30.00M,5.00M,-25.00M,,482.00M,95.00M,5.00M,30.00M,-25.00M,19.00M,-25.00M,89.00M,4.00M,85.00M,42.00M,0.00,127.00M,68.68M,159.00M,40.00M,119.00M,0.33,0.17,0.2658,0.5,0.33,0.16,0.2668,0.49,254.10M,258.30M,0.31
2013-12,1.817B,1.817B,916.00M,901.00M,346.00M,346.00M,196.00M,0.00,0.00,-34.00M,32.00M,4.00M,-28.00M,,542.00M,359.00M,4.00M,32.00M,-28.00M,-25.00M,-28.00M,306.00M,13.00M,293.00M,50.00M,-1.00M,342.00M,319.77M,380.00M,42.00M,338.00M,1.33,0.19,1.4380000000000002,1.33,1.31,0.18,1.416,1.31,257.90M,261.50M,0.31
2013-09,1.517B,1.517B,752.00M,765.00M,320.00M,320.00M,183.00M,0.00,1.00M,-17.00M,33.00M,4.00M,-29.00M,,503.00M,262.00M,4.00M,33.00M,-29.00M,18.00M,-29.00M,251.00M,-11.00M,262.00M,46.00M,-1.00M,307.00M,250.60M,324.00M,40.00M,284.00M,1.0,0.17,0.9603,1.17,0.98,0.17,0.9408,1.16,262.20M,265.30M,0.31
2013-06,1.497B,1.497B,747.00M,750.00M,339.00M,339.00M,195.00M,0.00,2.00M,-15.00M,38.00M,6.00M,-32.00M,,534.00M,216.00M,6.00M,38.00M,-32.00M,-16.00M,-32.00M,168.00M,-59.00M,227.00M,35.00M,-4.00M,258.00M,234.70M,230.00M,24.00M,206.00M,0.83,0.13,0.8734,0.96,0.81,0.13,0.8526,0.94,269.50M,274.70M,0.26
2013-03,1.973B,1.973B,1.018B,955.00M,460.00M,460.00M,262.00M,6.00M,,-11.00M,30.00M,5.00M,-25.00M,,728.00M,227.00M,5.00M,30.00M,-25.00M,3.00M,-25.00M,205.00M,13.00M,192.00M,,,192.00M,192.00M,287.00M,52.00M,235.00M,0.7,,0.7,0.7,0.68,,0.68,0.68,274.50M,280.70M,0.26
2012-12,12.00M,12.00M,-62.00M,74.00M,18.00M,18.00M,5.00M,-17.00M,-4.00M,23.00M,29.00M,9.00M,-20.00M,,6.00M,68.00M,9.00M,29.00M,-20.00M,25.00M,-20.00M,73.00M,-55.00M,128.00M,208.00M,0.00,336.00M,115.65M,102.00M,0.00,102.00M,1.2,0.0,1.156,1.2,1.18,0.0,1.137,1.18,280.10M,285.10M,0.26
2012-09,2.153B,2.153B,1.066B,1.087B,485.00M,485.00M,262.00M,6.00M,6.00M,-16.00M,29.00M,13.00M,-16.00M,,753.00M,334.00M,13.00M,29.00M,-16.00M,6.00M,-16.00M,324.00M,118.00M,206.00M,0.00,0.00,206.00M,202.80M,398.00M,45.00M,353.00M,0.73,0.0,0.7187,0.73,0.72,0.0,0.7089,0.72,283.10M,287.40M,0.26
2012-06,2.148B,2.148B,1.088B,1.06B,496.00M,496.00M,269.00M,6.00M,0.00,-17.00M,25.00M,9.00M,-16.00M,,771.00M,289.00M,9.00M,25.00M,-16.00M,-33.00M,-16.00M,240.00M,63.00M,177.00M,5.00M,0.00,182.00M,202.90M,318.00M,53.00M,265.00M,0.61,0.02,0.6991,0.63,0.6,0.01,0.6875,0.61,290.60M,296.10M,0.22
2012-03,1.956B,1.956B,983.00M,973.00M,472.00M,472.00M,254.00M,6.00M,2.00M,-11.00M,25.00M,11.00M,-14.00M,,732.00M,241.00M,11.00M,25.00M,-14.00M,17.00M,-14.00M,244.00M,85.00M,159.00M,-2.00M,,157.00M,148.60M,322.00M,53.00M,269.00M,0.51,-0.01,0.4766,0.5,0.5,-0.01,0.4673,0.49,311.30M,317.70M,0.22
2011-12,2.30B,2.30B,1.14B,1.16B,,498.00M,266.00M,,,74.00M,27.00M,12.00M,-15.00M,,965.00M,195.00M,12.00M,27.00M,-15.00M,87.00M,-15.00M,267.00M,90.00M,177.00M,7.00M,0.00,184.00M,102.75M,387.00M,93.00M,294.00M,0.55,0.03,0.3203,0.58,0.54,0.03,0.314,0.57,323.30M,328.60M,0.22
2011-09,2.085B,2.085B,1.03B,1.055B,,471.00M,270.00M,,,-54.00M,31.00M,13.00M,-18.00M,,741.00M,314.00M,13.00M,31.00M,-18.00M,-58.00M,-18.00M,238.00M,83.00M,155.00M,-25.00M,-2.00M,128.00M,192.08M,361.00M,92.00M,269.00M,0.46,-0.08,0.5765,0.38,0.45,-0.08,0.5651,0.38,335.40M,339.50M,0.22
2011-06,1.984B,1.984B,977.00M,1.007B,,482.00M,260.00M,,,-190.00M,40.00M,19.00M,-21.00M,,742.00M,265.00M,19.00M,40.00M,-21.00M,-183.00M,-21.00M,61.00M,13.00M,48.00M,299.00M,2.00M,349.00M,194.79M,191.00M,90.00M,101.00M,0.15,0.87,0.5743,1.02,0.14,0.86,0.5555,1.0,341.20M,348.50M,0.0
2011-03,1.834B,1.834B,910.00M,924.00M,,461.00M,239.00M,,,-3.00M,34.00M,14.00M,-20.00M,55.00M,755.00M,169.00M,14.00M,34.00M,-20.00M,23.00M,-20.00M,172.00M,-189.00M,361.00M,130.00M,6.00M,497.00M,365.70M,297.00M,91.00M,206.00M,1.09,0.38,1.0859999999999999,1.47,1.07,0.37,1.0659999999999998,1.44,337.40M,344.20M,0.0
2010-12,2.119B,2.119B,1.044B,1.075B,,505.00M,265.00M,,,61.00M,53.00M,21.00M,-32.00M,,895.00M,180.00M,21.00M,53.00M,-32.00M,101.00M,-32.00M,249.00M,71.00M,178.00M,126.00M,-12.00M,292.00M,122.39M,398.00M,96.00M,302.00M,0.5,0.37,0.3701,0.87,0.49,0.37,0.3622,0.86,335.70M,341.10M,0.0
2010-09,1.908B,1.908B,944.00M,964.00M,,457.00M,262.00M,,,-34.00M,48.00M,19.00M,-29.00M,,719.00M,245.00M,19.00M,48.00M,-29.00M,-24.00M,-29.00M,192.00M,203.00M,-11.00M,123.00M,-2.00M,110.00M,9.10M,325.00M,85.00M,240.00M,-0.04,0.37,0.0261,0.33,-0.04,0.37,0.0261,0.33,334.10M,334.10M,0.0
2010-06,1.936B,1.936B,971.00M,965.00M,,471.00M,269.00M,,,-90.00M,56.00M,21.00M,-35.00M,,740.00M,225.00M,21.00M,56.00M,-35.00M,-61.00M,-35.00M,129.00M,122.00M,7.00M,159.00M,-4.00M,162.00M,64.10M,270.00M,85.00M,185.00M,0.01,0.48,0.1936,0.49,0.01,0.47,0.1908,0.48,332.70M,337.90M,0.0
2010-03,1.74B,1.74B,887.00M,853.00M,,454.00M,258.00M,51.00M,,15.00M,60.00M,27.00M,-33.00M,-30.00M,733.00M,120.00M,27.00M,60.00M,-33.00M,22.00M,-33.00M,109.00M,13.00M,96.00M,-28.00M,1.00M,69.00M,83.79M,256.00M,87.00M,169.00M,0.29,-0.08,0.2501,0.21,0.29,-0.08,0.2505,0.21,330.80M,334.50M,0.0
2009-12,4.786B,4.786B,3.058B,1.728B,,808.00M,648.00M,,,505.00M,40.00M,21.00M,-19.00M,,2.033B,-305.00M,21.00M,40.00M,-19.00M,444.00M,-19.00M,120.00M,70.00M,50.00M,91.00M,1.00M,142.00M,-277.25M,315.00M,155.00M,160.00M,0.14,0.28,-0.8552,0.42,0.14,0.28,-0.8552,0.42,329.83M,329.83M,0.0
2009-09,4.336B,4.336B,2.897B,1.439B,,718.00M,621.00M,,,-155.00M,62.00M,13.00M,-49.00M,,1.339B,100.00M,13.00M,62.00M,-49.00M,-156.00M,-49.00M,-105.00M,-25.00M,-80.00M,102.00M,-10.00M,12.00M,28.86M,62.00M,105.00M,-43.00M,-0.28,0.35,0.0818,0.07,-0.28,0.35,0.0818,0.07,328.51M,328.51M,0.0
2009-06,5.497B,5.497B,3.787B,1.71B,,822.00M,775.00M,70.00M,,-16.00M,49.00M,19.00M,-30.00M,-6.00M,1.661B,49.00M,19.00M,49.00M,-30.00M,14.00M,-30.00M,33.00M,-2.00M,35.00M,,-9.00M,26.00M,36.40M,274.00M,192.00M,82.00M,0.07,0.0,0.1017,0.07,0.07,0.0,0.1016,0.07,327.70M,329.49M,0.0
2009-03,5.371B,5.371B,3.875B,1.496B,,869.00M,847.00M,71.00M,,50.00M,62.00M,27.00M,-35.00M,158.00M,1.945B,-449.00M,27.00M,62.00M,-35.00M,50.00M,-35.00M,-434.00M,-146.00M,-288.00M,60.00M,-3.00M,-231.00M,-324.18M,-182.00M,190.00M,-372.00M,-0.91,0.21,-1.012,-0.7,-0.91,0.21,-1.012,-0.7,325.79M,325.79M,0.0
2008-12,7.136B,7.136B,5.014B,2.122B,,947.00M,1.008B,74.00M,,34.00M,20.00M,62.00M,42.00M,,3.922B,-1.80B,62.00M,20.00M,42.00M,34.00M,42.00M,-1.724B,1.932B,-3.656B,0.00,-1.00M,-3.657B,-3.679B,-1.497B,207.00M,-1.704B,-11.27,0.0,-11.34,-11.27,-11.27,0.0,-11.34,-11.27,325.04M,325.04M,0.35
2008-09,7.48B,7.48B,5.677B,1.803B,,1.065B,999.00M,80.00M,,-271.00M,52.00M,70.00M,18.00M,,2.144B,-341.00M,70.00M,52.00M,18.00M,-271.00M,18.00M,-594.00M,-203.00M,-391.00M,0.00,-6.00M,-397.00M,-218.61M,-334.00M,208.00M,-542.00M,-1.26,0.0,-0.7089,-1.26,-1.26,0.0,-0.7089,-1.26,323.70M,323.70M,0.35
2008-06,8.082B,8.082B,5.757B,2.325B,,1.115B,1.048B,81.00M,,-112.00M,74.00M,64.00M,-10.00M,56.00M,2.30B,25.00M,64.00M,74.00M,-10.00M,-73.00M,-10.00M,-58.00M,-55.00M,-3.00M,0.00,7.00M,4.00M,51.45M,228.00M,212.00M,16.00M,0.0,0.0,0.1468,0.0,0.0,0.0,0.1464,0.0,323.23M,324.21M,0.35
2008-03,7.448B,7.448B,5.303B,2.145B,,1.183B,1.054B,83.00M,,14.00M,78.00M,76.00M,-2.00M,94.00M,2.414B,-269.00M,76.00M,78.00M,-2.00M,14.00M,-2.00M,-257.00M,-67.00M,-190.00M,0.00,-4.00M,-194.00M,-204.35M,25.00M,204.00M,-179.00M,-0.63,0.0,-0.6621,-0.63,-0.63,0.0,-0.6621,-0.63,322.43M,322.43M,0.35
2007-12,9.646B,9.646B,7.106B,2.54B,,1.273B,1.097B,88.00M,,-60.00M,,,,32.00M,2.49B,50.00M,,,,-60.00M,,33.00M,-78.00M,111.00M,-11.00M,,100.00M,150.00M,271.00M,221.00M,50.00M,0.28,0.0,0.3996,0.28,0.28,0.0,0.3996,0.28,326.10M,326.10M,0.35
2007-09,8.811B,8.811B,6.306B,2.505B,,1.21B,1.10B,91.00M,,-105.00M,,,,55.00M,2.456B,49.00M,,,,-105.00M,,8.00M,-32.00M,40.00M,20.00M,,60.00M,108.25M,285.00M,236.00M,49.00M,0.14,0.07,0.3486,0.21,0.14,0.07,0.3461,0.21,327.17M,331.20M,0.35
2007-06,8.732B,8.732B,6.279B,2.453B,,1.296B,1.115B,95.00M,,-84.00M,,,,29.00M,2.535B,-82.00M,,,,-84.00M,,-104.00M,-66.00M,-38.00M,10.00M,,-28.00M,16.60M,145.00M,227.00M,-82.00M,-0.14,0.07,0.0264,-0.07,-0.14,0.07,0.0264,-0.07,328.04M,328.04M,0.35
2007-03,9.433B,9.433B,6.979B,2.454B,,1.313B,1.117B,95.00M,,-297.00M,,,,115.00M,2.64B,-186.00M,,,,-297.00M,,-327.00M,-109.00M,-218.00M,37.00M,,-181.00M,-20.00M,33.00M,219.00M,-186.00M,-0.63,0.07,-0.0458,-0.56,-0.63,0.07,-0.0458,-0.56,338.90M,338.90M,0.35
2006-12,11.79B,11.79B,8.724B,3.068B,,1.034B,1.117B,,,-332.00M,,,,322.00M,2.473B,595.00M,,,,-332.00M,,684.00M,155.00M,529.00M,94.00M,,623.00M,785.77M,750.00M,155.00M,595.00M,1.54,0.28,2.2840000000000003,1.82,1.47,0.28,2.199,1.75,345.01M,352.26M,0.35
2006-09,10.60B,10.60B,7.229B,3.374B,,1.174B,1.027B,,,-108.00M,,,,113.00M,2.314B,1.06B,,,,-108.00M,,1.155B,428.00M,727.00M,241.00M,,968.00M,794.98M,1.202B,142.00M,1.06B,2.1,0.7,2.2969999999999997,2.8,2.03,0.7,2.222,2.73,345.44M,353.83M,0.35
2006-06,10.82B,10.82B,7.463B,3.357B,,1.154B,1.035B,20.00M,,505.00M,,,,-410.00M,1.799B,1.558B,,,,505.00M,,1.723B,374.00M,1.349B,35.00M,,1.384B,953.62M,1.692B,134.00M,1.558B,3.85,0.07,2.727,3.92,3.78,0.07,2.6830000000000003,3.85,352.06M,360.29M,0.35
2006-03,9.608B,9.608B,6.677B,2.931B,,1.069B,964.00M,19.00M,,102.00M,,,,-46.00M,2.006B,925.00M,,,,102.00M,,1.048B,392.00M,656.00M,30.00M,,686.00M,592.15M,1.052B,127.00M,925.00M,1.82,0.14,1.64,1.96,1.82,0.07,1.645,1.89,355.57M,364.80M,0.28
2005-12,10.04B,10.04B,6.877B,3.162B,,871.00M,1.033B,,,369.00M,,,,-456.00M,1.448B,1.714B,,,,369.00M,,1.682B,505.00M,1.177B,25.00M,,1.202B,918.79M,1.801B,87.00M,1.714B,3.29,0.07,2.5660000000000003,3.36,3.22,0.07,2.515,3.29,356.43M,366.27M,0.28
2005-09,9.048B,9.048B,6.119B,2.929B,,919.00M,882.00M,,,1.112B,,,,48.00M,1.849B,1.08B,,,,1.112B,,2.26B,522.00M,1.738B,13.00M,,1.751B,882.84M,1.262B,182.00M,1.08B,4.9,0.07,2.487,4.97,4.76,0.07,2.41,4.83,354.37M,363.86M,0.28
2005-06,8.408B,8.408B,5.651B,2.757B,,915.00M,878.00M,,,423.00M,,,,6.00M,1.799B,958.00M,,,,423.00M,,1.391B,472.00M,919.00M,14.00M,,933.00M,639.53M,1.081B,123.00M,958.00M,2.59,0.07,1.795,2.66,2.59,0.0,1.8090000000000002,2.59,351.46M,357.71M,0.28
2005-03,8.161B,8.161B,5.505B,2.656B,,945.00M,853.00M,,,237.00M,,,,-7.00M,1.791B,865.00M,,,,237.00M,,1.087B,395.00M,692.00M,,,692.00M,541.12M,1.013B,148.00M,865.00M,1.96,0.0,1.528,1.96,1.96,0.0,1.535,1.96,349.59M,355.30M,0.28
2004-12,7.182B,7.182B,4.759B,2.423B,,324.00M,1.072B,,,-59.00M,,,,,1.571B,852.00M,,,,-59.00M,,943.00M,356.00M,587.00M,59.00M,,646.00M,623.73M,933.00M,81.00M,852.00M,1.5230000000000001,0.1985,1.632,1.7209999999999999,1.5230000000000001,0.1985,1.625,1.7209999999999999,335.66M,356.87M,0.28
2004-09,7.499B,7.499B,4.926B,2.573B,,1.158B,771.00M,,,97.00M,,,,,1.929B,644.00M,,,,97.00M,,693.00M,267.00M,426.00M,53.00M,,479.00M,366.37M,809.00M,165.00M,644.00M,1.26,0.14,1.083,1.4,1.26,0.14,1.091,1.4,337.09M,352.29M,0.28
2004-06,7.541B,7.541B,4.938B,2.603B,,1.096B,748.00M,,,42.00M,,,,-26.00M,1.818B,785.00M,,,,42.00M,,741.00M,122.00M,619.00M,-822.00M,,-203.00M,583.91M,944.00M,159.00M,785.00M,1.82,-2.45,1.716,-0.63,1.75,-2.45,1.651,-0.63,335.96M,353.17M,0.28
