,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-05,5.431B,5.459B,4.969B,490.12M,84.92M,84.92M,-23.88M,,,,84.92M,405.20M,,,-14.39M,,390.81M,75.96M,314.85M,,,-4.592M,310.26M,329.43M,427.06M,21.86M,405.20M,,0.95,,,1.009,0.95,,0.94,,,0.9987,0.94,,325.26M,326.82M,0.04,,AOR,Restated
2018-02,2.951B,2.981B,2.698B,282.73M,67.81M,67.81M,-104.20M,,,,67.81M,214.92M,,,54.51M,,269.43M,132.61M,136.82M,,,-0.602M,136.22M,212.28M,234.49M,19.57M,214.92M,,0.53,,,0.8299,0.53,,0.53,,,0.8289,0.53,,253.66M,254.45M,0.04,,AOR,Restated
2017-11,3.615B,3.786B,3.258B,528.01M,85.56M,85.56M,0.00,,,,85.56M,442.45M,,,26.70M,,461.98M,164.20M,297.78M,,,11.81M,309.59M,309.59M,319.65M,19.42M,300.23M,,1.29,,,1.29,1.29,,1.29,,,1.29,1.29,,237.56M,237.56M,0.0392,,AOR,Restated
2017-08,3.261B,3.261B,2.814B,447.95M,72.86M,72.86M,0.00,,,,72.86M,375.09M,,,-6.708M,,368.38M,124.80M,243.59M,,,5.575M,249.16M,249.16M,392.58M,17.49M,375.09M,,1.04,,,1.04,1.04,,1.04,,,1.04,1.04,,237.33M,237.33M,0.0392,,AOR,Restated
2017-05,3.262B,3.262B,2.862B,400.00M,66.77M,66.77M,0.00,,,,66.77M,333.22M,,,-23.62M,,309.60M,108.89M,200.71M,,,12.94M,213.64M,213.64M,350.90M,17.68M,333.22M,,0.89,,,0.89,0.89,,0.89,,,0.89,0.89,,236.88M,236.88M,0.0392,,AOR,Restated
2017-02,2.337B,2.337B,2.089B,248.93M,60.70M,60.70M,-140.00M,,,,60.70M,188.23M,,,-138.58M,,49.64M,19.97M,29.67M,,,8.406M,38.08M,129.92M,199.97M,11.74M,188.23M,,0.16,,,0.5478,0.16,,0.16,,,0.5477,0.16,,236.85M,236.85M,0.0392,,AOR,Restated
2016-11,3.377B,3.377B,2.872B,504.80M,67.93M,67.93M,-5.592M,,,,67.93M,436.88M,,,29.13M,,461.38M,150.91M,310.47M,,,2.983M,313.45M,317.22M,524.04M,14.43M,509.61M,,1.343,,,1.359,1.343,,1.314,,,1.330,1.314,,231.93M,237.02M,0.0392,,AOR,Restated
2016-08,2.834B,2.834B,2.449B,385.36M,61.16M,61.16M,0.00,,,,61.16M,324.19M,,,15.36M,,339.56M,106.43M,233.13M,,,2.711M,235.84M,235.84M,337.23M,13.03M,324.19M,,1.020,,,1.020,1.020,,0.9902,,,0.9902,0.9902,,228.02M,236.45M,0.0392,,AOR,Restated
2016-05,2.746B,2.746B,2.368B,378.26M,55.80M,55.80M,0.00,,,,55.80M,322.45M,,,5.386M,,327.84M,103.80M,224.04M,,,-5.569M,218.47M,218.47M,335.13M,12.68M,322.45M,,0.9902,,,0.9902,0.9902,,0.9314,,,0.9314,0.9314,,216.19M,234.01M,0.0392,,AOR,Restated
2016-02,1.994B,1.994B,1.767B,226.51M,47.67M,47.67M,0.00,,,,47.67M,178.84M,,,22.85M,,201.69M,56.24M,145.45M,,,-1.372M,144.08M,144.08M,188.92M,10.08M,178.84M,,0.6667,,,0.6667,0.6667,,0.6176,,,0.6176,0.6176,,214.50M,233.49M,0.0392,,AOR,Restated
2015-11,2.946B,2.946B,2.500B,445.10M,65.89M,65.89M,15.60M,1.753M,-1.753M,,65.89M,379.22M,1.753M,-1.753M,55.04M,-1.753M,432.50M,139.84M,292.66M,,,-11.06M,281.60M,271.04M,447.47M,13.22M,434.26M,,1.314,,,1.263,1.314,,1.186,,,1.142,1.186,,207.68M,236.40M,0.0392,,AOR,Restated
2015-08,2.492B,2.492B,2.143B,348.71M,56.49M,56.49M,3.054M,2.812M,-2.812M,,56.49M,292.22M,2.812M,-2.812M,31.26M,-2.812M,320.66M,95.62M,225.04M,,,-1.725M,223.31M,221.17M,335.01M,11.54M,323.47M,,1.049,,,1.039,1.049,,0.9412,,,0.9321,0.9412,,208.20M,235.25M,0.0392,,AOR,Restated
2015-05,2.393B,2.393B,2.071B,321.52M,50.21M,50.21M,2.332M,3.818M,-3.818M,,50.21M,271.32M,3.818M,-3.818M,12.31M,-3.818M,279.81M,95.23M,184.58M,,,-1.568M,183.02M,181.48M,294.23M,10.60M,283.63M,,0.8725,,,0.8651,0.8725,,0.7745,,,0.7680,0.7745,,207.05M,235.66M,0.0392,,AOR,Restated
2015-02,1.644B,1.644B,1.457B,186.92M,43.65M,43.65M,0.574M,4.071M,-4.071M,,43.65M,143.27M,4.071M,-4.071M,37.45M,-4.071M,176.64M,59.73M,116.92M,,,-1.954M,114.96M,114.59M,189.02M,8.306M,180.71M,,0.5490,,,0.5472,0.5490,,0.4902,,,0.4886,0.4902,,206.99M,234.92M,0.0392,,AOR,Restated
2014-11,2.584B,2.584B,2.164B,419.87M,57.66M,57.66M,7.531M,5.192M,-5.192M,,57.66M,362.21M,5.192M,-5.192M,20.93M,-5.192M,377.94M,125.27M,252.67M,,,-7.348M,245.32M,240.29M,394.52M,11.38M,383.14M,,1.176,,,1.152,1.176,,1.049,,,1.027,1.049,,206.58M,233.67M,0.0392,,AOR,Restated
2014-08,2.014B,2.014B,1.728B,286.35M,43.07M,43.07M,-3.059M,8.381M,-8.381M,,43.07M,243.28M,8.381M,-8.381M,27.43M,-8.381M,262.34M,88.90M,173.44M,,,4.317M,177.76M,179.80M,281.23M,10.52M,270.72M,,0.8529,,,0.8628,0.8529,,0.7647,,,0.7735,0.7647,,206.40M,232.79M,0.0392,,AOR,Restated
2014-05,1.819B,1.819B,1.591B,228.23M,38.32M,38.32M,5.96M,10.29M,-10.29M,,38.32M,189.91M,10.29M,-10.29M,24.01M,-10.29M,203.63M,81.01M,122.62M,,,15.10M,137.72M,133.96M,222.72M,8.806M,213.92M,,0.6569,,,0.6386,0.6569,,0.5980,,,0.5819,0.5980,,206.04M,232.57M,0.0392,,AOR,Restated
2014-02,1.363B,1.363B,1.198B,164.75M,38.11M,38.11M,7.132M,12.69M,-12.69M,,38.11M,126.64M,12.69M,-12.69M,11.93M,-12.69M,125.88M,45.91M,79.96M,,,-1.848M,78.12M,73.62M,146.41M,7.839M,138.57M,,0.3725,,,0.3507,0.3725,,0.3431,,,0.3238,0.3431,,205.99M,232.19M,0.0392,,AOR,Restated
2013-11,1.915B,1.915B,1.602B,313.46M,43.32M,43.32M,12.63M,20.54M,-20.54M,,43.32M,270.14M,20.54M,-20.54M,27.37M,-20.54M,276.97M,93.96M,183.02M,,,-18.93M,164.08M,155.74M,306.18M,8.666M,297.52M,,0.8235,,,0.7808,0.8235,,0.7157,,,0.6794,0.7157,,195.37M,230.19M,0.0392,,AOR,Restated
2013-08,1.603B,1.603B,1.375B,227.68M,37.62M,37.62M,7.278M,22.23M,-22.23M,,37.62M,190.06M,22.23M,-22.23M,21.53M,-22.23M,189.36M,67.20M,122.15M,,,-1.492M,120.66M,115.99M,219.53M,7.944M,211.59M,,0.6078,,,0.5838,0.6078,,0.5294,,,0.5091,0.5294,,194.61M,229.84M,0.0392,,AOR,Restated
2013-05,1.427B,1.427B,1.232B,194.56M,33.85M,33.85M,11.56M,25.11M,-25.11M,,33.85M,160.71M,25.11M,-25.11M,26.69M,-25.11M,162.29M,19.49M,142.80M,,,-5.362M,137.44M,127.31M,194.80M,7.406M,187.40M,,0.6961,,,0.6439,0.6961,,0.5980,,,0.5543,0.5980,,193.81M,231.19M,0.0392,,AOR,Restated
2013-02,990.24M,990.24M,894.05M,96.19M,31.27M,31.27M,9.341M,26.03M,-26.03M,,31.27M,64.92M,26.03M,-26.03M,14.43M,-26.03M,53.32M,-3.637M,56.96M,,,0.534M,57.49M,48.79M,85.68M,6.333M,79.35M,,0.2941,,,0.2491,0.2941,,0.2549,,,0.2171,0.2549,,193.34M,230.54M,0.0392,,AOR,Restated
2012-11,1.350B,1.350B,1.172B,177.87M,39.04M,39.04M,5.555M,23.04M,-23.04M,,39.04M,138.83M,23.04M,-23.04M,-10.86M,-23.04M,104.92M,-18.60M,123.52M,,,0.824M,124.34M,120.73M,135.68M,7.713M,127.96M,,0.6373,,,0.6184,0.6373,,0.5490,,,0.5332,0.5490,,191.21M,227.84M,0.0392,,AOR,Restated
2012-08,1.100B,1.100B,978.27M,121.49M,32.29M,32.29M,-2.272M,22.66M,-22.66M,,32.29M,89.20M,22.66M,-22.66M,-7.909M,-22.66M,58.64M,-12.78M,71.41M,,,15.70M,87.11M,88.59M,89.17M,7.877M,81.29M,,0.4510,,,0.4587,0.4510,,0.3922,,,0.3988,0.3922,,190.50M,223.97M,0.0392,,AOR,Restated
2012-05,930.16M,930.16M,832.66M,97.50M,29.17M,29.17M,5.212M,23.80M,-23.80M,,29.17M,68.33M,23.80M,-23.80M,7.574M,-23.80M,52.10M,-402.32M,454.42M,,,-1.721M,452.70M,449.32M,80.77M,4.861M,75.91M,,2.343,,,2.325,2.343,,2.020,,,2.004,2.020,,190.16M,222.37M,0.0392,,AOR,Restated
2012-02,724.86M,724.86M,678.08M,46.78M,26.84M,26.84M,1.994M,24.85M,-24.85M,,26.84M,19.93M,24.85M,-24.85M,11.37M,-24.85M,6.453M,-1.524M,7.977M,,,6.991M,14.97M,13.67M,38.93M,7.63M,31.30M,,0.0784,,,0.0716,0.0784,,0.0784,,,0.0725,0.0784,,189.72M,218.09M,0.0392,,AOR,Restated
2011-11,952.65M,952.65M,889.25M,63.41M,,28.53M,-7.872M,22.00M,-22.00M,,28.53M,34.88M,22.00M,-22.00M,-1.108M,-22.00M,11.77M,-13.70M,25.47M,,,4.807M,30.28M,35.39M,42.95M,9.179M,33.77M,,0.1569,,,0.1840,0.1569,,0.1471,,,0.1727,0.1471,,188.42M,199.33M,0.0392,,AOR,Restated
2011-08,820.19M,820.19M,754.86M,65.34M,,22.78M,16.68M,24.11M,-24.11M,,22.78M,42.56M,24.11M,-24.11M,5.626M,-24.11M,24.08M,0.579M,23.50M,,,-2.77M,20.73M,4.448M,52.86M,4.67M,48.19M,,0.1078,0.00,,0.0214,0.1078,,0.1078,0.00,,0.0260,0.1078,,188.36M,199.06M,0.0392,,AOR,Restated
2011-05,764.49M,764.49M,719.91M,44.58M,,20.60M,27.26M,22.47M,-22.47M,,20.60M,23.98M,22.47M,-22.47M,24.28M,-22.47M,25.80M,0.953M,24.85M,,,-11.06M,13.78M,-12.47M,52.15M,3.884M,48.27M,,0.0686,0.00,,-0.0708,0.0686,,0.0686,0.00,,-0.0631,0.0686,,188.31M,199.21M,0.0392,,AOR,Restated
2011-02,558.04M,558.04M,532.64M,25.40M,,23.35M,29.96M,22.08M,-22.08M,,23.35M,2.051M,22.08M,-22.08M,56.35M,-22.08M,36.32M,-2.405M,38.73M,,,-11.32M,27.41M,-0.6500M,62.17M,3.767M,58.40M,,0.1471,0.00,,-0.0023,0.1471,,0.1373,0.00,,-0.0039,0.1373,,187.84M,198.76M,0.0392,,AOR,Restated
2010-11,860.12M,860.12M,1.084B,-223.97M,,25.06M,2.977M,16.58M,-16.58M,,25.06M,-249.02M,16.58M,-16.58M,29.47M,-16.58M,38.78M,-3.737M,42.52M,,,-10.49M,32.03M,30.09M,59.15M,3.794M,55.36M,,0.1667,0.00,,0.1563,0.1667,,0.1667,0.00,,0.1568,0.1667,,186.76M,197.10M,0.0392,,AOR,Restated
2010-08,824.98M,824.98M,654.62M,170.36M,,23.99M,0.324M,17.67M,-17.67M,,23.99M,146.37M,17.67M,-17.67M,7.953M,-17.67M,39.44M,0.605M,38.83M,,,-8.795M,30.04M,29.72M,60.48M,3.376M,57.10M,,0.1569,0.00,,0.1552,0.1569,,0.1569,0.00,,0.1552,0.1569,,186.73M,196.96M,0.0392,,AOR,Restated
2010-05,814.48M,814.48M,737.09M,77.40M,,22.23M,-1.655M,17.52M,-17.52M,,22.23M,55.16M,17.52M,-17.52M,-2.091M,-17.52M,35.55M,-11.03M,46.58M,,,-6.865M,39.72M,40.79M,56.52M,3.446M,53.07M,,0.2059,0.00,,0.2116,0.2059,,0.2059,0.00,,0.2115,0.2059,,186.67M,190.12M,0.0392,,AOR,Restated
2010-02,574.44M,574.44M,557.63M,16.81M,,22.64M,5.309M,18.66M,-18.66M,,22.64M,-5.832M,18.66M,-18.66M,5.452M,-18.66M,-19.04M,-11.57M,-7.473M,,,0.95M,-6.523M,-9.974M,2.524M,2.904M,-0.38M,,-0.0392,0.00,,-0.0577,-0.0392,,-0.0392,0.00,,-0.0577,-0.0392,,186.31M,186.31M,0.0392,,AOR,Restated
2009-11,913.74M,913.74M,1.111B,-197.00M,,32.76M,-25.32M,21.90M,-21.90M,,32.76M,-229.76M,21.90M,-21.90M,-51.13M,-21.90M,-302.79M,-320.48M,17.69M,,,17.88M,35.57M,52.03M,-275.04M,5.851M,-280.89M,,0.2647,0.00,,0.3533,0.2647,,0.2647,0.00,,0.3533,0.2647,,185.82M,185.82M,0.0392,,AOR,Restated
2009-08,720.73M,720.73M,770.82M,-50.09M,,27.56M,-29.27M,22.43M,-22.43M,,27.56M,-77.64M,22.43M,-22.43M,-71.57M,-22.43M,-171.64M,2.74M,-174.38M,,,2.779M,-171.60M,-152.58M,-145.32M,3.891M,-149.22M,,-0.9510,0.00,,-0.8455,-0.9510,,-0.9510,0.00,,-0.8455,-0.9510,,180.31M,180.31M,0.0392,,AOR,Restated
2009-05,891.85M,891.85M,909.82M,-17.97M,,29.77M,-8.029M,14.49M,-14.49M,,29.77M,-47.75M,14.49M,-14.49M,-67.92M,-14.49M,-130.16M,1.547M,-131.70M,,,6.52M,-125.18M,-119.97M,-110.83M,4.834M,-115.66M,,-0.7451,0.00,,-0.7140,-0.7451,,-0.7451,0.00,,-0.7140,-0.7451,,167.87M,167.87M,0.0392,,AOR,Restated
2009-02,593.06M,593.06M,670.65M,-77.59M,,27.48M,-35.80M,12.03M,-12.03M,,27.48M,-105.06M,12.03M,-12.03M,-38.72M,-12.03M,-155.82M,1.848M,-157.66M,,,1.734M,-155.93M,-130.76M,-138.46M,5.329M,-143.79M,,-0.9608,0.00,,-0.8052,-0.9608,,-0.9608,0.00,,-0.8052,-0.9608,,161.79M,161.79M,0.0392,,,Restated
2008-11,1.278B,1.278B,1.386B,-107.46M,,31.30M,73.60M,,,,31.30M,-138.76M,,,67.31M,,-99.05M,716.04M,-815.09M,,,,-810.99M,-858.83M,-230.75M,6.457M,-237.20M,,-5.029,0.00,,-5.325,-5.029,,-5.029,0.00,,-5.325,-5.029,,161.70M,161.70M,0.0392,,,Restated
2008-08,1.107B,1.107B,1.157B,-50.88M,,34.05M,-43.21M,,,,34.05M,-84.93M,,,-54.17M,,-139.10M,-50.14M,-88.96M,,,,-88.96M,-61.33M,-77.38M,7.554M,-84.93M,,-0.5490,0.00,,-0.3781,-0.5490,,-0.5490,0.00,,-0.3781,-0.5490,,161.67M,161.67M,0.1569,,,Restated
2008-05,1.128B,1.128B,1.205B,-77.02M,,29.58M,-47.87M,,,,29.58M,-106.61M,,,-66.79M,,-173.40M,-52.27M,-121.13M,,,0.218M,-120.92M,-87.47M,-98.75M,7.856M,-106.61M,,-0.7451,0.00,,-0.5380,-0.7451,,-0.7451,0.00,,-0.5380,-0.7451,,161.51M,161.51M,0.1569,,,Restated
2008-02,1.063B,1.063B,1.137B,-74.46M,,34.82M,-21.79M,,,,34.82M,-109.29M,,,-44.77M,,-154.29M,-66.08M,-88.22M,,,-0.234M,-88.22M,-74.05M,-98.76M,10.53M,-109.29M,,-0.5490,0.00,,-0.4609,-0.5490,,-0.5490,0.00,,-0.4609,-0.5490,,160.68M,160.68M,0.1569,,,
2007-11,2.177B,2.177B,3.660B,-1.483B,,35.77M,-256.73M,,,,35.77M,-1.519B,,,-451.49M,,-1.969B,-717.44M,-1.252B,,,1.263M,-1.252B,-1.088B,-1.501B,17.54M,-1.519B,,-7.784,0.00,,-6.768,-7.784,,-7.784,0.00,,-6.768,-7.784,,160.59M,160.59M,0.1569,,,
2007-08,2.342B,2.342B,2.995B,-653.20M,,44.70M,-10.51M,,,,44.70M,-697.90M,,,-137.92M,,-837.64M,-323.79M,-513.85M,,,-1.822M,-513.85M,-507.40M,-684.29M,13.61M,-697.90M,,-3.186,0.00,,-3.146,-3.186,,-3.186,0.00,,-3.146,-3.186,,161.27M,161.27M,0.1569,,,
2007-05,2.876B,2.876B,3.173B,-297.28M,,45.82M,-12.83M,,,,45.82M,-343.09M,,,-39.35M,,-383.27M,-139.07M,-244.20M,,,-0.824M,-244.20M,-236.03M,-330.08M,13.01M,-343.09M,,-1.520,0.00,,-1.469,-1.520,,-1.520,0.00,,-1.469,-1.520,,160.70M,160.70M,0.1569,,,
2007-02,2.792B,2.792B,2.811B,-19.13M,,46.92M,189.72M,,,,46.92M,-66.05M,,,175.52M,,108.92M,40.30M,68.62M,,,-0.544M,68.62M,-50.90M,-53.44M,12.61M,-66.05M,,0.4314,0.00,,-0.3200,0.4314,,0.4216,0.00,,-0.3127,0.4216,,159.08M,162.78M,0.1569,,,
2006-11,4.266B,4.266B,4.491B,-224.46M,,34.02M,8.977M,,,,34.02M,-258.49M,,,-50.64M,,-310.48M,-114.88M,-195.60M,,,-1.36M,-195.60M,-201.26M,-245.76M,12.72M,-258.49M,,-1.206,0.00,,-1.241,-1.206,,-1.206,0.00,,-1.241,-1.206,,160.28M,161.60M,0.1569,,,
2006-08,4.182B,4.182B,3.818B,364.08M,,50.86M,21.84M,,,,50.86M,313.22M,,,15.94M,,328.06M,121.38M,206.68M,,,-1.101M,206.68M,192.91M,325.01M,11.80M,313.22M,,1.284,0.00,,1.199,1.284,,1.275,0.00,,1.190,1.275,,160.92M,162.16M,0.1569,,,
2006-05,4.578B,4.578B,4.030B,547.38M,,56.53M,16.38M,,,,56.53M,490.85M,,,31.17M,,515.47M,190.72M,324.75M,,,-6.541M,324.75M,314.43M,502.18M,11.34M,490.85M,,2.00,0.00,,1.936,2.00,,1.961,0.00,,1.898,1.961,,162.37M,165.62M,0.1569,,,
2006-02,3.241B,3.241B,2.832B,408.29M,,51.89M,19.43M,,,,51.89M,356.40M,,,57.62M,,409.61M,151.55M,258.05M,,,-4.413M,258.05M,245.81M,370.55M,14.15M,356.40M,,1.608,0.00,,1.532,1.608,,1.549,0.00,,1.476,1.549,,160.50M,166.59M,0.1569,,,
2005-11,5.030B,5.030B,4.138B,891.96M,,63.53M,37.20M,,,,63.53M,828.43M,,,116.33M,,933.59M,352.43M,581.16M,0.00,,-11.18M,581.16M,558.01M,845.02M,16.59M,828.43M,,3.532,-0.0018,,3.385,3.530,,3.461,-0.0098,,3.324,3.451,,157.90M,168.96M,0.1569,,,
2005-08,3.498B,3.498B,2.935B,563.46M,,45.74M,20.43M,,,,45.74M,517.71M,,,37.23M,,541.77M,204.52M,337.25M,,,-13.17M,337.25M,324.53M,537.80M,20.09M,517.71M,,2.137,0.00,,2.057,2.137,,2.020,0.00,,1.943,2.020,,157.80M,166.99M,0.1348,,,
2005-05,2.933B,2.933B,2.505B,428.46M,,40.83M,-15.24M,,,,40.83M,387.63M,,,6.508M,,374.69M,141.44M,233.24M,10.29M,,-19.45M,243.54M,242.73M,404.31M,16.68M,387.63M,,1.480,0.0686,,1.541,1.549,,1.392,0.0588,,1.449,1.451,,157.22M,167.84M,0.1348,,,
2005-02,2.407B,2.407B,2.090B,317.39M,,37.16M,14.00M,,,,37.16M,280.23M,,,30.14M,,310.37M,117.16M,193.21M,,,,193.21M,184.49M,299.52M,19.28M,280.23M,,1.225,0.00,,1.170,1.225,,1.147,0.00,,1.095,1.147,,157.66M,168.44M,0.1348,,,
2004-11,3.549B,3.549B,2.994B,555.33M,,47.61M,50.68M,,,,47.61M,507.72M,,,112.50M,,609.43M,230.06M,379.37M,0.365M,,,379.73M,347.82M,527.30M,19.58M,507.72M,,2.392,0.0098,,2.192,2.402,,2.235,0.00,,2.050,2.235,,157.80M,170.55M,0.1348,,,
2004-08,2.747B,2.747B,2.372B,375.67M,,34.18M,10.26M,,,,34.18M,341.48M,,,19.94M,,361.43M,136.44M,224.99M,0.234M,,,225.22M,218.60M,361.61M,20.12M,341.48M,,1.422,0.00,,1.381,1.422,,1.333,0.00,,1.296,1.333,,158.43M,168.92M,0.1225,,,
2004-05,2.342B,2.342B,2.020B,321.81M,,31.25M,18.70M,,,,31.25M,290.56M,,,32.66M,,323.22M,122.02M,201.20M,0.207M,,,201.41M,189.56M,309.14M,18.58M,290.56M,,1.275,0.00,,1.201,1.275,,1.196,0.00,,1.127,1.196,,158.03M,168.39M,0.1225,,,
2004-02,1.863B,1.863B,1.634B,229.06M,,28.68M,18.04M,,,,28.68M,200.38M,,,23.31M,,223.70M,84.45M,139.25M,,,,139.25M,128.02M,215.40M,15.01M,200.38M,,0.8824,0.00,,0.8112,0.8824,,0.8235,0.00,,0.7571,0.8235,,157.82M,169.09M,0.1225,,,
2003-11,2.936B,2.936B,2.488B,448.28M,,36.61M,6.274M,,,,36.61M,411.68M,,,43.23M,,454.91M,171.73M,283.18M,,,,283.18M,279.28M,427.20M,15.52M,411.68M,,1.819,0.00,,1.794,1.819,,1.681,0.00,,1.659,1.681,,159.60M,171.13M,0.1225,,,
2003-08,2.268B,2.268B,1.946B,321.38M,,27.49M,4.864M,,,,27.49M,293.90M,,,29.92M,,323.82M,122.24M,201.58M,,,,201.58M,198.55M,311.52M,17.63M,293.90M,,1.319,0.00,,1.299,1.319,,1.191,0.00,,1.173,1.191,,152.87M,169.23M,0.0062,,,
2003-05,2.103B,2.103B,1.836B,266.65M,,25.73M,5.295M,,,,25.73M,240.92M,,,16.61M,,257.53M,97.22M,160.32M,,,,160.32M,157.02M,262.91M,21.98M,240.92M,,1.108,0.00,,1.085,1.108,,1.00,0.00,,0.9794,1.00,,144.71M,160.32M,0.0062,,,
2003-02,1.600B,1.600B,1.422B,178.42M,,21.66M,5.43M,,,,21.66M,156.76M,,,14.03M,,170.79M,64.47M,106.32M,,,,106.32M,102.94M,177.54M,20.78M,156.76M,,0.7353,0.00,,0.7119,0.7353,,0.6667,0.00,,0.6455,0.6667,,144.59M,159.48M,0.0056,,,
2002-11,2.601B,2.601B,2.243B,358.02M,,29.98M,7.854M,,,,29.98M,328.04M,,,33.42M,,361.46M,136.45M,225.01M,,,,225.01M,220.12M,349.33M,21.29M,328.04M,,1.564,0.00,,1.530,1.564,,1.412,0.00,,1.381,1.412,,144.54M,160.44M,0.0056,,,
