,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,NotesReceivable,OtherReceivables,TotalReceivables,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,PayablesandAccruedExpenses,NotesPayable,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2005-11,1.059B,,1.059B,975.11M,,,,975.11M,2.867B,4.626B,370.50M,7.864B,22.68M,,9.921B,,,,,,,,,253.14M,,253.14M,,,,,2.367B,2.621B,12.54B,,1.183B,1.183B,1.183B,,,,,1.183B,3.863B,3.863B,,,78.24M,2.166B,6.028B,7.212B,,16.30M,4.047B,1.487B,293.22M,-5.221M,5.251B,,,
2005-08,92.28M,,92.28M,279.90M,,,,279.90M,,4.938B,2.786B,7.724B,,,8.096B,,,,,,,,,,,,,,,,,2.860B,10.96B,,2.186B,2.186B,2.186B,,,,,2.186B,2.780B,2.780B,,,,1.272B,4.052B,6.237B,,16.25M,3.491B,1.511B,250.49M,-47.75M,4.719B,,,
2005-05,77.16M,,77.16M,295.14M,,,,295.14M,,4.346B,2.379B,6.725B,,1.442B,8.539B,,,,,,,,,,,,,,,,,1.066B,9.606B,,1.910B,1.910B,1.910B,,,,,1.910B,2.337B,2.337B,,,,1.090B,3.428B,5.338B,,15.78M,3.175B,1.330B,236.82M,-16.25M,4.267B,,,
2005-02,509.07M,,509.07M,184.49M,,,,184.49M,,3.538B,2.195B,5.733B,,,6.426B,,,,,,,,,,,,,,,,,2.327B,8.753B,,1.629B,1.629B,1.629B,,,,,1.629B,2.003B,2.003B,,,,959.90M,2.963B,4.592B,,15.74M,2.953B,1.316B,109.54M,-13.07M,4.162B,,,
2004-11,1.322B,,1.322B,153.28M,,,,153.28M,,3.141B,2.002B,5.142B,,,6.618B,,,,,,,,,,183.34M,183.34M,,,,,2.364B,2.547B,9.165B,,554.67M,554.67M,554.67M,,,,,554.67M,2.021B,2.021B,,,42.73M,2.494B,4.515B,5.070B,,15.63M,2.781B,1.278B,3.938M,-17.14M,4.053B,,,
2004-08,386.86M,,386.86M,153.69M,,,,153.69M,,3.292B,1.950B,5.242B,,1.173B,6.955B,,,,,,,,,,,,,,,,,883.55M,7.839B,,1.223B,1.223B,1.223B,,,,,1.223B,1.999B,1.999B,,,,928.60M,2.927B,4.150B,,15.62M,2.422B,1.276B,3.938M,-21.21M,3.688B,,,
2004-05,140.68M,,140.68M,124.35M,,,,124.35M,,2.946B,1.830B,4.775B,,,5.040B,,,,,,,,,,,,,,,,,1.956B,6.996B,,1.071B,1.071B,1.071B,,,,,1.071B,1.594B,1.594B,,,,850.71M,2.445B,3.516B,,15.85M,2.217B,1.378B,109.64M,-21.12M,3.480B,,,
2004-02,545.52M,,545.52M,65.14M,,,,65.14M,,2.349B,1.718B,4.066B,,,4.677B,,,,,,,,,,,,,,,,,1.845B,6.521B,,1.011B,1.011B,1.011B,,,,,1.011B,1.532B,1.532B,,,,699.69M,2.232B,3.243B,,15.80M,2.035B,1.364B,109.56M,-26.02M,3.278B,,,
2003-11,1.201B,,1.201B,60.39M,,,,60.39M,,2.007B,1.650B,3.656B,,,4.918B,,,,,,,,,,,,,,,,,1.858B,6.775B,,1.041B,1.041B,1.041B,,,,,1.041B,1.552B,1.552B,,,,918.48M,2.471B,3.512B,,15.78M,1.915B,1.358B,,-25.28M,3.264B,,,
2003-08,599.22M,,599.22M,78.50M,,,,78.50M,,2.368B,1.500B,3.868B,,,4.546B,,,,,,,,,,,,,,,,,1.676B,6.222B,,906.66M,906.66M,906.66M,,,,,906.66M,1.522B,1.522B,,,,800.66M,2.322B,3.229B,,8.865M,1.652B,1.519B,159.69M,-26.95M,2.993B,,,
2003-05,480.72M,,480.72M,69.81M,,,,69.81M,,2.351B,,3.752B,,,4.303B,,,,,,,,,,,,,,,,,1.636B,5.939B,,866.81M,866.81M,866.81M,,,,,866.81M,1.798B,1.798B,,,,772.51M,2.571B,3.438B,,8.162M,1.451B,1.238B,159.04M,-36.11M,2.502B,,,
2003-02,500.23M,,500.23M,51.35M,,,,51.35M,1.354B,2.301B,7.244M,3.662B,,,4.214B,,,,,,,,,,35.25M,35.25M,,,,,1.343B,1.378B,5.592B,,879.70M,879.70M,879.70M,,,,,879.70M,2.266B,2.266B,,,,112.20M,2.378B,3.258B,,7.484M,1.644B,875.93M,159.04M,-35.05M,2.334B,,,
2002-11,731.16M,,731.16M,48.43M,,,,48.43M,,,,3.238B,,,4.017B,,,,,,,,,,,,,,,,,1.738B,5.756B,,969.78M,969.78M,969.78M,,,,,969.78M,1.585B,1.585B,,,,971.39M,2.557B,3.526B,,7.476M,1.539B,873.50M,158.99M,-31.77M,2.229B,,,
2002-08,58.36M,,58.36M,87.46M,,,,87.46M,,,,3.576B,,353.71M,4.076B,,,,,,,,,,,,,,,,,1.133B,5.209B,,892.10M,892.10M,892.10M,,,,,892.10M,1.643B,1.643B,,,,674.04M,2.317B,3.209B,,7.462M,1.315B,870.13M,158.99M,-33.44M,2.000B,,,
2002-05,461.50M,,461.50M,51.22M,,,,51.22M,,,,2.802B,,587.34M,3.902B,,,,,,,,,,,,,,,,,653.97M,4.556B,,680.51M,680.51M,680.51M,1.503B,1.503B,1.503B,,2.183B,,,,,,,509.87M,2.693B,,7.454M,1.173B,867.47M,158.93M,-26.12M,1.863B,,,
2002-02,483.57M,,483.57M,30.91M,,,,30.91M,,,,2.660B,,574.64M,3.749B,,,,,,,,,,,,,,,,,630.46M,4.380B,,660.39M,660.39M,660.39M,,,,,660.39M,1.506B,1.506B,,,,473.28M,1.979B,2.639B,,7.412M,1.068B,852.12M,158.93M,-28.00M,1.741B,,,
2001-11,824.01M,,824.01M,24.34M,,,,24.34M,,,,2.417B,,554.00M,3.819B,,,,,,,,,,,,,,,,,895.53M,4.714B,,755.73M,755.73M,755.73M,,,,,755.73M,1.505B,1.505B,,,,794.18M,2.299B,3.055B,,7.386M,997.00M,843.92M,158.93M,-30.12M,1.659B,,,
2001-08,208.57M,,208.57M,46.34M,,,,46.34M,,,,2.703B,,589.33M,3.548B,,,,,,,,,,,,,,,,,624.76M,4.172B,,681.74M,681.74M,681.74M,,1.490B,1.490B,,2.172B,,,,,,,505.45M,2.678B,,7.378M,834.94M,839.53M,158.93M,-28.09M,1.495B,,,
2001-05,219.00M,,219.00M,47.98M,,,,47.98M,,,,2.522B,,,2.789B,,,,,,,,,,,,,,,,,1.212B,4.000B,,586.20M,586.20M,586.20M,,,,,586.20M,1.497B,1.497B,,,,528.48M,2.025B,2.612B,,7.363M,729.03M,835.72M,158.93M,-24.38M,1.389B,,,
2001-02,57.57M,,57.57M,47.94M,,,,47.94M,,,,2.483B,,560.27M,3.149B,,,,,,,,,,,,,,,,,543.74M,3.693B,,671.16M,671.16M,671.16M,,,,,671.16M,1.292B,1.292B,,,,454.11M,1.746B,2.417B,,7.301M,632.80M,821.78M,158.94M,-26.91M,1.276B,,,
2000-11,287.63M,,287.63M,,,,,42.27M,,,,2.302B,,,2.631B,,,,,,49.14M,-30.56M,18.58M,,,,,,,,1.128B,1.146B,3.778B,,778.24M,778.24M,778.24M,,,,,778.24M,1.255B,1.255B,,,,516.45M,1.771B,2.549B,,7.258M,582.30M,812.50M,158.94M,-14.54M,1.229B,,,
2000-08,58.13M,,58.13M,37.68M,,,,37.68M,,,,2.663B,,,2.759B,,,,,,,,,,,,,,,,,1.011B,3.769B,,616.18M,616.18M,616.18M,,,,,616.18M,1.656B,1.656B,,,,381.04M,2.037B,2.653B,,7.243M,473.58M,809.70M,158.94M,-15.48M,1.116B,,,
2000-05,146.82M,,146.82M,,,,,43.82M,,,,2.641B,,,2.832B,,,,,,,,,,23.58M,23.58M,,,,,949.67M,973.25M,3.805B,,596.97M,596.97M,596.97M,,,,,596.97M,2.079B,2.079B,,,,75.25M,2.154B,2.751B,,7.148M,413.33M,792.49M,158.94M,,1.054B,,,
2000-02,30.18M,,30.18M,,,,,29.37M,,,,1.393B,,,1.453B,,,,,,0.00,-14.57M,-14.57M,,19.57M,19.57M,,,,,595.49M,600.49M,2.053B,,316.76M,316.76M,316.76M,,,,,316.76M,750.18M,750.18M,,,,233.41M,983.60M,1.300B,,5.837M,377.64M,525.72M,156.49M,,752.71M,,,
1999-11,118.20M,,118.20M,,,,,11.20M,,,,1.275B,,-0.10M,1.404B,,,,,,19.90M,-14.00M,5.90M,,20.10M,20.10M,,,,,627.70M,653.70M,2.058B,,333.50M,333.50M,333.50M,,,,,333.50M,776.70M,776.70M,,,,65.90M,842.60M,1.176B,,5.80M,356.10M,525.60M,6.00M,,881.50M,,,
1999-08,38.40M,,38.40M,,,,,28.50M,,,,1.438B,,,1.505B,,,,,,20.00M,-13.90M,6.10M,,,,,,,,692.80M,698.90M,2.204B,,327.90M,327.90M,327.90M,,,,16.70M,344.60M,711.70M,711.70M,,,,319.30M,1.031B,1.376B,,5.80M,297.00M,525.60M,,,828.40M,,,
1999-05,61.90M,,61.90M,,,,,27.70M,,,,1.382B,,-34.30M,1.437B,,,,,,0.00,-12.80M,-12.80M,,,,,,,,724.70M,711.90M,2.149B,,320.70M,320.70M,320.70M,,,,11.10M,331.80M,717.00M,717.00M,,,,317.90M,1.035B,1.367B,,,252.20M,,,,782.20M,,,
1999-02,102.10M,,102.10M,,,,,26.70M,,,,1.325B,,-27.60M,1.426B,,,,,,,,,,,,,,,,,645.80M,2.072B,,312.20M,312.20M,312.20M,,,,16.90M,329.10M,713.30M,713.30M,,,,286.70M,1.00B,1.329B,,,213.40M,,,,742.80M,,,
1998-11,61.60M,,61.60M,,,,,23.80M,,,,1.199B,,-26.80M,1.257B,,,,,,25.90M,-11.30M,14.60M,,,,,,,,646.00M,660.60M,1.918B,,322.30M,322.30M,322.30M,,,,33.40M,355.70M,565.50M,565.50M,,,,280.90M,846.40M,1.202B,,,186.20M,,,,715.70M,,,
1998-08,85.30M,,85.30M,,,,,28.20M,,,,1.308B,,-35.90M,1.386B,,,,,,22.60M,-10.70M,11.90M,,,,,,,,569.90M,581.80M,1.968B,,262.30M,262.30M,262.30M,,,,13.40M,275.70M,803.10M,803.10M,,,,239.90M,1.043B,1.319B,,,449.70M,,,,648.80M,,,
1998-05,59.60M,,59.60M,,,,,11.80M,,,,1.011B,,,1.082B,,,,,,16.10M,-6.30M,9.80M,,,,,,,,525.20M,535.00M,1.617B,,195.10M,195.10M,195.10M,,,,4.60M,199.70M,728.00M,728.00M,,,,180.50M,908.50M,1.108B,,,85.40M,,,,509.00M,,,
1998-02,70.80M,,70.80M,,,,,1.10M,,,,952.40M,,,1.024B,,,,,,18.70M,-10.00M,8.70M,,,,,,,,501.10M,509.80M,1.534B,,212.20M,212.20M,212.20M,,7.70M,7.70M,,219.90M,711.30M,711.30M,,,,145.60M,856.90M,1.077B,,,60.40M,,,,457.30M,,,
1997-11,52.90M,,52.90M,,,,,34.60M,,,,807.00M,,,894.50M,,,,,,14.90M,-6.30M,8.60M,,,,,,,,440.20M,448.80M,1.343B,,198.40M,198.40M,198.40M,,,,22.60M,221.00M,574.80M,574.80M,,,,108.50M,683.30M,904.30M,,,44.90M,,,,439.00M,,,
1997-08,45.10M,,45.10M,,,,,44.20M,,,,847.10M,,-14.00M,922.40M,,,,,,280.60M,-41.50M,239.10M,,,,,,,,782.30M,1.021B,1.944B,,193.70M,193.70M,193.70M,,,,7.50M,201.20M,682.80M,682.80M,,,,284.30M,967.10M,1.168B,,,579.40M,,,,775.50M,,,
1997-05,40.40M,,40.40M,,,,,52.20M,,,,838.20M,,-24.50M,906.30M,,,,,,279.90M,-41.50M,238.40M,,,,,,,,781.10M,1.020B,1.926B,,180.50M,180.50M,180.50M,,,,17.00M,197.50M,669.40M,669.40M,,,,316.40M,985.80M,1.183B,,,552.00M,,,,742.50M,,,
1997-02,31.70M,,31.70M,,,,,47.40M,,,,750.10M,,-11.70M,817.50M,,,,,,267.90M,-41.50M,226.40M,,,,,,,,801.30M,1.028B,1.845B,,167.80M,167.80M,167.80M,,,,18.60M,186.40M,579.00M,579.00M,,,,364.50M,943.50M,1.130B,,,530.90M,,,,715.30M,,,
1996-11,26.50M,,26.50M,,,,,62.30M,,,,699.80M,,,788.60M,,,,,,262.80M,-41.50M,221.30M,,,,,,,,756.10M,977.40M,1.766B,,186.70M,186.70M,186.70M,,,,26.10M,212.80M,509.70M,509.70M,,,,348.00M,857.70M,1.070B,,,512.30M,,,,695.50M,,,
1996-08,24.90M,,24.90M,,,,,52.00M,,,,682.10M,,,759.00M,,,,,,257.90M,-39.80M,218.10M,,,,,,,,748.10M,966.20M,1.725B,,160.30M,160.30M,160.30M,,,,31.20M,191.50M,519.30M,519.30M,,,,348.80M,868.10M,1.060B,,,484.60M,,,,665.60M,,,
1996-05,21.90M,,21.90M,,,,,86.00M,,,,657.40M,,,765.30M,,,,,,256.50M,-39.80M,216.70M,,,,,,,,687.40M,904.10M,1.669B,,123.00M,123.00M,123.00M,,,,22.10M,145.10M,508.70M,508.70M,37.50M,37.50M,,337.00M,883.20M,1.028B,,,461.60M,,,,641.10M,,,
1996-02,18.70M,,18.70M,,,,,91.70M,,,,620.50M,,,730.90M,,,,,,253.80M,-36.20M,217.60M,,,,,,,,656.70M,874.30M,1.605B,,120.40M,120.40M,120.40M,,,,27.90M,148.30M,456.00M,456.00M,40.40M,40.40M,,335.70M,832.10M,980.40M,,,444.20M,,,,624.80M,,,
1995-11,30.20M,,30.20M,,,,,70.20M,,,,504.40M,,,604.80M,,,,,,225.50M,-36.20M,189.30M,,,,,,,,648.30M,837.60M,1.442B,,114.80M,114.80M,114.80M,,,,26.70M,141.50M,336.60M,336.60M,42.60M,42.60M,,313.90M,693.10M,834.60M,,,427.90M,,,,607.80M,,,
1995-08,18.40M,,18.40M,,,,,37.30M,,,,528.30M,,,584.00M,,,,,,226.50M,-35.20M,191.30M,,,,,,,,624.10M,815.40M,1.399B,,107.00M,107.00M,107.00M,,,,26.30M,133.30M,327.30M,327.30M,50.30M,50.30M,,305.90M,683.50M,816.80M,,,408.70M,,,,582.60M,,,
1995-05,14.20M,,14.20M,,,,,35.80M,,,,510.50M,,,560.50M,,,,,,227.10M,-34.00M,193.10M,,,,,,,,604.70M,797.80M,1.358B,,103.10M,103.10M,103.10M,,,,18.30M,121.40M,327.70M,327.70M,54.00M,54.00M,,287.50M,669.20M,790.60M,,,393.90M,,,,567.70M,,,
1995-02,10.90M,,10.90M,,,,,42.70M,,,,489.00M,,,542.60M,,,,,,229.10M,-32.00M,197.10M,,,,,,,,535.50M,732.60M,1.275B,,90.30M,90.30M,90.30M,,,,28.10M,118.40M,381.60M,381.60M,50.20M,50.20M,,176.20M,608.00M,726.40M,,,375.00M,,,,548.80M,,,
1994-11,17.90M,,17.90M,,,,,48.20M,,,,476.00M,,,542.10M,,,,,,225.60M,-32.00M,193.60M,,,,,,,,557.50M,751.10M,1.293B,,102.60M,102.60M,102.60M,,,,25.50M,128.10M,381.90M,381.90M,50.80M,50.80M,,198.30M,631.00M,759.10M,,,360.90M,,,,534.10M,,,
1994-08,10.20M,,10.20M,,,,,19.50M,,,,499.40M,,,529.10M,,,,,,,,149.80M,,,,,,,,496.20M,646.00M,1.175B,,88.40M,88.40M,88.40M,,,,18.70M,107.10M,294.60M,294.60M,58.00M,58.00M,,197.40M,550.00M,657.10M,,,344.80M,,,,518.00M,,,
1994-05,10.90M,,10.90M,,,,,24.40M,,,,483.00M,,,518.30M,,,,,,,,158.80M,,,,,,,,473.20M,632.00M,1.150B,,84.20M,84.20M,84.20M,,,,20.10M,104.30M,295.80M,295.80M,55.80M,55.80M,,194.00M,545.60M,649.90M,,,372.30M,,,,500.40M,,,
1994-02,11.90M,,11.90M,,,,,64.00M,,,,464.50M,,,540.40M,,,,,,,,154.00M,,,,,,,,510.00M,664.00M,1.204B,,83.90M,83.90M,83.90M,,,,26.90M,110.80M,302.10M,302.10M,57.50M,57.50M,,250.80M,610.40M,721.20M,,,310.10M,,,,483.20M,,,
1993-11,10.60M,,10.60M,,,,,53.10M,,,,444.50M,,,508.20M,,,,,,,,156.20M,,,,,,,,531.10M,687.30M,1.196B,,79.70M,79.70M,79.70M,,,,25.00M,104.70M,242.20M,242.20M,59.60M,59.60M,,321.60M,623.40M,728.10M,,,295.10M,,,,467.40M,,,
1993-08,11.60M,,11.60M,,,,,48.80M,,,,450.90M,,,511.30M,,,,,,,,137.40M,,,,,,,,508.30M,645.70M,1.157B,,72.80M,72.80M,72.80M,,,,27.30M,100.10M,248.60M,248.60M,61.10M,61.10M,,299.90M,609.60M,709.70M,,,274.90M,,,,447.30M,,,
1993-05,10.00M,,10.00M,,,,,47.40M,,,,399.10M,,,456.50M,,,,,,,,131.30M,,,,,,,,541.20M,672.50M,1.129B,,58.80M,58.80M,58.80M,,,,24.70M,83.50M,213.60M,213.60M,60.30M,60.30M,,335.80M,609.70M,693.20M,,,263.60M,,,,435.80M,,,
1993-02,6.30M,,6.30M,,,,,56.10M,,,,379.00M,,,441.40M,,,,,,,,126.30M,,,,,,,,451.40M,577.70M,1.019B,,56.30M,56.30M,56.30M,,,,23.90M,80.20M,265.40M,265.40M,61.50M,61.50M,,283.60M,610.50M,690.70M,,,253.60M,,,,328.40M,,,
1992-11,4.90M,,4.90M,,,,,27.10M,,,,317.90M,,,349.90M,,,,,,,,105.50M,,,,,,,,524.90M,630.40M,980.30M,,61.00M,61.00M,61.00M,,,,18.00M,79.00M,177.70M,177.70M,61.90M,61.90M,,342.40M,582.00M,661.00M,,,245.20M,,,,319.30M,,,
1992-08,4.80M,,4.80M,,,,,24.50M,,,,295.80M,,,325.10M,,,,,,,,106.70M,,,,,,,,499.10M,605.80M,930.90M,,61.30M,61.30M,61.30M,,,,11.20M,72.50M,167.70M,167.70M,65.00M,65.00M,,316.20M,548.90M,621.40M,,,235.50M,,,,309.50M,,,
1992-05,4.40M,,4.40M,,,,,26.20M,,,,293.90M,,,324.50M,,,,,,,,106.80M,,,,,,,,472.60M,579.40M,903.90M,,54.30M,54.30M,54.30M,,,,10.30M,64.60M,166.00M,166.00M,67.70M,67.70M,,298.90M,532.60M,597.20M,,,232.90M,,,,306.70M,,,
1992-02,7.60M,,7.60M,,,,,20.00M,,,,276.70M,,,304.30M,,,,,,,,98.50M,,,,,,,,481.60M,580.10M,884.40M,,47.50M,47.50M,47.50M,,,,12.30M,59.80M,158.50M,158.50M,68.30M,68.30M,,298.30M,525.10M,584.90M,,,225.80M,,,,299.50M,,,
1991-11,3.20M,,3.20M,,,,,25.20M,,,,261.20M,,,289.60M,,,,,,,,100.40M,,,,,,,,472.30M,572.70M,862.30M,,55.60M,55.60M,55.60M,,,,9.70M,65.30M,129.90M,129.90M,67.20M,67.20M,,308.70M,505.80M,571.10M,,,218.30M,,,,291.20M,,,
1991-08,1.80M,,1.80M,,,,,18.60M,,,,268.70M,,,289.10M,,,,,,,,101.80M,,,,,,,,456.00M,557.80M,846.90M,,49.20M,49.20M,49.20M,,,,9.10M,58.30M,139.10M,139.10M,70.90M,70.90M,,293.70M,503.70M,562.00M,,,213.20M,,,,284.90M,,,
1991-05,1.70M,,1.70M,,,,,40.00M,,,,266.10M,,,307.80M,,,,,,,,79.10M,,,,,,,,425.50M,504.60M,812.40M,,49.80M,49.80M,49.80M,,,,8.40M,58.20M,128.00M,128.00M,70.80M,70.80M,,275.60M,474.40M,532.60M,,,208.50M,,,,279.80M,,,
1991-02,1.50M,,1.50M,,,,,40.40M,,,,270.00M,,,311.90M,,,,,,,,79.40M,,,,,,,,417.80M,497.20M,809.10M,,47.90M,47.90M,47.90M,,,,8.70M,56.60M,136.70M,136.70M,71.40M,71.40M,,270.30M,478.40M,535.00M,,,204.10M,,,,274.10M,,,
1990-11,1.50M,,1.50M,,,,,39.80M,,,,274.60M,,,315.90M,,,,,,,,79.90M,,,,,,,,439.40M,519.30M,835.20M,,54.10M,54.10M,54.10M,,,,8.80M,62.90M,133.90M,133.90M,72.20M,72.20M,,296.50M,502.60M,565.50M,,,199.50M,,,,269.70M,,,
1990-08,1.40M,,1.40M,,,,,39.00M,,,,289.80M,,,330.20M,,,,,,,,80.20M,,,,,,,,420.10M,500.30M,830.50M,,51.20M,51.20M,51.20M,,,,10.70M,61.90M,140.10M,140.10M,73.20M,73.20M,,288.00M,501.30M,563.20M,,,196.60M,,,,267.30M,,,
1990-05,1.70M,,1.70M,,,,,,,,,40.50M,,292.50M,334.70M,,,,,,,,81.00M,,,,,,,,415.30M,496.30M,831.00M,,48.30M,48.30M,48.30M,,,,11.20M,59.50M,137.80M,137.80M,74.90M,74.90M,,293.40M,506.10M,565.60M,,,193.90M,,,,265.40M,,,
1990-02,2.00M,,2.00M,,,,,44.00M,,,,293.20M,,,339.20M,,,,,,,,80.60M,,,,,,,,426.20M,506.80M,846.00M,,45.00M,45.00M,45.00M,,,,12.70M,57.70M,146.70M,146.70M,78.60M,78.60M,,300.70M,526.00M,583.70M,,,190.80M,,,,262.30M,,,
1989-11,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,868.20M,868.20M,,,,,,,,,0.00,435.90M,435.90M,,,,173.20M,609.10M,609.10M,,,188.10M,,,,259.10M,,,
1989-08,1.60M,,1.60M,,,,,50.20M,,,,315.90M,,36.50M,404.20M,,,,,,,,79.50M,,,,,,,,69.50M,149.00M,553.20M,,51.30M,51.30M,51.30M,,,,11.70M,63.00M,155.10M,155.10M,80.90M,80.90M,,3.50M,239.50M,302.50M,,,179.80M,,,,250.70M,,,
1988-11,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,509.80M,509.80M,,,,,,,,,0.00,132.80M,132.80M,,,,145.10M,277.90M,277.90M,,,162.20M,,,,231.90M,,,
1987-11,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,537.90M,537.90M,,,,,,,,,0.00,174.10M,174.10M,,,,158.50M,332.60M,332.60M,,,136.90M,,,,205.30M,,,
1986-11,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,332.00M,332.00M,,,,,,,,,0.00,15.00M,15.00M,,,,166.30M,181.30M,181.30M,,,115.90M,,,,150.70M,,,
1985-11,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,334.00M,334.00M,,,,,,,,,0.00,56.50M,56.50M,,,,135.40M,191.90M,191.90M,,,105.20M,,,,142.10M,,,
1984-11,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,369.20M,369.20M,,,,,,,,,0.00,61.60M,61.60M,,,,172.80M,234.40M,234.40M,,,95.30M,,,,134.80M,,,
