,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDiluted,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2016-12,3.447B,3.447B,2.856B,591.30M,336.30M,336.30M,,,52.60M,-81.00M,54.10M,,-54.10M,,388.90M,202.40M,,54.10M,-54.10M,-66.20M,-54.10M,82.10M,3.60M,78.50M,,,80.90M,158.34M,411.40M,275.20M,2016-12,0.32,,,0.6283,2016-12,0.32,,0.32,,2016-12,251.20M,255.30M,0.40,,2016-12,AOR,Restated
2016-09,3.612B,3.612B,2.892B,719.30M,730.70M,730.70M,,,52.40M,-46.70M,19.30M,,-62.50M,,783.10M,-63.80M,,19.30M,-62.50M,-29.40M,-62.50M,-155.70M,-69.30M,-86.40M,-5.30M,,-92.00M,-58.68M,137.80M,274.20M,2016-09,-0.3454,-0.0211,,-0.2341,2016-09,-0.3454,-0.03,-0.37,,2016-09,251.60M,255.80M,0.375,,2016-09,AOR,Restated
2016-06,3.596B,3.596B,2.869B,727.30M,341.50M,341.50M,,,53.30M,-43.10M,64.00M,20.90M,-43.10M,,394.80M,332.50M,20.90M,64.00M,-43.10M,-37.30M,-43.10M,252.10M,99.70M,152.40M,-58.70M,,92.30M,177.08M,598.30M,282.20M,2016-06,0.60,-0.23,,0.7032,2016-06,0.59,-0.23,0.36,,2016-06,252.70M,256.20M,0.375,,2016-06,AOR,Restated
2016-03,3.493B,3.493B,2.835B,657.30M,342.00M,342.00M,,,53.50M,-111.10M,64.00M,6.50M,-57.50M,,395.50M,261.80M,6.50M,64.00M,-57.50M,-111.40M,-57.50M,92.90M,34.50M,58.40M,1.40M,,56.90M,125.38M,448.10M,291.20M,2016-03,0.22,0.00,,0.4951,2016-03,0.22,0.00,0.22,,2016-03,254.00M,257.40M,0.375,,2016-03,AOR,Restated
2015-12,3.471B,3.471B,2.816B,654.70M,335.90M,335.90M,,,52.60M,-162.80M,65.20M,15.80M,-49.40M,,388.50M,266.20M,15.80M,65.20M,-49.40M,-161.50M,-49.40M,55.30M,24.90M,30.40M,-482.10M,,-453.50M,126.28M,414.80M,294.30M,2015-12,0.12,-1.88,,0.4992,2015-12,0.12,-1.88,-1.76,,2015-12,257.60M,262.10M,0.375,,2015-12,AOR,Restated
2015-09,3.616B,3.616B,2.931B,685.40M,338.10M,338.10M,,,52.30M,-107.70M,63.60M,,-53.90M,,390.40M,295.00M,,63.60M,-53.90M,-106.90M,-53.90M,134.20M,26.90M,107.30M,10.60M,,115.80M,191.31M,479.10M,281.30M,2015-09,0.4506,0.0412,,0.7856,2015-09,0.44,0.0412,0.44,,2015-09,257.00M,257.00M,0.375,,2015-09,AOR,Restated
2015-06,2.539B,2.539B,2.013B,526.30M,224.30M,224.30M,,,22.10M,-13.10M,22.60M,,-22.60M,,246.40M,279.90M,,22.60M,-22.60M,-11.10M,-22.60M,246.20M,88.30M,157.90M,0.00,,156.40M,164.80M,423.80M,155.00M,2015-06,1.11,0.00,,1.170,2015-06,1.10,0.00,1.10,,2015-06,141.10M,142.70M,0.3205,,2015-06,AOR,Restated
2015-03,2.456B,2.456B,1.998B,457.10M,230.50M,230.50M,,,22.10M,-17.20M,23.00M,,-23.00M,,252.60M,204.50M,,23.00M,-23.00M,-15.30M,-23.00M,166.20M,55.80M,110.40M,,,109.80M,121.22M,341.90M,152.70M,2015-03,0.78,,,0.8611,2015-03,0.77,,0.77,,2015-03,140.80M,142.70M,0.1875,,2015-03,AOR,Restated
2014-12,2.514B,2.514B,2.045B,469.50M,233.20M,233.20M,,,22.40M,-5.40M,23.30M,0.20M,-23.10M,,255.60M,213.90M,0.20M,23.30M,-23.10M,-3.20M,-23.10M,187.60M,62.00M,125.60M,,,125.10M,128.72M,362.70M,151.80M,2014-12,0.89,,,0.9158,2014-12,0.88,,0.88,,2014-12,140.30M,142.80M,0.1875,,2014-12,AOR,Restated
2014-09,2.608B,2.608B,2.039B,569.00M,212.00M,212.00M,,,,-10.50M,24.20M,,-21.80M,,298.00M,271.00M,,24.20M,-21.80M,-8.10M,-21.80M,241.10M,85.80M,155.30M,,,153.90M,160.66M,416.50M,151.20M,2014-09,1.099,,,1.147,2014-09,1.06,,1.06,,2014-09,143.00M,145.40M,0.175,,2014-09,AOR,Restated
2014-06,2.531B,2.531B,2.041B,489.60M,245.30M,245.30M,,,,-13.30M,23.90M,0.10M,-23.80M,,245.30M,244.30M,0.10M,23.90M,-23.80M,-9.20M,-23.80M,211.30M,76.90M,134.40M,,,133.30M,141.76M,381.90M,146.70M,2014-06,0.93,,,0.9888,2014-06,0.91,,0.91,,2014-06,143.80M,146.00M,0.175,,2014-06,AOR,Restated
2014-03,2.394B,2.394B,1.966B,427.20M,245.50M,245.50M,,,,-14.20M,23.20M,,-23.20M,,245.50M,181.70M,,23.20M,-23.20M,-12.90M,-23.20M,145.60M,62.10M,83.50M,,,82.80M,92.03M,312.20M,143.40M,2014-03,0.58,,,0.6443,2014-03,0.57,,0.57,,2014-03,143.60M,146.00M,0.175,,2014-03,AOR,Restated
2013-12,2.363B,2.363B,1.915B,447.80M,234.80M,234.80M,,,,-17.60M,24.00M,,-24.00M,,234.80M,213.00M,,24.00M,-24.00M,-16.70M,-24.00M,172.30M,61.70M,110.60M,,,109.70M,121.00M,339.50M,143.20M,2013-12,0.76,,,0.8385,2013-12,0.75,,0.75,,2013-12,144.00M,146.60M,0.175,,2013-12,AOR,Restated
2013-09,2.485B,2.485B,1.93B,555.10M,,164.90M,,,,-26.00M,25.00M,,-25.00M,,250.00M,305.10M,,25.00M,-25.00M,-23.30M,-25.00M,256.80M,78.50M,178.30M,,,176.50M,194.55M,424.30M,142.50M,2013-09,1.225,,,1.350,2013-09,1.20,,1.20,,2013-09,144.60M,146.40M,0.15,,2013-09,AOR,Restated
2013-06,2.448B,2.448B,1.952B,496.70M,,243.90M,,,,-23.50M,25.60M,,-25.60M,,243.90M,252.80M,,25.60M,-25.60M,-24.10M,-25.60M,203.10M,61.40M,141.70M,,,140.10M,156.50M,361.10M,132.40M,2013-06,0.97,,,1.084,2013-06,0.955,,0.955,,2013-06,144.20M,146.40M,0.15,,2013-06,AOR,Restated
2013-03,2.325B,2.325B,1.940B,385.20M,,237.40M,,,,-12.50M,27.20M,,-27.20M,,237.40M,147.80M,,27.20M,-27.20M,-11.50M,-27.20M,109.10M,-216.50M,325.60M,,,324.70M,332.82M,275.50M,139.20M,2013-03,2.255,,,2.311,2013-03,2.225,,2.225,,2013-03,144.00M,145.80M,0.00,,2013-03,AOR,Restated
2012-12,2.287B,2.287B,1.878B,409.50M,,223.00M,,,,-16.30M,29.10M,0.00,-29.10M,,223.00M,186.50M,0.00,29.10M,-29.10M,-15.70M,-29.10M,141.70M,54.80M,86.90M,,,86.00M,95.99M,308.90M,138.10M,2012-12,0.60,,,0.6697,2012-12,0.59,,0.59,,2012-12,143.40M,145.40M,0.1125,,2012-12,AOR,Restated
2012-09,2.354B,2.354B,1.934B,419.90M,,242.40M,,,,-29.40M,28.00M,,-26.70M,,242.40M,177.50M,,28.00M,-26.70M,-30.00M,-26.70M,120.80M,37.40M,83.40M,,,82.30M,102.60M,286.40M,137.60M,2012-09,0.5798,,,0.7218,2012-09,0.57,0.00,0.57,,2012-09,143.00M,145.00M,0.10,,2012-09,AOR,Restated
2012-06,2.303B,2.303B,1.943B,359.80M,,229.60M,,,,-13.80M,26.80M,0.20M,-26.60M,,229.60M,130.20M,0.20M,26.80M,-26.60M,-13.00M,-26.60M,90.60M,31.30M,59.30M,,,58.20M,67.24M,248.80M,131.40M,2012-06,0.41,,,0.4733,2012-06,0.405,,0.405,,2012-06,142.80M,144.60M,0.10,,2012-06,AOR,Restated
2012-03,2.283B,2.283B,1.922B,360.80M,,229.60M,,,,-47.60M,32.20M,0.50M,-31.70M,,229.60M,131.20M,0.50M,32.20M,-31.70M,-46.20M,-31.70M,53.30M,20.60M,32.70M,,,31.90M,61.13M,218.10M,132.60M,2012-03,0.225,,,0.4308,2012-03,0.22,,0.22,,2012-03,142.00M,143.80M,0.10,,2012-03,AOR,Restated
2011-12,2.268B,2.268B,1.876B,392.20M,225.90M,225.90M,,,,-10.30M,32.70M,0.40M,-32.30M,,225.90M,166.30M,0.40M,32.70M,-32.30M,-9.60M,-32.30M,124.40M,47.60M,76.80M,,,76.70M,83.06M,289.80M,132.70M,2011-12,0.54,,,0.5849,2011-12,0.53,,0.53,,2011-12,141.60M,143.40M,0.10,,2011-12,AOR,Restated
2011-09,2.464B,2.464B,2.029B,434.40M,,224.40M,,,,-30.90M,33.20M,,-37.30M,,224.40M,210.00M,,33.20M,-37.30M,-45.60M,-37.30M,127.10M,42.30M,84.80M,,,83.90M,104.52M,291.20M,130.90M,2011-09,0.5918,,,0.7376,2011-09,0.585,0.00,0.585,,2011-09,141.40M,144.20M,0.10,,2011-09,AOR,Restated
2011-06,1.382B,1.382B,1.170B,212.40M,,145.30M,,,,-95.00M,22.80M,4.10M,-18.70M,,145.30M,67.10M,4.10M,22.80M,-18.70M,-94.40M,-18.70M,-46.00M,-17.60M,-28.40M,,,-30.10M,28.55M,50.30M,73.50M,2011-06,-0.30,0.00,,0.2784,2011-06,-0.30,0.00,-0.30,,2011-06,101.40M,101.40M,0.10,,2011-06,AOR,Restated
2011-03,792.90M,792.90M,626.60M,166.30M,,88.30M,,,,-6.30M,16.20M,,-16.20M,,88.30M,78.00M,,16.20M,-16.20M,-6.00M,-16.20M,55.80M,17.50M,38.30M,,,37.00M,41.32M,109.20M,37.20M,2011-03,0.47,0.00,,0.5259,2011-03,0.46,0.00,0.46,,2011-03,77.40M,78.40M,0.10,,2011-03,AOR,Restated
2010-12,761.10M,761.10M,582.30M,178.80M,,83.20M,,,,-0.60M,16.70M,,-16.70M,,83.20M,95.60M,,16.70M,-16.70M,-0.30M,-16.70M,78.60M,27.30M,51.30M,,,50.30M,50.69M,132.00M,36.70M,2010-12,0.645,0.00,,0.6501,2010-12,0.635,0.00,0.635,,2010-12,77.20M,78.80M,0.10,,2010-12,AOR,Restated
2010-09,806.80M,806.80M,602.60M,204.20M,,87.80M,,,,-3.20M,17.00M,,-17.40M,,87.80M,116.40M,,17.00M,-17.40M,-2.60M,-17.40M,96.40M,4.00M,92.40M,,,91.40M,94.47M,150.10M,36.70M,2010-09,1.175,0.00,,1.215,2010-09,1.155,0.00,1.155,,2010-09,76.80M,78.20M,0.075,,2010-09,AOR,Restated
2010-06,771.90M,771.90M,595.80M,176.10M,,84.90M,,,,0.20M,17.80M,0.10M,-17.70M,,84.90M,91.20M,0.10M,17.80M,-17.70M,0.50M,-17.70M,74.00M,27.00M,47.00M,,,45.10M,44.97M,128.20M,36.40M,2010-06,0.58,0.00,,0.5784,2010-06,0.57,0.00,0.57,,2010-06,77.00M,78.40M,0.075,,2010-06,AOR,Restated
2010-03,731.90M,731.90M,570.60M,161.30M,,87.20M,,,,-4.60M,19.20M,0.10M,-19.10M,,87.20M,74.10M,0.10M,19.20M,-19.10M,-4.90M,-19.10M,50.10M,16.40M,33.70M,,,32.80M,35.89M,106.10M,36.80M,2010-03,0.425,0.00,,0.4654,2010-03,0.415,0.00,0.415,,2010-03,76.60M,78.00M,0.075,,2010-03,AOR,Restated
2009-12,690.80M,690.80M,512.30M,178.50M,,80.00M,,,,-2.50M,21.50M,0.20M,-21.30M,,80.00M,98.50M,0.20M,21.50M,-21.30M,-2.30M,-21.30M,74.90M,17.30M,57.60M,,,56.30M,58.22M,133.90M,37.50M,2009-12,0.725,0.00,,0.7502,2009-12,0.715,0.00,0.715,,2009-12,76.40M,77.80M,0.075,,2009-12,AOR,Restated
2009-09,729.00M,729.00M,525.70M,203.30M,,84.40M,,,,-2.60M,22.50M,0.00,-22.50M,,84.40M,118.90M,0.00,22.50M,-22.50M,-2.20M,-22.50M,94.20M,25.60M,68.60M,,,67.30M,69.19M,154.00M,37.30M,2009-09,0.87,0.00,,0.8948,2009-09,0.86,0.00,0.86,,2009-09,76.40M,78.20M,0.05,,2009-09,AOR,Restated
2009-06,703.90M,703.90M,480.80M,223.10M,,81.40M,,,,-3.00M,23.20M,0.00,-23.20M,,81.40M,141.70M,0.00,23.20M,-23.20M,-2.70M,-23.20M,115.80M,27.40M,88.40M,,,87.00M,89.29M,176.50M,37.50M,2009-06,1.135,0.00,,1.165,2009-06,1.115,0.00,1.115,,2009-06,75.80M,77.00M,0.05,,2009-06,AOR,Restated
2009-03,676.30M,676.30M,504.80M,171.50M,,83.50M,,,,-3.70M,24.60M,,-24.60M,,83.50M,88.00M,,24.60M,-24.60M,-3.90M,-24.60M,59.50M,21.90M,37.60M,,,37.40M,39.74M,121.40M,37.30M,2009-03,0.49,0.00,,0.5209,2009-03,0.485,0.00,0.485,,2009-03,75.60M,76.40M,0.05,,2009-03,AOR,Restated
2008-12,703.10M,703.10M,538.30M,164.80M,,81.50M,,,,-8.90M,26.40M,0.40M,-26.00M,,81.50M,83.30M,0.40M,26.40M,-26.00M,-9.30M,-26.00M,48.00M,16.70M,31.30M,,,30.60M,36.40M,112.30M,37.90M,2008-12,0.40,0.00,,0.4770,2008-12,0.395,0.00,0.395,,2008-12,75.40M,76.40M,0.05,,2008-12,,Restated
2008-09,785.70M,785.70M,621.20M,164.50M,,84.60M,,,,-6.50M,27.60M,,-28.40M,,84.60M,79.90M,,27.60M,-28.40M,-5.00M,-28.40M,45.00M,16.60M,28.40M,,,28.40M,32.50M,109.40M,36.80M,2008-09,0.38,0.00,,0.4348,2008-09,0.37,0.00,0.37,,2008-09,74.80M,76.40M,0.05,,2008-09,,Restated
2008-06,771.00M,771.00M,626.30M,144.70M,,85.40M,,,,-3.70M,27.60M,0.80M,-26.80M,,85.40M,59.30M,0.80M,27.60M,-26.80M,-2.70M,-26.80M,28.10M,9.30M,18.80M,,,18.80M,21.28M,94.90M,39.20M,2008-06,0.25,0.00,,0.2830,2008-06,0.245,0.00,0.245,,2008-06,75.00M,76.80M,0.05,,2008-06,,Restated
2008-03,685.90M,685.90M,560.00M,125.90M,,75.30M,,,,-2.70M,19.70M,0.10M,-19.60M,,75.30M,50.60M,0.10M,19.70M,-19.60M,-2.50M,-19.60M,27.30M,10.20M,17.10M,,,17.10M,18.79M,78.60M,31.60M,2008-03,0.23,0.00,,0.2527,2008-03,0.225,0.00,0.225,,2008-03,74.60M,76.40M,0.05,,2008-03,,Restated
2007-12,596.30M,596.30M,489.30M,107.00M,,65.20M,,,,-3.00M,,,,,65.20M,41.80M,,,,-3.30M,,25.70M,8.20M,17.50M,,,17.50M,19.54M,67.60M,25.80M,2007-12,0.235,0.00,,0.2624,2007-12,0.23,0.00,0.23,,2007-12,74.60M,76.00M,0.05,,2007-12,,
2007-09,604.80M,604.80M,488.40M,116.40M,,68.60M,,,,-1.30M,,,,,68.60M,47.80M,,,,-1.50M,,31.30M,11.60M,19.70M,,,19.70M,20.52M,74.00M,26.20M,2007-09,0.255,0.00,,0.2655,2007-09,0.25,0.00,0.25,,2007-09,77.60M,78.40M,0.05,,2007-09,,
2007-06,591.40M,591.40M,472.20M,119.20M,,65.70M,,,,-1.90M,,,,,65.70M,53.50M,,,,-1.30M,,39.60M,14.40M,25.20M,,,25.20M,26.41M,79.50M,26.00M,2007-06,0.32,0.00,,0.3354,2007-06,0.315,0.00,0.315,,2007-06,78.60M,80.20M,0.05,,2007-06,,
2007-03,585.70M,585.70M,473.30M,112.40M,,63.50M,,,,-1.20M,,,,,63.50M,48.90M,,,,-0.80M,,34.70M,13.00M,21.70M,,,21.70M,22.45M,74.40M,25.50M,2007-03,0.28,0.00,,0.2897,2007-03,0.275,0.00,0.275,,2007-03,77.40M,79.60M,0.05,,2007-03,,
2006-12,533.90M,533.90M,436.30M,97.60M,,61.30M,,,,-0.50M,,,,,61.30M,36.30M,,,,-0.20M,,21.40M,6.30M,15.10M,,,15.10M,15.45M,62.30M,26.00M,2006-12,0.20,0.00,,0.2047,2006-12,0.195,0.00,0.195,,2006-12,74.60M,77.40M,0.045,,2006-12,,
2006-09,569.70M,569.70M,461.40M,108.30M,,63.10M,,,,-0.60M,,,,,63.10M,45.20M,,,,-0.10M,,30.30M,8.80M,21.50M,,,21.50M,21.93M,71.70M,26.50M,2006-09,0.295,0.00,,0.3007,2006-09,0.285,0.00,0.285,,2006-09,74.63M,78.58M,0.045,,2006-09,,
2006-06,548.30M,548.30M,456.30M,92.00M,,62.00M,,,,-2.70M,,,,,62.00M,30.00M,,,,-2.70M,,12.00M,1.00M,11.00M,,,11.00M,13.48M,56.10M,26.10M,2006-06,0.15,0.00,,0.1842,2006-06,0.15,0.00,0.15,,2006-06,72.40M,73.80M,0.045,,2006-06,,
2006-03,529.70M,529.70M,440.50M,89.20M,,62.00M,,,,-3.50M,,,,,62.00M,27.20M,,,,-3.70M,,8.40M,3.20M,5.20M,,,5.20M,7.367M,53.10M,25.90M,2006-03,0.075,0.00,,0.1045,2006-03,0.07,0.00,0.07,,2006-03,73.40M,74.29M,0.045,,2006-03,,
2005-12,490.40M,490.40M,430.80M,59.60M,,57.10M,1.00M,,,,,,,,58.10M,1.50M,,,,1.60M,,12.10M,-3.10M,-9.00M,,,-9.00M,-9.00M,27.30M,25.80M,2005-12,-0.125,0.00,,-0.125,2005-12,-0.125,0.00,-0.125,,2005-12,71.60M,71.60M,0.045,,2005-12,,
2005-09,528.67M,528.67M,442.12M,86.54M,,59.43M,,,,-2.475M,,,,,59.43M,27.12M,,,,-3.475M,,7.65M,2.754M,4.896M,,,4.896M,6.48M,52.35M,25.23M,2005-09,0.07,0.00,,0.0929,2005-09,0.07,0.00,0.07,,2005-09,69.20M,71.95M,0.045,,2005-09,,
2005-06,424.68M,424.68M,351.93M,72.75M,,50.60M,,,,-2.168M,,,,,50.60M,22.15M,,,,-2.168M,,9.758M,-2.224M,11.98M,,,11.98M,13.28M,43.89M,21.74M,2005-06,0.17,0.00,,0.1883,2005-06,0.165,0.00,0.165,,2005-06,71.00M,71.80M,0.045,,2005-06,,
2005-03,394.34M,394.34M,335.16M,59.18M,,48.51M,,,,-2.724M,,,,,48.51M,10.67M,,,,-2.524M,,0.596M,0.356M,0.24M,,,0.24M,1.874M,29.25M,18.58M,2005-03,0.005,0.00,,0.0278,2005-03,0.005,0.00,0.005,,2005-03,71.76M,71.76M,0.045,,2005-03,,
2004-12,385.82M,385.82M,329.99M,55.82M,,46.46M,,,,-0.333M,,,,,46.46M,9.366M,,,,-0.333M,,1.896M,1.414M,0.482M,,,0.482M,0.6818M,27.82M,18.45M,2004-12,0.005,0.00,,0.0078,2004-12,0.005,0.00,0.005,,2004-12,71.76M,71.76M,0.045,,2004-12,,
2004-09,417.91M,417.91M,346.55M,71.36M,,49.12M,,,,-5.79M,,,,,49.55M,21.81M,,,,-5.69M,,9.92M,3.419M,6.501M,0.036M,,6.537M,10.30M,39.46M,17.64M,2004-09,0.0897,-0.0028,,0.1433,2004-09,0.0897,-0.11,0.0869,,2004-09,70.82M,70.82M,0.0425,,2004-09,,
2004-06,397.28M,397.28M,331.40M,65.88M,,48.58M,,,,-21.03M,,,,,48.58M,17.30M,,,,-21.03M,,-11.16M,-7.079M,-4.076M,0.35M,,-3.726M,8.541M,36.69M,19.40M,2004-06,-0.06,0.005,,0.1204,2004-06,-0.06,0.005,-0.055,,2004-06,69.93M,69.93M,0.0425,,2004-06,,
2004-03,400.00M,400.00M,331.59M,68.41M,,51.09M,,,,-6.126M,,,,,51.09M,17.31M,,,,-6.126M,,4.857M,1.848M,3.009M,-0.099M,,2.91M,6.804M,35.87M,18.56M,2004-03,0.045,-0.005,,0.0987,2004-03,0.045,-0.005,0.04,,2004-03,70.62M,70.62M,0.0425,,2004-03,,
