,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2018-03,221.00M,,221.00M,2.274B,310.20M,2.584B,485.80M,485.80M,188.90M,,,3.480B,,,,,,,,,153.10M,2.489B,859.00M,3.348B,,,,47.10M,3.548B,7.028B,1.288B,98.70M,523.70M,1.911B,311.30M,2.222B,,,25.80M,25.80M,193.60M,193.60M,,2.582B,3.210B,,3.210B,188.90M,188.90M,,,,49.90M,3.448B,6.031B,1.50M,-1.855B,2.928B,0.00,-78.50M,996.90M
2017-12,144.20M,,144.20M,2.329B,343.00M,2.672B,411.50M,411.50M,168.30M,,,3.396B,0.0,27.70M,123.00M,194.30M,,17.90M,362.90M,-201.80M,161.10M,2.480B,897.00M,3.377B,,,,32.70M,3.570B,6.967B,1.318B,60.00M,498.00M,1.876B,332.60M,2.208B,,,25.50M,25.50M,158.80M,158.80M,,2.522B,3.21B,,3.21B,196.30M,196.30M,,,,52.70M,3.459B,5.981B,1.50M,-1.832B,2.912B,,-95.90M,985.60M
2017-09,97.90M,,97.90M,2.311B,380.80M,2.692B,549.00M,549.00M,153.50M,,,3.492B,,,,,,,,,162.50M,2.478B,937.10M,3.415B,,,,32.10M,3.609B,7.102B,1.225B,61.80M,541.30M,1.828B,322.80M,2.150B,,,41.50M,41.50M,228.40M,228.40M,,2.559B,3.388B,,3.388B,315.90M,315.90M,,,,32.30M,3.737B,6.295B,1.50M,-1.997B,2.904B,,-101.70M,806.50M
2017-06,79.00M,,79.00M,2.335B,337.80M,2.673B,513.60M,513.60M,131.00M,,,3.397B,,,,,,,,,160.70M,2.469B,976.60M,3.446B,,,,38.30M,3.645B,7.042B,1.392B,44.40M,496.40M,1.932B,272.70M,2.205B,,,18.50M,18.50M,180.90M,180.90M,,2.555B,3.278B,,3.278B,329.50M,329.50M,,,,30.00M,3.637B,6.192B,1.50M,-1.927B,2.890B,,-115.80M,849.10M
2017-03,251.70M,,251.70M,1.986B,239.40M,2.225B,493.40M,493.40M,127.30M,,,3.098B,,,,,,,,,162.40M,2.459B,1.015B,3.474B,,,,40.50M,3.677B,6.775B,1.064B,72.70M,445.00M,1.582B,245.90M,1.828B,,,18.50M,18.50M,205.10M,205.10M,,2.223B,3.262B,,3.262B,350.40M,350.40M,,,,32.20M,3.645B,5.867B,1.60M,-1.835B,2.875B,,-133.50M,907.30M
2016-12,263.70M,,263.70M,2.169B,234.90M,2.404B,452.00M,452.00M,118.90M,,,3.238B,0.0,27.70M,120.40M,179.50M,,20.40M,348.00M,-184.30M,163.70M,2.455B,1.056B,3.511B,,,,36.00M,3.710B,6.948B,1.073B,40.60M,580.40M,1.694B,228.10M,1.922B,,,18.50M,18.50M,172.60M,172.60M,,2.281B,3.216B,,3.216B,369.20M,369.20M,,,,37.10M,3.622B,5.903B,1.60M,-1.674B,2.857B,,-139.60M,1.046B
2016-09,118.30M,,118.30M,2.020B,269.40M,2.289B,451.60M,451.60M,138.70M,,,2.998B,,,,,,,,,162.50M,2.468B,1.111B,3.578B,,,,34.00M,3.775B,6.773B,997.70M,42.90M,477.70M,1.518B,245.10M,1.763B,,,18.50M,18.50M,180.10M,180.10M,,2.127B,3.223B,,3.223B,393.20M,393.20M,,,,39.40M,3.656B,5.782B,1.60M,-1.739B,2.844B,,-115.80M,990.50M
2016-06,129.40M,,129.40M,2.082B,260.30M,2.343B,487.30M,487.30M,115.80M,,,3.075B,,,,,,,,,163.80M,2.475B,1.162B,3.637B,,,,11.80M,3.813B,6.888B,1.078B,46.60M,509.80M,1.634B,236.90M,1.871B,,,26.10M,26.10M,144.60M,144.60M,,2.178B,3.214B,,3.214B,420.80M,420.80M,,,,61.60M,3.697B,5.874B,1.60M,-1.715B,2.831B,,-104.00M,1.013B
2016-03,248.20M,,248.20M,1.780B,212.70M,1.993B,460.40M,460.40M,114.80M,,,2.816B,,,,,,,,,168.40M,2.495B,1.225B,3.721B,,,,12.60M,3.902B,6.718B,958.60M,89.70M,372.90M,1.421B,202.30M,1.624B,,,26.90M,26.90M,166.30M,166.30M,,1.943B,3.225B,,3.225B,448.50M,448.50M,,,,61.10M,3.735B,5.678B,1.70M,-1.71B,2.817B,,-68.90M,1.040B
2015-12,37.60M,,37.60M,2.017B,198.40M,2.216B,393.10M,393.10M,144.30M,,,2.791B,0.0,27.70M,126.70M,196.10M,,23.90M,374.40M,-199.00M,175.40M,2.500B,1.276B,3.777B,,,,12.30M,3.964B,6.755B,866.50M,38.10M,439.60M,1.344B,243.60M,1.588B,,,27.20M,27.20M,151.90M,151.90M,,1.887B,3.232B,,3.232B,469.60M,469.60M,,,,70.00M,3.772B,5.659B,1.70M,-1.652B,2.807B,,-61.10M,1.096B
2015-09,97.50M,,97.50M,1.86B,230.60M,2.091B,411.40M,411.40M,135.40M,,,2.735B,,,,,,,,,154.40M,2.517B,1.325B,3.843B,0.00,,,9.40M,4.007B,6.742B,1.013B,32.20M,354.70M,1.400B,200.50M,1.600B,,,27.50M,27.50M,126.40M,126.40M,,1.872B,3.240B,,3.240B,495.90M,495.90M,,,,57.70M,3.794B,5.666B,1.70M,-1.675B,2.794B,,-45.30M,1.076B
2015-06,335.70M,,335.70M,1.712B,188.70M,1.901B,436.20M,436.20M,41.30M,,,2.714B,,,,,,,,,134.20M,2.216B,1.089B,3.305B,95.40M,,,2.20M,3.537B,6.251B,853.90M,42.00M,373.30M,1.269B,176.30M,1.446B,,,15.40M,15.40M,56.50M,56.50M,,1.626B,3.154B,,3.154B,428.20M,428.20M,,,,47.40M,3.630B,5.255B,1.70M,-1.712B,2.730B,,-22.90M,995.80M
2015-03,447.40M,,447.40M,1.449B,174.10M,1.623B,357.00M,357.00M,58.50M,,,2.486B,,,,,,,,,135.10M,2.215B,1.129B,3.344B,86.70M,,34.30M,2.60M,3.603B,6.089B,695.10M,74.50M,289.80M,1.059B,166.20M,1.226B,,,15.40M,15.40M,82.30M,82.30M,,1.426B,3.191B,,3.191B,450.00M,450.00M,,,,46.70M,3.688B,5.113B,1.70M,-1.718B,2.719B,,-27.60M,975.50M
2014-12,344.50M,,344.50M,1.561B,155.60M,1.717B,337.50M,337.50M,54.70M,,,2.453B,0.0,27.70M,105.10M,152.20M,,24.70M,309.70M,-172.50M,137.20M,2.218B,1.169B,3.386B,86.70M,,,12.20M,3.622B,6.076B,704.00M,29.10M,332.10M,1.065B,176.00M,1.241B,,,15.40M,15.40M,81.30M,81.30M,,1.468B,3.151B,,3.151B,475.00M,475.00M,,,,45.80M,3.671B,5.139B,1.70M,-1.760B,2.712B,,-16.60M,936.50M
2014-09,357.80M,,357.80M,1.473B,175.40M,1.649B,423.50M,423.50M,86.30M,,,2.516B,,,,,,,,,131.70M,2.219B,1.207B,3.426B,,,31.80M,2.10M,3.591B,6.107B,777.90M,25.00M,299.70M,1.103B,203.40M,1.306B,,,15.40M,15.40M,102.30M,102.30M,,1.528B,3.146B,,3.146B,495.40M,495.40M,,,,44.10M,3.686B,5.213B,1.70M,-1.801B,2.705B,,-11.70M,894.00M
2014-06,227.60M,,227.60M,1.526B,159.60M,1.686B,449.60M,449.60M,52.40M,,,2.415B,,,,,,,,,129.80M,2.220B,1.247B,3.467B,,,31.50M,1.60M,3.63B,6.045B,809.90M,41.50M,311.80M,1.163B,175.80M,1.339B,,,15.40M,15.40M,77.90M,77.90M,,1.529B,3.111B,,3.111B,517.90M,517.90M,,,,42.60M,3.671B,5.200B,1.70M,-1.849B,2.698B,,-6.50M,844.80M
2014-03,306.70M,,306.70M,1.335B,164.50M,1.500B,388.40M,388.40M,53.30M,,,2.248B,,,,,,,,,129.90M,2.219B,1.287B,3.506B,,,27.50M,1.50M,3.665B,5.912B,683.70M,78.50M,250.20M,1.012B,206.00M,1.218B,,,15.40M,15.40M,93.60M,93.60M,,1.418B,3.157B,,3.157B,540.80M,540.80M,,,,41.40M,3.739B,5.158B,1.70M,-1.928B,2.692B,,-10.20M,754.80M
2013-12,188.10M,,188.10M,1.451B,146.30M,1.597B,382.00M,382.00M,46.10M,,,2.214B,0.0,27.70M,104.80M,166.70M,,10.90M,310.10M,-179.00M,131.10M,2.220B,1.328B,3.548B,0.00,,30.10M,1.60M,3.711B,5.925B,662.80M,35.50M,256.60M,954.90M,195.30M,1.150B,,,45.40M,45.40M,94.80M,94.80M,,1.403B,3.206B,,3.206B,563.50M,563.50M,,,,41.00M,3.810B,5.213B,1.70M,-1.972B,2.688B,,-6.30M,711.70M
2013-09,350.20M,,350.20M,1.311B,197.10M,1.508B,353.80M,353.80M,63.10M,10.90M,,2.286B,,,,,,,,,129.60M,2.223B,1.366B,3.588B,,,33.70M,1.40M,3.753B,6.039B,672.60M,23.30M,225.20M,921.10M,228.90M,1.15B,,,170.40M,170.40M,82.50M,82.50M,,1.496B,3.240B,,3.240B,599.40M,599.40M,2.50M,,,40.90M,3.882B,5.379B,1.70M,-2.024B,2.686B,,-3.30M,659.80M
2013-06,179.30M,,179.30M,1.390B,165.10M,1.556B,378.50M,378.50M,108.20M,12.10M,,2.234B,,,,,,,,,132.70M,2.207B,1.404B,3.611B,,,41.40M,1.60M,3.787B,6.020B,771.00M,25.80M,282.50M,1.079B,161.80M,1.241B,,,13.50M,13.50M,96.90M,96.90M,,1.445B,3.711B,,3.711B,598.30M,598.30M,6.40M,,,50.70M,4.366B,5.812B,1.40M,-1.998B,2.211B,,-5.30M,209.00M
2013-03,147.10M,,147.10M,1.264B,151.50M,1.416B,358.40M,358.40M,51.50M,13.10M,,1.986B,,,,,,,,,134.00M,2.208B,1.444B,3.652B,,,49.30M,1.20M,3.837B,5.823B,642.10M,40.10M,252.90M,935.10M,225.20M,1.160B,,,,,66.00M,66.00M,,1.313B,3.681B,,3.681B,609.00M,609.00M,6.90M,,,49.30M,4.346B,5.659B,1.40M,-2.045B,2.209B,,-2.00M,163.80M
2012-12,37.90M,,37.90M,1.285B,148.50M,1.434B,314.60M,314.60M,34.60M,14.10M,,1.835B,0.0,27.70M,104.00M,159.10M,,11.90M,302.70M,-160.00M,142.70M,2.209B,1.478B,3.688B,,,53.20M,1.60M,3.885B,5.72B,518.60M,22.80M,249.20M,790.60M,180.40M,971.00M,,,40.00M,40.00M,57.80M,57.80M,,1.168B,3.731B,,3.731B,624.30M,624.30M,,,,60.00M,4.415B,5.584B,1.40M,-2.073B,2.208B,,0.40M,136.50M
2011-12,99.90M,,99.90M,1.273B,143.60M,1.417B,321.70M,321.70M,34.70M,24.60M,,1.898B,0.0,27.70M,102.10M,147.50M,,17.00M,294.30M,-140.00M,154.30M,2.208B,1.636B,3.844B,,,68.50M,3.00M,4.070B,5.968B,517.80M,23.10M,278.70M,819.60M,186.30M,1.006B,,,201.00M,201.00M,45.90M,45.90M,,1.359B,3.865B,,3.865B,692.00M,692.00M,13.00M,,,45.60M,4.616B,5.975B,1.40M,-2.191B,2.185B,,-2.10M,-7.30M
2011-09,25.90M,,25.90M,1.257B,186.10M,1.443B,315.10M,315.10M,48.70M,29.30M,,1.862B,,,,,,,,,147.90M,2.208B,1.673B,3.880B,,,71.60M,3.10M,4.103B,5.965B,786.90M,,,786.90M,385.90M,1.173B,,,,,,,,1.173B,4.071B,,4.071B,698.30M,698.30M,,,,58.40M,4.828B,6.000B,,,,,,-35.50M
2011-06,44.60M,,44.60M,1.178B,187.70M,1.366B,348.90M,348.90M,56.70M,50.60M,,1.867B,,,,,,,,,150.80M,2.210B,1.713B,3.923B,0.00,2.40M,76.50M,2.20M,4.155B,6.022B,772.70M,25.00M,,797.70M,166.60M,964.30M,,,,,49.00M,49.00M,,1.091B,4.226B,,4.226B,711.20M,711.20M,14.50M,,,48.40M,5.000B,6.091B,0.00,-2.247B,2.175B,,2.70M,-69.30M
2011-03,73.70M,,73.70M,1.079B,173.90M,1.253B,308.70M,308.70M,44.50M,50.60M,,1.730B,,,,,,,,,154.90M,2.21B,1.751B,3.961B,0.00,2.20M,72.60M,3.60M,4.194B,5.925B,638.60M,27.30M,,665.90M,242.90M,908.80M,,21.00M,21.00M,21.00M,36.90M,36.90M,,1.044B,4.125B,,4.125B,720.80M,720.80M,30.50M,,,44.60M,4.921B,5.964B,0.00,-2.212B,2.170B,,2.20M,-39.60M
2010-12,36.60M,,36.60M,1.092B,192.80M,1.284B,,292.80M,35.80M,52.80M,,1.702B,0.0,27.70M,97.30M,138.20M,,15.80M,279.00M,-120.90M,158.10M,2.209B,1.791B,4.000B,0.00,1.20M,79.70M,2.20M,4.242B,5.944B,537.10M,27.40M,28.20M,592.70M,270.20M,862.90M,,132.60M,132.60M,132.60M,28.60M,28.60M,2.80M,1.027B,4.157B,,4.157B,730.30M,730.30M,32.30M,,,40.40M,4.960B,5.987B,0.00,-2.208B,2.167B,,-2.20M,-43.50M
2010-09,67.00M,,67.00M,1.120B,145.50M,1.265B,,304.90M,49.20M,23.20M,,1.710B,,,,,,,,,147.70M,2.208B,1.830B,4.038B,0.00,0.60M,77.00M,2.30M,4.265B,5.975B,587.00M,20.20M,,607.20M,230.70M,837.90M,,22.60M,22.60M,22.60M,37.70M,37.70M,22.00M,1.006B,4.270B,,4.270B,652.40M,652.40M,34.20M,0.00,,48.60M,5.006B,6.012B,0.00,-2.184B,2.163B,,-16.20M,-37.10M
2009-12,88.00M,,88.00M,1.007B,127.80M,1.134B,,257.80M,37.50M,40.00M,,1.558B,0.0,27.70M,96.20M,134.10M,,1.00M,259.00M,-93.20M,165.80M,2.207B,1.951B,4.159B,0.00,0.00,91.20M,2.40M,4.418B,5.976B,292.30M,19.90M,,312.20M,202.10M,514.30M,,22.60M,22.60M,22.60M,28.90M,28.90M,68.70M,634.50M,4.599B,,4.599B,694.70M,694.70M,45.60M,1.90M,,44.70M,5.386B,6.021B,0.00,-2.179B,2.155B,,-21.30M,-44.70M
2007-06,196.19M,384.13M,580.32M,909.16M,46.84M,956.00M,,290.62M,18.15M,15.05M,,1.860B,,,,,,,180.11M,,180.11M,119.49M,59.69M,179.18M,,,,8.37M,367.66M,2.228B,421.23M,42.08M,-42.08M,421.23M,183.84M,605.07M,,,,,,,,605.07M,,,,10.52M,10.52M,,,,24.93M,35.45M,640.52M,0.974M,1.787B,691.46M,893.72M,1.065M,1.587B
2007-03,185.37M,294.80M,480.17M,835.30M,46.20M,881.50M,,282.96M,21.29M,15.06M,,1.681B,,,,,,,177.20M,,177.20M,119.49M,61.60M,181.09M,,,,37.94M,396.23M,2.077B,392.21M,,,392.21M,192.23M,584.44M,,,,,,,,584.44M,,,,10.76M,10.76M,,,,24.21M,34.97M,619.41M,0.965M,1.707B,641.90M,893.03M,0.565M,1.458B
2006-12,148.08M,203.52M,351.60M,850.00M,55.88M,905.88M,,261.86M,15.14M,15.06M,,1.550B,,,,,,,171.45M,,171.45M,119.49M,63.60M,183.09M,,,,47.35M,401.89M,1.951B,354.31M,,,354.31M,175.07M,529.38M,,,,,,,,529.38M,,,,10.76M,10.76M,,,,24.12M,34.88M,564.26M,0.963M,1.631B,631.98M,876.90M,0.494M,1.387B
2006-09,303.18M,218.10M,521.27M,738.60M,40.14M,778.74M,,285.16M,15.71M,16.30M,,1.617B,,,,,,,119.26M,,119.26M,,,,50.00M,,,14.45M,183.71M,1.801B,340.25M,4.17M,-4.17M,340.25M,132.00M,472.25M,,,,,,,,472.25M,,,,,,,,,,22.73M,494.98M,0.958M,1.577B,604.17M,877.00M,0.727M,1.306B
2006-06,119.53M,325.39M,444.92M,689.82M,50.95M,740.78M,,257.04M,12.07M,14.67M,,1.469B,,,,,,,115.78M,,115.78M,,,,59.26M,,,11.19M,186.23M,1.656B,277.32M,36.44M,,313.76M,98.32M,412.08M,,,,,,,,412.08M,,,,,,,,,,22.14M,434.22M,0.954M,1.499B,581.68M,861.20M,0.725M,1.221B
2006-03,174.38M,366.64M,541.02M,659.91M,53.55M,713.46M,,257.55M,15.67M,11.77M,,1.539B,,,,,,,112.33M,,112.33M,,,,65.46M,,,11.73M,189.52M,1.729B,302.00M,22.33M,-22.33M,302.00M,145.37M,447.37M,,,,,,,,447.37M,,,,,,,,,,25.00M,472.37M,0.949M,1.467B,565.30M,777.08M,0.515M,1.257B
2005-12,201.25M,370.50M,571.75M,637.24M,27.85M,665.09M,,243.56M,8.274M,12.56M,,1.501B,,,,,,,97.28M,,97.28M,0.00,4.767M,4.767M,,,,45.77M,147.81M,1.649B,245.20M,,,245.20M,122.56M,367.76M,,,,,,,,367.76M,,,,0.00,0.00,,,,16.73M,16.73M,384.49M,0.934M,1.405B,507.83M,649.23M,0.163M,1.265B
2005-09,231.96M,293.38M,525.33M,668.66M,31.68M,700.34M,,258.72M,5.712M,13.72M,,1.504B,,,,,,,92.69M,,92.69M,,,,64.32M,,,10.71M,167.72M,1.672B,299.87M,8.99M,-8.99M,299.87M,128.60M,428.46M,,,,,,,,428.46M,,,,,,,,,,16.46M,444.92M,0.933M,1.335B,501.52M,610.38M,-0.211M,1.227B
2005-06,115.90M,394.10M,510.01M,628.91M,28.83M,657.74M,,214.93M,4.632M,13.72M,,1.401B,,,,,,,81.37M,,81.37M,,,,70.36M,,,10.63M,162.36M,1.563B,281.17M,3.947M,-3.947M,281.17M,117.44M,398.61M,,,,,,,,398.61M,,,,,,,,,,15.60M,414.21M,0.93M,1.262B,490.20M,603.26M,-0.331M,1.149B
2005-03,173.04M,417.21M,590.25M,571.05M,27.21M,598.27M,,205.41M,5.66M,13.72M,,1.413B,,,,,,,77.82M,,77.82M,,,,86.14M,,,10.72M,174.68M,1.588B,262.30M,36.39M,-36.39M,262.30M,139.38M,401.68M,,,,,,,,401.68M,,,,,,,,,,0.00,401.68M,0.926M,1.230B,477.34M,521.16M,-0.493M,1.186B
2004-12,148.80M,329.39M,478.20M,580.04M,24.36M,604.40M,,213.22M,6.901M,13.72M,,1.316B,,,,,,,68.60M,,68.60M,,,,125.43M,,,10.48M,204.50M,1.521B,167.88M,14.66M,-14.66M,167.88M,102.99M,270.86M,,,,,,,,270.86M,,,,,,,,,,8.654M,279.52M,0.922M,1.168B,462.95M,390.93M,0.203M,1.241B
2004-09,226.20M,406.37M,632.57M,545.46M,27.61M,573.07M,,214.45M,5.006M,12.15M,,1.437B,,,,,,,67.34M,,67.34M,,,,,,,14.74M,82.09M,1.519B,231.75M,,,231.75M,121.01M,352.76M,,,,,,,,352.76M,,,,,,,,0.00,,0.00,352.76M,0.919M,1.106B,450.82M,390.93M,0.256M,1.167B
2004-06,215.42M,389.86M,605.28M,514.41M,27.92M,542.33M,,188.91M,2.854M,12.15M,,1.352B,,,,,,,63.95M,,63.95M,,,,,,,15.58M,79.53M,1.431B,215.86M,,,215.86M,100.18M,316.04M,,,,,,,,316.04M,,,,,,,,2.374M,,0.00,316.04M,0.918M,1.040B,448.07M,376.66M,0.04M,1.113B
2004-03,306.40M,355.62M,662.03M,472.00M,25.34M,497.34M,,172.56M,3.061M,12.15M,,1.347B,,,,,,,61.57M,,61.57M,,,,,,,15.88M,77.45M,1.425B,186.02M,,,186.02M,97.75M,283.76M,,,,,,,,283.76M,,,,,,,,2.156M,,0.00,283.76M,0.917M,1.012B,442.60M,316.95M,0.13M,1.139B
2003-12,222.42M,175.21M,397.64M,444.00M,28.52M,472.52M,,183.89M,3.994M,12.15M,,1.070B,,,,,,,62.32M,,62.32M,,,,,,,179.13M,241.45M,1.312B,149.07M,,,149.07M,99.39M,248.46M,,,,,,,,248.46M,,,,,,,,1.985M,,0.00,248.46M,0.909M,956.87M,408.41M,304.92M,0.183M,1.061B
2003-09,228.15M,300.82M,528.96M,455.57M,21.01M,476.58M,,189.95M,5.47M,11.76M,,1.213B,,,,,,,62.91M,,62.91M,,,,2.638M,,,14.68M,80.23M,1.293B,210.48M,,,210.48M,81.07M,291.54M,,,,,,,,291.54M,,,,,,,,,,0.00,291.54M,0.905M,912.31M,393.45M,304.92M,0.056M,1.001B
2003-06,223.37M,329.78M,553.15M,355.15M,18.86M,374.01M,,147.51M,4.645M,11.76M,,1.091B,,,,,,,62.19M,,62.19M,,,,3.24M,,,7.515M,72.95M,1.164B,141.48M,,,141.48M,50.60M,192.08M,,,,,,,,192.08M,,,,,,,,,,0.00,192.08M,0.902M,892.58M,383.55M,304.57M,0.014M,971.94M
