,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2003-03,1.018B,1.018B,870.23M,147.39M,,,68.31M,,-0.405M,,,10.62M,78.94M,68.45M,,,-0.405M,,70.09M,27.69M,42.41M,42.41M,42.65M,72.34M,3.892M,68.45M,0.51,0.0,0.5129,0.51,0.49,0.0,0.4928,0.49,83.97M,86.54M,
2002-12,1.054B,1.054B,914.57M,139.38M,,,65.22M,,-0.393M,,,0.802M,66.02M,73.37M,,,-0.393M,,75.28M,29.74M,45.55M,45.55M,45.78M,77.10M,3.728M,73.37M,0.54,0.0,0.5428,0.54,0.53,0.0,0.5327,0.53,83.81M,86.96M,
2002-09,1.151B,1.151B,993.93M,157.04M,,,67.19M,,-0.377M,,,0.931M,68.12M,88.92M,,,-0.377M,,90.73M,35.84M,54.89M,54.89M,55.12M,92.54M,3.616M,88.92M,0.65,0.0,0.6527,0.65,0.63,0.0,0.6326,0.63,84.21M,87.33M,
2002-06,1.057B,1.057B,919.57M,137.25M,,,64.97M,,-0.431M,,,1.58M,66.55M,70.69M,,,-0.431M,,72.81M,28.76M,44.05M,44.05M,44.31M,74.70M,4.007M,70.69M,0.51,0.0,0.513,0.51,0.49,0.0,0.4929,0.49,85.62M,89.13M,
2002-03,1.003B,1.003B,872.67M,130.16M,,,64.24M,,-0.328M,,,0.733M,64.97M,65.19M,,,-0.328M,,67.37M,26.61M,40.76M,40.76M,40.95M,69.41M,4.213M,65.19M,0.47,0.0,0.4723,0.47,0.45,0.0,0.4522,0.45,85.84M,89.75M,
2001-12,988.19M,988.19M,857.87M,130.32M,,,62.48M,,-0.325M,,,0.456M,62.93M,67.39M,,,-0.325M,,69.62M,27.67M,41.94M,41.94M,42.14M,71.74M,4.359M,67.39M,0.49,0.0,0.4923,0.49,0.47,0.0,0.4722,0.47,85.44M,89.51M,
2001-09,991.06M,991.06M,857.09M,133.97M,,,64.48M,,-0.228M,,,0.648M,65.12M,68.85M,,,-0.228M,,71.76M,28.52M,43.24M,43.24M,43.37M,72.80M,3.945M,68.85M,0.5,0.0,0.5016,0.5,0.49,0.0,0.4915,0.49,85.84M,89.04M,
2001-06,995.04M,995.04M,862.42M,132.62M,,,62.53M,,-0.20M,,,1.592M,64.12M,68.50M,,,-0.20M,,71.42M,28.39M,43.03M,43.03M,43.15M,72.40M,3.898M,68.50M,0.5,0.0,0.5014,0.5,0.48,0.0,0.4814,0.48,85.60M,88.89M,
2001-03,987.24M,987.24M,857.13M,130.12M,,,63.84M,,-0.106M,,,2.813M,66.66M,63.46M,,,-0.106M,,67.18M,26.70M,40.48M,40.48M,40.54M,66.64M,3.181M,63.46M,0.47,0.0,0.4707,0.47,0.45,0.0,0.4507,0.45,86.19M,89.09M,
2000-12,1.007B,1.007B,879.80M,127.28M,,,48.13M,,-0.22M,,,,60.60M,66.67M,,,-0.22M,,69.54M,27.54M,42.00M,42.00M,42.13M,69.83M,3.162M,66.67M,0.49,0.0,0.4915,0.49,0.47,0.0,0.4715,0.47,87.44M,90.94M,
2000-09,1.028B,1.028B,896.92M,131.13M,,,59.36M,,-0.123M,,,,59.36M,71.78M,,,-0.123M,,74.39M,29.46M,44.93M,44.93M,45.00M,74.56M,2.787M,71.78M,0.52,0.0,0.5209,0.52,0.49,0.0,0.4908,0.49,87.24M,91.87M,
2000-06,943.34M,943.34M,821.12M,122.22M,,,57.91M,,-0.172M,,,,57.91M,64.31M,,,-0.172M,,66.31M,26.26M,40.05M,40.05M,40.15M,66.89M,2.575M,64.31M,0.46,0.0,0.4612,0.46,0.44,0.0,0.4411,0.44,86.95M,91.15M,
2000-03,863.99M,863.99M,754.78M,109.21M,,,52.36M,,-0.175M,,,,52.36M,56.85M,,,-0.175M,,58.43M,23.14M,35.29M,35.29M,35.40M,58.80M,1.954M,56.85M,0.82,0.0,0.8224,0.82,0.79,0.0,0.7924,0.79,43.29M,44.73M,
1999-12,741.34M,741.34M,651.10M,90.24M,,,30.83M,,-0.15M,,,,42.13M,48.11M,,,-0.15M,,49.49M,19.61M,29.88M,29.88M,29.98M,60.00M,11.89M,48.11M,0.35,0.0,0.3511,0.35,0.33,0.0,0.331,0.33,86.09M,90.91M,
1999-09,683.00M,683.00M,595.50M,87.50M,,,43.50M,1.90M,-0.10M,,,,45.40M,42.10M,,,-0.10M,,43.40M,17.20M,26.20M,26.20M,26.26M,44.00M,-1.90M,42.10M,0.31,0.0,0.3107,0.31,0.3,0.0,0.3007,0.3,84.52M,87.33M,
1999-06,597.55M,597.55M,521.11M,76.45M,,,38.68M,1.70M,-0.108M,,,,40.38M,36.07M,,,-0.108M,,36.92M,14.62M,22.30M,22.30M,22.37M,37.77M,-1.70M,36.07M,0.26,0.0,0.2608,0.26,0.25,0.0,0.2507,0.25,86.24M,87.85M,
1999-03,539.41M,539.41M,470.00M,69.41M,,,36.20M,1.50M,0.90M,,,,37.70M,31.71M,,,0.90M,,32.60M,12.90M,19.70M,19.70M,19.16M,33.21M,-1.50M,31.71M,0.23,0.0,0.2236,0.23,0.23,0.0,0.2236,0.23,85.65M,85.65M,
1998-12,477.19M,477.19M,420.21M,56.98M,,,31.14M,,-3.835M,,,,27.74M,29.24M,,,-3.835M,,30.41M,12.07M,18.34M,18.34M,20.65M,37.40M,8.158M,29.24M,,,0.1422,0.1263,,,0.1414,0.1255,145.20M,146.10M,
1998-09,462.70M,462.70M,402.70M,60.00M,,,31.70M,1.20M,1.30M,,,,32.90M,27.10M,,,1.30M,,28.30M,11.20M,17.10M,17.10M,16.31M,28.30M,-1.20M,27.10M,0.2,0.0,0.1908,0.2,0.2,0.0,0.1908,0.2,85.50M,85.50M,
1998-06,408.90M,408.90M,356.20M,52.70M,,,26.90M,1.00M,1.00M,,,,27.90M,24.80M,,,1.00M,,25.80M,10.20M,15.60M,15.60M,15.00M,25.80M,-1.00M,24.80M,0.18,0.0,0.173,0.18,0.18,0.0,0.173,0.18,86.67M,86.67M,
