,NetIncome,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2017-06,48.70M,-0.10M,-2.30M,-2.40M,22.50M,22.50M,2.60M,4.90M,,-2.70M,200.50M,-10.70M,58.10M,,-30.40M,-16.10M,201.40M,20.00M,295.00M,-12.20M,0.00,0.00,,,-14.10M,-32.90M,-102.10M,-124.10M,-226.20M,4.70M,-0.10M,4.60M,-22.20M,-22.20M,-2.50M,-246.30M,96.10M,15.80M,1.30M,113.20M,4.70M,97.90M,-200.00M,-0.10M
2017-03,45.00M,-0.10M,-2.30M,-2.40M,23.60M,23.60M,4.80M,6.30M,,6.20M,78.80M,-37.90M,141.40M,,-2.60M,-333.20M,-153.50M,35.10M,-34.90M,-8.70M,0.80M,0.80M,0.00,,-17.00M,-31.10M,-0.70M,120.10M,119.40M,9.60M,-1.40M,8.20M,-22.10M,-22.10M,-9.00M,96.50M,64.20M,30.50M,1.40M,96.10M,9.60M,,-0.70M,-1.40M
2016-12,9.40M,-0.10M,23.40M,23.30M,25.40M,25.40M,46.80M,4.60M,0.10M,49.20M,-233.80M,115.20M,-196.20M,,41.00M,217.40M,-56.40M,7.30M,109.70M,-16.00M,0.00,0.00,,,-9.90M,-38.00M,-115.60M,31.00M,-84.60M,1.70M,-11.40M,-9.70M,-22.20M,-22.20M,-20.10M,-136.60M,130.70M,-64.90M,-1.60M,64.20M,1.70M,0.70M,-116.30M,-11.40M
2016-09,48.50M,-0.40M,1.50M,1.10M,25.60M,25.60M,11.70M,4.40M,-0.10M,8.10M,7.70M,60.10M,-39.70M,,-22.10M,1.10M,7.10M,57.20M,163.60M,-34.50M,0.60M,0.60M,,,4.00M,-37.50M,-76.20M,9.00M,-67.20M,0.30M,-0.40M,-0.10M,-22.10M,-22.10M,0.10M,-89.30M,93.60M,36.80M,0.30M,130.70M,0.30M,-0.70M,-75.50M,-0.40M
2016-06,46.80M,0.00,3.80M,3.80M,24.70M,24.70M,-2.70M,5.00M,-0.10M,-7.20M,134.80M,-33.80M,-29.80M,,6.40M,-50.10M,27.50M,26.70M,124.50M,-5.80M,1.30M,1.30M,,,-2.80M,-15.50M,2.30M,-61.80M,-59.50M,1.50M,0.00,1.50M,-22.20M,-22.20M,0.10M,-80.10M,64.30M,28.90M,0.40M,93.60M,1.50M,2.80M,-0.50M,0.00
2016-03,26.00M,0.00,3.80M,3.80M,24.90M,24.90M,-2.50M,6.20M,-0.30M,3.50M,103.10M,-62.50M,198.90M,,29.70M,-268.50M,0.70M,37.70M,100.00M,-34.90M,0.00,0.00,,,-2.80M,-44.20M,-50.30M,2.40M,-47.90M,0.60M,-1.20M,-0.60M,-22.10M,-22.10M,-0.40M,-71.00M,78.60M,-15.20M,0.90M,64.30M,0.60M,,-50.30M,-1.20M
2015-12,-215.00M,0.00,12.00M,12.00M,-15.40M,-15.40M,-34.20M,3.20M,0.20M,-195.10M,-174.90M,35.80M,-172.60M,,1.60M,530.00M,219.90M,176.80M,-47.60M,34.00M,0.60M,0.60M,0.00,31.90M,-15.20M,-3.90M,-12.30M,-9.70M,-22.00M,0.10M,-0.50M,-0.40M,-22.10M,-22.10M,-0.20M,-44.70M,173.70M,-96.20M,1.10M,78.60M,0.10M,-0.10M,-12.20M,-0.50M
2015-09,5.40M,0.00,7.90M,7.90M,38.00M,38.00M,31.20M,3.90M,0.40M,33.80M,74.10M,32.80M,-393.70M,,8.70M,33.20M,-244.90M,-13.60M,-137.90M,-22.20M,-0.30M,-0.30M,0.00,34.50M,-5.70M,3.00M,-0.60M,-143.00M,-143.60M,0.20M,0.00,0.20M,-22.10M,-22.10M,-0.40M,-165.90M,477.50M,-300.80M,-3.00M,173.70M,0.20M,0.10M,-0.70M,0.00
2015-06,58.10M,-0.10M,11.90M,11.80M,31.40M,31.40M,-8.10M,3.80M,-0.30M,2.80M,188.90M,9.20M,42.20M,,-16.10M,-141.30M,82.90M,-57.80M,124.60M,-28.30M,1.30M,1.30M,-1.205B,,-1.70M,419.40M,626.70M,-777.60M,-150.90M,2.10M,-0.30M,1.80M,-22.10M,-22.10M,0.30M,-170.90M,105.20M,373.10M,-0.80M,477.50M,2.10M,1.65B,-1.023B,-0.30M
2015-03,-61.10M,0.10M,10.70M,10.80M,22.80M,22.80M,29.30M,4.50M,-1.70M,19.30M,52.50M,-50.00M,-26.10M,,17.30M,-322.50M,-328.80M,7.70M,-297.20M,-36.90M,0.30M,0.30M,,,-17.60M,-69.80M,-0.40M,383.00M,382.60M,3.50M,-2.90M,0.60M,-20.10M,-20.10M,1.70M,364.80M,109.50M,-2.20M,-2.10M,105.20M,3.50M,,-0.40M,-2.90M
2014-12,58.90M,0.00,6.80M,6.80M,22.60M,22.60M,-32.80M,3.30M,-0.30M,8.60M,-176.70M,109.60M,-142.40M,,-3.20M,298.10M,85.40M,19.50M,172.00M,-38.90M,-0.10M,-0.10M,0.00,27.50M,-10.90M,-35.90M,-13.90M,-38.40M,-52.30M,1.10M,-0.40M,0.70M,-20.00M,-20.00M,-78.70M,-150.30M,124.30M,-14.20M,-0.60M,109.50M,1.10M,3.00M,-16.90M,-0.40M
2014-09,53.70M,0.10M,5.30M,5.40M,23.00M,23.00M,-4.20M,3.10M,-0.40M,33.60M,-79.30M,-29.40M,41.00M,,0.90M,-7.20M,-74.00M,46.90M,87.10M,-41.90M,0.10M,0.10M,0.00,0.00,-20.40M,-74.60M,-0.40M,36.80M,36.40M,0.80M,-0.20M,0.60M,-20.10M,-20.10M,-18.30M,-1.40M,114.40M,11.10M,-1.20M,124.30M,0.80M,0.00,-0.40M,-0.20M
2014-06,98.00M,-0.10M,9.00M,8.90M,24.00M,24.00M,-22.10M,4.60M,-0.60M,-0.10M,61.60M,-34.50M,113.20M,,-4.30M,-50.50M,85.50M,13.20M,211.40M,-38.10M,0.20M,0.20M,0.00,,-3.30M,-48.40M,-16.60M,-98.40M,-115.00M,1.50M,-0.10M,1.40M,-20.00M,-20.00M,-7.90M,-141.50M,92.50M,21.50M,0.40M,114.40M,1.50M,0.00,-16.60M,-0.10M
2014-03,97.00M,-0.20M,8.50M,8.30M,23.90M,23.90M,1.30M,3.80M,-3.40M,4.80M,-80.30M,-9.50M,19.00M,,28.90M,-199.80M,-241.70M,9.20M,-96.80M,-63.30M,0.00,0.00,,,-1.10M,123.60M,-0.70M,-39.60M,-40.30M,5.20M,-4.00M,1.20M,-18.00M,-18.00M,0.40M,-56.70M,123.20M,-29.90M,-0.80M,92.50M,5.20M,,-0.70M,-4.00M
2013-12,37.20M,-1.20M,14.10M,12.90M,-3.70M,-3.70M,-12.50M,2.00M,-0.40M,2.10M,-288.30M,16.40M,-74.20M,,6.50M,179.70M,-159.90M,101.80M,-20.50M,-5.40M,0.00,0.00,6.20M,,-10.80M,-82.70M,394.50M,-256.20M,138.30M,0.80M,-0.40M,0.40M,-18.00M,-18.00M,-3.20M,117.50M,109.60M,14.30M,-0.70M,123.20M,0.80M,268.90M,125.60M,-0.40M
2013-09,76.50M,0.10M,12.00M,12.10M,34.20M,34.20M,12.80M,3.40M,-0.40M,29.80M,-123.80M,-24.40M,117.00M,21.80M,6.90M,-33.30M,-35.80M,-16.50M,116.10M,-74.60M,0.40M,0.40M,-341.10M,,-38.60M,-457.80M,11.00M,632.90M,643.90M,1.50M,-250.30M,-248.80M,-18.50M,-18.50M,-3.80M,372.80M,77.40M,31.10M,1.10M,109.60M,1.50M,11.10M,-0.10M,-250.30M
2013-06,119.70M,0.10M,17.60M,17.70M,28.90M,28.90M,-0.20M,3.60M,-2.00M,2.00M,130.50M,15.00M,18.90M,-28.10M,-2.80M,-29.10M,104.40M,3.50M,277.60M,-46.10M,0.50M,0.50M,-1.30M,,-7.90M,-57.50M,-455.00M,250.00M,-205.00M,5.50M,0.00,5.50M,-18.40M,-18.40M,-6.50M,-224.40M,82.60M,-4.30M,-0.90M,77.40M,5.50M,-324.90M,-130.10M,0.00
2013-03,138.20M,0.30M,18.60M,18.90M,28.60M,28.60M,15.20M,5.20M,-4.30M,6.70M,-100.60M,-4.60M,30.40M,6.30M,-14.20M,-151.90M,-234.60M,-18.40M,-44.50M,-38.90M,1.20M,1.20M,-3.40M,,-5.50M,-55.20M,325.10M,-13.40M,311.70M,2.90M,-116.30M,-113.40M,-18.70M,-18.70M,-74.30M,105.30M,77.10M,5.60M,-0.10M,82.60M,2.90M,325.40M,-0.30M,-116.30M
2012-12,109.00M,0.40M,14.10M,14.50M,31.30M,31.30M,22.80M,3.30M,-2.30M,18.10M,-109.00M,-50.60M,-125.10M,35.80M,3.90M,101.70M,-143.30M,-26.30M,27.10M,-68.60M,2.30M,2.30M,-32.80M,,-13.20M,-123.30M,103.40M,-9.70M,93.70M,6.10M,-0.30M,5.80M,-12.40M,-12.40M,1.80M,88.90M,84.40M,-7.30M,0.00,77.10M,6.10M,106.50M,-3.10M,-0.30M
2012-09,103.80M,0.10M,13.60M,13.70M,17.90M,17.90M,8.50M,2.50M,-1.20M,6.60M,-18.50M,-53.20M,76.90M,-17.70M,-1.60M,-36.70M,-50.80M,-15.40M,85.60M,-27.50M,0.40M,0.40M,-18.70M,,-6.50M,-71.30M,-4.30M,16.90M,12.60M,1.60M,-0.70M,0.90M,-12.50M,-12.50M,-7.20M,-6.20M,75.50M,8.10M,0.80M,84.40M,1.60M,-2.00M,-2.30M,-0.70M
2012-06,118.40M,0.30M,14.70M,15.00M,34.50M,34.50M,10.80M,4.40M,-1.50M,4.60M,53.20M,-54.40M,92.40M,-17.80M,2.30M,-18.40M,57.30M,-8.90M,234.60M,-42.40M,0.10M,0.10M,-81.00M,,-7.80M,-131.10M,-107.70M,19.60M,-88.10M,3.20M,-0.10M,3.10M,-12.40M,-12.40M,-0.50M,-97.90M,70.80M,5.60M,-0.90M,75.50M,3.20M,-99.70M,-8.00M,-0.10M
2012-03,132.00M,-0.10M,14.70M,14.60M,32.20M,32.20M,13.00M,5.80M,-4.70M,-2.70M,-117.30M,-36.30M,68.30M,-0.30M,8.30M,-88.50M,-165.80M,-12.00M,12.40M,-38.80M,0.00,0.00,-24.20M,,-4.90M,-67.90M,124.10M,-4.20M,119.90M,7.80M,-147.90M,-140.10M,-10.50M,-10.50M,-2.30M,-33.00M,158.90M,-88.50M,0.40M,70.80M,7.80M,131.10M,-7.00M,-147.90M
2011-12,96.60M,2.30M,7.20M,9.50M,5.30M,5.30M,13.50M,2.30M,-1.10M,-23.30M,-107.80M,-15.70M,67.10M,10.60M,4.70M,116.50M,75.40M,-94.90M,83.30M,-37.70M,0.50M,0.50M,-126.50M,,-1.40M,-221.10M,269.30M,-13.70M,255.60M,2.30M,-55.10M,-52.80M,-41.20M,-10.60M,-3.50M,188.70M,109.40M,50.90M,-1.40M,158.90M,2.30M,300.20M,-30.90M,-55.10M
2011-09,97.20M,-0.50M,8.10M,-6.20M,31.60M,31.60M,26.70M,3.60M,-1.10M,23.50M,-3.40M,-30.60M,79.40M,-8.30M,1.00M,-52.30M,-14.20M,-10.60M,154.20M,-48.00M,0.50M,0.50M,-1.50M,,-9.00M,-58.00M,-66.50M,14.30M,-52.20M,1.20M,-100.50M,-99.30M,,-10.80M,-9.90M,-172.20M,186.60M,-76.00M,-1.20M,109.40M,1.20M,-8.40M,-66.50M,-100.50M
2011-06,121.10M,-1.70M,19.80M,27.40M,32.30M,32.30M,6.60M,3.60M,-0.40M,-6.00M,117.30M,-38.60M,37.20M,-0.80M,14.10M,-96.40M,32.80M,-10.30M,203.40M,-40.70M,0.00,0.00,0.00,0.00,-5.70M,-46.40M,-16.30M,-22.10M,-38.40M,1.10M,-10.10M,-9.00M,14.80M,-5.00M,-5.40M,-57.80M,86.00M,99.20M,1.40M,186.60M,1.10M,8.40M,-46.80M,-10.10M
2011-03,105.40M,-0.90M,,3.60M,30.40M,30.40M,35.60M,5.30M,-4.80M,9.70M,-113.90M,-25.00M,-62.80M,-6.70M,-25.40M,-2.10M,-235.90M,-8.90M,-59.60M,-30.40M,0.20M,0.20M,0.00,0.00,-2.30M,-32.50M,-7.60M,30.50M,22.90M,6.70M,-3.60M,3.10M,-14.80M,-14.80M,4.80M,16.00M,161.50M,-76.10M,0.60M,86.00M,6.70M,0.00,22.90M,-3.60M
2010-12,-42.00M,-0.80M,15.00M,14.20M,34.60M,34.60M,-12.60M,3.10M,-4.80M,62.80M,-41.50M,17.60M,20.20M,-7.50M,53.10M,-5.70M,36.20M,-21.80M,69.70M,-47.00M,-0.10M,-0.10M,-7.50M,,7.90M,-46.70M,-21.30M,-9.30M,-30.60M,5.70M,-100.70M,-95.00M,1.90M,1.90M,-6.20M,-129.90M,267.30M,-106.90M,1.10M,161.50M,5.70M,0.70M,-16.40M,-100.70M
2010-09,86.20M,-1.00M,24.40M,-8.60M,32.50M,32.50M,-24.80M,3.60M,-43.10M,20.30M,25.90M,-12.00M,154.20M,17.80M,-54.30M,-88.70M,42.90M,-11.50M,97.50M,-36.10M,0.10M,0.10M,0.00,,-5.70M,-41.70M,33.00M,-6.60M,26.40M,4.30M,-10.60M,-6.30M,-15.00M,-15.00M,43.10M,48.20M,162.40M,104.00M,0.90M,267.30M,4.30M,33.30M,-6.90M,-10.60M
2010-06,88.20M,0.00,-7.70M,7.60M,32.60M,32.60M,32.70M,3.80M,-8.40M,11.20M,54.00M,-6.60M,-12.90M,-20.90M,-11.80M,26.90M,28.70M,-5.60M,195.00M,-28.20M,1.40M,1.40M,,,-8.30M,-35.10M,-1.60M,-57.70M,-59.30M,3.90M,-25.00M,-21.10M,-11.60M,-11.60M,8.40M,-83.60M,86.70M,76.30M,-0.60M,162.40M,3.90M,1.00M,-60.30M,-25.00M
2010-03,86.10M,-0.90M,7.70M,23.50M,33.90M,33.90M,36.80M,4.20M,0.00,4.20M,-148.30M,-6.90M,33.80M,-21.00M,-12.40M,-31.10M,-185.90M,-6.30M,-7.70M,-31.00M,1.20M,1.20M,,,-0.70M,-30.50M,-1.10M,58.70M,57.60M,4.20M,-1.40M,2.80M,-11.70M,-11.70M,,48.70M,76.60M,10.50M,-0.40M,86.70M,4.20M,,57.60M,-1.40M
2009-12,69.30M,0.10M,-10.60M,122.30M,33.70M,33.70M,-24.00M,2.10M,0.00,-70.60M,-34.30M,29.00M,-139.20M,4.30M,,114.00M,-63.60M,-10.90M,58.30M,-54.40M,0.80M,0.80M,0.00,,-5.90M,-59.50M,435.50M,-408.80M,26.70M,4.20M,-0.20M,4.00M,,-22.40M,10.40M,18.70M,59.90M,17.50M,-0.80M,76.60M,4.20M,357.70M,-296.50M,-0.20M
2009-09,35.50M,-0.90M,10.60M,-42.90M,32.30M,32.30M,24.20M,2.50M,0.00,385.60M,-14.30M,12.20M,94.30M,-15.20M,,-413.80M,-336.80M,-11.00M,89.40M,-35.00M,5.40M,5.40M,-2.50M,,-2.60M,-34.70M,-78.80M,46.00M,-32.80M,3.70M,-20.30M,-16.60M,,-0.60M,-13.40M,-63.40M,67.00M,-8.70M,1.60M,59.90M,3.70M,14.00M,-81.30M,-20.30M
2009-06,76.90M,0.20M,,30.30M,30.90M,30.90M,9.80M,2.50M,0.00,-304.00M,32.90M,29.20M,-70.90M,11.10M,,300.40M,302.70M,-10.50M,138.60M,-40.80M,0.70M,0.70M,-18.90M,,-3.10M,-62.10M,7.10M,-49.70M,-42.60M,1.60M,-15.00M,-13.40M,,-17.60M,8.40M,-65.20M,54.90M,11.30M,0.80M,67.00M,1.60M,-42.60M,0.00,-15.00M
2009-03,75.30M,-1.70M,,20.80M,30.30M,30.30M,39.90M,4.10M,,3.30M,-43.60M,-35.00M,-66.40M,4.10M,,-8.00M,-148.90M,-9.60M,15.20M,-31.00M,0.90M,0.90M,-12.90M,,-1.40M,-44.40M,11.80M,38.20M,50.00M,0.70M,-1.10M,-0.40M,,-9.10M,-8.40M,32.10M,52.40M,2.90M,-0.40M,54.90M,0.70M,50.00M,0.00,-1.10M
2008-12,51.10M,-0.20M,,7.70M,29.90M,29.90M,8.00M,,,,29.30M,-41.50M,-63.50M,-12.70M,,24.00M,-99.30M,-12.00M,28.20M,-48.90M,2.20M,2.20M,-0.80M,,-2.90M,-50.40M,178.60M,-131.20M,47.40M,0.30M,-60.30M,-60.00M,,-21.80M,12.50M,-21.90M,95.00M,-44.10M,1.50M,52.40M,0.30M,77.00M,-29.60M,-60.30M
2008-09,85.90M,-2.30M,,21.20M,32.60M,32.60M,16.60M,,,,15.60M,-10.80M,30.40M,-2.20M,,-10.50M,22.50M,-11.10M,167.70M,-59.50M,1.00M,1.00M,-89.80M,,-2.50M,-150.80M,0.00,38.80M,38.80M,2.00M,-65.00M,-63.00M,,-9.30M,-6.80M,-40.30M,123.30M,-23.40M,-4.90M,95.00M,2.00M,51.30M,-12.50M,-65.00M
2008-06,92.20M,-0.30M,,17.80M,30.70M,30.70M,33.50M,,,,4.40M,-21.40M,51.90M,-9.90M,,-6.30M,18.70M,-14.80M,178.10M,-33.80M,0.90M,0.90M,0.00,,-2.20M,-35.10M,-70.30M,10.00M,-60.30M,6.40M,-30.00M,-23.60M,,-7.90M,0.00,-91.80M,70.40M,51.20M,1.70M,123.30M,6.40M,10.00M,-70.30M,-30.00M
2008-03,100.30M,-0.30M,,-0.20M,31.00M,31.00M,38.80M,,,,-148.30M,-17.90M,-23.40M,-27.60M,,-7.20M,-224.40M,-11.90M,-66.40M,-32.60M,77.70M,77.70M,0.00,,-0.50M,44.60M,-7.40M,64.70M,57.30M,4.40M,-31.60M,-27.20M,,-7.90M,-5.70M,16.50M,75.50M,-5.30M,0.20M,70.40M,4.40M,64.70M,-7.40M,-31.60M
2007-12,40.90M,,,-137.30M,33.00M,33.00M,-4.60M,,,164.90M,15.80M,-15.50M,26.40M,-16.00M,-53.70M,25.70M,-17.30M,-10.50M,69.10M,-38.90M,4.30M,-34.60M,,-4.40M,-3.00M,-42.00M,,,-30.80M,1.90M,-31.90M,-30.00M,,-7.90M,0.00,-68.70M,115.90M,-41.60M,1.20M,75.50M,1.90M,,,-31.90M
2007-09,37.10M,,,22.20M,32.30M,32.30M,2.40M,,,0.30M,76.80M,-16.30M,0.70M,18.00M,35.70M,-36.00M,78.90M,-8.40M,164.80M,-31.90M,0.50M,-31.40M,,4.40M,-11.20M,-38.20M,,,-34.00M,2.70M,-30.00M,-27.30M,,-8.00M,-6.40M,-75.70M,63.20M,50.90M,1.80M,115.90M,2.70M,,,-30.00M
2007-06,8.60M,,,96.50M,33.90M,33.90M,-5.90M,,,,9.30M,-11.30M,2.20M,-4.70M,-12.90M,-16.50M,-33.90M,-5.30M,93.90M,-24.20M,-0.50M,-24.70M,,,0.00,-24.70M,,,-20.80M,4.20M,-32.40M,-28.20M,,-6.90M,0.00,-55.90M,49.20M,13.30M,0.70M,63.20M,4.20M,,,-32.40M
2007-03,45.80M,,,32.50M,34.50M,34.50M,14.60M,,,,-150.50M,3.50M,-18.80M,-13.30M,1.40M,-11.30M,-189.00M,3.40M,-58.20M,-20.40M,1.30M,-19.10M,,,3.40M,-15.70M,,,-15.40M,5.80M,-22.10M,-16.30M,,-6.90M,-4.50M,-43.10M,165.50M,-117.00M,0.70M,49.20M,5.80M,,,-22.10M
2006-12,12.20M,,,-6.80M,33.80M,33.80M,8.50M,,,9.20M,5.40M,-6.10M,24.30M,-23.10M,-39.20M,18.20M,-20.50M,-13.70M,22.70M,-44.10M,0.70M,-43.40M,,1.90M,0.00,-41.50M,,,-55.30M,8.80M,-20.40M,-11.60M,,-6.90M,0.00,-73.80M,257.50M,-92.60M,0.60M,165.50M,8.80M,,,-20.40M
2006-09,45.50M,,,-56.40M,32.40M,32.40M,22.20M,,,67.60M,61.90M,3.30M,18.10M,23.20M,12.50M,-52.90M,66.10M,-21.80M,155.60M,-34.60M,1.50M,-33.10M,,-0.70M,-2.00M,-35.80M,,,-6.50M,2.00M,-51.00M,-49.00M,,-7.10M,-4.40M,-67.00M,203.80M,52.80M,0.90M,257.50M,2.00M,,,-51.00M
