,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2008-09,820.80M,820.80M,580.80M,240.00M,81.90M,23.40M,-15.60M,,-7.50M,,105.30M,134.70M,,-7.50M,-13.30M,-7.50M,113.90M,23.30M,90.60M,-5.90M,,-4.70M,80.00M,98.31M,167.30M,32.60M,134.70M,0.575,-0.04,,,0.6586,0.535,0.565,-0.04,,,0.6466,0.525,148.39M,152.03M,0.0625
2008-06,806.60M,806.60M,536.40M,270.20M,90.00M,23.00M,-10.70M,,-8.30M,,113.00M,157.20M,,-8.30M,-10.40M,-8.30M,138.50M,42.50M,96.00M,-7.80M,,-3.80M,84.40M,99.62M,187.90M,30.70M,157.20M,0.615,-0.05,,,0.6647,0.565,0.6,-0.05,,,0.6485,0.55,149.13M,152.95M,0.0625
2008-03,750.20M,750.20M,499.20M,251.00M,83.70M,21.80M,8.30M,,-8.70M,,105.50M,145.50M,,-8.70M,8.60M,-8.70M,145.40M,42.20M,103.20M,-6.40M,,-2.90M,93.90M,94.41M,176.50M,31.00M,145.50M,0.67,-0.045,,,0.6305,0.625,0.655,-0.045,,,0.6165,0.615,149.30M,153.15M,0.0525
2007-12,674.30M,674.30M,478.70M,195.60M,86.20M,27.20M,-22.90M,,,,113.40M,82.20M,,,-22.70M,,48.10M,2.20M,45.90M,-5.00M,,-3.50M,40.90M,67.75M,115.20M,33.00M,82.20M,0.305,-0.03,,,0.4526,0.275,0.3,-0.03,,,0.4418,0.265,148.10M,154.16M,0.0525
2007-09,626.60M,626.60M,440.20M,186.40M,73.80M,20.50M,-24.30M,,,,94.30M,92.10M,,,-24.70M,,55.90M,14.50M,41.40M,-4.30M,,-2.90M,37.10M,59.40M,124.40M,32.30M,92.10M,0.275,-0.03,,,0.3938,0.245,0.27,-0.03,,,0.3864,0.24,151.43M,154.58M,0.0525
2007-06,657.90M,657.90M,447.90M,210.00M,77.90M,23.70M,-92.70M,,,,101.60M,108.40M,,,-90.80M,,6.30M,-8.00M,14.30M,-5.70M,,-1.30M,8.60M,74.56M,142.30M,33.90M,108.40M,0.095,-0.0375,,,0.4979,0.0575,0.0925,-0.0375,,,0.4779,0.055,149.57M,156.36M,0.0525
2007-03,674.10M,674.10M,463.30M,210.80M,77.40M,23.20M,-25.30M,,,,100.60M,110.20M,,,-24.50M,,75.40M,20.30M,55.10M,-9.30M,,-1.90M,45.80M,73.59M,144.70M,34.50M,110.20M,0.3625,-0.06,,,0.4846,0.3025,0.3525,-0.06,,,0.4706,0.2925,151.40M,156.58M,0.045
2006-12,587.30M,587.30M,415.60M,171.70M,77.40M,26.70M,-7.20M,,,,104.10M,67.60M,,,-6.60M,,51.90M,20.00M,31.90M,-19.70M,,-1.30M,12.20M,36.33M,101.40M,33.80M,67.60M,0.2081,-0.1285,,,0.237,0.0796,0.2081,-0.1285,,,0.237,0.0796,153.27M,153.27M,0.045
2006-09,572.20M,572.20M,412.60M,159.60M,69.50M,25.60M,-0.80M,,,,95.10M,64.50M,,,-0.40M,,54.60M,16.00M,38.60M,-3.50M,,-2.00M,35.10M,39.17M,96.90M,32.40M,64.50M,0.2525,-0.025,,,0.2562,0.2275,0.245,-0.025,,,0.2486,0.2225,154.29M,157.75M,0.045
2006-06,592.30M,592.30M,407.90M,184.40M,70.50M,22.60M,-37.70M,,,,93.10M,91.30M,,,-37.00M,,42.60M,7.30M,35.30M,11.00M,,-2.50M,46.30M,66.54M,124.80M,33.50M,91.30M,0.2275,0.0725,,,0.4299,0.3,0.22,0.07,,,0.4157,0.29,154.33M,159.66M,0.045
