,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,,2.857B,,2.857B,1.783B,,1.783B,371.00M,179.00M,1.072B,1.622B,628.00M,,,6.89B,,,,,,,10.23B,-5.702B,4.531B,2.984B,1.427B,4.411B,,,,746.00M,9.688B,16.58B,,2.524B,,102.00M,,2.626B,,2.626B,,,,,3.00M,,3.00M,,,,,2.629B,,3.495B,,3.495B,,,,,-12.00M,1.585B,5.08B,7.709B,,683.00M,14.97B,5.916B,8.485B,,-4.199B,8.881B,,AOR,Restated
2018-03,,2.947B,,2.947B,1.807B,,1.807B,361.00M,166.00M,1.054B,1.581B,621.00M,,,6.956B,,,,,,,10.39B,-5.776B,4.614B,3.107B,1.507B,4.614B,,,,706.00M,9.934B,16.89B,,2.533B,,106.00M,,2.639B,,2.639B,,,,,3.00M,,3.00M,,,,,2.642B,,3.55B,,3.55B,,,,,-6.00M,1.605B,5.155B,7.797B,,683.00M,14.73B,5.912B,8.354B,,-3.876B,9.099B,,AOR,Restated
2017-12,,3.394B,,3.394B,1.793B,,1.793B,347.00M,116.00M,1.012B,1.475B,233.00M,,368.00M,7.263B,0.00,144.00M,1.687B,6.22B,1.403B,694.00M,10.15B,-5.56B,4.588B,3.099B,1.374B,4.473B,,187.00M,408.00M,192.00M,9.848B,17.11B,,920.00M,87.00M,228.00M,,1.235B,935.00M,2.17B,100.00M,,,,3.00M,,3.00M,,,,,2.821B,39.00M,3.509B,,3.509B,280.00M,,280.00M,1.211B,-8.00M,135.00M,5.174B,7.995B,,683.00M,14.48B,5.94B,7.981B,,-4.001B,9.124B,,AOR,Restated
2017-09,,3.517B,,3.517B,1.748B,,1.748B,351.00M,135.00M,1.064B,1.55B,633.00M,,,7.448B,,,,,,,9.954B,-5.466B,4.488B,3.117B,1.371B,4.488B,,,,1.117B,10.09B,17.54B,,2.572B,,87.00M,,2.659B,,2.659B,,,,,3.00M,,3.00M,,,,,2.662B,,3.495B,,3.495B,,,,,-7.00M,1.925B,5.42B,8.082B,,683.00M,14.62B,5.918B,7.756B,,-3.994B,9.466B,,AOR,Restated
2017-06,,3.817B,,3.817B,1.721B,,1.721B,329.00M,141.00M,1.055B,1.525B,619.00M,,,7.704B,,,,,,,9.592B,-5.255B,4.337B,2.746B,1.109B,3.855B,,,,1.067B,9.259B,16.96B,,2.471B,,83.00M,,2.554B,,2.554B,,,,,3.00M,,3.00M,,,,1.00M,2.558B,,3.454B,,3.454B,,,,,-10.00M,1.786B,5.24B,7.798B,,683.00M,14.48B,5.91B,7.722B,,-4.176B,9.175B,,AOR,Restated
2017-03,,2.858B,,2.858B,1.646B,,1.646B,321.00M,130.00M,1.029B,1.48B,603.00M,,,6.633B,,,,,,,9.336B,-5.062B,4.274B,2.633B,1.091B,3.724B,,,,1.028B,9.026B,15.66B,,2.33B,,102.00M,,2.432B,,2.432B,,,,,3.00M,,3.00M,,,,3.00M,2.438B,,2.784B,,2.784B,,,,,-11.00M,1.762B,4.546B,6.984B,,683.00M,14.32B,5.908B,7.81B,,-4.418B,8.686B,,AOR,Restated
2016-12,,2.801B,,2.801B,1.691B,,1.691B,319.00M,122.00M,989.00M,1.43B,261.00M,,341.00M,6.574B,0.00,118.00M,1.486B,5.551B,1.297B,710.00M,9.162B,-4.873B,4.289B,2.595B,1.111B,3.706B,,181.00M,629.00M,167.00M,8.972B,15.55B,,791.00M,70.00M,269.00M,,1.13B,867.00M,1.997B,199.00M,,,,3.00M,,3.00M,,,,3.00M,2.744B,30.00M,2.779B,,2.779B,93.00M,,93.00M,1.492B,-10.00M,128.00M,4.522B,7.266B,,683.00M,14.20B,5.958B,7.995B,,-4.556B,8.29B,,AOR,Restated
2016-09,,2.597B,,2.597B,1.739B,,1.739B,346.00M,148.00M,1.074B,1.568B,634.00M,,,6.589B,,,,,,,9.258B,-4.931B,4.327B,2.679B,1.18B,3.859B,,,,1.02B,9.206B,15.80B,,2.499B,,98.00M,,2.597B,,2.597B,,,,,6.00M,,6.00M,,,,3.00M,2.606B,,2.834B,,2.834B,,,,,-13.00M,1.691B,4.525B,7.131B,,683.00M,14.05B,5.93B,7.813B,,-4.172B,8.677B,,AOR,Restated
2016-06,,2.63B,0.00,2.63B,1.813B,,1.813B,358.00M,145.00M,1.088B,1.591B,711.00M,,,6.823B,,,,,,,9.129B,-4.80B,4.329B,2.658B,1.254B,3.912B,,,,918.00M,9.159B,15.98B,,2.537B,,108.00M,,2.645B,,2.645B,,,,,1.074B,,1.074B,,,,4.00M,3.723B,,2.094B,,2.094B,,,,,1.00M,1.655B,3.749B,7.472B,,683.00M,14.04B,5.90B,7.907B,,-4.204B,8.509B,,AOR,Restated
2016-03,,2.211B,1.232B,3.443B,1.83B,,1.83B,369.00M,159.00M,1.154B,1.682B,951.00M,,,8.017B,,,,,,,9.134B,-4.731B,4.403B,2.727B,1.359B,4.086B,,,,844.00M,9.333B,17.35B,,2.387B,,137.00M,,2.524B,,2.524B,,,,,1.289B,,1.289B,,,,10.00M,3.823B,,2.068B,,2.068B,,,,,1.00M,2.439B,4.507B,8.33B,,683.00M,12.92B,5.882B,7.434B,,-3.035B,9.019B,,AOR,Restated
2015-12,,2.213B,5.148B,7.361B,1.731B,,1.731B,374.00M,142.00M,1.088B,1.604B,420.00M,,435.00M,11.80B,0.00,116.00M,1.389B,5.414B,1.238B,833.00M,8.99B,-4.604B,4.386B,2.687B,1.349B,4.036B,,176.00M,354.00M,214.00M,9.166B,20.96B,,716.00M,137.00M,619.00M,,1.472B,826.00M,2.298B,340.00M,300.00M,1.45B,835.00M,2.585B,,2.585B,,,,46.00M,5.75B,42.00M,3.922B,,3.922B,195.00M,,195.00M,2.041B,19.00M,147.00M,6.347B,12.10B,,683.00M,9.683B,5.902B,7.646B,,224.00M,8.846B,,AOR,Restated
2015-09,,1.97B,4.156B,6.126B,1.772B,,1.772B,380.00M,153.00M,1.163B,1.696B,1.334B,,,11.14B,,,,,,,8.964B,-4.626B,4.338B,2.72B,1.408B,4.128B,,,,568.00M,9.034B,20.17B,,3.00B,,,,3.00B,,3.00B,,,,,2.938B,,2.938B,,,,43.00M,5.981B,,3.791B,,3.791B,,,,,21.00M,2.555B,6.346B,12.33B,,683.00M,9.578B,5.877B,7.697B,,-617.00M,7.824B,,AOR,Restated
2015-06,,6.68B,,6.68B,2.852B,,2.852B,900.00M,1.226B,1.716B,3.842B,1.123B,,,14.50B,,,,,,,15.15B,-6.179B,8.967B,3.792B,2.084B,5.876B,,,,675.00M,15.52B,30.02B,,4.148B,,,,4.148B,,4.148B,,,,,2.164B,,2.164B,,,,,6.312B,,12.05B,,12.05B,,,,,33.00M,3.628B,15.68B,21.99B,,683.00M,13.39B,5.86B,7.798B,,-4.146B,7.988B,,AOR,Restated
2015-03,,2.53B,,2.53B,2.599B,,2.599B,859.00M,1.107B,1.535B,3.501B,1.104B,,,9.734B,,,,,,,14.37B,-5.874B,8.492B,3.694B,2.068B,5.762B,,,,873.00M,15.13B,24.86B,,3.749B,,,,3.749B,,3.749B,,,,,2.325B,,2.325B,,,,,6.074B,,7.68B,,7.68B,,,,,30.00M,3.819B,11.50B,17.57B,,683.00M,13.35B,5.822B,7.89B,,-4.709B,7.258B,,AOR,Restated
2014-12,,2.925B,0.00,2.925B,1.884B,,1.884B,372.00M,148.00M,1.057B,1.577B,98.00M,,380.00M,10.16B,0.00,119.00M,1.378B,5.377B,1.351B,729.00M,8.954B,-4.52B,4.434B,2.927B,1.62B,4.547B,,84.00M,531.00M,6.38B,15.98B,26.14B,,677.00M,363.00M,520.00M,,1.56B,734.00M,2.294B,234.00M,875.00M,0.00,823.00M,1.698B,,1.698B,,,,1.326B,6.037B,238.00M,7.331B,,7.331B,,,,2.198B,36.00M,501.00M,11.94B,17.98B,,683.00M,13.23B,5.853B,7.993B,,-3.65B,8.12B,,AOR,Restated
2014-09,,2.078B,,2.078B,2.842B,,2.842B,920.00M,1.115B,1.669B,3.704B,850.00M,,,9.631B,,,,,,,14.51B,-6.06B,8.448B,4.016B,2.185B,6.201B,,,,1.283B,15.93B,25.56B,,4.46B,,,,4.46B,,4.46B,,,,,1.515B,,1.515B,,,,15.00M,5.99B,,7.753B,,7.753B,,,,,22.00M,3.394B,11.15B,17.14B,,683.00M,12.56B,5.816B,8.004B,,-2.654B,8.404B,,AOR,Restated
2014-06,,1.866B,,1.866B,2.914B,,2.914B,829.00M,1.221B,1.786B,3.836B,871.00M,,,9.487B,,,,,,,14.37B,-6.214B,8.152B,4.226B,2.329B,6.555B,,,,1.435B,16.14B,25.63B,,4.484B,,,,4.484B,,4.484B,,,,,1.311B,,1.311B,,,,,5.795B,,7.528B,,7.528B,,,,,25.00M,3.619B,11.15B,16.94B,,683.00M,12.38B,5.785B,8.039B,,-2.145B,8.662B,,AOR,Restated
2014-03,,2.049B,,2.049B,2.708B,,2.708B,873.00M,1.13B,1.745B,3.748B,883.00M,,,9.388B,,,,,,,14.08B,-6.115B,7.962B,4.227B,2.268B,6.495B,,,,1.416B,15.87B,25.26B,,4.468B,,,,4.468B,,4.468B,,,,,1.177B,,1.177B,,,,,5.645B,,7.517B,,7.517B,,,,,22.00M,3.406B,10.92B,16.57B,,683.00M,12.14B,5.765B,7.973B,,-1.946B,8.671B,,AOR,Restated
2013-12,,2.733B,,2.733B,2.911B,,2.911B,920.00M,1.136B,1.443B,3.499B,548.00M,504.00M,,10.20B,0.00,220.00M,2.67B,7.36B,1.361B,2.184B,13.80B,-5.963B,7.832B,4.205B,2.294B,6.499B,,216.00M,41.00M,441.00M,15.03B,25.22B,,1.103B,266.00M,619.00M,,1.988B,1.269B,3.257B,263.00M,0.00,,1.04B,1.04B,,1.04B,,21.00M,21.00M,,5.248B,180.00M,8.126B,,8.126B,,,,2.049B,23.00M,1.135B,11.49B,16.74B,,683.00M,11.85B,5.818B,7.914B,,-1.976B,8.463B,,AOR,Restated
2013-09,,2.376B,,2.376B,2.766B,,2.766B,967.00M,1.009B,1.605B,3.581B,874.00M,,,9.597B,,,,,,,13.32B,-5.806B,7.518B,3.78B,2.682B,6.462B,,,,1.673B,15.65B,25.25B,,4.582B,,,,4.582B,,4.582B,,,,,414.00M,,414.00M,,,,,4.996B,,8.652B,,8.652B,,,,,-3.00M,3.856B,12.51B,17.50B,,683.00M,11.79B,5.785B,7.911B,,-2.60B,7.749B,,AOR,Restated
2013-06,,5.989B,,5.989B,2.342B,,2.342B,778.00M,990.00M,1.301B,3.069B,785.00M,,,12.18B,,,,,,,12.11B,-5.75B,6.361B,2.498B,1.053B,3.551B,,,,1.654B,11.57B,23.75B,,4.105B,,,,4.105B,,4.105B,,,,,411.00M,,411.00M,,,,,4.516B,,8.624B,,8.624B,,,,,33.00M,3.296B,11.92B,16.44B,,683.00M,11.52B,5.762B,7.915B,,-2.765B,7.282B,,AOR,Restated
2013-03,,2.689B,,2.689B,2.319B,,2.319B,786.00M,937.00M,1.24B,2.963B,843.00M,,,8.814B,,,,,,,11.87B,-5.663B,6.205B,2.506B,1.131B,3.637B,,,,1.662B,11.50B,20.32B,,4.068B,,,,4.068B,,4.068B,,,,,710.00M,,710.00M,,,,,4.778B,,5.157B,,5.157B,,,,,40.00M,3.382B,8.539B,13.32B,,683.00M,11.19B,5.727B,7.886B,,-2.757B,6.961B,,AOR,Restated
2012-12,,3.27B,,3.27B,2.425B,,2.425B,765.00M,898.00M,1.14B,2.803B,418.00M,344.00M,,9.26B,0.00,190.00M,2.181B,6.691B,1.295B,1.512B,11.87B,-5.771B,6.098B,2.502B,814.00M,3.316B,,154.00M,1.156B,406.00M,11.13B,20.39B,,766.00M,246.00M,603.00M,,1.615B,1.161B,2.776B,188.00M,0.00,,350.00M,350.00M,,350.00M,,878.00M,878.00M,,4.759B,191.00M,5.58B,,5.58B,,,,2.427B,40.00M,455.00M,8.653B,13.41B,,683.00M,10.89B,5.769B,7.592B,,-2.81B,6.938B,,AOR,Restated
2012-09,,3.191B,,3.191B,2.324B,,2.324B,693.00M,963.00M,1.175B,2.831B,759.00M,,,9.105B,,,,,,,11.54B,-5.677B,5.862B,2.498B,867.00M,3.365B,,,,1.493B,10.72B,19.82B,,,,,,,,4.125B,,,,,333.00M,,333.00M,,,,,4.458B,,5.614B,,5.614B,,,,,61.00M,2.563B,8.177B,12.64B,,683.00M,10.64B,5.774B,7.421B,,-2.549B,7.129B,,AOR,Restated
2012-06,,2.353B,,2.353B,2.225B,,2.225B,667.00M,892.00M,1.171B,2.73B,740.00M,,,8.048B,,,,,,,11.12B,-5.498B,5.623B,2.467B,887.00M,3.354B,,,,1.421B,10.40B,18.45B,,,,,,,,3.988B,,,,,882.00M,,882.00M,,,,,4.87B,,4.432B,,4.432B,,,,,61.00M,2.532B,6.964B,11.83B,,683.00M,10.31B,5.765B,7.466B,,-2.737B,6.551B,,AOR,Restated
2012-03,,2.272B,,2.272B,2.341B,,2.341B,673.00M,855.00M,1.209B,2.737B,767.00M,,,8.117B,,,,,,,11.12B,-5.48B,5.637B,2.488B,917.00M,3.405B,,,,1.625B,10.67B,18.78B,,,,,,,,4.059B,,,,,798.00M,,798.00M,,,,,4.857B,,4.411B,,4.411B,,,,,239.00M,2.552B,6.963B,11.82B,,683.00M,9.831B,5.766B,7.106B,,-2.449B,6.725B,,AOR,Restated
2011-12,,2.905B,,2.905B,2.42B,,2.42B,596.00M,923.00M,1.109B,2.628B,402.00M,295.00M,,8.65B,0.00,184.00M,2.099B,6.384B,1.205B,1.101B,10.97B,-5.448B,5.525B,2.317B,826.00M,3.143B,,195.00M,1.123B,437.00M,10.42B,19.07B,,795.00M,188.00M,503.00M,,1.486B,1.292B,2.778B,378.00M,250.00M,,196.00M,446.00M,,446.00M,,738.00M,738.00M,,4.857B,186.00M,4.749B,,4.749B,,,,1.92B,243.00M,533.00M,7.388B,12.24B,,683.00M,9.429B,5.783B,6.719B,,-2.591B,6.585B,,AOR,Restated
2011-09,,2.338B,,2.338B,2.347B,,2.347B,587.00M,910.00M,1.124B,2.621B,696.00M,,,8.002B,,,,,,,10.79B,-5.368B,5.426B,2.119B,710.00M,2.829B,,,,1.586B,9.841B,17.84B,,,,,,,,4.07B,,,,,95.00M,,95.00M,,,,,4.165B,,4.447B,,4.447B,,,,,238.00M,2.041B,6.488B,10.65B,,683.00M,9.154B,5.772B,6.608B,,-2.049B,6.952B,,AOR,Restated
2011-06,,2.018B,,2.018B,2.491B,,2.491B,580.00M,894.00M,1.174B,2.648B,652.00M,,,7.809B,,,,,,,10.85B,-5.365B,5.481B,2.168B,702.00M,2.87B,,,,1.581B,9.932B,17.74B,,,,,,,,4.009B,,,,,22.00M,,22.00M,,,,,4.031B,,4.378B,,4.378B,,,,,247.00M,2.088B,6.466B,10.50B,,683.00M,8.754B,5.751B,6.419B,,-1.772B,6.997B,,AOR,Restated
2011-03,,2.168B,,2.168B,2.399B,,2.399B,554.00M,886.00M,1.077B,2.517B,677.00M,,,7.761B,,,,,,,10.81B,-5.392B,5.419B,2.06B,500.00M,2.56B,,,,1.673B,9.652B,17.41B,,,,,,,,3.866B,,,,,23.00M,,23.00M,,,,,3.889B,,4.351B,,4.351B,,,,,237.00M,2.202B,6.553B,10.44B,,683.00M,8.316B,5.737B,6.127B,,-1.875B,6.734B,,AOR,Restated
2010-12,,2.685B,,2.685B,,,2.265B,536.00M,787.00M,1.048B,2.371B,345.00M,323.00M,,7.989B,0.00,183.00M,2.063B,7.435B,,910.00M,10.59B,-5.331B,5.26B,2.015B,500.00M,2.515B,,,,1.725B,9.50B,17.49B,,745.00M,180.00M,501.00M,,1.426B,241.00M,1.667B,,,,,24.00M,,24.00M,635.00M,635.00M,,1.215B,4.041B,,4.363B,,4.363B,,,,,229.00M,2.289B,6.652B,10.69B,,683.00M,7.925B,5.753B,5.655B,,-2.139B,6.567B,,AOR,Restated
2010-09,,2.788B,,2.788B,2.205B,,2.205B,550.00M,863.00M,1.087B,2.50B,647.00M,,,8.14B,,,,,,,10.45B,-5.242B,5.208B,2.027B,518.00M,2.545B,,,,1.67B,9.423B,17.56B,,,,,,,,3.676B,,,,,523.00M,,523.00M,,,,,4.199B,,4.36B,,4.36B,,,,,232.00M,2.241B,6.601B,10.80B,,683.00M,7.717B,5.729B,5.627B,,-1.971B,6.531B,,AOR,Restated
2010-06,,2.30B,,2.30B,2.072B,,2.072B,469.00M,858.00M,1.057B,2.384B,619.00M,,,7.375B,,,,,,,9.868B,-4.885B,4.983B,1.956B,522.00M,2.478B,,,,1.651B,9.112B,16.49B,,,,,,,,3.39B,,,,,695.00M,,695.00M,,,,,4.085B,,4.119B,,4.119B,,,,,236.00M,2.149B,6.268B,10.35B,,683.00M,7.376B,5.702B,5.515B,,-2.348B,5.898B,,AOR,Restated
2010-03,,2.673B,,2.673B,2.254B,,2.254B,514.00M,850.00M,1.113B,2.477B,611.00M,,,8.015B,,,,,,,9.95B,-4.886B,5.064B,2.002B,556.00M,2.558B,,,,1.529B,9.151B,17.17B,,,,,,,,3.587B,,,,,697.00M,,697.00M,,,,,4.284B,,4.056B,,4.056B,,,,,230.00M,2.167B,6.223B,10.51B,,683.00M,7.03B,5.675B,4.926B,,-2.033B,6.429B,,AOR,Restated
2009-12,,2.786B,,2.786B,,,2.302B,598.00M,842.00M,1.117B,2.557B,400.00M,226.00M,,8.271B,0.00,163.00M,1.921B,7.001B,,975.00M,10.06B,-4.901B,5.159B,1.825B,513.00M,2.338B,,115.00M,1.095B,376.00M,9.083B,17.35B,,807.00M,,375.00M,174.00M,1.356B,1.915B,3.271B,,,,,711.00M,,711.00M,,482.00M,482.00M,,4.464B,,3.44B,,3.44B,,,,1.688B,229.00M,342.00M,5.47B,9.934B,,683.00M,7.343B,5.683B,4.741B,,-1.777B,7.191B,,AOR,Restated
2009-09,,2.571B,,2.571B,2.229B,,2.229B,646.00M,837.00M,1.145B,2.628B,636.00M,,,8.064B,,,,,,,9.78B,-4.817B,4.963B,1.836B,538.00M,2.374B,,,,1.553B,8.89B,16.95B,,,,,,,,3.435B,,,,,33.00M,,33.00M,,,,,3.468B,,4.136B,,4.136B,,,,,225.00M,2.039B,6.175B,9.643B,,683.00M,6.954B,5.662B,4.604B,,-1.609B,7.086B,,AOR,Restated
2009-06,1.802B,1.802B,,1.802B,2.133B,,2.133B,622.00M,795.00M,1.079B,2.496B,641.00M,,,7.072B,,,,,,,9.41B,-4.653B,4.757B,1.756B,511.00M,2.267B,,,,1.647B,8.671B,15.74B,,,,,,,,3.156B,,,,,239.00M,,239.00M,,,,,3.395B,,3.593B,,3.593B,,,,,222.00M,1.981B,5.574B,8.969B,,683.00M,6.58B,5.641B,4.60B,,-1.752B,6.552B,,AOR,Restated
2009-03,,1.703B,,1.703B,1.94B,,1.94B,647.00M,722.00M,1.052B,2.421B,626.00M,,,6.69B,,,,,,,9.068B,-4.47B,4.598B,1.642B,401.00M,2.043B,,,,1.622B,8.263B,14.95B,,,,,,,,2.887B,,,,,235.00M,,235.00M,,,,,3.122B,,3.675B,,3.675B,,,,,59.00M,1.998B,5.673B,8.795B,,683.00M,6.152B,5.62B,4.379B,,-1.977B,6.099B,,AOR,Restated
