,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2014-06,278.28M,,,1.675M,-1.219M,,0.456M,,,106.44M,106.44M,,,,11.38M,,,,,,395.34M,,-74.78M,,-22.99M,,,2.14M,-71.35M,,-68.06M,,-68.06M,5.082M,,5.082M,327.61M,0.00,327.61M,,,-299.70M,-1.621M,-36.68M,,101.11M,287.30M,-0.433M,387.98M,,332.69M,,-68.06M,0.00,,AOR,Restated
2014-03,228.27M,,,2.348M,,,2.348M,,,109.02M,109.02M,,,,-7.205M,,,,,,330.71M,,-38.65M,,-25.52M,,,211.72M,173.07M,,-378.81M,,-378.81M,25.41M,,25.41M,227.50M,,227.50M,,,-294.23M,-1.779M,-421.91M,,19.17M,81.87M,0.074M,101.11M,,252.91M,,-378.81M,,,AOR,Restated
2013-12,297.98M,,,-7.801M,-4.065M,,-11.87M,,,108.93M,108.93M,,,,2.165M,,,,,,390.68M,,-784.01M,,-11.94M,-75.29M,,-6.433M,-865.73M,,733.14M,,733.14M,0.629M,,0.629M,0.00,,0.00,,,-293.16M,-3.376M,437.23M,,56.96M,-37.82M,0.026M,19.17M,,0.629M,,33.14M,,,AOR,Restated
2013-09,285.63M,,,-16.09M,-0.168M,,-16.26M,,,96.54M,96.54M,,,,3.966M,,,,,,367.09M,,-414.46M,,-20.49M,-29.75M,,2.059M,-441.90M,,-11.35M,,-11.35M,3.545M,,3.545M,0.00,,0.00,,,-267.30M,-5.453M,-280.56M,,410.91M,-355.36M,1.416M,56.96M,,3.545M,,-11.35M,,,AOR,Restated
2013-06,261.68M,,,-5.924M,,,-5.924M,,,90.94M,90.94M,,,,18.45M,,,,,,363.23M,,-63.24M,,-30.31M,,,-0.106M,-63.35M,,-30.40M,,-30.40M,13.07M,,13.07M,0.00,,0.00,,,-267.26M,-2.181M,-286.78M,,398.25M,13.11M,-0.449M,410.91M,,13.07M,,-30.40M,,,AOR,Restated
2013-03,212.25M,,,12.74M,,,12.74M,,,91.00M,91.00M,,,,-6.153M,,,,,,309.34M,,-49.14M,,-27.78M,,,7.721M,-41.42M,,-326.19M,,-326.19M,3.863M,,3.863M,701.69M,,701.69M,,,-263.73M,-1.692M,113.94M,,17.24M,381.86M,-0.849M,398.25M,,705.55M,,-326.19M,,,AOR,Restated
2012-12,272.56M,,,-11.36M,-0.40M,,-11.76M,,,92.59M,92.59M,,,,-19.46M,,,,,,329.90M,,-96.21M,,-5.423M,0.00,,-10.57M,-102.73M,,121.27M,,121.27M,103.44M,,103.44M,0.00,-729.82M,-729.82M,,,-238.16M,-2.053M,-745.32M,,535.75M,-518.14M,-0.372M,17.24M,,103.44M,,-11.73M,-729.82M,,AOR,Restated
2012-09,264.82M,,,-9.019M,-11.93M,,-20.95M,,,89.99M,89.99M,,,,17.39M,,,,,,349.98M,,-77.75M,,-3.643M,0.00,,-1.319M,-63.09M,,-20.50M,,-20.50M,5.439M,,5.439M,479.93M,-415.62M,64.31M,,,-237.56M,-1.568M,-189.88M,,438.48M,97.00M,0.276M,535.75M,,485.37M,,-20.50M,-415.62M,,AOR,Restated
2012-06,198.93M,,,23.66M,-1.263M,,22.39M,,,88.59M,88.59M,,,,13.94M,,,,,,326.29M,,-72.74M,,-0.625M,,,2.391M,-70.35M,,-3.904M,,-3.904M,5.846M,,5.846M,278.36M,-476.63M,-198.28M,,,-240.19M,-1.688M,-438.22M,,620.08M,-182.28M,0.679M,438.48M,,284.20M,,-3.904M,-476.63M,,AOR,Restated
2012-03,206.72M,,,-12.16M,,,-12.16M,,,86.94M,86.94M,,,,-3.97M,,,,,,279.49M,,-57.24M,,-0.997M,,,2.95M,-54.30M,,-24.88M,,-24.88M,9.722M,,9.722M,893.17M,-356.69M,536.48M,,,-243.24M,-21.96M,256.12M,,139.01M,481.31M,-0.241M,620.08M,,902.89M,,-24.88M,-356.69M,,AOR,Restated
