,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-03,669.92M,669.92M,192.83M,477.10M,27.84M,27.84M,2.333M,,1.348M,8.10M,5.544M,-2.556M,,149.50M,327.60M,5.544M,8.10M,-2.556M,19.40M,-2.556M,344.44M,344.44M,,,-1.439M,54.08M,343.00M,351.31M,470.52M,117.98M,352.54M,,1.66,,,,1.708,1.66,,1.65,,,,1.698,1.65,,173.89M,174.15M,2.00,,AOR,Restated
2017-12,672.31M,672.31M,151.88M,520.43M,17.92M,17.92M,1.349M,0.00,1.285M,8.09M,6.049M,-2.041M,,140.65M,379.78M,6.049M,8.09M,-2.041M,13.27M,-2.041M,391.01M,390.96M,,,-1.564M,54.08M,389.40M,392.49M,519.20M,120.10M,399.10M,,1.92,,,,1.938,1.92,,1.92,,,,1.938,1.92,,173.77M,174.22M,2.00,,AOR,Restated
2017-09,686.36M,686.36M,190.62M,495.74M,19.59M,19.59M,1.655M,-7.789M,1.063M,2.40M,4.569M,2.169M,,135.63M,360.11M,4.569M,2.40M,2.169M,-4.017M,2.169M,358.26M,358.27M,,,-1.60M,75.75M,356.67M,369.42M,473.98M,113.32M,360.66M,,1.61,,,,1.683,1.61,,1.61,,,,1.683,1.61,,173.72M,174.24M,2.00,,AOR,Restated
2017-06,664.31M,664.31M,182.58M,481.73M,11.98M,11.98M,1.912M,,1.098M,1.10M,4.155M,3.055M,,125.17M,356.56M,4.155M,1.10M,3.055M,-4.397M,3.055M,355.22M,355.21M,,,-1.505M,75.92M,353.70M,368.38M,466.50M,110.18M,356.32M,,1.59,,,,1.675,1.59,,1.59,,,,1.674,1.59,,173.60M,174.08M,2.00,,AOR,Restated
2017-03,645.55M,645.55M,182.90M,462.64M,20.40M,20.40M,3.277M,,1.349M,1.00M,3.998M,2.998M,,135.96M,326.69M,3.998M,1.00M,2.998M,14.38M,2.998M,344.07M,344.02M,,,-1.579M,60.12M,342.44M,345.78M,456.00M,110.93M,345.07M,,1.62,,,,1.639,1.62,,1.62,,,,1.639,1.62,,173.36M,174.07M,2.00,,AOR,Restated
2016-12,651.43M,651.43M,145.17M,506.26M,16.92M,16.92M,2.421M,0.00,0.807M,0.99M,3.524M,2.534M,,131.89M,374.37M,3.524M,0.99M,2.534M,38.68M,2.534M,415.59M,415.68M,,,-1.942M,59.55M,413.74M,399.60M,528.32M,111.74M,416.58M,,2.04,,,,1.958,2.04,,2.03,,,,1.949,2.03,,173.19M,173.82M,2.00,,AOR,Restated
2016-09,663.15M,663.15M,178.63M,484.52M,19.08M,19.08M,2.211M,0.00,0.847M,1.221M,3.75M,2.529M,,131.57M,352.95M,3.75M,1.221M,2.529M,13.57M,2.529M,369.05M,369.05M,,,-1.745M,57.18M,367.30M,369.50M,479.70M,109.43M,370.27M,,1.78,,,,1.793,1.78,,1.78,,,,1.793,1.78,,173.11M,173.85M,1.80,,AOR,Restated
2016-06,634.19M,634.19M,172.00M,462.18M,15.28M,15.28M,2.275M,,0.767M,1.378M,4.028M,2.65M,,125.33M,336.85M,4.028M,1.378M,2.65M,18.86M,2.65M,358.36M,358.36M,,,-1.70M,74.75M,356.66M,351.48M,466.75M,107.01M,359.74M,,1.62,,,,1.590,1.62,,1.61,,,,1.580,1.61,,173.09M,174.00M,1.80,,AOR,Restated
2016-03,611.79M,611.79M,173.29M,438.50M,18.80M,18.80M,2.814M,,1.438M,0.80M,3.836M,3.036M,,128.18M,310.32M,3.836M,0.80M,3.036M,3.899M,3.036M,317.26M,317.35M,,,-1.476M,73.61M,315.87M,322.03M,423.19M,105.13M,318.06M,,1.40,,,,1.436,1.40,,1.39,,,,1.425,1.39,,172.98M,173.85M,1.70,,AOR,Restated
2015-12,609.33M,609.33M,137.71M,471.62M,14.90M,14.90M,3.061M,,1.492M,0.60M,5.035M,4.435M,,125.76M,345.86M,5.035M,0.60M,4.435M,14.98M,4.435M,365.27M,365.26M,,,-1.769M,59.03M,363.49M,363.31M,472.18M,106.31M,365.87M,,1.75,,,,1.749,1.75,,1.74,,,,1.739,1.74,,172.87M,173.76M,1.70,,AOR,Restated
2015-09,618.87M,618.87M,164.69M,454.19M,20.52M,20.52M,1.933M,,1.121M,0.00,3.659M,3.659M,,129.66M,324.53M,3.659M,0.00,3.659M,12.95M,3.659M,341.14M,341.14M,,,-1.568M,65.18M,339.57M,339.36M,447.22M,106.08M,341.14M,,1.58,,,,1.579,1.58,,1.58,,,,1.579,1.58,,172.77M,173.53M,1.70,,AOR,Restated
2015-06,588.62M,588.62M,161.10M,427.52M,17.39M,17.39M,2.184M,,1.414M,0.00,3.815M,3.815M,,127.46M,300.06M,3.815M,0.00,3.815M,24.17M,3.815M,328.04M,328.04M,,,-1.635M,61.45M,326.40M,316.39M,434.51M,106.47M,328.04M,,1.53,,,,1.472,1.53,,1.52,,,,1.462,1.52,,172.63M,173.39M,1.70,,AOR,Restated
2015-03,564.88M,564.88M,172.01M,392.87M,19.99M,19.99M,2.828M,,1.345M,0.00,4.037M,4.037M,,131.31M,261.56M,4.037M,0.00,4.037M,17.66M,4.037M,283.25M,283.25M,,,-1.473M,68.34M,281.78M,280.90M,390.40M,107.15M,283.25M,,1.23,,,,1.225,1.23,,1.23,,,,1.225,1.23,,172.52M,173.37M,1.40,,AOR,Restated
2014-12,561.68M,561.68M,132.38M,429.30M,15.07M,15.07M,2.735M,,1.415M,0.00,3.964M,3.964M,,129.79M,299.51M,3.964M,0.00,3.964M,44.95M,3.964M,348.43M,348.43M,,,-1.711M,61.69M,346.72M,346.72M,459.00M,110.57M,348.43M,,1.65,,,,1.650,1.65,,1.64,,,,1.640,1.64,,172.43M,173.26M,1.40,,AOR,Restated
2014-09,567.09M,567.09M,158.57M,408.52M,13.42M,13.42M,3.372M,,1.083M,1.20M,3.83M,2.63M,,128.95M,279.57M,3.83M,1.20M,2.63M,12.81M,2.63M,295.02M,294.98M,,,-1.518M,60.76M,293.46M,294.60M,407.29M,111.08M,296.22M,,1.34,,,,1.347,1.34,,1.34,,,,1.347,1.34,,172.38M,173.30M,1.40,,AOR,Restated
2014-06,538.04M,538.04M,150.55M,387.48M,12.20M,12.20M,2.184M,,0.994M,2.10M,1.00M,-1.10M,,121.82M,265.66M,1.00M,2.10M,-1.10M,13.68M,-1.10M,278.24M,278.28M,,,-1.445M,57.67M,276.83M,277.13M,386.78M,106.44M,280.34M,,1.27,,,,1.272,1.27,,1.26,,,,1.262,1.26,,172.28M,173.18M,1.40,,AOR,Restated
2014-03,519.62M,519.62M,174.52M,345.10M,15.30M,15.30M,2.323M,,1.366M,3.50M,2.402M,-1.098M,,128.01M,217.10M,2.402M,3.50M,-1.098M,12.26M,-1.098M,228.25M,228.27M,,,-1.077M,52.51M,227.20M,228.72M,340.77M,109.02M,231.75M,,1.01,,,,1.019,1.01,,1.01,,,,1.019,1.01,,171.91M,172.81M,1.40,,AOR,Restated
2013-12,496.71M,496.71M,119.00M,377.71M,10.99M,10.99M,4.387M,,1.31M,1.822M,17.27M,15.45M,,125.62M,252.09M,17.27M,1.822M,15.45M,30.43M,15.45M,297.98M,297.98M,,,-1.408M,51.91M,296.57M,288.86M,408.73M,108.93M,299.80M,,1.419,0.00,,,1.374,1.42,,1.411,0.00,,,1.366,1.41,,171.77M,172.80M,1.40,,AOR,Restated
2013-09,511.96M,511.96M,147.80M,364.15M,13.57M,13.57M,3.077M,,1.002M,0.478M,5.608M,5.13M,,114.19M,249.97M,5.608M,0.478M,5.13M,30.53M,5.13M,285.63M,285.63M,,,-1.43M,51.91M,284.20M,273.63M,382.64M,96.54M,286.11M,,1.35,,,,1.288,1.35,,1.34,,,,1.279,1.34,,171.72M,172.79M,1.25,,AOR,Restated
2013-06,485.38M,485.38M,142.57M,342.81M,11.70M,11.70M,1.276M,,1.111M,0.647M,5.516M,4.869M,,105.02M,237.78M,5.516M,0.647M,4.869M,19.02M,4.869M,261.68M,261.68M,,,-1.216M,51.91M,260.46M,256.61M,353.26M,90.94M,262.33M,,1.21,,,,1.188,1.21,,1.20,,,,1.178,1.20,,171.62M,172.65M,1.25,,AOR,Restated
2013-03,470.90M,470.90M,150.39M,320.51M,15.24M,15.24M,1.735M,,1.281M,3.497M,5.581M,2.084M,,109.25M,211.26M,5.581M,3.497M,2.084M,-1.094M,2.084M,212.25M,212.25M,,,-1.024M,48.59M,211.22M,219.50M,306.74M,91.00M,215.74M,,0.94,,,,0.9883,0.94,,0.94,,,,0.9880,0.94,,171.45M,172.51M,1.25,,AOR,Restated
2012-12,469.69M,469.69M,119.84M,349.86M,10.12M,10.12M,1.661M,,0.935M,4.486M,5.435M,0.949M,,105.31M,244.55M,5.435M,4.486M,0.949M,26.59M,0.949M,272.09M,272.09M,0.471M,,-1.192M,60.99M,271.37M,263.52M,369.16M,92.59M,276.58M,,1.224,0.0028,,,1.180,1.23,,1.216,0.0027,,,1.173,1.22,,170.87M,171.98M,1.10,,AOR,Restated
2012-09,477.18M,477.18M,141.48M,335.71M,12.83M,12.83M,1.228M,,1.24M,4.926M,5.444M,0.518M,,105.20M,230.51M,5.444M,4.926M,0.518M,21.85M,0.518M,252.88M,252.88M,11.94M,,-0.927M,60.62M,263.89M,245.97M,347.80M,89.99M,257.81M,,1.12,0.07,,,1.085,1.19,,1.11,0.07,,,1.075,1.18,,170.58M,171.70M,1.10,,AOR,Restated
2012-06,455.79M,455.79M,142.88M,312.91M,10.37M,10.37M,0.953M,,1.089M,5.067M,5.54M,0.473M,,100.89M,212.02M,5.54M,5.067M,0.473M,-13.80M,0.473M,198.70M,198.70M,0.234M,,-0.788M,65.34M,198.14M,212.47M,292.35M,88.59M,203.76M,,0.78,0.00,,,0.8654,0.78,,0.77,0.00,,,0.8548,0.77,,170.50M,171.56M,1.10,,AOR,Restated
2012-03,439.84M,439.84M,151.71M,288.12M,12.38M,12.38M,2.513M,,1.511M,5.334M,5.655M,0.321M,,103.23M,184.90M,5.655M,5.334M,0.321M,21.27M,0.321M,206.49M,206.49M,0.234M,,-0.87M,80.00M,205.85M,197.72M,298.76M,86.94M,211.82M,,0.74,0.00,,,0.6936,0.74,,0.73,0.00,,,0.6839,0.73,,170.31M,171.42M,1.10,,AOR,Restated
2011-12,455.32M,455.32M,138.76M,316.56M,,1.791M,,-13.50M,,5.443M,7.115M,1.672M,,101.18M,215.38M,7.115M,5.443M,1.672M,1.857M,1.672M,218.91M,218.91M,1.53M,,-0.286M,54.30M,220.15M,228.43M,314.18M,89.83M,224.35M,,0.97,0.00,,,1.028,0.97,,0.96,0.00,,,1.017,0.96,,170.09M,171.39M,0.95,,AOR,Restated
2011-09,445.56M,445.56M,138.58M,306.98M,,14.12M,,-30.44M,,5.862M,6.875M,1.013M,,104.94M,202.05M,6.875M,5.862M,1.013M,-10.19M,1.013M,192.87M,192.87M,1.641M,,-3.374M,73.19M,191.14M,206.04M,289.69M,90.96M,198.73M,,0.68,0.01,,,0.7775,0.69,,0.68,0.01,,,0.7769,0.69,,169.73M,170.83M,0.95,,AOR,Restated
2011-06,434.42M,434.42M,139.23M,295.19M,,12.59M,,10.43M,,5.933M,,-5.933M,,101.69M,193.50M,,5.933M,-5.933M,23.20M,-5.933M,210.76M,210.76M,0.179M,,-4.497M,74.93M,206.44M,199.49M,305.88M,89.19M,216.70M,,0.78,0.00,,,0.7400,0.78,,0.77,0.00,,,0.7302,0.77,,169.49M,170.40M,0.95,,AOR,Restated
2011-03,419.69M,419.69M,144.24M,275.45M,,14.24M,,31.45M,,6.984M,,-6.984M,,102.75M,172.70M,,6.984M,-6.984M,45.17M,-6.984M,210.89M,210.89M,-0.318M,,-4.46M,58.05M,206.11M,185.98M,306.42M,88.55M,217.87M,,0.87,0.00,,,0.7493,0.87,,0.87,0.00,,,0.7500,0.87,,169.32M,170.38M,0.80,,AOR,Restated
2010-12,386.65M,386.65M,116.02M,270.63M,,-0.125M,,28.87M,,7.77M,,21.25M,,100.53M,170.10M,,7.77M,21.25M,-2.009M,21.25M,189.34M,189.34M,-0.129M,,-5.525M,30.06M,183.68M,165.05M,288.76M,91.65M,197.11M,,0.71,0.00,,,0.5991,0.71,,0.71,0.00,,,0.5997,0.71,,169.21M,170.17M,0.80,,AOR,Restated
2010-09,422.30M,422.30M,134.51M,287.78M,,8.91M,,55.46M,,7.838M,,-7.838M,,101.49M,186.29M,,7.838M,-7.838M,64.50M,-7.838M,242.95M,242.95M,2.863M,,-6.457M,57.15M,239.35M,200.45M,343.43M,92.65M,250.79M,,1.06,0.02,,,0.8467,1.08,,1.05,0.02,,,0.8379,1.07,,169.01M,169.98M,0.80,,AOR,Restated
2010-06,407.64M,407.64M,137.23M,270.41M,,10.08M,,-50.76M,,7.278M,,-7.278M,,94.96M,175.45M,,7.278M,-7.278M,-41.97M,-7.278M,,126.77M,4.41M,,-6.138M,64.20M,125.04M,153.62M,260.66M,85.20M,175.45M,,0.33,0.03,,,0.5255,0.36,,0.33,0.03,,,0.5245,0.36,,168.80M,169.63M,0.80,,AOR,
2010-03,397.45M,397.45M,140.77M,256.68M,,10.08M,,-35.12M,,7.339M,,-7.339M,,94.79M,161.88M,,7.339M,-7.339M,-25.16M,-7.339M,129.38M,129.38M,0.533M,,-5.956M,89.22M,123.96M,146.26M,221.61M,84.89M,136.72M,,0.21,0.00,,,0.3455,0.21,,0.21,0.00,,,0.3448,0.21,,168.48M,169.31M,0.65,,AOR,Restated
2009-12,400.42M,400.42M,115.13M,285.29M,,9.203M,,-10.11M,,7.211M,,-7.211M,,94.80M,190.49M,,7.211M,-7.211M,4.103M,-7.211M,,187.38M,0.311M,,-6.551M,63.65M,181.14M,187.40M,376.95M,86.02M,290.93M,,0.70,0.00,,,0.7390,0.70,,0.69,0.00,,,0.7289,0.69,,168.40M,169.03M,0.55,,AOR,Restated
2009-09,412.09M,412.09M,128.47M,283.62M,,8.654M,,52.00M,,7.289M,,-7.289M,,94.32M,189.30M,,7.289M,-7.289M,60.83M,-7.289M,,242.83M,1.119M,,-6.642M,63.82M,237.31M,202.39M,275.92M,86.62M,189.30M,,1.02,0.01,,,0.8192,1.03,,1.02,0.01,,,0.8200,1.03,,168.37M,169.04M,0.55,,AOR,Restated
2009-06,398.96M,406.48M,134.54M,271.94M,,8.199M,,33.20M,,7.288M,7.516M,0.228M,,91.84M,180.10M,7.516M,7.288M,0.228M,40.60M,0.228M,,213.41M,-8.027M,,-6.215M,63.68M,199.17M,185.62M,264.38M,84.28M,180.10M,,0.85,-0.05,,,0.7218,0.80,,0.85,-0.05,,,0.7219,0.80,,168.35M,168.53M,0.55,,AOR,Restated
2009-03,396.61M,404.24M,142.92M,261.32M,,9.679M,,-27.90M,,8.128M,7.633M,-0.495M,,94.17M,167.15M,7.633M,8.128M,-0.495M,-5.086M,-0.495M,,153.94M,-0.508M,,63.57M,57.51M,217.00M,235.64M,252.35M,85.20M,167.15M,,0.95,0.00,,,1.058,0.95,,0.95,0.00,,,1.058,0.95,,168.31M,168.47M,0.55,,AOR,Restated
2008-12,413.67M,413.67M,120.80M,292.87M,,5.841M,,-25.36M,,8.757M,,-8.757M,,106.67M,186.20M,,8.757M,-8.757M,-12.70M,-8.757M,,164.75M,-2.712M,,-10.34M,30.15M,151.69M,170.89M,290.49M,104.29M,186.20M,,0.74,-0.02,,,0.8380,0.72,,0.74,-0.02,,,0.8377,0.72,,168.26M,168.68M,0.55,,AOR,Restated
2008-09,431.17M,431.17M,125.34M,305.83M,,8.879M,,-0.525M,,9.099M,,-9.099M,,99.96M,205.87M,,9.099M,-9.099M,-46.36M,-9.099M,,150.42M,-2.475M,,-10.61M,65.87M,137.33M,174.71M,297.90M,92.03M,205.87M,,0.44,-0.01,,,0.6476,0.43,,0.43,-0.01,,,0.6371,0.42,,168.13M,168.56M,0.55,,AOR,Restated
2008-06,407.48M,418.49M,140.19M,278.31M,,33.17M,,-0.094M,,9.601M,11.01M,1.413M,,128.00M,150.30M,11.01M,9.601M,1.413M,4.538M,1.413M,,145.24M,-1.286M,,-10.14M,65.84M,133.81M,135.16M,245.69M,95.39M,150.30M,,0.41,-0.01,,,0.4104,0.40,,0.41,-0.01,,,0.4104,0.40,,168.03M,168.48M,0.55,,AOR,Restated
2008-03,454.64M,457.49M,168.12M,289.37M,,14.92M,,382.84M,,16.49M,2.844M,-13.64M,,137.36M,152.01M,2.844M,16.49M,-13.64M,385.56M,-13.64M,,521.09M,-1.148M,,-7.599M,67.51M,512.34M,264.65M,274.50M,122.49M,152.01M,,2.65,-0.01,,,1.174,2.64,,2.64,-0.01,,,1.167,2.63,,168.59M,168.98M,0.55,,AOR,Restated
2007-12,464.53M,464.53M,154.73M,309.80M,,10.35M,,60.99M,,14.90M,,-14.90M,,141.14M,168.66M,,14.90M,-14.90M,34.00M,-14.90M,,164.95M,2.941M,,,,167.89M,125.30M,303.12M,134.46M,168.66M,,0.59,0.02,,,0.3560,0.61,,0.58,0.02,,,0.3469,0.60,,169.42M,170.09M,0.50,,AOR,Restated
2007-09,468.22M,468.22M,165.52M,302.70M,,11.42M,,0.00,,15.26M,,-15.26M,,159.16M,143.54M,,15.26M,-15.26M,3.424M,-15.26M,,154.00M,-1.233M,,-8.304M,,152.77M,154.00M,291.28M,146.68M,143.54M,,0.52,-0.01,,,0.52,0.51,,0.52,-0.01,,,0.52,0.51,,169.37M,170.08M,0.50,,AOR,Restated
2007-06,448.19M,448.19M,169.49M,278.70M,,21.46M,,7.791M,,16.71M,,-16.71M,,188.98M,89.72M,,16.71M,-16.71M,10.57M,-16.71M,,77.84M,-0.734M,,-7.524M,,77.10M,72.77M,257.24M,165.39M,89.72M,,0.09,0.00,,,0.0601,0.09,,0.09,-0.01,,,0.0602,0.08,,169.35M,170.21M,0.50,,AOR,Restated
2007-03,433.56M,433.56M,168.00M,265.56M,16.52M,16.52M,,,,,,,,192.88M,72.68M,,,,,,,61.00M,-1.226M,,-5.783M,-58.78M,59.78M,61.00M,249.04M,176.37M,72.68M,,-0.02,-0.01,,,-0.02,-0.03,,-0.02,-0.01,,,-0.02,-0.03,,169.23M,169.23M,0.50,,AOR,Restated
2006-12,423.09M,433.38M,161.92M,271.46M,34.66M,34.66M,,,,,,,,247.42M,24.03M,,,,,,,-8.39M,-1.843M,0.00,-7.406M,,-10.23M,-8.39M,249.54M,225.51M,24.03M,,-0.61,-0.01,0.00,,-0.61,-0.62,,-0.61,-0.01,-0.0003,,-0.61,-0.62,,169.35M,170.31M,0.50,,AOR,Restated
2006-09,371.26M,371.26M,127.62M,243.64M,36.24M,36.24M,,,,,,,9.323M,159.03M,84.61M,,,,,,,79.26M,1.925M,0.00,-8.59M,,81.18M,79.26M,198.08M,113.45M,84.61M,,-0.05,0.01,0.00,,-0.05,-0.04,,-0.05,0.01,0.00,,-0.05,-0.04,,145.39M,145.39M,0.50,,AOR,Restated
2006-06,297.86M,297.86M,106.54M,191.32M,6.975M,6.975M,,,,,,,,55.56M,135.76M,,,,,,,128.75M,0.111M,0.00,-8.728M,-52.38M,128.86M,128.75M,184.34M,48.58M,135.76M,,0.55,0.00,0.00,,0.55,0.55,,0.55,0.00,0.00,,0.55,0.55,,128.18M,129.06M,0.50,,AOR,Restated
2006-03,281.98M,278.52M,102.98M,175.54M,6.779M,6.779M,,,-159.78M,,,,159.78M,56.81M,118.73M,,,,3.466M,,,113.48M,0.154M,0.578M,-7.159M,46.62M,114.22M,111.40M,168.76M,50.03M,118.73M,,0.49,0.00,0.00,,0.4738,0.49,,0.48,0.00,0.0045,,0.4639,0.48,,128.12M,129.01M,0.50,,AOR,Restated
2005-12,304.70M,272.73M,90.78M,181.94M,,4.225M,,,-173.25M,,,,173.25M,56.30M,125.64M,,,,,,,123.02M,0.347M,0.00,-59.01M,73.81M,123.37M,123.02M,177.72M,51.87M,125.64M,,0.51,0.00,0.00,,0.51,0.51,,0.51,0.00,0.00,,0.51,0.51,,128.06M,128.74M,0.50,,AOR,Restated
2005-09,274.64M,273.40M,96.68M,176.72M,,5.621M,,,-141.86M,,,,141.86M,53.52M,123.20M,,,,,,,123.00M,5.34M,0.00,7.243M,43.73M,128.34M,123.00M,171.31M,48.11M,123.20M,,0.58,0.04,0.00,,0.58,0.62,,0.58,0.04,0.00,,0.58,0.62,,128.01M,128.74M,0.50,,AOR,Restated
2005-06,267.61M,262.76M,94.86M,167.90M,6.128M,6.128M,,0.053M,-149.23M,,,,149.23M,54.37M,113.54M,,,,4.904M,,,108.12M,0.089M,0.00,8.468M,42.15M,108.27M,105.18M,161.78M,48.24M,113.54M,,0.47,0.00,0.00,0.0004,0.4470,0.47,,0.47,0.00,0.00,0.0004,0.4471,0.47,,127.99M,128.62M,0.45,,AOR,Restated
2005-03,256.62M,250.94M,95.93M,155.01M,5.141M,5.141M,,,-149.01M,,,,149.01M,53.08M,101.93M,,,,5.678M,,,95.30M,1.107M,0.00,10.64M,42.32M,96.41M,91.90M,149.87M,47.94M,101.93M,,0.37,0.01,0.00,,0.3435,0.38,,0.37,0.01,0.00,,0.3436,0.38,,128.59M,129.18M,0.45,,AOR,Restated
2004-12,250.49M,270.97M,114.96M,156.01M,2.83M,2.83M,,,-132.83M,,,,122.77M,40.21M,115.80M,,,,-11.28M,,,106.01M,1.263M,,-89.81M,33.84M,107.27M,106.74M,163.24M,47.44M,115.80M,,0.45,0.01,,,0.4557,0.46,,0.45,0.01,,,0.4557,0.46,,128.44M,129.09M,0.45,,AOR,Restated
