,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2018-05,114.20M,,0.00,0.30M,0.30M,131.00M,131.00M,3.70M,,57.70M,,-0.80M,62.90M,7.80M,4.00M,,1.90M,76.60M,382.70M,,-56.40M,,,3.10M,-8.80M,-5.10M,-8.00M,-78.30M,,179.70M,179.70M,-500.00M,-500.00M,,,55.00M,-10.10M,-275.40M,,156.00M,29.00M,-26.00M,159.00M,,682.60M,-502.90M,-500.00M,,AOR,Restated
2018-02,240.70M,,,0.20M,0.20M,130.60M,130.60M,-187.90M,,61.90M,,-0.50M,-110.60M,-39.00M,-20.70M,,128.20M,-42.10M,202.90M,,-58.30M,,,-3.10M,,3.10M,0.10M,-55.10M,,88.00M,88.00M,-172.50M,-172.50M,,,56.90M,-91.30M,-118.90M,,133.80M,28.90M,-6.70M,156.00M,,745.00M,-657.00M,-172.50M,,AOR,Restated
2017-11,105.10M,,9.30M,3.00M,12.30M,128.10M,128.10M,-1.60M,,58.70M,,-3.70M,-39.20M,-8.30M,7.80M,,-16.30M,-56.00M,242.90M,,-68.40M,,,,-401.10M,7.90M,3.40M,-458.20M,,204.90M,204.90M,0.00,0.00,,,34.40M,-67.30M,172.00M,,153.80M,-43.30M,23.30M,133.80M,,730.00M,-525.10M,0.00,,AOR,Restated
2017-08,147.10M,,-4.70M,3.10M,-1.60M,120.80M,120.80M,-76.00M,,63.40M,,-0.70M,22.10M,51.70M,-1.00M,,-58.50M,14.30M,267.30M,,-61.30M,,,,0.00,-2.40M,-2.60M,-66.30M,,3.60M,3.60M,-312.10M,-312.10M,,,109.70M,-9.30M,-208.10M,,162.50M,-7.10M,-1.60M,153.80M,,674.50M,-670.90M,-312.10M,,AOR,Restated
2017-05,98.80M,,-0.80M,0.40M,-0.40M,122.80M,122.80M,-31.30M,,64.60M,,-0.70M,6.30M,-17.50M,-0.50M,,-41.50M,-53.20M,200.60M,,-58.80M,,,,0.00,6.30M,-2.90M,-55.40M,,267.30M,267.30M,-480.80M,-480.80M,,,90.20M,-3.30M,-126.60M,,154.80M,18.60M,-10.90M,162.50M,,395.00M,-127.70M,-480.80M,,AOR,Restated
2017-02,66.00M,,1.40M,0.40M,1.80M,120.80M,120.80M,8.80M,,75.20M,,-0.60M,-16.70M,-103.40M,-40.90M,,139.70M,-21.30M,250.70M,,-71.70M,,,,,2.70M,2.60M,-66.40M,,337.50M,337.50M,-524.90M,-524.90M,,,97.30M,-76.50M,-166.60M,,138.90M,17.70M,-1.80M,154.80M,,1.395B,-1.058B,-524.90M,,AOR,Restated
2016-11,88.60M,0.00,1.70M,8.80M,10.50M,119.20M,119.20M,0.60M,,61.30M,-3.80M,-3.50M,-74.30M,17.70M,-27.60M,,-25.50M,-109.70M,163.20M,,-48.30M,,,,0.70M,-12.80M,-4.80M,-65.20M,,107.00M,107.00M,-305.40M,-305.40M,,,78.20M,-32.00M,-152.20M,,200.70M,-54.20M,-7.60M,138.90M,,595.00M,-488.00M,-305.40M,,AOR,Restated
2016-08,-31.70M,1.80M,1.20M,0.40M,3.40M,91.70M,91.70M,-19.50M,,80.40M,-1.70M,-0.50M,52.80M,-28.60M,68.70M,,-68.40M,24.50M,146.60M,,-46.60M,,,,99.00M,9.70M,-4.00M,58.10M,,-283.80M,-283.80M,-158.60M,-158.60M,,,69.10M,-5.70M,-379.00M,,345.50M,-174.30M,29.50M,200.70M,,2.323B,-2.607B,-158.60M,,AOR,Restated
2016-05,50.00M,-43.30M,0.00,0.50M,-42.80M,64.30M,64.30M,12.70M,,33.90M,-0.10M,-0.80M,54.30M,26.50M,-2.50M,,-18.80M,59.50M,176.70M,,-28.20M,,,,190.20M,-9.60M,2.20M,154.60M,,-37.00M,-37.00M,-1.70M,-1.70M,,,0.00,0.10M,-38.60M,,61.20M,292.70M,-8.40M,345.50M,,39.00M,-76.00M,-1.70M,,AOR,Restated
2016-02,45.20M,,0.00,0.30M,0.30M,60.50M,60.50M,12.90M,,30.60M,0.00,-0.90M,-41.30M,-37.20M,-26.30M,,108.00M,3.20M,151.80M,,-24.50M,,,,-1.113B,5.50M,2.10M,-1.130B,,867.00M,867.00M,-104.30M,-104.30M,,,0.00,-15.40M,747.30M,,293.10M,-231.20M,-0.70M,61.20M,,1.061B,-194.00M,-104.30M,,AOR,Restated
2015-11,90.60M,,,3.00M,3.00M,60.70M,60.70M,-13.60M,3.40M,34.20M,0.40M,-2.90M,-45.20M,12.20M,4.80M,,-31.60M,-59.80M,116.00M,,-25.20M,,,,0.00,-0.20M,-7.10M,-32.50M,,46.10M,46.10M,-51.80M,-51.80M,,,,-48.90M,-54.60M,,263.60M,28.90M,0.60M,293.10M,,85.00M,-38.90M,-51.80M,,AOR,Restated
2015-08,59.13M,0.00,0.00,0.507M,0.507M,59.97M,59.97M,-17.36M,-0.043M,33.37M,-0.707M,-0.715M,33.67M,55.94M,9.325M,,-70.77M,28.16M,162.32M,,-28.66M,,,,0.008M,-1.619M,3.639M,-26.63M,,-44.04M,-44.04M,-43.35M,-43.35M,,,0.00,0.707M,-86.68M,,225.88M,49.00M,-11.32M,263.60M,,25.00M,-69.04M,-43.35M,,AOR,Restated
2015-05,50.95M,,,0.497M,0.497M,58.91M,58.91M,-16.92M,1.243M,34.34M,-0.065M,-1.307M,83.72M,-1.154M,-0.791M,,-63.19M,18.59M,146.25M,,-30.23M,,,,-201.29M,0.753M,1.44M,-229.32M,,156.01M,156.01M,-51.98M,-51.98M,,,,0.065M,104.10M,,209.72M,21.02M,-4.861M,225.88M,,270.00M,-113.99M,-51.98M,,AOR,Restated
2015-02,39.52M,,,0.496M,0.496M,55.92M,55.92M,12.98M,,33.49M,-5.128M,-0.978M,-16.10M,-39.08M,-28.93M,,135.86M,51.74M,188.04M,,-38.81M,,,,-168.62M,1.666M,-1.779M,-207.54M,,130.73M,130.73M,-53.27M,-53.27M,,,,5.128M,82.58M,,153.16M,63.08M,-6.517M,209.72M,,170.00M,-39.27M,-53.27M,,AOR,Restated
2014-11,60.07M,,,2.358M,2.358M,52.75M,52.75M,-18.64M,0.00,39.68M,-1.691M,-11.42M,-56.83M,27.38M,2.69M,,-10.69M,-37.46M,85.65M,,-31.17M,,,0.014M,-76.46M,4.855M,-8.446M,-111.22M,,-57.88M,-57.88M,-8.618M,-8.618M,,,,-17.31M,-83.81M,,261.81M,-109.38M,0.739M,153.20M,,2.32B,-2.378B,-8.618M,,AOR,Restated
2014-08,46.52M,,,-1.328M,-1.328M,50.57M,50.57M,-20.57M,0.00,47.73M,-1.282M,-0.43M,54.36M,40.92M,11.66M,,-60.68M,46.27M,167.48M,,-32.28M,,,0.00,-133.94M,0.036M,1.084M,-165.10M,,43.77M,43.77M,-3.853M,-3.853M,,,,1.282M,41.20M,,221.00M,43.58M,-2.763M,261.81M,,135.00M,-91.23M,-3.853M,,AOR,Restated
2014-05,55.49M,,,2.834M,2.834M,49.14M,49.14M,-4.032M,0.00,36.03M,-0.915M,-0.825M,107.89M,20.32M,-3.17M,,-41.66M,83.38M,221.11M,,-26.43M,,,0.00,0.00,-1.005M,4.066M,-23.36M,,-173.52M,-173.52M,-3.417M,-3.417M,,,,0.915M,-176.02M,,205.06M,21.73M,-5.785M,221.00M,,0.00,-173.52M,-3.417M,,AOR,Restated
2014-02,32.42M,,,2.836M,2.836M,49.64M,49.64M,32.94M,,43.96M,-9.412M,-0.825M,-69.02M,-57.52M,-19.98M,,148.83M,2.30M,153.86M,,-25.32M,,,-0.714M,0.00,2.314M,-1.304M,-24.31M,,-144.57M,-144.57M,-44.01M,-44.01M,,,,9.412M,-179.17M,,258.37M,-49.62M,-3.691M,205.06M,,30.00M,-174.57M,-44.01M,,AOR,Restated
2013-11,40.81M,,,4.895M,4.895M,50.95M,50.95M,3.444M,0.00,47.66M,-1.929M,-0.698M,-68.09M,88.68M,-3.991M,,-9.947M,6.657M,151.79M,,-25.32M,,,0.00,-5.746M,1.671M,6.937M,-22.46M,,-140.26M,-140.26M,-9.652M,-9.652M,,,0.00,1.929M,-147.98M,,271.00M,-18.66M,6.031M,258.37M,,0.00,-140.26M,-9.652M,,AOR,Restated
2013-08,23.36M,,,2.242M,2.242M,42.43M,42.43M,-11.29M,0.00,44.23M,-0.603M,-0.725M,6.609M,12.34M,19.12M,,-54.52M,-16.44M,83.20M,,-22.98M,,,0.00,-1.326B,2.725M,-3.273M,-1.349B,,1.298B,1.298B,-4.147M,-4.147M,,,0.264M,-16.76M,1.278B,,267.13M,11.61M,-7.746M,271.00M,,1.33B,-31.65M,-4.147M,,AOR,Restated
2013-05,42.89M,,,2.242M,2.242M,32.88M,32.88M,-10.93M,0.00,30.80M,-0.457M,-0.943M,70.75M,4.898M,-2.825M,,-39.82M,33.00M,129.48M,,-23.07M,,,0.00,-117.06M,0.904M,-1.471M,-140.69M,,-43.22M,-43.22M,-1.465M,-1.465M,,,0.285M,0.457M,-43.94M,,318.70M,-55.15M,3.585M,267.13M,,0.00,-43.22M,-1.465M,,AOR,Restated
2013-02,24.67M,,,2.24M,2.24M,32.48M,32.48M,-15.53M,1.629M,39.76M,-11.34M,-10.93M,-33.70M,0.648M,-12.98M,,114.74M,68.72M,131.69M,,-19.37M,,,0.00,-38.45M,-0.776M,-0.846M,-59.44M,,-8.786M,-8.786M,-81.90M,-81.90M,,,,11.34M,-79.34M,,345.01M,-7.092M,-19.22M,318.70M,,45.00M,-53.79M,-81.90M,,AOR,Restated
2012-11,46.42M,,,18.92M,18.92M,31.56M,31.56M,-9.369M,0.00,30.61M,-0.018M,-1.316M,-81.59M,32.17M,2.189M,,-1.458M,-48.69M,68.12M,,-15.03M,,,0.00,0.00,0.79M,0.05M,-14.19M,,53.32M,53.32M,-57.46M,-57.46M,,,0.00,-0.066M,-4.212M,,298.43M,49.71M,-3.137M,345.01M,,70.00M,-16.68M,-57.46M,,AOR,Restated
2012-08,44.08M,,,2.001M,2.001M,31.39M,31.39M,0.084M,0.00,30.54M,-2.88M,-1.319M,2.099M,4.445M,11.46M,,-53.82M,-35.81M,68.08M,,-18.02M,,,0.00,-186.87M,-1.536M,3.509M,-202.92M,,163.67M,163.67M,-6.044M,-6.044M,,,2.862M,2.14M,162.63M,,268.22M,27.79M,2.432M,298.43M,,595.00M,-431.33M,-6.044M,,AOR,Restated
2012-05,44.19M,,,1.997M,1.997M,28.99M,28.99M,-15.73M,0.00,26.47M,-0.367M,0.179M,74.30M,13.44M,-2.683M,,-25.60M,59.46M,145.19M,,-21.82M,,,-3.70M,-119.40M,0.685M,-1.609M,-142.14M,,-24.62M,-24.62M,-0.878M,-0.878M,,,0.076M,0.367M,-25.06M,,296.59M,-22.00M,-6.368M,268.22M,,0.00,-24.62M,-0.878M,,AOR,Restated
2012-02,23.48M,,,2.00M,2.00M,26.30M,26.30M,8.566M,0.00,33.92M,-9.934M,-65.88M,-30.22M,-24.01M,-13.21M,,81.98M,14.54M,32.98M,,-13.56M,,,,0.00,-2.207M,-0.242M,-16.00M,,64.55M,64.55M,-28.44M,-28.44M,,,,9.934M,46.05M,,234.68M,63.03M,-1.128M,296.59M,,85.00M,-20.45M,-28.44M,,AOR,Restated
2011-11,,,,42.54M,42.54M,25.63M,25.63M,-12.80M,,22.38M,-0.761M,-36.44M,-70.87M,40.03M,1.963M,,17.97M,-10.90M,88.81M,,-8.967M,,,0.00,-30.07M,-0.168M,-1.635M,-40.84M,,-7.376M,-7.376M,-4.217M,-4.217M,,,0.00,0.81M,-10.78M,,202.87M,37.19M,-5.376M,234.68M,,84.03M,-91.41M,-4.217M,,AOR,Restated
2011-08,,,,0.703M,0.703M,23.50M,23.50M,6.659M,,22.42M,-0.77M,40.81M,3.571M,-17.01M,6.259M,,-33.88M,-41.06M,52.26M,,-12.84M,,,0.00,-497.25M,,1.435M,-508.65M,,516.23M,516.23M,-5.782M,-5.782M,,,0.00,0.77M,511.22M,,147.11M,54.83M,0.93M,202.87M,,535.00M,-18.77M,-5.782M,,AOR,Restated
2011-05,,,,0.704M,0.704M,20.71M,20.71M,-4.145M,,19.29M,-0.487M,39.94M,62.85M,-1.062M,4.241M,,-20.33M,45.70M,121.71M,,-17.58M,,,-0.585M,-202.74M,0.145M,-4.94M,-225.12M,,-3.769M,-3.769M,-0.746M,-0.746M,,,0.64M,0.463M,-3.412M,,251.68M,-106.81M,2.251M,147.11M,,15.00M,-18.77M,-0.746M,,AOR,Restated
2011-02,,,,0.703M,0.703M,18.20M,18.20M,8.606M,,22.10M,-7.925M,31.94M,-30.68M,-30.08M,-13.97M,,80.38M,5.648M,79.27M,,-17.94M,,,-2.40M,,-0.145M,-0.547M,-18.63M,,4.168M,4.168M,-21.50M,-21.50M,,,1.504M,1.623M,-14.21M,,200.74M,46.43M,4.516M,251.68M,,320.00M,-315.83M,-21.50M,,AOR,Restated
2010-11,137.74M,,,,,16.97M,16.97M,-6.046M,,16.75M,0.00,-40.96M,-52.48M,21.08M,-1.467M,,5.14M,-27.72M,44.87M,,-8.649M,,23.19M,0.00,-250.95M,0.071M,0.279M,-259.25M,,149.97M,149.97M,-0.957M,-0.957M,,,0.702M,0.00,149.72M,,257.15M,-64.66M,8.242M,200.74M,,150.00M,-0.03M,-0.957M,,AOR,Restated
2010-08,-65.30M,,,,,14.41M,14.41M,-8.546M,,12.78M,-0.35M,100.71M,-6.57M,12.34M,7.714M,,-25.03M,-11.54M,42.16M,,-6.848M,,-23.19M,0.00,0.00,1.239M,0.054M,-5.555M,,20.01M,20.01M,-3.024M,-3.024M,,,0.395M,0.35M,17.73M,,202.82M,54.33M,-0.004M,257.15M,,20.00M,0.008M,-3.024M,,AOR,Restated
2010-05,38.48M,,,,,14.27M,14.27M,0.992M,,17.64M,-0.203M,0.853M,57.59M,4.17M,-0.53M,-65.52M,56.01M,51.72M,123.74M,,-9.167M,,,0.00,-65.07M,-0.491M,0.043M,-74.68M,,14.95M,14.95M,-4.31M,-4.31M,,,0.034M,0.203M,10.87M,,149.44M,59.94M,-6.555M,202.82M,,55.00M,-40.05M,-4.31M,,AOR,Restated
2010-02,26.82M,,,,,13.83M,13.83M,7.901M,,19.30M,-4.471M,0.851M,-36.42M,-28.83M,-8.282M,65.52M,-0.804M,-8.824M,55.41M,,-7.172M,,,0.00,-18.50M,-0.819M,-0.986M,-27.48M,,16.78M,16.78M,-18.15M,-18.15M,,,0.189M,4.471M,3.285M,,124.20M,31.22M,-5.979M,149.44M,,20.00M,-3.224M,-18.15M,,AOR,Restated
2009-11,41.20M,,,,-0.365M,13.12M,13.12M,6.892M,,12.85M,-3.276M,-1.002M,-31.32M,26.32M,-1.336M,-1.326M,0.241M,-7.418M,62.00M,,-15.17M,,,,-62.39M,1.927M,0.683M,-74.95M,,14.97M,14.97M,-0.958M,-0.958M,,,0.068M,3.276M,17.36M,,118.47M,4.399M,1.331M,124.20M,,85.00M,-70.03M,-0.958M,,AOR,Restated
2009-08,34.71M,,0.324M,,0.324M,12.77M,12.77M,5.531M,,12.82M,-3.565M,-1.002M,20.95M,-7.064M,7.868M,-25.72M,-1.202M,-5.166M,56.42M,,-8.744M,,,,-66.45M,0.019M,0.312M,-74.86M,,-38.00M,-38.00M,-2.028M,-2.028M,,,0.025M,3.565M,-36.44M,,172.35M,-54.88M,1.004M,118.47M,,12.00M,-50.00M,-2.028M,,AOR,Restated
2009-05,33.06M,,-0.324M,,-0.324M,11.64M,11.64M,6.532M,,14.97M,-4.014M,-1.001M,42.84M,-16.69M,1.699M,-11.18M,0.145M,16.81M,77.66M,,-3.607M,,,,0.00,0.56M,-0.111M,-3.158M,,-0.001M,-0.001M,-1.72M,-1.72M,,,2.019M,4.014M,4.312M,,79.90M,78.82M,13.63M,172.35M,,12.00M,-12.00M,-1.72M,,AOR,Restated
2009-02,28.14M,,,,,11.62M,11.62M,-0.683M,,16.47M,-2.217M,-1.001M,-12.99M,-31.79M,-8.026M,38.94M,0.143M,-13.72M,38.62M,,-5.521M,,,,3.466M,0.373M,0.617M,-1.065M,,18.74M,18.74M,-5.774M,-5.774M,,,0.00,2.217M,15.18M,,31.04M,52.73M,-3.868M,79.90M,,70.00M,-51.26M,-5.774M,,AOR,Restated
2008-11,33.28M,,-0.39M,,-0.801M,11.23M,11.23M,2.751M,-0.323M,-33.43M,1.509M,39.97M,-48.50M,29.77M,1.567M,14.85M,-0.719M,-3.035M,51.15M,,-5.73M,,,4.00M,-141.97M,0.00,0.721M,-146.84M,,3.099M,80.00M,-27.48M,-27.48M,,,,2.443M,54.97M,,87.48M,-40.72M,-15.72M,31.04M,,-50.00M,53.10M,-27.48M,,,
2008-08,21.02M,,1.245M,,1.245M,9.675M,9.675M,0.007M,0.323M,10.35M,-1.509M,-1.067M,18.76M,-5.882M,7.197M,-18.07M,1.074M,3.077M,43.13M,,-6.804M,,,-4.00M,0.00,0.00,-3.067M,-9.871M,,-10.00M,-10.00M,-38.22M,-38.22M,,,0.00,1.055M,-47.17M,,105.37M,-13.92M,-3.977M,87.48M,,0.00,-10.00M,-38.22M,,,Restated
2008-05,23.26M,,-0.806M,,-0.806M,9.683M,9.683M,-0.347M,,10.38M,,-1.982M,25.97M,-2.38M,-2.655M,1.835M,-0.457M,22.31M,62.49M,,-2.278M,,,,-102.67M,0.00,-0.03M,-104.98M,,10.00M,10.00M,-1.815M,-1.815M,,,0.00,0.07M,8.259M,,139.13M,-34.23M,0.466M,105.37M,,50.00M,-40.00M,-1.815M,,,Restated
2008-02,21.43M,,-0.049M,,-0.168M,8.823M,8.823M,2.422M,,12.70M,,-1.579M,-20.17M,-26.29M,-7.423M,42.73M,,-11.15M,32.48M,,-3.073M,,,,-28.21M,10.50M,-2.484M,-23.26M,,-3.099M,-3.099M,-16.85M,-16.85M,,,,0.384M,-19.56M,,148.48M,-10.35M,0.996M,139.13M,,0.00,-3.099M,-16.85M,,,Restated
2007-11,25.08M,,,,0.002M,8.859M,8.859M,-6.101M,,,,6.835M,-30.86M,12.84M,-3.468M,39.78M,,18.30M,52.98M,,-4.717M,0.00,-4.717M,,-27.28M,6.35M,2.124M,-23.53M,,,-0.037M,-13.08M,-13.08M,,,,0.336M,-12.79M,,132.37M,16.66M,-0.547M,148.48M,,,,-13.08M,,,
2007-08,21.73M,,,,-0.109M,7.118M,7.118M,8.73M,,,,8.247M,0.487M,-3.089M,6.949M,-42.56M,15.49M,-22.72M,23.00M,,-3.528M,0.00,-3.528M,,-72.74M,-16.85M,0.087M,-93.03M,,,0.00,-9.746M,-9.746M,,,,0.594M,-9.152M,,212.29M,-79.18M,-0.739M,132.37M,,,,-9.746M,,,
2007-05,18.58M,,,,0.151M,4.921M,4.921M,-0.568M,,,,5.028M,35.35M,-16.55M,-0.768M,12.01M,-15.49M,14.55M,42.66M,,-0.34M,0.00,-0.34M,,-6.338M,0.00,-2.359M,-9.037M,,,0.037M,-7.90M,-7.90M,,,,0.017M,-7.846M,,186.21M,25.78M,0.29M,212.29M,,,,-7.90M,,,
2007-02,18.38M,,,,-1.001M,4.58M,4.58M,-0.447M,,,,6.356M,-10.52M,-8.841M,-4.797M,19.39M,,-4.768M,23.10M,,-3.305M,2.461M,-0.844M,,-8.269M,2.008M,-1.137M,-8.242M,,,-0.537M,-7.763M,-7.763M,,,,0.104M,-8.196M,,180.03M,6.659M,-0.479M,186.21M,,,,-7.763M,,,
2006-11,13.87M,,,,-0.017M,4.784M,4.784M,-8.135M,,,,7.773M,-55.84M,28.94M,-2.075M,31.30M,0.971M,3.303M,21.58M,,-2.529M,-0.135M,-2.664M,,0.00,4.343M,-0.175M,1.504M,,,0.02M,,,,,,3.159M,-4.372M,,161.63M,18.71M,-0.31M,180.03M,,,,,,,
2006-08,16.07M,,,,0.168M,4.218M,4.218M,0.356M,,,,3.427M,20.37M,-6.122M,5.988M,-26.10M,10.62M,4.747M,28.99M,,-2.284M,0.40M,-1.884M,,-51.48M,12.38M,-0.983M,-41.96M,,,-0.119M,,,,,,5.189M,5.07M,,170.00M,-7.904M,-0.462M,161.63M,,,,,,,
2006-05,12.93M,,,,-4.297M,3.342M,3.342M,-0.489M,,,,7.093M,40.96M,-20.94M,-1.057M,16.69M,-11.59M,24.07M,42.65M,,-6.695M,,-6.695M,,0.00,7.592M,-0.719M,0.178M,,,-0.075M,,,,,,0.225M,0.15M,,125.73M,42.98M,1.286M,170.00M,,,,,,,
2006-02,13.46M,,,,4.231M,3.37M,3.37M,0.702M,,,,,-10.18M,0.387M,-1.658M,12.20M,,0.741M,22.51M,,-2.368M,,-2.368M,,-32.98M,1.345M,1.991M,-32.01M,,,-0.016M,,,,,,1.969M,1.953M,,132.36M,-7.547M,0.911M,125.73M,,,,,,,
2005-11,16.36M,,,,0.53M,2.939M,2.939M,4.472M,,,,,-59.70M,25.56M,-2.128M,23.44M,,-12.83M,11.47M,,-5.868M,-1.527M,-7.395M,,-0.551M,-9.512M,,-17.46M,,,0.00,,,,,,,0.00,,137.77M,-5.987M,0.585M,132.36M,,,,,,,
2005-08,3.66M,,,,2.666M,2.831M,2.831M,-2.246M,,,,-2.504M,18.38M,-8.196M,7.464M,-9.561M,,8.083M,12.49M,,-1.164M,1.524M,0.36M,,0.005M,-17.77M,0.596M,-16.81M,,,-0.12M,,,,,,,-0.12M,,141.67M,-4.44M,0.534M,137.77M,,,,,,,
