,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2017-05,906.10M,906.10M,337.70M,568.40M,274.60M,274.60M,-29.90M,37.70M,0.60M,-37.10M,4.30M,401.70M,166.70M,0.60M,37.70M,-37.10M,-29.90M,-37.10M,99.70M,-1.00M,98.80M,,0.50M,99.30M,117.24M,260.20M,122.80M,137.40M,,0.25,,0.2949,0.25,,0.24,,0.2832,0.24,,399.70M,415.60M,,,AOR,Restated
2017-02,844.20M,844.20M,327.00M,517.20M,268.40M,268.40M,-31.40M,31.80M,0.50M,-31.30M,0.90M,390.10M,127.10M,0.50M,31.80M,-31.30M,-31.40M,-31.30M,64.40M,-3.60M,66.00M,,,66.00M,95.52M,217.00M,120.80M,96.20M,,0.16,,0.2327,0.16,,0.16,,0.2299,0.16,,406.20M,422.20M,,,AOR,Restated
2016-11,873.80M,873.80M,345.50M,528.30M,254.80M,254.80M,-40.20M,27.40M,0.40M,-27.00M,1.90M,375.90M,152.40M,0.40M,27.40M,-27.00M,-40.20M,-27.00M,85.20M,-5.80M,87.70M,1.20M,0.40M,89.30M,112.22M,231.80M,119.20M,112.60M,,0.21,0.00,0.2679,0.21,,0.20,0.00,0.2557,0.21,,416.30M,432.70M,,,AOR,Restated
2016-08,724.60M,724.60M,269.10M,455.50M,268.20M,268.20M,-115.10M,36.50M,0.30M,-36.20M,-2.80M,357.10M,98.40M,0.30M,36.50M,-36.20M,-115.10M,-36.20M,-52.90M,-23.10M,-31.00M,-1.00M,0.30M,-31.70M,38.36M,75.30M,91.70M,-16.40M,,-0.09,0.00,0.1131,-0.09,,-0.09,0.00,0.1131,-0.09,,340.10M,340.10M,,,AOR,Restated
2016-05,587.90M,587.90M,212.30M,375.60M,207.50M,207.50M,-19.10M,27.20M,0.40M,-26.80M,-0.30M,271.50M,104.10M,0.40M,27.20M,-26.80M,-19.10M,-26.80M,58.20M,13.40M,44.80M,5.20M,0.00,50.00M,59.51M,149.70M,64.30M,85.40M,,0.19,0.02,0.2512,0.21,,0.19,0.02,0.251,0.21,,240.30M,241.10M,,,AOR,Restated
2016-02,548.50M,548.50M,210.80M,337.70M,186.80M,186.80M,-9.50M,28.20M,0.30M,-27.90M,1.20M,248.50M,89.20M,0.30M,28.20M,-27.90M,-9.50M,-27.90M,51.80M,10.40M,41.40M,3.80M,0.00,45.20M,48.99M,140.50M,60.50M,80.00M,,0.17,0.02,0.2017,0.19,,0.17,0.02,0.2014,0.19,,239.70M,242.00M,,,AOR,Restated
2015-11,555.70M,555.70M,194.90M,360.80M,209.10M,209.10M,-18.30M,18.30M,0.30M,-18.00M,0.20M,264.90M,95.90M,0.30M,18.30M,-18.00M,-18.30M,-18.00M,59.60M,12.20M,47.40M,43.20M,,90.60M,61.95M,138.60M,60.70M,77.90M,,0.1968,0.1771,0.2571,0.3740,,0.1940,0.1771,0.2528,0.3711,,241.30M,247.60M,,,AOR,Restated
2015-08,557.90M,557.90M,209.20M,348.70M,200.70M,200.70M,-2.00M,18.20M,0.30M,-17.90M,0.20M,255.70M,93.00M,0.30M,18.20M,-17.90M,-2.00M,-17.90M,73.10M,16.30M,56.80M,2.30M,0.00,59.10M,58.35M,151.27M,59.97M,91.30M,,0.23,0.01,0.2364,0.24,,0.23,0.01,0.2363,0.24,,243.10M,244.80M,,,AOR,Restated
2015-05,556.94M,556.94M,214.86M,342.08M,203.16M,203.16M,-7.021M,17.45M,0.18M,-17.27M,1.932M,258.89M,83.19M,0.18M,17.45M,-17.27M,-7.021M,-17.27M,58.90M,12.22M,46.67M,4.279M,,50.95M,52.23M,135.26M,58.91M,76.35M,,0.1912,0.0169,0.2139,0.2081,,0.1912,0.0169,0.2138,0.2081,,244.70M,245.80M,,,AOR,Restated
2015-02,513.88M,513.88M,200.34M,313.53M,186.94M,186.94M,-13.60M,16.99M,0.16M,-16.83M,-0.838M,236.99M,76.54M,0.16M,16.99M,-16.83M,-13.60M,-16.83M,46.11M,8.162M,37.95M,1.57M,,39.52M,49.14M,119.02M,55.92M,63.11M,,0.1546,0.0056,0.2004,0.1631,,0.1546,0.0056,0.2000,0.1603,,244.34M,246.48M,,,AOR,Restated
2014-11,431.32M,431.32M,158.12M,273.20M,179.51M,179.51M,-3.28M,13.25M,0.263M,-12.99M,-2.74M,208.63M,64.58M,0.263M,13.25M,-12.99M,-3.28M,-12.99M,48.31M,4.739M,43.57M,,,60.07M,46.53M,114.31M,52.75M,61.56M,,0.2474,0.00,0.2596,0.2474,,0.2446,0.00,0.2565,0.2446,,242.99M,249.01M,,,AOR,Restated
2014-08,556.01M,556.01M,219.21M,336.80M,209.96M,209.96M,-2.368M,12.30M,0.251M,-12.04M,0.132M,260.66M,76.15M,0.251M,12.30M,-12.04M,-2.368M,-12.04M,61.73M,15.22M,46.52M,,,46.52M,48.30M,124.60M,50.57M,74.03M,,0.1912,,0.1985,0.1912,,0.1912,,0.1985,0.1912,,242.81M,245.09M,,,AOR,Restated
2014-05,568.01M,568.01M,224.94M,343.06M,206.48M,206.48M,-0.937M,14.61M,0.235M,-14.38M,-0.267M,255.35M,87.71M,0.235M,14.61M,-14.38M,-0.937M,-14.38M,72.40M,16.91M,55.49M,,,55.49M,56.21M,136.15M,49.14M,87.01M,,0.2277,,0.2307,0.2277,,0.2277,,0.2307,0.2277,,242.62M,244.33M,,,AOR,Restated
2014-02,524.46M,524.46M,212.92M,311.53M,200.55M,200.55M,-4.115M,15.24M,0.251M,-14.99M,1.575M,251.76M,59.77M,0.251M,15.24M,-14.99M,-4.115M,-14.99M,40.66M,8.238M,32.42M,,,32.42M,35.70M,105.54M,49.64M,55.90M,,0.1350,,0.1486,0.1350,,0.1321,,0.1456,0.1321,,241.17M,244.31M,,,AOR,Restated
2013-11,411.05M,411.05M,159.20M,251.85M,181.79M,181.79M,-5.815M,16.23M,0.392M,-15.83M,-3.505M,209.47M,42.38M,0.392M,16.23M,-15.83M,-5.815M,-15.83M,20.73M,-4.762M,25.49M,15.32M,,40.81M,29.27M,87.91M,50.95M,36.96M,,0.1715,0.00,0.1873,0.1715,,0.1687,0.00,0.1840,0.1687,,239.71M,246.26M,,,AOR,Restated
2013-08,480.29M,480.29M,198.28M,282.01M,181.59M,181.59M,-17.76M,16.07M,0.232M,-15.84M,0.803M,224.82M,57.19M,0.232M,16.07M,-15.84M,-17.76M,-15.84M,23.59M,0.116M,23.47M,-0.108M,,23.36M,41.14M,82.09M,42.43M,39.66M,,0.0984,0.00,0.1730,0.0984,,0.0984,0.00,0.1722,0.0984,,237.05M,239.45M,,,AOR,Restated
2013-05,418.14M,418.14M,172.42M,245.72M,145.85M,145.85M,-4.896M,6.164M,0.303M,-5.861M,0.511M,179.24M,66.48M,0.303M,6.164M,-5.861M,-4.896M,-5.861M,55.72M,12.84M,42.88M,0.007M,,42.89M,46.65M,94.76M,32.88M,61.89M,,0.1828,0.00,0.1988,0.1828,,0.1828,0.00,0.1987,0.1828,,234.34M,236.23M,,,AOR,Restated
2013-02,382.52M,382.52M,160.08M,222.45M,144.47M,144.47M,-6.683M,6.12M,0.344M,-5.776M,2.419M,179.37M,43.08M,0.344M,6.12M,-5.776M,-6.683M,-5.776M,30.62M,5.953M,24.67M,,,24.67M,30.06M,69.22M,32.48M,36.74M,,0.1040,,0.1271,0.1040,,0.1040,,0.1267,0.1040,,233.99M,237.23M,,,AOR,Restated
2012-11,414.36M,414.36M,158.91M,255.45M,162.42M,162.42M,-5.424M,5.736M,0.325M,-5.411M,0.569M,194.55M,60.90M,0.325M,5.736M,-5.411M,-5.424M,-5.411M,50.06M,3.656M,46.41M,0.011M,,46.42M,51.44M,87.36M,31.56M,55.80M,,0.1968,0.00,0.2182,0.1968,,0.1940,0.00,0.2151,0.1940,,234.65M,238.77M,,,AOR,Restated
2012-08,385.61M,385.61M,153.75M,231.86M,140.52M,140.52M,-3.071M,5.057M,0.255M,-4.802M,0.622M,172.53M,59.33M,0.255M,5.057M,-4.802M,-3.071M,-4.802M,51.46M,7.384M,44.07M,0.008M,,44.08M,46.71M,87.90M,31.39M,56.52M,,0.1884,0.00,0.1996,0.1884,,0.1856,0.00,0.1966,0.1856,,234.71M,237.61M,,,AOR,Restated
2012-05,387.16M,387.16M,165.27M,221.89M,128.84M,128.84M,-4.129M,4.886M,0.247M,-4.639M,-0.566M,157.27M,64.62M,0.247M,4.886M,-4.639M,-4.129M,-4.639M,55.85M,11.66M,44.19M,0.00,,44.19M,47.46M,89.73M,28.99M,60.74M,,0.1884,0.00,0.2023,0.1884,,0.1856,0.00,0.1994,0.1856,,234.29M,236.67M,,,AOR,Restated
2012-02,342.74M,342.74M,146.59M,196.15M,127.18M,127.18M,-8.352M,4.894M,0.172M,-4.722M,-0.736M,152.74M,43.41M,0.172M,4.894M,-4.722M,-8.352M,-4.722M,30.34M,6.863M,23.48M,,,23.48M,29.94M,61.53M,26.30M,35.23M,,0.1012,,0.1290,0.1012,,0.0984,,0.1258,0.0984,,233.01M,236.34M,,,AOR,Restated
2011-11,370.66M,370.66M,146.61M,224.05M,171.30M,171.30M,-2.451M,4.572M,0.208M,-4.364M,-1.495M,195.43M,28.62M,0.208M,4.572M,-4.364M,-2.451M,-4.364M,21.80M,-1.256M,23.06M,-0.328M,,22.73M,24.65M,52.00M,25.63M,26.37M,,0.0984,-0.0028,0.1053,0.0984,,0.0984,-0.0028,0.1052,0.0956,,231.75M,235.44M,,,AOR,Restated
2011-08,338.72M,338.72M,144.01M,194.70M,118.19M,118.19M,-1.54M,2.967M,0.163M,-2.804M,-0.197M,141.49M,53.22M,0.163M,2.967M,-2.804M,-1.54M,-2.804M,48.87M,8.183M,40.69M,0.118M,,40.81M,41.97M,75.34M,23.50M,51.84M,,0.1771,0.00,0.1827,0.1771,,0.1743,0.00,0.1798,0.1743,,231.26M,233.59M,,,AOR,Restated
2011-05,323.12M,323.12M,141.20M,181.92M,106.44M,106.44M,-1.945M,2.145M,0.306M,-1.839M,0.108M,127.26M,54.65M,0.306M,2.145M,-1.839M,-1.945M,-1.839M,50.87M,11.05M,39.82M,0.123M,,39.94M,41.34M,73.73M,20.71M,53.01M,,0.1715,0.00,0.1781,0.1715,,0.1715,0.00,0.1780,0.1715,,231.01M,233.12M,,,AOR,Restated
2011-02,293.14M,293.14M,126.67M,166.48M,102.54M,102.54M,-3.306M,1.662M,0.185M,-1.477M,0.505M,121.25M,45.23M,0.185M,1.662M,-1.477M,-3.306M,-1.477M,40.44M,8.719M,31.72M,0.213M,,31.94M,34.32M,60.31M,18.20M,42.10M,,0.1378,0.00,0.1491,0.1406,,0.1350,0.00,0.1461,0.1378,,229.35M,232.65M,,,AOR,Restated
2010-11,280.17M,280.17M,114.26M,165.92M,105.11M,105.11M,0.00,0.963M,0.269M,-0.694M,0.399M,122.47M,43.44M,0.269M,0.963M,-0.694M,0.00,-0.694M,42.75M,8.869M,33.88M,4.002M,,37.88M,33.88M,60.68M,16.97M,43.71M,,0.1490,0.0197,0.1490,0.1659,,0.1462,0.0197,0.1462,0.1631,,228.38M,231.73M,,,AOR,Restated
2010-08,271.61M,271.61M,115.38M,156.23M,87.39M,87.39M,-9.104M,0.413M,0.188M,-0.225M,0.262M,102.06M,54.17M,0.188M,0.413M,-0.225M,-9.104M,-0.225M,44.84M,10.30M,34.54M,0.023M,,34.56M,41.55M,59.66M,14.41M,45.25M,,0.1518,0.00,0.1826,0.1518,,0.1490,0.00,0.1795,0.1490,,228.06M,230.18M,,,AOR,Restated
2010-05,266.48M,266.48M,112.94M,153.54M,90.25M,90.25M,0.082M,0.295M,0.094M,-0.201M,-0.229M,104.29M,49.25M,0.094M,0.295M,-0.201M,0.082M,-0.201M,49.13M,10.65M,38.48M,0.00,,38.48M,38.41M,63.69M,14.27M,49.42M,,0.1687,0.00,0.1684,0.1687,,0.1687,0.00,0.1684,0.1687,,227.55M,229.65M,,,AOR,Restated
2010-02,240.74M,240.74M,105.21M,135.53M,85.85M,85.85M,0.00,0.365M,0.104M,-0.261M,-0.885M,98.79M,36.74M,0.104M,0.365M,-0.261M,,-0.261M,36.48M,9.528M,26.95M,-0.126M,,26.82M,26.95M,50.67M,13.83M,36.84M,,0.1181,0.00,0.1181,0.1181,,0.1181,0.00,0.1181,0.1181,,225.98M,229.15M,,,AOR,Restated
2009-11,257.13M,257.13M,107.66M,149.47M,86.15M,86.15M,0.319M,0.54M,0.306M,-0.234M,-3.052M,96.22M,53.25M,0.306M,0.54M,-0.234M,0.319M,-0.234M,53.34M,12.26M,41.07M,0.125M,0.00,41.20M,40.83M,66.99M,13.12M,53.88M,,0.1828,0.00,0.1817,0.1828,,0.1799,0.00,0.1789,0.1799,,224.87M,228.51M,,,AOR,Restated
2009-08,239.48M,239.48M,101.71M,137.78M,78.69M,78.69M,0.00,0.416M,0.219M,-0.197M,0.06M,91.52M,46.26M,0.219M,0.416M,-0.197M,,-0.197M,46.06M,11.32M,34.74M,-0.032M,0.00,34.71M,34.74M,59.25M,12.77M,46.48M,,0.1546,0.00,0.1546,0.1546,,0.1518,0.00,0.1518,0.1518,,224.63M,227.71M,,,AOR,Restated
2009-05,235.28M,235.28M,97.86M,137.42M,81.91M,81.91M,0.061M,0.512M,0.209M,-0.303M,1.605M,95.15M,42.27M,0.209M,0.512M,-0.303M,0.061M,-0.303M,42.02M,8.893M,33.13M,-0.073M,-1.104M,31.95M,31.98M,54.17M,11.64M,42.54M,,0.1434,0.00,0.1432,0.1434,,0.1406,0.00,0.1404,0.1406,,224.12M,227.01M,,,AOR,Restated
2009-02,235.41M,235.41M,102.72M,132.69M,85.77M,85.77M,0.355M,0.749M,0.354M,-0.395M,-2.074M,95.32M,37.38M,0.354M,0.749M,-0.395M,0.355M,-0.395M,37.34M,9.035M,28.30M,-0.158M,-1.04M,27.10M,26.99M,49.71M,11.62M,38.09M,,0.1209,0.00,0.1197,0.1209,,0.1209,0.00,0.1197,0.1209,,223.41M,226.52M,,,AOR,Restated
2008-11,230.63M,230.63M,99.05M,131.58M,,80.94M,9.624M,,,,-5.873M,86.30M,45.28M,,,,12.95M,,45.02M,12.90M,33.22M,,0.044M,33.28M,26.41M,66.32M,11.23M,55.09M,,0.1518,0.00,0.1208,0.1518,,0.1490,0.00,0.1184,0.1490,,221.11M,224.02M,,,,
2008-08,207.43M,207.43M,91.34M,116.09M,71.95M,71.95M,-12.48M,0.363M,0.754M,0.391M,-2.106M,79.52M,36.57M,0.754M,0.363M,0.391M,-12.48M,0.391M,24.48M,4.585M,21.07M,,-0.042M,21.02M,31.17M,34.52M,9.675M,24.84M,,0.0956,0.00,0.1417,0.0956,,0.0928,0.00,0.1382,0.0928,,220.13M,223.25M,,,,Restated
2008-05,207.19M,207.19M,93.18M,114.01M,71.84M,71.84M,0.00,0.843M,0.697M,-0.146M,-0.323M,81.20M,32.82M,0.697M,0.843M,-0.146M,,-0.146M,32.67M,10.42M,23.29M,,-0.031M,23.26M,23.26M,43.20M,9.683M,33.51M,,0.1040,0.00,0.1040,0.1040,,0.1040,0.00,0.1040,0.1040,,221.30M,224.37M,,,,Restated
2008-02,198.78M,198.78M,,198.78M,-70.79M,-70.79M,0.00,0.136M,1.217M,1.081M,0.932M,-78.68M,277.46M,1.217M,0.136M,1.081M,,1.081M,32.01M,10.60M,21.42M,,0.016M,21.43M,21.43M,40.97M,8.823M,32.15M,,0.0984,0.00,0.0984,0.0984,,0.0956,0.00,0.0956,0.0956,,220.41M,223.70M,,,,Restated
2007-11,197.52M,197.52M,86.02M,111.50M,,68.61M,1.202M,,,,-1.175M,76.29M,35.21M,,,,1.329M,,36.42M,11.30M,25.08M,,-0.035M,25.08M,24.26M,44.07M,8.859M,35.21M,,0.1153,0.00,0.1115,0.1153,,0.1153,0.00,0.1122,0.1153,,219.58M,272.46M,,,,
2007-08,183.36M,183.36M,83.05M,100.31M,,66.48M,2.718M,,,,-2.762M,70.84M,29.47M,,,,2.762M,,31.34M,9.58M,21.73M,,-0.032M,21.73M,19.84M,36.59M,7.118M,29.47M,,0.1012,0.00,0.0925,0.1012,,0.0984,0.00,0.0914,0.0984,,217.37M,270.11M,,,,
2007-05,154.90M,154.90M,67.75M,87.15M,,56.25M,-0.208M,,,,0.079M,61.25M,25.89M,,,,-0.088M,,27.50M,8.909M,18.58M,,-0.012M,18.58M,18.72M,30.82M,4.921M,25.89M,,0.0900,0.00,0.0907,0.0900,,0.0900,0.00,0.0905,0.0900,,204.06M,256.19M,,,,
2007-02,152.62M,152.62M,65.74M,86.88M,,57.89M,1.428M,,,,-1.463M,61.01M,25.88M,,,,1.472M,,27.40M,9.043M,18.38M,,0.015M,18.38M,17.42M,30.46M,4.58M,25.88M,,0.0900,0.00,0.0853,0.0900,,0.0900,0.00,0.0862,0.0900,,204.84M,254.11M,,,,
2006-11,148.13M,148.13M,64.07M,84.05M,,56.80M,-4.148M,,,,0.941M,62.52M,21.53M,,,,-4.042M,,19.67M,5.80M,13.87M,0.00,0.002M,13.87M,16.80M,26.32M,4.784M,21.53M,,0.0675,0.0028,0.0818,0.0703,,0.0675,0.00,0.0791,0.0675,,203.76M,252.79M,,,,
2006-08,139.92M,139.92M,64.31M,75.62M,,50.68M,1.011M,,,,-1.061M,53.84M,21.78M,,,,1.061M,,23.45M,6.987M,16.37M,-0.298M,-0.089M,16.07M,15.66M,26.00M,4.218M,21.78M,,0.0815,-0.0028,0.0780,0.0787,,0.0815,-0.0028,0.0787,0.0787,,202.90M,251.95M,,,,
2006-05,132.86M,132.86M,63.18M,69.67M,,46.65M,-1.223M,,,,1.121M,51.11M,18.56M,,,,-1.121M,,19.95M,6.619M,13.28M,-0.342M,-0.056M,12.93M,14.09M,21.90M,3.342M,18.56M,,0.0675,-0.0028,0.0716,0.0647,,0.0675,-0.0028,0.0708,0.0647,,199.24M,248.54M,,,,
2006-02,129.87M,129.87M,60.86M,69.00M,,42.80M,-1.444M,,,,1.414M,47.59M,21.42M,,,,-1.416M,,22.24M,7.473M,14.74M,-1.28M,-0.025M,13.46M,15.70M,24.78M,3.37M,21.42M,,0.0731,-0.0056,0.0779,0.0675,,0.0731,-0.0056,0.0770,0.0675,,198.73M,248.29M,,,,
2005-11,126.03M,126.03M,58.17M,67.86M,,40.77M,-0.154M,,,,-1.203M,42.44M,25.42M,,,,-0.103M,,24.97M,7.878M,16.96M,-0.598M,-0.132M,16.36M,17.06M,28.35M,2.939M,25.42M,,0.0872,-0.0028,0.0877,0.0844,,0.0844,-0.0028,0.0848,0.0815,,196.26M,248.31M,,,,
2005-08,117.96M,117.96M,57.29M,60.66M,,40.66M,-11.32M,,,,-1.109M,42.32M,18.34M,,,,-11.29M,,6.737M,2.518M,4.187M,-0.527M,-0.032M,3.66M,11.27M,21.17M,2.831M,18.34M,,0.0225,-0.0028,0.0587,0.0197,,0.0225,-0.0028,0.0511,0.0197,,195.97M,247.67M,,,,
2005-05,115.14M,115.14M,57.25M,57.90M,,42.73M,0.707M,,,,-0.728M,44.86M,13.04M,,,,0.728M,,13.89M,4.574M,9.328M,-0.682M,0.011M,8.646M,8.854M,15.96M,2.918M,13.04M,,0.0478,-0.0028,0.0454,0.0450,,0.0450,-0.0028,0.0431,0.0422,,195.94M,248.14M,,,,
2005-02,116.98M,116.98M,55.46M,61.52M,,40.56M,0.672M,,,,-0.70M,42.77M,18.76M,,,,0.70M,,18.98M,5.406M,13.58M,-0.443M,0.007M,13.13M,13.10M,21.73M,2.967M,18.76M,,0.0703,-0.0028,0.0678,0.0675,,0.0675,-0.0028,0.0655,0.0647,,195.63M,248.61M,,,,
