,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-05,159.00M,,159.00M,704.20M,,734.10M,,85.20M,2.207B,,,,,508.90M,508.90M,,508.90M,8.142B,3.545B,11.69B,,11.10M,51.80M,12.26B,14.47B,,42.10M,13.00M,55.10M,347.10M,402.20M,,105.80M,,105.80M,872.00M,872.00M,86.50M,1.562B,4.354B,,4.354B,594.40M,594.40M,30.90M,,7.90M,148.50M,5.135B,6.697B,,4.70M,2.580B,7.617B,2.289B,,,-143.60M,7.769B,,AOR,Restated
2018-02,156.00M,,156.00M,802.70M,,837.10M,,94.70M,1.166B,,,,,539.70M,539.70M,,539.70M,8.810B,4.129B,12.94B,,11.10M,41.10M,13.53B,14.70B,,50.10M,8.50M,58.60M,351.90M,410.50M,,90.90M,,90.90M,919.30M,919.30M,,1.480B,4.186B,,4.186B,691.00M,691.00M,31.60M,,8.40M,136.90M,5.054B,6.534B,,4.70M,2.465B,7.612B,1.889B,,,-29.70M,8.162B,,AOR,Restated
2017-11,133.80M,,133.80M,693.50M,,725.40M,,93.00M,1.015B,197.30M,,,960.40M,,1.158B,-626.40M,531.30M,8.778B,4.188B,12.97B,,7.10M,34.20M,13.54B,14.55B,,53.40M,5.50M,58.90M,323.00M,381.90M,,576.00M,,576.00M,790.80M,790.80M,,1.906B,3.617B,,3.617B,869.80M,869.80M,31.80M,,19.10M,105.90M,4.644B,6.55B,,4.70M,2.218B,7.612B,1.745B,,,-85.00M,8.004B,,AOR,Restated
2017-08,153.80M,,153.80M,655.50M,,670.40M,,88.00M,972.10M,,,,,506.90M,506.90M,,506.90M,8.358B,4.110B,12.47B,,14.80M,55.30M,13.04B,14.02B,,49.90M,12.70M,62.60M,283.80M,346.40M,,561.10M,,561.10M,814.10M,814.10M,,1.841B,3.425B,,3.425B,829.30M,829.30M,35.00M,,69.60M,115.50M,4.474B,6.315B,,4.70M,2.117B,7.583B,1.789B,,,-213.20M,7.702B,,AOR,Restated
2017-05,162.50M,,162.50M,669.70M,,701.90M,,93.20M,1.024B,,,,,470.10M,470.10M,,470.10M,8.277B,4.236B,12.51B,,14.80M,48.70M,13.05B,14.07B,,60.00M,5.50M,65.50M,279.00M,344.50M,,561.20M,,561.20M,869.40M,869.40M,,1.860B,3.423B,,3.423B,974.10M,974.10M,32.50M,,58.30M,114.90M,4.603B,6.463B,,4.70M,1.971B,7.507B,1.564B,,,-309.80M,7.609B,,AOR,Restated
2017-02,154.80M,,154.80M,668.80M,,727.40M,,97.60M,1.045B,,,,,445.00M,445.00M,,445.00M,8.198B,4.256B,12.45B,,14.80M,47.00M,12.96B,14.01B,,52.50M,13.70M,66.20M,315.50M,381.70M,,582.90M,,582.90M,906.90M,906.90M,,1.967B,3.132B,,3.132B,1.013B,1.013B,32.70M,,58.20M,110.90M,4.347B,6.314B,,4.60M,1.872B,7.357B,1.081B,,,-460.70M,7.692B,,AOR,Restated
2016-11,138.90M,,138.90M,635.60M,,661.60M,,77.40M,933.50M,155.50M,,,852.20M,,1.008B,-591.50M,416.20M,8.210B,4.352B,12.56B,,14.80M,10.50M,13.00B,13.94B,,58.90M,11.90M,70.80M,292.80M,363.60M,,104.60M,,104.60M,770.20M,770.20M,,1.412B,3.279B,,3.279B,995.10M,995.10M,33.00M,,57.70M,74.70M,4.440B,5.852B,,4.50M,1.807B,7.211B,499.10M,,,-438.80M,8.084B,,AOR,Restated
2016-08,200.70M,,200.70M,514.70M,,523.40M,,152.40M,929.50M,,,,,391.60M,391.60M,,391.60M,8.424B,4.565B,12.99B,,6.60M,12.00M,13.40B,14.33B,,57.40M,32.70M,90.10M,261.00M,351.10M,,126.00M,,126.00M,803.40M,803.40M,,1.415B,3.14B,,3.14B,1.126B,1.126B,25.80M,,77.70M,111.90M,4.481B,5.896B,,4.50M,1.719B,7.085B,156.90M,,,-218.80M,8.433B,,AOR,Restated
2016-05,345.54M,,345.54M,378.03M,,385.76M,,69.58M,863.36M,,,,,318.45M,318.45M,,318.45M,4.081B,1.320B,5.402B,,6.63M,26.25M,5.753B,6.616B,,45.40M,45.50M,90.90M,166.08M,256.98M,,473.80M,,473.80M,649.79M,649.79M,,1.450B,2.488B,,2.488B,329.84M,329.84M,25.90M,,,66.91M,2.910B,4.360B,,0.711M,1.750B,1.105B,417.20M,,,-182.57M,2.256B,,AOR,Restated
2016-02,60.50M,,60.50M,408.84M,,413.43M,,74.05M,805.78M,,,,,319.34M,319.34M,,319.34M,4.063B,1.339B,5.402B,,6.63M,28.48M,5.757B,6.562B,,50.24M,15.28M,65.52M,173.62M,239.14M,,588.16M,,588.16M,663.26M,663.26M,42.02M,1.595B,2.410B,,2.410B,317.46M,317.46M,26.30M,,,74.06M,2.828B,4.423B,,0.711M,1.700B,1.071B,415.68M,,,-217.31M,2.139B,,AOR,Restated
2015-11,291.60M,,291.60M,355.90M,,360.50M,,52.20M,950.50M,115.20M,,,496.70M,,611.90M,-297.50M,314.40M,3.288B,1.015B,4.302B,,6.60M,3.80M,4.627B,5.578B,,59.20M,23.30M,82.50M,151.70M,234.20M,,36.00M,,36.00M,552.50M,552.50M,32.10M,960.30M,2.072B,,2.072B,259.50M,259.50M,26.70M,,0.00,58.60M,2.416B,3.377B,,2.50M,1.655B,1.051B,317.00M,,,-191.20M,2.201B,,AOR,Restated
2015-08,263.60M,,263.60M,330.67M,,330.67M,78.03M,64.79M,790.25M,,,,,322.80M,322.80M,,322.80M,3.401B,1.112B,4.512B,,,24.11M,4.859B,5.650B,,57.71M,31.73M,89.45M,141.16M,230.60M,,36.01M,,36.01M,607.07M,607.07M,,962.67M,2.049B,,2.049B,355.93M,355.93M,27.61M,,,63.32M,2.496B,3.459B,,0.701M,1.565B,1.014B,216.75M,,,-171.85M,2.191B,,AOR,Restated
2015-05,225.88M,,225.88M,365.26M,,365.26M,71.29M,70.49M,795.67M,,,,,317.00M,317.00M,,317.00M,3.426B,1.130B,4.556B,,,24.33M,4.897B,5.693B,,52.12M,7.772M,59.89M,151.28M,211.17M,,36.00M,,36.00M,680.86M,680.86M,,988.58M,2.093B,,2.093B,362.28M,362.28M,27.87M,,,57.85M,2.541B,3.530B,,0.70M,1.506B,985.80M,173.40M,,,-155.49M,2.163B,,AOR,Restated
2015-02,209.72M,,209.72M,439.18M,,443.07M,61.63M,72.20M,849.91M,,,,,308.51M,308.51M,,308.51M,3.273B,1.107B,4.381B,,,26.73M,4.716B,5.566B,,47.76M,,47.76M,175.86M,223.63M,,35.99M,,35.99M,737.04M,737.04M,,1.053B,1.937B,,1.937B,351.43M,351.43M,28.66M,,,52.64M,2.370B,3.423B,,0.70M,1.455B,953.49M,121.42M,,,-144.61M,2.143B,,AOR,Restated
2014-11,153.16M,,153.16M,421.37M,,423.66M,,60.97M,688.81M,114.62M,,,435.38M,,550.00M,-248.58M,301.42M,3.157B,1.091B,4.248B,,5.486M,27.99M,4.583B,5.272B,,52.24M,0.00,52.24M,168.49M,220.74M,,36.26M,,36.26M,596.19M,596.19M,,955.06M,1.806B,,1.806B,271.12M,271.12M,29.14M,,,51.17M,2.158B,3.113B,,0.694M,1.415B,956.38M,105.87M,,,-106.72M,2.160B,,AOR,Restated
2014-08,261.81M,,261.81M,365.59M,,365.59M,72.84M,60.96M,811.75M,,,,,281.95M,281.95M,,281.95M,3.141B,1.101B,4.242B,,,17.20M,4.541B,5.353B,,47.11M,35.33M,82.44M,136.53M,218.97M,,218.79M,,218.79M,613.13M,613.13M,,1.137B,1.681B,,1.681B,338.34M,338.34M,30.34M,,,54.15M,2.104B,3.242B,,0.691M,1.355B,915.56M,97.23M,,,-62.81M,2.111B,,AOR,Restated
2014-05,221.00M,,221.00M,416.77M,,416.94M,59.76M,59.90M,820.88M,,,,,267.25M,267.25M,,267.25M,3.065B,1.077B,4.142B,,,18.63M,4.428B,5.248B,,57.37M,0.00,57.37M,146.60M,203.97M,,140.91M,,140.91M,667.26M,667.26M,,1.073B,1.716B,,1.716B,349.43M,349.43M,31.21M,,,51.78M,2.148B,3.221B,,0.691M,1.308B,870.22M,93.37M,,,-58.64M,2.027B,,AOR,Restated
2014-02,205.06M,,205.06M,524.01M,,536.18M,50.66M,59.79M,911.57M,,,,,255.14M,255.14M,,255.14M,3.064B,1.108B,4.171B,,,21.75M,4.448B,5.360B,,57.42M,0.00,57.42M,143.06M,200.48M,,210.32M,,210.32M,708.94M,708.94M,,1.178B,1.820B,,1.820B,348.81M,348.81M,29.20M,,,43.21M,2.241B,3.419B,,0.69M,1.253B,836.36M,89.96M,,,-59.22M,1.941B,,AOR,Restated
2013-11,258.37M,,258.37M,459.26M,,459.26M,70.82M,43.06M,880.84M,108.29M,,,344.69M,,452.97M,-207.41M,245.57M,3.065B,1.144B,4.210B,,,23.56M,4.479B,5.360B,,57.00M,9.961M,66.96M,134.48M,201.44M,,395.53M,,395.53M,560.01M,560.01M,,1.246B,1.779B,,1.779B,361.27M,361.27M,27.19M,,,38.69M,2.206B,3.453B,,0.679M,1.221B,788.67M,45.94M,,,-56.96M,1.907B,,AOR,Restated
2013-08,271.00M,,271.00M,395.58M,,410.25M,61.31M,42.42M,828.21M,,,,,233.29M,233.29M,,233.29M,3.047B,1.188B,4.236B,,,25.14M,4.494B,5.322B,,56.19M,,56.19M,110.12M,166.31M,,394.25M,,394.25M,561.14M,561.14M,,1.178B,1.913B,,1.913B,362.63M,362.63M,24.15M,,,41.88M,2.342B,3.520B,,0.676M,1.180B,736.89M,36.29M,,,-78.61M,1.802B,,AOR,Restated
2013-05,267.13M,,267.13M,350.09M,,354.74M,50.16M,34.24M,757.15M,,,,,187.47M,187.47M,,187.47M,2.059B,562.73M,2.621B,,,7.07M,2.816B,3.573B,,51.77M,,51.77M,99.56M,151.32M,,169.48M,,169.48M,599.64M,599.64M,,946.04M,839.54M,,839.54M,122.71M,122.71M,22.63M,,,29.16M,1.014B,1.960B,,0.676M,1.156B,680.72M,145.66M,,,-79.22M,1.613B,,AOR,Restated
2013-02,318.70M,,318.70M,412.97M,,428.43M,46.37M,29.98M,876.07M,,,,,173.87M,173.87M,,173.87M,1.969B,540.65M,2.510B,,,8.075M,2.692B,3.568B,,53.17M,,53.17M,92.59M,145.76M,,169.51M,,169.51M,628.41M,628.41M,,978.46M,882.72M,,882.72M,118.98M,118.98M,21.28M,,,27.60M,1.051B,2.029B,,0.676M,1.113B,655.30M,149.86M,,,-80.66M,1.539B,,AOR,Restated
2012-11,345.01M,,345.01M,372.12M,,392.58M,55.08M,24.14M,863.88M,98.00M,,,212.29M,,310.30M,-147.28M,163.01M,1.959B,554.55M,2.514B,,,8.54M,2.685B,3.549B,,52.08M,0.00,52.08M,88.94M,141.02M,,170.10M,,170.10M,515.32M,515.32M,,876.94M,890.92M,,890.92M,139.24M,139.24M,30.03M,,,27.73M,1.088B,1.965B,,0.676M,1.089B,681.41M,139.82M,,,-46.69M,1.584B,,AOR,Restated
2012-08,298.43M,,298.43M,289.55M,,309.48M,53.03M,27.92M,734.09M,,,,,,,,158.00M,1.960B,578.60M,2.538B,,,8.783M,2.714B,3.448B,,36.80M,,36.80M,86.24M,123.03M,,170.21M,,170.21M,516.19M,516.19M,,854.57M,837.50M,,837.50M,148.23M,148.23M,16.68M,,,22.55M,1.025B,1.880B,,0.676M,1.042B,671.38M,101.71M,,,-44.07M,1.569B,,AOR,Restated
2012-05,268.22M,,268.22M,289.06M,,311.32M,45.85M,31.20M,707.94M,,,,,,,,146.24M,1.801B,524.33M,2.326B,,,8.982M,2.491B,3.199B,,38.65M,,38.65M,82.91M,121.56M,,170.20M,,170.20M,544.39M,544.39M,,882.47M,673.86M,,673.86M,126.96M,126.96M,16.77M,,,19.01M,836.60M,1.719B,,0.676M,998.28M,650.92M,111.09M,,,-59.24M,1.480B,,AOR,Restated
2012-02,296.59M,,296.59M,354.26M,,395.45M,35.33M,27.93M,807.18M,,,,,,,,135.38M,1.731B,499.13M,2.230B,,,8.941M,2.386B,3.193B,,33.92M,0.00,33.92M,99.07M,132.98M,,142.94M,,142.94M,571.98M,571.98M,,879.58M,725.81M,,725.81M,122.88M,122.88M,16.12M,,,20.18M,884.99M,1.765B,,0.676M,954.09M,626.48M,112.13M,,,-40.42M,1.429B,,AOR,Restated
2011-11,234.68M,,234.68M,326.01M,4.30M,351.20M,45.25M,23.80M,698.08M,0.00,88.71M,,149.41M,,238.12M,-109.71M,128.42M,1.722B,514.95M,2.237B,,,9.28M,2.375B,3.073B,,32.43M,,32.43M,95.18M,127.61M,,144.56M,,144.56M,487.17M,487.17M,,816.86M,658.91M,,658.91M,123.90M,123.90M,68.66M,,,19.98M,871.45M,1.688B,,0.675M,930.62M,636.44M,133.80M,,,-49.20M,1.385B,,AOR,Restated
2011-08,202.87M,,202.87M,248.86M,,249.42M,47.07M,30.76M,570.86M,,,,,,,,125.50M,1.684B,592.94M,2.277B,,,7.147M,2.409B,2.980B,,30.54M,0.00,30.54M,72.94M,103.48M,,287.08M,,287.08M,473.80M,473.80M,,904.22M,523.80M,,523.80M,136.37M,136.37M,41.17M,,,20.76M,722.10M,1.626B,,0.674M,969.53M,613.84M,129.59M,,,-100.69M,1.354B,,AOR,Restated
2011-05,147.11M,,147.11M,244.24M,,250.90M,34.42M,28.56M,508.83M,,,,,,,,117.68M,1.291B,453.15M,1.744B,,,8.169M,1.870B,2.379B,,40.43M,0.00,40.43M,106.91M,147.34M,,17.12M,,17.12M,492.05M,492.05M,,656.51M,277.55M,,277.55M,87.34M,87.34M,39.23M,,,16.68M,420.81M,1.077B,,0.672M,929.94M,590.63M,123.80M,,,-95.90M,1.302B,,AOR,Restated
2011-02,251.68M,,251.68M,288.16M,,301.78M,23.30M,28.84M,655.22M,,,,,,,,102.23M,1.140B,377.00M,1.517B,,,7.88M,1.627B,2.282B,,41.22M,0.00,41.22M,96.57M,137.79M,,17.12M,,17.12M,479.70M,479.70M,,634.61M,281.30M,,281.30M,72.28M,72.28M,37.25M,,,18.92M,409.76M,1.044B,,0.671M,891.21M,570.36M,123.06M,,,-101.22M,1.238B,,AOR,Restated
2010-11,200.74M,,200.74M,256.55M,,256.55M,33.53M,20.47M,552.73M,0.00,76.94M,,128.29M,,205.23M,-112.04M,93.19M,1.121B,384.57M,1.505B,,,4.377M,1.603B,2.156B,,35.85M,4.35M,40.20M,126.88M,167.08M,,19.05M,,19.05M,392.13M,392.13M,,578.27M,275.10M,,275.10M,73.59M,73.59M,35.16M,,,17.51M,401.35M,979.62M,,0.662M,860.50M,541.11M,101.55M,,,-124.63M,1.176B,,AOR,Restated
2010-08,257.15M,,257.15M,189.46M,,189.46M,29.54M,19.75M,533.28M,,,,,,,,84.29M,926.97M,297.45M,1.224B,,,4.101M,1.313B,1.846B,,29.15M,1.896M,31.04M,91.73M,122.78M,,143.89M,,143.89M,351.74M,351.74M,,618.40M,0.095M,,0.095M,71.12M,71.12M,30.07M,,,17.03M,118.32M,736.73M,,0.661M,819.04M,523.45M,100.60M,,,-133.20M,1.109B,,AOR,Restated
2010-05,202.82M,,202.82M,178.39M,,182.75M,23.96M,19.78M,473.27M,,,,,,,,81.74M,914.78M,302.98M,1.218B,,,3.90M,1.303B,1.777B,,26.06M,0.00,26.06M,85.96M,112.03M,,123.80M,,123.80M,371.69M,371.69M,,607.52M,0.153M,,0.153M,71.81M,71.81M,29.49M,,,16.81M,118.26M,725.78M,,0.661M,784.48M,510.39M,97.57M,,,-147.08M,1.051B,,AOR,Restated
2010-02,149.44M,,149.44M,236.54M,,241.38M,20.99M,19.72M,476.03M,,,,,,,,76.14M,872.08M,296.73M,1.169B,,,4.341M,1.249B,1.725B,,29.06M,0.00,29.06M,81.54M,110.60M,,109.02M,,109.02M,377.10M,377.10M,,596.72M,0.117M,,0.117M,65.13M,65.13M,29.24M,,,17.01M,111.50M,708.22M,,0.658M,746.00M,494.11M,93.26M,,,-130.40M,1.017B,,AOR,Restated
2009-11,124.20M,,124.20M,203.50M,,203.50M,30.97M,14.28M,413.23M,0.00,76.11M,,97.44M,,173.55M,-98.75M,74.80M,875.74M,309.80M,1.186B,,,2.019M,1.262B,1.676B,,26.47M,1.72M,28.19M,109.25M,137.44M,,92.58M,,92.58M,319.16M,319.16M,,549.18M,0.141M,,0.141M,68.33M,68.33M,29.11M,,,15.15M,112.73M,661.91M,,0.648M,719.18M,472.79M,75.11M,,,-103.83M,1.014B,,AOR,Restated
2009-08,118.47M,,118.47M,167.19M,,167.19M,28.32M,15.88M,365.54M,,,,,,,,68.91M,828.38M,294.76M,1.123B,0.00,,3.082M,1.207B,1.572B,,20.00M,4.20M,24.20M,87.17M,111.37M,,77.27M,,77.27M,309.75M,309.75M,,498.40M,,,,76.50M,76.50M,13.64M,,,11.71M,101.85M,600.25M,,0.647M,677.98M,459.82M,74.15M,,,-92.34M,971.96M,,AOR,Restated
2009-05,172.35M,,172.35M,187.41M,,187.41M,26.80M,15.96M,445.77M,,,,,,,,63.82M,783.13M,281.06M,1.064B,0.00,,3.482M,1.142B,1.588B,,23.02M,2.946M,25.97M,95.74M,121.70M,,7.137M,,7.137M,333.67M,333.67M,,462.51M,108.00M,,108.00M,68.10M,68.10M,14.43M,,,13.24M,203.78M,666.28M,,0.646M,643.28M,446.83M,72.13M,,,-97.03M,921.59M,,AOR,Restated
2009-02,79.90M,,79.90M,222.31M,,222.31M,25.49M,16.90M,384.96M,,,,,,,,60.88M,748.88M,278.37M,1.027B,0.00,,3.499M,1.101B,1.486B,,31.27M,10.01M,41.28M,91.91M,133.20M,,6.226M,,6.226M,329.56M,329.56M,,468.98M,108.00M,,108.00M,57.35M,57.35M,15.03M,,,10.57M,190.95M,659.92M,,0.641M,611.32M,430.16M,70.41M,,,-145.53M,826.18M,,AOR,Restated
2008-11,31.04M,,31.04M,207.82M,,207.82M,28.80M,50.16M,317.82M,0.00,66.46M,,74.92M,,141.38M,-81.81M,59.58M,705.08M,285.90M,990.98M,,,67.81M,1.118B,1.436B,,35.08M,,35.08M,122.68M,157.77M,,96.02M,,96.02M,288.14M,288.14M,3.994M,545.93M,,,,65.75M,65.75M,,,,23.45M,89.20M,635.12M,,0.641M,584.22M,408.01M,64.63M,,,-127.18M,801.06M,,,
2008-08,87.48M,,87.48M,146.99M,,146.99M,23.33M,51.35M,309.16M,,,,,,124.54M,-68.69M,55.85M,597.10M,213.06M,810.16M,,,160.56M,1.027B,1.336B,,19.71M,,19.71M,79.79M,99.50M,,17.23M,,17.23M,263.96M,263.96M,2.541M,383.24M,,,,71.46M,71.46M,,0.279M,,25.46M,96.93M,480.16M,,0.64M,550.94M,423.00M,102.93M,,,-16.36M,855.28M,,,Restated
2008-05,105.37M,,105.37M,169.80M,,169.80M,21.44M,60.51M,357.12M,,,,,,126.70M,-68.69M,58.01M,616.20M,223.29M,839.49M,,,167.07M,1.065B,1.422B,,26.09M,,26.09M,81.00M,107.09M,,28.48M,,28.48M,288.35M,288.35M,7.902M,431.83M,,,,68.67M,68.67M,,0.252M,,27.51M,96.18M,528.00M,,0.638M,529.92M,411.91M,64.71M,,,15.68M,893.43M,,,Restated
2008-02,139.13M,,139.13M,192.99M,,192.99M,16.37M,57.76M,406.25M,,,,,,127.09M,-68.69M,58.40M,585.25M,205.59M,790.83M,,,93.02M,942.26M,1.349B,,32.45M,,32.45M,76.58M,109.03M,,,,,283.16M,283.16M,8.049M,400.24M,,,,58.06M,58.06M,,0.222M,,27.04M,85.10M,485.34M,,0.638M,506.66M,401.29M,62.89M,,,17.25M,862.94M,,,Restated
2007-11,148.48M,10.52M,159.00M,175.54M,,175.54M,17.68M,50.02M,402.25M,0.00,67.59M,,59.86M,,127.45M,-68.69M,58.76M,564.58M,206.36M,770.94M,,,91.86M,921.56M,1.324B,,37.55M,,37.55M,97.13M,134.68M,,3.062M,,3.062M,239.40M,239.40M,15.26M,392.40M,0.037M,,0.037M,60.46M,60.46M,,0.219M,,29.79M,90.28M,482.68M,,0.636M,483.80M,381.12M,46.04M,24.78M,-3.396M,21.39M,840.91M,,,
