,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2008-09,4.319B,4.319B,3.357B,962.00M,,90.00M,,23.00M,458.00M,156.00M,-302.00M,,90.00M,872.00M,156.00M,458.00M,-302.00M,23.00M,-302.00M,533.00M,168.00M,361.00M,-2.00M,,-214.00M,145.00M,131.25M,1.251B,260.00M,991.00M,0.22,0.0,,,0.1965,0.22,0.22,0.0,,,0.1967,0.22,669.00M,675.00M,0.0
2008-06,4.126B,4.126B,3.097B,1.029B,,99.00M,,863.00M,469.00M,133.00M,-336.00M,,99.00M,930.00M,133.00M,469.00M,-336.00M,863.00M,-336.00M,1.457B,318.00M,1.159B,1.00M,,-257.00M,903.00M,227.36M,2.182B,256.00M,1.926B,1.34,0.0,,,0.3361,1.34,1.31,0.0,,,0.3379,1.31,672.00M,694.00M,0.0
2008-03,4.081B,4.081B,3.039B,1.042B,,98.00M,,-1.00M,435.00M,116.00M,-319.00M,,98.00M,944.00M,116.00M,435.00M,-319.00M,-1.00M,-319.00M,624.00M,239.00M,407.00M,1.00M,,-175.00M,233.00M,232.62M,1.303B,244.00M,1.059B,0.35,0.0,,,0.3509,0.35,0.34,0.0,,,0.3409,0.34,671.00M,679.00M,0.0
2007-12,3.601B,3.601B,,,,118.00M,,-506.00M,,,,,-7.235B,712.00M,,,,-482.00M,,424.00M,73.00M,-4.00M,12.00M,,,8.00M,414.88M,1.256B,248.00M,1.008B,-0.01,0.02,,,0.6143,0.01,-0.01,0.02,,,0.6051,0.01,671.00M,681.00M,0.0
2007-09,3.484B,3.484B,,,,93.00M,,26.00M,,,,2.675B,2.768B,716.00M,,,,26.00M,,248.00M,156.00M,92.00M,12.00M,,-163.00M,104.00M,75.10M,953.00M,237.00M,716.00M,0.14,0.02,,,0.1146,0.16,0.14,0.01,,,0.115,0.15,666.00M,675.00M,0.0
2007-06,3.34B,3.34B,,,,89.00M,,270.00M,,,,2.436B,2.525B,815.00M,,,,270.00M,,561.00M,275.00M,286.00M,-32.00M,,-248.00M,254.00M,110.50M,815.00M,,815.00M,0.43,-0.05,,,0.1669,0.38,0.42,-0.05,,,0.1664,0.37,667.00M,692.00M,0.0
2007-03,3.091B,3.091B,,,,79.00M,,-18.00M,,,,2.242B,2.321B,770.00M,,,,-18.00M,,288.00M,175.00M,113.00M,-574.00M,,-141.00M,-461.00M,124.70M,770.00M,,770.00M,0.17,-0.86,,,0.1875,-0.69,0.17,-0.86,,,0.1873,-0.69,668.12M,677.94M,0.0
2006-12,2.894B,2.894B,,,,120.00M,,-334.00M,,,,,-5.897B,701.00M,,,,-316.00M,,485.00M,79.00M,19.00M,-132.00M,0.00,,-113.00M,298.60M,266.00M,,266.00M,0.02,0.06,0.0,,0.4377,0.08,0.02,0.06,-0.0004,,0.4264,0.08,669.32M,688.00M,0.0
2006-09,2.947B,2.947B,,,,67.00M,,-579.00M,,,,2.121B,2.188B,759.00M,,,,-579.00M,,-363.00M,5.00M,-368.00M,41.00M,,-185.00M,-327.00M,-20.60M,759.00M,,759.00M,-0.56,0.06,,,-0.0288,-0.5,-0.56,0.06,,,-0.0288,-0.5,654.00M,654.00M,0.0
2006-06,2.862B,2.862B,,,,58.00M,,6.00M,,,,2.015B,2.073B,789.00M,,,,6.00M,,281.00M,88.00M,193.00M,-39.00M,21.00M,-169.00M,175.00M,188.88M,789.00M,,789.00M,0.3,-0.06,0.0,,0.2936,0.27,0.29,-0.06,0.0312,,0.2839,0.26,648.15M,673.08M,0.0
2006-03,2.817B,2.817B,,,,57.00M,,41.00M,,,,1.90B,1.957B,860.00M,,,,41.00M,,516.00M,186.00M,330.00M,18.00M,,-81.00M,348.00M,303.78M,860.00M,,860.00M,0.5,0.03,,,0.4601,0.53,0.49,0.03,,,0.4508,0.52,656.60M,669.23M,0.0
2005-12,2.196B,2.196B,,,,78.00M,,-21.00M,,,,,-5.727B,546.00M,,,,-164.00M,,334.00M,73.00M,-58.00M,158.00M,,,96.00M,-45.59M,882.00M,,882.00M,-0.09,0.25,,,-0.0646,0.15,-0.09,0.24,,,-0.0652,0.15,646.43M,661.47M,0.0
2005-09,2.759B,2.759B,,,,49.00M,,-12.00M,,,,1.862B,1.911B,848.00M,,,,-12.00M,,387.00M,173.00M,214.00M,30.00M,,-97.00M,244.00M,221.20M,848.00M,,848.00M,0.33,0.05,,,0.3412,0.38,0.32,0.05,,,0.3309,0.37,642.11M,659.46M,0.0
2005-06,2.649B,2.649B,,,,45.00M,,87.00M,,,,2.123B,2.168B,481.00M,,,,87.00M,,167.00M,80.00M,87.00M,-2.00M,,-19.00M,85.00M,34.80M,481.00M,,481.00M,0.13,0.0,,,0.0502,0.13,0.13,0.0,,,0.0502,0.13,653.85M,653.85M,0.0
2005-03,2.663B,2.663B,,,,49.00M,,-21.00M,,,,1.839B,1.888B,775.00M,,,,-21.00M,,271.00M,147.00M,124.00M,,,-106.00M,124.00M,136.60M,775.00M,,775.00M,0.19,0.0,,,0.2093,0.19,0.19,0.0,,,0.2093,0.19,652.63M,652.63M,0.0
2004-12,2.452B,2.452B,,,,51.00M,,-36.00M,,,,1.74B,1.791B,661.00M,,,,-36.00M,,197.00M,160.00M,37.00M,80.00M,,-49.00M,117.00M,58.60M,661.00M,,661.00M,0.06,0.2,,,0.0927,0.18,0.06,0.2,,,0.0927,0.18,660.09M,660.09M,0.0
2004-09,2.422B,2.422B,,,,40.00M,,-15.00M,,,,1.69B,1.73B,692.00M,,,,-15.00M,,214.00M,128.00M,86.00M,7.00M,,-37.00M,93.00M,95.00M,692.00M,,692.00M,0.13,0.02,,,0.1435,0.14,0.13,0.0,,,0.1435,0.14,664.29M,664.29M,0.0
2004-06,2.262B,2.262B,,,,42.00M,,-23.00M,,,,1.606B,1.648B,614.00M,,,,-23.00M,,120.00M,17.00M,103.00M,-29.00M,,-71.00M,74.00M,122.74M,614.00M,,614.00M,0.16,-0.09,,,0.192,0.12,0.11,-0.09,,,0.1393,0.11,616.67M,672.73M,0.0
