,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,NormalizedDilutedEPS,EPSDiluted,,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2001-06,94.92M,94.92M,68.07M,26.85M,,,15.88M,2.776M,0.11M,,,,,18.65M,8.196M,,,,0.11M,,24.26M,8.734M,15.53M,,15.53M,6.22M,8.196M,,2001-06,0.18,0.1792,0.18,,2001-06,0.17,0.1692,0.17,,92.65M,0.03,,2001-06,,
2001-03,92.81M,92.81M,47.37M,45.44M,,,13.44M,2.883M,0.303M,,,,-5.756M,16.33M,29.11M,,,,0.303M,,23.97M,8.628M,15.34M,,15.34M,5.756M,29.11M,,2001-03,0.17,0.1678,0.17,,2001-03,0.17,0.1679,0.17,,91.97M,0.03,,2001-03,,
2000-12,80.73M,80.73M,40.62M,40.11M,,,12.11M,2.828M,0.103M,,,,,20.28M,19.83M,,,,0.103M,,20.12M,7.245M,12.88M,,12.88M,5.343M,19.83M,,2000-12,0.15,0.1492,0.15,,2000-12,0.14,0.1393,0.14,,91.67M,0.025,,2000-12,,
2000-09,77.01M,77.01M,37.81M,39.20M,,,13.56M,2.383M,0.201M,,,,,20.51M,18.69M,,,,0.201M,,18.57M,6.685M,11.88M,,11.88M,4.569M,18.69M,,2000-09,0.14,0.1385,0.14,,2000-09,0.135,0.1336,0.135,,89.09M,0.025,,2000-09,,
2000-06,69.37M,69.37M,31.59M,37.78M,,,12.88M,2.242M,0.173M,,,,,19.93M,17.85M,,,,0.173M,,17.38M,5.947M,11.43M,0.00,11.43M,4.811M,17.85M,,2000-06,0.1353,0.1338,0.1413,,2000-06,0.13,0.1287,0.13,,86.12M,0.025,,2000-06,,
2000-03,58.42M,58.42M,27.54M,30.88M,,,9.359M,2.242M,0.179M,,,,,15.33M,15.56M,,,,0.179M,,15.39M,5.214M,10.18M,,10.18M,3.735M,15.56M,,2000-03,0.12,0.1186,0.12,,2000-03,0.12,0.1186,0.12,,85.70M,0.025,,2000-03,,
1999-12,54.10M,54.10M,32.20M,21.90M,,,9.676M,1.879M,0.131M,,,,,15.46M,6.446M,,,,0.131M,,6.26M,2.059M,4.201M,,4.201M,3.943M,6.446M,,1999-12,0.05,0.0490,0.05,,1999-12,0.05,0.0490,0.05,,84.02M,0.02,,1999-12,,
1999-09,43.43M,43.43M,20.44M,22.99M,,,7.172M,1.659M,1.321M,,,,,11.82M,11.18M,,,,1.321M,,12.73M,4.195M,8.539M,-0.332M,8.207M,2.984M,11.18M,,1999-09,0.10,0.0891,0.09,,1999-09,0.10,0.0895,0.09,,84.03M,0.02,,1999-09,,
1999-06,52.83M,52.83M,28.95M,23.87M,,,7.875M,1.425M,0.024M,,,,,10.99M,12.88M,,,,0.024M,,13.04M,4.466M,8.569M,0.00,8.569M,1.694M,12.88M,,1999-06,0.095,0.0948,0.095,,1999-06,0.095,0.0948,0.095,,87.66M,0.02,,1999-06,,
1999-03,43.99M,43.99M,21.52M,22.47M,,,6.778M,1.248M,0.161M,,,,,10.32M,12.15M,,,,0.161M,,12.75M,4.479M,8.267M,-0.531M,7.736M,2.307M,12.15M,,1999-03,0.11,0.1087,0.10,,1999-03,0.10,0.0988,0.09,,84.76M,0.02,,1999-03,,
1998-12,47.60M,47.60M,22.90M,24.70M,,,9.50M,1.20M,0.10M,,,,,13.70M,11.00M,,,,0.10M,,11.60M,4.50M,7.10M,-0.20M,6.90M,2.10M,11.00M,,1998-12,0.09,0.0893,0.08,,1998-12,0.09,0.0893,0.08,,86.25M,0.0163,,1998-12,,
1998-09,49.10M,49.10M,25.10M,24.00M,,,7.20M,1.30M,,,,,,10.30M,13.70M,,,,,,14.30M,5.50M,8.80M,,8.80M,1.80M,13.70M,,1998-09,0.11,0.11,0.11,,1998-09,0.11,0.11,0.11,,80.00M,0.0163,,1998-09,,
1998-06,52.04M,52.04M,29.05M,22.99M,,,8.399M,0.463M,-0.952M,,,,,10.62M,12.36M,,,,-0.952M,,12.80M,4.692M,8.105M,-0.268M,7.837M,1.762M,12.36M,,1998-06,0.095,0.1027,0.0975,,1998-06,0.09,0.0974,0.0925,,81.42M,0.0163,,1998-06,,
