,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2011-09,19.00M,2.00M,,2.00M,15.00M,15.00M,-25.00M,,3.00M,3.00M,38.00M,,,5.00M,17.00M,18.00M,119.00M,144.00M,-8.00M,-8.00M,-94.00M,12.00M,-97.00M,55.00M,,55.00M,,-30.00M,-30.00M,,-64.00M,-1.00M,-12.00M,-52.00M,313.00M,-5.00M,308.00M,,55.00M,,-30.00M,-2.00M,0.00
2011-06,-50.00M,-67.00M,,-67.00M,12.00M,12.00M,1.00M,,4.00M,4.00M,-223.00M,,,-1.00M,4.00M,-103.00M,34.00M,-53.00M,-2.00M,-2.00M,55.00M,10.00M,56.00M,,,,,,,,-63.00M,1.00M,-7.00M,-69.00M,379.00M,-66.00M,313.00M,,,,,54.00M,27.00M
2011-03,61.00M,-12.00M,,-12.00M,11.00M,11.00M,-10.00M,,3.00M,3.00M,-46.00M,,,-5.00M,-70.00M,23.00M,-10.00M,57.00M,-2.00M,-2.00M,-25.00M,6.00M,-30.00M,,,,,,,,-64.00M,0.00,31.00M,-33.00M,385.00M,-6.00M,379.00M,,,,,1.00M,0.00
2010-12,124.00M,-159.00M,140.00M,-19.00M,11.00M,11.00M,37.00M,,2.00M,2.00M,-2.00M,,,5.00M,9.00M,-45.00M,-56.00M,114.00M,-3.00M,-3.00M,-121.00M,-3.00M,-127.00M,0.00,,0.00,,0.00,0.00,,-63.00M,0.00,16.00M,-47.00M,445.00M,-60.00M,385.00M,,0.00,,0.00,54.00M,26.00M
2010-09,156.00M,-15.00M,-140.00M,-155.00M,13.00M,13.00M,6.00M,,3.00M,3.00M,9.00M,,,2.00M,-15.00M,59.00M,130.00M,164.00M,-3.00M,-3.00M,16.00M,0.00,13.00M,0.00,,0.00,,0.00,0.00,,-63.00M,,6.00M,-57.00M,325.00M,120.00M,445.00M,,0.00,,0.00,1.00M,0.00
2010-06,27.00M,23.00M,,23.00M,7.00M,7.00M,-16.00M,,3.00M,3.00M,3.00M,,,0.00,17.00M,-36.00M,90.00M,143.00M,-3.00M,-3.00M,-177.00M,4.00M,-176.00M,,,,,-10.00M,-10.00M,,-63.00M,0.00,29.00M,-44.00M,402.00M,-77.00M,325.00M,,,,-10.00M,45.00M,27.00M
2010-03,68.00M,-8.00M,,-8.00M,10.00M,10.00M,2.00M,,3.00M,3.00M,69.00M,,,-4.00M,-29.00M,-51.00M,22.00M,110.00M,-8.00M,-8.00M,-232.00M,1.00M,-239.00M,,,,,,,,-63.00M,,37.00M,-26.00M,557.00M,-155.00M,402.00M,,,,,67.00M,0.00
2009-12,245.00M,-246.00M,,-246.00M,17.00M,17.00M,37.00M,,2.00M,2.00M,83.00M,,51.00M,14.00M,18.00M,,95.00M,163.00M,-11.00M,-11.00M,-17.00M,-3.00M,-31.00M,,,,,0.00,0.00,,-63.00M,,40.00M,-23.00M,448.00M,109.00M,557.00M,,,,0.00,17.00M,27.00M
2009-09,170.00M,-110.00M,,-110.00M,7.00M,7.00M,15.00M,,3.00M,3.00M,52.00M,,85.00M,-1.00M,-4.00M,,110.00M,205.00M,-11.00M,-11.00M,16.00M,-4.00M,1.00M,,,,,0.00,0.00,,-62.00M,,50.00M,-12.00M,254.00M,194.00M,448.00M,,,,0.00,57.00M,28.00M
2009-06,-18.00M,18.00M,,18.00M,6.00M,6.00M,18.00M,,2.00M,2.00M,15.00M,,-84.00M,1.00M,14.00M,,80.00M,117.00M,-12.00M,-12.00M,-312.00M,-3.00M,-327.00M,,,,,0.00,0.00,,-61.00M,,10.00M,-51.00M,515.00M,-261.00M,254.00M,,,,0.00,,
2009-03,35.00M,2.00M,,2.00M,8.00M,8.00M,1.00M,,3.00M,3.00M,-2.00M,,-52.00M,-4.00M,-23.00M,,-18.00M,40.00M,-8.00M,-8.00M,-447.00M,-3.00M,-458.00M,,,,,,,,-63.00M,,-13.00M,-76.00M,1.009B,-494.00M,515.00M,,,,,,
2008-12,161.00M,28.00M,,-110.00M,5.00M,5.00M,-33.00M,,6.00M,6.00M,131.00M,,-87.00M,1.00M,5.00M,,-33.00M,2.00M,-8.00M,-8.00M,761.00M,-1.00M,752.00M,-20.00M,,-20.00M,,0.00,0.00,,-64.00M,0.00,-8.00M,-92.00M,347.00M,662.00M,1.009B,,,,0.00,,
2008-09,247.00M,-272.00M,,-272.00M,8.00M,8.00M,-31.00M,,3.00M,3.00M,-22.00M,,136.00M,4.00M,21.00M,,183.00M,148.00M,-8.00M,-8.00M,482.00M,-1.00M,473.00M,-529.00M,,-529.00M,,0.00,0.00,,-63.00M,1.00M,-16.00M,-607.00M,333.00M,14.00M,347.00M,,,,0.00,,
2008-06,63.00M,12.00M,,12.00M,11.00M,11.00M,17.00M,,2.00M,2.00M,-57.00M,,-69.00M,-3.00M,11.00M,,42.00M,156.00M,-9.00M,-9.00M,176.00M,-4.00M,163.00M,-105.00M,,-105.00M,,-42.00M,-42.00M,,-64.00M,1.00M,-13.00M,-223.00M,237.00M,96.00M,333.00M,,,,-42.00M,,
2008-03,-42.00M,232.00M,,232.00M,8.00M,8.00M,-80.00M,,4.00M,4.00M,-9.00M,,20.00M,3.00M,-62.00M,,47.00M,178.00M,-11.00M,-11.00M,124.00M,8.00M,121.00M,-126.00M,,-126.00M,,-97.00M,-97.00M,,-59.00M,2.00M,-8.00M,-288.00M,226.00M,11.00M,237.00M,,,,-97.00M,,
2007-12,186.00M,-12.00M,,-12.00M,10.00M,10.00M,7.00M,,3.00M,3.00M,44.00M,,-21.00M,2.00M,36.00M,,-20.00M,185.00M,-19.00M,-19.00M,122.00M,2.00M,105.00M,-8.00M,,-8.00M,,-163.00M,-163.00M,,-60.00M,5.00M,-21.00M,-247.00M,183.00M,43.00M,226.00M,,-788.00M,,-163.00M,,
2007-09,124.00M,-15.00M,,-15.00M,10.00M,10.00M,4.00M,,3.00M,3.00M,62.00M,,-89.00M,2.00M,9.00M,,50.00M,185.00M,-17.00M,-17.00M,235.00M,6.00M,224.00M,-188.00M,,-188.00M,,-80.00M,-80.00M,,-61.00M,3.00M,-22.00M,-348.00M,122.00M,61.00M,183.00M,,788.00M,,-80.00M,,
2007-06,351.00M,-293.00M,,-293.00M,9.00M,9.00M,1.00M,,3.00M,3.00M,-68.00M,,17.00M,-3.00M,31.00M,,36.00M,117.00M,-17.00M,-17.00M,-78.00M,3.00M,-92.00M,-8.00M,,-8.00M,,-17.00M,-17.00M,,-61.00M,4.00M,-18.00M,-100.00M,197.00M,-75.00M,122.00M,,,,-17.00M,,
2007-03,194.00M,-62.00M,,-62.00M,7.00M,7.00M,0.00,,5.00M,5.00M,-88.00M,,71.00M,-5.00M,-12.00M,,68.00M,218.00M,-17.00M,-17.00M,-1.084B,2.00M,-1.099B,984.00M,,984.00M,,-47.00M,-47.00M,,-58.00M,7.00M,-10.00M,876.00M,202.00M,-5.00M,197.00M,,,,-47.00M,,
2006-12,130.00M,-13.00M,,-13.00M,12.00M,12.00M,1.00M,,3.00M,3.00M,56.00M,,-27.00M,14.00M,7.00M,,53.00M,195.00M,-15.00M,-15.00M,896.00M,-3.00M,878.00M,-1.016B,,-1.016B,,-25.00M,-25.00M,,-58.00M,6.00M,-17.00M,-1.11B,239.00M,-37.00M,202.00M,,-1.065B,,-25.00M,,
2006-09,116.00M,0.00,,0.00,10.00M,10.00M,9.00M,,3.00M,3.00M,16.00M,,-90.00M,14.00M,3.00M,,35.00M,181.00M,-9.00M,-9.00M,-1.076B,897.00M,-188.00M,118.00M,,118.00M,,-7.00M,-7.00M,,-58.00M,4.00M,-14.00M,43.00M,203.00M,36.00M,239.00M,,118.00M,,-7.00M,,
2006-06,132.00M,-11.00M,,-11.00M,8.00M,8.00M,-5.00M,,4.00M,4.00M,-49.00M,,-192.00M,-9.00M,-96.00M,,-243.00M,-108.00M,-10.00M,-10.00M,141.00M,-574.00M,-443.00M,617.00M,,617.00M,,-7.00M,-7.00M,,-59.00M,7.00M,-10.00M,548.00M,206.00M,-3.00M,203.00M,,947.00M,,-7.00M,,
2006-03,552.00M,-660.00M,,-660.00M,8.00M,8.00M,-10.00M,,7.00M,7.00M,-36.00M,,286.00M,-2.00M,81.00M,,443.00M,347.00M,-18.00M,-18.00M,-106.00M,-337.00M,-461.00M,330.00M,,330.00M,,-81.00M,-81.00M,,-53.00M,10.00M,-5.00M,201.00M,119.00M,87.00M,206.00M,,,,-81.00M,,
2005-12,183.00M,-23.00M,,-23.00M,11.00M,11.00M,16.00M,,0.00,0.00,77.00M,,39.00M,16.00M,3.00M,,46.00M,240.00M,-10.00M,-10.00M,-131.00M,-8.00M,-149.00M,0.00,,0.00,,-18.00M,-18.00M,,-53.00M,4.00M,-3.00M,-70.00M,98.00M,21.00M,119.00M,,0.00,,-18.00M,,
2005-09,117.00M,-16.00M,,-16.00M,8.00M,8.00M,16.00M,,0.00,0.00,0.00,,-33.00M,-7.00M,23.00M,,101.00M,233.00M,-11.00M,-11.00M,-244.00M,-7.00M,-262.00M,0.00,,0.00,,-6.00M,-6.00M,,-53.00M,2.00M,12.00M,-45.00M,172.00M,-74.00M,98.00M,,0.00,,-6.00M,,
2005-06,158.00M,-13.00M,,-13.00M,7.00M,7.00M,0.00,,0.00,0.00,-13.00M,,-45.00M,2.00M,25.00M,,23.00M,182.00M,-13.00M,-13.00M,-36.00M,-4.00M,-53.00M,0.00,,0.00,,-34.00M,-34.00M,,-52.00M,3.00M,9.00M,-74.00M,117.00M,55.00M,172.00M,,0.00,,-34.00M,,
2005-03,144.00M,-9.00M,,-9.00M,7.00M,7.00M,1.00M,,0.00,0.00,-62.00M,,32.00M,-6.00M,-68.00M,,0.00,150.00M,-10.00M,-10.00M,-296.00M,-1.00M,-307.00M,,,0.00,,-3.00M,-3.00M,,-46.00M,2.00M,15.00M,-32.00M,306.00M,-189.00M,117.00M,,,,-3.00M,,
2004-12,192.00M,,,,5.00M,5.00M,63.00M,,,227.00M,98.00M,23.00M,-222.00M,29.00M,-599.00M,,-373.00M,47.00M,-6.00M,-6.00M,-288.00M,,-300.00M,313.00M,-19.00M,294.00M,-21.00M,-40.00M,-61.00M,,-45.00M,,57.00M,248.00M,311.00M,-5.00M,306.00M,-21.00M,131.00M,163.00M,-40.00M,,
2004-09,91.00M,,,,16.00M,16.00M,18.00M,,,-98.00M,-85.00M,-8.00M,52.00M,-6.00M,364.00M,,317.00M,344.00M,-22.00M,-22.00M,-209.00M,,-231.00M,-34.00M,6.00M,-28.00M,11.00M,-11.00M,0.00,,-48.00M,,-11.00M,-87.00M,285.00M,26.00M,311.00M,11.00M,111.00M,-139.00M,-11.00M,,
2004-06,155.00M,,,,-1.00M,-1.00M,-43.00M,,,-261.00M,-40.00M,-5.00M,45.00M,-36.00M,318.00M,,282.00M,132.00M,-1.00M,-1.00M,114.00M,,113.00M,-94.00M,14.00M,-80.00M,9.00M,-8.00M,1.00M,,-44.00M,,1.00M,-122.00M,162.00M,123.00M,285.00M,9.00M,-68.00M,-12.00M,-8.00M,,
2004-03,146.00M,,,,8.00M,8.00M,7.00M,,,132.00M,-91.00M,-10.00M,108.00M,,,,7.00M,300.00M,-4.00M,-4.00M,-179.00M,,-183.00M,3.00M,-1.00M,2.00M,1.00M,,1.00M,,-40.00M,,-9.00M,-46.00M,91.00M,71.00M,162.00M,1.00M,14.00M,-12.00M,,,
2003-12,129.00M,-3.00M,,-3.00M,10.00M,10.00M,-72.00M,,,,19.00M,,73.00M,62.00M,-81.00M,,74.00M,120.00M,-24.00M,-24.00M,-185.00M,10.00M,-199.00M,0.00,,0.00,,-6.00M,-6.00M,,-40.00M,2.00M,-6.00M,-50.00M,220.00M,-129.00M,91.00M,,0.00,0.00,-6.00M,,
