,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,NetPP&E,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,CurrentTaxPayable,TotalPayables,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,SecuritySoldNotYetRepurchased,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2017-06,606.00M,,606.00M,2.313B,54.00M,2.367B,48.00M,3.021B,184.00M,,16.39B,,16.75B,21.24B,,,,17.00M,,17.00M,17.00M,17.00M,826.00M,,826.00M,1.021B,1.021B,,5.281B,2.461B,9.589B,13.86B,397.00M,5.174B,1.249B,1.372B,1.925B,7.373B
2017-03,543.00M,,543.00M,2.255B,50.00M,2.305B,52.00M,2.90B,181.00M,,16.07B,,16.42B,20.75B,,,,17.00M,,17.00M,17.00M,17.00M,825.00M,,825.00M,946.00M,946.00M,,5.177B,2.377B,9.325B,13.50B,397.00M,5.156B,1.243B,1.32B,1.78B,7.256B
2016-12,777.00M,,777.00M,2.212B,51.00M,2.263B,62.00M,3.102B,183.00M,,15.50B,,15.88B,20.39B,,,,20.00M,,20.00M,20.00M,20.00M,787.00M,39.00M,826.00M,865.00M,865.00M,,5.085B,2.307B,9.083B,13.33B,397.00M,5.037B,1.252B,1.319B,1.693B,7.06B
2016-09,700.00M,,700.00M,2.191B,53.00M,2.244B,68.00M,3.012B,184.00M,,15.64B,,16.03B,20.46B,,,,20.00M,,20.00M,20.00M,20.00M,827.00M,,827.00M,879.00M,879.00M,,4.991B,2.388B,9.085B,13.33B,397.00M,5.016B,1.244B,1.288B,1.752B,7.121B
2016-06,547.00M,,547.00M,2.212B,58.00M,2.27B,73.00M,2.89B,186.00M,,15.46B,,15.84B,20.15B,,,,28.00M,,28.00M,28.00M,28.00M,825.00M,,825.00M,844.00M,844.00M,,4.97B,2.349B,8.988B,13.18B,397.00M,4.915B,1.237B,1.292B,1.714B,6.971B
2016-03,613.00M,,613.00M,2.121B,60.00M,2.181B,50.00M,2.844B,188.00M,,14.89B,,15.21B,19.45B,,,,35.00M,,35.00M,35.00M,35.00M,825.00M,,825.00M,751.00M,751.00M,,4.804B,2.248B,8.628B,12.71B,397.00M,4.871B,1.23B,1.294B,1.531B,6.735B
2015-12,544.00M,,544.00M,2.102B,62.00M,2.164B,54.00M,2.762B,185.00M,,14.42B,,14.76B,18.89B,,,,35.00M,,35.00M,35.00M,35.00M,786.00M,35.00M,821.00M,638.00M,638.00M,,4.718B,2.201B,8.378B,12.46B,397.00M,4.762B,1.232B,1.308B,1.344B,6.427B
2015-09,419.00M,75.00M,494.00M,2.165B,65.00M,2.23B,29.00M,2.753B,188.00M,,14.43B,,14.69B,18.75B,,,,35.00M,,35.00M,35.00M,35.00M,826.00M,,826.00M,596.00M,596.00M,,4.70B,2.215B,8.337B,12.40B,397.00M,4.756B,1.223B,1.306B,1.28B,6.35B
2015-06,487.00M,75.00M,562.00M,2.166B,68.00M,2.234B,28.00M,2.824B,187.00M,,14.55B,,14.80B,18.89B,,,,49.00M,,49.00M,49.00M,49.00M,823.00M,,823.00M,717.00M,717.00M,,4.691B,2.191B,8.422B,12.39B,397.00M,4.658B,1.216B,1.288B,1.514B,6.497B
2015-03,640.00M,25.00M,665.00M,2.095B,70.00M,2.165B,29.00M,2.859B,189.00M,,14.48B,,14.73B,18.90B,,,,49.00M,,49.00M,49.00M,49.00M,825.00M,,825.00M,824.00M,824.00M,,4.623B,2.109B,8.381B,12.29B,397.00M,4.557B,1.21B,1.272B,1.716B,6.608B
2014-12,591.00M,,591.00M,2.073B,75.00M,2.148B,29.00M,2.768B,194.00M,,14.39B,,14.65B,18.75B,,,,49.00M,,49.00M,49.00M,49.00M,786.00M,36.00M,822.00M,840.00M,840.00M,,4.485B,2.082B,8.229B,12.18B,397.00M,4.505B,1.214B,1.287B,1.744B,6.573B
2014-09,412.00M,,412.00M,2.115B,77.00M,2.192B,28.00M,2.632B,198.00M,,14.26B,,14.52B,18.47B,,,,49.00M,,49.00M,49.00M,49.00M,829.00M,,829.00M,777.00M,777.00M,,4.435B,2.128B,8.169B,12.10B,397.00M,4.409B,1.205B,1.293B,1.658B,6.376B
2014-06,462.00M,,462.00M,2.104B,80.00M,2.184B,26.00M,2.672B,203.00M,,14.06B,,14.36B,18.34B,,,,49.00M,,49.00M,49.00M,49.00M,831.00M,,831.00M,810.00M,810.00M,,4.444B,2.11B,8.195B,11.99B,397.00M,4.299B,1.198B,1.283B,1.732B,6.343B
2014-03,521.00M,,521.00M,2.058B,83.00M,2.141B,27.00M,2.689B,207.00M,,13.68B,,13.96B,17.94B,,,,104.00M,,104.00M,104.00M,104.00M,834.00M,,834.00M,721.00M,721.00M,,4.375B,2.035B,7.965B,11.77B,397.00M,4.287B,1.191B,1.285B,1.578B,6.168B
2013-12,433.00M,,433.00M,2.014B,85.00M,2.099B,26.00M,2.558B,210.00M,,13.56B,,13.85B,17.66B,,,,104.00M,,104.00M,104.00M,104.00M,790.00M,45.00M,835.00M,673.00M,673.00M,,4.311B,1.976B,7.795B,11.59B,397.00M,4.268B,1.191B,1.29B,1.504B,6.07B
2013-09,511.00M,,511.00M,2.092B,79.00M,2.171B,26.00M,2.708B,211.00M,,13.09B,,13.36B,17.34B,,,,104.00M,,104.00M,104.00M,104.00M,832.00M,,832.00M,542.00M,542.00M,,4.307B,2.026B,7.707B,11.52B,396.00M,4.214B,1.177B,1.238B,1.267B,5.816B
2013-06,382.00M,,382.00M,2.048B,79.00M,2.127B,26.00M,2.535B,213.00M,,12.93B,,13.24B,17.03B,,,,104.00M,,104.00M,104.00M,104.00M,833.00M,,833.00M,512.00M,512.00M,,4.284B,1.947B,7.576B,11.34B,396.00M,4.152B,1.162B,1.232B,1.221B,5.699B
2013-03,380.00M,,380.00M,2.028B,76.00M,2.104B,26.00M,2.51B,216.00M,,13.04B,,13.31B,17.04B,,,,104.00M,,104.00M,104.00M,104.00M,831.00M,,831.00M,588.00M,588.00M,,4.24B,1.875B,7.534B,11.25B,395.00M,4.109B,1.146B,1.227B,1.362B,5.785B
2012-12,487.00M,,487.00M,1.944B,75.00M,2.019B,26.00M,2.532B,217.00M,,12.53B,,12.81B,16.55B,,,,104.00M,,104.00M,104.00M,104.00M,827.00M,,827.00M,453.00M,453.00M,,4.23B,1.792B,7.302B,11.10B,394.00M,4.021B,1.134B,1.225B,1.129B,5.453B
2012-09,416.00M,,416.00M,1.247B,76.00M,1.323B,26.00M,1.765B,223.00M,,12.46B,,12.74B,16.48B,,,,104.00M,,104.00M,104.00M,104.00M,828.00M,,828.00M,453.00M,453.00M,,4.344B,1.818B,7.443B,11.12B,394.00M,3.896B,1.119B,1.221B,1.171B,5.359B
2012-06,263.00M,,263.00M,1.21B,78.00M,1.288B,24.00M,1.575B,229.00M,,12.16B,,12.57B,16.09B,,,,104.00M,,104.00M,104.00M,104.00M,831.00M,,831.00M,359.00M,359.00M,,4.396B,1.762B,7.348B,10.94B,393.00M,3.851B,1.106B,1.216B,1.01B,5.144B
2012-03,424.00M,,424.00M,1.126B,76.00M,1.202B,24.00M,1.65B,235.00M,,12.09B,,12.42B,16.02B,,,,104.00M,,104.00M,104.00M,104.00M,833.00M,,833.00M,388.00M,388.00M,,4.347B,1.68B,7.248B,10.82B,393.00M,3.884B,1.10B,1.217B,1.047B,5.207B
2011-12,438.00M,,438.00M,1.828B,76.00M,1.904B,24.00M,2.366B,227.00M,,11.80B,,12.12B,15.64B,,,,104.00M,,104.00M,104.00M,104.00M,821.00M,,821.00M,303.00M,303.00M,,4.339B,1.633B,7.096B,10.60B,393.00M,3.863B,1.096B,1.22B,901.00M,5.033B
2011-09,308.00M,,308.00M,1.107B,192.00M,1.299B,15.00M,1.622B,228.00M,,11.46B,,11.83B,15.41B,,,,104.00M,,104.00M,104.00M,104.00M,790.00M,,790.00M,191.00M,191.00M,,4.521B,1.657B,7.159B,10.63B,393.00M,3.816B,1.098B,1.224B,703.00M,4.786B
2011-06,313.00M,,313.00M,1.106B,195.00M,1.301B,15.00M,1.629B,234.00M,,11.69B,,12.08B,15.70B,,,,49.00M,,49.00M,49.00M,49.00M,790.00M,,790.00M,324.00M,324.00M,,4.535B,1.63B,7.279B,10.64B,393.00M,3.862B,1.094B,1.195B,903.00M,5.057B
2011-03,379.00M,,379.00M,1.062B,193.00M,1.255B,16.00M,1.65B,243.00M,,11.64B,,11.94B,15.37B,,,,49.00M,,49.00M,49.00M,49.00M,790.00M,,790.00M,296.00M,296.00M,,4.239B,1.586B,6.911B,10.25B,393.00M,3.977B,1.09B,1.197B,855.00M,5.118B
2010-12,385.00M,,385.00M,1.015B,73.00M,1.088B,18.00M,1.491B,229.00M,,11.42B,,11.72B,15.10B,,,,49.00M,,49.00M,49.00M,49.00M,807.00M,,807.00M,260.00M,260.00M,,4.20B,1.553B,6.82B,10.06B,393.00M,3.98B,1.091B,1.201B,769.00M,5.032B
2010-09,445.00M,0.00,445.00M,1.035B,71.00M,1.106B,17.00M,1.568B,236.00M,,11.22B,,11.64B,15.07B,,,,49.00M,,49.00M,49.00M,49.00M,790.00M,,790.00M,247.00M,247.00M,,4.225B,1.573B,6.835B,10.06B,393.00M,3.919B,1.087B,1.203B,814.00M,5.01B
2010-06,325.00M,0.00,325.00M,1.055B,72.00M,1.127B,16.00M,1.468B,243.00M,,10.95B,,11.28B,14.61B,,,,49.00M,,49.00M,49.00M,49.00M,790.00M,,790.00M,145.00M,145.00M,,4.184B,1.572B,6.691B,9.87B,393.00M,3.828B,1.084B,1.204B,636.00M,4.737B
2010-03,402.00M,0.00,402.00M,1.031B,75.00M,1.106B,16.00M,1.524B,249.00M,,10.92B,,11.22B,14.62B,,,,49.00M,,49.00M,49.00M,49.00M,790.00M,,790.00M,206.00M,206.00M,,4.119B,1.549B,6.664B,9.751B,393.00M,3.865B,1.081B,1.196B,722.00M,4.865B
2009-12,557.00M,6.00M,563.00M,995.00M,75.00M,1.07B,15.00M,1.648B,251.00M,,10.56B,,10.86B,14.44B,,,,49.00M,,49.00M,49.00M,49.00M,790.00M,,790.00M,152.00M,152.00M,,4.142B,1.509B,6.593B,9.68B,393.00M,3.862B,1.081B,1.20B,624.00M,4.76B
2009-09,448.00M,12.00M,460.00M,1.046B,74.00M,1.12B,14.00M,1.594B,258.00M,,10.35B,0.00,10.68B,14.23B,,,,49.00M,,49.00M,49.00M,49.00M,790.00M,,790.00M,142.00M,142.00M,,4.195B,1.557B,6.684B,9.60B,393.00M,3.681B,1.078B,1.201B,675.00M,4.626B
2009-06,254.00M,12.00M,266.00M,1.075B,74.00M,1.149B,14.00M,1.429B,249.00M,,9.631B,73.00M,10.06B,13.52B,,,,49.00M,,49.00M,49.00M,49.00M,790.00M,,790.00M,,,,4.233B,1.565B,6.588B,9.378B,393.00M,3.575B,1.075B,1.203B,304.00M,4.144B
2009-03,515.00M,13.00M,528.00M,1.085B,71.00M,1.156B,15.00M,1.699B,236.00M,,8.794B,275.00M,9.168B,13.11B,,,,49.00M,,49.00M,49.00M,49.00M,790.00M,,790.00M,,,,4.093B,1.582B,6.465B,9.227B,393.00M,3.551B,1.072B,1.204B,69.00M,3.881B
2008-12,1.009B,84.00M,1.093B,1.059B,71.00M,1.13B,15.00M,2.238B,236.00M,,8.807B,126.00M,9.092B,13.37B,,,,49.00M,,49.00M,49.00M,49.00M,791.00M,,791.00M,,,,4.086B,1.544B,6.421B,9.187B,393.00M,3.579B,1.069B,1.206B,347.00M,4.182B
2008-09,347.00M,212.00M,559.00M,1.103B,74.00M,1.177B,13.00M,1.749B,235.00M,,10.08B,,10.69B,14.30B,,,,69.00M,,69.00M,69.00M,69.00M,791.00M,,791.00M,236.00M,236.00M,0.00,4.166B,1.583B,6.776B,9.616B,393.00M,3.482B,1.063B,1.207B,956.00M,4.687B
2008-06,333.00M,0.00,333.00M,1.15B,80.00M,1.23B,12.00M,1.575B,234.00M,,10.38B,,10.74B,14.81B,,,,69.00M,,69.00M,69.00M,69.00M,791.00M,,791.00M,380.00M,380.00M,529.00M,4.136B,1.609B,7.445B,10.10B,393.00M,3.298B,1.059B,1.206B,1.163B,4.707B
2008-03,237.00M,51.00M,288.00M,1.113B,84.00M,1.197B,13.00M,1.498B,242.00M,,11.64B,,11.94B,15.94B,,,,69.00M,,69.00M,69.00M,69.00M,791.00M,,791.00M,750.00M,750.00M,635.00M,4.019B,1.585B,7.78B,10.50B,393.00M,3.298B,1.055B,1.177B,1.88B,5.449B
2007-12,226.00M,101.00M,327.00M,1.107B,92.00M,1.199B,13.00M,1.539B,239.00M,,12.20B,0.00,12.51B,16.64B,,,,69.00M,,69.00M,69.00M,69.00M,791.00M,,791.00M,977.00M,977.00M,760.00M,3.967B,1.564B,8.059B,10.71B,393.00M,3.404B,1.049B,1.068B,2.151B,5.929B
2007-09,183.00M,37.00M,220.00M,1.161B,97.00M,1.258B,12.00M,1.49B,227.00M,,13.20B,,13.47B,17.62B,,,,69.00M,,69.00M,69.00M,69.00M,791.00M,,791.00M,1.287B,1.287B,768.00M,4.031B,1.619B,8.496B,11.08B,392.00M,3.277B,1.041B,907.00M,2.735B,6.538B
2007-06,122.00M,101.00M,223.00M,1.217B,100.00M,1.317B,12.00M,1.552B,212.00M,,13.64B,,13.90B,18.26B,,,,49.00M,,49.00M,49.00M,49.00M,791.00M,,791.00M,1.434B,1.434B,976.00M,3.953B,1.662B,8.816B,11.44B,392.00M,3.213B,1.035B,827.00M,3.013B,6.826B
2007-03,197.00M,19.00M,216.00M,1.173B,103.00M,1.276B,12.00M,1.504B,204.00M,,13.57B,,13.86B,18.22B,,,,49.00M,,49.00M,49.00M,49.00M,791.00M,,791.00M,1.531B,1.531B,984.00M,3.928B,1.64B,8.874B,11.51B,392.00M,2.923B,1.027B,827.00M,3.193B,6.708B
2006-12,202.00M,95.00M,297.00M,1.128B,108.00M,1.236B,13.00M,1.546B,193.00M,,13.70B,,13.95B,17.22B,,,,49.00M,,49.00M,49.00M,49.00M,791.00M,,791.00M,1.653B,1.653B,0.00,3.896B,1.579B,7.919B,10.41B,391.00M,2.786B,1.015B,763.00M,3.379B,6.808B
2006-09,239.00M,0.00,239.00M,1.166B,106.00M,1.272B,13.00M,1.524B,185.00M,,13.05B,,13.29B,17.67B,,,,49.00M,,49.00M,49.00M,49.00M,791.00M,,791.00M,1.497B,1.497B,1.016B,3.878B,1.623B,8.805B,11.21B,391.00M,2.714B,1.005B,739.00M,3.093B,6.464B
2006-06,203.00M,0.00,203.00M,1.192B,106.00M,1.298B,13.00M,1.514B,184.00M,,12.46B,,12.72B,16.94B,,,,49.00M,,49.00M,49.00M,49.00M,791.00M,,791.00M,1.303B,1.303B,898.00M,3.796B,1.634B,8.422B,10.87B,391.00M,2.656B,997.00M,732.00M,2.753B,6.065B
2006-03,206.00M,288.00M,494.00M,1.152B,106.00M,1.258B,12.00M,1.764B,183.00M,,12.92B,,13.18B,16.76B,,,,,,,,,791.00M,,791.00M,1.427B,1.427B,330.00M,3.728B,1.61B,7.886B,10.56B,390.00M,2.581B,986.00M,725.00M,2.972B,6.204B
2005-12,119.00M,75.00M,194.00M,1.116B,105.00M,1.221B,14.00M,1.429B,168.00M,,12.66B,,12.89B,16.00B,,,,0.00,,0.00,0.00,0.00,791.00M,,791.00M,1.622B,1.622B,,3.661B,1.559B,7.633B,9.917B,389.00M,2.088B,969.00M,644.00M,3.284B,6.086B
2005-09,98.00M,,98.00M,,,2.088B,14.00M,2.20B,167.00M,,12.55B,,12.87B,15.98B,,,,,,,,,791.00M,,791.00M,1.604B,1.604B,,5.043B,1.606B,9.044B,9.969B,389.00M,1.958B,965.00M,626.00M,3.329B,6.015B
2005-06,172.00M,,172.00M,,,2.084B,15.00M,2.271B,164.00M,,12.56B,,12.84B,16.02B,,,,,,,,,791.00M,,791.00M,1.684B,1.684B,,4.894B,1.61B,8.979B,9.892B,389.00M,1.894B,964.00M,620.00M,3.505B,6.132B
2005-03,117.00M,,117.00M,,,2.062B,15.00M,2.194B,158.00M,,12.43B,,12.71B,15.80B,,,,,,,,,791.00M,,791.00M,1.656B,1.656B,,4.838B,1.584B,8.869B,9.791B,389.00M,1.79B,961.00M,586.00M,3.453B,6.007B
2004-12,306.00M,71.00M,377.00M,,,2.001B,15.00M,2.393B,156.00M,,12.64B,,13.38B,16.11B,,,,,,,,,791.00M,,791.00M,1.834B,1.834B,,4.743B,1.539B,8.907B,9.858B,370.00M,2.057B,618.00M,583.00M,3.787B,6.249B
2004-09,311.00M,,311.00M,1.154B,96.00M,1.25B,14.00M,1.575B,157.00M,,12.20B,,12.48B,15.81B,,,,58.00M,,58.00M,58.00M,58.00M,420.00M,,420.00M,1.774B,1.774B,,3.681B,1.566B,7.441B,9.722B,370.00M,1.879B,652.00M,543.00M,3.726B,6.084B
2004-06,285.00M,,285.00M,1.149B,93.00M,1.242B,14.00M,1.541B,134.00M,,12.08B,,12.34B,15.53B,,,,92.00M,,92.00M,92.00M,92.00M,420.00M,,420.00M,1.857B,1.857B,,3.523B,1.546B,7.346B,9.427B,370.00M,1.836B,651.00M,532.00M,3.778B,6.103B
2004-03,162.00M,,162.00M,1.132B,87.00M,1.219B,14.00M,1.395B,132.00M,,12.47B,,12.71B,15.74B,,,,186.00M,,186.00M,186.00M,186.00M,420.00M,,420.00M,1.903B,1.903B,,3.459B,1.529B,7.311B,9.539B,352.00M,2.088B,307.00M,533.00M,3.985B,6.199B
2003-12,91.00M,,91.00M,1.06B,81.00M,1.141B,13.00M,1.245B,153.00M,,12.45B,,12.67B,15.51B,,,,183.00M,,183.00M,183.00M,183.00M,420.00M,,420.00M,1.949B,1.949B,,3.415B,1.446B,7.23B,9.305B,352.00M,1.986B,306.00M,524.00M,4.084B,6.204B
2003-09,220.00M,,220.00M,1.081B,37.00M,1.118B,16.00M,1.354B,121.00M,,11.70B,,11.98B,14.96B,,,,183.00M,,183.00M,183.00M,183.00M,420.00M,,420.00M,1.773B,1.773B,,3.416B,1.459B,7.068B,9.192B,352.00M,1.897B,304.00M,518.00M,3.731B,5.766B
2003-06,103.00M,,103.00M,1.062B,36.00M,1.098B,25.00M,1.226B,124.00M,,11.82B,,12.06B,14.93B,,,,183.00M,,183.00M,183.00M,183.00M,420.00M,,420.00M,1.859B,1.859B,,3.341B,1.422B,7.042B,9.06B,352.00M,1.833B,303.00M,515.00M,3.897B,5.87B
2003-03,128.00M,,128.00M,996.00M,34.00M,1.03B,39.00M,1.197B,125.00M,,10.62B,,10.87B,13.55B,,,,183.00M,,183.00M,183.00M,183.00M,420.00M,,420.00M,1.499B,1.499B,,3.223B,1.366B,6.508B,8.394B,352.00M,1.789B,302.00M,503.00M,3.219B,5.159B
2002-12,112.00M,,112.00M,956.00M,33.00M,989.00M,47.00M,1.148B,128.00M,,11.19B,,11.44B,14.12B,,,,183.00M,,183.00M,183.00M,183.00M,420.00M,,420.00M,1.737B,1.737B,,3.176B,1.319B,6.652B,8.524B,352.00M,1.772B,300.00M,469.00M,3.643B,5.598B
2002-09,171.00M,,171.00M,850.00M,33.00M,883.00M,,1.054B,131.00M,,10.97B,,11.25B,13.68B,1.711B,1.711B,1.711B,183.00M,,183.00M,183.00M,1.894B,420.00M,,420.00M,,,,3.068B,1.23B,4.718B,8.167B,352.00M,1.751B,296.00M,463.00M,3.581B,5.517B
2002-06,121.00M,,121.00M,828.00M,31.00M,859.00M,45.00M,1.025B,120.00M,,11.87B,,12.12B,14.53B,2.076B,2.076B,2.076B,183.00M,,183.00M,183.00M,2.259B,420.00M,,420.00M,,,,3.085B,1.188B,4.693B,8.363B,351.00M,1.716B,295.00M,438.00M,4.246B,6.17B
2002-03,81.00M,,81.00M,785.00M,30.00M,815.00M,38.00M,934.00M,123.00M,,12.23B,,12.45B,14.74B,2.217B,2.217B,2.217B,183.00M,,183.00M,183.00M,2.40B,424.00M,,424.00M,,,,2.976B,1.135B,4.535B,8.331B,351.00M,1.716B,290.00M,434.00M,4.488B,6.411B
2001-12,48.00M,,48.00M,732.00M,27.00M,759.00M,28.00M,835.00M,125.00M,,11.50B,,11.73B,13.91B,,,,183.00M,,183.00M,183.00M,183.00M,426.00M,,426.00M,2.001B,2.001B,,2.887B,1.062B,6.376B,7.916B,350.00M,1.678B,284.00M,427.00M,4.113B,5.998B
2001-09,137.22M,,137.22M,710.75M,28.77M,739.52M,18.83M,895.57M,129.26M,,11.37B,,11.61B,13.56B,2.010B,2.010B,2.010B,175.00M,,175.00M,175.00M,2.185B,432.49M,,432.49M,,,,2.625B,1.041B,4.099B,7.633B,348.99M,1.676B,277.40M,418.07M,4.042B,5.926B
2001-06,42.89M,,42.89M,704.16M,29.56M,733.71M,19.08M,795.69M,132.85M,,11.44B,,11.68B,13.56B,2.055B,2.055B,2.055B,175.00M,,175.00M,175.00M,2.230B,433.16M,,433.16M,,,,2.591B,1.017B,4.041B,7.545B,348.15M,1.674B,269.67M,397.55M,4.118B,6.012B
2001-03,67.28M,,67.28M,657.69M,29.81M,687.50M,19.22M,774.01M,121.11M,,10.62B,,10.84B,12.70B,,,,158.00M,,158.00M,158.00M,158.00M,449.09M,,449.09M,1.798B,1.798B,,2.532B,977.39M,5.756B,7.164B,345.92M,1.659B,255.13M,389.77M,3.661B,5.531B
2000-12,60.00M,,60.00M,652.00M,31.00M,683.00M,15.00M,758.00M,122.00M,,11.25B,,11.54B,13.29B,,,,170.00M,,170.00M,170.00M,170.00M,449.00M,,449.00M,2.058B,2.058B,,2.473B,922.00M,5.902B,7.292B,346.00M,1.62B,254.00M,381.00M,4.156B,5.995B
2000-09,23.87M,,23.87M,225.74M,30.51M,256.25M,26.26M,306.38M,120.65M,0.0,10.44B,,10.64B,11.79B,1.791B,1.791B,1.791B,158.00M,,158.00M,158.00M,1.949B,450.44M,,450.44M,,,,2.299B,512.71M,3.262B,6.285B,345.46M,1.692B,251.89M,376.40M,3.592B,5.504B
