,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2017-03,135.00M,-85.00M,,,-85.00M,,,332.00M,332.00M,-152.00M,,,26.00M,,12.00M,68.00M,-50.00M,144.00M,,,24.00M,186.00M,,454.00M,,-155.00M,,-44.00M,-111.00M,827.00M,-1.00M,671.00M,,-1.062B,-1.062B,,-17.00M,-17.00M,-95.00M,-95.00M,64.00M,-4.00M,-1.114B,,683.00M,11.00M,11.00M,705.00M,,,,1.381B,-2.443B,-17.00M,55.00M,59.00M,,AOR,Restated
2016-12,173.00M,0.00,,,-2.00M,,,277.00M,277.00M,-65.00M,,,36.00M,-6.00M,5.00M,-65.00M,24.00M,84.00M,,,122.00M,165.00M,,583.00M,,-170.00M,,-35.00M,-135.00M,0.00,1.00M,-169.00M,,-338.00M,-338.00M,,-13.00M,-13.00M,-86.00M,-86.00M,24.00M,-5.00M,-418.00M,,701.00M,-4.00M,-14.00M,683.00M,,,,1.982B,-2.32B,-13.00M,105.00M,133.00M,,AOR,Restated
2016-09,191.00M,0.00,,,2.00M,,,292.00M,292.00M,-43.00M,,,33.00M,-7.00M,5.00M,8.00M,22.00M,69.00M,,,-50.00M,49.00M,,522.00M,,-153.00M,,-40.00M,-113.00M,0.00,-1.00M,-154.00M,,-333.00M,-333.00M,,-1.00M,-1.00M,-84.00M,-84.00M,20.00M,-32.00M,-430.00M,,765.00M,-62.00M,-2.00M,701.00M,,,,3.036B,-3.369B,-1.00M,95.00M,35.00M,,AOR,Restated
2016-06,124.00M,0.00,,,-1.00M,,,291.00M,291.00M,-18.00M,,,38.00M,-11.00M,4.00M,97.00M,-3.00M,-31.00M,,,-55.00M,8.00M,,435.00M,,-148.00M,,-36.00M,-112.00M,0.00,-2.00M,-150.00M,,-181.00M,-181.00M,,-8.00M,-8.00M,-86.00M,-86.00M,42.00M,11.00M,-222.00M,,702.00M,63.00M,0.00,765.00M,,,,1.088B,-1.269B,-8.00M,93.00M,146.00M,,AOR,Restated
2016-03,59.00M,0.00,,,-1.00M,,,293.00M,293.00M,-64.00M,,,30.00M,-8.00M,5.00M,21.00M,-51.00M,-27.00M,,,128.00M,71.00M,,385.00M,,-145.00M,,-34.00M,-111.00M,0.00,-1.00M,-146.00M,,-152.00M,-152.00M,,-18.00M,-18.00M,-85.00M,-85.00M,26.00M,-10.00M,-239.00M,,682.00M,,20.00M,702.00M,,,,1.639B,-1.791B,-18.00M,48.00M,37.00M,,AOR,Restated
2015-12,111.00M,,,,1.00M,,,205.00M,205.00M,89.00M,,,39.00M,-8.00M,4.00M,-69.00M,-27.00M,58.00M,,,30.00M,-8.00M,,433.00M,,-109.00M,,-27.00M,-82.00M,-1.703B,-4.00M,-1.816B,,1.755B,1.755B,,-12.00M,-12.00M,-85.00M,-85.00M,11.00M,-42.00M,1.627B,,442.00M,244.00M,-4.00M,682.00M,,,,8.554B,-6.799B,-12.00M,62.00M,44.00M,,AOR,Restated
2015-09,180.00M,,,,2.00M,,,156.00M,156.00M,-3.00M,,,23.00M,-9.00M,3.00M,-8.00M,15.00M,-67.00M,,,-37.00M,-97.00M,,255.00M,,-87.00M,,-25.00M,-62.00M,-17.00M,-1.00M,-105.00M,,-73.00M,-73.00M,,-1.00M,-1.00M,-73.00M,-73.00M,19.00M,1.00M,-127.00M,,446.00M,23.00M,-27.00M,442.00M,,,,1.169B,-1.242B,-1.00M,132.00M,48.00M,,AOR,Restated
2015-06,245.00M,,,,-150.00M,,,155.00M,155.00M,-16.00M,,,17.00M,-3.00M,2.00M,-4.00M,-10.00M,-5.00M,,,-19.00M,-38.00M,,212.00M,,-118.00M,,-39.00M,-79.00M,,243.00M,125.00M,,-154.00M,-154.00M,,-151.00M,-151.00M,-73.00M,-73.00M,14.00M,-23.00M,-387.00M,,489.00M,-50.00M,7.00M,446.00M,,,,1.807B,-1.961B,-151.00M,141.00M,25.00M,,AOR,Restated
2015-03,115.00M,,,,2.00M,,,153.00M,153.00M,-22.00M,,,19.00M,-9.00M,2.00M,-22.00M,-24.00M,43.00M,,,-26.00M,-29.00M,,231.00M,,-101.00M,,-42.00M,-59.00M,,-1.00M,-102.00M,,127.00M,127.00M,,-156.00M,-156.00M,-74.00M,-74.00M,13.00M,-8.00M,-98.00M,,493.00M,31.00M,-35.00M,489.00M,,,,1.686B,-1.559B,-156.00M,20.00M,25.00M,,AOR,Restated
2014-12,202.70M,,,,5.30M,,,159.90M,159.90M,8.20M,,,15.50M,-15.80M,4.80M,-61.90M,-9.80M,150.70M,,,18.30M,97.30M,,477.90M,,-99.40M,,-38.50M,-60.90M,-461.40M,-25.50M,-586.30M,,69.20M,69.20M,,-15.80M,-15.80M,-69.30M,-69.30M,19.70M,6.30M,10.10M,,611.80M,-98.30M,-21.00M,493.00M,,,,1.847B,-1.778B,-15.80M,21.50M,47.40M,,AOR,Restated
2014-09,157.90M,,,,17.60M,,,157.00M,157.00M,4.80M,,,13.90M,-14.10M,8.50M,-30.70M,11.50M,-33.80M,,,-84.60M,-137.60M,,208.00M,,-86.00M,,-33.20M,-52.80M,-104.60M,-1.80M,-192.40M,,49.30M,49.30M,,-150.60M,-150.60M,-67.80M,-67.80M,25.80M,-25.50M,-168.80M,,793.70M,-153.20M,-28.70M,611.80M,,,,1.659B,-1.610B,-150.60M,439.00M,201.20M,,AOR,Restated
2014-06,185.30M,,,,-1.30M,,,156.50M,156.50M,-12.30M,,,13.30M,-1.60M,4.10M,-37.70M,-22.70M,-21.60M,,,-5.50M,-87.50M,,256.50M,,-96.70M,,-39.40M,-57.30M,-29.00M,0.80M,-124.90M,,144.10M,144.10M,,-152.50M,-152.50M,-68.40M,-68.40M,2.70M,-7.60M,-81.70M,,737.70M,49.90M,6.10M,793.70M,,,,2.591B,-2.447B,-152.50M,-193.80M,-128.30M,,AOR,Restated
2014-03,161.10M,,,,-0.60M,,,152.60M,152.60M,-6.70M,,,13.30M,-8.50M,2.60M,15.30M,-13.00M,-105.30M,,,11.80M,-91.20M,,222.60M,,-89.90M,,-37.90M,-52.00M,,8.50M,-81.40M,,309.40M,309.40M,,-203.10M,-203.10M,-69.50M,-69.50M,12.80M,-7.20M,42.40M,,547.50M,183.60M,6.60M,737.70M,,,,1.839B,-1.530B,-203.10M,25.30M,48.70M,,AOR,Restated
2013-12,80.20M,,,,-1.70M,,,157.20M,157.20M,23.80M,,,14.60M,-14.60M,2.70M,-0.40M,-8.50M,137.40M,,,-6.30M,122.20M,,384.40M,,-97.60M,,-40.60M,-57.00M,-12.90M,-8.60M,-119.10M,,-354.20M,-354.20M,,-116.00M,-116.00M,-64.60M,-64.60M,35.20M,-24.20M,-523.80M,,811.60M,-258.50M,-5.60M,547.50M,,,,1.700B,-2.054B,-116.00M,65.30M,31.70M,,AOR,Restated
2013-09,179.10M,,,,-4.80M,,,151.90M,151.90M,2.40M,,,12.40M,-11.30M,2.60M,-29.60M,27.70M,37.00M,,,-56.30M,-21.20M,,311.10M,,-81.60M,,-31.60M,-50.00M,-7.50M,26.60M,-62.50M,,51.20M,51.20M,,-129.10M,-129.10M,-63.80M,-63.80M,34.90M,9.10M,-97.70M,,653.10M,150.90M,7.60M,811.60M,,,,1.643B,-1.592B,-129.10M,68.30M,48.90M,,AOR,Restated
2013-06,109.00M,,,,-25.10M,,,152.30M,152.30M,-9.30M,,,13.20M,-10.50M,11.80M,-14.10M,-25.60M,-19.40M,,,-25.00M,-84.10M,,157.30M,,-83.30M,,-28.50M,-54.80M,-15.10M,11.00M,-87.40M,,159.40M,159.40M,,-125.50M,-125.50M,-63.10M,-63.10M,54.10M,-17.60M,7.30M,,590.60M,77.20M,-14.70M,653.10M,,,,4.945B,-4.786B,-125.50M,158.20M,32.10M,,AOR,Restated
2013-03,149.40M,,,,,,,153.20M,153.20M,-15.40M,,,13.20M,-4.00M,-6.40M,-12.00M,-35.10M,6.50M,,,-41.90M,-82.50M,,207.50M,,-73.70M,,-31.00M,-42.70M,-115.00M,-7.00M,-195.70M,,216.20M,216.20M,,-105.30M,-105.30M,-64.80M,-64.80M,18.80M,3.30M,68.20M,,517.60M,80.00M,-7.00M,590.60M,,,,2.206B,-1.990B,-105.30M,28.50M,80.80M,,AOR,Restated
2012-12,144.80M,,,,-3.60M,,,159.60M,159.60M,-12.00M,,,23.30M,-19.20M,2.40M,-27.30M,15.40M,12.80M,,,32.50M,33.40M,,328.70M,,-69.80M,,-26.80M,-43.00M,-23.60M,3.00M,-90.40M,,-147.70M,-147.70M,,-225.50M,-225.50M,-58.40M,-58.40M,116.30M,17.80M,-297.50M,,576.60M,-59.20M,0.20M,517.60M,,,,2.274B,-2.422B,-225.50M,158.70M,17.20M,,AOR,Restated
2012-09,92.40M,,,,-19.90M,,,156.00M,156.00M,-34.70M,,,17.60M,-1.10M,2.40M,14.90M,-7.70M,92.40M,,,-57.00M,42.60M,,255.30M,,-70.60M,,-30.30M,-40.30M,1.70M,333.50M,264.60M,,-331.90M,-331.90M,,-99.80M,-99.80M,-58.70M,-58.70M,7.40M,-0.10M,-483.10M,,533.80M,36.80M,6.00M,576.60M,,,,1.403B,-1.735B,-99.80M,70.30M,85.10M,,AOR,Restated
2012-06,153.80M,,,,,,,159.10M,159.10M,-13.20M,,,16.60M,-3.30M,3.20M,-34.50M,-10.60M,39.00M,,,-51.20M,-57.30M,,258.90M,,-90.70M,,-42.40M,-48.30M,-41.70M,,-132.40M,,19.30M,19.30M,,-46.30M,-46.30M,-58.90M,-58.90M,24.50M,-3.00M,-64.40M,,481.70M,62.10M,-10.00M,533.80M,,,,2.852B,-2.832B,-46.30M,67.80M,15.70M,,AOR,Restated
2012-03,90.10M,,,,,,,158.10M,158.10M,19.00M,,,26.30M,-7.00M,21.40M,-21.10M,-6.10M,-64.70M,,,-12.20M,-104.10M,,203.80M,,-65.00M,,-24.20M,-40.80M,0.00,,-65.00M,,33.20M,33.20M,,-139.70M,-139.70M,-58.80M,-58.80M,128.40M,-38.90M,-75.80M,,415.50M,63.00M,3.20M,481.70M,,,,4.632B,-4.598B,-139.70M,19.50M,82.10M,,AOR,Restated
2011-12,122.00M,,,,3.80M,,,165.60M,165.60M,14.40M,-10.60M,,18.70M,-0.30M,42.70M,-62.40M,6.00M,26.80M,,,2.60M,-27.00M,,372.40M,,-78.50M,,-35.70M,-42.80M,-7.50M,15.40M,-70.60M,,-56.30M,-56.30M,,-175.70M,-175.70M,,-12.40M,-2.80M,-24.10M,-271.30M,,386.80M,30.50M,-1.80M,415.50M,,,,2.638B,-2.695B,-175.70M,39.10M,41.60M,,AOR,Restated
2011-09,140.20M,,0.00,,0.00,,,161.60M,161.60M,-8.20M,3.50M,,14.90M,-7.20M,0.00,18.90M,12.60M,-18.40M,,,-42.30M,-29.20M,,275.60M,,-82.20M,-5.90M,-43.80M,-44.30M,0.00,5.90M,-82.20M,,-17.60M,-17.60M,,-188.50M,-188.50M,,-15.90M,5.60M,0.40M,-216.00M,,427.30M,-22.60M,-17.90M,386.80M,,,,1.748B,-1.766B,-188.50M,165.90M,222.60M,,AOR,Restated
2011-06,125.30M,,,,,,,155.60M,155.60M,-21.50M,3.50M,,15.70M,,0.00,12.50M,-0.70M,-7.70M,,,-19.40M,-15.30M,,263.30M,,-68.00M,0.00,-29.90M,-38.10M,0.10M,,-67.90M,,-159.50M,-159.50M,,0.00,0.00,,-16.90M,14.90M,4.20M,-157.30M,,384.10M,38.10M,5.10M,427.30M,,,,2.429B,-2.588B,0.00,-12.60M,-88.20M,,AOR,Restated
2011-03,93.60M,,,,,,,154.40M,154.40M,16.50M,3.60M,,15.40M,,-4.50M,0.00,-17.60M,-42.60M,,,41.40M,-18.80M,,260.20M,,-71.60M,5.90M,-14.50M,-51.20M,-12.80M,,-78.50M,,-180.50M,-180.50M,,0.00,0.00,,-15.20M,51.50M,4.10M,-140.10M,,338.00M,41.60M,4.50M,384.10M,,,,2.732B,-2.913B,0.00,12.60M,88.20M,,AOR,Restated
2010-12,112.30M,,,,,,,159.70M,159.70M,72.90M,-9.60M,17.40M,18.00M,,29.10M,-55.00M,12.00M,47.40M,,,-75.40M,-71.00M,,285.40M,,-86.70M,,-42.90M,-43.80M,-336.60M,0.00,-423.30M,,95.40M,95.40M,,-0.30M,-0.30M,,-12.80M,10.20M,-7.10M,85.40M,,389.40M,-52.50M,1.10M,338.00M,,,,2.948B,-2.853B,-0.30M,32.60M,42.70M,,AOR,Restated
2010-09,61.00M,,,,,,,154.70M,154.70M,-78.40M,4.10M,179.90M,14.30M,,-19.40M,-15.10M,2.50M,81.40M,,,-44.30M,24.50M,,340.70M,,-93.10M,-71.50M,-113.80M,-50.80M,-20.00M,37.00M,-147.60M,,2.132B,2.132B,,-2.507B,-2.507B,,-15.80M,112.50M,-37.10M,-315.90M,,502.00M,-122.80M,10.20M,389.40M,,,,3.817B,-1.685B,-2.507B,63.40M,24.20M,,AOR,
2010-06,184.60M,,,,,,,152.30M,152.30M,-41.80M,4.10M,,10.40M,,-93.50M,3.10M,3.30M,-41.90M,,,-7.00M,-42.50M,,173.60M,,-76.00M,0.00,-26.80M,-49.20M,3.40M,-3.20M,-75.80M,,-93.80M,-93.80M,,0.00,0.00,,-19.80M,73.10M,-9.00M,-49.50M,,463.90M,48.30M,-10.20M,502.00M,,,,2.408B,-2.502B,0.00,125.00M,28.70M,,AOR,Restated
2010-03,,,,,,,,152.80M,152.80M,-8.40M,1.40M,,16.00M,,97.50M,45.70M,-9.20M,-6.90M,,,-17.30M,12.30M,,271.60M,,-58.20M,71.50M,50.70M,-37.40M,-50.00M,39.20M,2.50M,,-200.40M,-200.40M,,-32.20M,-32.20M,,-19.50M,13.20M,-0.10M,-239.00M,,430.90M,35.10M,-2.10M,463.90M,,,,1.842B,-2.042B,-32.20M,14.50M,35.50M,,AOR,Restated
2009-12,-52.80M,,,,,,,155.60M,155.60M,-35.60M,,,43.70M,-2.80M,10.00M,-41.70M,3.50M,-59.30M,,,46.60M,-50.90M,,209.10M,,-66.90M,19.50M,1.50M,-48.90M,439.70M,0.00,392.30M,,-619.30M,-619.30M,,0.00,241.70M,,-19.10M,12.70M,-1.70M,-385.70M,,205.60M,215.70M,9.60M,430.90M,,,,2.472B,-3.091B,0.00,2.20M,62.20M,,AOR,Restated
2009-09,69.00M,,,,,,,94.30M,94.30M,7.20M,,,9.00M,0.10M,-3.70M,32.40M,7.90M,-15.40M,,,-26.90M,-2.00M,,173.90M,,-49.40M,,-7.40M,-42.00M,0.00,5.90M,-43.50M,,-148.40M,-148.40M,,,,,-11.50M,5.60M,4.40M,-149.90M,,227.90M,-19.50M,-2.80M,205.60M,,,,948.50M,-1.097B,,41.80M,31.10M,,AOR,Restated
2009-06,59.60M,,,,,,,92.10M,92.10M,-33.10M,,,8.80M,0.00,0.80M,32.40M,0.20M,35.30M,,10.90M,-38.80M,40.00M,,168.20M,,-50.90M,,-12.10M,-38.80M,-0.80M,,-51.70M,,-167.30M,-167.30M,,0.00,0.00,,-9.60M,2.40M,0.00,-174.50M,,272.00M,-58.00M,13.90M,227.90M,,,,656.90M,-824.20M,0.00,51.40M,31.10M,,AOR,Restated
2009-03,32.70M,,,,,,,92.00M,92.00M,1.30M,,,9.50M,-0.10M,0.90M,69.60M,19.10M,-67.20M,,-10.90M,16.00M,26.60M,,162.90M,,-45.30M,0.00,-15.00M,-30.30M,-3.00M,,-48.30M,,-54.10M,-54.10M,,0.00,0.00,,-9.50M,3.60M,0.10M,-59.90M,,220.90M,54.70M,-3.60M,272.00M,,,,541.80M,-595.90M,0.00,37.90M,30.70M,,AOR,Restated
2008-12,30.00M,,,0.00,31.10M,,,94.90M,94.90M,32.50M,0.80M,,10.10M,0.10M,37.00M,0.00,-1.30M,-38.00M,,-7.40M,18.90M,-27.80M,,197.70M,,-51.60M,,-19.60M,-32.00M,-2.50M,-0.90M,-80.70M,,-134.20M,-134.20M,,0.10M,0.10M,,-9.50M,0.50M,14.70M,-128.40M,,238.50M,-11.40M,-6.20M,220.90M,,,,1.364B,-1.498B,0.10M,4.50M,34.10M,,,Restated
2008-09,46.40M,,,0.00,3.50M,,,100.00M,100.00M,0.10M,13.10M,,8.40M,0.80M,22.30M,27.20M,-4.70M,1.30M,,-15.20M,-25.00M,-16.40M,,155.90M,,-48.20M,,-13.20M,-35.00M,0.00,0.00,-48.20M,,-38.20M,-38.20M,,0.00,0.00,,-9.40M,7.20M,-21.60M,-62.00M,,207.00M,45.70M,-14.20M,238.50M,,,,1.097B,-1.135B,0.00,6.40M,39.20M,,,Restated
2008-06,72.60M,,,0.30M,3.30M,,,120.40M,120.40M,-3.80M,1.50M,,15.80M,-0.50M,44.10M,-50.10M,5.30M,-83.40M,,-17.50M,11.10M,-134.60M,,74.60M,,-66.00M,,-19.60M,-46.40M,-15.50M,22.80M,-58.70M,,92.90M,92.90M,,-226.30M,-226.30M,,-9.60M,5.50M,0.50M,-137.00M,,328.00M,-121.10M,0.10M,207.00M,,,,1.416B,-1.323B,-226.30M,38.40M,54.50M,,,Restated
2008-03,70.50M,,,2.00M,-2.00M,,,124.10M,124.10M,6.80M,1.40M,,26.40M,-0.40M,0.10M,-8.10M,-12.00M,-21.20M,,-22.00M,4.60M,-58.70M,,168.20M,,-89.60M,,-24.30M,-65.30M,-1.90M,6.00M,-85.50M,,-97.80M,-97.80M,,-9.90M,-9.90M,,-9.70M,6.00M,0.40M,-111.00M,,355.30M,-28.30M,1.00M,328.00M,,,,1.284B,-1.381B,-9.90M,8.10M,69.70M,,,Restated
2007-12,108.41M,,,,-11.01M,137.90M,1.395M,139.30M,139.30M,44.65M,,,,,8.555M,-54.10M,-28.51M,16.33M,,,-16.48M,-82.76M,,207.15M,,-98.63M,-81.24M,-179.86M,,-6.756M,-429.64M,-90.38M,,,2.987B,12.74M,0.00,12.74M,,-9.74M,,-3.031B,-40.62M,,279.08M,76.14M,0.065M,355.28M,,,12.74M,,,0.00,,,,,
