,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2012-09,1.437B,1.437B,968.80M,468.10M,180.20M,,,54.00M,,-54.00M,,180.20M,287.90M,,54.00M,-54.00M,-1.50M,-54.00M,232.40M,79.00M,153.40M,-61.00M,-5.60M,86.80M,147.80M,442.40M,156.00M,286.40M,,0.51,-0.21,0.51,0.30,,0.50,-0.21,0.50,0.29,,292.40M,297.90M,0.20,,AOR,Restated
2012-06,1.457B,1.457B,981.10M,476.10M,193.40M,,,56.60M,,-56.60M,,193.40M,282.70M,,56.60M,-56.60M,-1.80M,-56.60M,224.30M,65.30M,159.00M,-5.20M,-3.20M,150.60M,155.80M,440.00M,159.10M,280.90M,,0.53,-0.02,0.53,0.51,,0.52,-0.02,0.52,0.50,,292.70M,298.30M,0.20,,AOR,Restated
2012-03,1.413B,1.413B,989.50M,423.90M,201.40M,,,59.40M,,-59.40M,,201.40M,222.50M,,59.40M,-59.40M,-20.90M,-59.40M,142.20M,47.70M,94.50M,-4.40M,-3.00M,87.10M,91.50M,359.70M,158.10M,201.60M,,0.32,-0.02,0.32,0.30,,0.31,-0.02,0.31,0.29,,289.70M,295.40M,0.20,,AOR,Restated
2011-12,1.461B,1.461B,988.10M,473.20M,152.10M,,-11.40M,70.50M,,-64.50M,,152.10M,321.10M,,70.50M,-64.50M,-75.10M,-64.50M,181.50M,56.90M,124.60M,-2.60M,-5.00M,117.00M,127.43M,417.60M,165.60M,252.00M,,0.41,0.00,0.4364,0.39,,0.39,0.00,0.4159,0.39,,296.40M,301.60M,0.05,,AOR,Restated
2011-09,1.398B,1.398B,965.30M,432.90M,159.70M,,-0.80M,60.50M,,-60.50M,,159.70M,273.20M,,60.50M,-60.50M,-0.80M,-60.50M,211.90M,64.60M,147.30M,-7.10M,-3.90M,136.30M,143.96M,434.00M,161.60M,272.40M,,0.48,-0.02,0.4818,0.45,,0.47,-0.02,0.4718,0.44,,300.90M,306.80M,0.05,,AOR,Restated
2011-06,1.413B,1.413B,989.40M,423.90M,169.30M,,-0.20M,65.80M,,-65.80M,,169.30M,254.60M,,65.80M,-65.80M,-0.20M,-65.80M,188.60M,60.20M,128.40M,-3.10M,-1.80M,123.50M,126.74M,410.00M,155.60M,254.40M,,0.42,-0.01,0.4204,0.41,,0.41,-0.01,0.4104,0.40,,303.60M,310.90M,0.05,,AOR,Restated
2011-03,1.383B,1.383B,996.00M,387.40M,173.50M,,3.30M,68.00M,,-68.00M,,173.50M,213.90M,,68.00M,-68.00M,3.30M,-68.00M,149.20M,52.30M,96.90M,-3.30M,-0.80M,92.80M,93.96M,371.60M,154.40M,217.20M,,0.32,-0.01,0.3129,0.31,,0.31,-0.01,0.3031,0.30,,301.50M,308.70M,0.05,,AOR,Restated
2010-12,1.272B,1.272B,872.80M,399.60M,164.20M,,0.00,71.40M,,-65.00M,,164.20M,235.40M,,71.40M,-65.00M,-11.50M,-65.00M,158.90M,47.20M,111.70M,0.60M,-1.70M,110.60M,110.00M,390.00M,159.70M,230.30M,,0.35,0.00,0.35,0.35,,0.35,0.00,0.35,0.35,,298.90M,304.90M,0.05,,AOR,Restated
2010-09,1.367B,1.367B,897.30M,469.90M,138.90M,,-137.00M,60.90M,,-60.90M,,138.90M,331.00M,,60.90M,-60.90M,-137.00M,-60.90M,133.10M,48.20M,84.90M,-23.90M,49.40M,110.40M,221.69M,348.70M,154.70M,194.00M,,0.40,-0.07,0.6631,0.33,,0.40,-0.07,0.6576,0.33,,332.20M,339.20M,0.05,,AOR,
2010-06,1.271B,1.271B,893.20M,377.80M,193.70M,,-12.60M,19.30M,,-19.30M,,193.70M,184.10M,,19.30M,-19.30M,-12.60M,-19.30M,152.20M,56.10M,96.10M,-5.00M,-1.20M,89.90M,102.86M,323.80M,152.30M,171.50M,,0.25,-0.01,0.2711,0.24,,0.25,-0.01,0.2707,0.23,,376.50M,384.60M,0.05,,AOR,Restated
2010-03,1.235B,1.235B,890.40M,344.60M,157.20M,,-5.30M,28.20M,,-28.20M,,157.20M,187.40M,,28.20M,-28.20M,-5.30M,-28.20M,153.90M,56.90M,97.00M,-3.50M,0.10M,93.60M,100.44M,334.90M,152.80M,182.10M,,0.26,-0.01,0.2689,0.25,,0.26,-0.01,0.2688,0.25,,373.30M,379.90M,0.05,,AOR,Restated
2009-12,1.283B,1.283B,919.30M,363.70M,271.40M,,-136.20M,39.70M,,-36.30M,,271.40M,92.30M,,39.70M,-36.30M,-136.20M,-36.30M,-80.20M,-29.10M,-51.10M,-1.70M,-1.10M,-53.90M,34.58M,115.10M,155.60M,-40.50M,,-0.1394,-0.0045,0.0923,-0.1439,,-0.1394,-0.0045,0.0923,-0.1439,,374.50M,374.50M,0.05,,AOR,Restated
2009-09,828.70M,828.70M,605.40M,223.30M,89.40M,,1.40M,31.80M,,-31.80M,,89.40M,133.90M,,31.80M,-31.80M,1.40M,-31.80M,103.50M,35.50M,68.00M,1.00M,-1.40M,67.60M,65.68M,229.60M,94.30M,135.30M,,0.35,0.01,0.3452,0.35,,0.34,0.01,0.3353,0.35,,191.10M,194.60M,0.05,,AOR,Restated
2009-06,829.20M,829.20M,622.80M,206.40M,93.00M,,5.50M,31.30M,,-31.30M,,93.00M,113.40M,,31.30M,-31.30M,5.50M,-31.30M,87.60M,30.10M,57.50M,2.10M,-0.40M,59.20M,53.49M,211.00M,92.10M,118.90M,,0.30,0.01,0.2810,0.31,,0.30,0.01,0.2813,0.31,,190.30M,192.70M,0.05,,AOR,Restated
2009-03,794.10M,794.10M,618.40M,175.70M,95.90M,,1.20M,31.20M,,-31.20M,,95.90M,79.80M,,31.20M,-31.20M,1.20M,-31.20M,49.80M,17.10M,32.70M,0.00,0.30M,33.00M,32.21M,173.00M,92.00M,81.00M,,0.17,0.00,0.1659,0.17,,0.17,0.00,0.1659,0.17,,190.00M,191.60M,0.05,,AOR,Restated
2008-12,843.70M,843.70M,704.80M,138.90M,79.70M,,-24.50M,33.40M,1.00M,-32.40M,,18.00M,120.90M,1.00M,33.40M,-32.40M,,-32.40M,63.80M,19.70M,44.30M,-14.30M,-1.20M,28.80M,60.03M,192.10M,94.90M,97.20M,,0.23,-0.08,0.3192,0.15,,0.22,-0.08,0.3086,0.15,,189.80M,191.10M,0.05,,,Restated
2008-09,884.00M,884.00M,661.80M,222.20M,79.90M,22.50M,-0.10M,47.70M,1.00M,-46.70M,,102.40M,119.80M,1.00M,47.70M,-46.70M,-0.10M,-46.70M,73.00M,27.00M,46.00M,0.40M,-2.80M,43.60M,43.26M,220.70M,100.00M,120.70M,,0.23,0.00,0.2303,0.23,,0.23,0.00,0.2303,0.23,,189.50M,191.80M,0.05,,,Restated
2008-06,869.70M,869.70M,674.00M,195.70M,117.90M,19.90M,1.30M,43.60M,1.50M,-42.10M,,137.80M,57.90M,1.50M,43.60M,-42.10M,1.30M,-42.10M,16.90M,3.30M,13.60M,59.20M,-0.90M,71.90M,11.65M,180.90M,120.40M,60.50M,,0.07,0.30,0.0646,0.37,,0.07,0.30,0.0646,0.37,,192.50M,194.40M,0.05,,,Restated
2008-03,830.30M,830.30M,648.70M,181.60M,111.10M,19.30M,-1.20M,38.80M,2.80M,-36.00M,,130.40M,51.20M,2.80M,38.80M,-36.00M,-1.20M,-36.00M,14.00M,3.30M,10.70M,59.60M,0.20M,70.50M,11.82M,176.90M,124.10M,52.80M,,0.06,0.30,0.0647,0.36,,0.06,0.30,0.0647,0.36,,194.50M,196.50M,0.05,,,Restated
2007-12,835.31M,835.31M,641.34M,193.97M,86.29M,20.40M,10.06M,,,,,106.69M,87.28M,,,,10.03M,,61.91M,22.40M,39.22M,69.17M,-0.269M,108.39M,32.80M,226.58M,139.30M,87.28M,,0.20,0.36,0.1670,0.56,,0.20,0.35,0.1673,0.56,,194.57M,196.56M,0.05,,,
2007-09,712.81M,712.81M,563.00M,149.81M,72.39M,17.58M,185.77M,,,,,89.97M,59.85M,,,,185.86M,,208.48M,75.24M,133.37M,111.93M,0.041M,245.30M,14.64M,195.08M,135.23M,59.85M,,0.69,0.58,0.0754,1.27,,0.68,0.57,0.0762,1.25,,193.17M,196.65M,0.05,,,
2007-06,1.125B,1.125B,802.46M,322.57M,119.62M,23.59M,92.86M,,,,,143.20M,179.37M,,,,93.59M,,229.74M,84.58M,145.62M,2.389M,-0.286M,148.00M,86.94M,293.37M,114.00M,179.37M,,0.76,0.01,0.4556,0.77,,0.74,0.01,0.4421,0.75,,192.74M,196.98M,0.05,,,
2007-03,1.071B,1.071B,772.38M,299.06M,113.08M,27.11M,0.665M,,,,,140.19M,158.87M,,,,1.601M,,87.98M,32.73M,56.36M,3.143M,0.176M,59.50M,55.94M,297.80M,138.94M,158.87M,,0.29,0.02,0.2878,0.31,,0.29,0.01,0.2879,0.30,,191.90M,195.81M,0.05,,,
2006-12,-517.14M,-517.14M,-200.26M,-316.88M,-99.48M,-6.661M,2.882M,,,,,-106.14M,-210.74M,,,,4.904M,,-259.00M,-101.17M,-154.15M,229.28M,1.66M,75.13M,-155.91M,-94.12M,116.62M,-210.74M,,0.37,0.02,0.3608,0.39,,0.37,0.02,0.3610,0.39,,190.58M,194.57M,0.05,,,
2006-09,1.058B,1.058B,758.81M,299.38M,111.01M,25.86M,-0.593M,,,,,136.87M,162.52M,,,,1.093M,,112.65M,40.21M,74.16M,4.418M,0.034M,78.58M,74.54M,275.13M,112.62M,162.52M,,0.39,0.02,0.392,0.41,,0.39,0.02,0.3920,0.41,,190.68M,193.63M,0.05,,,
2006-06,1.022B,1.022B,719.72M,302.23M,125.87M,23.65M,0.866M,,,,,149.51M,152.72M,,,,1.125M,,106.08M,40.63M,66.03M,,0.317M,66.03M,65.49M,264.50M,111.78M,152.72M,,0.34,0.00,0.3372,0.34,,0.34,0.00,0.3373,0.34,,192.22M,195.37M,0.05,,,
2006-03,900.94M,900.94M,622.34M,278.60M,145.73M,28.06M,-2.11M,,,,,173.79M,104.81M,,,,-0.277M,,61.32M,23.49M,39.36M,,-0.311M,39.36M,40.66M,202.69M,97.88M,104.81M,,0.23,0.00,0.2377,0.23,,0.23,0.00,0.2375,0.23,,169.99M,172.99M,0.05,,,
2005-12,629.82M,629.82M,418.83M,210.99M,99.00M,27.71M,-1.846M,,,,,126.71M,84.28M,,,,-1.196M,,44.41M,16.52M,30.26M,,1.721M,45.49M,31.42M,167.83M,83.55M,84.28M,,0.24,0.12,0.2491,0.36,,0.23,0.12,0.2389,0.35,,127.92M,129.66M,0.05,,,
2005-09,698.11M,698.11M,447.79M,250.32M,93.05M,33.54M,0.821M,,,,,126.59M,123.72M,,,,2.956M,,88.79M,31.11M,57.89M,,-1.917M,57.89M,57.36M,194.50M,70.78M,123.72M,,0.45,0.00,0.4458,0.45,,0.45,0.00,0.4458,0.45,,127.92M,127.92M,0.05,,,
2005-06,708.71M,708.71M,453.50M,255.21M,109.32M,28.30M,0.085M,,,,,137.62M,117.59M,,,,1.091M,,81.56M,31.38M,48.58M,,-2.609M,48.58M,48.52M,192.95M,75.36M,117.59M,,0.38,0.00,0.3796,0.38,,0.38,0.00,0.3796,0.38,,127.92M,127.92M,0.05,,,
2005-03,651.58M,651.58M,430.08M,221.50M,110.56M,23.94M,-3.297M,,,,,134.49M,87.01M,,,,-2.059M,,73.06M,28.05M,44.60M,,-1.645M,44.60M,46.63M,162.75M,75.74M,87.01M,,0.35,0.00,0.3659,0.35,,0.35,0.00,0.3659,0.35,,127.92M,127.92M,0.05,,,
2004-12,1.574B,1.574B,976.88M,596.98M,334.99M,,17.58M,,,,,409.20M,187.78M,,,,14.27M,,211.48M,79.16M,125.34M,,,121.21M,114.34M,378.96M,191.19M,187.78M,,1.943,,1.767,1.943,,1.943,,1.767,1.943,,62.38M,62.38M,0.05,,,
2004-09,262.66M,262.66M,186.52M,76.14M,31.50M,,0.294M,,,,,31.50M,44.64M,,,,0.294M,,41.67M,15.73M,25.94M,1.325M,,27.27M,25.76M,60.58M,15.95M,44.64M,,0.41,0.02,0.4071,0.44,,0.41,0.02,0.4071,0.43,,62.59M,63.85M,0.05,,,
2004-06,255.66M,255.66M,184.54M,71.13M,33.68M,,0.085M,,,,,33.68M,37.44M,,,,0.085M,,34.38M,13.09M,21.28M,1.536M,,22.82M,21.23M,52.81M,15.37M,37.44M,,0.34,0.02,0.3392,0.36,,0.33,0.02,0.3292,0.36,,63.08M,64.27M,0.05,,,
2004-03,239.34M,239.34M,177.24M,62.10M,32.13M,,0.22M,,,,,32.13M,29.97M,,,,0.22M,,27.21M,10.36M,16.85M,1.272M,,18.12M,16.71M,45.87M,15.90M,29.97M,,0.26,0.02,0.2579,0.28,,0.26,0.02,0.2579,0.28,,63.68M,64.64M,0.05,,,
2003-12,272.11M,272.11M,193.47M,78.64M,38.32M,,13.08M,,,,,26.12M,52.52M,,,,13.08M,,50.80M,18.55M,32.25M,,,30.92M,23.95M,64.81M,12.29M,52.52M,,0.50,-0.02,0.3702,0.48,,0.49,-0.02,0.3625,0.47,,63.99M,65.13M,0.05,,,
2003-09,255.79M,255.79M,182.26M,73.54M,30.01M,,0.474M,,,,,30.01M,43.52M,,,,0.474M,,41.95M,15.63M,26.32M,,,26.32M,26.03M,58.64M,15.11M,43.52M,,0.40,0.00,0.3954,0.40,,0.40,0.00,0.3955,0.40,,65.02M,65.82M,0.05,,,
2003-06,247.39M,247.39M,180.98M,66.42M,29.45M,,1.265M,,,,-0.437M,29.01M,37.40M,,,,1.265M,,36.60M,13.63M,22.97M,,,22.97M,22.17M,47.65M,10.25M,37.40M,,0.35,0.00,0.3379,0.35,,0.35,0.00,0.3380,0.35,,65.54M,66.08M,,,,
