,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2015-12,682.00M,,682.00M,1.53B,560.00M,2.09B,,637.00M,100.00M,,3.509B,0.00,30.00M,203.00M,1.024B,,139.00M,1.396B,-785.00M,611.00M,14.74B,6.743B,21.49B,,253.00M,339.00M,22.69B,26.20B,,564.00M,65.00M,863.00M,1.492B,128.00M,1.62B,,,,15.00M,,15.00M,615.00M,615.00M,,,2.364B,11.43B,,11.43B,2.658B,30.00M,2.688B,86.00M,312.00M,14.43B,16.79B,,4.00M,3.073B,10.21B,3.687B,,,-279.00M,9.321B,,AOR,Restated
2015-09,441.50M,,441.50M,1.125B,264.40M,1.419B,,496.00M,79.60M,,2.436B,,,,,,,1.242B,-761.30M,481.00M,8.762B,1.956B,10.72B,,238.40M,314.60M,11.75B,14.19B,,714.40M,,555.90M,1.279B,,1.279B,,,,13.40M,,13.40M,273.50M,273.50M,,,1.566B,4.957B,,4.957B,843.90M,27.90M,871.80M,75.50M,165.50M,6.017B,7.584B,,3.90M,3.053B,7.416B,3.683B,,,-261.40M,6.529B,,AOR,Restated
2015-06,446.40M,,446.40M,1.127B,360.60M,1.523B,,443.20M,70.20M,,2.483B,,,,,,,1.236B,-741.50M,495.00M,8.752B,2.029B,10.78B,,232.30M,312.90M,11.82B,14.30B,,794.60M,,539.30M,1.345B,,1.345B,,,,13.50M,,13.50M,318.90M,318.90M,,,1.677B,5.030B,,5.030B,837.70M,28.10M,865.80M,90.80M,173.00M,6.095B,7.772B,,3.90M,2.951B,7.386B,3.702B,,,-198.10M,6.440B,,AOR,Restated
2015-03,489.00M,,489.00M,1.131B,379.50M,1.543B,,496.80M,68.60M,,2.597B,,,,,,,1.210B,-720.30M,490.00M,8.835B,2.052B,10.89B,,222.40M,304.10M,11.90B,14.50B,,798.40M,,603.10M,1.413B,,1.413B,,,,13.60M,,13.60M,334.40M,334.40M,,,1.761B,5.183B,,5.183B,847.00M,26.70M,873.70M,120.90M,172.70M,6.256B,8.018B,,3.90M,2.784B,7.363B,3.562B,,,-227.80M,6.362B,,AOR,Restated
2014-12,492.80M,,492.80M,954.20M,357.40M,1.345B,,560.90M,67.40M,,2.473B,0.00,28.10M,186.90M,877.70M,,111.70M,1.204B,-721.10M,483.30M,8.878B,2.161B,11.04B,,213.20M,311.90M,12.05B,14.52B,,386.50M,47.50M,697.10M,1.144B,103.70M,1.248B,,,,13.10M,,13.10M,279.40M,279.40M,,4.40M,1.599B,5.055B,,5.055B,874.40M,26.10M,900.50M,134.80M,245.40M,6.230B,7.829B,,3.90M,2.747B,7.337B,3.424B,,,-107.20M,6.557B,,AOR,Restated
2014-09,611.80M,,611.80M,1.050B,334.10M,1.418B,,452.80M,71.40M,,2.563B,,,,,,,1.151B,-695.10M,456.30M,8.565B,2.078B,10.64B,,213.50M,296.30M,11.61B,14.17B,,656.50M,,529.10M,1.200B,,1.200B,,,,6.30M,,6.30M,260.30M,260.30M,,3.50M,1.470B,4.967B,,4.967B,840.60M,25.60M,866.20M,137.00M,247.30M,6.111B,7.581B,,3.90M,2.62B,7.305B,3.434B,,,-40.50M,6.454B,,AOR,Restated
2014-06,793.70M,,793.70M,1.018B,303.60M,1.36B,,607.20M,65.70M,,2.835B,,,,,,,1.164B,-704.50M,459.00M,8.518B,2.116B,10.63B,,212.20M,300.80M,11.61B,14.44B,,648.50M,,730.70M,1.399B,,1.399B,,,,23.00M,,23.00M,276.00M,276.00M,,3.00M,1.701B,4.900B,,4.900B,816.40M,28.20M,844.60M,178.00M,261.60M,6.039B,7.741B,,3.90M,2.538B,7.286B,3.319B,,,12.90M,6.522B,,AOR,Restated
2014-03,737.70M,,737.70M,987.90M,276.60M,1.299B,,598.40M,52.80M,,2.688B,,,,,,,1.113B,-663.40M,449.20M,8.50B,2.149B,10.65B,,206.90M,277.40M,11.58B,14.27B,,653.20M,,717.00M,1.385B,,1.385B,,,,49.70M,,49.70M,270.10M,270.10M,,,1.704B,4.729B,,4.729B,810.70M,26.70M,837.40M,168.30M,261.60M,5.864B,7.568B,,3.90M,2.428B,7.272B,3.172B,,,3.20M,6.534B,,AOR,Restated
2013-12,547.50M,,547.50M,869.50M,358.70M,1.264B,,481.50M,58.90M,,2.352B,0.00,28.10M,182.00M,770.30M,,97.00M,1.077B,-638.40M,439.00M,8.50B,2.196B,10.70B,,206.80M,266.60M,11.61B,13.96B,,147.00M,45.40M,682.30M,888.40M,353.00M,1.241B,,,,128.80M,,128.80M,243.60M,243.60M,,,1.673B,4.340B,,4.340B,823.60M,27.20M,850.80M,156.80M,325.00M,5.550B,7.223B,,3.90M,2.342B,7.248B,3.003B,,,-9.90M,6.580B,,AOR,Restated
2013-09,811.60M,,811.60M,992.80M,224.40M,1.258B,,713.20M,51.10M,,2.834B,,,,,,,1.058B,-629.50M,428.30M,8.491B,2.259B,10.75B,,217.80M,260.40M,11.66B,14.49B,,672.10M,,760.60M,1.447B,,1.447B,,,,117.10M,,117.10M,233.50M,233.50M,,,1.798B,4.704B,,4.704B,799.50M,34.00M,833.50M,156.20M,317.00M,5.890B,7.687B,,3.90M,2.334B,7.220B,2.909B,,,-1.20M,6.648B,,AOR,Restated
2013-06,653.10M,,653.10M,948.50M,143.80M,1.130B,,209.20M,58.60M,,2.051B,,,,,,,1.016B,-600.20M,415.80M,8.487B,2.315B,10.80B,,213.20M,267.80M,11.70B,13.75B,,657.10M,,121.10M,792.50M,,792.50M,,,,83.70M,,83.70M,266.70M,266.70M,,,1.143B,4.673B,,4.673B,801.20M,35.60M,836.80M,151.60M,313.00M,5.857B,7.000B,,3.80M,2.226B,7.207B,2.828B,,,-10.30M,6.599B,,AOR,Restated
2013-03,590.60M,,590.60M,936.20M,122.20M,1.104B,,170.80M,58.10M,,1.923B,,,,,,,1.008B,-585.70M,422.30M,8.487B,2.397B,10.88B,,213.10M,256.90M,11.78B,13.70B,,685.90M,,125.00M,830.20M,,830.20M,,,,166.80M,,166.80M,281.40M,281.40M,,,1.278B,4.436B,,4.436B,809.90M,38.70M,848.60M,158.80M,296.00M,5.622B,6.901B,,3.80M,2.186B,7.20B,2.771B,,,21.00M,6.640B,,AOR,Restated
2012-12,517.60M,,517.60M,799.60M,284.60M,1.126B,,144.50M,55.90M,,1.844B,0.00,28.00M,177.70M,671.50M,,98.30M,975.50M,-556.00M,419.50M,8.382B,2.423B,10.80B,,211.20M,270.10M,11.71B,13.55B,,93.40M,51.40M,293.60M,457.20M,304.20M,761.40M,,,,153.90M,,153.90M,287.30M,287.30M,,,1.257B,4.232B,,4.232B,821.80M,42.20M,864.00M,152.70M,363.20M,5.499B,6.756B,,3.80M,2.106B,7.197B,2.696B,,,30.00M,6.641B,,AOR,Restated
2012-09,576.60M,28.80M,605.40M,886.00M,138.20M,1.090B,,130.10M,49.60M,,1.875B,,,,,,,963.30M,-538.90M,424.40M,8.377B,2.494B,10.87B,,225.30M,229.60M,11.75B,13.63B,,810.50M,,,829.20M,,829.20M,,,,140.30M,,140.30M,241.30M,241.30M,,,1.211B,4.392B,,4.392B,819.60M,43.70M,863.30M,145.10M,343.40M,5.638B,6.849B,,3.80M,2.028B,7.219B,2.655B,,,35.40M,6.632B,,AOR,Restated
2012-06,533.80M,19.50M,553.30M,892.90M,147.50M,1.100B,,135.60M,58.10M,,2.158B,,,,,,,932.60M,-510.80M,421.80M,8.369B,2.554B,10.92B,,226.80M,213.70M,11.79B,13.94B,,693.50M,,,712.20M,,712.20M,,,,127.90M,,127.90M,272.20M,272.20M,,9.00M,1.121B,4.736B,,4.736B,863.50M,46.10M,909.60M,143.00M,331.90M,6.017B,7.138B,,3.80M,2.000B,7.206B,2.568B,,,20.10M,6.662B,,AOR,Restated
2012-03,481.70M,31.70M,513.40M,889.30M,122.90M,1.072B,,127.40M,55.20M,,1.768B,,,,,,,912.80M,-498.40M,414.40M,8.546B,2.721B,11.27B,,249.20M,207.00M,12.14B,13.90B,,664.20M,,,701.90M,,701.90M,,,,115.70M,,115.70M,287.00M,287.00M,,,1.105B,4.728B,,4.728B,878.20M,51.00M,929.20M,152.10M,324.80M,6.033B,7.137B,,3.80M,1.909B,7.202B,2.563B,,,63.00M,6.615B,,AOR,Restated
2011-12,415.50M,,415.50M,727.70M,238.90M,1.024B,,161.00M,74.00M,,1.674B,0.00,28.00M,170.00M,595.40M,,89.30M,882.70M,-468.20M,414.50M,8.543B,2.785B,11.33B,,232.70M,224.40M,12.20B,13.87B,,100.60M,51.40M,241.00M,429.50M,320.50M,750.00M,23.60M,,,259.20M,,259.20M,276.50M,276.50M,,,1.356B,4.551B,,4.551B,884.10M,55.90M,940.00M,148.20M,324.50M,5.866B,7.222B,,3.80M,1.880B,7.225B,2.642B,,,36.30M,6.503B,,AOR,Restated
2011-09,386.80M,41.80M,428.60M,808.30M,104.90M,965.00M,,137.10M,73.50M,,1.604B,,,,,,,862.70M,-452.00M,410.70M,8.562B,2.872B,11.43B,,255.40M,181.00M,12.28B,13.89B,,686.90M,,,721.00M,,721.00M,,,,538.30M,,538.30M,256.60M,256.60M,,,1.516B,4.328B,,4.328B,845.40M,60.70M,906.10M,151.90M,335.00M,5.619B,7.135B,,3.80M,1.778B,7.210B,2.433B,,,39.80M,6.599B,,AOR,Restated
2011-06,427.30M,43.80M,471.10M,865.10M,110.00M,1.006B,,154.20M,74.50M,,1.706B,,,,,,,849.20M,-440.30M,408.90M,8.571B,3.020B,11.59B,,261.80M,193.80M,12.46B,14.16B,,734.50M,,,774.50M,,774.50M,,,,564.40M,,564.40M,276.60M,276.60M,,,1.616B,4.32B,,4.32B,874.60M,70.10M,944.70M,168.10M,332.20M,5.652B,7.267B,,3.80M,1.657B,7.197B,2.253B,,,120.70M,6.726B,,AOR,Restated
2011-03,384.10M,32.90M,417.00M,864.10M,116.50M,1.014B,,148.10M,65.50M,,1.645B,,,,,,,798.20M,-414.30M,383.90M,8.568B,3.068B,11.64B,,259.80M,189.80M,12.47B,14.11B,,,,,710.60M,,710.60M,,,,577.00M,,577.00M,282.70M,282.70M,,,1.570B,4.485B,,4.485B,884.90M,81.50M,966.40M,160.80M,362.00M,5.814B,7.384B,,3.80M,1.549B,7.191B,2.279B,,,105.00M,6.570B,,AOR,Restated
