,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2011-03,2.711B,317.00M,3.028B,687.00M,,,687.00M,,418.00M,311.00M,13.00M,,147.00M,6.378B,,,,15.57B,-3.987B,11.58B,1.863B,1.686B,3.549B,949.00M,415.00M,674.00M,,1.499B,18.66B,25.04B,568.00M,,568.00M,415.00M,983.00M,150.00M,150.00M,,150.00M,137.00M,137.00M,1.728B,2.998B,322.00M,8.802B,,8.802B,1.812B,1.812B,,,335.00M,0.00,248.00M,2.925B,14.44B,17.44B,3.00M,3.538B,5.33B,1.633B,,363.00M,7.601B
2010-12,2.951B,408.00M,3.359B,734.00M,,,734.00M,,453.00M,296.00M,8.00M,,323.00M,7.137B,14.91B,1.40B,,16.31B,-3.796B,12.52B,1.868B,1.776B,3.644B,948.00M,384.00M,758.00M,,1.508B,19.76B,26.90B,783.00M,,783.00M,499.00M,1.282B,463.00M,463.00M,,463.00M,108.00M,108.00M,2.367B,4.22B,317.00M,8.748B,,8.748B,1.989B,1.989B,,322.00M,365.00M,17.00M,248.00M,2.615B,14.60B,18.82B,3.00M,3.80B,5.323B,1.503B,,432.00M,8.055B
2010-06,2.168B,2.11B,4.278B,909.00M,,,909.00M,,535.00M,243.00M,13.00M,,391.00M,6.369B,,,,15.21B,-3.414B,11.79B,1.716B,1.626B,3.342B,754.00M,434.00M,910.00M,,1.501B,18.73B,25.10B,690.00M,,690.00M,623.00M,1.313B,,179.00M,,179.00M,244.00M,244.00M,1.794B,3.53B,,9.291B,,9.291B,1.768B,1.768B,,,433.00M,17.00M,248.00M,1.803B,13.54B,17.07B,3.00M,3.596B,5.311B,1.373B,,476.00M,8.013B
2010-03,1.813B,3.233B,5.046B,700.00M,,,700.00M,,549.00M,307.00M,7.00M,,533.00M,7.142B,,,,14.86B,-3.236B,11.63B,1.713B,1.686B,3.399B,803.00M,476.00M,975.00M,,156.00M,17.44B,24.58B,595.00M,,595.00M,588.00M,1.183B,,152.00M,,152.00M,174.00M,174.00M,2.863B,4.372B,,7.846B,,7.846B,1.925B,1.925B,,,439.00M,12.00M,247.00M,1.728B,12.18B,16.56B,3.00M,3.388B,5.274B,1.323B,,667.00M,8.009B
2009-12,2.304B,177.00M,2.481B,876.00M,32.00M,,908.00M,,541.00M,279.00M,2.00M,,361.00M,6.208B,13.46B,533.00M,621.00M,14.62B,-3.052B,11.56B,1.718B,1.777B,3.495B,776.00M,504.00M,683.00M,,148.00M,17.17B,23.38B,693.00M,,697.00M,505.00M,1.202B,571.00M,571.00M,,571.00M,197.00M,197.00M,1.792B,3.762B,300.00M,7.847B,,7.847B,1.783B,1.783B,,287.00M,387.00M,12.00M,247.00M,1.068B,11.92B,15.68B,152.00M,3.332B,4.948B,1.163B,149.00M,416.00M,7.685B
2009-09,2.25B,293.00M,2.543B,1.119B,,,1.119B,,533.00M,215.00M,26.00M,101.00M,3.674B,8.211B,,,,14.49B,-2.876B,11.61B,1.718B,1.942B,3.66B,746.00M,507.00M,1.039B,,181.00M,17.74B,25.95B,725.00M,,725.00M,636.00M,1.361B,,537.00M,,537.00M,0.00,0.00,3.31B,5.208B,,8.229B,,8.229B,1.572B,1.572B,,,859.00M,12.00M,247.00M,2.007B,12.91B,18.12B,409.00M,3.305B,4.568B,782.00M,406.00M,320.00M,7.82B
2009-06,2.282B,4.862B,7.144B,1.186B,,,1.186B,,530.00M,210.00M,19.00M,,243.00M,9.332B,,,,14.30B,-2.689B,11.61B,1.718B,2.111B,3.829B,679.00M,483.00M,1.188B,,185.00M,17.97B,27.30B,857.00M,,857.00M,618.00M,1.475B,,453.00M,,453.00M,46.00M,46.00M,4.664B,6.638B,292.00M,8.294B,,8.294B,1.564B,1.564B,,,906.00M,12.00M,247.00M,1.509B,12.81B,19.45B,409.00M,3.033B,4.561B,532.00M,406.00M,372.00M,7.843B
2009-03,1.188B,5.137B,6.325B,399.00M,,,399.00M,,488.00M,258.00M,17.00M,,178.00M,7.665B,,,,14.07B,-2.524B,11.54B,1.718B,815.00M,2.533B,780.00M,403.00M,1.148B,,125.00M,16.53B,24.20B,358.00M,,358.00M,269.00M,627.00M,,263.00M,,263.00M,418.00M,418.00M,4.277B,5.585B,288.00M,7.685B,,7.685B,1.303B,1.303B,,,420.00M,7.00M,247.00M,1.203B,11.15B,16.73B,409.00M,2.607B,4.51B,532.00M,406.00M,466.00M,7.46B
2008-12,1.494B,5.354B,6.848B,464.00M,68.00M,,532.00M,,455.00M,147.00M,16.00M,,494.00M,8.492B,13.08B,804.00M,,13.89B,-2.343B,11.54B,1.718B,815.00M,2.533B,793.00M,435.00M,885.00M,,125.00M,16.32B,24.81B,451.00M,,451.00M,393.00M,844.00M,,464.00M,,464.00M,201.00M,201.00M,5.072B,6.581B,,7.697B,,7.697B,1.19B,1.19B,,277.00M,508.00M,7.00M,247.00M,,9.919B,17.68B,856.00M,2.423B,4.35B,823.00M,853.00M,310.00M,7.116B
2008-09,1.483B,,1.483B,531.00M,,,531.00M,,456.00M,,,,4.969B,7.439B,,,,13.17B,-1.695B,11.47B,,,2.161B,,,,,2.611B,16.24B,23.68B,367.00M,,367.00M,4.821B,5.188B,,122.00M,,122.00M,,,,5.31B,,8.059B,,8.059B,1.083B,1.083B,,,,7.00M,247.00M,,9.389B,17.33B,895.00M,2.194B,4.135B,823.00M,892.00M,-58.00M,6.343B
