,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2016-06,2.248B,2.248B,1.443B,805.00M,266.00M,18.00M,-7.00M,-217.00M,237.00M,-237.00M,,546.00M,259.00M,237.00M,-237.00M,-160.00M,-237.00M,-138.00M,25.00M,-163.00M,-113.00M,5.00M,,-271.00M,19.72M,383.00M,284.00M,99.00M,-0.25,-0.36,0.3142,-0.61,-0.25,-0.36,0.3142,-0.61,315.00M,315.00M,0.03
2016-03,3.229B,3.229B,2.194B,1.035B,252.00M,26.00M,146.00M,-103.00M,284.00M,-284.00M,,591.00M,444.00M,284.00M,-284.00M,-92.00M,-284.00M,68.00M,21.00M,47.00M,,35.00M,5.00M,82.00M,153.17M,704.00M,352.00M,352.00M,0.24,,0.4659,0.24,0.24,,0.4659,0.24,315.00M,315.00M,0.145
2015-12,665.00M,665.00M,449.00M,216.00M,350.00M,45.00M,,-4.625B,82.00M,-82.00M,,573.00M,-357.00M,82.00M,-82.00M,-4.426B,-82.00M,-4.865B,1.388B,-6.253B,,44.00M,,-6.314B,-3.434B,-4.513B,270.00M,-4.783B,-18.89,,-10.05,-19.21,-18.89,,-10.05,-19.21,314.00M,314.00M,0.145
2015-09,4.434B,4.434B,3.042B,1.392B,327.00M,38.00M,,-268.00M,291.00M,-291.00M,,747.00M,645.00M,291.00M,-291.00M,-240.00M,-291.00M,114.00M,47.00M,67.00M,,-1.00M,,66.00M,226.80M,836.00M,431.00M,405.00M,0.18,,0.6658,0.18,0.18,,0.6643,0.18,331.00M,332.00M,0.145
2015-06,3.40B,3.40B,2.436B,964.00M,296.00M,37.00M,0.00,-10.00M,263.00M,-263.00M,,729.00M,235.00M,263.00M,-263.00M,2.00M,-263.00M,-26.00M,-17.00M,-9.00M,,-5.00M,,-14.00M,-8.00M,656.00M,419.00M,237.00M,-0.06,,-0.042,-0.06,-0.06,,-0.042,-0.06,333.00M,333.00M,0.145
2015-03,3.829B,3.829B,3.063B,766.00M,265.00M,34.00M,0.00,4.00M,301.00M,-301.00M,,694.00M,72.00M,301.00M,-301.00M,20.00M,-301.00M,-209.00M,-73.00M,-136.00M,,16.00M,5.00M,-120.00M,-122.60M,519.00M,427.00M,92.00M,-0.37,,-0.3778,-0.37,-0.37,,-0.3778,-0.37,336.00M,336.00M,0.145
2014-12,4.192B,4.192B,2.965B,1.227B,279.00M,26.00M,,-25.00M,310.00M,-310.00M,,732.00M,495.00M,310.00M,-310.00M,-17.00M,-310.00M,168.00M,71.00M,97.00M,,22.00M,49.00M,119.00M,135.25M,930.00M,452.00M,478.00M,0.21,,0.2582,0.21,0.21,,0.2575,0.21,337.00M,342.00M,0.14
2014-09,4.569B,4.569B,3.278B,1.291B,258.00M,22.00M,,-100.00M,280.00M,-280.00M,,655.00M,636.00M,280.00M,-280.00M,-85.00M,-280.00M,271.00M,89.00M,182.00M,,-14.00M,2.00M,168.00M,235.20M,969.00M,418.00M,551.00M,0.49,,0.6888,0.49,0.48,,0.6759,0.48,338.00M,343.00M,0.14
2014-06,3.621B,3.621B,2.828B,793.00M,257.00M,21.00M,,-80.00M,274.00M,-274.00M,,664.00M,129.00M,274.00M,-274.00M,-61.00M,-274.00M,-206.00M,-126.00M,-80.00M,,-17.00M,3.00M,-97.00M,-45.00M,472.00M,404.00M,68.00M,-0.3,,-0.1457,-0.3,-0.3,,-0.1457,-0.3,337.00M,337.00M,0.14
2014-03,3.486B,3.486B,2.737B,749.00M,222.00M,19.00M,,-34.00M,255.00M,-255.00M,,576.00M,173.00M,255.00M,-255.00M,-16.00M,-255.00M,-98.00M,-31.00M,-67.00M,,11.00M,2.00M,-56.00M,-32.74M,516.00M,359.00M,157.00M,-0.18,,-0.1082,-0.18,-0.18,,-0.1082,-0.18,324.00M,324.00M,0.12
2013-12,2.795B,2.795B,1.953B,842.00M,225.00M,21.00M,,-591.00M,218.00M,-218.00M,,555.00M,287.00M,218.00M,-218.00M,-586.00M,-218.00M,-517.00M,-227.00M,-290.00M,,-7.00M,2.00M,-297.00M,87.15M,10.00M,292.00M,-299.00M,-0.92,,0.2693,-0.92,-0.92,,0.2693,-0.92,323.00M,323.00M,0.12
2013-09,3.49B,3.49B,2.373B,1.117B,213.00M,24.00M,,-27.00M,228.00M,-228.00M,,564.00M,553.00M,228.00M,-228.00M,-27.00M,-228.00M,298.00M,160.00M,138.00M,,-19.00M,2.00M,119.00M,136.55M,853.00M,289.00M,526.00M,0.36,,0.4143,0.36,0.36,,0.4137,0.36,323.00M,327.00M,0.12
2013-06,2.929B,2.929B,2.051B,878.00M,230.00M,21.00M,,-48.00M,206.00M,-206.00M,,564.00M,314.00M,206.00M,-206.00M,-40.00M,-206.00M,68.00M,-63.00M,131.00M,,-7.00M,3.00M,124.00M,155.20M,690.00M,416.00M,274.00M,0.37,,0.4666,0.37,0.37,,0.4654,0.37,323.00M,327.00M,0.12
2013-03,2.081B,2.081B,1.753B,328.00M,227.00M,18.00M,,-70.00M,196.00M,-196.00M,,552.00M,-224.00M,196.00M,-196.00M,-63.00M,-196.00M,-483.00M,-152.00M,-331.00M,,-1.00M,2.00M,-332.00M,-284.05M,57.00M,344.00M,-287.00M,-1.03,,-0.8815,-1.03,-1.03,,-0.8815,-1.03,323.00M,323.00M,0.09
2012-12,2.063B,2.063B,1.48B,583.00M,194.00M,16.00M,,195.00M,166.00M,-166.00M,,457.00M,126.00M,166.00M,-166.00M,213.00M,-166.00M,173.00M,-81.00M,254.00M,,-2.00M,2.00M,252.00M,125.25M,634.00M,295.00M,339.00M,1.07,,0.5505,1.07,1.06,,0.5448,1.06,244.00M,246.00M,0.09
2012-09,2.331B,2.331B,1.74B,591.00M,224.00M,24.00M,,-59.00M,163.00M,-163.00M,,487.00M,104.00M,163.00M,-163.00M,-46.00M,-163.00M,-105.00M,-113.00M,8.00M,,-9.00M,2.00M,-1.00M,37.35M,337.00M,279.00M,58.00M,-0.01,,0.1582,-0.01,-0.01,,0.1582,-0.01,228.00M,228.00M,0.09
2012-06,2.166B,2.166B,1.337B,829.00M,183.00M,15.00M,,0.00,167.00M,-167.00M,,432.00M,397.00M,167.00M,-167.00M,16.00M,-167.00M,246.00M,-13.00M,259.00M,,-8.00M,3.00M,251.00M,251.00M,696.00M,283.00M,413.00M,1.09,,1.09,1.09,1.08,,1.08,1.08,228.00M,229.00M,
2012-03,1.862B,1.862B,1.583B,279.00M,206.00M,13.00M,,0.00,165.00M,-165.00M,,449.00M,-170.00M,165.00M,-165.00M,9.00M,-165.00M,-326.00M,-120.00M,-206.00M,,-1.00M,2.00M,-207.00M,-207.00M,117.00M,278.00M,-161.00M,-0.92,,-0.92,-0.92,-0.92,,-0.92,-0.92,228.00M,228.00M,
2011-12,2.132B,2.132B,1.76B,372.00M,107.00M,25.00M,,-13.00M,161.00M,-161.00M,,363.00M,9.00M,161.00M,-161.00M,15.00M,-161.00M,-137.00M,-28.00M,-109.00M,,0.00,2.00M,-109.00M,-98.66M,312.00M,288.00M,24.00M,-0.45,,-0.4052,-0.45,-0.45,,-0.4052,-0.45,231.00M,231.00M,
2011-09,2.674B,2.674B,2.053B,621.00M,169.00M,11.00M,,-190.00M,164.00M,-164.00M,,418.00M,203.00M,164.00M,-164.00M,-174.00M,-164.00M,-135.00M,-80.00M,-55.00M,,0.00,2.00M,-55.00M,68.50M,304.00M,275.00M,29.00M,-0.24,0.0,0.2746,-0.24,-0.24,0.0,0.2746,-0.24,240.00M,240.00M,
2011-06,2.278B,2.278B,1.608B,670.00M,167.00M,12.00M,,-123.00M,167.00M,-167.00M,,401.00M,269.00M,167.00M,-167.00M,-111.00M,-167.00M,-9.00M,-630.00M,621.00M,,0.00,3.00M,621.00M,700.95M,433.00M,275.00M,158.00M,2.54,0.0,2.8689999999999998,2.54,2.53,0.0,2.858,2.53,243.00M,244.00M,
2011-03,1.995B,1.995B,1.324B,671.00M,143.00M,9.00M,,-504.00M,173.00M,-173.00M,,357.00M,314.00M,173.00M,-173.00M,-506.00M,-173.00M,-365.00M,-105.00M,-260.00M,,0.00,2.00M,-260.00M,99.01M,72.00M,264.00M,-192.00M,-1.06,0.0,0.3935,-1.06,-1.06,0.0,0.3935,-1.06,247.00M,247.00M,
2010-12,1.816B,1.816B,1.27B,546.00M,157.00M,19.00M,,-11.00M,163.00M,-163.00M,,394.00M,152.00M,163.00M,-163.00M,25.00M,-163.00M,-9.00M,6.00M,-15.00M,,0.00,2.00M,-15.00M,-7.85M,433.00M,279.00M,154.00M,-0.05,,-0.0209,-0.05,-0.06,,-0.0315,-0.06,246.00M,251.00M,
2010-09,2.685B,2.685B,1.835B,850.00M,172.00M,14.00M,,10.00M,168.00M,-168.00M,,396.00M,454.00M,168.00M,-168.00M,26.00M,-168.00M,312.00M,89.00M,223.00M,,0.00,2.00M,223.00M,215.85M,690.00M,173.00M,480.00M,0.88,0.0,0.8516,0.88,0.87,0.0,0.8417,0.87,252.00M,253.00M,
2010-06,2.133B,2.133B,1.329B,804.00M,139.00M,13.00M,,19.00M,147.00M,-147.00M,,360.00M,444.00M,147.00M,-147.00M,30.00M,-147.00M,327.00M,117.00M,210.00M,,1.00M,3.00M,211.00M,198.80M,692.00M,218.00M,474.00M,0.82,0.0,0.7722,0.82,0.81,0.0,0.7623,0.81,255.00M,256.00M,
2010-03,2.215B,2.215B,1.639B,576.00M,130.00M,9.00M,,4.00M,153.00M,-153.00M,,341.00M,235.00M,153.00M,-153.00M,18.00M,-153.00M,123.00M,65.00M,58.00M,,,2.00M,58.00M,55.40M,488.00M,212.00M,276.00M,0.22,0.0,0.2098,0.22,0.22,0.0,0.2099,0.22,254.00M,257.00M,
2009-12,2.141B,2.141B,1.422B,719.00M,113.00M,14.00M,,-16.00M,159.00M,-159.00M,,405.00M,314.00M,159.00M,-159.00M,-8.00M,-159.00M,147.00M,114.00M,33.00M,,0.00,6.00M,33.00M,43.40M,612.00M,306.00M,306.00M,0.12,0.0,0.1628,0.12,0.12,0.0,0.1597,0.12,243.00M,262.00M,
2009-09,2.916B,2.916B,1.893B,1.023B,188.00M,12.00M,,5.00M,178.00M,-178.00M,,412.00M,611.00M,178.00M,-178.00M,11.00M,-178.00M,444.00M,166.00M,278.00M,,0.00,6.00M,278.00M,274.87M,907.00M,285.00M,622.00M,1.09,0.0,1.077,1.09,1.02,0.0,1.008,1.02,249.00M,272.00M,
2009-06,2.237B,2.237B,1.242B,995.00M,131.00M,9.00M,,94.00M,159.00M,-159.00M,,353.00M,642.00M,159.00M,-159.00M,99.00M,-159.00M,582.00M,150.00M,432.00M,,1.00M,7.00M,433.00M,363.23M,1.012B,271.00M,741.00M,1.68,0.0,1.4040000000000001,1.68,1.56,0.0,1.306,1.56,253.00M,275.00M,
2009-03,1.658B,1.658B,766.00M,892.00M,95.00M,13.00M,,-3.00M,138.00M,-138.00M,,277.00M,615.00M,138.00M,-138.00M,19.00M,-138.00M,496.00M,298.00M,198.00M,,,14.00M,198.00M,199.95M,803.00M,145.00M,634.00M,0.78,0.0,0.7882,0.78,0.7,0.0,0.7071,0.7,237.00M,275.00M,
2008-12,1.577B,1.577B,,,57.00M,,,-32.00M,,,,-2.538B,517.00M,,,27.00M,,442.00M,182.00M,260.00M,0.00,,14.00M,260.00M,280.80M,764.00M,92.00M,593.00M,1.06,0.0,1.15,1.06,0.97,0.0,1.048,0.98,232.00M,266.00M,
2008-09,2.69B,2.69B,,,88.00M,,,51.00M,,,997.00M,1.241B,1.449B,,,51.00M,,1.314B,530.00M,784.00M,,,31.00M,784.00M,753.40M,1.605B,121.00M,1.449B,3.28,0.0,3.15,3.28,2.83,0.0,2.72,2.83,235.00M,277.00M,
2008-06,1.316B,1.316B,1.011B,305.00M,83.00M,4.00M,,12.00M,144.00M,-144.00M,,248.00M,57.00M,144.00M,-144.00M,12.00M,-144.00M,-94.00M,-53.00M,-41.00M,168.00M,0.00,14.00M,127.00M,-48.80M,211.00M,95.00M,50.00M,-0.23,0.71,-0.2631,0.48,-0.23,0.71,-0.2631,0.48,236.00M,236.00M,
2008-03,1.302B,1.302B,804.00M,498.00M,75.00M,12.00M,,5.00M,156.00M,-156.00M,,248.00M,250.00M,156.00M,-156.00M,5.00M,-156.00M,99.00M,54.00M,45.00M,4.00M,,14.00M,49.00M,41.75M,416.00M,110.00M,255.00M,0.13,0.02,0.1162,0.15,0.12,0.02,0.1067,0.14,236.00M,245.00M,
2007-12,1.345B,1.345B,,,-35.00M,,,7.00M,,,,-2.328B,295.00M,,,61.00M,,160.00M,73.00M,87.00M,,,14.00M,104.00M,82.45M,562.00M,72.00M,387.00M,0.31,0.07,0.2908,0.38,0.29,0.06,0.2744,0.35,237.00M,291.00M,
2007-09,1.786B,1.786B,,,128.00M,,,34.00M,,,943.00M,1.232B,554.00M,,,34.00M,,415.00M,147.00M,268.00M,,,13.00M,268.00M,246.04M,715.00M,151.00M,554.00M,1.07,0.0,0.9781,1.07,0.93,0.0,0.853,0.93,239.00M,285.00M,
2007-06,1.536B,1.536B,,,107.00M,,,22.00M,,,875.00M,1.143B,393.00M,,,22.00M,,243.00M,100.00M,143.00M,6.00M,,14.00M,149.00M,128.70M,572.00M,179.00M,393.00M,0.54,0.02,0.4804,0.56,0.49,0.02,0.4403,0.51,240.00M,288.00M,
2007-03,1.299B,1.299B,,,85.00M,,,45.00M,,,804.00M,1.049B,250.00M,,,45.00M,,116.00M,55.00M,61.00M,4.00M,,14.00M,65.00M,31.75M,411.00M,161.00M,250.00M,0.19,0.02,0.0701,0.21,0.19,0.01,0.0821,0.2,244.00M,271.00M,
2006-12,1.106B,1.106B,,,56.00M,,,178.00M,,,,-2.231B,72.00M,,,238.00M,,-47.00M,-2.00M,-45.00M,15.00M,,13.00M,-30.00M,-215.43M,256.00M,-17.00M,109.00M,-0.21,0.07,-0.8944,-0.14,-0.21,0.05,-0.7877,-0.14,249.00M,295.00M,
2006-09,1.942B,1.942B,,,79.00M,,,47.00M,,,999.00M,1.226B,716.00M,,,47.00M,,609.00M,238.00M,371.00M,51.00M,,14.00M,422.00M,342.37M,864.00M,59.00M,716.00M,1.31,0.19,1.205,1.5,1.16,0.16,1.07,1.32,272.00M,317.00M,
2006-06,1.502B,1.502B,,,83.00M,,,16.00M,,,818.00M,1.078B,424.00M,,,16.00M,,289.00M,87.00M,202.00M,1.00M,,13.00M,203.00M,190.82M,601.00M,-72.00M,424.00M,0.69,0.0,0.6492,0.69,0.63,0.0,0.5949,0.63,274.00M,319.00M,
2006-03,1.043B,1.043B,,,57.00M,,,101.00M,,,662.00M,837.00M,206.00M,,,101.00M,,14.00M,-1.00M,15.00M,11.00M,,10.00M,26.00M,-45.60M,400.00M,194.00M,206.00M,0.02,0.045,-0.239,0.065,0.02,0.045,-0.2346,0.065,234.00M,238.00M,
2005-12,677.00M,677.00M,,,40.00M,,,-62.00M,,,-1.378B,-1.301B,149.00M,,,42.00M,,90.00M,18.00M,72.00M,-8.00M,,8.00M,64.00M,121.60M,248.00M,35.00M,211.00M,0.385,-0.04,0.695,0.345,0.385,-0.04,0.6802,0.345,160.00M,168.00M,
2005-09,687.00M,687.00M,,,42.00M,,,24.00M,,,612.00M,695.00M,-8.00M,,,24.00M,,-27.00M,10.00M,-37.00M,10.00M,,4.00M,-27.00M,-51.40M,48.00M,56.00M,-8.00M,-0.255,0.06,-0.3407,-0.195,-0.255,0.06,-0.3407,-0.195,168.00M,168.00M,
2005-06,522.00M,522.00M,,,51.00M,,,22.00M,,,375.00M,467.00M,55.00M,,,22.00M,,31.00M,8.00M,23.00M,1.00M,,4.00M,24.00M,6.677M,112.00M,57.00M,55.00M,0.11,0.005,0.0162,0.115,0.105,0.005,0.0123,0.11,174.00M,176.00M,
2005-03,597.00M,597.00M,,,53.00M,,,63.00M,,,452.00M,553.00M,44.00M,,,63.00M,,27.00M,5.00M,22.00M,1.00M,,4.00M,23.00M,-29.33M,108.00M,64.00M,44.00M,0.1,0.005,-0.195,0.105,0.1,0.005,-0.1917,0.105,174.00M,176.00M,
2004-12,333.33M,333.33M,,,48.85M,,,46.32M,,,227.18M,296.43M,36.90M,,,46.32M,,21.71M,8.864M,12.85M,5.674M,,,18.52M,-14.95M,104.86M,67.96M,36.90M,0.065,0.03,-0.0743,0.095,0.06,0.03,-0.0774,0.09,199.60M,202.36M,
2004-09,604.63M,604.63M,,,59.74M,,,4.82M,,,374.61M,485.41M,119.22M,,,4.82M,,57.91M,14.56M,43.35M,10.87M,-0.018M,,54.22M,39.74M,180.39M,61.17M,119.22M,0.215,0.055,0.197,0.27,0.215,0.055,0.1971,0.27,200.20M,201.23M,
2004-06,573.62M,573.62M,,,45.75M,,,55.36M,,,357.92M,456.83M,116.79M,,,55.36M,,105.72M,36.32M,69.40M,13.62M,-0.201M,,83.02M,33.06M,205.56M,88.77M,116.79M,0.345,0.07,0.1634,0.415,0.345,0.07,0.1642,0.415,200.16M,200.96M,
2004-03,600.26M,600.26M,,,36.39M,,,-10.16M,,,389.74M,481.14M,119.13M,,,-10.16M,,45.73M,14.28M,31.45M,-1.211M,-0.508M,,30.24M,38.44M,210.23M,91.10M,119.13M,0.155,-0.005,0.1899,0.15,0.155,-0.005,0.1899,0.15,200.04M,200.04M,
2003-12,202.81M,202.81M,,,,,,,,,,,2.043B,,,,,,,4.109B,-426.37M,,,3.683B,4.109B,2.102B,58.54M,2.043B,10.33,-1.072,10.33,9.257,10.33,-1.072,10.33,9.257,200.00M,200.00M,
2003-09,570.70M,570.70M,384.39M,186.32M,34.42M,,,55.93M,,,396.00M,486.93M,-300.62M,,,55.93M,,-279.11M,5.437M,-284.54M,-0.25M,,,-284.79M,-318.10M,-234.64M,65.98M,-300.62M,-0.7152,-0.0006,-0.7152,-0.7159,-0.7152,-0.0006,-0.7152,-0.7159,,,
2003-06,441.60M,441.60M,381.84M,59.75M,39.15M,,,-237.06M,,,,102.92M,-43.16M,,,-237.06M,,-504.74M,4.305M,-509.05M,-99.35M,0.00,,-608.40M,-366.81M,31.16M,74.32M,-43.16M,-1.28,-0.2497,-1.28,-1.5290000000000001,-1.28,-0.2497,-1.28,-1.5290000000000001,,,
2003-03,519.58M,519.58M,388.10M,131.48M,48.98M,,,16.34M,,,,113.05M,18.43M,,,16.34M,,-141.30M,32.88M,-174.18M,161.55M,0.184M,,-12.63M,-183.99M,89.33M,70.90M,18.43M,-0.4378,0.4061,-0.4378,-0.0318,-0.4378,0.4061,-0.4378,-0.0318,,,
2002-12,-240.04M,-240.04M,,,,,,,,,,,4.522B,,,,,,,313.95M,-784.82M,,,-470.87M,313.95M,4.601B,78.87M,4.522B,0.7892,-1.973,0.7892,-1.1840000000000002,0.7892,-1.973,0.7892,-1.1840000000000002,397.21M,397.21M,
2002-09,755.37M,755.37M,508.99M,246.38M,66.80M,,,34.68M,,,3.026B,3.168B,-2.921B,,,34.68M,,-3.025B,-106.52M,-2.919B,-6.755M,26.40M,,-2.925B,-2.952B,-2.847B,63.39M,-2.921B,-7.336,-0.017,-7.42,-7.353,-7.336,-0.017,-7.42,-7.353,397.21M,397.21M,
2002-06,719.19M,719.19M,485.14M,234.05M,,,,6.915M,,,102.83M,181.27M,52.78M,,,6.915M,,-54.19M,-26.35M,-27.84M,-13.51M,-2.023M,,-41.35M,-31.99M,131.21M,77.75M,52.78M,-0.07,-0.034,-0.0804,-0.1039,-0.07,-0.034,-0.0804,-0.1039,397.21M,397.21M,
