,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2008-06,432.58M,,,,-6.32M,-6.32M,424.10M,424.10M,,,2.307M,-39.94M,-505.94M,-74.36M,,523.46M,6.784M,111.12M,,61.07M,,,2008-06,-970.27M,5.495M,-964.78M,,245.23M,-309.16M,-1.029B,2008-06,398.32M,,398.32M,103.35M,,103.35M,,-125.00M,-125.00M,-322.63M,-16.21M,62.20M,100.03M,,2008-06,-54.88M,193.97M,,2008-06,103.35M,754.94M,-356.61M,,,,2008-06,AOR,Restated
2008-03,375.40M,,,,30.92M,30.92M,407.69M,407.69M,,,13.43M,14.45M,188.54M,-76.07M,,-366.16M,-61.32M,10.21M,,-304.79M,,,2008-03,-1.013B,,-1.013B,,153.73M,-136.06M,-995.24M,2008-03,925.35M,,925.35M,132.11M,,132.11M,,,,-307.96M,-17.06M,-225.98M,506.45M,,2008-03,48.30M,248.85M,,2008-03,132.11M,930.00M,-4.653M,,,,2008-03,,Restated
2007-12,204.16M,,,,-36.30M,-36.30M,377.52M,377.52M,,,1.989M,-121.88M,591.11M,2.815M,,-105.56M,2.808M,11.34M,-0.345M,502.17M,,,2007-12,-1.076B,1.667M,-1.074B,,243.83M,-319.08M,-1.150B,2007-12,-221.85M,,-221.85M,123.50M,,123.50M,,,,-306.23M,,292.78M,-111.81M,,2007-12,-333.66M,201.00M,,2007-12,123.50M,744.50M,-966.35M,,,,2007-12,AOR,Restated
2007-09,762.00M,,,,53.79M,53.79M,375.96M,375.96M,,,2.557M,9.073M,-304.09M,36.76M,,517.18M,67.18M,-27.44M,0.00,289.58M,,,2007-09,-900.70M,2.731M,-897.97M,,215.54M,-194.97M,-877.40M,2007-09,480.04M,,480.04M,103.01M,,103.01M,,,,-304.78M,,-528.17M,-249.90M,,2007-09,365.67M,534.51M,,2007-09,103.01M,550.00M,-69.96M,,,,2007-09,AOR,Restated
2007-06,429.15M,,,,21.51M,60.80M,732.51M,368.61M,-53.43M,,23.45M,59.19M,-283.98M,-79.06M,,-273.39M,-6.234M,352.71M,114.70M,-175.25M,,,2007-06,-825.97M,24.68M,-801.29M,,315.63M,-408.54M,-894.21M,2007-06,1.002B,,356.61M,143.98M,,143.98M,,,,-593.99M,,-7.851M,189.04M,,2007-06,7.348M,168.84M,,2007-06,143.98M,2.532B,-1.530B,-19.26M,-181.71M,,2007-06,AOR,Restated
2007-03,338.69M,,,,,-39.29M,,363.90M,53.43M,,,36.62M,161.96M,-70.52M,,-92.24M,-63.75M,-326.61M,-100.36M,-491.51M,,,2007-03,-742.38M,3.922M,-738.46M,,,-49.41M,-787.87M,2007-03,,,645.21M,167.51M,,167.51M,,,,,,-1.759M,520.66M,,2007-03,-5.357M,161.49M,,2007-03,167.51M,,,19.26M,181.71M,,2007-03,,
2006-12,,,,,-28.03M,-28.03M,361.43M,361.43M,,,2.955M,71.56M,391.09M,-45.72M,,-3.607M,11.98M,-25.62M,120.00M,448.13M,,,2006-12,-881.22M,1.573M,-879.65M,,176.95M,17.17M,-685.53M,2006-12,-327.67M,,-327.67M,106.20M,0.117M,106.31M,,,,-288.01M,,104.09M,-405.27M,,2006-12,-250.99M,167.00M,,2006-12,106.20M,488.16M,-815.82M,,,,2006-12,AOR,Restated
2006-09,,,,,50.36M,50.36M,363.52M,363.52M,,,2.859M,868.53M,-319.65M,-30.37M,,280.39M,82.75M,-49.99M,,-36.87M,,,2006-09,-945.08M,-3.333M,-948.42M,,188.08M,-227.30M,-987.64M,2006-09,-11.05M,,-11.05M,11.15M,0.00,11.15M,,,,-287.84M,,194.02M,-93.72M,,2006-09,155.20M,418.10M,,2006-09,11.15M,115.72M,-126.77M,,,,2006-09,AOR,Restated
2006-06,-261.61M,,,,23.67M,-5.814M,696.05M,344.10M,39.65M,,22.19M,891.50M,-376.56M,-73.35M,,-265.82M,19.91M,363.54M,9.425M,-322.87M,,,2006-06,-621.44M,1.239M,-620.20M,,377.97M,-413.70M,-655.92M,2006-06,536.72M,,-306.09M,5.777M,14.57M,20.35M,,,,-564.15M,,506.26M,-67.18M,,2006-06,-37.89M,262.90M,,2006-06,5.777M,960.12M,-423.41M,-0.919M,-198.76M,,2006-06,,Restated
2006-03,261.61M,,,,,29.49M,,351.95M,-39.65M,,,26.41M,236.13M,-89.56M,,-310.96M,-41.64M,-355.93M,-9.425M,-571.39M,,,2006-03,-546.26M,150.52M,-395.74M,,,-109.17M,-504.91M,2006-03,,,842.80M,13.88M,-14.69M,-0.811M,,,,,,-20.37M,545.18M,,2006-03,98.68M,300.79M,,2006-03,13.88M,,,0.919M,198.76M,,2006-03,,
2005-12,,,,,-37.58M,-37.58M,347.13M,347.13M,,,0.00,314.17M,-69.25M,-105.01M,,-12.10M,-11.48M,34.43M,,-163.41M,,,2005-12,-741.26M,0.53M,-740.73M,,131.11M,-179.69M,-789.31M,2005-12,-31.59M,-426.62M,-458.20M,4.278M,-20.58M,-16.30M,,,,-276.74M,,876.51M,125.27M,,2005-12,-213.89M,202.00M,,2005-12,4.278M,677.30M,-708.89M,,,,2005-12,AOR,Restated
2005-09,-709.78M,,,,31.58M,85.44M,1.051B,363.67M,-175.75M,,0.00,1.794B,-614.78M,51.59M,,233.55M,-31.76M,247.24M,80.98M,-33.18M,,,2005-09,-486.97M,0.002M,-486.97M,,464.89M,-526.09M,-548.18M,2005-09,354.59M,426.62M,-163.97M,60.11M,-269.10M,-208.99M,,,,-821.26M,,94.70M,-555.87M,,2005-09,179.58M,416.34M,,2005-09,60.11M,930.70M,-576.11M,-45.90M,-312.98M,,2005-09,,Restated
2005-06,386.82M,,,,,-56.40M,,344.13M,64.37M,,,58.93M,-344.02M,-93.75M,,-20.87M,36.98M,98.57M,150.36M,-172.73M,,,2005-06,-682.93M,0.005M,-682.92M,23.91M,,-85.75M,-744.76M,2005-06,,,333.88M,92.58M,-62.32M,30.26M,,,,,,-111.84M,-25.38M,,2005-06,-145.03M,236.76M,,2005-06,92.58M,,,14.04M,142.22M,,2005-06,,
2005-03,322.96M,,,,,2.543M,,343.07M,111.38M,,,24.83M,-16.95M,-40.84M,,-88.58M,5.26M,-261.24M,-231.33M,-633.68M,,,2005-03,-458.84M,9.463M,-449.38M,-23.91M,,-73.47M,-546.76M,2005-03,,,611.29M,56.03M,,56.03M,,,,,,-12.37M,388.99M,,2005-03,13.34M,381.79M,,2005-03,56.03M,,,31.86M,170.76M,,2005-03,,
2004-12,-1.328B,,,,,57.09M,,294.16M,-484.28M,,,,27.94M,-48.13M,,-24.45M,16.58M,81.80M,-83.63M,-29.90M,,,2004-12,-564.84M,,-564.84M,,,-847.43M,-631.26M,2004-12,,,480.97M,-340.68M,268.39M,-72.29M,,,,,,-42.37M,101.19M,,2004-12,84.24M,368.00M,,2004-12,-340.68M,,,-35.97M,-428.94M,,2004-12,AOR,Restated
2004-09,644.47M,,,,,-28.99M,,297.07M,158.48M,,,,-137.58M,26.33M,,-53.78M,-1.662M,52.73M,222.12M,108.17M,,,2004-09,-418.04M,,-418.04M,,,-44.89M,-462.93M,2004-09,,,-382.70M,27.62M,0.00,27.62M,,,,,,-4.284M,-623.41M,,2004-09,92.86M,284.03M,,2004-09,27.62M,,,5.163M,151.26M,,2004-09,,
2004-06,352.13M,,,,,-1.848M,,268.30M,195.57M,,,,-383.48M,-41.18M,,-17.04M,93.07M,132.87M,-4.268M,-220.02M,,,2004-06,-523.89M,,-523.89M,,,-87.54M,-611.43M,2004-06,,,94.13M,88.36M,-28.39M,59.97M,,,,,,-12.82M,-117.04M,,2004-06,-134.33M,191.16M,,2004-06,88.36M,,,4.926M,134.93M,,2004-06,,
2004-03,331.14M,,,,,-26.25M,,301.46M,130.23M,,,,101.12M,23.98M,,-7.736M,-98.98M,-313.40M,-134.23M,-429.25M,,,2004-03,-515.23M,,-515.23M,,,-37.15M,-552.38M,2004-03,,,422.59M,348.70M,-240.00M,108.70M,,,,,,-14.52M,259.26M,,2004-03,14.22M,325.49M,,2004-03,348.70M,,,25.88M,142.75M,,2004-03,,
2003-12,125.48M,,,,,152.45M,,327.12M,176.20M,,,-145.00M,88.68M,2.921M,,110.34M,0.242M,142.70M,-294.00M,50.87M,,,2003-12,-561.13M,,-561.13M,,,46.71M,-608.42M,2003-12,,,71.90M,-25.30M,240.00M,214.70M,,,,,,-506.32M,-350.61M,,2003-12,-271.92M,311.00M,,2003-12,99.70M,,,-55.28M,-471.00M,,2003-12,AOR,Restated
2003-09,618.84M,,,,,-80.81M,,296.64M,102.44M,,,,-66.60M,11.27M,,-21.50M,126.54M,103.33M,133.66M,286.69M,,,2003-09,-390.25M,,-390.25M,,,3.756M,-386.49M,2003-09,,,-298.23M,94.39M,0.00,94.39M,,,,,,-6.112M,-464.99M,,2003-09,372.31M,582.95M,,2003-09,94.39M,,,53.60M,223.56M,,2003-09,,
2003-06,431.89M,,,,,-23.89M,,303.10M,102.32M,,,3.79M,-216.12M,-40.48M,,-92.31M,25.51M,130.26M,168.60M,-24.52M,,,2003-06,-531.98M,,-531.98M,,,-64.36M,-596.34M,2003-06,,,6.864M,165.01M,-200.00M,-34.99M,,,,,,-19.68M,-295.12M,,2003-06,-98.78M,210.64M,,2003-06,165.01M,,,1.563M,129.99M,,2003-06,,
2003-03,297.80M,,,,,21.25M,,294.15M,78.03M,,,-3.79M,200.04M,-2.711M,,-76.53M,-125.29M,-307.30M,-8.259M,-320.04M,,,2003-03,-530.64M,,-530.64M,,,-73.10M,-603.74M,2003-03,,,338.46M,235.90M,-40.00M,195.90M,,,,,,-15.89M,272.73M,,2003-03,36.38M,309.40M,,2003-03,235.90M,,,0.117M,117.46M,,2003-03,,
2002-12,166.91M,,,,,-53.90M,,343.54M,139.97M,,,-9.311M,112.65M,27.64M,,81.84M,,,-260.50M,10.64M,,,2002-12,-731.45M,,-731.45M,,,111.81M,-709.64M,2002-12,,,239.77M,-597.17M,649.25M,52.08M,,,,,,114.66M,91.79M,,2002-12,-20.01M,273.00M,,2002-12,-597.17M,,,-202.50M,-382.50M,,2002-12,AOR,Restated
2002-09,595.41M,,,,,74.16M,,289.80M,32.30M,,,-72.69M,-109.17M,52.52M,,83.09M,,,268.36M,294.79M,,,2002-09,-586.56M,,-586.56M,,,-90.05M,-676.61M,2002-09,,,-344.03M,302.34M,-649.25M,-346.91M,,,,,,14.96M,-918.83M,,2002-09,-381.68M,293.02M,,2002-09,302.34M,,,-38.89M,169.01M,,2002-09,,
2002-06,331.39M,,,,,-34.50M,,277.14M,37.95M,,,,-235.38M,26.29M,,75.86M,,,117.66M,-15.57M,,,2002-06,-729.83M,,-729.83M,,,-71.05M,-800.88M,2002-06,,,326.17M,596.95M,,596.95M,,,,,,-103.87M,583.09M,,2002-06,378.62M,674.71M,,2002-06,596.95M,,,183.75M,131.18M,,2002-06,,
2002-03,224.29M,,,,,27.24M,,274.52M,-15.22M,,,,196.91M,6.544M,,-143.79M,,,-125.52M,-65.85M,,,2002-03,-680.16M,,-680.16M,,,-100.70M,-780.86M,2002-03,,,354.08M,125.88M,,125.88M,,,,,,32.26M,277.95M,,2002-03,-57.93M,296.09M,,2002-03,125.88M,,,57.64M,82.32M,,2002-03,,
2001-12,257.72M,,,,,-86.23M,,366.99M,-27.25M,,,-45.54M,435.19M,-85.24M,,217.19M,,-469.19M,22.56M,108.52M,,,2001-12,-600.59M,,-600.59M,,,-5.82M,-656.41M,2001-12,,,279.28M,67.33M,,67.33M,,,,,,17.04M,130.77M,,2001-12,48.57M,354.00M,,2001-12,67.33M,,,-251.64M,-422.16M,,2001-12,AOR,Restated
2001-09,412.16M,,,,,590.39M,,327.62M,45.99M,,,-253.46M,-201.64M,36.71M,,-19.07M,,490.19M,-135.32M,170.87M,-304.85M,,2001-09,-604.57M,,-604.57M,,,61.61M,-542.96M,2001-09,,,-246.42M,132.34M,,132.34M,,,,,,4.932M,-340.34M,,2001-09,105.40M,305.62M,,2001-09,132.34M,,,24.01M,108.32M,,2001-09,,
2001-06,412.60M,,,,,-210.86M,,335.60M,-10.38M,,,,-234.96M,-59.59M,,51.48M,,,110.95M,-132.13M,2.185M,,2001-06,-741.66M,,-741.66M,,,-47.89M,-789.54M,2001-06,,,554.35M,107.45M,,107.45M,,,,,,-19.19M,412.99M,,2001-06,20.47M,200.23M,,2001-06,107.45M,,,223.56M,169.39M,,2001-06,,
2001-03,179.51M,,,,,-342.30M,,327.79M,-30.36M,,,,328.41M,-133.88M,,-209.60M,,,1.813M,-13.26M,302.67M,,2001-03,-670.18M,,-670.18M,,,-76.90M,-747.08M,2001-03,,,449.80M,87.88M,,87.88M,,,,,,-5.777M,303.58M,,2001-03,-19.44M,179.76M,,2001-03,87.88M,,,4.069M,144.45M,,2001-03,,
2000-12,112.12M,,,,,161.28M,,319.13M,12.48M,,,-38.12M,0.846M,12.02M,,217.21M,,,-222.98M,17.09M,-510.20M,,2000-12,-691.12M,,-691.12M,,,34.24M,-662.88M,2000-12,,,-355.91M,849.53M,0.026M,849.56M,,,,,,-37.15M,238.63M,,2000-12,3.533M,199.00M,,2000-12,849.53M,,,-290.56M,-564.85M,,2000-12,AOR,Restated
2000-09,613.53M,,,,,96.44M,,316.15M,64.66M,,,-169.88M,-275.26M,56.78M,,26.35M,,,305.40M,113.26M,-77.77M,,2000-09,-555.98M,,-555.98M,,,12.88M,-543.10M,2000-09,,,-178.72M,60.17M,-0.168M,60.00M,,,,,,-8.621M,-344.63M,,2000-09,68.67M,195.42M,,2000-09,60.17M,,,186.60M,160.38M,,2000-09,,
2000-06,341.90M,,,,,-315.13M,,294.05M,10.16M,,,,-250.35M,6.343M,,124.64M,,,210.09M,90.72M,587.97M,,2000-06,-438.31M,,-438.31M,0.918M,,-37.20M,-474.59M,2000-06,,,-262.98M,0.256M,-0.281M,-0.025M,,,,,,-86.66M,-566.96M,,2000-06,-31.88M,126.75M,,2000-06,0.256M,,,99.32M,64.42M,,2000-06,,
2000-03,245.44M,,,,,-35.59M,,407.67M,9.695M,,,,161.77M,-12.14M,,-148.20M,,,-292.50M,-291.07M,,,2000-03,-539.60M,,-539.60M,-0.918M,,-84.91M,-625.43M,2000-03,,,850.62M,0.043M,-414.58M,-414.53M,,,,,,78.44M,293.96M,,2000-03,4.677M,471.09M,,2000-03,0.043M,,,4.648M,340.05M,,2000-03,,
1999-12,122.50M,,,,,226.00M,,1.216B,-145.70M,,,-1.292B,301.00M,-91.20M,,231.80M,28.90M,,-317.90M,152.60M,,,1999-12,-185.20M,-286.60M,-471.80M,1.472B,,-290.00M,710.40M,1999-12,,,-1.08B,-249.80M,-127.30M,-377.10M,,,,,,40.00M,-1.728B,,1999-12,-54.30M,154.00M,,1999-12,-249.80M,,,-311.30M,-764.80M,,1999-12,AOR,Restated
1999-09,615.20M,,,,,-136.10M,,,75.80M,,,347.20M,-374.50M,111.90M,,-8.90M,-10.30M,,491.30M,209.50M,,,1999-09,-635.40M,277.00M,-358.40M,4.80M,,23.90M,-329.70M,1999-09,,,-112.40M,0.10M,-398.00M,-397.90M,,,,,,275.90M,-463.10M,,1999-09,318.80M,767.60M,,1999-09,0.10M,,,172.20M,275.70M,,1999-09,,
1999-06,314.00M,,,,,-31.10M,,-358.00M,46.40M,,,701.80M,-248.80M,-30.30M,,33.50M,19.90M,,191.30M,-34.40M,,,1999-06,-555.80M,0.40M,-555.40M,-1.438B,,-32.80M,-2.027B,1999-06,,,2.022B,0.00,-251.00M,-251.00M,,,,,,-254.90M,1.283B,,1999-06,-105.30M,448.80M,,1999-06,0.00,,,114.00M,202.70M,,1999-06,,
1999-03,224.30M,,,,,-58.80M,,358.00M,33.50M,,,,181.30M,-68.40M,,-321.40M,-38.50M,,-120.70M,-367.70M,,,1999-03,-504.60M,9.20M,-495.40M,-38.60M,,-63.10M,-597.10M,1999-03,,,97.50M,273.70M,-85.70M,188.00M,,,,,,39.00M,90.60M,,1999-03,-317.20M,554.10M,,1999-03,273.70M,,,25.10M,286.40M,,1999-03,,
1998-12,-51.50M,,,,,-18.60M,,,62.20M,,,-1.382B,287.40M,-37.30M,,313.50M,23.30M,,-437.40M,149.50M,,,1998-12,18.20M,-106.10M,-87.90M,235.20M,,-180.90M,-33.60M,1998-12,,,392.30M,-179.50M,-15.30M,-194.80M,,,,,,230.10M,155.40M,,1998-12,-122.40M,312.00M,,1998-12,20.50M,,,-534.50M,-814.60M,,1998-12,AOR,Restated
1998-09,516.00M,,,,,10.00M,,,-15.30M,,,470.10M,-188.70M,74.10M,,3.90M,23.30M,,37.10M,-50.30M,,,1998-09,-416.30M,2.50M,-413.80M,-35.70M,,36.40M,-413.10M,1998-09,,,-198.90M,56.60M,-68.90M,-12.30M,,,,,,98.60M,-346.30M,,1998-09,171.10M,858.30M,,1998-09,56.60M,,,296.50M,311.30M,,1998-09,,
1998-06,270.80M,,,,,-46.50M,,,-14.90M,,,492.80M,-538.30M,17.90M,,127.10M,0.00,,223.90M,-169.40M,,,1998-06,-519.70M,186.50M,-333.20M,-44.90M,,39.70M,-338.40M,1998-06,,,66.60M,222.50M,-40.70M,181.80M,,,,,,0.70M,15.40M,,1998-06,209.80M,687.10M,,1998-06,222.50M,,,192.50M,196.00M,,1998-06,,
