,NetIncome,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2017-12,-1.299B,,,724.00M,724.00M,,154.00M,-696.00M,194.00M,386.00M,-55.00M,-15.00M,-366.00M,-552.00M,541.00M,-699.00M,300.00M,-67.00M,-5.00M,47.00M,-176.00M,-533.00M,-435.00M,-655.00M,-1.09B,213.00M,0.00,213.00M,-464.00M,-464.00M,-2.00M,-1.343B,9.657B,-1.335B,-2.00M,8.32B,213.00M,1.729B,-2.164B,0.00
2017-09,1.061B,,,723.00M,723.00M,,106.00M,-13.00M,-801.00M,449.00M,143.00M,-411.00M,-16.00M,-649.00M,1.241B,-513.00M,301.00M,-17.00M,-24.00M,-143.00M,105.00M,-274.00M,470.00M,-1.898B,-1.428B,270.00M,0.00,270.00M,-461.00M,-461.00M,-1.00M,-1.62B,10.28B,-653.00M,27.00M,9.657B,270.00M,2.466B,-1.996B,0.00
2017-06,803.00M,,,720.00M,720.00M,,188.00M,-89.00M,-244.00M,781.00M,-19.00M,102.00M,140.00M,671.00M,2.382B,-615.00M,329.00M,-119.00M,88.00M,-44.00M,176.00M,-66.00M,-97.00M,-1.123B,-1.22B,83.00M,19.00M,102.00M,-454.00M,-454.00M,0.00,-1.572B,9.535B,744.00M,4.00M,10.28B,83.00M,2.153B,-2.25B,19.00M
2017-03,194.00M,,,710.00M,710.00M,,302.00M,-353.00M,-444.00M,1.224B,-261.00M,-64.00M,234.00M,336.00M,1.542B,-509.00M,234.00M,-71.00M,-18.00M,24.00M,176.00M,-93.00M,737.00M,618.00M,1.355B,,-19.00M,-19.00M,-452.00M,-452.00M,-6.00M,878.00M,7.199B,2.327B,9.00M,9.535B,,2.715B,-1.978B,-19.00M
2016-12,-1.167B,,,779.00M,779.00M,,219.00M,-299.00M,778.00M,-66.00M,365.00M,-77.00M,-17.00M,684.00M,1.664B,-728.00M,327.00M,-99.00M,-119.00M,338.00M,20.00M,-162.00M,-281.00M,251.00M,-30.00M,,31.00M,31.00M,-451.00M,-451.00M,0.00,-450.00M,6.113B,1.052B,-17.00M,7.199B,,685.00M,-966.00M,31.00M
2016-09,283.00M,,,761.00M,761.00M,,272.00M,555.00M,26.00M,-509.00M,-14.00M,-86.00M,-117.00M,-145.00M,1.171B,-595.00M,189.00M,-179.00M,-34.00M,13.00M,266.00M,-161.00M,-682.00M,-502.00M,-1.184B,47.00M,-54.00M,-7.00M,-450.00M,-450.00M,-8.00M,-1.649B,6.764B,-639.00M,-12.00M,6.113B,47.00M,1.589B,-2.271B,-54.00M
2016-06,553.00M,,,754.00M,754.00M,,99.00M,559.00M,379.00M,74.00M,18.00M,-41.00M,-81.00M,908.00M,2.314B,-865.00M,210.00M,-432.00M,-26.00M,-35.00M,-169.00M,-885.00M,5.00M,-95.00M,-90.00M,-2.00M,,-2.00M,-450.00M,-450.00M,1.00M,-541.00M,5.886B,888.00M,-10.00M,6.764B,-2.00M,1.63B,-1.625B,
2016-03,272.00M,,,740.00M,740.00M,,269.00M,14.00M,-74.00M,-608.00M,-145.00M,-152.00M,174.00M,-791.00M,490.00M,-740.00M,173.00M,-210.00M,-12.00M,-13.00M,20.00M,-572.00M,-495.00M,486.00M,-9.00M,-45.00M,,-45.00M,-448.00M,-448.00M,-1.00M,-503.00M,6.46B,-585.00M,11.00M,5.886B,-45.00M,1.211B,-1.706B,
2015-12,-90.00M,,,774.00M,774.00M,,130.00M,150.00M,1.434B,-131.00M,47.00M,114.00M,-465.00M,1.149B,1.835B,-1.064B,287.00M,-335.00M,-256.00M,-76.00M,-435.00M,-1.544B,-470.00M,1.10B,630.00M,-1.00M,0.00,-1.00M,-448.00M,-448.00M,-20.00M,161.00M,6.046B,452.00M,-38.00M,6.46B,-1.00M,1.05B,-1.52B,0.00
2015-09,562.00M,,,758.00M,758.00M,,181.00M,231.00M,508.00M,-424.00M,-119.00M,-57.00M,-134.00M,5.00M,1.506B,-726.00M,106.00M,-330.00M,-71.00M,-67.00M,-124.00M,-882.00M,-292.00M,-50.00M,-342.00M,1.00M,-1.50B,-1.499B,-463.00M,-463.00M,2.00M,-2.302B,7.821B,-1.678B,-97.00M,6.046B,1.00M,391.00M,-683.00M,-1.50B
2015-06,803.00M,,,761.00M,761.00M,,230.00M,377.00M,421.00M,-434.00M,-150.00M,7.00M,73.00M,294.00M,2.088B,-645.00M,200.00M,-226.00M,-33.00M,-4.00M,-225.00M,-707.00M,-1.608B,1.022B,-586.00M,1.00M,-125.00M,-124.00M,-422.00M,-422.00M,1.00M,-1.131B,7.563B,250.00M,8.00M,7.821B,1.00M,2.162B,-3.77B,-125.00M
2015-03,1.248B,,,753.00M,753.00M,,-88.00M,6.00M,-89.00M,-764.00M,365.00M,-186.00M,25.00M,-643.00M,1.27B,-826.00M,167.00M,-222.00M,138.00M,13.00M,124.00M,-384.00M,-790.00M,950.00M,160.00M,32.00M,-400.00M,-368.00M,-424.00M,-424.00M,10.00M,-622.00M,7.341B,264.00M,-42.00M,7.563B,32.00M,1.529B,-2.319B,-400.00M
2014-12,-480.00M,,,795.00M,795.00M,,143.00M,-230.00M,960.00M,-9.00M,-35.00M,-482.00M,-461.00M,-257.00M,1.871B,-997.00M,223.00M,-307.00M,-9.00M,407.00M,-248.00M,-624.00M,191.00M,252.00M,443.00M,21.00M,0.00,21.00M,-423.00M,-423.00M,22.00M,63.00M,6.082B,1.31B,-51.00M,7.341B,21.00M,1.546B,-1.355B,0.00
2014-09,1.021B,,,798.00M,798.00M,,87.00M,142.00M,-420.00M,394.00M,1.00M,147.00M,-118.00M,146.00M,2.052B,-847.00M,239.00M,-246.00M,54.00M,29.00M,-96.00M,-621.00M,603.00M,-958.00M,-355.00M,24.00M,-2.50B,-2.476B,-440.00M,-440.00M,31.00M,-3.24B,7.927B,-1.809B,-36.00M,6.082B,24.00M,2.152B,-1.549B,-2.50B
2014-06,1.002B,,,789.00M,789.00M,,125.00M,288.00M,-169.00M,450.00M,-131.00M,42.00M,-159.00M,321.00M,2.237B,-796.00M,258.00M,-282.00M,116.00M,-461.00M,-551.00M,-1.434B,1.237B,805.00M,2.042B,102.00M,0.00,102.00M,-374.00M,-374.00M,62.00M,1.832B,5.345B,2.635B,-53.00M,7.927B,102.00M,4.799B,-3.562B,0.00
2014-03,925.00M,,,781.00M,781.00M,,115.00M,-37.00M,-270.00M,278.00M,26.00M,-66.00M,145.00M,76.00M,1.897B,-739.00M,184.00M,-101.00M,8.00M,10.00M,-411.00M,-948.00M,-630.00M,944.00M,314.00M,92.00M,-1.738B,-1.646B,-383.00M,-383.00M,64.00M,-1.651B,6.081B,-702.00M,-34.00M,5.345B,92.00M,2.152B,-2.782B,-1.738B
2013-12,1.006B,,,824.00M,824.00M,,105.00M,-157.00M,747.00M,317.00M,25.00M,-216.00M,-71.00M,645.00M,2.58B,-1.283B,251.00M,-372.00M,195.00M,62.00M,-193.00M,-968.00M,229.00M,-1.805B,-1.576B,51.00M,0.00,51.00M,-381.00M,-381.00M,23.00M,-1.883B,6.357B,-271.00M,-5.00M,6.081B,51.00M,2.329B,-2.10B,0.00
2013-09,950.00M,,,779.00M,779.00M,,141.00M,761.00M,547.00M,-166.00M,26.00M,115.00M,-135.00M,1.148B,3.018B,-966.00M,235.00M,-256.00M,-99.00M,45.00M,-493.00M,-1.278B,-654.00M,519.00M,-135.00M,21.00M,-1.00B,-979.00M,-388.00M,-388.00M,6.00M,-1.496B,6.11B,244.00M,3.00M,6.357B,21.00M,1.813B,-2.467B,-1.00B
2013-06,965.00M,,,761.00M,761.00M,,138.00M,22.00M,1.056B,341.00M,-141.00M,75.00M,-48.00M,1.305B,3.169B,-965.00M,182.00M,-292.00M,-24.00M,-35.00M,-499.00M,-1.341B,-1.234B,830.00M,-404.00M,48.00M,-1.00B,-952.00M,-342.00M,-342.00M,21.00M,-1.677B,5.982B,151.00M,-23.00M,6.11B,48.00M,2.467B,-3.701B,-1.00B
2013-03,882.00M,,,723.00M,723.00M,,98.00M,209.00M,308.00M,-745.00M,41.00M,-45.00M,-47.00M,-279.00M,1.424B,-1.232B,176.00M,-160.00M,98.00M,-25.00M,-476.00M,-1.459B,117.00M,387.00M,504.00M,8.00M,0.00,8.00M,0.00,0.00,33.00M,545.00M,5.49B,510.00M,-18.00M,5.982B,8.00M,2.719B,-2.602B,0.00
2012-12,700.00M,,,743.00M,743.00M,,706.00M,-151.00M,1.969B,-1.287B,272.00M,-713.00M,-223.00M,-133.00M,1.966B,-1.55B,277.00M,-193.00M,114.00M,-40.00M,-639.00M,-1.838B,63.00M,300.00M,363.00M,11.00M,0.00,11.00M,-680.00M,-680.00M,21.00M,-285.00M,5.689B,-157.00M,-42.00M,5.49B,11.00M,4.383B,-4.32B,0.00
2012-09,1.702B,,,720.00M,720.00M,,-208.00M,99.00M,-179.00M,-577.00M,-83.00M,-106.00M,-128.00M,-974.00M,1.24B,-1.231B,297.00M,-172.00M,676.00M,-34.00M,-556.00M,-848.00M,891.00M,-387.00M,504.00M,16.00M,0.00,16.00M,-339.00M,-339.00M,9.00M,190.00M,5.103B,582.00M,4.00M,5.689B,16.00M,2.613B,-1.722B,0.00
2012-06,1.709B,,,689.00M,689.00M,,-41.00M,-113.00M,-901.00M,146.00M,-97.00M,61.00M,210.00M,-694.00M,1.663B,-1.166B,298.00M,-204.00M,-146.00M,-11.00M,-943.00M,-1.968B,3.725B,-303.00M,3.422B,18.00M,0.00,18.00M,-300.00M,-300.00M,-430.00M,2.71B,2.864B,2.405B,-166.00M,5.103B,18.00M,6.517B,-2.792B,0.00
2012-03,1.611B,,,661.00M,661.00M,,-18.00M,150.00M,-2.038B,-514.00M,160.00M,79.00M,224.00M,-1.939B,315.00M,-1.129B,245.00M,-40.00M,-63.00M,-11.00M,-578.00M,-1.536B,289.00M,856.00M,1.145B,7.00M,,7.00M,-298.00M,-298.00M,137.00M,991.00M,3.057B,-230.00M,37.00M,2.864B,7.00M,2.502B,-2.213B,
2011-12,1.562B,,,695.00M,695.00M,,27.00M,-1.155B,-211.00M,712.00M,,753.00M,-722.00M,-714.00M,1.442B,-1.425B,432.00M,7.00M,-416.00M,7.038B,-7.606B,-1.977B,-50.00M,729.00M,679.00M,13.00M,,13.00M,,-297.00M,12.00M,407.00M,3.229B,-128.00M,-44.00M,3.057B,13.00M,2.213B,-2.263B,
2011-09,1.154B,,,658.00M,658.00M,,221.00M,-299.00M,-866.00M,702.00M,,91.00M,560.00M,188.00M,2.221B,-995.00M,301.00M,-103.00M,-7.345B,-2.824B,2.599B,-8.264B,-240.00M,-802.00M,-1.042B,14.00M,,14.00M,,-297.00M,9.00M,-1.316B,10.72B,-7.359B,-127.00M,3.229B,14.00M,2.918B,-3.158B,
2011-06,1.022B,,,599.00M,599.00M,,242.00M,62.00M,-665.00M,708.00M,,29.00M,532.00M,666.00M,2.529B,-744.00M,319.00M,-44.00M,-60.00M,-4.297B,4.03B,-752.00M,5.674B,-1.424B,4.25B,38.00M,,38.00M,,-284.00M,34.00M,4.038B,4.869B,5.815B,31.00M,10.72B,38.00M,9.024B,-3.35B,
2011-03,1.243B,,,575.00M,575.00M,,95.00M,-17.00M,-1.185B,307.00M,,-120.00M,-133.00M,-1.148B,765.00M,-760.00M,302.00M,85.00M,13.00M,-6.00M,17.00M,-434.00M,-470.00M,1.46B,990.00M,58.00M,,58.00M,,-281.00M,123.00M,890.00M,3.592B,1.221B,56.00M,4.869B,58.00M,1.305B,-1.775B,
2010-12,988.00M,,,615.00M,615.00M,,124.00M,-983.00M,-581.00M,914.00M,,-23.00M,650.00M,335.00M,2.062B,-921.00M,368.00M,65.00M,-15.00M,-1.00M,191.00M,-378.00M,-849.00M,621.00M,-228.00M,103.00M,,103.00M,,-280.00M,64.00M,-341.00M,2.265B,1.343B,-16.00M,3.592B,103.00M,2.396B,-3.245B,
2010-09,801.00M,,,565.00M,565.00M,,169.00M,-241.00M,-1.066B,1.392B,,-413.00M,-171.00M,-499.00M,1.036B,-641.00M,346.00M,10.00M,-941.00M,3.00M,291.00M,-942.00M,-1.068B,-194.00M,-1.262B,109.00M,,109.00M,,-277.00M,-56.00M,-1.486B,3.597B,-1.392B,60.00M,2.265B,109.00M,1.677B,-2.745B,
2010-06,733.00M,,,562.00M,562.00M,,82.00M,-723.00M,-376.00M,481.00M,,273.00M,163.00M,-182.00M,1.195B,-486.00M,402.00M,199.00M,-67.00M,10.00M,-79.00M,-220.00M,-202.00M,-467.00M,-669.00M,58.00M,,58.00M,,-265.00M,26.00M,-850.00M,3.538B,125.00M,-66.00M,3.597B,58.00M,2.933B,-3.135B,
2010-03,236.00M,,,554.00M,554.00M,,94.00M,-373.00M,-644.00M,747.00M,,140.00M,-38.00M,-168.00M,716.00M,-538.00M,353.00M,184.00M,-103.00M,-1.00M,234.00M,-55.00M,-2.018B,331.00M,-1.687B,26.00M,,26.00M,,-262.00M,-13.00M,-1.936B,4.867B,-1.275B,-54.00M,3.538B,26.00M,1.318B,-3.336B,
2009-12,206.00M,,,703.00M,703.00M,,75.00M,50.00M,516.00M,-45.00M,,-40.00M,516.00M,997.00M,1.981B,-974.00M,443.00M,222.00M,-10.00M,-2.135B,2.242B,-434.00M,-449.00M,-198.00M,-647.00M,39.00M,,39.00M,,-263.00M,3.00M,-868.00M,4.188B,679.00M,0.00,4.867B,39.00M,1.422B,1.815B,
2009-09,392.00M,,,561.00M,561.00M,,3.00M,831.00M,354.00M,-155.00M,,-268.00M,-3.00M,759.00M,1.715B,-614.00M,345.00M,39.00M,-9.00M,746.00M,-36.00M,432.00M,-1.406B,-321.00M,-1.727B,19.00M,,19.00M,,-261.00M,6.00M,-1.963B,3.991B,184.00M,13.00M,4.188B,19.00M,1.84B,-6.932B,
2009-06,360.00M,,,538.00M,538.00M,,-47.00M,1.511B,867.00M,-990.00M,,-159.00M,-172.00M,1.057B,1.908B,-439.00M,246.00M,26.00M,0.00,614.00M,-76.00M,345.00M,-38.00M,-1.586B,-1.624B,31.00M,,31.00M,,-252.00M,-4.00M,-1.849B,3.566B,404.00M,21.00M,3.991B,31.00M,4.211B,-2.47B,
2009-03,-131.00M,,,534.00M,534.00M,,106.00M,1.622B,764.00M,-1.727B,,-179.00M,-94.00M,386.00M,895.00M,-445.00M,208.00M,-13.00M,0.00,717.00M,23.00M,503.00M,1.497B,-1.779B,-282.00M,,,,,-253.00M,,-535.00M,2.736B,863.00M,-33.00M,3.566B,,4.818B,-5.10B,
2008-12,663.00M,,,527.00M,527.00M,,297.00M,131.00M,547.00M,-105.00M,,-35.00M,-633.00M,-95.00M,1.392B,-1.442B,228.00M,-256.00M,22.00M,3.052B,-3.284B,-1.424B,359.00M,428.00M,787.00M,7.00M,-46.00M,-39.00M,,-253.00M,-37.00M,458.00M,2.138B,426.00M,172.00M,2.736B,7.00M,2.264B,-3.551B,-46.00M
2008-09,876.00M,,,501.00M,501.00M,,-126.00M,461.00M,-371.00M,-233.00M,,111.00M,156.00M,124.00M,1.375B,-931.00M,305.00M,-78.00M,-28.00M,-626.00M,-636.00M,-1.916B,504.00M,2.039B,2.543B,12.00M,-354.00M,-342.00M,,-256.00M,-8.00M,1.937B,782.00M,1.396B,-40.00M,2.138B,12.00M,6.508B,-4.358B,-354.00M
2008-06,1.124B,,,480.00M,480.00M,,56.00M,-682.00M,-145.00M,560.00M,,45.00M,-239.00M,-461.00M,1.199B,-868.00M,327.00M,-70.00M,-92.00M,-1.637B,560.00M,-1.71B,2.228B,-947.00M,1.281B,89.00M,-670.00M,-581.00M,,-221.00M,40.00M,519.00M,777.00M,8.00M,-3.00M,782.00M,89.00M,4.684B,-3.01B,-670.00M
2008-03,922.00M,,,472.00M,472.00M,,128.00M,-455.00M,-864.00M,463.00M,,165.00M,-125.00M,-816.00M,706.00M,-645.00M,122.00M,-180.00M,-19.00M,-771.00M,192.00M,-1.121B,400.00M,554.00M,954.00M,27.00M,-730.00M,-703.00M,,-223.00M,13.00M,41.00M,1.122B,-374.00M,29.00M,777.00M,27.00M,4.474B,-3.52B,-730.00M
2007-12,1.012B,,-38.00M,496.00M,496.00M,,,49.00M,-30.00M,350.00M,,,-52.00M,893.00M,2.525B,-1.10B,106.00M,706.00M,-99.00M,-113.00M,-591.00M,-1.797B,,,645.00M,17.00M,-920.00M,-903.00M,,-228.00M,-64.00M,-550.00M,910.00M,178.00M,34.00M,1.122B,17.00M,,,-920.00M
2007-09,927.00M,,-33.00M,452.00M,452.00M,,,-137.00M,-24.00M,314.00M,,,695.00M,848.00M,2.194B,-737.00M,94.00M,-643.00M,44.00M,8.00M,1.00M,-590.00M,,,-683.00M,88.00M,-468.00M,-380.00M,,-231.00M,46.00M,-1.248B,562.00M,356.00M,-8.00M,910.00M,88.00M,,,-468.00M
2007-06,823.00M,,70.00M,437.00M,437.00M,,,248.00M,43.00M,95.00M,,,171.00M,557.00M,1.887B,-699.00M,102.00M,-597.00M,-21.00M,-36.00M,-740.00M,-1.394B,,,-62.00M,150.00M,-506.00M,-356.00M,,-193.00M,71.00M,-540.00M,607.00M,-47.00M,2.00M,562.00M,150.00M,,,-506.00M
2007-03,816.00M,,1.00M,412.00M,412.00M,,,739.00M,-734.00M,-141.00M,,,256.00M,120.00M,1.349B,-504.00M,106.00M,-398.00M,-153.00M,-62.00M,-14.00M,-627.00M,,,-46.00M,73.00M,-511.00M,-438.00M,,-193.00M,26.00M,-651.00M,530.00M,71.00M,6.00M,607.00M,73.00M,,,-511.00M
2006-12,882.00M,,-110.00M,382.00M,382.00M,,,17.00M,75.00M,343.00M,,,-64.00M,882.00M,2.233B,-972.00M,132.00M,753.00M,-1.00M,-40.00M,-630.00M,-1.511B,,,-259.00M,31.00M,-350.00M,-319.00M,,-195.00M,10.00M,-763.00M,553.00M,-41.00M,18.00M,530.00M,31.00M,,,-350.00M
2006-09,769.00M,,16.00M,418.00M,418.00M,,,597.00M,-147.00M,-29.00M,,,-6.00M,415.00M,1.618B,-619.00M,121.00M,-498.00M,-93.00M,-25.00M,-520.00M,-1.136B,,,15.00M,34.00M,-447.00M,-413.00M,,-196.00M,39.00M,-555.00M,648.00M,-73.00M,-22.00M,553.00M,34.00M,,,-447.00M
2006-06,1.046B,,84.00M,402.00M,402.00M,,,-299.00M,-137.00M,140.00M,,,205.00M,-91.00M,1.441B,-599.00M,111.00M,-488.00M,-419.00M,-35.00M,108.00M,-834.00M,,,942.00M,96.00M,-1.673B,-1.577B,,-167.00M,19.00M,-783.00M,806.00M,-176.00M,18.00M,648.00M,96.00M,,,-1.673B
2006-03,840.00M,,10.00M,400.00M,400.00M,,,-463.00M,-618.00M,216.00M,,,122.00M,-743.00M,507.00M,-485.00M,208.00M,-277.00M,,-42.00M,4.00M,-315.00M,,,60.00M,253.00M,-738.00M,-485.00M,,-168.00M,101.00M,-492.00M,1.108B,-300.00M,-2.00M,806.00M,253.00M,,,-738.00M
2005-12,846.00M,,89.00M,364.00M,364.00M,,-20.00M,-449.00M,226.00M,219.00M,,,-266.00M,-296.00M,983.00M,-741.00M,190.00M,650.00M,-1.00M,-81.00M,-228.00M,-861.00M,,,854.00M,70.00M,-645.00M,-575.00M,,-169.00M,,110.00M,967.00M,232.00M,-91.00M,1.108B,70.00M,,,-645.00M
2005-09,667.00M,,24.00M,369.00M,369.00M,,-204.00M,221.00M,-120.00M,77.00M,,,100.00M,278.00M,1.134B,-664.00M,143.00M,-521.00M,-4.00M,856.00M,-1.476B,-1.145B,,,465.00M,134.00M,-200.00M,-66.00M,,-169.00M,,230.00M,749.00M,219.00M,-1.00M,967.00M,134.00M,,,-200.00M
2005-06,760.00M,,-45.00M,372.00M,372.00M,,204.00M,-514.00M,-119.00M,140.00M,,,19.00M,-474.00M,817.00M,-607.00M,173.00M,-434.00M,-8.00M,-857.00M,723.00M,-576.00M,,,503.00M,124.00M,-482.00M,-358.00M,,-139.00M,,6.00M,517.00M,247.00M,-15.00M,749.00M,124.00M,,,-482.00M
2005-03,581.00M,,-68.00M,372.00M,372.00M,,,-228.00M,-555.00M,96.00M,,,-19.00M,-706.00M,179.00M,-403.00M,131.00M,-272.00M,,1.00M,-672.00M,-943.00M,,,1.151B,154.00M,-357.00M,-203.00M,,-141.00M,,807.00M,445.00M,43.00M,29.00M,517.00M,154.00M,,,-357.00M
2004-12,551.00M,,-30.00M,342.00M,342.00M,,,-506.00M,-166.00M,729.00M,,,166.00M,223.00M,1.086B,-768.00M,295.00M,-473.00M,284.00M,,-1.005B,-1.194B,,,150.00M,180.00M,-139.00M,41.00M,,-139.00M,,52.00M,417.00M,-56.00M,84.00M,445.00M,180.00M,,,-139.00M
2004-09,498.00M,,-25.00M,352.00M,352.00M,,275.00M,-1.602B,-304.00M,252.00M,,,74.00M,-1.58B,-480.00M,-518.00M,97.00M,-421.00M,-279.00M,-3.839B,4.533B,-6.00M,,,684.00M,30.00M,-150.00M,-120.00M,,-141.00M,,423.00M,467.00M,-63.00M,13.00M,417.00M,30.00M,,,-150.00M
