,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2017-03,175.00M,275.00M,450.00M,601.00M,1.004B,1.711B,955.30M,246.70M,,158.50M,3.616B,3.412B,3.197B,62.91B,-16.67B,46.24B,52.50M,52.50M,3.758B,310.50M,2.171B,,58.11B,61.73B,,2017-03,1.117B,1.078B,2.195B,239.70M,,572.00M,3.478B,4.050B,,4.050B,342.00M,342.00M,1.087B,7.914B,1.870B,16.72B,,16.72B,11.98B,,12.71B,586.20M,344.80M,24.60M,1.60M,,,2017-03,3.328B,8.194B,6.336B,-171.00M,17.69B,,2017-03,AOR,Restated
2016-12,210.50M,138.70M,349.20M,705.10M,1.091B,1.917B,967.30M,405.40M,193.00M,156.60M,6.034B,3.444B,3.184B,62.04B,-16.40B,45.64B,52.50M,52.50M,3.742B,289.10M,2.085B,,57.43B,63.47B,,2016-12,1.688B,1.048B,2.736B,227.20M,,673.00M,3.918B,4.591B,,4.591B,343.20M,343.20M,1.600B,9.498B,1.831B,17.38B,,17.38B,11.88B,,12.66B,614.10M,316.20M,23.10M,0.00,,,2016-12,3.328B,7.892B,6.333B,-156.30M,17.40B,,2016-12,AOR,Restated
2016-09,212.20M,279.20M,491.40M,628.40M,1.125B,2.095B,1.025B,204.60M,,107.40M,5.949B,3.468B,3.651B,60.60B,-16.34B,44.26B,52.50M,52.50M,3.790B,311.70M,1.894B,,55.49B,61.44B,,2016-09,1.340B,666.20M,2.006B,230.20M,,750.00M,3.113B,3.863B,,3.863B,341.60M,341.60M,1.338B,7.779B,1.858B,17.32B,,17.32B,11.82B,,12.52B,497.00M,240.00M,21.10M,,,,2016-09,3.328B,7.809B,6.33B,-145.80M,17.32B,,2016-09,AOR,Restated
2016-06,246.80M,306.90M,553.70M,692.40M,1.061B,2.088B,1.362B,217.70M,,106.50M,4.439B,3.517B,3.510B,67.08B,-19.65B,47.44B,52.50M,52.50M,3.828B,298.50M,2.004B,,58.88B,63.32B,,2016-06,1.242B,814.00M,2.056B,227.00M,,651.00M,3.416B,4.067B,,4.067B,335.80M,335.80M,1.184B,7.870B,1.852B,17.54B,,17.54B,12.40B,,13.17B,496.60M,166.80M,18.70M,,,,2016-06,3.328B,8.851B,6.325B,-117.90M,18.39B,,2016-06,AOR,Restated
2016-03,190.40M,264.50M,454.90M,651.20M,943.00M,1.876B,1.352B,217.30M,,102.30M,4.146B,3.812B,3.806B,66.43B,-19.60B,46.83B,52.50M,52.50M,3.842B,328.90M,2.175B,,58.34B,62.49B,,2016-03,1.220B,899.50M,2.119B,237.60M,,719.00M,2.535B,3.254B,,3.254B,358.10M,358.10M,1.253B,7.222B,1.824B,17.75B,,17.75B,12.13B,,13.01B,569.90M,207.60M,15.20M,,,,2016-03,3.325B,8.625B,6.310B,-133.80M,18.13B,,2016-03,AOR,Restated
2015-12,176.40M,386.80M,563.20M,615.90M,1.022B,1.640B,1.339B,279.70M,,115.20M,4.072B,3.723B,3.904B,65.48B,-19.35B,46.13B,52.50M,52.50M,3.856B,321.80M,2.107B,,57.61B,61.68B,,2015-12,1.418B,979.10M,2.397B,226.90M,,675.00M,1.957B,2.632B,,2.632B,346.60M,346.60M,1.506B,7.108B,1.806B,17.74B,,17.74B,11.73B,,12.62B,583.30M,179.10M,13.20M,,,,2015-12,3.324B,8.398B,6.296B,-127.10M,17.89B,,2015-12,AOR,Restated
2015-09,178.00M,315.00M,493.00M,662.00M,1.071B,1.853B,1.105B,241.00M,,105.00M,4.548B,4.036B,4.008B,64.83B,-19.59B,45.24B,53.00M,53.00M,3.888B,353.00M,2.069B,,56.55B,61.10B,,2015-09,1.274B,748.00M,2.022B,236.00M,,750.00M,1.858B,2.608B,,2.608B,335.00M,335.00M,1.857B,7.058B,1.944B,17.60B,,17.60B,11.42B,,12.29B,535.00M,201.00M,10.00M,,,,2015-09,3.322B,8.204B,6.282B,-109.00M,17.70B,,2015-09,AOR,Restated
2015-06,195.00M,356.00M,551.00M,815.00M,1.068B,1.92B,1.16B,297.00M,,125.00M,4.225B,4.718B,3.651B,64.60B,-19.59B,45.01B,91.00M,91.00M,4.037B,363.00M,2.188B,,56.71B,60.94B,,2015-06,1.236B,749.00M,1.985B,232.00M,,708.00M,2.214B,2.922B,,2.922B,335.00M,335.00M,1.176B,6.65B,2.038B,17.76B,,17.76B,11.43B,,12.51B,509.00M,174.00M,8.00M,,,,2015-06,3.321B,7.945B,6.27B,-102.00M,17.43B,,2015-06,AOR,Restated
2015-03,190.00M,293.00M,483.00M,725.00M,1.083B,1.889B,1.192B,277.00M,,137.00M,4.116B,5.834B,3.71B,65.31B,-20.50B,44.81B,91.00M,91.00M,4.123B,365.00M,2.278B,,55.92B,60.04B,,2015-03,1.283B,846.00M,2.129B,227.00M,,740.00M,2.566B,3.306B,,3.306B,335.00M,335.00M,1.131B,7.128B,1.969B,16.78B,,16.78B,11.19B,,12.25B,598.00M,156.00M,7.00M,,,,2015-03,3.317B,7.776B,6.251B,-103.00M,17.24B,,2015-03,AOR,Restated
2014-12,162.50M,385.60M,548.10M,637.20M,1.073B,1.835B,1.317B,370.40M,,126.60M,4.478B,5.073B,3.215B,63.61B,-19.97B,43.64B,52.50M,52.50M,4.168B,294.20M,2.131B,521.60M,55.07B,59.54B,,2014-12,1.258B,863.50M,2.122B,238.30M,,744.00M,3.102B,3.846B,,3.846B,323.90M,323.90M,1.436B,7.967B,1.951B,16.01B,,16.01B,10.89B,,11.79B,629.50M,130.90M,4.30M,,,,2014-12,3.313B,7.407B,6.203B,-103.10M,16.82B,,2014-12,AOR,Restated
2014-09,194.00M,318.00M,512.00M,671.00M,1.096B,1.855B,1.205B,259.00M,,145.00M,4.111B,5.688B,3.283B,63.12B,-20.06B,43.06B,91.00M,91.00M,4.179B,228.00M,1.944B,,53.81B,57.92B,,2014-09,1.259B,769.00M,2.028B,219.00M,,750.00M,2.913B,3.663B,,3.663B,315.00M,315.00M,1.232B,7.457B,1.923B,15.68B,,15.68B,10.51B,,11.62B,414.00M,120.00M,4.00M,,,,2014-09,3.312B,7.47B,6.191B,-105.00M,16.87B,,2014-09,AOR,Restated
2014-06,190.00M,377.00M,567.00M,774.00M,1.12B,1.926B,1.219B,307.00M,,158.00M,4.323B,5.642B,2.886B,62.06B,-19.79B,42.27B,91.00M,91.00M,4.263B,224.00M,2.056B,,53.30B,57.62B,,2014-06,1.228B,692.00M,1.92B,240.00M,,750.00M,3.256B,4.006B,,4.006B,306.00M,306.00M,1.128B,7.60B,1.908B,15.60B,,15.60B,10.46B,,11.56B,411.00M,115.00M,4.00M,,,,2014-06,3.308B,7.222B,6.155B,-104.00M,16.58B,,2014-06,AOR,Restated
2014-03,292.00M,310.00M,602.00M,785.00M,1.081B,1.943B,1.214B,276.00M,,175.00M,4.335B,5.552B,2.836B,61.09B,-19.56B,41.53B,91.00M,91.00M,4.27B,266.00M,2.162B,,52.70B,57.04B,,2014-03,1.213B,803.00M,2.016B,220.00M,,700.00M,2.244B,2.944B,,2.944B,302.00M,302.00M,1.037B,6.519B,1.853B,16.48B,,16.48B,10.45B,,11.41B,456.00M,137.00M,3.00M,,,,2014-03,3.305B,7.076B,6.144B,-109.00M,16.42B,,2014-03,AOR,Restated
2013-12,118.00M,353.00M,471.00M,746.00M,1.017B,1.86B,1.423B,316.00M,,80.00M,4.31B,5.47B,2.471B,60.28B,-19.29B,41.00B,91.00M,91.00M,4.305B,297.00M,2.038B,,52.10B,56.41B,,2013-12,1.266B,822.00M,2.088B,245.00M,,700.00M,1.606B,2.306B,,2.306B,299.00M,299.00M,1.174B,6.112B,1.835B,16.83B,,16.83B,10.30B,,11.27B,415.00M,177.00M,1.00M,,,,2013-12,3.303B,6.766B,6.131B,-115.00M,16.08B,,2013-12,AOR,Restated
2013-09,147.00M,288.00M,435.00M,657.00M,1.089B,1.856B,1.44B,334.00M,,81.00M,4.317B,4.06B,2.489B,59.04B,-19.17B,39.87B,91.00M,91.00M,3.919B,314.00M,1.414B,,50.65B,54.96B,,2013-09,1.044B,590.00M,1.634B,219.00M,,700.00M,1.884B,2.584B,,2.584B,298.00M,298.00M,957.00M,5.692B,1.736B,16.20B,,16.20B,9.871B,,10.76B,986.00M,182.00M,1.00M,,,,2013-09,3.299B,6.664B,6.105B,-306.00M,15.76B,,2013-09,AOR,Restated
2013-06,117.00M,298.00M,415.00M,725.00M,1.149B,1.931B,1.574B,417.00M,,98.00M,4.622B,4.033B,2.173B,58.36B,-18.93B,39.42B,91.00M,91.00M,3.804B,317.00M,1.581B,,50.36B,54.98B,,2013-06,987.00M,680.00M,1.667B,254.00M,,688.00M,2.669B,3.357B,,3.357B,297.00M,297.00M,944.00M,6.519B,1.734B,15.80B,,15.80B,9.691B,,10.58B,1.044B,181.00M,0.00,,,,2013-06,3.296B,6.47B,6.084B,-313.00M,15.54B,,2013-06,AOR,Restated
2013-03,179.00M,261.00M,440.00M,679.00M,1.017B,1.869B,1.52B,315.00M,,91.00M,4.397B,3.986B,2.078B,58.08B,-18.94B,39.13B,91.00M,91.00M,3.853B,341.00M,1.651B,,50.15B,54.55B,,2013-03,1.004B,727.00M,1.731B,241.00M,,646.00M,2.335B,2.981B,,2.981B,299.00M,299.00M,923.00M,6.175B,1.727B,15.90B,,15.90B,9.556B,,10.47B,1.049B,185.00M,0.00,,,,2013-03,3.291B,6.37B,6.066B,-306.00M,15.42B,,2013-03,AOR,Restated
2012-12,279.00M,324.00M,603.00M,685.00M,1.027B,1.871B,1.519B,317.00M,,88.00M,4.589B,3.945B,1.819B,57.45B,-18.69B,38.76B,91.00M,91.00M,3.823B,368.00M,1.627B,,49.78B,54.37B,,2012-12,1.169B,747.00M,1.916B,269.00M,,657.00M,2.495B,3.152B,,3.152B,316.00M,316.00M,1.17B,6.823B,1.696B,15.59B,,15.59B,9.252B,,10.19B,1.075B,214.00M,0.00,,,,2012-12,3.289B,6.236B,6.049B,-337.00M,15.24B,,2012-12,AOR,Restated
2012-09,443.00M,278.00M,721.00M,1.645B,,1.904B,1.462B,209.00M,,103.00M,4.648B,3.943B,3.191B,57.46B,-19.33B,38.13B,90.00M,90.00M,3.879B,390.00M,1.397B,,49.20B,53.84B,,2012-09,988.00M,512.00M,1.50B,249.00M,,,3.488B,3.488B,,3.488B,295.00M,295.00M,1.263B,6.795B,1.535B,14.96B,,14.96B,8.905B,,9.828B,1.611B,224.00M,0.00,,,,2012-09,3.286B,6.444B,6.03B,-454.00M,15.31B,,2012-09,AOR,Restated
2012-06,297.00M,297.00M,594.00M,1.633B,,1.808B,1.494B,179.00M,,126.00M,4.483B,3.862B,3.02B,56.78B,-18.96B,37.83B,90.00M,90.00M,3.899B,439.00M,1.405B,,48.94B,53.42B,,2012-06,906.00M,617.00M,1.523B,281.00M,,,3.191B,3.191B,,3.191B,293.00M,293.00M,1.119B,6.407B,1.523B,15.32B,,15.32B,8.627B,,9.561B,1.729B,259.00M,1.00M,,,,2012-06,3.284B,6.185B,6.013B,-475.00M,15.01B,,2012-06,AOR,Restated
2012-03,286.00M,217.00M,503.00M,1.626B,,1.717B,1.418B,185.00M,,75.00M,4.214B,3.836B,2.923B,56.22B,-18.79B,37.43B,90.00M,90.00M,3.951B,425.00M,1.499B,,48.69B,52.90B,,2012-03,978.00M,679.00M,1.657B,237.00M,,,3.03B,3.03B,,3.03B,,,1.418B,6.342B,1.50B,15.34B,,15.34B,8.493B,,9.416B,1.739B,239.00M,1.00M,,,,2012-03,3.28B,6.05B,5.998B,-472.00M,14.86B,,2012-03,AOR,Restated
2011-12,221.00M,294.00M,515.00M,690.00M,1.07B,1.834B,1.292B,283.00M,,65.00M,4.182B,3.78B,3.121B,55.67B,-18.70B,36.97B,76.00M,76.00M,3.219B,403.00M,1.346B,,48.04B,52.22B,,2011-12,1.095B,717.00M,1.812B,279.00M,967.00M,683.00M,1.433B,3.083B,,3.083B,289.00M,289.00M,1.148B,6.611B,1.472B,15.08B,,15.08B,8.227B,,9.201B,1.801B,195.00M,1.00M,,,,2011-12,3.274B,5.89B,5.97B,-470.00M,14.66B,,2011-12,AOR,Restated
2011-09,546.00M,240.00M,786.00M,1.721B,,1.938B,1.173B,173.00M,62.00M,78.00M,4.374B,3.88B,3.105B,55.10B,-18.68B,36.42B,76.00M,76.00M,3.138B,316.00M,1.135B,,46.81B,51.19B,,2011-09,1.003B,501.00M,1.504B,235.00M,,,2.546B,2.546B,,2.546B,280.00M,280.00M,1.119B,5.684B,1.441B,15.18B,,15.18B,8.108B,,9.086B,1.718B,133.00M,,60.00M,,,2011-09,3.271B,5.81B,5.952B,-380.00M,14.65B,,2011-09,AOR,Restated
2011-06,417.00M,311.00M,728.00M,1.792B,,2.197B,1.305B,172.00M,,93.00M,4.754B,3.87B,2.714B,54.67B,-18.60B,36.06B,76.00M,76.00M,3.247B,343.00M,1.264B,,46.00B,50.75B,,2011-06,969.00M,597.00M,1.566B,282.00M,,,2.71B,2.71B,,2.71B,284.00M,284.00M,1.045B,5.887B,1.429B,15.56B,,15.56B,7.716B,,8.713B,1.79B,124.00M,,60.00M,,,2011-06,3.266B,5.103B,5.932B,-362.00M,13.94B,,2011-06,AOR,Restated
2011-03,625.00M,366.00M,991.00M,1.647B,,2.05B,1.328B,157.00M,,,4.789B,3.835B,2.48B,54.10B,-18.33B,35.77B,76.00M,76.00M,1.559B,359.00M,1.347B,,45.77B,50.56B,,2011-03,884.00M,669.00M,1.553B,248.00M,,,3.129B,3.129B,,3.129B,,,1.059B,5.989B,1.413B,15.63B,,15.63B,7.49B,,8.483B,1.863B,138.00M,,60.00M,,,2011-03,3.263B,4.973B,5.916B,-373.00M,13.78B,,2011-03,AOR,Restated
2010-12,294.00M,416.00M,710.00M,1.769B,,2.312B,1.448B,145.00M,,401.00M,5.016B,21.91B,2.758B,53.74B,-18.07B,35.67B,76.00M,76.00M,3.257B,,1.079B,410.00M,45.44B,50.46B,,2010-12,1.061B,702.00M,1.763B,281.00M,,,,2.655B,,2.655B,448.00M,448.00M,1.371B,6.518B,,15.50B,,15.50B,7.359B,,8.154B,1.893B,,,60.00M,1.535B,,2010-12,3.257B,4.842B,5.904B,-381.00M,13.62B,,2010-12,AOR,Restated
2010-09,1.09B,326.00M,1.416B,1.722B,,1.981B,1.409B,155.00M,,181.00M,5.421B,3.867B,2.571B,52.93B,-17.93B,35.00B,76.00M,76.00M,3.254B,488.00M,910.00M,,44.47B,49.89B,,2010-09,884.00M,470.00M,1.354B,255.00M,,,2.752B,2.752B,,2.752B,,447.00M,1.34B,6.148B,1.296B,16.00B,,16.00B,6.928B,,7.732B,1.729B,167.00M,0.00,60.00M,,,2010-09,3.252B,4.887B,5.881B,-364.00M,13.66B,,2010-09,AOR,Restated
2010-06,912.00M,298.00M,1.21B,1.776B,,2.50B,1.577B,152.00M,,354.00M,5.793B,21.50B,2.431B,52.40B,-17.68B,34.72B,76.00M,76.00M,3.225B,,985.00M,408.00M,44.14B,49.94B,,2010-06,863.00M,570.00M,1.433B,284.00M,,,,2.516B,,2.516B,,,1.545B,5.778B,,16.30B,,16.30B,6.671B,,7.943B,2.107B,,1.00M,60.00M,1.457B,,2010-06,3.248B,4.533B,5.86B,-372.00M,13.27B,,2010-06,AOR,Restated
2010-03,927.00M,238.00M,1.165B,1.48B,98.00M,2.116B,1.566B,239.00M,,430.00M,5.516B,21.32B,2.765B,52.01B,-17.49B,34.53B,76.00M,76.00M,3.298B,,1.077B,449.00M,44.11B,49.62B,,2010-03,954.00M,621.00M,1.575B,254.00M,,,,2.316B,,2.316B,,,1.37B,5.515B,,16.28B,,16.28B,6.587B,,7.829B,2.153B,,0.00,61.00M,1.457B,,2010-03,3.244B,4.597B,5.847B,-364.00M,13.32B,,2010-03,AOR,Restated
2009-12,490.00M,363.00M,853.00M,584.00M,,1.597B,1.661B,211.00M,,434.00M,4.756B,21.08B,3.031B,51.68B,-17.34B,34.34B,76.00M,76.00M,3.288B,,946.00M,343.00M,43.59B,48.35B,,2009-12,1.158B,632.00M,1.79B,287.00M,,,,1.867B,,1.867B,0.00,0.00,1.383B,5.327B,,15.76B,,15.76B,6.42B,,7.583B,2.189B,,,61.00M,1.382B,,2009-12,3.239B,4.451B,5.824B,-374.00M,13.14B,,2009-12,AOR,Restated
2009-09,877.00M,259.00M,1.136B,600.00M,63.00M,1.029B,1.567B,243.00M,,204.00M,4.479B,3.821B,3.251B,51.16B,-17.34B,33.82B,76.00M,76.00M,1.364B,379.00M,774.00M,1.94B,42.71B,47.19B,,2009-09,1.004B,470.00M,1.474B,232.00M,,,1.892B,1.892B,,1.892B,,,1.389B,4.987B,1.197B,15.71B,,15.71B,5.824B,,6.952B,2.168B,150.00M,0.00,61.00M,,,2009-09,3.235B,4.407B,5.826B,-404.00M,13.06B,,2009-09,AOR,Restated
