,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2014-03,170.82M,1.521M,,1.521M,,,249.22M,249.22M,25.09M,,,9.863M,39.71M,,,,,,187.69M,187.69M,-30.01M,653.90M,,-1.537B,-300.84M,-1.236B,,284.43M,36.83M,-1.195B,,-7.724M,-7.724M,0.00,,0.00,,6.014M,1.915M,0.205M,,4.709B,-540.50M,,4.169B,,0.00,,-7.724M,,,,,AOR,Restated
2013-12,290.25M,-180.08M,,-180.08M,,,266.18M,266.18M,131.08M,0.00,,4.433M,18.63M,,,,,,17.60M,109.42M,0.232M,640.15M,,-670.51M,-205.45M,-328.13M,,342.56M,46.27M,-278.19M,,-459.92M,-459.92M,,,,,9.914M,3.881M,-446.37M,,4.793B,-84.41M,0.143M,4.709B,,,0.00,-459.92M,,,,,AOR,Restated
2013-09,343.32M,-99.64M,,-99.64M,,,253.04M,253.04M,45.18M,0.00,,10.65M,-50.81M,,,,,,-102.30M,-102.30M,1.611M,401.05M,,-318.57M,-318.57M,0.00,,559.67M,74.88M,315.48M,,-57.57M,-57.57M,,,,,29.53M,11.22M,-16.86M,,4.094B,699.67M,-0.038M,4.793B,,,0.00,-57.57M,,,,,AOR,Restated
2013-06,-8.72M,-96.68M,,-96.68M,,,304.64M,304.64M,-96.64M,437.58M,,3.888M,37.39M,,,,,,-19.99M,-19.99M,-16.66M,544.80M,,-281.62M,-281.62M,0.00,,-1.297B,-132.00M,-1.694B,,2.288B,2.288B,,,,,26.18M,-2.21M,2.312B,,2.931B,1.163B,-0.177M,4.094B,,,7.497B,-5.209B,,,,,AOR,Restated
2013-03,212.23M,-11.26M,,-11.26M,,,230.17M,230.17M,46.57M,,,10.76M,60.78M,,,,,,159.13M,159.13M,-21.92M,686.46M,,-310.93M,-310.93M,0.00,,-1.049B,1.268M,-1.365B,,-8.479M,-8.479M,,,,,10.89M,0.388M,2.748M,,3.606B,-675.53M,0.228M,2.931B,,,,-8.479M,,,,,AOR,Restated
2012-12,240.53M,-1.111M,,-1.111M,,,221.26M,221.26M,-25.86M,0.00,,2.37M,-7.661M,,,,,,-601.42M,-459.86M,,-22.17M,,-263.41M,-263.41M,,0.00,-250.82M,1.304M,-528.06M,,1.493B,1.493B,,,,,33.45M,-2.83M,1.069B,,3.088B,518.56M,-0.06M,3.606B,,,1.50B,-7.491M,,-270.04M,-457.58M,,AOR,Restated
2012-09,-163.33M,-69.56M,,-69.56M,,,235.40M,235.40M,326.40M,0.00,,6.758M,37.23M,,,,,,313.08M,313.08M,,685.98M,,-261.74M,-261.74M,,0.00,-899.06M,-40.89M,-1.202B,,990.35M,990.35M,,,,,11.55M,4.685M,1.007B,,2.596B,490.87M,1.074M,3.088B,,,1.00B,-9.65M,,26.18M,150.14M,,AOR,Restated
2012-06,225.60M,8.424M,,8.424M,,,299.12M,299.12M,65.09M,0.00,,7.017M,-21.59M,,,,,,-94.14M,-94.14M,,489.51M,,-251.26M,-251.26M,,0.00,-914.05M,-14.92M,-1.180B,,1.890B,1.890B,,,,,44.10M,-4.839M,1.929B,,1.359B,1.238B,-1.036M,2.596B,,,1.90B,-10.49M,,230.07M,193.22M,,AOR,Restated
2012-03,360.13M,-110.06M,,-110.06M,,,208.70M,208.70M,3.597M,,,23.18M,0.259M,,,,,,372.75M,372.75M,,858.55M,,-168.93M,-168.93M,,-76.96M,139.13M,-2.484M,-109.24M,,-8.458M,-8.458M,,,,,5.751M,1.045M,-1.662M,,609.11M,747.65M,1.909M,1.359B,,,,-8.458M,,13.79M,114.23M,,AOR,Restated
2011-12,319.23M,,,,,,216.31M,216.31M,16.96M,,14.09M,5.618M,-319.47M,,,,,,606.97M,383.27M,,582.72M,,-166.25M,-166.25M,,-1.464B,1.108B,1.213B,779.16M,,-920.67M,-920.67M,,,,,13.07M,1.903M,-1.798B,,1.046B,-436.61M,0.205M,609.11M,,,0.00,-920.67M,,-30.78M,-351.51M,,AOR,Restated
