,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2014-06,1.329B,1.329B,899.10M,430.30M,204.30M,,,23.40M,1.00M,-22.40M,,204.30M,226.00M,1.00M,23.40M,-22.40M,-0.70M,-22.40M,202.90M,65.50M,137.40M,-6.40M,,0.60M,131.60M,55.40M,226.30M,,2014-06,1.30,,1.30,1.23,,2014-06,,,1.28,2014-06,105.50M,107.00M,0.42,,2014-06,AOR,Restated
2014-03,1.268B,1.268B,841.00M,426.50M,203.20M,,,23.20M,0.70M,-22.50M,,203.20M,223.30M,0.70M,23.20M,-22.50M,0.20M,-22.50M,201.00M,63.90M,137.10M,4.10M,,0.20M,141.40M,48.20M,224.20M,,2014-03,1.28,,1.28,1.32,,2014-03,,,1.27,2014-03,106.20M,107.40M,0.42,,2014-03,AOR,Restated
2013-12,1.223B,1.223B,795.40M,427.80M,204.70M,,,23.70M,0.70M,-23.00M,,204.70M,223.10M,0.70M,23.70M,-23.00M,3.20M,-23.00M,203.30M,66.20M,137.10M,-1.00M,,0.10M,136.20M,50.40M,227.00M,,2013-12,1.28,,1.28,1.27,,2013-12,,,1.27,2013-12,106.30M,107.30M,0.42,,2013-12,AOR,Restated
2013-09,1.192B,1.192B,774.50M,417.40M,207.80M,,,23.70M,0.60M,-23.10M,,207.80M,209.60M,0.60M,23.70M,-23.10M,1.30M,-23.10M,187.80M,60.40M,127.40M,-1.70M,,0.10M,125.80M,50.00M,211.50M,,2013-09,1.19,,1.19,1.17,,2013-09,,,1.18,2013-09,106.40M,107.30M,0.42,,2013-09,AOR,Restated
2013-06,1.360B,1.360B,887.80M,472.10M,300.20M,,,25.90M,0.20M,-25.70M,,300.20M,171.90M,0.20M,25.90M,-25.70M,-39.40M,-25.70M,106.80M,36.20M,70.60M,-14.70M,,-0.40M,55.50M,56.70M,132.70M,,2013-06,0.65,,0.65,0.51,,2013-06,,,0.65,2013-06,107.50M,108.50M,0.37,,2013-06,AOR,Restated
2013-03,1.204B,1.204B,803.50M,400.20M,202.50M,,,27.60M,0.80M,-26.80M,,202.50M,197.70M,0.80M,27.60M,-26.80M,-0.50M,-26.80M,170.40M,45.80M,124.60M,-30.30M,,0.50M,94.80M,54.10M,198.00M,,2013-03,1.12,,1.12,0.85,,2013-03,,,1.12,2013-03,110.60M,111.20M,0.37,,2013-03,AOR,Restated
2012-12,1.287B,1.287B,845.40M,441.50M,213.10M,,,27.60M,0.50M,-27.10M,,213.10M,228.40M,0.50M,27.60M,-27.10M,-1.10M,-27.10M,200.20M,61.70M,138.50M,-93.70M,,3.70M,48.50M,55.40M,227.80M,,2012-12,1.26,,1.26,0.43,,2012-12,,,1.25,2012-12,112.30M,112.90M,0.37,,2012-12,AOR,Restated
2012-09,1.262B,1.262B,848.30M,413.20M,198.20M,,,27.90M,0.50M,-27.40M,,198.20M,215.00M,0.50M,27.90M,-27.40M,,-27.40M,187.60M,59.30M,128.30M,-214.30M,,0.20M,-85.80M,54.80M,215.50M,,2012-09,1.15,,1.15,-0.77,,2012-09,,,1.141,2012-09,111.90M,112.60M,0.37,,2012-09,AOR,Restated
2012-06,1.436B,1.436B,939.60M,496.60M,253.20M,,,27.30M,0.20M,-27.10M,,253.20M,243.40M,0.20M,27.30M,-27.10M,-0.20M,-27.10M,216.10M,80.00M,136.10M,-7.60M,,0.60M,129.10M,66.30M,243.40M,,2012-06,1.20,,1.20,1.14,,2012-06,,,1.20,2012-06,112.10M,112.70M,0.33,,2012-06,AOR,Restated
2012-03,1.369B,1.369B,879.80M,489.00M,242.00M,,,28.70M,1.20M,-27.50M,,242.00M,247.00M,1.20M,28.70M,-27.50M,8.10M,-27.50M,227.60M,73.20M,154.40M,-508.50M,,0.90M,-353.20M,64.70M,256.30M,,2012-03,1.38,,1.38,-3.15,,2012-03,,,1.376,2012-03,112.30M,112.90M,0.33,,2012-03,AOR,Restated
2011-12,1.310B,1.310B,856.00M,454.20M,222.30M,,,29.10M,0.20M,-28.90M,,222.30M,231.90M,0.20M,29.10M,-28.90M,2.90M,-28.90M,205.90M,71.10M,134.80M,-2.50M,,0.80M,133.10M,66.00M,235.00M,,2011-12,1.19,,1.19,1.17,,2011-12,,,1.18,2011-12,112.40M,112.80M,0.28,,2011-12,AOR,Restated
2011-09,1.336B,1.336B,893.90M,442.20M,223.40M,,,28.10M,0.90M,-27.20M,,223.40M,218.80M,0.90M,28.10M,-27.20M,0.70M,-27.20M,192.30M,61.70M,130.60M,-9.50M,,0.50M,121.60M,63.30M,220.40M,,2011-09,1.09,,1.09,1.01,,2011-09,,,1.09,2011-09,118.80M,119.40M,0.28,,2011-09,AOR,Restated
2011-06,1.163B,1.163B,816.40M,346.60M,106.80M,,0.90M,24.00M,0.50M,-23.50M,,106.80M,239.80M,0.50M,24.00M,-23.50M,-0.30M,-23.50M,216.00M,78.70M,137.30M,-4.40M,,0.60M,133.50M,63.50M,240.00M,,2011-06,1.11,,1.105,1.06,,2011-06,,,1.095,2011-06,123.50M,124.50M,0.25,,2011-06,AOR,Restated
2011-03,1.413B,1.413B,896.60M,516.20M,281.00M,,-0.30M,27.10M,1.30M,-25.80M,,281.00M,235.20M,1.30M,27.10M,-25.80M,-0.30M,-25.80M,209.10M,67.50M,141.60M,-2.40M,,0.30M,139.50M,52.30M,236.20M,,2011-03,1.12,,1.122,1.10,,2011-03,,,1.112,2011-03,125.00M,126.00M,0.25,,2011-03,AOR,Restated
2010-12,1.438B,1.438B,940.50M,498.00M,255.20M,,-0.90M,20.40M,0.40M,-20.00M,,255.20M,242.80M,0.40M,20.40M,-20.00M,-0.90M,-20.00M,221.90M,70.80M,151.10M,,,0.00,151.10M,49.40M,242.30M,,2010-12,1.19,,1.195,1.19,,2010-12,,,1.185,2010-12,125.90M,126.80M,0.25,,2010-12,AOR,Restated
2010-09,1.405B,1.405B,881.10M,524.30M,255.20M,,-0.40M,17.80M,0.60M,-17.20M,,255.20M,269.10M,0.60M,17.80M,-17.20M,-0.40M,-17.20M,251.50M,87.60M,163.90M,,,0.00,163.90M,46.80M,269.30M,,2010-09,1.28,,1.282,1.28,,2010-09,,,1.272,2010-09,126.80M,127.70M,0.25,,2010-09,AOR,Restated
2010-06,974.80M,974.80M,642.20M,332.60M,50.40M,,0.70M,17.60M,0.40M,-17.20M,,50.40M,282.20M,0.40M,17.60M,-17.20M,-0.90M,-17.20M,264.10M,93.30M,170.80M,,,0.00,151.40M,44.70M,281.70M,,2010-06,1.33,,1.326,1.18,,2010-06,,,1.306,2010-06,126.60M,127.90M,0.22,,2010-06,AOR,Restated
2010-03,1.330B,1.330B,820.00M,509.50M,245.00M,,-0.50M,18.10M,0.40M,-17.70M,,245.00M,264.50M,0.40M,18.10M,-17.70M,-0.50M,-17.70M,246.30M,80.10M,166.20M,,,0.00,166.20M,40.20M,264.40M,,2010-03,1.27,,1.273,1.27,,2010-03,,,1.263,2010-03,128.80M,130.00M,0.22,,2010-03,AOR,Restated
