,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-09,1.084B,1.084B,,66.22M,66.22M,,,22.43M,-22.43M,7.835M,74.06M,22.43M,-22.43M,0.393M,-22.43M,220.33M,41.63M,178.70M,0.024M,,,,178.72M,178.70M,,242.76M,,1.59,0.00,,,1.59,1.59,,1.55,0.00,,,1.55,1.55,,112.59M,114.97M,0.16,,AOR,Restated
2018-06,1.085B,1.085B,,65.77M,65.77M,,,22.41M,-22.41M,2.847M,68.62M,22.41M,-22.41M,0.416M,-22.41M,226.86M,42.47M,184.39M,0.032M,,,,184.42M,184.39M,,249.28M,,1.63,0.00,,,1.63,1.63,,1.59,0.00,,,1.59,1.59,,113.35M,115.65M,0.16,,AOR,Restated
2018-03,1.070B,1.070B,,57.73M,57.73M,,,21.62M,-21.62M,9.095M,66.82M,21.62M,-21.62M,0.295M,-21.62M,212.84M,39.13M,173.71M,-0.111M,,,,173.60M,173.71M,,234.46M,,1.52,0.00,,,1.52,1.52,,1.49,0.00,,,1.49,1.49,,114.18M,116.75M,0.16,,AOR,Restated
2017-12,1.057B,1.057B,,60.34M,60.34M,,,21.71M,-21.71M,9.126M,69.47M,21.71M,-21.71M,0.002M,-21.71M,216.37M,-811.00M,1.027B,-0.03M,,,,1.027B,1.027B,,238.08M,,8.93,0.00,,,8.93,8.93,,8.71,0.00,,,8.71,8.71,,115.05M,117.99M,0.15,,AOR,Restated
2017-09,1.046B,1.046B,,60.69M,60.69M,,,20.97M,-20.97M,2.33M,63.02M,20.97M,-20.97M,0.331M,-20.97M,220.61M,67.26M,153.35M,-0.012M,,,,153.33M,153.35M,,241.58M,,1.32,0.00,,,1.32,1.32,,1.29,0.00,,,1.29,1.29,,115.92M,118.44M,0.15,,AOR,Restated
2017-06,1.029B,1.029B,,59.76M,59.76M,,,21.16M,-21.16M,2.665M,62.43M,21.16M,-21.16M,0.393M,-21.16M,201.93M,61.56M,140.36M,-0.09M,,,,140.27M,140.36M,,223.08M,,1.20,0.00,,,1.20,1.20,,1.18,0.00,,,1.18,1.18,,116.65M,119.10M,0.15,,AOR,Restated
2017-03,1.024B,1.024B,,54.13M,54.13M,,,20.70M,-20.70M,8.21M,62.34M,20.70M,-20.70M,0.416M,-20.70M,191.74M,54.56M,137.18M,-3.637M,,,,133.54M,137.18M,,212.44M,,1.16,-0.03,,,1.16,1.13,,1.14,-0.03,,,1.14,1.11,,117.77M,120.43M,0.15,,AOR,Restated
2016-12,975.34M,975.34M,,50.87M,50.87M,,,20.48M,-20.48M,8.114M,58.98M,20.48M,-20.48M,0.412M,-20.48M,175.98M,51.17M,124.81M,10.64M,,,,135.45M,124.81M,,196.47M,,1.05,0.09,,,1.05,1.14,,1.03,0.09,,,1.03,1.12,,118.57M,121.41M,0.14,,AOR,Restated
2016-09,989.77M,989.77M,,55.85M,55.85M,,,20.38M,-20.38M,1.955M,57.80M,20.38M,-20.38M,0.16M,-20.38M,201.46M,59.55M,141.91M,9.959M,,,,151.87M,141.91M,,221.84M,,1.19,0.08,,,1.19,1.27,,1.16,0.08,,,1.16,1.25,,119.48M,121.91M,0.14,,AOR,Restated
2016-06,991.88M,991.88M,,55.47M,55.47M,,,23.11M,-23.11M,2.379M,57.85M,23.11M,-23.11M,0.382M,-23.11M,199.34M,60.05M,139.29M,-0.865M,,,,138.43M,139.29M,,222.45M,,1.16,-0.01,,,1.16,1.15,,1.13,-0.01,,,1.13,1.13,,120.48M,122.75M,0.14,,AOR,Restated
2016-03,977.63M,977.63M,,50.18M,50.18M,,,19.37M,-19.37M,7.252M,57.43M,19.37M,-19.37M,0.421M,-19.37M,195.45M,61.87M,133.57M,-9.541M,,,,124.03M,133.57M,,214.82M,,1.10,-0.08,,,1.10,1.02,,1.08,-0.08,,,1.08,1.01,,121.48M,123.31M,0.14,,AOR,Restated
2015-12,933.86M,933.86M,,49.36M,49.36M,,,19.22M,-19.22M,7.367M,56.72M,19.22M,-19.22M,0.133M,-19.22M,175.98M,56.85M,119.13M,13.83M,,,,132.96M,119.13M,,195.20M,,0.97,0.11,,,0.97,1.08,,0.95,0.11,,,0.95,1.07,,123.01M,124.82M,0.135,,AOR,Restated
2015-09,947.15M,947.15M,,54.00M,54.00M,,,19.25M,-19.25M,2.177M,56.18M,19.25M,-19.25M,0.692M,-19.25M,199.01M,65.15M,133.86M,11.53M,,,,145.39M,133.86M,,218.26M,,1.08,0.09,,,1.08,1.17,,1.06,0.09,,,1.06,1.15,,124.46M,126.14M,0.135,,AOR,Restated
2015-06,950.61M,950.61M,,53.28M,53.28M,,,19.11M,-19.11M,2.312M,55.59M,19.11M,-19.11M,0.691M,-19.11M,196.72M,64.20M,132.53M,-5.417M,,,,127.11M,132.53M,,215.84M,,1.05,-0.04,,,1.05,1.01,,1.04,-0.04,,,1.04,1.00,,125.82M,127.44M,0.135,,AOR,Restated
2015-03,934.44M,934.44M,,49.61M,49.61M,,,19.06M,-19.06M,5.753M,55.36M,19.06M,-19.06M,0.669M,-19.06M,194.48M,63.70M,130.78M,-9.13M,,,,121.65M,130.78M,,213.54M,,1.03,-0.07,,,1.03,0.96,,1.02,-0.07,,,1.02,0.95,,127.12M,128.59M,0.135,,AOR,Restated
2014-12,630.66M,630.66M,,32.43M,32.43M,,-0.258M,19.01M,-19.01M,16.34M,48.52M,19.01M,-19.01M,0.309M,-19.01M,196.28M,64.39M,131.88M,,,,,146.75M,132.06M,,215.28M,,1.03,,,,1.031,1.14,,1.01,,,,1.011,1.12,,128.30M,130.27M,0.1267,,AOR,Restated
2014-09,974.49M,974.49M,,,,,,19.03M,-19.03M,55.40M,55.40M,19.03M,-19.03M,0.668M,-19.03M,197.05M,64.64M,132.41M,,,,,132.41M,132.41M,,216.08M,,1.02,,,,1.02,1.02,,1.00,,,,1.00,1.00,,129.97M,131.88M,0.1267,,AOR,Restated
2014-06,991.04M,991.04M,,,,,,19.04M,-19.04M,56.40M,56.40M,19.04M,-19.04M,0.663M,-19.04M,193.81M,62.89M,130.92M,,,,,130.92M,130.92M,,212.85M,,1.00,,,,1.00,1.00,,0.98,,,,0.98,0.98,,131.49M,133.31M,0.1267,,AOR,Restated
2014-03,1.024B,1.024B,,52.72M,52.72M,,-2.493M,19.05M,-19.05M,1.743M,51.97M,19.05M,-19.05M,0.481M,-19.05M,197.54M,64.68M,132.86M,,,,,132.86M,134.53M,,216.59M,,1.00,,,,1.013,1.00,,0.98,,,,0.9924,0.98,,133.16M,135.04M,0.1267,,AOR,Restated
2013-12,652.91M,652.91M,,48.84M,48.84M,,0.00,19.08M,-19.08M,1.761M,50.60M,19.08M,-19.08M,0.174M,-19.08M,198.62M,77.07M,121.55M,,,,,142.82M,121.55M,,217.70M,,0.90,,,,0.90,1.06,,0.88,,,,0.88,1.04,,135.06M,136.79M,0.1133,,AOR,Restated
2013-09,932.79M,932.79M,,,,,,19.68M,-19.68M,53.24M,53.24M,19.68M,-19.68M,0.676M,-19.68M,190.85M,58.73M,132.12M,,,,,132.12M,132.12M,,210.53M,,0.97,,,,0.97,0.97,,0.95,,,,0.95,0.95,,136.90M,139.01M,0.1133,,AOR,Restated
2013-06,950.34M,950.34M,,,,,,20.83M,-20.83M,55.29M,55.29M,20.83M,-20.83M,0.611M,-20.83M,192.78M,58.88M,133.90M,,,,,133.90M,133.90M,,213.61M,,0.97,,,,0.97,0.97,,0.96,,,,0.96,0.96,,138.29M,139.95M,0.1133,,AOR,Restated
2013-03,958.22M,958.22M,,50.19M,50.19M,,0.00,20.88M,-20.88M,2.12M,52.31M,20.88M,-20.88M,0.47M,-20.88M,173.06M,53.43M,119.63M,,,,,119.63M,119.63M,,193.94M,,0.8533,,,,0.8533,0.8533,,0.8467,,,,0.8467,0.8467,,140.37M,141.85M,0.1133,,AOR,Restated
2012-12,928.70M,928.70M,,49.52M,49.52M,,-2.329M,21.35M,-21.35M,2.019M,49.21M,21.35M,-21.35M,0.323M,-21.35M,220.59M,69.60M,150.99M,,,,,150.99M,152.58M,,241.94M,,1.057,,,,1.068,1.057,,1.04,,,,1.051,1.04,,141.59M,143.52M,0.10,,AOR,Restated
2012-09,877.10M,877.10M,,,,,,19.84M,-19.84M,48.43M,48.43M,19.84M,-19.84M,0.557M,-19.84M,188.79M,58.12M,130.67M,,,,,130.67M,130.67M,,208.63M,,0.9133,,,,0.9133,0.9133,,0.9067,,,,0.9067,0.9067,,142.69M,144.51M,0.10,,AOR,Restated
2012-06,885.80M,885.80M,,,,,,19.65M,-19.65M,47.76M,47.76M,19.65M,-19.65M,0.376M,-19.65M,186.38M,57.39M,128.99M,,,,,128.99M,128.99M,,206.03M,,0.8867,,,,0.8867,0.8867,,0.88,,,,0.88,0.88,,145.34M,146.74M,0.10,,AOR,Restated
2012-03,897.92M,897.92M,,46.20M,46.20M,,,19.67M,-19.67M,1.921M,48.12M,19.67M,-19.67M,0.321M,-19.67M,170.24M,51.56M,118.68M,,,,,118.68M,118.68M,,189.91M,,0.7933,,,,0.7933,0.7933,,0.78,,,,0.78,0.78,,150.10M,151.89M,0.10,,AOR,Restated
2011-12,833.55M,833.55M,,,15.78M,,,19.53M,-19.53M,-134.28M,-118.50M,19.53M,-19.53M,0.471M,-19.53M,177.09M,54.25M,122.84M,0.00,,,,122.84M,122.84M,,196.62M,,0.8067,0.00,,,0.8067,0.8067,,0.7933,0.00,,,0.7933,0.80,,151.95M,153.67M,0.08,,AOR,Restated
2011-09,837.24M,837.24M,53.67M,,53.67M,,,19.51M,-19.51M,45.27M,98.94M,19.51M,-19.51M,0.625M,-19.51M,190.12M,58.87M,131.26M,0.144M,,,,131.40M,131.26M,,209.63M,,0.8333,0.00,,,0.8333,0.8333,,0.8333,0.00,,,0.8333,0.8333,,157.17M,157.97M,0.08,,AOR,Restated
2011-06,877.33M,877.33M,56.00M,,56.00M,,,19.41M,-19.41M,46.51M,102.51M,19.41M,-19.41M,0.608M,-19.41M,209.05M,66.27M,142.78M,0.00,,,,142.78M,142.78M,,228.46M,,0.86,0.00,,,0.86,0.86,,0.8467,0.00,,,0.8467,0.8467,,166.52M,169.25M,0.0489,,AOR,Restated
2011-03,829.27M,829.27M,55.52M,,55.52M,,,19.46M,-19.46M,50.19M,105.70M,19.46M,-19.46M,0.447M,-19.46M,147.52M,46.78M,100.74M,-0.599M,,,,100.14M,100.74M,,166.98M,,0.58,-0.0067,,,0.58,0.5733,,0.5667,-0.0067,,,0.5667,0.56,,175.23M,178.52M,0.0711,,AOR,Restated
2010-12,847.17M,847.17M,,,72.87M,,,18.99M,-18.99M,-122.31M,-49.44M,18.99M,-18.99M,0.413M,-18.99M,187.48M,56.73M,130.76M,5.853M,,,,136.61M,130.76M,,206.47M,,0.7267,0.0333,,,0.7267,0.76,,0.7133,0.0333,,,0.7133,0.7467,,179.42M,181.86M,0.0711,,AOR,Restated
2010-09,838.89M,838.89M,31.07M,,31.07M,,,18.79M,-18.79M,43.15M,74.23M,18.79M,-18.79M,0.679M,-18.79M,208.31M,70.22M,138.10M,-23.57M,,,,114.53M,138.10M,,227.10M,,0.76,-0.1267,,,0.76,0.6333,,0.7533,-0.1267,,,0.7533,0.6267,,181.75M,183.05M,0.0711,,AOR,
2010-06,835.90M,835.90M,32.04M,,32.04M,,,18.81M,-18.81M,45.29M,77.34M,18.81M,-18.81M,0.716M,-18.81M,180.72M,60.87M,119.85M,6.201M,,,,126.05M,119.85M,,199.53M,,0.4311,0.0222,,,0.4311,0.4533,,0.4311,0.0222,,,0.4311,0.4533,,276.81M,278.79M,0.0667,,AOR,Restated
2010-03,845.68M,845.68M,31.48M,,31.48M,,,18.94M,-18.94M,152.27M,183.75M,18.94M,-18.94M,-1.35M,-18.94M,174.05M,58.66M,115.39M,6.283M,,,,121.68M,115.39M,,192.99M,,0.6178,0.0356,,,0.6178,0.6533,,0.6178,0.0311,,,0.6178,0.6489,,186.40M,187.23M,0.0667,,AOR,Restated
2009-12,779.33M,779.33M,33.77M,,33.77M,,,19.01M,-19.01M,-272.82M,-239.05M,19.01M,-19.01M,140.84M,-19.01M,161.66M,54.91M,106.74M,6.584M,,,,113.33M,106.74M,,180.66M,,0.5733,0.0333,,,0.5733,0.6067,,0.5733,0.0333,,,0.5733,0.6067,,186.28M,186.28M,0.0667,,AOR,Restated
2009-09,762.32M,762.32M,33.78M,,33.78M,,,20.34M,-20.34M,143.65M,177.43M,20.34M,-20.34M,-40.03M,-20.34M,143.76M,45.20M,98.56M,2.242M,,,,100.80M,98.56M,,164.10M,,0.5289,0.0133,,,0.5289,0.5422,,0.5289,0.0133,,,0.5289,0.5422,,186.18M,186.40M,0.0622,,AOR,Restated
2009-06,819.73M,819.73M,30.64M,,30.64M,,,14.92M,-14.92M,149.44M,180.08M,14.92M,-14.92M,-37.64M,-14.92M,160.41M,46.29M,114.12M,,,,,114.12M,114.12M,,175.32M,,0.6133,0.00,,,0.6133,0.6133,,0.6133,0.00,,,0.6133,0.6133,,186.15M,186.15M,0.0622,,AOR,Restated
2009-03,809.64M,809.64M,31.61M,,31.61M,,,15.66M,-15.66M,158.46M,190.06M,15.66M,-15.66M,-46.00M,-15.66M,126.30M,49.59M,76.71M,,,,,76.71M,76.71M,,141.96M,,0.4044,0.00,,,0.4044,0.4044,,0.4044,0.00,,,0.4044,0.4044,,188.72M,188.72M,0.0622,,AOR,Restated
2008-12,709.96M,709.96M,30.27M,,30.27M,,,16.73M,-16.73M,-250.67M,-220.40M,16.73M,-16.73M,106.97M,-16.73M,159.73M,45.08M,114.65M,,,,,137.21M,114.65M,,176.46M,,0.5956,0.1156,,,0.5956,0.7111,,0.5956,0.1156,,,0.5956,0.7111,,191.17M,191.17M,0.0622,,AOR,Restated
2008-09,753.35M,753.35M,34.51M,,34.51M,,,15.51M,-15.51M,146.46M,180.98M,15.51M,-15.51M,-92.23M,-15.51M,105.63M,42.48M,63.15M,,,,,63.15M,63.15M,,121.14M,,0.3244,0.00,,,0.3244,0.3244,,0.32,0.00,,,0.32,0.32,,195.79M,197.58M,0.0622,,AOR,Restated
2008-06,860.49M,860.49M,38.07M,,38.07M,,,14.82M,-14.82M,141.60M,179.67M,14.82M,-14.82M,-7.545M,-14.82M,184.61M,50.88M,133.73M,,,,,133.73M,133.73M,,199.42M,,0.6622,0.00,,,0.6622,0.6622,,0.6533,0.00,,,0.6533,0.6533,,201.29M,204.07M,0.0622,,AOR,Restated
2008-03,872.43M,872.43M,38.74M,,38.74M,,,16.17M,-16.17M,144.70M,183.43M,16.17M,-16.17M,-2.518M,-16.17M,178.43M,60.26M,118.17M,,,,,118.17M,118.17M,,194.60M,,0.5778,0.00,,,0.5778,0.5778,,0.5733,0.00,,,0.5733,0.5733,,204.27M,206.72M,0.0622,,AOR,Restated
2007-12,840.54M,840.54M,37.84M,,37.84M,,,16.19M,-16.19M,141.78M,179.62M,16.19M,-16.19M,1.071M,-16.19M,198.89M,66.54M,132.34M,,,,,132.34M,132.34M,,215.08M,,0.6356,0.00,,,0.6356,0.6356,,0.6267,0.00,,,0.6267,0.6267,,207.36M,210.55M,0.0578,,AOR,Restated
2007-09,863.61M,863.61M,38.65M,,38.65M,,,17.58M,-17.58M,142.97M,181.62M,17.58M,-17.58M,2.03M,-17.58M,201.58M,68.70M,132.88M,,,,,132.88M,132.88M,,219.16M,,0.6356,0.00,,,0.6356,0.6356,,0.6267,0.00,,,0.6267,0.6267,,208.60M,211.64M,0.0578,,AOR,Restated
2007-06,876.57M,876.57M,39.16M,,39.16M,,,16.54M,-16.54M,139.56M,178.72M,16.54M,-16.54M,3.271M,-16.54M,192.04M,64.92M,127.12M,,,,,127.12M,127.12M,,208.58M,,0.5956,0.00,,,0.5956,0.5956,,0.5867,0.00,,,0.5867,0.5867,,213.67M,217.47M,0.0578,,AOR,Restated
2007-03,905.98M,905.98M,,,,,,17.26M,-17.26M,82.72M,82.72M,17.26M,-17.26M,1.534M,-17.26M,204.30M,69.10M,135.19M,,,,,135.19M,135.19M,,221.55M,,0.6178,0.00,,,0.6178,0.6178,,0.6089,0.00,,,0.6089,0.6089,,218.83M,222.03M,0.0578,,AOR,Restated
2006-12,857.10M,857.10M,,,,,,18.07M,-18.07M,82.41M,82.41M,18.07M,-18.07M,9.942M,-18.07M,206.32M,63.88M,142.44M,,,,,142.44M,142.44M,,224.39M,,0.6444,0.00,,,0.6444,0.6444,,0.6356,0.00,,,0.6356,0.6356,,220.48M,223.58M,0.0578,,AOR,Restated
2006-09,837.94M,837.94M,,,,,,21.44M,-21.44M,80.66M,80.66M,21.44M,-21.44M,0.673M,-21.44M,189.27M,60.73M,128.54M,,,,,128.54M,128.54M,,210.71M,,0.5778,0.00,,,0.5778,0.5778,,0.5689,0.00,,,0.5689,0.5689,,222.48M,225.96M,0.0578,,AOR,Restated
2006-06,869.14M,869.14M,,,,,,17.64M,-17.64M,85.56M,85.56M,17.64M,-17.64M,0.733M,-17.64M,194.01M,66.63M,127.38M,,,,,127.38M,127.38M,,211.64M,,0.5689,0.00,,,0.5689,0.5689,,0.56,0.00,,,0.56,0.56,,223.90M,227.46M,0.0578,,AOR,Restated
2006-03,857.01M,857.01M,,,,,,15.99M,-15.99M,84.82M,84.82M,15.99M,-15.99M,7.138M,-15.99M,183.97M,63.70M,120.27M,,,,,120.27M,120.27M,,199.96M,,0.52,0.00,,,0.52,0.52,,0.5156,0.00,,,0.5156,0.5156,,231.30M,233.29M,0.0489,,AOR,Restated
2005-12,769.10M,769.10M,,,,,,15.57M,-15.57M,90.19M,90.19M,15.57M,-15.57M,0.139M,-15.57M,168.45M,42.31M,126.14M,,,,,126.14M,126.14M,,184.01M,,0.5422,0.00,,,0.5422,0.5422,,0.5333,0.00,,,0.5333,0.5333,,232.50M,236.45M,0.0489,,AOR,Restated
2005-09,769.02M,769.02M,,,,,,15.28M,-15.28M,75.47M,75.47M,15.28M,-15.28M,0.253M,-15.28M,181.39M,62.35M,119.05M,,,,,119.05M,119.05M,,196.67M,,0.5067,0.00,,,0.5067,0.5067,,0.5067,0.00,,,0.5067,0.5067,,234.96M,234.96M,0.0489,,AOR,Restated
2005-06,804.80M,804.80M,,,,,,15.35M,-15.35M,80.42M,80.42M,15.35M,-15.35M,13.86M,-15.35M,202.55M,70.18M,132.36M,,,,,132.36M,132.36M,,217.90M,,0.56,0.00,,,0.56,0.56,,0.5556,0.00,,,0.5556,0.5556,,236.37M,238.26M,0.0489,,AOR,Restated
2005-03,782.99M,782.99M,,,,,,14.74M,-14.74M,76.23M,76.23M,14.74M,-14.74M,0.239M,-14.74M,179.14M,61.29M,117.84M,,,,,117.84M,117.84M,,193.87M,,0.4933,0.00,,,0.4933,0.4933,,0.4844,0.00,,,0.4844,0.4844,,238.87M,243.25M,0.0489,,AOR,Restated
2004-12,760.84M,760.84M,,,,,,14.35M,-14.35M,76.12M,76.12M,14.35M,-14.35M,0.182M,-14.35M,175.87M,60.36M,115.51M,,0.00,,,115.51M,115.51M,,190.22M,,0.4756,0.00,0.00,,0.4756,0.4756,,0.4667,0.00,-0.0002,,0.4667,0.4667,,242.87M,247.51M,0.0489,,AOR,Restated
2004-09,774.20M,774.20M,,,,,,14.06M,-14.06M,68.08M,68.08M,14.06M,-14.06M,0.065M,-14.06M,189.46M,65.33M,124.13M,,0.00,,,124.13M,124.13M,,203.52M,,0.5067,0.00,0.00,,0.5067,0.5067,,0.4978,0.00,0.00,,0.4978,0.4978,,245.00M,249.37M,0.0489,,AOR,Restated
2004-06,763.96M,763.96M,,,,,,14.08M,-14.08M,77.96M,77.96M,14.08M,-14.08M,0.066M,-14.08M,173.23M,56.67M,116.56M,,0.00,,,116.56M,116.56M,,187.31M,,0.4667,0.00,0.00,,0.4667,0.4667,,0.4622,0.00,0.00,,0.4622,0.4622,,249.77M,252.18M,0.0489,,AOR,Restated
2004-03,772.50M,772.50M,,,,,,14.00M,-14.00M,79.20M,79.20M,14.00M,-14.00M,0.10M,-14.00M,182.20M,62.70M,119.50M,,-7.10M,,,112.40M,119.50M,,196.20M,,0.4711,-0.0267,0.00,,0.4711,0.4444,,0.4667,-0.0267,-0.0281,,0.4667,0.44,,252.90M,255.45M,0.0489,,AOR,Restated
2003-12,747.60M,747.60M,,,,,,13.91M,-13.91M,80.22M,80.22M,13.91M,-13.91M,-0.104M,-13.91M,169.67M,57.68M,111.99M,,0.00,,,111.99M,111.99M,,183.58M,,0.4444,0.00,0.00,,0.4444,0.4444,,0.44,0.00,0.00,,0.44,0.44,,251.43M,254.12M,0.0489,,AOR,Restated
2003-09,730.48M,730.48M,,,,,,13.99M,-13.99M,74.40M,74.40M,13.99M,-13.99M,-0.003M,-13.99M,164.23M,56.34M,107.88M,,0.00,,,107.88M,107.88M,,178.21M,,0.4222,0.00,0.00,,0.4222,0.4222,,0.4178,0.00,0.00,,0.4178,0.4178,,255.51M,258.23M,0.0489,,AOR,Restated
2003-06,734.41M,734.41M,,,,,,14.07M,-14.07M,76.82M,76.82M,14.07M,-14.07M,0.415M,-14.07M,166.54M,56.95M,109.59M,,0.00,,,109.59M,109.59M,,180.60M,,0.4222,0.00,0.00,,0.4222,0.4222,,0.4222,0.00,0.00,,0.4222,0.4222,,259.56M,259.56M,0.04,,AOR,Restated
2003-03,718.52M,718.52M,,,,,,14.14M,-14.14M,78.56M,78.56M,14.14M,-14.14M,0.492M,-14.14M,152.67M,52.03M,100.63M,,0.00,,,100.63M,100.63M,,166.81M,,0.3822,0.00,0.00,,0.3822,0.3822,,0.3778,0.00,0.00,,0.3778,0.3778,,263.28M,266.38M,0.04,,AOR,Restated
2002-12,704.91M,704.91M,,,,,,-6.107M,6.107M,,,-6.107M,6.107M,-343.60M,6.107M,590.05M,53.18M,109.04M,,,,,109.04M,109.04M,,583.94M,,0.3956,0.00,,,0.3956,0.3956,,0.3956,0.00,,,0.3956,0.3956,,265.78M,266.18M,0.04,,AOR,Restated
2002-09,721.51M,721.51M,,,,,,11.46M,-11.46M,,,11.46M,-11.46M,153.87M,-11.46M,0.00,61.47M,117.38M,,,1.892M,,117.38M,117.38M,,11.46M,,0.4356,0.00,,,0.4356,0.4356,,0.4356,0.00,,,0.4356,0.4356,,268.20M,268.89M,0.04,,AOR,
