,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,AsOriginallyReported,Restated
2017-07,378.60M,378.60M,211.13M,167.46M,37.29M,37.29M,,5.807M,0.322M,-5.485M,,37.29M,130.17M,0.322M,5.807M,-5.485M,-18.31M,-5.485M,106.38M,36.01M,70.37M,,,70.34M,70.34M,112.19M,,2017-07,0.31,,,2017-07,0.30,,0.30,2017-07,230.31M,237.65M,AOR,Restated
2017-04,373.86M,373.86M,201.36M,172.50M,35.72M,35.72M,,5.869M,0.363M,-5.506M,,35.72M,136.79M,0.363M,5.869M,-5.506M,-0.194M,-5.506M,131.09M,40.54M,90.55M,,,90.55M,90.55M,136.96M,,2017-04,0.39,,,2017-04,0.38,,0.38,2017-04,229.92M,237.14M,AOR,Restated
2017-01,349.53M,349.53M,202.77M,146.76M,37.88M,37.88M,,6.144M,0.384M,-5.76M,,37.88M,108.88M,0.384M,6.144M,-5.76M,-3.021M,-5.76M,100.10M,34.03M,66.07M,,0.00,66.07M,66.07M,106.24M,,2017-01,0.29,,,2017-01,0.28,,0.28,2017-01,229.14M,235.59M,AOR,Restated
2016-10,345.99M,345.99M,200.70M,145.29M,40.47M,40.47M,,5.959M,0.337M,-5.622M,,40.47M,104.82M,0.337M,5.959M,-5.622M,3.332M,-5.622M,102.53M,-64.75M,167.28M,,0.00,167.28M,167.28M,108.49M,,2016-10,0.74,,,2016-10,0.70,,0.70,2016-10,225.44M,237.76M,AOR,Restated
2016-07,332.66M,332.66M,191.20M,141.46M,35.27M,35.27M,,6.61M,0.353M,-6.257M,,35.27M,106.19M,0.353M,6.61M,-6.257M,6.051M,-6.257M,105.98M,21.86M,84.12M,,,84.12M,84.12M,112.60M,,2016-07,0.385,,,2016-07,0.355,,0.355,2016-07,212.96M,230.84M,AOR,Restated
2016-04,347.25M,347.25M,189.60M,157.65M,35.70M,35.70M,,5.702M,0.283M,-5.419M,,35.70M,121.95M,0.283M,5.702M,-5.419M,0.039M,-5.419M,116.57M,41.94M,74.62M,,,74.62M,74.62M,122.27M,,2016-04,0.34,,,2016-04,0.32,,0.32,2016-04,221.09M,236.41M,AOR,Restated
2016-01,299.71M,299.71M,175.09M,124.61M,32.53M,32.53M,,5.57M,0.602M,-4.968M,,32.53M,92.08M,0.602M,5.57M,-4.968M,4.435M,-4.968M,91.55M,32.55M,59.00M,,,59.00M,59.00M,97.12M,,2016-01,0.25,,,2016-01,0.235,,0.235,2016-01,234.61M,249.22M,AOR,Restated
2015-10,288.84M,288.84M,167.98M,120.86M,34.62M,34.62M,,5.724M,0.211M,-5.513M,,34.62M,86.25M,0.211M,5.724M,-5.513M,1.027M,-5.513M,81.76M,29.15M,52.61M,,,52.61M,52.61M,87.48M,,2015-10,0.22,,,2015-10,0.205,,0.205,2015-10,240.31M,254.29M,AOR,Restated
2015-07,282.29M,282.29M,163.51M,118.78M,32.02M,32.02M,,5.606M,0.234M,-5.372M,,32.02M,86.76M,0.234M,5.606M,-5.372M,0.053M,-5.372M,81.45M,24.03M,57.41M,,,57.41M,57.41M,87.05M,,2015-07,0.23,,,2015-07,0.22,,0.22,2015-07,249.46M,260.38M,AOR,Restated
2015-04,297.14M,297.14M,169.72M,127.42M,32.65M,32.65M,,5.917M,0.261M,-5.656M,,32.65M,94.77M,0.261M,5.917M,-5.656M,-0.815M,-5.656M,88.30M,30.73M,57.56M,,,57.56M,57.56M,94.21M,,2015-04,0.23,,,2015-04,0.22,,0.22,2015-04,252.83M,264.25M,AOR,Restated
2015-01,276.26M,276.26M,161.39M,114.87M,34.40M,34.40M,,4.688M,0.183M,-4.505M,,34.40M,80.47M,0.183M,4.688M,-4.505M,4.141M,-4.505M,80.10M,27.91M,52.19M,,,52.19M,52.19M,84.79M,,2015-01,0.205,,,2015-01,0.20,,0.20,2015-01,252.60M,263.74M,AOR,Restated
2014-10,290.39M,290.39M,168.08M,122.31M,39.91M,39.91M,,1.91M,0.139M,-1.771M,,39.91M,82.40M,0.139M,1.91M,-1.771M,1.593M,-1.771M,82.22M,29.61M,52.62M,,,52.62M,52.62M,84.13M,,2014-10,0.21,,,2014-10,0.20,,0.20,2014-10,252.43M,263.03M,AOR,Restated
2014-07,287.45M,287.45M,170.51M,116.94M,41.08M,41.08M,0.00,2.169M,0.118M,-2.051M,,41.08M,75.86M,0.118M,2.169M,-2.051M,0.077M,-2.051M,73.88M,22.84M,51.04M,,,51.04M,51.04M,76.05M,,2014-07,0.205,,,2014-07,0.195,,0.195,2014-07,251.92M,263.27M,AOR,Restated
2014-04,309.72M,309.72M,177.47M,132.25M,40.52M,40.52M,-29.10M,2.104M,0.081M,-2.023M,,40.52M,91.74M,0.081M,2.104M,-2.023M,-28.40M,-2.023M,61.32M,20.44M,40.88M,,,40.88M,60.29M,63.42M,,2014-04,0.16,,,2014-04,0.155,,0.2288,2014-04,251.59M,262.97M,AOR,Restated
2014-01,286.43M,286.43M,174.89M,111.55M,40.06M,40.06M,,2.209M,0.143M,-2.066M,,40.06M,71.48M,0.143M,2.209M,-2.066M,1.17M,-2.066M,70.59M,25.24M,45.34M,,,45.34M,45.34M,72.80M,,2014-01,0.18,,,2014-01,0.175,,0.175,2014-01,251.13M,262.20M,AOR,Restated
2013-10,279.88M,279.88M,172.05M,107.84M,42.88M,42.88M,,2.286M,0.149M,-2.137M,,42.88M,64.96M,0.149M,2.286M,-2.137M,1.423M,-2.137M,64.24M,22.82M,41.42M,,,41.42M,41.42M,66.53M,,2013-10,0.165,,,2013-10,0.16,,0.16,2013-10,250.92M,261.41M,AOR,Restated
2013-07,263.70M,263.70M,160.62M,103.07M,40.02M,40.02M,0.00,2.509M,0.153M,-2.356M,,40.02M,63.05M,0.153M,2.509M,-2.356M,1.466M,-2.356M,62.16M,20.86M,41.30M,,,41.30M,41.30M,64.67M,,2013-07,0.165,,,2013-07,0.16,,0.16,2013-07,250.77M,261.24M,AOR,Restated
2013-04,277.64M,277.64M,162.04M,115.60M,32.78M,32.78M,0.00,2.538M,0.138M,-2.40M,,32.78M,82.81M,0.138M,2.538M,-2.40M,1.592M,-2.40M,82.00M,28.77M,53.24M,,,53.24M,53.24M,84.54M,,2013-04,0.21,,,2013-04,0.205,,0.205,2013-04,250.54M,261.06M,AOR,Restated
2013-01,266.18M,266.18M,169.37M,96.82M,34.05M,34.05M,,2.588M,0.191M,-2.397M,,34.05M,62.77M,0.191M,2.588M,-2.397M,0.744M,-2.397M,61.12M,21.48M,39.64M,,,39.64M,39.64M,63.70M,,2013-01,0.16,,,2013-01,0.155,,0.155,2013-01,249.42M,259.04M,AOR,Restated
2012-10,238.87M,238.87M,133.43M,105.44M,31.08M,31.08M,,2.632M,0.156M,-2.476M,,31.08M,74.36M,0.156M,2.632M,-2.476M,-0.293M,-2.476M,71.59M,25.74M,45.84M,,,45.84M,45.84M,74.22M,,2012-10,0.185,,,2012-10,0.18,,0.18,2012-10,248.60M,256.95M,AOR,Restated
2012-07,226.56M,226.56M,127.13M,99.43M,29.93M,29.93M,0.00,3.113M,0.098M,-3.015M,,29.93M,69.49M,0.098M,3.113M,-3.015M,0.999M,-3.015M,67.48M,22.58M,44.90M,,,44.90M,44.90M,70.59M,,2012-07,0.18,0.00,,2012-07,0.175,0.00,0.175,2012-07,252.20M,259.67M,AOR,Restated
2012-04,244.10M,244.10M,128.84M,115.27M,27.32M,27.32M,0.00,3.008M,0.078M,-2.93M,,27.32M,87.94M,0.078M,3.008M,-2.93M,-0.467M,-2.93M,84.55M,29.08M,55.47M,,,55.47M,55.47M,87.56M,,2012-04,0.22,,,2012-04,0.215,,0.215,2012-04,253.19M,260.90M,AOR,Restated
2012-01,227.90M,227.90M,128.21M,99.70M,27.39M,27.39M,-8.771M,3.033M,0.119M,-2.914M,,27.39M,72.31M,0.119M,3.033M,-2.914M,-7.18M,-2.914M,62.22M,21.61M,40.60M,,,40.60M,46.33M,65.25M,,2012-01,0.16,,,2012-01,0.155,,0.1768,2012-01,256.61M,263.18M,AOR,Restated
2011-10,225.63M,225.63M,130.40M,95.22M,,29.85M,0.564M,2.187M,0.062M,-2.125M,,29.85M,65.38M,0.062M,2.187M,-2.125M,0.564M,-2.125M,63.82M,22.67M,41.15M,,,41.15M,40.79M,66.00M,,2011-10,0.155,0.00,,2011-10,0.155,0.00,0.1536,2011-10,262.86M,267.60M,AOR,Restated
2011-07,215.44M,215.44M,125.86M,89.59M,,26.13M,-1.29M,1.813M,0.12M,-1.693M,,26.13M,63.46M,0.12M,1.813M,-1.693M,0.882M,-1.693M,62.64M,22.12M,40.52M,,,40.52M,41.36M,64.46M,,2011-07,0.15,0.00,,2011-07,0.1475,0.00,0.1505,2011-07,270.10M,276.13M,AOR,Restated
2011-04,236.76M,236.76M,127.85M,108.91M,,26.86M,-0.021M,1.832M,0.159M,-1.673M,,26.86M,82.04M,0.159M,1.832M,-1.673M,-0.021M,-1.673M,80.35M,30.21M,50.14M,,,50.14M,50.15M,82.18M,,2011-04,0.18,0.00,,2011-04,0.175,0.00,0.1750,2011-04,279.23M,284.13M,AOR,Restated
2011-01,207.38M,207.38M,121.48M,85.90M,,25.71M,0.806M,0.417M,0.133M,-0.284M,,25.71M,60.20M,0.133M,0.417M,-0.284M,0.806M,-0.284M,60.72M,22.82M,37.89M,,,37.89M,37.39M,61.13M,,2011-01,0.1175,0.00,,2011-01,0.115,0.00,0.1135,2011-01,324.96M,327.82M,AOR,
2010-10,212.67M,212.67M,123.81M,88.85M,,29.26M,0.504M,0.015M,0.08M,0.065M,,29.26M,59.59M,0.08M,0.015M,0.065M,0.504M,0.065M,60.16M,22.34M,37.82M,,,37.82M,37.51M,60.18M,,2010-10,0.1125,0.00,,2010-10,0.1125,0.00,0.1116,2010-10,334.98M,337.62M,AOR,Restated
2010-07,190.47M,190.47M,104.24M,86.22M,,29.00M,0.436M,0.015M,0.045M,0.03M,,29.00M,57.22M,0.045M,0.015M,0.03M,,0.03M,57.69M,21.45M,36.23M,,,36.23M,35.96M,57.70M,,2010-07,0.1075,0.00,,2010-07,0.105,0.00,0.1042,2010-07,337.14M,340.36M,AOR,Restated
2010-04,220.35M,220.35M,119.85M,100.50M,,28.37M,-0.529M,0.038M,0.025M,-0.013M,,28.37M,72.13M,0.025M,0.038M,-0.013M,-0.529M,-0.013M,71.58M,27.19M,44.39M,,,44.39M,44.72M,71.62M,,2010-04,0.1325,0.00,,2010-04,0.13,0.00,0.1310,2010-04,336.90M,340.59M,AOR,Restated
2010-01,176.60M,176.60M,97.91M,78.69M,,25.46M,-0.102M,0.021M,0.063M,0.042M,,25.46M,53.23M,0.063M,0.021M,0.042M,-0.102M,0.042M,53.17M,17.44M,35.73M,,,35.73M,35.80M,53.19M,,2010-01,0.105,0.00,,2010-01,0.105,0.00,0.1052,2010-01,336.43M,339.71M,AOR,Restated
2009-10,185.46M,185.46M,102.88M,82.58M,,26.09M,0.631M,0.142M,0.071M,-0.071M,,26.09M,56.49M,0.071M,0.142M,-0.071M,0.631M,-0.071M,57.05M,21.78M,35.27M,,,35.27M,34.88M,57.19M,,2009-10,0.105,0.00,,2009-10,0.105,0.00,0.1039,2009-10,336.18M,339.79M,AOR,Restated
2009-07,184.33M,184.33M,104.40M,79.93M,,24.54M,0.997M,0.147M,0.096M,-0.051M,,24.54M,55.39M,0.096M,0.147M,-0.051M,0.997M,-0.051M,56.34M,21.71M,34.63M,0.00,,34.63M,34.01M,56.48M,,2009-07,0.1025,0.00,,2009-07,0.1025,0.00,0.1007,2009-07,335.18M,339.44M,AOR,Restated
2009-04,197.33M,197.33M,111.86M,85.47M,,20.59M,0.536M,0.066M,0.546M,0.48M,,20.59M,64.88M,0.546M,0.066M,0.48M,0.536M,0.48M,65.90M,25.38M,40.51M,1.557M,,42.07M,40.18M,65.96M,,2009-04,0.12,0.005,,2009-04,0.12,0.005,0.1190,2009-04,334.52M,339.13M,AOR,Restated
2009-01,169.86M,169.86M,102.56M,67.29M,,21.72M,-1.798M,0.027M,0.434M,0.407M,,21.72M,45.57M,0.434M,0.027M,0.407M,-1.798M,0.407M,44.18M,17.03M,27.15M,,,27.15M,28.25M,44.20M,,2009-01,0.0825,0.00,,2009-01,0.08,0.00,0.0833,2009-01,333.77M,336.82M,AOR,Restated
2008-10,191.57M,191.57M,112.00M,79.57M,,20.08M,1.254M,,,,,20.08M,59.48M,,,,1.254M,,61.32M,24.07M,37.25M,,,37.25M,36.49M,59.48M,,2008-10,0.1125,0.00,,2008-10,0.11,0.00,0.1078,2008-10,333.13M,341.28M,,
2008-07,206.28M,206.28M,119.19M,87.09M,,21.72M,1.69M,,,,,21.72M,65.37M,,,,1.69M,,68.02M,27.20M,40.82M,,,40.82M,39.81M,65.37M,,2008-07,0.12,0.00,,2008-07,0.1175,0.00,0.1146,2008-07,340.68M,347.71M,,
2008-04,221.15M,221.15M,132.98M,88.17M,,19.48M,0.813M,,,,,19.48M,68.68M,,,,0.813M,,70.87M,24.40M,46.48M,,,46.48M,45.94M,68.68M,,2008-04,0.1325,0.00,,2008-04,0.13,0.00,0.1285,2008-04,348.48M,358.83M,,
2008-01,173.46M,173.46M,104.85M,68.61M,,21.37M,0.882M,,,,,21.37M,47.24M,,,,0.882M,,50.59M,18.56M,32.03M,,,32.03M,31.47M,47.24M,,2008-01,0.09,0.00,,2008-01,0.0875,0.00,0.0860,2008-01,355.21M,365.33M,,
2007-10,183.96M,183.96M,102.22M,81.74M,,25.11M,0.796M,,,,,25.11M,56.63M,,,,0.796M,,60.17M,22.56M,37.61M,,,37.61M,37.11M,56.63M,,2007-10,0.105,0.00,,2007-10,0.1025,0.00,0.1011,2007-10,354.23M,362.74M,,
2007-07,153.98M,153.98M,82.46M,71.52M,,17.66M,0.696M,,,,,17.66M,53.86M,,,,0.696M,,58.35M,21.62M,36.74M,,,36.74M,36.30M,53.86M,,2007-07,0.10,0.00,,2007-07,0.10,0.00,0.0988,2007-07,360.38M,371.67M,,
2007-04,145.65M,145.65M,72.66M,72.99M,,15.76M,1.256M,,,,,15.76M,57.23M,,,,1.256M,,62.02M,23.16M,38.87M,,,38.87M,38.08M,57.23M,,2007-04,0.1075,0.00,,2007-04,0.1025,0.00,0.1004,2007-04,365.08M,375.14M,,
2007-01,128.92M,128.92M,68.54M,60.39M,,15.22M,0.245M,,,,,15.22M,45.16M,,,,0.245M,,48.69M,18.30M,30.39M,,,30.39M,30.24M,45.16M,,2007-01,0.0825,0.00,,2007-01,0.08,0.00,0.0796,2007-01,363.01M,374.73M,,
2006-10,132.12M,132.12M,70.23M,61.89M,,15.00M,0.651M,,,,,15.00M,46.89M,,,,-1.565M,,48.36M,18.01M,30.34M,,,30.34M,29.94M,46.89M,,2006-10,0.085,0.00,,2006-10,0.08,0.00,0.0789,2006-10,362.00M,373.50M,,
2006-07,137.22M,137.22M,74.24M,62.98M,,15.78M,0.135M,,,,,15.78M,47.20M,,,,-4.221M,,45.70M,14.91M,30.79M,0.784M,,31.57M,30.70M,47.20M,,2006-07,0.0825,0.005,,2006-07,0.0825,0.005,0.0823,2006-07,361.63M,372.20M,,
2006-04,149.51M,149.51M,80.05M,69.46M,,16.11M,0.111M,,,,,16.11M,53.35M,,,,-1.467M,,53.69M,20.51M,33.18M,1.53M,,34.71M,33.11M,53.35M,,2006-04,0.0925,0.0025,,2006-04,0.09,0.0025,0.0898,2006-04,361.17M,371.54M,,
2006-01,125.10M,125.10M,74.52M,50.58M,,13.56M,0.753M,,,,,13.56M,37.02M,,,,-0.096M,,38.72M,12.61M,26.12M,-18.26M,,7.853M,25.61M,37.02M,,2006-01,0.0725,-0.05,,2006-01,0.07,-0.05,0.0686,2006-01,361.60M,370.54M,,
2005-10,116.74M,116.74M,69.21M,47.53M,,13.53M,0.638M,,,,,13.53M,34.00M,,,,0.638M,,36.41M,13.75M,22.67M,0.147M,,22.81M,22.27M,34.00M,,2005-10,0.0625,0.00,,2005-10,0.06,0.00,0.0589,2005-10,361.54M,370.92M,,
2005-07,110.58M,110.58M,59.30M,51.28M,,13.67M,0.623M,,,,,13.67M,37.60M,,,,0.623M,,40.04M,14.94M,25.10M,-0.108M,,24.99M,24.71M,37.60M,,2005-07,0.0675,0.00,,2005-07,0.0675,0.00,0.0665,2005-07,361.07M,372.57M,,
2005-04,127.77M,127.77M,68.83M,58.94M,,11.48M,0.701M,,,,,11.48M,47.46M,,,,0.701M,,49.37M,18.66M,30.71M,0.192M,,30.90M,30.28M,47.46M,,2005-04,0.085,0.00,,2005-04,0.0825,0.00,0.0813,2005-04,360.72M,372.40M,,
2005-01,107.70M,107.70M,60.03M,47.67M,,11.17M,0.806M,,,,,11.17M,36.50M,,,,0.806M,,38.34M,14.88M,23.47M,0.087M,,23.55M,22.97M,36.50M,,2005-01,0.065,0.00,,2005-01,0.0625,0.00,0.0612,2005-01,360.49M,372.48M,,
2004-10,104.11M,104.11M,59.38M,44.73M,,9.661M,1.195M,,,,,9.661M,35.07M,,,,1.195M,,37.04M,14.37M,22.67M,,,22.67M,21.94M,35.07M,,2004-10,0.0625,0.00,,2004-10,0.06,0.00,0.0580,2004-10,360.32M,370.54M,,
2004-07,90.29M,90.29M,67.97M,22.33M,,11.70M,0.93M,,,,,-11.43M,33.76M,,,,0.93M,,35.27M,14.05M,21.22M,,,21.45M,20.66M,33.76M,,2004-07,0.06,0.00,,2004-07,0.06,0.00,0.0585,2004-07,359.76M,369.76M,,
2004-04,116.62M,116.62M,58.05M,58.56M,,10.52M,-0.182M,,,,-0.001M,18.17M,40.40M,,,,-0.182M,,40.56M,15.59M,24.96M,,,24.96M,25.08M,40.40M,,2004-04,0.07,0.00,,2004-04,0.0675,0.00,0.0678,2004-04,357.49M,367.90M,,
2004-01,92.64M,92.64M,50.14M,42.49M,,8.591M,2.595M,,,,,16.67M,25.82M,,,,2.595M,,28.71M,11.34M,17.37M,,,17.37M,15.80M,25.82M,,2004-01,0.05,0.00,,2004-01,0.0475,0.00,0.0432,2004-01,356.10M,365.94M,,
2003-10,91.47M,91.47M,51.66M,39.80M,,8.118M,0.6109M,,,,,15.52M,24.29M,,,,0.6109M,,25.19M,9.951M,15.24M,,,15.24M,14.87M,24.29M,,2003-10,0.0425,0.00,,2003-10,0.0425,0.00,0.0415,2003-10,357.97M,364.73M,,
2003-07,87.22M,87.22M,73.31M,13.90M,,11.28M,0.4938M,,,,,-7.110M,21.01M,,,,0.4938M,,21.86M,8.527M,13.34M,,,13.34M,13.03M,21.01M,,2003-07,0.0375,0.00,,2003-07,0.0375,0.00,0.0367,2003-07,359.19M,365.26M,,
2003-04,93.93M,93.93M,55.01M,38.92M,,7.909M,0.5371M,,,,,14.31M,24.61M,,,,0.5371M,,25.48M,10.06M,15.42M,,,15.42M,15.10M,24.61M,,2003-04,0.0425,0.00,,2003-04,0.0425,0.00,0.0416,2003-04,364.78M,370.40M,,
2003-01,82.78M,82.78M,48.20M,34.59M,,6.476M,0.2862M,,,,,12.84M,21.75M,,,,0.2862M,,22.51M,8.758M,13.76M,,,13.76M,13.58M,21.75M,,2003-01,0.0375,0.00,,2003-01,0.0375,0.00,0.0370,2003-01,369.46M,376.35M,,
2002-10,83.49M,83.49M,47.57M,35.93M,,6.598M,0.1557M,,,,,12.23M,23.70M,,,,0.1557M,,24.31M,9.602M,14.71M,,,14.71M,14.61M,23.70M,,2002-10,0.04,0.00,,2002-10,0.04,0.00,0.0398,2002-10,369.00M,376.23M,,
2002-07,82.63M,82.63M,47.57M,35.06M,,5.846M,0.5864M,,,,,10.75M,24.31M,,,,0.5864M,,25.50M,9.969M,15.54M,,,15.54M,15.18M,24.31M,,2002-07,0.0425,0.00,,2002-07,0.0425,0.00,0.0416,2002-07,367.55M,377.27M,,
2002-04,90.16M,90.16M,53.01M,37.14M,,6.892M,0.4969M,,,,,11.13M,26.01M,,,,0.4969M,,26.99M,10.39M,16.60M,,,16.60M,16.29M,26.01M,,2002-04,0.045,0.00,,2002-04,0.045,0.00,0.0442,2002-04,363.32M,374.06M,,
2002-01,71.38M,71.38M,43.13M,28.25M,,5.404M,0.4114M,,,,,9.091M,19.16M,,,,0.4114M,,20.07M,7.578M,12.50M,,,12.50M,12.24M,19.16M,,2002-01,0.035,0.00,,2002-01,0.035,0.00,0.0343,2002-01,356.50M,369.99M,,
2001-10,72.28M,72.28M,43.23M,29.05M,,5.113M,0.3931M,,,,,8.587M,20.46M,,,,0.3931M,,21.09M,8.330M,12.76M,,,12.76M,12.52M,20.46M,,2001-10,0.0383,0.00,,2001-10,0.0367,0.00,0.0360,2001-10,332.74M,344.93M,,
2001-07,68.63M,68.63M,39.36M,29.27M,,5.082M,1.086M,,,,,8.999M,20.27M,,,,1.086M,,21.70M,8.766M,12.93M,,,12.93M,12.28M,20.27M,,2001-07,0.0400,0.00,,2001-07,0.0366,0.00,0.0347,2001-07,331.44M,338.74M,,
2001-04,71.48M,71.48M,43.21M,28.27M,,5.588M,0.0545M,,,,,9.191M,19.08M,,,,0.0545M,,19.27M,7.785M,11.49M,,,11.49M,11.45M,19.08M,,2001-04,0.0350,0.00,,2001-04,0.0334,0.00,0.0333,2001-04,330.44M,341.41M,,
2001-01,56.64M,56.64M,34.12M,22.52M,,4.234M,0.321M,,,,,7.694M,14.82M,,,,0.321M,,15.45M,6.104M,9.349M,,,9.349M,9.155M,14.82M,,2001-01,0.0283,0.00,,2001-01,0.0283,0.00,0.0278,2001-01,328.28M,338.56M,,
