,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,AsOriginallyReported,Restated
2015-06,698.00M,698.00M,298.30M,399.70M,275.00M,-38.90M,9.80M,0.70M,-9.10M,,275.00M,124.70M,0.70M,9.80M,-9.10M,-38.60M,-9.10M,77.00M,24.80M,44.10M,,0.00,44.10M,70.47M,117.20M,,2015-06,0.32,,0.5087,2015-06,0.31,,0.4953,0.31,139.80M,142.30M,0.0725,AOR,Restated
2015-03,656.30M,656.30M,282.90M,373.40M,270.30M,-5.40M,10.70M,0.70M,-10.00M,,270.30M,103.10M,0.70M,10.70M,-10.00M,-5.90M,-10.00M,87.20M,18.90M,64.00M,,0.00,64.00M,68.23M,128.10M,,2015-03,0.46,,0.4901,2015-03,0.45,,0.4796,0.45,140.30M,142.80M,0.0725,AOR,Restated
2014-12,719.00M,719.00M,325.90M,393.10M,283.20M,-6.60M,11.50M,1.00M,-10.50M,,283.20M,109.90M,1.00M,11.50M,-10.50M,-4.70M,-10.50M,94.70M,11.20M,84.70M,,0.10M,84.80M,90.62M,135.80M,,2014-12,0.60,,0.6412,2014-12,0.59,,0.6304,0.59,141.10M,143.90M,0.0662,AOR,Restated
2014-09,708.20M,708.20M,320.10M,388.10M,276.00M,-2.50M,12.70M,1.40M,-11.30M,,276.00M,112.10M,1.40M,12.70M,-11.30M,-3.30M,-11.30M,97.50M,21.20M,75.30M,,0.00,75.30M,77.26M,142.88M,,2014-09,0.53,,0.5438,2014-09,0.52,,0.5335,0.52,141.80M,144.30M,0.0662,AOR,Restated
2014-06,765.22M,765.22M,340.76M,424.47M,296.12M,-1.242M,11.80M,1.744M,-10.05M,,296.12M,128.35M,1.744M,11.80M,-10.05M,-1.817M,-10.05M,116.48M,26.10M,90.01M,,-0.021M,89.99M,90.96M,161.15M,,2014-06,0.63,,0.6368,2014-06,0.62,,0.6267,0.62,141.79M,144.16M,0.0662,AOR,Restated
2014-03,730.11M,730.11M,335.91M,394.20M,287.84M,-0.793M,10.96M,1.435M,-9.52M,,287.84M,106.36M,1.435M,10.96M,-9.52M,-1.181M,-9.52M,95.66M,22.45M,72.92M,,-0.042M,72.88M,73.48M,140.56M,,2014-03,0.51,,0.5143,2014-03,0.50,,0.5042,0.50,142.05M,144.45M,0.0662,AOR,Restated
2013-12,753.69M,753.69M,355.86M,397.83M,292.04M,-8.335M,11.43M,1.544M,-9.886M,,292.04M,105.79M,1.544M,11.43M,-9.886M,-8.012M,-9.886M,87.89M,12.60M,76.07M,,-1.634M,74.44M,81.58M,130.98M,,2013-12,0.52,,0.5700,2013-12,0.51,,0.5592,0.51,142.68M,145.14M,0.0625,AOR,Restated
2013-09,704.02M,704.02M,327.60M,376.42M,269.16M,-2.231M,11.44M,2.138M,-9.304M,,269.16M,107.25M,2.138M,11.44M,-9.304M,-3.812M,-9.304M,94.14M,13.19M,80.87M,,-1.015M,79.85M,81.77M,136.65M,,2013-09,0.56,,0.5735,2013-09,0.55,,0.5633,0.55,142.42M,144.70M,0.0625,AOR,Restated
2013-06,761.01M,761.01M,346.05M,414.96M,289.92M,-2.169M,11.51M,2.243M,-9.264M,,289.92M,125.04M,2.243M,11.51M,-9.264M,-6.392M,-9.264M,109.38M,22.87M,88.69M,,-1.463M,87.23M,88.94M,153.71M,,2013-06,0.61,,0.6220,2013-06,0.60,,0.6118,0.60,142.92M,145.13M,0.0625,AOR,Restated
2013-03,732.08M,732.08M,343.88M,388.20M,293.68M,-0.665M,15.22M,2.175M,-13.05M,,293.68M,94.52M,2.175M,15.22M,-13.05M,-3.583M,-13.05M,77.89M,3.542M,72.57M,,-0.888M,71.68M,72.32M,125.47M,,2013-03,0.50,,0.5044,2013-03,0.49,,0.4944,0.49,142.78M,145.10M,0.0625,AOR,Restated
2012-12,753.29M,753.29M,361.24M,392.05M,287.99M,-6.855M,12.80M,2.556M,-10.24M,,287.99M,104.06M,2.556M,12.80M,-10.24M,-7.70M,-10.24M,86.12M,-39.63M,127.93M,,-1.128M,126.80M,131.26M,131.32M,,2012-12,0.89,,0.9214,2012-12,0.88,,0.9109,0.88,142.10M,144.12M,0.055,AOR,Restated
2012-09,695.73M,695.73M,331.62M,364.12M,260.35M,-15.10M,13.95M,2.342M,-11.61M,,260.35M,103.76M,2.342M,13.95M,-11.61M,-16.38M,-11.61M,75.78M,18.96M,54.29M,,-0.928M,53.36M,64.69M,118.16M,,2012-09,0.38,,0.4598,2012-09,0.37,,0.4487,0.37,141.84M,143.88M,0.055,AOR,Restated
2012-06,762.99M,762.99M,355.52M,407.47M,296.03M,-2.528M,14.32M,1.984M,-12.34M,,296.03M,111.44M,1.984M,14.32M,-12.34M,-3.51M,-12.34M,95.59M,14.88M,82.04M,,-1.276M,80.76M,82.90M,142.71M,,2012-06,0.57,,0.5851,2012-06,0.56,,0.5748,0.56,141.74M,143.86M,0.055,AOR,Restated
2012-03,716.41M,716.41M,323.66M,392.75M,304.35M,-1.237M,15.78M,1.878M,-13.90M,,304.35M,88.40M,1.878M,15.78M,-13.90M,-1.302M,-13.90M,73.19M,14.72M,54.23M,,-0.944M,53.28M,54.27M,124.54M,,2012-03,0.38,,0.3870,2012-03,0.37,,0.3769,0.37,141.72M,143.98M,0.055,AOR,Restated
2011-12,738.01M,738.01M,377.06M,360.96M,293.60M,6.67M,15.84M,1.561M,-14.28M,,293.60M,67.35M,1.561M,15.84M,-14.28M,-2.37M,-14.28M,50.71M,12.06M,41.39M,,-0.79M,40.60M,35.52M,87.69M,,2011-12,0.29,,0.2541,2011-12,0.28,,0.2446,0.28,141.53M,143.48M,0.055,AOR,Restated
2011-09,619.76M,619.76M,322.11M,297.65M,231.49M,-33.54M,16.06M,2.418M,-13.64M,,231.49M,66.16M,2.418M,16.06M,-13.64M,-33.54M,-13.64M,18.98M,40.63M,61.20M,,-0.603M,60.60M,82.39M,61.83M,,2011-09,0.43,0.00,0.5842,2011-09,0.42,0.00,0.5720,0.42,141.35M,143.40M,0.05,AOR,Restated
2011-06,609.44M,609.44M,294.59M,314.85M,210.98M,-8.297M,5.57M,2.43M,-3.14M,,210.98M,103.87M,2.43M,5.57M,-3.14M,-8.297M,-3.14M,92.43M,17.96M,75.39M,,-1.154M,74.24M,80.92M,117.52M,,2011-06,0.53,0.00,0.5774,2011-06,0.52,0.00,0.5666,0.52,141.05M,143.37M,0.05,AOR,Restated
2011-03,570.50M,570.50M,270.52M,299.98M,200.77M,-0.703M,6.343M,1.828M,-4.515M,,200.77M,99.22M,1.828M,6.343M,-4.515M,-0.703M,-4.515M,94.00M,23.71M,69.46M,,-0.379M,69.08M,69.61M,117.92M,,2011-03,0.49,0.00,0.4937,2011-03,0.48,0.00,0.4836,0.48,141.61M,144.04M,0.05,AOR,Restated
2010-12,568.17M,568.17M,280.46M,287.71M,186.43M,-3.471M,6.683M,1.371M,-5.312M,,186.43M,101.28M,1.371M,6.683M,-5.312M,-5.253M,-5.312M,90.72M,21.64M,67.98M,,-0.157M,67.83M,70.47M,113.20M,,2010-12,0.48,,0.4986,2010-12,0.47,,0.4884,0.47,141.91M,143.90M,0.05,AOR,Restated
2010-09,541.82M,541.82M,269.00M,272.81M,182.06M,-0.923M,5.999M,1.268M,-4.731M,,182.06M,90.76M,1.268M,5.999M,-4.731M,-0.923M,-4.731M,85.10M,21.29M,63.82M,,-0.162M,63.65M,64.35M,107.01M,,2010-09,0.45,0.00,0.4549,2010-09,0.44,0.00,0.4448,0.44,142.50M,144.06M,0.05,AOR,Restated
2010-06,565.09M,565.09M,277.49M,287.60M,182.38M,-0.965M,6.686M,0.827M,-5.859M,,182.38M,105.21M,0.827M,6.686M,-5.859M,-0.965M,-5.859M,98.39M,25.04M,73.35M,,-0.96M,72.39M,73.11M,121.49M,,2010-06,0.50,0.00,0.5050,2010-06,0.49,0.00,0.4949,0.49,144.78M,146.94M,0.05,AOR,Restated
2010-03,545.94M,545.94M,263.91M,282.04M,188.03M,-5.625M,5.72M,0.787M,-4.933M,,188.03M,94.00M,0.787M,5.72M,-4.933M,-5.625M,-4.933M,83.45M,21.26M,62.19M,,-0.348M,61.84M,66.04M,106.96M,,2010-03,0.42,0.00,0.4486,2010-03,0.41,0.00,0.4381,0.41,146.78M,149.29M,0.05,AOR,Restated
2009-12,568.39M,568.39M,285.16M,283.23M,178.85M,-0.649M,5.019M,0.706M,-4.313M,,178.85M,104.39M,0.706M,5.019M,-4.313M,-0.649M,-4.313M,99.42M,23.37M,76.05M,,-1.216M,74.83M,75.33M,120.27M,,2009-12,0.51,0.00,0.5134,2009-12,0.50,0.00,0.5033,0.50,147.64M,150.18M,0.05,AOR,Restated
2009-09,531.20M,531.20M,259.47M,271.73M,177.58M,-1.701M,5.456M,0.858M,-4.598M,,177.58M,94.15M,0.858M,5.456M,-4.598M,-1.701M,-4.598M,87.85M,20.00M,67.85M,,-0.37M,67.48M,68.80M,109.71M,,2009-09,0.45,0.00,0.4588,2009-09,0.45,0.00,0.4587,0.45,148.55M,150.64M,0.05,AOR,Restated
2009-06,552.83M,552.83M,267.16M,285.67M,183.82M,-3.075M,5.268M,1.512M,-3.756M,,183.82M,101.85M,1.512M,5.268M,-3.756M,-3.075M,-3.756M,95.02M,24.44M,70.58M,,-0.381M,70.20M,72.48M,116.86M,,2009-06,0.47,0.00,0.4854,2009-06,0.47,0.00,0.4852,0.47,148.58M,150.06M,0.05,AOR,Restated
2009-03,506.95M,506.95M,241.22M,265.73M,177.99M,-2.487M,6.153M,1.956M,-4.197M,,177.99M,87.74M,1.956M,6.153M,-4.197M,-2.487M,-4.197M,81.06M,21.13M,59.93M,,1.813M,61.74M,63.58M,103.58M,,2009-03,0.42,0.00,0.4324,2009-03,0.41,0.00,0.4223,0.41,148.51M,149.70M,0.05,AOR,Restated
2008-12,508.14M,508.14M,237.11M,271.03M,173.57M,-17.56M,7.09M,2.525M,-4.565M,,173.57M,97.46M,2.525M,7.09M,-4.565M,-17.56M,-4.565M,75.33M,4.384M,70.95M,,,71.00M,87.54M,95.95M,,2008-12,0.47,0.00,0.5812,2008-12,0.47,0.00,0.5801,0.47,148.72M,150.30M,0.05,AOR,
2008-09,529.95M,529.95M,249.77M,280.18M,180.73M,-19.57M,9.284M,4.669M,-4.615M,,180.73M,99.45M,4.669M,9.284M,-4.615M,-19.57M,-4.615M,75.27M,9.204M,66.07M,,-0.019M,66.05M,83.22M,99.65M,,2008-09,0.44,0.00,0.5554,2008-09,0.44,0.00,0.5532,0.44,148.78M,151.70M,0.045,,Restated
2008-06,594.85M,594.85M,279.36M,315.49M,200.87M,-1.407M,7.901M,4.685M,-3.216M,,200.87M,114.62M,4.685M,7.901M,-3.216M,-1.407M,-3.216M,110.00M,31.30M,78.70M,,-0.051M,78.65M,79.65M,131.99M,,2008-06,0.53,0.00,0.5368,2008-06,0.52,0.00,0.5266,0.52,148.85M,151.79M,0.045,,Restated
2008-03,560.78M,560.78M,275.54M,285.24M,184.00M,-3.326M,8.252M,5.21M,-3.042M,,184.00M,101.24M,5.21M,8.252M,-3.042M,-3.326M,-3.042M,94.87M,26.72M,68.16M,,0.025M,68.18M,70.57M,117.34M,,2008-03,0.45,0.00,0.4659,2008-03,0.45,0.00,0.4656,0.45,149.94M,152.98M,0.045,,Restated
2007-12,541.50M,541.50M,268.77M,272.73M,173.50M,-1.376M,,,,,173.50M,99.24M,,,,-1.376M,,97.20M,27.17M,70.03M,,,70.03M,71.02M,128.20M,,2007-12,0.46,0.00,0.4666,2007-12,0.45,0.00,0.4564,0.45,151.17M,154.68M,0.045,,Restated
2007-09,488.10M,488.10M,235.11M,252.99M,165.71M,-4.912M,,,,,165.71M,87.28M,,,,-4.912M,,81.84M,16.13M,65.72M,,,65.72M,69.66M,99.75M,,2007-09,0.43,0.00,0.4560,2007-09,0.42,0.00,0.4455,0.42,151.63M,154.74M,0.04,,
2007-06,507.36M,507.36M,238.58M,268.78M,172.08M,-2.86M,,,,,172.08M,96.70M,,,,-2.86M,,95.63M,30.19M,65.43M,,,65.43M,67.39M,109.12M,,2007-06,0.43,0.00,0.4429,2007-06,0.42,0.00,0.4326,0.42,152.00M,154.87M,0.04,,
2007-03,472.86M,472.86M,226.59M,246.28M,164.08M,-0.78M,,,,,164.08M,82.20M,,,,-0.78M,,83.47M,24.99M,58.47M,,,58.47M,59.02M,95.14M,,2007-03,0.38,0.00,0.3836,2007-03,0.38,0.00,0.3835,0.38,152.03M,154.56M,0.04,,
2006-12,471.33M,471.33M,230.52M,240.81M,159.53M,-2.036M,,,,,156.10M,84.71M,,,,-2.036M,,79.08M,14.13M,64.95M,,,64.95M,66.62M,96.52M,,2006-12,0.42,0.00,0.4310,2006-12,0.41,0.00,0.4208,0.41,152.18M,155.05M,0.04,,
2006-09,435.72M,435.72M,209.81M,225.91M,148.52M,0.511M,,,,,148.52M,77.39M,,,,0.511M,,78.48M,29.04M,49.45M,,,49.45M,49.13M,89.62M,,2006-09,0.32,0.00,0.3179,2006-09,0.31,0.00,0.3080,0.31,153.97M,157.15M,0.035,,
2006-06,472.44M,472.44M,230.29M,242.15M,152.93M,-3.601M,,,,,152.93M,89.23M,,,,-3.601M,,86.07M,26.75M,59.32M,,,59.32M,61.80M,100.53M,,2006-06,0.38,0.00,0.3958,2006-06,0.37,0.00,0.3855,0.37,156.81M,159.83M,0.035,,
2006-03,431.00M,431.00M,210.86M,220.14M,145.43M,-4.183M,,,,,145.43M,74.70M,,,,-4.183M,,71.21M,21.20M,50.00M,,,50.00M,52.94M,86.80M,,2006-03,0.32,0.00,0.3386,2006-03,0.31,0.00,0.3282,0.31,158.00M,161.06M,0.035,,
2005-12,447.36M,447.36M,223.57M,223.79M,144.09M,-99.94M,,,,,144.09M,79.70M,,,,-99.94M,,-20.27M,-19.54M,-0.724M,,,-0.724M,59.24M,90.69M,,2005-12,0.00,0.00,0.3811,2005-12,0.00,0.00,0.3749,0.00,157.33M,159.93M,0.035,,
2005-09,415.96M,415.96M,206.96M,209.00M,134.32M,-131.74M,,,,,134.32M,74.68M,,,,-131.74M,,-59.50M,1.309M,-60.80M,,,-60.80M,18.24M,87.20M,,2005-09,-0.39,0.00,0.1109,2005-09,-0.39,0.00,0.1109,-0.39,157.79M,157.79M,0.03,,
2005-06,444.83M,444.83M,217.55M,227.28M,146.38M,1.833M,,,,,146.38M,80.91M,,,,1.833M,,80.45M,22.56M,57.89M,,,57.89M,56.57M,94.52M,,2005-06,0.36,0.00,0.3518,2005-06,0.35,0.00,0.3419,0.35,160.27M,163.22M,0.03,,
2005-03,406.98M,406.98M,198.03M,208.94M,138.55M,3.974M,,,,,138.55M,70.39M,,,,3.974M,,70.35M,21.30M,49.05M,,,49.05M,46.28M,83.82M,,2005-03,0.305,0.00,0.2878,2005-03,0.30,0.00,0.2832,0.30,161.41M,164.58M,0.03,,
2004-12,465.50M,465.50M,233.45M,232.05M,148.75M,-4.16M,,,,,148.75M,83.31M,,,,-4.16M,,74.62M,5.673M,68.95M,-0.346M,,68.61M,72.80M,96.02M,,2004-12,0.425,0.00,0.4488,2004-12,0.42,0.00,0.4433,0.42,161.27M,164.65M,0.03,,
2004-09,389.96M,389.96M,191.45M,198.52M,128.30M,-2.455M,,,,,128.30M,70.22M,,,,-2.455M,,62.57M,16.22M,46.34M,0.34M,,46.68M,48.16M,82.24M,,2004-09,0.29,0.00,0.3013,2004-09,0.285,0.00,0.2961,0.285,160.99M,164.22M,0.0262,,
2004-06,424.41M,424.41M,212.35M,212.06M,134.16M,-0.908M,,,,,134.16M,77.90M,,,,-0.908M,,72.35M,23.13M,49.22M,-0.179M,,49.04M,49.84M,89.44M,,2004-06,0.305,0.00,0.3088,2004-06,0.30,0.00,0.3038,0.30,160.99M,164.18M,0.0262,,
2004-03,414.36M,414.36M,210.47M,203.89M,133.06M,-0.947M,,,,,133.06M,70.83M,,,,-0.947M,,64.61M,18.84M,45.77M,43.06M,,88.83M,46.44M,83.85M,,2004-03,0.285,0.27,0.2892,2004-03,0.28,0.265,0.2841,0.545,159.84M,163.00M,0.0262,,
2003-12,353.44M,353.44M,169.32M,184.12M,110.82M,1.104M,,,,,110.82M,73.30M,,,,1.104M,,67.85M,21.79M,46.05M,,,50.38M,45.30M,82.03M,,2003-12,0.295,0.03,0.2903,2003-12,0.29,0.03,0.2854,0.32,158.31M,162.43M,0.0262,,
2003-09,400.42M,400.42M,209.19M,191.23M,125.89M,1.525M,,,,,125.89M,65.35M,,,,1.525M,,61.14M,19.83M,41.31M,,,41.31M,40.28M,77.29M,,2003-09,0.26,0.00,0.2535,2003-09,0.255,0.00,0.2486,0.255,158.00M,162.01M,0.0262,,
2003-06,417.95M,417.95M,212.84M,205.11M,134.08M,0.552M,,,,,134.08M,71.02M,,,,0.552M,,65.48M,21.26M,44.22M,,,44.22M,43.85M,83.91M,,2003-06,0.28,0.00,0.2776,2003-06,0.275,0.00,0.2727,0.275,157.38M,160.65M,0.023,,
2003-03,396.19M,396.19M,206.12M,190.07M,128.06M,0.538M,,,,,128.06M,62.01M,,,,0.538M,,56.72M,18.45M,38.27M,,,38.27M,37.90M,74.11M,,2003-03,0.245,0.00,0.2427,2003-03,0.24,0.00,0.2377,0.24,156.88M,160.01M,0.023,,
2002-12,421.09M,421.09M,223.29M,197.80M,126.14M,-4.075M,,,,,126.14M,71.66M,,,,-4.075M,,63.09M,20.82M,42.27M,,,42.27M,45.00M,83.37M,,2002-12,0.27,0.00,0.2874,2002-12,0.265,0.00,0.2820,0.265,156.72M,160.26M,0.023,,
2002-09,363.46M,363.46M,184.23M,179.23M,118.17M,-1.856M,,,,,118.17M,61.05M,,,,-1.856M,,51.90M,16.13M,35.77M,,,35.77M,37.05M,70.74M,,2002-09,0.23,0.00,0.2382,2002-09,0.225,0.00,0.2330,0.225,156.49M,160.25M,0.023,,
2002-06,381.01M,381.01M,196.47M,184.54M,119.78M,-1.529M,,,,-0.674M,119.11M,65.43M,,,,-1.529M,,55.78M,18.96M,36.82M,,,36.82M,37.83M,77.51M,,2002-06,0.235,0.00,0.2415,2002-06,0.23,0.00,0.2363,0.23,156.33M,160.15M,0.023,,
