,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,81.10M,0.00,0.50M,-44.10M,,-43.60M,33.30M,49.90M,83.20M,83.20M,-16.80M,,0.00,9.30M,,18.00M,87.50M,-64.70M,-5.60M,-95.40M,,2.10M,-76.10M,55.10M,,2018-03,-39.10M,3.00M,3.00M,-3.30M,-2.40M,,-45.20M,,2018-03,-0.10M,-7.80M,-7.90M,,,,-19.80M,8.30M,,-19.40M,,320.60M,-9.50M,6.00M,317.10M,,2018-03,,-8.00M,,,2018-03,AOR,Restated
2017-12,-650.20M,,-0.70M,,,-0.70M,33.40M,48.60M,82.00M,82.00M,-97.50M,,824.90M,7.20M,,65.30M,-5.80M,4.40M,-14.80M,20.20M,,-6.10M,-2.10M,228.90M,,2017-12,-45.70M,5.30M,5.30M,0.00,-0.20M,0.00,-50.60M,,2017-12,-0.30M,8.80M,8.50M,,-250.00M,-250.00M,-20.10M,29.40M,,-232.20M,,370.00M,-53.90M,4.50M,320.60M,,2017-12,,-0.50M,-250.00M,,2017-12,AOR,Restated
2017-09,90.50M,,1.90M,,,1.90M,31.80M,48.70M,80.50M,80.50M,-12.10M,,0.00,18.90M,,4.10M,-59.50M,-17.70M,-0.90M,56.90M,,1.70M,-19.50M,164.30M,,2017-09,-34.60M,0.20M,0.20M,-0.80M,1.20M,0.00,-43.90M,,2017-09,-9.60M,0.00,-9.60M,,0.10M,0.10M,-20.10M,7.50M,,-22.10M,,268.40M,98.30M,3.30M,370.00M,,2017-09,,-9.60M,0.10M,,2017-09,AOR,Restated
2017-06,-1.050B,,0.10M,,,0.10M,31.20M,46.60M,77.80M,77.80M,-44.00M,,1.173B,11.10M,,20.90M,-44.30M,-11.30M,-50.10M,18.90M,,24.70M,-62.10M,126.20M,,2017-06,-34.80M,0.30M,0.30M,-1.10M,0.70M,-0.90M,-150.80M,,2017-06,-1.30M,0.10M,-1.20M,,-73.60M,-73.60M,-20.10M,16.00M,,-78.90M,,363.30M,-103.50M,8.60M,268.40M,,2017-06,,-1.20M,-73.60M,,2017-06,AOR,Restated
2017-03,59.70M,,0.30M,,,0.30M,30.90M,45.20M,76.10M,76.10M,9.80M,,,10.80M,,-13.10M,46.20M,-38.30M,-9.20M,-44.00M,,-15.80M,-61.10M,82.50M,,2017-03,-35.90M,1.60M,1.60M,-4.80M,2.30M,,-41.10M,,2017-03,-2.40M,1.30M,-1.10M,,-77.90M,-77.90M,-18.00M,29.40M,,-67.60M,,383.90M,-26.20M,5.60M,363.30M,,2017-03,,-5.40M,-77.90M,,2017-03,AOR,Restated
2016-12,107.90M,,1.00M,,,1.00M,29.60M,45.20M,74.80M,74.80M,-9.50M,,0.00,11.90M,,15.80M,17.80M,24.50M,-9.70M,-5.10M,,-7.00M,20.50M,222.40M,,2016-12,-46.00M,0.10M,0.10M,0.00,-0.80M,0.00,-46.60M,,2016-12,5.60M,3.60M,9.20M,,-119.20M,-119.20M,-17.90M,14.20M,1.00M,-112.70M,,330.70M,63.10M,-9.90M,383.90M,,2016-12,,-370.70M,-119.20M,,2016-12,AOR,Restated
2016-09,92.30M,,1.30M,,,1.30M,31.90M,44.30M,76.20M,76.20M,-34.00M,,0.00,12.00M,,-7.50M,-10.10M,-3.80M,-14.20M,31.10M,,9.60M,12.60M,152.90M,,2016-09,-32.30M,0.50M,0.50M,-1.10M,-10.10M,0.00,-379.70M,,2016-09,385.10M,-44.10M,341.00M,,-94.70M,-94.70M,-18.10M,6.40M,2.50M,237.10M,,311.60M,10.30M,8.80M,330.70M,,2016-09,,-419.80M,-94.70M,,2016-09,AOR,Restated
2016-06,105.90M,,0.50M,,,0.50M,31.60M,43.80M,75.40M,75.40M,9.50M,,0.00,12.60M,,-26.40M,-15.70M,36.10M,8.40M,-23.30M,,4.40M,9.90M,187.40M,,2016-06,-27.00M,4.00M,4.00M,0.00,4.90M,0.00,-18.10M,,2016-06,0.00,-1.50M,-1.50M,,-171.20M,-171.20M,-18.50M,13.00M,0.40M,-177.80M,,323.10M,-8.50M,-3.00M,311.60M,,2016-06,,-1.50M,-171.20M,,2016-06,AOR,Restated
2016-03,125.30M,,0.00,,,0.00,23.50M,21.80M,45.30M,45.30M,-88.80M,,,4.80M,,0.30M,-67.10M,8.60M,-16.90M,-15.40M,,4.60M,-86.20M,0.70M,,2016-03,-20.80M,0.40M,0.40M,0.00,2.20M,520.60M,504.40M,,2016-03,-47.60M,-2.10M,-49.70M,,-428.80M,-428.80M,-10.10M,7.40M,8.40M,-472.80M,,284.60M,32.30M,6.20M,323.10M,,2016-03,,-129.60M,-428.80M,,2016-03,AOR,Restated
2015-12,58.60M,,0.20M,,-0.10M,0.10M,17.50M,11.00M,28.50M,28.50M,-23.40M,,,6.10M,10.00M,10.40M,27.00M,22.00M,-2.50M,-12.60M,,2.20M,36.10M,126.40M,,2015-12,-20.30M,0.10M,0.10M,,2.80M,0.00,-68.10M,,2015-12,-5.50M,-3.10M,-8.60M,,0.00,0.00,-10.10M,8.30M,1.50M,-8.90M,,236.40M,49.40M,-1.20M,284.60M,,2015-12,,-160.60M,0.00,,2015-12,AOR,Restated
2015-09,84.50M,,0.10M,,-10.90M,-10.80M,22.80M,11.00M,33.80M,33.80M,10.50M,,,7.70M,-1.20M,-3.30M,12.10M,6.00M,-8.80M,21.50M,,7.80M,38.60M,159.80M,,2015-09,-18.20M,0.00,0.00,,8.10M,46.30M,36.20M,,2015-09,-8.90M,-32.50M,-41.40M,,-13.70M,-13.70M,-10.30M,8.60M,1.30M,-55.50M,,96.50M,140.50M,-0.60M,236.40M,,2015-09,,-8.90M,-13.70M,,2015-09,AOR,Restated
2015-06,44.00M,,0.50M,,8.30M,8.80M,19.50M,10.90M,30.40M,30.40M,8.50M,,,6.90M,-8.40M,36.50M,-29.80M,11.50M,7.40M,22.70M,,7.10M,18.90M,145.60M,,2015-06,-17.10M,0.20M,0.20M,0.20M,5.70M,,-14.50M,,2015-06,-0.10M,-126.70M,-126.80M,,-14.00M,-14.00M,-10.10M,4.50M,8.40M,-138.00M,,100.60M,-6.90M,2.80M,96.50M,,2015-06,,-0.10M,-14.00M,,2015-06,AOR,Restated
2015-03,64.00M,,,,4.30M,4.30M,19.30M,10.90M,30.20M,30.20M,20.20M,,,4.90M,-0.40M,-2.10M,-10.20M,-7.40M,-5.60M,-35.60M,,3.30M,-55.50M,65.60M,,2015-03,-16.40M,0.10M,0.10M,-0.20M,7.80M,,-8.50M,,2015-03,-100.10M,160.10M,60.00M,,-85.00M,-85.00M,-9.50M,14.10M,-80.10M,-100.50M,,151.60M,-43.40M,-7.60M,100.60M,,2015-03,,-100.10M,-85.00M,,2015-03,AOR,Restated
2014-12,84.70M,,0.40M,,-1.20M,-0.80M,18.10M,11.50M,29.60M,29.60M,11.20M,,,5.50M,,13.30M,38.10M,26.70M,-3.70M,-17.20M,,5.30M,49.20M,192.70M,,2014-12,-31.50M,0.00,0.00,-4.90M,-29.30M,0.00,-62.30M,,2014-12,0.00,-2.10M,-2.10M,,-92.40M,-92.40M,-9.40M,30.30M,1.70M,-71.90M,,97.70M,58.50M,-4.60M,151.60M,,2014-12,,-2.30M,-92.40M,,2014-12,AOR,Restated
2014-09,75.27M,,0.00,,0.943M,0.943M,20.78M,11.91M,32.68M,32.68M,9.442M,,,6.542M,,13.92M,0.605M,16.73M,-6.332M,-2.517M,,0.172M,8.655M,147.46M,,2014-09,-24.15M,0.323M,0.323M,0.016M,2.267M,-0.90M,-21.05M,,2014-09,-9.529M,-61.71M,-71.24M,,-16.21M,-16.21M,-9.447M,5.964M,0.084M,-90.86M,,66.93M,35.55M,-4.821M,97.70M,,2014-09,,-185.34M,-16.21M,,2014-09,AOR,Restated
2014-06,90.01M,,0.00,,0.367M,0.367M,20.96M,11.92M,32.88M,32.88M,6.332M,,,7.572M,,-4.562M,-8.585M,-7.247M,-0.317M,30.35M,,8.879M,23.08M,155.68M,,2014-06,-23.52M,0.109M,0.109M,-0.011M,-1.084M,,-26.50M,,2014-06,-0.197M,-102.97M,-103.17M,,-14.19M,-14.19M,-9.474M,8.587M,0.28M,-117.97M,,55.82M,11.21M,-0.102M,66.93M,,2014-06,,-38.28M,-14.19M,,2014-06,AOR,Restated
2014-03,72.92M,,,,0.29M,0.29M,21.37M,12.57M,33.94M,33.94M,-11.57M,,,5.786M,,-2.263M,-22.92M,-15.18M,-5.751M,9.569M,,-0.251M,-34.53M,64.56M,,2014-03,-26.63M,0.168M,0.168M,-1.305M,-2.383M,,-28.84M,,2014-03,-75.17M,64.89M,-10.29M,,-40.40M,-40.40M,-8.979M,4.149M,0.036M,-55.48M,,74.95M,-19.75M,0.623M,55.82M,,2014-03,,-75.17M,-40.40M,,2014-03,AOR,Restated
2013-12,76.07M,,,,-0.78M,0.02M,20.06M,11.60M,31.66M,31.66M,2.758M,,,7.073M,,30.69M,32.96M,19.88M,0.763M,-46.55M,,4.213M,11.26M,159.53M,,2013-12,-26.85M,-0.092M,-0.092M,-0.051M,-7.605M,,-98.31M,,2013-12,-0.093M,48.51M,48.42M,,-45.62M,-45.62M,-8.905M,18.55M,-49.49M,-37.05M,,50.66M,24.18M,0.199M,75.00M,,2013-12,,-0.065M,-45.62M,,2013-12,AOR,Restated
2013-09,80.86M,,,,0.083M,0.083M,19.80M,11.27M,31.07M,31.07M,-24.67M,,,6.004M,,-5.965M,6.869M,-4.584M,-0.227M,36.02M,,0.942M,39.02M,126.40M,,2013-09,-27.44M,0.883M,0.883M,-0.086M,0.849M,,-25.70M,,2013-09,-76.71M,-31.66M,-108.37M,,-10.10M,-10.10M,-8.967M,17.14M,1.087M,-109.21M,,57.03M,-8.519M,2.15M,50.66M,,2013-09,,-251.34M,-10.10M,,2013-09,AOR,Restated
2013-06,88.69M,,,,-2.182M,-2.182M,21.33M,11.50M,32.83M,32.83M,2.71M,,,6.589M,,-7.24M,-34.69M,-18.62M,15.73M,9.818M,,2.151M,-25.61M,95.78M,,2013-06,-22.88M,0.991M,0.991M,-0.758M,-41.58M,,-63.46M,,2013-06,0.00,24.32M,24.32M,,-62.28M,-62.28M,-9.019M,17.64M,0.306M,-29.04M,,56.20M,3.278M,-2.454M,57.03M,,2013-06,,0.00,-62.28M,,2013-06,AOR,Restated
2013-03,72.57M,,,,1.779M,1.779M,20.42M,11.94M,32.35M,32.35M,-12.40M,,,5.434M,,21.31M,-37.64M,-22.08M,10.64M,-40.68M,,4.794M,-84.97M,36.09M,,2013-03,-24.24M,1.218M,1.218M,-0.205M,-45.76M,,-72.72M,,2013-03,0.00,16.13M,16.13M,,0.00,0.00,-7.909M,13.58M,-8.199M,13.60M,,80.13M,-23.03M,-0.895M,56.20M,,2013-03,,0.00,0.00,,2013-03,AOR,Restated
2012-12,127.93M,,,,-2.178M,-1.37M,19.95M,12.45M,32.40M,32.40M,-64.63M,,,4.939M,,0.108M,29.35M,17.54M,8.672M,18.24M,,-5.553M,68.25M,167.62M,,2012-12,-30.35M,0.486M,0.486M,-3.133M,0.00,0.00,-34.72M,,2012-12,0.00,-113.44M,-113.44M,,0.002M,0.002M,-7.864M,9.353M,1.929M,-110.02M,,56.08M,22.88M,1.182M,80.13M,,2012-12,,-113.44M,0.002M,,2012-12,AOR,Restated
2012-09,54.29M,,,,2.529M,2.529M,19.15M,9.275M,28.43M,28.43M,-4.308M,,,6.219M,,10.21M,-0.482M,-7.295M,-4.343M,14.87M,,-1.451M,1.303M,98.67M,,2012-09,-21.88M,0.088M,0.088M,-0.008M,0.00,0.00,-21.79M,,2012-09,0.00,-80.29M,-80.29M,,0.001M,0.001M,-7.855M,4.764M,5.206M,-78.17M,,53.21M,-1.294M,4.159M,56.08M,,2012-09,,-80.29M,0.001M,,2012-09,AOR,Restated
2012-06,82.04M,,,,-1.329M,-1.329M,20.15M,12.65M,32.80M,32.80M,-9.406M,,,6.807M,,-2.85M,-15.86M,-13.03M,4.617M,-0.028M,,-0.32M,-24.62M,83.44M,,2012-06,-24.39M,0.299M,0.299M,-0.042M,-14.22M,0.00,-38.31M,,2012-06,0.60M,-46.34M,-45.74M,,-7.971M,-7.971M,-7.859M,5.583M,-0.464M,-55.03M,,67.35M,-9.90M,-4.236M,53.21M,,2012-06,,-30.01M,-7.971M,,2012-06,AOR,Restated
2012-03,54.23M,,,,4.248M,4.248M,20.21M,15.36M,35.57M,35.57M,-0.189M,,,4.222M,,4.244M,-25.60M,-34.01M,-24.07M,0.887M,,0.419M,-82.37M,19.95M,,2012-03,-18.79M,0.166M,0.166M,-0.146M,0.00,-1.577M,-20.20M,,2012-03,-0.60M,11.16M,10.56M,,-30.87M,-30.87M,-7.847M,14.48M,2.711M,-12.38M,,77.13M,-12.63M,2.844M,67.35M,,2012-03,,-5.171M,-30.87M,,2012-03,AOR,Restated
2011-12,41.39M,,,,-0.661M,-0.091M,16.98M,4.166M,21.15M,21.15M,-60.49M,,-0.725M,5.288M,,32.17M,28.47M,24.11M,7.083M,44.25M,,-3.975M,99.94M,138.64M,,2011-12,-28.46M,-0.096M,-0.096M,-2.731M,-25.57M,2.462M,-41.26M,,2011-12,-340.50M,269.80M,-70.70M,,0.00,0.00,,5.982M,-7.731M,-79.57M,,81.87M,17.81M,-22.55M,77.13M,,2011-12,,-0.596M,0.00,,2011-12,AOR,Restated
2011-09,61.20M,,,,-1.597M,-1.597M,14.70M,12.09M,26.79M,26.79M,-35.85M,0.00,1.512M,5.343M,,4.876M,13.35M,5.759M,-6.089M,8.804M,,4.217M,26.04M,88.32M,,2011-09,-20.12M,0.418M,0.418M,-0.005M,0.00,-2.462M,-1.800B,,2011-09,1.159B,0.59M,1.160B,,0.00,0.00,,2.30M,-35.28M,1.120B,,671.71M,-592.04M,2.20M,81.87M,,2011-09,,-248.93M,0.00,,2011-09,AOR,Restated
2011-06,75.39M,,,,-0.917M,-0.917M,17.16M,2.357M,19.52M,19.52M,5.674M,0.00,-0.787M,5.648M,,-3.061M,-11.65M,6.359M,3.818M,24.90M,,-3.106M,20.32M,121.78M,,2011-06,-13.64M,0.123M,0.123M,-0.078M,0.00,,-28.02M,,2011-06,-13.30M,-3.58M,-16.88M,,-5.821M,-5.821M,,11.82M,-1.642M,-19.70M,,575.26M,74.06M,22.39M,671.71M,,2011-06,,-0.452M,-5.821M,,2011-06,AOR,Restated
2011-03,69.46M,,,,0.824M,0.824M,15.20M,2.379M,17.58M,17.58M,1.22M,0.00,0.00,4.668M,,-2.566M,-28.71M,-14.73M,-5.745M,1.224M,,1.494M,-46.46M,44.73M,,2011-03,-12.03M,0.052M,0.052M,-0.254M,0.00,,-17.56M,,2011-03,49.15M,3.403M,52.55M,,-73.68M,-73.68M,,22.17M,-11.90M,-17.98M,,540.04M,9.186M,26.04M,575.26M,,2011-03,,-1.951M,-73.68M,,2011-03,AOR,Restated
2010-12,67.98M,,,,,,13.85M,1.947M,15.79M,15.79M,0.616M,,,4.034M,4.784M,8.232M,21.88M,11.49M,2.60M,-7.76M,,-9.462M,18.75M,121.40M,,2010-12,-15.98M,3.053M,3.053M,-1.315M,,-33.08M,-94.55M,,2010-12,3.159M,0.71M,3.869M,,-15.46M,-15.46M,,3.257M,-0.121M,-16.11M,,534.24M,10.74M,-4.941M,540.04M,,2010-12,,-11.41M,-15.46M,,2010-12,AOR,Restated
2010-09,63.81M,,,,,,13.58M,2.326M,15.91M,15.91M,9.897M,,,4.531M,-0.118M,0.00,11.72M,-11.69M,10.24M,0.016M,,1.265M,11.56M,105.59M,,2010-09,-10.70M,0.23M,0.23M,-0.036M,,-18.57M,-42.73M,,2010-09,113.42M,-5.13M,108.29M,,-31.90M,-31.90M,,1.087M,0.118M,70.28M,,340.35M,133.14M,60.76M,534.24M,,2010-09,,-0.277M,-31.90M,,2010-09,AOR,Restated
2010-06,73.35M,,,,,,14.17M,2.247M,16.42M,16.42M,3.688M,,-0.363M,5.015M,-4.666M,2.261M,-12.96M,5.361M,-10.82M,31.82M,,4.815M,18.22M,113.92M,,2010-06,-11.02M,0.166M,0.166M,-0.148M,,,-11.47M,,2010-06,-2.727M,-3.113M,-5.84M,,-135.21M,-135.21M,,18.44M,2.768M,-128.17M,,405.02M,-25.72M,-38.95M,340.35M,,2010-06,,59.11M,-135.21M,,2010-06,AOR,Restated
2010-03,62.19M,,,,,,15.26M,2.524M,17.79M,17.79M,-3.745M,,0.363M,5.223M,,-1.898M,-15.53M,-14.47M,-5.729M,-10.12M,,2.477M,-43.38M,36.54M,,2010-03,-8.137M,0.113M,0.113M,-0.107M,,,-15.71M,,2010-03,12.62M,-2.124M,10.50M,,-41.42M,-41.42M,,7.403M,1.898M,-29.04M,,450.35M,-8.203M,-37.13M,405.02M,,2010-03,,-299.22M,-41.42M,,2010-03,AOR,Restated
2009-12,76.05M,,,,,,13.97M,1.861M,15.83M,15.83M,-9.46M,,,1.498M,2.921M,-12.48M,6.224M,17.04M,6.748M,10.07M,,4.312M,44.40M,117.12M,,2009-12,-13.08M,3.717M,3.717M,0.114M,0.003M,,-9.365M,,2009-12,84.84M,-5.983M,78.86M,,-57.46M,-57.46M,,3.955M,0.584M,18.48M,,333.37M,126.24M,-9.256M,450.35M,,2009-12,,0.229M,-57.46M,,2009-12,AOR,Restated
2009-09,67.85M,,,,,,13.74M,2.653M,16.40M,16.40M,5.276M,,,5.055M,-0.918M,0.00,11.29M,8.379M,-3.876M,22.77M,,-2.226M,36.34M,130.00M,,2009-09,-17.20M,1.145M,1.145M,1.13M,0.005M,,-16.04M,,2009-09,-2.01M,-37.82M,-39.83M,,-11.48M,-11.48M,,3.601M,0.918M,-54.25M,,251.87M,59.71M,21.79M,333.37M,,2009-09,,-3.492M,-11.48M,,2009-09,AOR,Restated
2009-06,70.58M,,,,,,13.44M,3.133M,16.58M,16.58M,6.129M,,,4.934M,-1.411M,-0.095M,-14.71M,20.97M,2.916M,-0.076M,,-1.085M,8.008M,104.72M,,2009-06,-12.03M,0.981M,0.981M,-1.258M,0.156M,,-13.31M,,2009-06,-110.53M,35.30M,-75.24M,,-5.114M,-5.114M,,4.49M,1.411M,-81.91M,,226.30M,9.505M,16.07M,251.87M,,2009-06,,-1.633M,-5.114M,,2009-06,AOR,Restated
2009-03,59.93M,,,,,,12.93M,3.441M,16.37M,16.37M,-1.75M,,,4.789M,-0.592M,0.423M,-19.74M,-18.68M,1.208M,-31.32M,,,-68.53M,10.64M,,2009-03,-14.18M,0.017M,0.017M,0.00,0.058M,,-14.68M,,2009-03,55.39M,1.045M,56.44M,,-4.664M,-4.664M,,1.36M,0.592M,46.27M,,203.99M,42.22M,-19.92M,226.30M,,2009-03,,-53.51M,-4.664M,,2009-03,AOR,Restated
2008-12,70.95M,,,,,17.20M,11.19M,2.339M,13.53M,13.53M,-11.87M,,-20.20M,4.542M,,-9.702M,41.65M,-6.906M,0.956M,-1.977M,,0.581M,34.70M,99.14M,,2008-12,-21.43M,-0.106M,-0.106M,-0.276M,200.29M,,105.40M,,2008-12,-20.53M,1.078M,-19.46M,,-12.86M,-12.86M,,0.736M,0.335M,-37.97M,,54.20M,166.56M,-16.78M,203.99M,,2008-12,,-20.53M,-12.86M,,2008-12,AOR,
2008-09,66.06M,,,,,,12.75M,2.34M,15.09M,15.09M,6.703M,,19.08M,4.344M,,-16.20M,4.367M,-15.64M,3.138M,10.86M,,,2.735M,97.82M,,2008-09,-18.72M,-0.097M,-0.097M,-0.01M,94.94M,,34.60M,,2008-09,-165.51M,-2.455M,-167.97M,,-4.304M,-4.304M,,6.249M,1.567M,-171.17M,,113.45M,-38.75M,-20.50M,54.20M,,2008-09,,-205.61M,-4.304M,,2008-09,,Restated
2008-06,78.70M,,,,,-0.204M,11.92M,2.174M,14.10M,14.10M,0.093M,,1.127M,4.311M,,2.876M,-16.96M,-4.08M,0.166M,33.59M,,-4.864M,7.856M,108.85M,,2008-06,-20.08M,0.313M,0.313M,-2.191M,-56.78M,,-76.55M,,2008-06,-0.455M,-0.949M,-1.404M,,-7.643M,-7.643M,,2.725M,0.869M,-12.17M,,90.66M,20.14M,2.658M,113.45M,,2008-06,,0.00,-7.643M,,2008-06,,Restated
