,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2002-06,557.33M,557.33M,273.57M,283.75M,21.86M,21.86M,35.92M,-0.83M,-8.339M,,,,493.08M,542.52M,-258.77M,,,,-0.83M,,20.77M,5.287M,15.48M,15.48M,16.10M,-222.85M,35.92M,-258.77M,,0.105,0.00,0.1092,0.105,,0.10,0.00,0.1040,0.10,,148.43M,153.21M,0.00,,AOR,
2002-03,510.22M,510.22M,252.11M,258.11M,15.77M,15.77M,35.98M,-0.45M,-7.988M,,,,463.78M,507.55M,-249.44M,,,,-0.45M,,6.345M,1.491M,4.854M,4.854M,5.198M,-213.46M,35.98M,-249.44M,,0.0325,0.00,0.0349,0.0325,,0.0325,0.00,0.0348,0.0325,,145.06M,149.08M,0.00,,AOR,
2001-12,546.24M,546.24M,240.24M,306.00M,35.34M,35.34M,36.19M,-1.324M,-7.563M,,,,451.24M,515.21M,-209.21M,,,,-1.324M,,25.71M,7.532M,18.18M,18.14M,19.07M,-173.02M,-249.32M,-209.21M,,0.125,0.00,0.1314,0.125,,0.125,0.00,0.1314,0.125,,146.45M,146.45M,0.00,,AOR,Restated
2001-09,537.16M,537.16M,273.09M,264.07M,19.97M,19.97M,35.72M,-0.771M,-8.66M,,,,491.06M,538.08M,-274.02M,,,,-0.771M,,5.352M,0.803M,4.549M,4.549M,5.204M,-238.30M,35.72M,-274.02M,,0.0325,0.00,0.0371,0.0325,,0.03,0.00,0.0344,0.03,,143.36M,147.38M,0.00,,AOR,
2001-06,521.49M,521.49M,258.39M,263.10M,18.86M,18.86M,35.34M,-0.155M,-8.321M,,,,472.04M,517.92M,-254.82M,,,,-0.155M,,9.746M,1.178M,8.568M,8.568M,8.704M,-219.49M,35.34M,-254.82M,,0.06,0.00,0.0610,0.06,,0.06,0.00,0.0610,0.06,,141.25M,143.24M,0.00,,AOR,
2001-03,495.42M,495.42M,247.15M,248.26M,12.59M,12.59M,35.51M,0.166M,-8.072M,,,,459.24M,499.27M,-251.00M,,,,0.166M,,2.269M,0.624M,1.645M,1.645M,1.525M,-215.49M,35.51M,-251.00M,,0.0125,0.00,0.0116,0.0125,,0.0125,0.00,0.0117,0.0125,,141.09M,143.17M,0.00,,AOR,
2000-12,533.97M,533.92M,260.62M,273.30M,42.15M,42.15M,35.48M,1.193M,-8.258M,,,,457.17M,526.54M,-253.24M,,,,1.193M,,12.81M,1.921M,10.88M,10.91M,9.896M,-217.76M,-233.30M,-253.24M,,0.0775,0.00,0.0704,0.0775,,0.0775,0.00,0.0704,0.0775,,141.97M,141.97M,0.00,,AOR,Restated
2000-09,509.42M,509.42M,247.24M,262.18M,15.64M,15.64M,34.24M,0.548M,-8.39M,,,,461.57M,503.06M,-240.88M,,,,0.548M,,9.552M,0.429M,9.123M,9.123M,8.600M,-206.64M,34.24M,-240.88M,,0.065,0.00,0.0613,0.065,,0.065,0.00,0.0613,0.065,,140.64M,141.12M,0.00,,AOR,
2000-06,583.50M,583.50M,314.84M,268.66M,15.79M,15.79M,33.32M,0.00,-8.329M,,,,531.69M,572.47M,-303.81M,,,,,,13.82M,2.764M,11.05M,11.05M,11.05M,-207.13M,96.68M,-303.81M,,0.0775,0.00,0.0775,0.0775,,0.0775,0.00,0.0775,0.0775,,141.26M,142.02M,0.00,,AOR,
2000-03,533.56M,533.56M,280.51M,253.05M,27.47M,27.47M,32.01M,2.675M,-7.665M,,,,25.54M,77.35M,175.70M,,,,2.675M,,6.266M,1.253M,5.013M,5.013M,2.873M,207.71M,-32.01M,175.70M,,0.035,0.00,0.0200,0.035,,0.035,0.00,0.0200,0.035,,142.42M,142.49M,0.0125,,AOR,
1999-12,553.37M,553.40M,326.87M,226.53M,,-500.90M,33.87M,0.241M,-6.818M,,,,,1.319B,-1.093B,,,,0.241M,,7.684M,2.075M,5.609M,5.60M,5.424M,-1.059B,-33.87M,-1.093B,,0.04,0.00,0.0387,0.04,,0.04,0.00,0.0387,0.04,,139.61M,139.61M,0.0125,,AOR,Restated
1999-09,523.90M,523.90M,259.10M,264.80M,,205.10M,38.20M,0.20M,-6.70M,,,,,236.60M,28.20M,,,,0.20M,,7.90M,2.90M,5.00M,5.00M,4.873M,66.40M,-38.67M,28.20M,,0.035,0.00,0.0341,0.035,,0.035,0.00,0.0341,0.035,,142.54M,142.77M,0.0125,,,
1999-06,497.55M,497.55M,239.40M,258.15M,20.36M,20.36M,38.52M,,-7.064M,,,,30.69M,82.52M,175.64M,,,,,,16.98M,6.199M,10.78M,10.78M,10.78M,214.16M,-38.23M,175.64M,,0.075,0.00,0.075,0.075,,0.075,0.00,0.075,0.075,,142.50M,143.39M,0.0125,,,
1999-03,470.24M,470.24M,208.40M,261.84M,,193.10M,38.20M,,-6.50M,,,,,224.80M,37.04M,,,,,,16.70M,6.10M,10.60M,10.60M,10.60M,75.24M,-38.20M,37.04M,,0.075,0.00,0.075,0.075,,0.0725,0.00,0.0725,0.0725,,141.33M,146.21M,0.0125,,,
1998-12,493.79M,493.76M,238.53M,255.23M,22.94M,22.94M,39.22M,,-6.128M,,,,1.509B,1.565B,-1.309B,,,,,,17.66M,6.779M,10.88M,10.84M,10.84M,-1.270B,-39.22M,-1.309B,,0.0761,,0.0761,0.0761,,0.075,0.00,0.075,0.075,,142.30M,143.70M,0.0125,,AOR,Restated
1998-09,473.39M,473.39M,229.20M,244.19M,21.30M,21.30M,35.66M,,-5.891M,,,,24.51M,75.57M,168.62M,,,,,,17.22M,6.371M,10.85M,10.85M,10.85M,204.27M,-35.66M,168.62M,,0.075,0.00,0.075,0.075,,0.075,0.00,0.075,0.075,,142.39M,146.81M,0.0125,,,
1998-06,460.98M,460.98M,219.65M,241.33M,17.82M,17.82M,33.05M,,-6.634M,,,,23.99M,68.23M,173.11M,,,,,,24.41M,8.789M,15.62M,15.62M,15.62M,206.15M,-33.05M,173.11M,,0.11,0.00,0.11,0.11,,0.105,0.00,0.105,0.105,,142.04M,147.88M,0.0125,,,
1998-03,413.47M,413.47M,200.04M,213.42M,15.94M,15.94M,32.43M,,-5.376M,,,,21.35M,64.34M,149.08M,,,,,,15.05M,5.569M,9.483M,9.483M,9.483M,181.51M,-32.43M,149.08M,,0.0675,0.00,0.0675,0.0675,,0.065,0.00,0.065,0.065,,142.45M,146.59M,0.0125,,,
1997-12,415.24M,415.24M,168.82M,246.42M,,550.72M,32.51M,,-6.036M,,,,,508.13M,-261.71M,,,,,,11.38M,4.331M,7.045M,7.045M,7.045M,-229.20M,-32.51M,-261.71M,,0.0475,0.00,0.0475,0.0475,,0.0475,0.00,0.0475,0.0475,,150.03M,150.03M,0.0125,,AOR,
1997-09,388.46M,388.46M,197.68M,190.78M,18.28M,18.28M,31.71M,,-6.137M,,,,23.24M,67.09M,123.69M,,,,,,3.10M,1.178M,1.922M,1.922M,1.922M,155.40M,-31.71M,123.69M,,0.0125,0.00,0.0125,0.0125,,0.0125,0.00,0.0125,0.0125,,145.55M,145.55M,0.0125,,,
1997-06,385.20M,385.20M,193.74M,191.46M,19.18M,19.18M,33.23M,,-6.349M,,,,23.68M,69.74M,121.72M,,,,,,3.008M,1.143M,1.865M,1.865M,1.865M,154.95M,-33.23M,121.72M,,0.0125,0.00,0.0125,0.0125,,0.0125,0.00,0.0125,0.0125,,145.82M,145.82M,0.0125,,,
1997-03,365.40M,365.40M,187.10M,178.30M,20.33M,20.33M,33.25M,,-6.078M,,,,22.15M,69.64M,108.66M,,,,,,0.916M,0.348M,0.568M,0.568M,0.568M,141.91M,-33.25M,108.66M,,0.005,0.00,0.005,0.005,,0.005,0.00,0.005,0.005,,147.00M,147.00M,0.0125,,,
1996-12,381.42M,381.42M,195.34M,186.08M,23.87M,23.87M,32.77M,,-6.402M,,,,22.97M,73.21M,112.87M,,,,,,8.651M,3.287M,5.364M,5.364M,5.364M,145.64M,-32.77M,112.87M,,0.035,0.00,0.035,0.035,,0.035,0.00,0.035,0.035,,149.69M,149.69M,0.0125,,AOR,
1996-09,378.74M,378.74M,190.28M,188.46M,25.25M,25.25M,28.15M,,-6.738M,,,,22.96M,69.62M,118.84M,,,,,,11.42M,4.341M,7.082M,7.082M,7.082M,146.99M,-28.15M,118.84M,,0.0475,0.00,0.0475,0.0475,,0.0475,0.00,0.0475,0.0475,,152.38M,152.38M,0.0125,,,
1996-06,372.57M,372.57M,182.88M,189.69M,31.09M,31.09M,29.87M,,-7.12M,,,,23.90M,77.74M,111.95M,,,,,,11.07M,4.208M,6.866M,6.866M,6.866M,141.82M,-29.87M,111.95M,,0.045,0.00,0.045,0.045,,0.045,0.00,0.045,0.045,,152.24M,152.24M,0.0125,,,
1996-03,354.01M,354.01M,173.87M,180.15M,25.14M,25.14M,34.14M,,-7.162M,,,,22.60M,74.72M,105.43M,,,,,,4.521M,1.718M,2.803M,2.803M,2.803M,139.57M,-34.14M,105.43M,,0.0175,0.00,0.0175,0.0175,,0.0175,0.00,0.0175,0.0175,,152.30M,152.30M,0.0125,,,
1995-12,358.44M,358.44M,123.80M,234.64M,,485.25M,33.55M,-16.64M,-7.01M,,,,,439.60M,-204.95M,,,,-16.64M,,-10.79M,-3.997M,-6.791M,-6.791M,3.684M,-171.40M,-33.55M,-204.95M,,-0.045,0.00,0.0398,-0.045,,-0.045,0.00,0.0398,-0.045,,123.49M,123.49M,0.0125,,AOR,
1995-09,355.11M,355.11M,176.22M,178.90M,26.66M,26.66M,30.97M,-0.66M,-6.535M,,,,24.88M,75.98M,102.92M,,,,-0.66M,,2.921M,1.081M,1.84M,1.84M,2.256M,133.89M,-30.97M,102.92M,,0.0125,0.00,0.0152,0.0125,,0.0125,0.00,0.0152,0.0125,,154.68M,154.68M,0.0125,,,
1995-06,329.22M,329.22M,156.22M,173.00M,25.54M,25.54M,33.76M,,-6.976M,,,,26.33M,78.65M,94.35M,,,,,,-3.395M,-1.256M,-2.139M,-2.139M,-2.139M,128.10M,-33.76M,94.35M,,-0.015,0.00,-0.015,-0.015,,-0.015,0.00,-0.015,-0.015,,154.28M,154.28M,0.0125,,,
1995-03,309.42M,309.42M,144.56M,164.86M,18.65M,18.65M,32.02M,,-5.879M,,,,20.99M,65.78M,99.08M,,,,,,7.762M,2.872M,4.89M,4.89M,4.89M,131.11M,-32.02M,99.08M,,0.0325,0.00,0.0325,0.0325,,0.0325,0.00,0.0325,0.0325,,154.22M,154.22M,0.0125,,,
1994-12,331.29M,331.29M,149.11M,182.18M,6.804M,6.804M,32.28M,,-7.653M,,,,952.58M,984.00M,-801.83M,,,,,,18.19M,7.363M,10.83M,10.83M,10.83M,-612.78M,189.05M,-801.83M,,0.07,0.00,0.07,0.07,,0.07,0.00,0.07,0.07,,152.86M,154.21M,0.0125,,AOR,
1994-09,313.91M,313.91M,140.08M,173.83M,19.49M,19.49M,28.03M,,-7.122M,,,,20.95M,61.34M,112.49M,,,,,,19.77M,7.509M,12.26M,12.26M,12.26M,140.52M,-28.03M,112.49M,,0.08,0.00,0.08,0.08,,0.08,0.00,0.08,0.08,,154.46M,154.46M,0.0125,,,
1994-06,297.74M,297.74M,130.36M,167.37M,20.53M,20.53M,25.86M,,-7.058M,,,,20.01M,59.35M,108.02M,,,,,,18.65M,7.078M,11.58M,11.58M,11.58M,133.88M,-25.86M,108.02M,,0.075,0.00,0.075,0.075,,0.075,0.00,0.075,0.075,,154.16M,154.16M,0.0125,,,
1994-03,264.66M,264.66M,120.51M,144.15M,18.08M,18.08M,24.49M,,-5.184M,,,,18.56M,55.95M,88.20M,,,,,,8.532M,2.806M,5.726M,5.726M,5.726M,112.69M,-24.49M,88.20M,,0.0375,0.00,0.0375,0.0375,,0.0375,0.00,0.0375,0.0375,,154.01M,154.01M,0.0125,,,
1993-12,259.70M,259.70M,106.10M,153.60M,,106.00M,18.70M,,-7.20M,,,,,117.50M,36.10M,,,,,,17.30M,6.40M,10.90M,10.90M,10.90M,54.80M,-18.70M,36.10M,,0.0725,0.00,0.0725,0.0725,,0.0725,0.00,0.0725,0.0725,,149.79M,149.79M,0.0125,,,
1993-09,253.60M,253.60M,93.90M,159.70M,,106.60M,23.90M,,-7.50M,,,,,123.00M,36.70M,,,,,,18.10M,9.30M,8.80M,8.80M,8.80M,60.60M,-23.90M,36.70M,,0.0575,0.00,0.0575,0.0575,,0.0575,0.00,0.0575,0.0575,,153.04M,153.04M,0.0125,,,
1993-06,260.40M,260.40M,96.30M,164.10M,,115.20M,17.30M,,-7.30M,,,,,125.20M,38.90M,,,,,,21.40M,7.90M,13.50M,13.50M,13.50M,56.20M,-17.30M,38.90M,,0.0875,0.00,0.0875,0.0875,,0.0875,0.00,0.0875,0.0875,,154.29M,154.29M,0.0125,,,
1993-03,247.20M,247.20M,91.80M,155.40M,,114.20M,23.30M,,-6.90M,,,,,130.60M,24.80M,,,,,,7.90M,2.90M,5.00M,5.00M,5.00M,48.10M,-23.30M,24.80M,,0.0325,0.00,0.0325,0.0325,,0.0325,0.00,0.0325,0.0325,,153.85M,153.85M,0.0125,,,
1992-12,245.70M,245.70M,84.60M,161.10M,,110.60M,25.60M,,-6.70M,,,,,129.50M,31.60M,,,,,,15.20M,4.70M,10.50M,12.30M,10.50M,57.20M,-25.60M,31.60M,,0.0675,0.0125,0.0675,0.08,,0.0675,0.0125,0.0675,0.08,,156.39M,156.39M,0.0125,,,
1992-09,241.20M,241.20M,82.60M,158.60M,,110.80M,22.00M,,-6.50M,,,,,126.30M,32.30M,,,,,,16.40M,6.00M,10.40M,10.40M,10.40M,54.30M,-22.00M,32.30M,,0.075,0.00,0.075,0.075,,0.075,0.00,0.075,0.075,,138.67M,138.67M,0.0125,,,
1992-06,223.80M,223.80M,74.50M,149.30M,,104.10M,19.60M,,-6.50M,,,,,117.20M,32.10M,,,,,,16.20M,6.40M,9.80M,9.80M,9.80M,51.70M,-19.80M,32.10M,,0.07,0.00,0.07,0.07,,0.07,0.00,0.07,0.07,,140.00M,140.00M,0.0125,,,
1992-03,201.30M,201.30M,67.10M,134.20M,,96.10M,19.40M,,-6.00M,,,,,109.50M,24.70M,,,,,,10.40M,4.10M,6.30M,6.30M,6.30M,44.10M,-19.40M,24.70M,,0.045,0.00,0.045,0.045,,0.045,0.00,0.045,0.045,,140.00M,140.00M,0.0117,,,
1991-12,198.00M,198.00M,67.50M,130.50M,,91.10M,17.30M,,-5.70M,,,,,102.70M,27.80M,,,,,,13.80M,5.40M,8.40M,8.40M,8.40M,45.10M,-17.30M,27.80M,,0.06,0.00,0.06,0.06,,0.06,0.00,0.06,0.06,,140.21M,140.21M,0.0117,,,
1991-09,196.00M,196.00M,58.70M,137.30M,,94.80M,18.60M,,-5.50M,,,,,107.90M,29.40M,,,,,,15.60M,6.20M,9.40M,9.40M,9.40M,48.00M,-18.60M,29.40M,,0.0675,0.00,0.0675,0.0675,,0.0675,0.00,0.0675,0.0675,,139.26M,139.26M,0.0117,,,
1991-06,166.60M,166.60M,53.40M,113.20M,,75.80M,16.50M,,-5.10M,,,,,87.20M,26.00M,,,,,,12.90M,5.10M,7.80M,7.80M,7.80M,42.50M,-16.50M,26.00M,,0.0575,0.00,0.0575,0.0575,,0.0575,0.00,0.0575,0.0575,,135.65M,135.65M,0.0117,,,
1991-03,158.40M,158.40M,48.80M,109.60M,,78.50M,16.70M,,-5.40M,,,,,89.80M,19.80M,,,,,,6.40M,2.50M,3.90M,3.90M,3.90M,36.50M,-16.70M,19.80M,,0.0275,0.00,0.0275,0.0275,,0.0275,0.00,0.0275,0.0275,,141.82M,141.82M,0.0117,,,
1990-12,159.30M,159.30M,86.40M,72.90M,,107.50M,13.50M,,61.50M,,,,,182.50M,-109.60M,,,,,,11.10M,4.40M,6.70M,6.70M,6.70M,-96.10M,-13.50M,-109.60M,,0.0475,0.00,0.0475,0.0475,,0.0475,0.00,0.0475,0.0475,,141.07M,141.07M,0.0100,,,
1990-09,142.30M,142.30M,22.80M,119.50M,,62.30M,14.50M,,-26.70M,,,,,50.10M,69.40M,,,,,,14.40M,5.70M,8.70M,8.70M,8.70M,83.90M,-14.50M,69.40M,,0.0625,0.00,0.0625,0.0625,,0.0625,0.00,0.0625,0.0625,,139.20M,139.20M,0.0100,,,
1990-06,140.90M,140.90M,23.80M,117.10M,,61.60M,14.80M,,-25.10M,,,,,51.30M,65.80M,,,,,,14.10M,5.60M,8.50M,8.50M,8.50M,80.60M,-14.80M,65.80M,,0.06,0.00,0.06,0.06,,0.06,0.00,0.06,0.06,,141.67M,141.67M,0.0100,,,
1990-03,137.30M,137.30M,26.20M,111.10M,,52.40M,13.50M,,-33.10M,,,,,32.80M,78.30M,,,,,,9.90M,3.90M,6.00M,6.00M,6.00M,91.80M,-13.50M,78.30M,,0.0425,0.00,0.0425,0.0425,,0.0425,0.00,0.0425,0.0425,,141.18M,141.18M,0.0100,,,
1989-12,132.10M,132.10M,68.30M,63.80M,,88.50M,11.20M,,52.70M,,,,,152.40M,-88.60M,,,,,,14.20M,5.90M,8.30M,8.30M,8.30M,-77.40M,-11.20M,-88.60M,,0.06,0.00,0.06,0.06,,0.06,0.00,0.06,0.06,,138.00M,138.00M,0.0100,,,
1989-09,135.20M,135.20M,20.50M,114.70M,,58.60M,12.40M,,-24.90M,,,,,46.10M,68.60M,,,,,,16.10M,6.70M,9.40M,9.40M,9.40M,81.00M,12.40M,68.60M,,0.0675,0.00,0.0675,0.0675,,0.0675,0.00,0.0675,0.0675,,139.26M,139.26M,0.0100,,,
1989-06,130.80M,130.80M,,,,,,,,,,,,,130.80M,,,,,,,,7.90M,7.90M,7.90M,130.80M,,130.80M,,0.055,0.00,0.055,0.055,,0.055,0.00,0.055,0.055,,143.64M,143.64M,0.0100,,,
1989-03,111.30M,111.30M,,,,,,,,,,,,,111.30M,,,,,,,,4.90M,4.90M,4.90M,111.30M,,111.30M,,0.035,0.00,0.035,0.035,,0.035,0.00,0.035,0.035,,140.00M,140.00M,0.0100,,,
1988-12,102.20M,102.20M,,,,,,,,,,,,,-204.00M,,,,,,,,8.50M,8.50M,8.50M,-204.00M,,-204.00M,,0.06,0.00,0.06,0.06,,0.06,0.00,0.06,0.06,,141.65M,141.65M,0.0056,,,
1988-09,103.90M,103.90M,,,,,,,,,,,,,103.90M,,,,,,,,9.90M,9.90M,9.90M,103.90M,,103.90M,,0.07,0.00,0.07,0.07,,0.07,0.00,0.07,0.07,,141.43M,141.43M,0.0056,,,
1988-06,98.50M,98.50M,,,,,,,,,,,,,98.50M,,,,,,,,8.90M,8.90M,8.90M,98.50M,,98.50M,,0.0625,0.00,0.0625,0.0625,,0.0625,0.00,0.0625,0.0625,,142.40M,142.40M,0.0056,,,
1988-03,88.00M,88.00M,,,,,,,,,,,,,88.00M,,,,,,,,5.80M,5.80M,5.80M,88.00M,,88.00M,,0.0425,0.00,0.0425,0.0425,,0.0425,0.00,0.0425,0.0425,,136.47M,136.47M,0.0056,,,
1987-12,80.10M,80.10M,,,,,,,,,,,,,-142.20M,,,,,,,,4.80M,4.80M,4.80M,-142.20M,,-142.20M,,0.0325,0.00,0.0325,0.0325,,0.0325,0.00,0.0325,0.0325,,146.49M,146.49M,0.0067,,,
1987-09,74.90M,74.90M,,,,,,,,,,,,,74.90M,,,,,,,,5.60M,5.60M,5.60M,74.90M,,74.90M,,0.04,0.00,0.04,0.04,,0.04,0.00,0.04,0.04,,140.00M,140.00M,0.0067,,,
1987-06,67.70M,67.70M,,,,,,,,,,,,,67.70M,,,,,,,,6.10M,6.10M,6.10M,67.70M,,67.70M,,0.0425,0.00,0.0425,0.0425,,0.0425,0.00,0.0425,0.0425,,143.53M,143.53M,0.0067,,,
1987-03,63.80M,63.80M,,,,,,,,,,,,,63.80M,,,,,,,,6.00M,6.00M,6.00M,63.80M,,63.80M,,0.0425,0.00,0.0425,0.0425,,0.0425,0.00,0.0425,0.0425,,141.18M,141.18M,0.0067,,,
1986-12,57.70M,57.70M,,,,,,,,,,,,,-66.10M,,,,,,,,5.50M,5.50M,5.50M,-66.10M,,-66.10M,,0.04,0.00,0.04,0.04,,0.04,0.00,0.04,0.04,,137.90M,137.90M,0.0050,,,
1986-09,53.30M,53.30M,,,,,,,,,,,,,53.30M,,,,,,,,7.70M,7.70M,7.70M,53.30M,,53.30M,,0.0525,0.00,0.0525,0.0525,,0.0525,0.00,0.0525,0.0525,,146.67M,146.67M,0.0050,,,
1986-06,49.30M,49.30M,,,,,,,,,,,,,49.30M,,,,,,,,6.70M,6.70M,6.70M,49.30M,,49.30M,,0.0475,0.00,0.0475,0.0475,,0.0475,0.00,0.0475,0.0475,,141.05M,141.05M,0.0028,,,
1986-03,43.50M,43.50M,,,,,,,,,,,,,43.50M,,,,,,,,4.80M,4.80M,4.80M,43.50M,,43.50M,,0.035,0.00,0.035,0.035,,0.035,0.00,0.035,0.035,,137.14M,137.14M,0.0028,,,
1985-12,39.00M,39.00M,,,,,,,,,,,,,-45.20M,,,,,,,,4.60M,4.60M,4.60M,-45.20M,,-45.20M,,0.035,0.00,0.035,0.035,,0.035,0.00,0.035,0.035,,129.44M,129.44M,0.0028,,,
1985-09,35.90M,35.90M,,,,,,,,,,,,,35.90M,,,,,,,,4.50M,4.50M,4.50M,35.90M,,35.90M,,0.0325,0.00,0.0325,0.0325,,0.0325,0.00,0.0325,0.0325,,138.46M,138.46M,0.0028,,,
1985-06,29.70M,29.70M,,,,,,,,,,,,,29.70M,,,,,,,,4.00M,4.00M,4.00M,29.70M,,29.70M,,0.0275,0.00,0.0275,0.0275,,0.0275,0.00,0.0275,0.0275,,145.45M,145.45M,0.0028,,,
1985-03,27.00M,27.00M,,,,,,,,,,,,,27.00M,,,,,,,,3.20M,3.20M,3.20M,27.00M,,27.00M,,0.0225,0.00,0.0225,0.0225,,0.0225,0.00,0.0225,0.0225,,142.22M,142.22M,0.0028,,,
1984-12,27.10M,27.10M,,,,,,,,,,,,,-36.70M,,,,,,,,3.20M,3.20M,3.20M,-36.70M,,-36.70M,,0.025,0.00,0.025,0.025,,0.025,0.00,0.025,0.025,,128.29M,128.29M,,,,
1984-09,26.00M,26.00M,,,,,,,,,,,,,26.00M,,,,,,,,5.20M,5.20M,5.20M,26.00M,,26.00M,,0.04,0.00,0.04,0.04,,0.04,0.00,0.04,0.04,,130.00M,130.00M,,,,
1984-06,24.30M,24.30M,,,,,,,,,,,,,24.30M,,,,,,,,3.50M,3.50M,3.50M,24.30M,,24.30M,,0.0275,0.00,0.0275,0.0275,,0.0275,0.00,0.0275,0.0275,,127.27M,127.27M,,,,
1984-03,20.60M,20.60M,,,,,,,,,,,,,20.60M,,,,,,,,2.20M,2.20M,2.20M,20.60M,,20.60M,,0.0175,0.00,0.0175,0.0175,,0.0175,0.00,0.0175,0.0175,,125.71M,125.71M,,,,
