,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2014-06,5.87M,5.87M,667.62M,,667.62M,,65.74M,,,739.22M,,,,,3.489B,-1.172B,2.317B,,,,,35.59M,2.352B,3.091B,,338.06M,,,338.06M,174.09M,512.15M,,,,,,2.485M,2.485M,,514.63M,874.03M,,874.03M,560.29M,560.29M,61.29M,1.496B,2.010B,,,,,,,,1.081B,,AOR,Restated
2014-03,124.21M,124.21M,635.11M,,635.11M,,82.74M,,,842.07M,,,,,3.399B,-1.163B,2.236B,,,,,37.56M,2.274B,3.116B,,371.24M,,,371.24M,189.08M,560.32M,,100.00M,,100.00M,,2.485M,2.485M,,662.80M,752.21M,,752.21M,572.68M,572.68M,59.91M,1.385B,2.048B,,,,,,,,1.068B,,AOR,Restated
2013-12,5.831M,5.831M,568.52M,,568.52M,26.25M,64.19M,0.00,15.42M,680.20M,,37.83M,3.078B,144.44M,3.260B,-1.148B,2.112B,,,,,27.00M,2.139B,2.819B,,305.46M,,,305.46M,154.35M,459.81M,,250.00M,,250.00M,,2.485M,2.485M,,712.30M,458.42M,,458.42M,577.96M,577.96M,58.27M,1.095B,1.807B,,1.671M,2.275B,226.60M,1.491B,,,1.012B,,AOR,Restated
2013-09,5.968M,5.968M,584.91M,,584.91M,,57.15M,,,648.03M,,,,,3.150B,-1.113B,2.037B,,,,,27.02M,2.064B,2.712B,,304.80M,,,304.80M,134.79M,439.59M,,250.00M,,250.00M,,0.75M,0.75M,,690.34M,437.47M,,437.47M,547.42M,547.42M,56.72M,1.042B,1.732B,,,,,,,,980.48M,,AOR,Restated
2013-06,5.923M,5.923M,579.64M,,579.64M,,66.00M,,,651.56M,,,,,3.054B,-1.077B,1.976B,,,,,28.53M,2.005B,2.656B,,364.20M,,,364.20M,134.16M,498.36M,,200.00M,,200.00M,,0.75M,0.75M,,699.11M,474.13M,,474.13M,528.15M,528.15M,52.69M,1.055B,1.754B,,,,,,,,902.24M,,AOR,Restated
2013-03,5.747M,5.747M,529.33M,,529.33M,,80.12M,,,615.20M,,,,,2.983B,-1.041B,1.941B,,,,,29.50M,1.971B,2.586B,,374.97M,,,374.97M,151.50M,526.47M,,200.00M,,200.00M,,0.75M,0.75M,,727.22M,393.29M,,393.29M,536.02M,536.02M,53.82M,983.13M,1.710B,,,,,,,,875.77M,,AOR,Restated
2012-12,5.589M,5.589M,466.01M,,466.01M,23.06M,50.11M,,9.761M,554.53M,,36.48M,2.732B,135.97M,2.905B,-1.019B,1.885B,,,,,24.64M,1.910B,2.465B,,266.72M,,,266.72M,135.29M,402.01M,,100.00M,,100.00M,,0.75M,0.75M,,502.76M,585.35M,,585.35M,531.62M,531.62M,53.05M,1.170B,1.673B,,1.671M,1.985B,207.07M,1.402B,,,791.86M,,AOR,Restated
2012-09,5.659M,5.659M,504.25M,,504.25M,,53.35M,,,563.26M,,,,,2.862B,-1.014B,1.848B,,,,,26.63M,1.875B,2.438B,,328.76M,,,328.76M,61.60M,390.36M,,100.00M,,100.00M,,,,,548.68M,544.90M,,544.90M,516.72M,516.72M,46.85M,1.108B,1.657B,,,,,,,,781.19M,,AOR,Restated
2012-06,5.887M,5.887M,472.08M,,472.08M,,62.46M,,,540.42M,,,,,2.777B,-981.32M,1.796B,,,,,29.06M,1.825B,2.365B,,298.59M,,,298.59M,68.09M,366.68M,,100.00M,,100.00M,,,,,524.36M,579.46M,,579.46M,498.46M,498.46M,49.72M,1.128B,1.652B,,,,,,,,713.27M,,AOR,Restated
2012-03,5.713M,5.713M,447.71M,,447.71M,,82.67M,,,536.09M,,,,,2.713B,-952.68M,1.761B,,,,,26.26M,1.787B,2.323B,,301.64M,,,301.64M,88.21M,389.85M,,100.00M,,100.00M,,,,,543.42M,602.12M,,602.12M,500.04M,500.04M,46.99M,1.149B,1.693B,,,,,,,,630.30M,,AOR,Restated
2011-12,5.45M,5.45M,411.48M,,411.48M,20.93M,46.38M,5.136M,24.16M,513.54M,,29.25M,2.497B,132.20M,2.658B,-931.27M,1.727B,,,,,26.92M,1.754B,2.267B,,251.62M,,,251.62M,136.89M,388.52M,,50.00M,,50.00M,,0.00,0.00,,438.52M,699.18M,,699.18M,516.72M,516.72M,45.38M,1.261B,1.700B,,1.671M,1.758B,192.47M,1.385B,,,567.54M,,AOR,Restated
2011-09,7.747M,7.747M,424.63M,,424.63M,,45.01M,,,477.39M,,,,,2.568B,-911.28M,1.656B,,,,,28.88M,1.685B,2.163B,,275.67M,,,275.67M,70.82M,346.50M,,50.00M,,50.00M,,22.36M,22.36M,,487.22M,718.03M,,718.03M,413.48M,413.48M,46.29M,1.178B,1.665B,,,,,,,,497.63M,,AOR,Restated
2011-06,11.15M,11.15M,440.76M,,440.76M,,56.25M,,,508.15M,,,,,2.480B,-886.62M,1.593B,,,,,19.46M,1.613B,2.121B,,270.96M,,,270.96M,71.71M,342.67M,,15.00M,,15.00M,,22.36M,22.36M,,446.13M,649.29M,,649.29M,384.55M,384.55M,42.54M,1.076B,1.523B,,,,,,,,598.34M,,AOR,Restated
2011-03,5.393M,5.393M,402.92M,,402.92M,,67.25M,,,475.57M,,,,,2.403B,-857.43M,1.545B,,,,,19.68M,1.565B,2.040B,,249.73M,,,249.73M,62.74M,312.47M,,49.00M,,49.00M,,15.58M,15.58M,,424.98M,649.25M,,649.25M,366.46M,366.46M,40.42M,1.056B,1.481B,,,,,,,,559.27M,,AOR,Restated
2010-12,7.651M,7.651M,351.19M,,351.19M,17.34M,54.32M,,32.15M,462.64M,126.21M,29.25M,2.183B,,2.338B,-858.85M,1.479B,,,,,19.53M,1.499B,1.962B,,192.10M,,,192.10M,108.98M,301.08M,,200.00M,,200.00M,,8.865M,8.865M,,509.95M,454.21M,,454.21M,385.00M,385.00M,39.48M,878.69M,1.389B,,1.671M,1.564B,180.99M,1.173B,,,573.02M,,AOR,Restated
2010-09,68.56M,68.56M,371.12M,,371.12M,,46.58M,,,486.26M,,,,,2.277B,-827.06M,1.450B,,,,,19.71M,1.470B,1.956B,,218.70M,,,218.70M,95.40M,314.11M,,200.00M,,200.00M,,11.11M,11.11M,,525.22M,449.16M,,449.16M,346.06M,346.06M,41.12M,836.34M,1.362B,,,,,,,,594.46M,,AOR,Restated
2010-06,7.714M,7.714M,363.67M,,363.67M,,52.19M,,,423.57M,,,,,2.242B,-784.82M,1.458B,,,,,19.71M,1.477B,1.901B,,196.73M,,,196.73M,120.00M,316.73M,,200.00M,,200.00M,,11.12M,11.12M,,527.85M,417.10M,,417.10M,346.87M,346.87M,38.06M,802.04M,1.330B,,,,,,,,571.06M,,AOR,Restated
2010-03,7.787M,7.787M,341.66M,,341.66M,,70.47M,,,419.91M,,,,,2.199B,-749.40M,1.449B,,,,,19.76M,1.469B,1.889B,,180.08M,,,180.08M,71.15M,251.24M,,200.00M,,200.00M,23.02M,34.17M,11.15M,,485.41M,341.00M,,341.00M,354.14M,354.14M,36.07M,731.21M,1.217B,,,,,,,,672.52M,,AOR,Restated
2009-12,7.843M,7.843M,310.34M,,310.34M,17.27M,48.57M,,8.439M,392.46M,125.02M,25.41M,2.043B,,2.193B,-748.28M,1.445B,,,,,19.78M,1.464B,1.857B,,191.35M,,,191.35M,67.37M,258.71M,,,,,,10.50M,10.50M,,269.22M,565.00M,,565.00M,343.26M,343.26M,35.58M,943.84M,1.213B,,1.671M,1.424B,176.01M,957.65M,,,643.85M,,AOR,Restated
2009-09,4.711M,4.711M,340.33M,,340.33M,,45.46M,,11.40M,401.90M,,,,,2.181B,-745.34M,1.436B,,,,,20.28M,1.456B,1.858B,,180.71M,,,180.71M,57.18M,237.89M,,,,,,13.86M,13.86M,16.79M,268.53M,625.80M,,625.80M,325.91M,325.91M,30.20M,981.91M,1.250B,,,,,,,,607.65M,,AOR,Restated
2009-06,3.57M,3.57M,308.31M,,308.31M,,56.33M,,18.02M,386.23M,,,,,2.165B,-750.70M,1.415B,,,,,20.10M,1.435B,1.821B,,173.12M,,,173.12M,85.93M,259.05M,,61.50M,,61.50M,,10.05M,10.05M,19.41M,350.01M,586.70M,,586.70M,275.96M,275.96M,31.08M,893.74M,1.244B,,,,,,,,577.14M,,AOR,Restated
2009-03,3.576M,3.576M,278.54M,,278.54M,,77.39M,,13.18M,372.70M,,,,,2.186B,-794.96M,1.391B,,,,,17.93M,1.409B,1.781B,,157.61M,,,157.61M,75.93M,233.54M,,65.00M,,65.00M,,10.02M,10.02M,18.60M,327.16M,564.00M,,564.00M,308.38M,308.38M,30.64M,903.02M,1.230B,,,,,,,,551.20M,,AOR,Restated
2008-12,2.373M,2.373M,280.61M,,280.61M,18.21M,68.06M,,27.02M,396.29M,122.75M,25.41M,2.022B,,2.170B,-783.36M,1.387B,,,,,10.64M,1.397B,1.793B,,196.06M,,,196.06M,83.25M,279.30M,,118.50M,,118.50M,,10.08M,10.08M,,407.89M,515.00M,,515.00M,311.06M,311.06M,30.49M,856.55M,1.264B,,1.671M,1.343B,170.93M,985.48M,,-1.186M,529.01M,,AOR,Restated
2008-09,2.45M,2.45M,379.37M,,379.37M,,41.25M,,15.78M,438.86M,,,,,2.109B,-755.33M,1.354B,,,,,11.25M,1.365B,1.804B,,182.81M,,,182.81M,62.15M,244.96M,,147.00M,,147.00M,,24.49M,24.49M,19.68M,436.13M,545.20M,,545.20M,306.63M,306.63M,32.97M,884.81M,1.321B,,,,,,,,482.90M,,AOR,Restated
