,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2017-04,162.00M,10.00M,,0.00,,,53.00M,53.00M,1.00M,,,,46.00M,,1.00M,-118.00M,-39.00M,,116.00M,9.00M,-1.00M,102.00M,365.00M,,2017-04,-38.00M,0.00,-38.00M,-8.00M,-45.00M,-90.00M,,2017-04,0.00,107.00M,107.00M,,-129.00M,-129.00M,-51.00M,-51.00M,28.00M,-51.00M,,2017-04,2.213B,4.00M,2.45B,,2017-04,,107.00M,0.00,-90.00M,-43.00M,,2017-04,AOR,Restated
2017-01,146.00M,-10.00M,,-10.00M,,,56.00M,56.00M,45.00M,,,,46.00M,,7.00M,-56.00M,-28.00M,,43.00M,-33.00M,4.00M,-55.00M,235.00M,,2017-01,-45.00M,0.00,-45.00M,0.00,-188.00M,-230.00M,,2017-01,0.00,392.00M,392.00M,,-284.00M,-284.00M,-52.00M,-52.00M,51.00M,97.00M,,2017-01,2.113B,-2.00M,2.213B,,2017-01,,392.00M,0.00,20.00M,20.00M,,2017-01,AOR,Restated
2016-10,109.00M,,,,,,57.00M,57.00M,9.00M,,,,51.00M,,-8.00M,-47.00M,-16.00M,,77.00M,17.00M,5.00M,-60.00M,158.00M,,2016-10,-56.00M,,-56.00M,0.00,-123.00M,-179.00M,,2016-10,0.00,0.00,0.00,,-117.00M,-117.00M,-52.00M,-52.00M,19.00M,-154.00M,,2016-10,2.294B,-6.00M,2.113B,,2016-10,,0.00,0.00,8.00M,0.00,,2016-10,AOR,Restated
2016-07,64.00M,,,,,,60.00M,60.00M,19.00M,,,,52.00M,,-7.00M,311.00M,17.00M,,-228.00M,32.00M,-9.00M,40.00M,228.00M,,2016-07,-36.00M,,-36.00M,0.00,313.00M,276.00M,,2016-07,,-850.00M,-850.00M,,-175.00M,-175.00M,-53.00M,-53.00M,42.00M,-1.071B,,2016-07,2.868B,-7.00M,2.294B,,2016-07,,0.00,-850.00M,62.00M,23.00M,,2016-07,AOR,Restated
2016-04,-8.00M,-51.00M,,-51.00M,,,77.00M,77.00M,-9.00M,,,,61.00M,,40.00M,-206.00M,5.00M,,168.00M,27.00M,42.00M,235.00M,345.00M,,2016-04,-35.00M,,67.00M,,103.00M,-668.00M,,2016-04,,850.00M,998.00M,,-262.00M,-262.00M,-51.00M,-51.00M,50.00M,681.00M,,2016-04,2.495B,15.00M,2.868B,,2016-04,,1.018B,-20.00M,-113.00M,-40.00M,,2016-04,AOR,Restated
2016-01,153.00M,0.00,,0.00,,,66.00M,66.00M,-25.00M,,,,63.00M,,3.00M,1.00M,23.00M,,-43.00M,23.00M,6.00M,95.00M,355.00M,,2016-01,-41.00M,,-41.00M,,91.00M,49.00M,,2016-01,,0.00,0.00,,-85.00M,-85.00M,-52.00M,-52.00M,45.00M,-96.00M,,2016-01,2.198B,-11.00M,2.495B,,2016-01,,0.00,0.00,19.00M,20.00M,,2016-01,AOR,Restated
2015-10,114.00M,,,,,,67.00M,67.00M,-28.00M,,,,59.00M,,12.00M,-172.00M,68.00M,,4.00M,42.00M,-5.00M,-79.00M,145.00M,,2015-10,-46.00M,,-46.00M,,10.00M,-38.00M,,2015-10,,0.00,0.00,,-183.00M,-183.00M,-53.00M,-53.00M,6.00M,-230.00M,,2015-10,2.324B,-3.00M,2.198B,,2015-10,,,0.00,54.00M,0.00,,2015-10,AOR,Restated
2015-07,-30.00M,,,,,,69.00M,69.00M,-51.00M,,,,77.00M,,15.00M,361.00M,-47.00M,,-152.00M,17.00M,-9.00M,49.00M,129.00M,,2015-07,-38.00M,,-38.00M,,778.00M,742.00M,,2015-07,,0.00,0.00,,-430.00M,-430.00M,-54.00M,-54.00M,19.00M,-464.00M,,2015-07,1.922B,-5.00M,2.324B,,2015-07,,,0.00,40.00M,20.00M,,2015-07,AOR,Restated
2015-04,135.00M,,,,,,72.00M,72.00M,-5.00M,,,,63.00M,-1.00M,7.00M,-112.00M,-29.00M,,180.00M,3.00M,-5.00M,125.00M,396.00M,,2015-04,-37.00M,,-37.00M,0.00,-686.00M,-724.00M,,2015-04,0.00,,0.00,,-246.00M,-246.00M,-51.00M,-51.00M,11.00M,-286.00M,,2015-04,2.54B,-4.00M,1.922B,,2015-04,,0.00,,8.00M,0.00,,2015-04,AOR,Restated
2015-01,177.00M,,,,,,80.00M,80.00M,4.00M,,,,66.00M,-5.00M,-24.00M,-35.00M,-10.00M,,-40.00M,-13.00M,-4.00M,-23.00M,275.00M,,2015-01,-29.00M,,-29.00M,-85.00M,-320.00M,-430.00M,,2015-01,0.00,,0.00,,-200.00M,-200.00M,-52.00M,-52.00M,75.00M,-176.00M,,2015-01,2.905B,-34.00M,2.54B,,2015-01,,0.00,,20.00M,21.00M,,2015-01,AOR,Restated
2014-10,160.00M,,,,,,77.00M,77.00M,-10.00M,,,,68.00M,-6.00M,14.00M,-49.00M,-3.00M,,121.00M,36.00M,-8.00M,78.00M,381.00M,,2014-10,-51.00M,,-51.00M,,170.00M,118.00M,,2014-10,0.00,,0.00,,-600.00M,-600.00M,-52.00M,-52.00M,43.00M,-605.00M,,2014-10,3.032B,-21.00M,2.905B,,2014-10,,0.00,,1.00M,0.00,,2014-10,AOR,Restated
2014-07,88.00M,,,,,,78.00M,78.00M,8.00M,,,,62.00M,-43.00M,38.00M,271.00M,18.00M,,-289.00M,-13.00M,24.00M,-15.00M,216.00M,,2014-07,-58.00M,,-58.00M,,191.00M,133.00M,,2014-07,495.00M,,495.00M,,-119.00M,-119.00M,-53.00M,-53.00M,28.00M,392.00M,,2014-07,2.291B,0.00,3.032B,,2014-07,,495.00M,,68.00M,12.00M,,2014-07,AOR,Restated
2014-04,197.50M,,,,,,82.00M,82.00M,-45.10M,,,,67.20M,-18.60M,18.50M,-270.40M,-4.30M,,89.80M,-3.30M,28.10M,68.40M,369.90M,,2014-04,-55.60M,,-55.60M,0.00,211.30M,160.10M,,2014-04,-0.10M,,-0.10M,-191.80M,-374.00M,-565.80M,-48.90M,-48.90M,,-396.70M,,2014-04,2.153B,5.10M,2.291B,,2014-04,-191.80M,0.00,-0.10M,18.50M,0.00,,2014-04,AOR,Restated
2014-01,192.10M,,,,,,83.60M,83.60M,-22.50M,,,,71.90M,-23.90M,16.20M,4.10M,-2.30M,,-29.00M,-14.60M,7.70M,14.40M,331.80M,,2014-01,-57.90M,,-57.90M,0.00,90.60M,31.90M,,2014-01,0.00,,0.00,67.90M,-507.00M,-439.10M,-50.40M,-50.40M,,-467.40M,,2014-01,2.260B,-4.10M,2.153B,,2014-01,67.90M,0.00,0.00,13.00M,11.80M,,2014-01,AOR,Restated
2013-10,166.80M,,,,,,82.50M,82.50M,1.70M,,,,67.60M,-9.40M,9.40M,-55.90M,0.70M,,-2.90M,39.10M,3.20M,43.90M,362.50M,,2013-10,-42.20M,,-42.20M,,282.10M,242.10M,,2013-10,0.00,,0.00,52.40M,-150.50M,-98.10M,-51.30M,-51.30M,,-155.20M,,2013-10,1.797B,14.30M,2.260B,,2013-10,52.40M,0.00,0.00,7.40M,0.20M,,2013-10,AOR,Restated
2013-07,81.60M,,,,,,85.90M,85.90M,-10.10M,,,,66.30M,-0.10M,-17.10M,265.20M,22.90M,,-37.90M,53.80M,5.00M,79.30M,285.80M,,2013-07,-65.30M,,-65.30M,,390.00M,325.90M,,2013-07,-1.265B,,-1.265B,71.50M,-849.50M,-778.00M,-51.40M,-51.40M,,-2.085B,,2013-07,3.277B,-7.30M,1.797B,,2013-07,71.50M,0.00,-1.265B,19.10M,23.00M,,2013-07,AOR,Restated
2013-04,173.80M,,,,,,89.10M,89.10M,-18.70M,,,,65.10M,-19.90M,37.20M,-170.00M,33.40M,,94.60M,-18.00M,18.50M,129.00M,455.60M,,2013-04,-63.60M,,-63.60M,-17.10M,-27.10M,-106.60M,,2013-04,0.00,,0.00,-95.50M,-180.00M,-275.50M,0.00,0.00,,-146.20M,,2013-04,3.082B,-7.40M,3.277B,,2013-04,-95.50M,0.00,0.00,12.80M,0.20M,,2013-04,AOR,Restated
2013-01,158.10M,,,,,,86.40M,86.40M,-7.90M,,,,67.30M,-9.40M,26.60M,-19.80M,40.30M,,-29.90M,-42.40M,9.70M,44.00M,365.10M,,2013-01,-110.70M,,-110.70M,-89.40M,110.70M,-89.20M,,2013-01,987.30M,,987.30M,50.40M,-61.70M,-11.30M,0.00,0.00,,985.00M,,2013-01,1.817B,4.00M,3.082B,,2013-01,50.40M,987.30M,0.00,7.40M,11.30M,,2013-01,AOR,Restated
2012-10,109.60M,,,,,,86.70M,86.70M,-32.00M,,,,65.00M,-38.70M,67.50M,-31.30M,-9.50M,,-28.00M,10.20M,1.70M,78.30M,336.40M,,2012-10,-67.10M,,-67.10M,,159.50M,93.90M,,2012-10,0.00,,0.00,10.10M,-198.30M,-188.20M,0.00,0.00,,-147.80M,,2012-10,1.529B,4.90M,1.817B,,2012-10,10.10M,,0.00,10.30M,0.10M,,2012-10,AOR,Restated
2012-07,63.80M,,,,,,82.40M,82.40M,-18.00M,,,,79.20M,-4.90M,-0.50M,244.20M,-42.20M,,41.90M,-27.10M,4.10M,27.20M,229.20M,,2012-07,-61.90M,,-61.90M,,-66.10M,-126.70M,,2012-07,0.00,,0.00,35.00M,-150.00M,-115.00M,0.00,0.00,,-112.10M,,2012-07,1.550B,-10.80M,1.529B,,2012-07,35.00M,,0.00,16.20M,11.20M,,2012-07,AOR,Restated
2012-04,180.70M,,,,,,82.60M,82.60M,3.10M,,,,59.80M,-32.60M,44.60M,-146.20M,-7.70M,,21.80M,12.20M,-19.80M,244.40M,582.60M,,2012-04,-124.20M,,-124.20M,0.00,-1.404B,-1.526B,,2012-04,0.00,,0.00,41.10M,0.00,41.10M,,,,71.60M,,2012-04,2.421B,1.00M,1.550B,,2012-04,41.10M,0.00,,8.90M,0.10M,,2012-04,AOR,Restated
2012-01,119.60M,,,,,,73.60M,73.60M,-71.90M,,,,76.70M,4.00M,83.50M,-59.80M,9.50M,,-56.00M,-36.70M,6.50M,-16.30M,269.20M,,2012-01,-91.30M,,-91.30M,0.00,-61.60M,-154.90M,,2012-01,0.00,,0.00,49.10M,0.00,49.10M,,,,46.60M,,2012-01,2.269B,-9.00M,2.421B,,2012-01,49.10M,0.00,,16.60M,11.00M,,2012-01,AOR,Restated
2011-10,165.60M,,,,,,68.40M,68.40M,2.60M,,,,63.00M,-52.60M,15.50M,-29.40M,-25.10M,,22.80M,-2.10M,6.10M,107.70M,370.20M,,2011-10,-93.30M,,-93.30M,0.00,-205.40M,-298.40M,,2011-10,,,,5.30M,-400.00M,-394.70M,,,,-340.80M,,2011-10,2.543B,-5.20M,2.269B,,2011-10,5.30M,,,9.60M,-0.90M,,2011-10,AOR,Restated
2011-07,139.50M,,,,,,68.50M,68.50M,5.30M,,,,58.10M,-32.10M,6.50M,145.00M,6.80M,,22.80M,-10.40M,12.20M,-5.20M,240.60M,,2011-07,-98.30M,,-98.30M,-480.00M,245.80M,-330.80M,,2011-07,,,,46.60M,-200.00M,-153.40M,,,,-121.00M,,2011-07,2.757B,-2.90M,2.543B,,2011-07,46.60M,,,13.10M,11.20M,,2011-07,AOR,Restated
2011-04,160.60M,,,,,,42.30M,42.30M,-60.80M,-39.20M,,,48.20M,-64.40M,182.20M,-185.20M,-14.40M,,41.00M,,,189.90M,458.80M,,2011-04,-72.90M,,-72.90M,-61.60M,417.00M,282.20M,,2011-04,,,,12.20M,0.00,12.20M,,,,75.20M,,2011-04,1.919B,21.70M,2.757B,,2011-04,12.20M,,,27.90M,22.70M,,2011-04,AOR,Restated
2011-01,186.40M,,,,,,41.00M,41.00M,14.30M,13.30M,,,45.00M,-21.70M,4.00M,-98.90M,-12.20M,,112.40M,,,72.10M,354.40M,,2011-01,-66.30M,,-66.30M,0.00,-240.70M,-306.20M,,2011-01,,,,75.90M,0.00,75.90M,,,,100.00M,,2011-01,1.771B,0.10M,1.919B,,2011-01,75.90M,,,-11.80M,-11.30M,,2011-01,AOR,Restated
2010-10,175.40M,,,,,,41.60M,41.60M,8.30M,13.00M,,-10.80M,37.70M,-29.60M,10.30M,-70.20M,6.00M,,141.30M,,,109.90M,355.80M,,2010-10,-43.30M,,-43.30M,0.00,-300.90M,-344.30M,,2010-10,,,,96.20M,0.00,96.20M,,,,135.80M,,2010-10,1.612B,11.80M,1.771B,,2010-10,96.20M,,,3.80M,0.20M,,2010-10,AOR,Restated
2010-07,150.70M,,,,,,40.70M,40.70M,11.90M,12.90M,,10.80M,44.30M,-12.00M,-0.10M,91.60M,25.00M,,-256.00M,,,-81.90M,177.30M,,2010-07,-40.20M,,-40.20M,-74.90M,-293.90M,-408.90M,,2010-07,,,,139.90M,0.00,139.90M,,,,139.90M,,2010-07,1.705B,-1.30M,1.612B,,2010-07,139.90M,,,8.00M,11.10M,,2010-07,AOR,Restated
2010-04,145.20M,,,,,,40.00M,40.00M,-9.80M,-37.80M,,,37.70M,-4.90M,63.90M,-13.40M,-41.20M,,102.30M,,,240.30M,474.60M,,2010-04,-38.40M,,-38.40M,0.00,-768.90M,-803.20M,,2010-04,,,,40.40M,,40.40M,,,,62.20M,,2010-04,1.976B,-4.40M,1.705B,,2010-04,40.40M,,,-19.00M,-22.10M,,2010-04,AOR,Restated
2010-01,107.90M,,,,,,40.80M,40.80M,-0.50M,37.80M,,0.00,36.70M,-16.70M,-26.50M,-139.60M,-11.20M,,97.40M,,,15.40M,194.90M,,2010-01,-49.70M,,-49.70M,0.00,11.00M,-38.20M,,2010-01,,,,96.60M,,96.60M,,,,96.20M,,2010-01,1.729B,-5.90M,1.976B,,2010-01,96.60M,,,19.00M,22.10M,,2010-01,AOR,Restated
2009-10,95.60M,,,,,,42.20M,42.20M,0.20M,,,,33.20M,-6.00M,9.90M,14.50M,0.70M,,88.40M,,,92.20M,267.30M,,2009-10,-22.80M,,-22.80M,0.00,-336.00M,-354.80M,,2009-10,,,,26.80M,,26.80M,,,,28.20M,,2009-10,1.784B,3.70M,1.729B,,2009-10,26.80M,,,,,,2009-10,AOR,Restated
2009-07,51.70M,,,,,,43.00M,43.00M,-2.10M,,,,52.20M,19.00M,13.20M,117.20M,-0.40M,,-245.40M,,,-138.80M,38.20M,,2009-07,-24.70M,,-24.70M,0.00,233.60M,208.50M,,2009-07,,,,33.30M,,33.30M,,,,33.30M,,2009-07,1.494B,10.20M,1.784B,,2009-07,33.30M,,,,,,2009-07,AOR,Restated
2009-04,68.45M,,-17.63M,-17.63M,,,40.67M,40.67M,-83.19M,12.23M,-28.26M,,42.20M,43.63M,54.76M,-101.57M,21.06M,0.463M,64.71M,,,64.62M,195.56M,,2009-04,-134.70M,,-134.70M,,-292.69M,-425.87M,,2009-04,55.70M,172.60M,228.30M,12.48M,-0.019M,12.46M,,,0.041M,18.44M,,2009-04,1.708B,-2.155M,1.494B,,2009-04,12.48M,-26.60M,254.90M,,,,2009-04,AOR,Restated
2009-01,-90.70M,,17.63M,14.88M,-69.06M,-16.40M,44.37M,44.37M,-0.56M,28.77M,28.26M,,98.60M,-34.93M,-90.71M,19.06M,-3.945M,17.66M,115.13M,,26.38M,236.11M,236.00M,,2009-01,-50.93M,,-50.93M,,396.46M,343.34M,,2009-01,1.010B,-172.60M,-65.35M,-135.21M,0.001M,-135.21M,,,163.06M,-38.47M,,2009-01,1.171B,-3.698M,1.708B,,2009-01,-135.21M,1.265B,-427.50M,,,,2009-01,,Restated
2008-10,49.18M,,,-0.057M,35.87M,8.052M,43.92M,43.92M,-31.72M,,,,,,46.97M,60.92M,-14.76M,-28.26M,13.74M,,31.85M,99.14M,207.44M,,2008-10,-27.35M,,-27.35M,,-63.44M,-687.25M,,2008-10,,,944.69M,-1.255B,0.00,-1.255B,,,,-32.38M,,2008-10,1.702B,-19.17M,1.171B,,2008-10,-1.255B,,,,,,2008-10,,
2008-07,37.67M,,,2.80M,33.20M,8.352M,41.55M,41.55M,-9.128M,,,,,,46.77M,150.29M,6.742M,10.13M,-30.07M,,-58.24M,130.53M,250.20M,,2008-07,-76.61M,,-76.61M,,-157.13M,-233.52M,,2008-07,,,-41.84M,1.464B,-399.98M,1.064B,,,,749.02M,,2008-07,936.48M,0.225M,1.702B,,2008-07,1.464B,,,,,,2008-07,,
2008-04,89.82M,,,1.013M,31.33M,8.503M,39.83M,39.83M,21.78M,,,,,,-8.449M,-114.25M,-10.20M,-27.02M,53.90M,,-34.59M,149.30M,293.30M,,2008-04,-63.43M,,-63.43M,-99.60M,167.73M,5.304M,,2008-04,,,-106.19M,14.51M,-59.45M,-44.94M,,,,-153.02M,,2008-04,776.36M,14.53M,936.48M,,2008-04,14.51M,,,,,,2008-04,,
2008-01,101.82M,,,1.588M,28.90M,6.743M,35.65M,35.65M,-39.31M,,,,,,51.57M,-79.20M,2.519M,40.70M,6.312M,,40.74M,135.69M,287.01M,,2008-01,-53.69M,,-53.69M,0.211M,21.84M,-31.59M,,2008-01,,,-18.98M,34.12M,-144.28M,-110.16M,,,,-98.27M,,2008-01,625.71M,-6.503M,776.36M,,2008-01,34.12M,,,,,,2008-01,,
2007-10,83.76M,,,-13.49M,28.28M,6.795M,35.08M,35.08M,-17.71M,,,,,,79.82M,-22.36M,-4.558M,6.173M,-26.10M,,41.21M,60.22M,227.67M,,2007-10,-37.57M,,-37.57M,,72.77M,35.52M,,2007-10,,,228.37M,16.08M,-499.97M,-483.90M,,,,-250.74M,,2007-10,623.99M,-10.74M,625.71M,,2007-10,16.08M,,,,,,2007-10,,
2007-07,34.34M,,,0.117M,26.73M,6.893M,33.63M,33.63M,-17.80M,,,,,,32.56M,188.07M,-3.145M,-27.39M,-14.08M,,-71.94M,118.07M,200.90M,,2007-07,-33.59M,,-33.59M,,129.02M,93.67M,,2007-07,,,-15.96M,49.99M,-200.00M,-150.01M,,,,-160.37M,,2007-07,489.08M,0.713M,623.99M,,2007-07,49.99M,,,,,,2007-07,,
2007-04,89.62M,,,0.509M,25.08M,6.986M,32.06M,32.06M,,,,,,,19.45M,-152.24M,6.413M,-5.385M,32.14M,,49.81M,88.62M,210.75M,,2007-04,-53.42M,0.00,-53.42M,0.00,55.88M,2.415M,,2007-04,,,-66.02M,38.03M,-200.00M,-161.97M,,,,-208.88M,,2007-04,490.22M,-5.422M,489.08M,,2007-04,38.03M,,,,,,2007-04,,
2007-01,66.51M,,,-0.50M,22.94M,6.092M,29.03M,29.03M,,,,,,,19.85M,-38.38M,-4.70M,-4.123M,-2.759M,,-78.07M,135.42M,250.31M,,2007-01,-36.40M,0.00,-36.40M,-131.24M,64.90M,-102.81M,,2007-01,,,-42.30M,84.96M,-241.80M,-156.84M,,,,-179.88M,,2007-01,523.34M,-0.736M,490.22M,,2007-01,84.96M,,,,,,2007-01,,
