,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,,SharesData(Quarterly),AverageBasicSharesOutstanding,,SECFilingLinks,AsOriginallyReported,Restated
2001-07,200.43M,200.43M,88.08M,112.35M,,,84.60M,29.08M,5.226M,0.012M,,,,,118.91M,-6.563M,,,,0.012M,,-1.069M,-0.556M,-0.513M,-0.513M,15.84M,-6.563M,,2001-07,0.00,0.00,,2001-07,0.00,0.00,,2001-07,329.34M,,2001-07,,
2001-04,225.84M,225.84M,99.17M,126.67M,,,90.94M,34.13M,5.226M,0.205M,,,,,130.30M,-3.627M,,,,0.205M,,2.65M,2.171M,0.479M,0.479M,13.84M,-3.627M,,2001-04,0.00,0.00,,2001-04,0.00,0.00,,2001-04,327.26M,,2001-04,,
2001-01,288.41M,288.41M,113.76M,174.65M,,,88.57M,34.97M,4.567M,0.625M,,,,,128.10M,46.54M,,,,0.625M,,53.72M,19.65M,34.07M,34.07M,13.02M,46.54M,,2001-01,0.11,0.11,,2001-01,0.09,0.00,,2001-01,322.73M,,2001-01,,
2000-10,260.78M,260.78M,99.31M,161.46M,,,82.69M,28.36M,1.273M,0.202M,,,,,112.32M,49.14M,,,,0.202M,,54.66M,19.30M,35.36M,35.36M,8.847M,49.14M,,2000-10,0.11,0.11,,2000-10,0.10,0.00,,2000-10,318.22M,,2000-10,,
2000-07,231.16M,231.16M,89.46M,141.70M,,,73.13M,23.62M,0.666M,-26.57M,,,,,97.42M,44.29M,,,,-26.57M,,21.98M,17.00M,4.976M,4.976M,6.558M,44.29M,,2000-07,0.02,0.02,,2000-07,0.01,0.00,,2000-07,313.56M,,2000-07,,
2000-04,200.00M,200.00M,90.15M,109.85M,,,62.92M,20.57M,,-1.408M,,,,,73.69M,36.17M,,,,-1.408M,,38.01M,13.51M,24.49M,24.49M,4.363M,36.17M,,2000-04,0.08,0.08,,2000-04,0.07,0.00,,2000-04,307.68M,,2000-04,,
2000-01,151.30M,151.30M,56.60M,94.70M,,,45.70M,16.40M,,,,,,,66.90M,27.80M,,,,,,30.70M,10.90M,19.80M,19.80M,4.129M,27.80M,,2000-01,0.07,0.07,,2000-01,0.06,0.00,,2000-01,300.90M,,2000-01,,
1999-10,124.71M,124.71M,51.52M,73.20M,,,37.04M,13.46M,,-0.356M,,,,,50.50M,22.70M,,,,-0.356M,,24.88M,8.832M,16.05M,16.05M,3.071M,22.70M,,1999-10,0.06,0.06,,1999-10,0.05,0.00,,1999-10,296.49M,,1999-10,,
1999-07,103.30M,103.30M,39.70M,63.60M,,,30.70M,11.20M,,2.10M,,,,0.10M,44.80M,18.80M,,,,2.10M,,20.90M,7.40M,13.50M,13.50M,2.80M,18.80M,,1999-07,0.05,0.05,,1999-07,0.04,0.00,,1999-07,292.38M,,1999-07,,
1999-04,90.80M,90.80M,37.18M,53.62M,,,27.09M,9.34M,,-0.805M,,,,,36.63M,16.99M,,,,-0.805M,,17.19M,6.448M,10.75M,10.75M,0.388M,16.99M,,1999-04,0.03,0.03,,1999-04,0.03,0.00,,1999-04,281.32M,,1999-04,,
1999-01,75.62M,75.62M,30.82M,44.80M,,,22.49M,7.815M,,-0.084M,,,,,30.30M,14.50M,,,,-0.084M,,15.04M,5.645M,9.394M,9.394M,2.299M,14.50M,,1999-01,0.04,0.04,,1999-01,0.03,0.00,,1999-01,274.95M,,1999-01,,
1998-10,65.62M,65.62M,26.88M,38.74M,,,19.62M,6.722M,,0.445M,,,,,26.34M,12.41M,,,,0.445M,,13.40M,5.025M,8.376M,8.376M,2.67M,12.41M,,1998-10,0.04,0.04,,1998-10,0.03,0.00,,1998-10,271.51M,,1998-10,,
1998-07,57.38M,57.38M,23.24M,34.14M,,,16.82M,6.081M,,0.121M,,,,,22.90M,11.24M,,,,0.121M,,11.36M,4.259M,7.097M,7.097M,2.122M,11.24M,,1998-07,0.03,0.03,,1998-07,0.03,0.00,,1998-07,268.38M,,1998-07,,
