,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,LongTermInvestments,LongTermNotesReceivable,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2018-03,121.95M,,121.95M,,70.52M,,70.52M,60.05M,17.12M,,269.65M,,,,,,,,,1.489B,,,12.37B,12.64B,179.64M,129.04M,48.22M,356.90M,356.90M,,,,,,356.90M,5.719B,,5.719B,,,,123.39M,41.16M,33.48M,5.794B,6.151B,0.007M,-743.77M,7.127B,,-14.71M,6.369B
2017-12,44.62M,,44.62M,,84.30M,16.63M,100.93M,39.16M,16.51M,,201.21M,,,,,,,,,1.346B,,,12.29B,12.50B,127.50M,121.42M,51.77M,300.69M,300.69M,179.00M,,179.00M,179.00M,,479.69M,5.510B,,5.510B,,,,119.42M,39.21M,69.86M,5.619B,6.099B,0.007M,-833.73M,7.130B,,-18.45M,6.277B
2017-09,46.51M,,46.51M,,107.53M,14.03M,121.56M,51.45M,16.77M,,236.28M,,,,,,,,,1.309B,,,12.28B,12.51B,222.12M,121.50M,59.77M,403.38M,403.38M,2.609M,,2.609M,2.609M,,405.99M,5.613B,,5.613B,,,,118.39M,40.04M,69.98M,5.723B,6.129B,0.006M,-821.73M,7.112B,,-24.63M,6.266B
2017-06,183.88M,,183.88M,,42.69M,11.97M,54.66M,49.98M,15.99M,,307.53M,,,,,,,,,1.233B,,,12.22B,12.52B,139.04M,121.45M,47.94M,308.44M,308.44M,0.00,,0.00,0.00,,308.44M,5.663B,,5.663B,,,,121.25M,45.08M,70.01M,5.778B,6.087B,0.006M,-785.94M,7.131B,,-28.34M,6.317B
2017-03,84.34M,,84.34M,,37.36M,13.49M,50.86M,53.72M,15.91M,,204.82M,,,,,,,,,1.210B,,,12.24B,12.45B,184.78M,120.57M,35.59M,340.94M,340.94M,176.23M,,176.23M,176.23M,,517.17M,5.426B,,5.426B,,,,124.98M,45.42M,69.56M,5.541B,6.058B,0.006M,-741.20M,7.035B,,-29.96M,6.264B
2016-12,64.92M,,64.92M,,40.97M,,40.97M,48.45M,105.38M,,361.68M,,,,,,,,,1.300B,,,11.86B,12.22B,138.23M,110.17M,35.91M,284.30M,284.30M,125.00M,,125.00M,125.00M,,409.30M,5.438B,,5.438B,,,,100.06M,44.68M,32.92M,5.516B,5.925B,0.006M,-805.41M,7.030B,,-32.10M,6.192B
2016-09,195.17M,,195.17M,,11.18M,11.76M,22.94M,51.70M,15.89M,,285.70M,,,,,,,,,1.277B,,,11.89B,12.18B,185.18M,110.22M,34.92M,330.33M,330.33M,0.00,,0.00,0.00,,330.33M,5.585B,,5.585B,,,,95.28M,44.11M,34.17M,5.663B,5.993B,0.006M,-896.12M,7.025B,,-40.10M,6.089B
2016-06,182.52M,,182.52M,,8.112M,12.34M,20.45M,47.11M,32.86M,,282.93M,,,,,,,,,1.256B,,,11.92B,12.21B,145.22M,110.16M,38.47M,293.85M,293.85M,0.00,,0.00,0.00,,293.85M,5.618B,,5.618B,,,,96.93M,44.53M,34.94M,5.698B,5.992B,0.006M,-856.82M,7.018B,,-43.01M,6.118B
2016-03,48.16M,,48.16M,,6.741M,11.46M,18.20M,39.94M,32.32M,,138.62M,,,,,,,,,1.208B,,,11.93B,12.07B,170.44M,111.41M,36.82M,318.68M,318.68M,164.28M,,164.28M,164.28M,,482.96M,5.189B,,5.189B,,,,99.25M,119.95M,34.81M,5.343B,5.826B,0.006M,-824.05M,7.010B,,-44.15M,6.142B
2015-12,29.68M,,29.68M,,6.311M,12.97M,19.28M,41.73M,93.37M,,210.95M,,,,,,,,,1.174B,,,11.80B,12.01B,131.42M,100.27M,40.95M,272.63M,272.63M,15.00M,,15.00M,15.00M,,287.63M,5.304B,,5.304B,,,,99.29M,45.45M,34.52M,5.384B,5.671B,73.76M,-797.33M,7.003B,73.75M,-42.01M,6.238B
2015-09,35.67M,,35.67M,,7.555M,15.11M,22.67M,38.10M,36.64M,,141.82M,,,,,,,,,1.169B,,12.68M,11.87B,12.01B,177.81M,99.94M,26.41M,304.16M,304.16M,2.011M,,2.011M,2.011M,,306.17M,5.315B,,5.315B,,,,110.78M,24.59M,34.72M,5.375B,5.681B,73.76M,-782.80M,6.980B,73.75M,-50.36M,6.221B
2015-06,30.24M,,30.24M,,7.328M,18.35M,25.68M,31.00M,34.91M,,121.83M,,,,,,,,,1.165B,,25.91M,11.92B,12.05B,146.25M,99.69M,26.60M,272.53M,272.53M,28.76M,,28.76M,28.76M,,301.30M,5.341B,,5.341B,,,,110.59M,23.83M,34.67M,5.399B,5.700B,73.76M,-731.18M,6.942B,73.75M,-50.15M,6.234B
2015-03,219.20M,,219.20M,,7.396M,21.56M,28.95M,25.84M,36.03M,,342.97M,,,,,,,,,1.186B,,37.97M,11.74B,12.09B,162.10M,98.87M,28.75M,289.73M,289.73M,0.00,,0.00,0.00,,289.73M,5.436B,,5.436B,,,,114.15M,24.92M,33.61M,5.495B,5.784B,73.76M,-684.44M,6.848B,73.75M,-50.87M,6.187B
2014-12,25.61M,,25.61M,,11.32M,13.61M,24.92M,33.38M,70.14M,,210.35M,,,,,,,,,1.160B,,47.75M,11.32B,11.53B,135.16M,88.22M,30.89M,254.28M,254.28M,242.82M,,242.82M,242.82M,,497.10M,4.838B,,4.838B,,,,113.40M,23.26M,32.44M,4.894B,5.391B,73.76M,-650.80M,6.651B,73.75M,-51.45M,6.023B
2014-09,17.88M,,17.88M,,12.30M,10.68M,22.97M,,70.12M,,249.80M,,,,,,,,,1.151B,,98.38M,11.42B,11.67B,167.16M,87.61M,38.45M,293.22M,293.22M,222.63M,,222.63M,222.63M,,515.85M,5.003B,,5.003B,,,,110.15M,21.44M,32.33M,5.057B,5.573B,73.76M,-608.50M,6.569B,73.75M,-51.41M,5.983B
2014-06,17.95M,,17.95M,,31.34M,35.18M,66.52M,,29.59M,,253.68M,,,,,,,,,1.071B,,113.40M,11.09B,11.35B,132.42M,86.62M,34.70M,253.74M,253.74M,66.98M,,66.98M,66.98M,,320.72M,4.999B,,4.999B,,,,113.73M,23.57M,32.90M,5.055B,5.376B,73.76M,-575.77M,6.414B,73.75M,-53.79M,5.858B
2014-03,19.92M,,19.92M,,29.07M,7.039M,36.10M,54.02M,28.75M,,168.00M,,,,,,,,,816.79M,,,6.465B,6.633B,83.47M,1.461M,7.671M,92.60M,92.60M,135.90M,,135.90M,135.90M,,228.50M,2.818B,,2.818B,,,2.109M,1.533B,,22.28M,2.843B,3.071B,78.10M,-498.37M,2.505B,78.10M,-56.40M,2.028B
2013-12,18.49M,,18.49M,,64.18M,4.075M,68.26M,29.27M,35.28M,,175.81M,,,,,,,,,767.22M,,4.513M,5.011B,5.187B,67.18M,50.63M,8.047M,125.86M,125.86M,219.42M,,219.42M,219.42M,,345.28M,2.814B,,2.814B,,,,113.62M,0.00,24.87M,2.839B,3.184B,78.10M,-474.43M,2.346B,78.10M,-60.47M,1.889B
2013-09,9.509M,,9.509M,,64.03M,3.596M,67.63M,49.27M,46.48M,,195.00M,,,,,,,,,763.97M,,,4.891B,5.086B,83.84M,50.49M,6.936M,141.27M,141.27M,15.35M,,15.35M,15.35M,,156.62M,2.905B,,2.905B,,,3.161M,113.50M,,22.37M,2.931B,3.088B,78.10M,-461.00M,2.330B,78.10M,-62.59M,1.885B
2013-06,20.22M,,20.22M,,107.08M,3.463M,110.54M,27.89M,25.17M,,206.83M,,,,,,,,,706.99M,,,4.852B,5.059B,76.41M,50.49M,7.731M,134.63M,134.63M,4.37M,,4.37M,4.37M,,139.00M,2.921B,,2.921B,,,1.928M,111.89M,,22.43M,2.946B,3.085B,78.10M,-484.62M,2.332B,78.10M,-62.81M,1.863B
2013-03,30.84M,,30.84M,,8.268M,3.091M,11.36M,28.33M,24.79M,,116.11M,,,,,,,,,660.09M,,,4.820B,4.936B,86.46M,50.40M,8.768M,145.62M,145.62M,102.30M,,102.30M,102.30M,,247.92M,2.671B,,2.671B,,,6.107M,113.75M,,22.62M,2.700B,2.948B,78.10M,-464.39M,2.329B,78.10M,-68.28M,1.875B
2012-12,18.61M,,18.61M,,62.38M,3.785M,66.16M,35.00M,23.52M,,164.16M,,,,,,,,,664.06M,,,4.683B,4.847B,64.86M,45.05M,5.392M,115.30M,115.30M,141.00M,,141.00M,141.00M,,256.30M,2.678B,,2.678B,,,6.606M,115.31M,,22.17M,2.706B,2.963B,78.10M,-444.47M,2.205B,78.10M,-69.26M,1.769B
2012-09,1.943M,141.57M,143.52M,,50.32M,,50.32M,36.52M,24.93M,,276.68M,0.0,934.28M,3.823B,,60.02M,4.818B,-1.038B,3.780B,477.97M,,,4.258B,4.535B,81.09M,44.38M,,125.47M,125.47M,,,,,,125.47M,2.596B,,2.596B,,,7.174M,115.40M,,25.24M,2.628B,2.754B,73.75M,-448.14M,2.117B,73.75M,-76.45M,1.666B
2012-06,4.132M,114.17M,118.30M,,50.90M,,50.90M,26.86M,23.68M,,238.28M,0.0,901.94M,3.703B,,55.34M,4.660B,-995.31M,3.665B,436.23M,,,4.101B,4.339B,66.21M,43.71M,,109.92M,109.92M,,,,,,109.92M,2.488B,,2.488B,,,6.022M,117.13M,,25.07M,2.519B,2.629B,73.75M,-425.06M,2.017B,73.75M,-72.92M,1.593B
2012-03,13.74M,80.00M,93.74M,,48.05M,,48.05M,21.80M,23.60M,10.98M,215.20M,0.0,865.32M,3.478B,,45.63M,4.389B,-954.24M,3.435B,401.53M,,,3.836B,4.051B,65.43M,42.10M,,107.52M,107.52M,,,,,,107.52M,2.343B,,2.343B,,,2.725M,115.81M,4.349M,20.45M,2.370B,2.478B,73.75M,-422.92M,1.877B,73.75M,-70.56M,1.458B
2011-12,12.89M,,12.89M,,61.68M,4.688M,66.37M,22.68M,22.57M,,141.96M,,,,,,,,,457.69M,,,3.895B,4.037B,48.32M,39.61M,6.505M,94.44M,94.44M,150.00M,,150.00M,150.00M,,244.44M,2.211B,,2.211B,,,3.061M,116.20M,,20.53M,2.234B,2.479B,78.10M,-408.07M,1.845B,78.10M,-72.77M,1.442B
2011-09,9.02M,75.62M,84.64M,,51.60M,,51.60M,22.22M,24.00M,,199.96M,0.0,836.13M,3.331B,,145.23M,4.313B,-883.02M,3.430B,275.41M,,,3.705B,3.905B,73.60M,39.02M,,112.61M,112.61M,,,,,,112.61M,2.260B,,2.260B,,,1.634M,117.91M,4.349M,20.14M,2.286B,2.399B,73.75M,-386.75M,1.777B,73.75M,-75.24M,1.388B
2011-06,8.809M,75.67M,84.48M,,49.96M,,49.96M,25.44M,24.04M,,199.71M,0.0,823.63M,3.259B,,191.62M,4.274B,-845.57M,3.429B,197.36M,,,3.626B,3.826B,60.64M,37.98M,,98.62M,98.62M,,,,,,98.62M,2.254B,,2.254B,,,1.506M,119.89M,4.349M,20.17M,2.280B,2.379B,73.75M,-359.66M,1.688B,73.75M,-74.92M,1.327B
2011-03,97.68M,74.78M,172.46M,,49.08M,,49.08M,22.92M,23.10M,,283.20M,0.0,819.51M,3.341B,,204.93M,4.365B,-914.71M,3.450B,133.16M,,,3.583B,3.867B,64.67M,36.93M,,101.61M,101.61M,,,,,,101.61M,2.370B,,2.370B,,,3.351M,203.08M,4.349M,19.72M,2.398B,2.499B,25.00M,-338.27M,1.555B,25.00M,-77.78M,1.164B
2010-12,13.75M,92.31M,106.06M,,49.44M,,49.44M,25.19M,21.94M,,218.51M,0.0,802.32M,3.162B,,217.53M,4.182B,-775.55M,3.407B,107.84M,,,3.514B,3.733B,53.77M,36.40M,,90.18M,90.18M,,,,,,90.18M,2.259B,,2.259B,,,5.633M,205.07M,4.349M,18.97M,2.288B,2.378B,25.00M,-313.31M,1.515B,25.00M,-77.22M,1.150B
2010-09,0.00,95.93M,95.93M,,55.60M,,55.60M,22.84M,21.65M,14.67M,225.09M,0.0,747.12M,3.025B,,239.91M,4.012B,-842.48M,3.170B,108.89M,,,3.279B,3.504B,66.89M,35.15M,,102.04M,102.04M,348.00M,,348.00M,348.00M,93.15M,543.19M,1.711B,,1.711B,,,,206.34M,4.349M,,1.716B,2.259B,25.00M,-285.70M,1.379B,25.00M,-79.73M,1.039B
2010-06,0.00,92.51M,92.51M,,55.21M,,55.21M,25.66M,19.43M,8.367M,215.16M,0.0,689.75M,2.761B,,331.27M,3.782B,-811.11M,2.971B,137.74M,,,3.109B,3.324B,55.54M,34.62M,,90.17M,90.17M,264.00M,,264.00M,264.00M,17.55M,371.72M,1.643B,,1.643B,,,,213.20M,4.349M,72.20M,1.720B,2.091B,25.00M,-260.97M,1.324B,25.00M,-68.79M,1.020B
2010-03,0.00,114.28M,114.28M,,35.54M,,35.54M,21.85M,18.07M,22.31M,226.58M,0.0,684.96M,2.735B,,304.48M,3.724B,-779.92M,2.944B,137.47M,,,3.082B,3.308B,60.13M,34.34M,,94.47M,94.47M,256.00M,,256.00M,256.00M,17.05M,367.52M,1.632B,,1.632B,,,,222.21M,4.349M,38.62M,1.675B,2.042B,25.00M,-239.90M,1.294B,25.00M,-34.85M,1.044B
2009-12,20.66M,134.84M,155.50M,,36.30M,,36.30M,21.35M,17.27M,,245.42M,0.0,684.96M,2.728B,,274.96M,3.688B,-749.46M,2.938B,70.78M,,,3.009B,3.255B,48.84M,33.75M,,82.59M,82.59M,,,,,,82.59M,1.847B,,1.847B,,,30.16M,220.44M,4.349M,16.56M,1.899B,1.981B,25.00M,-222.95M,1.275B,25.00M,-24.21M,1.053B
2009-09,0.00,131.35M,131.35M,,45.76M,,45.76M,17.56M,17.13M,81.94M,308.61M,0.0,682.60M,2.701B,,222.98M,3.607B,-721.08M,2.886B,70.76M,,,2.956B,3.265B,61.82M,33.27M,,95.09M,95.09M,150.00M,98.22M,248.22M,248.22M,-81.83M,261.48M,1.609B,,1.609B,,,,222.13M,5.813M,144.18M,1.759B,2.020B,25.00M,-199.60M,1.236B,25.00M,-38.55M,1.023B
2009-06,0.00,115.43M,115.43M,,47.64M,,47.64M,18.98M,14.39M,65.44M,277.12M,0.0,683.46M,2.688B,,212.64M,3.584B,-693.06M,2.891B,70.79M,,,2.962B,3.239B,57.85M,32.79M,,90.64M,90.64M,165.00M,,165.00M,165.00M,16.48M,272.11M,1.664B,,1.664B,,,,237.01M,87.74M,31.02M,1.783B,2.055B,25.00M,-168.23M,1.122B,25.00M,-31.76M,946.68M
2009-03,0.00,30.14M,30.14M,,46.14M,,46.14M,18.42M,13.61M,65.21M,188.97M,0.0,681.95M,2.594B,,292.61M,3.569B,-666.55M,2.902B,70.60M,,,2.973B,3.162B,63.90M,31.62M,,95.51M,95.51M,185.00M,,185.00M,185.00M,16.43M,296.94M,1.627B,,1.627B,,,,235.55M,87.74M,54.82M,1.769B,2.066B,25.00M,-151.62M,1.046B,25.00M,-58.94M,860.05M
2008-12,0.00,45.31M,45.31M,,47.64M,,47.64M,17.43M,12.81M,41.91M,176.44M,0.0,683.88M,2.596B,,272.27M,3.552B,-640.03M,2.912B,76.35M,,,2.988B,3.165B,56.83M,32.12M,,88.95M,88.95M,120.00M,,120.00M,120.00M,16.44M,225.40M,1.641B,,1.641B,,,,234.82M,145.91M,73.13M,1.860B,2.085B,25.00M,-130.70M,1.026B,25.00M,-75.42M,844.92M
2008-09,0.00,58.61M,58.61M,0.967M,45.78M,,46.75M,23.47M,12.55M,33.40M,186.14M,0.0,669.32M,2.486B,15.98M,347.98M,3.519B,-612.25M,2.907B,66.36M,,,2.973B,3.159B,84.85M,32.04M,,116.88M,116.88M,153.00M,,153.00M,153.00M,16.67M,286.56M,1.577B,,1.577B,,,,279.93M,145.91M,,1.723B,2.010B,25.00M,-122.04M,982.75M,25.00M,-15.91M,869.80M
2008-06,0.00,2.503M,2.503M,1.547M,43.06M,,44.61M,21.10M,12.08M,21.00M,112.72M,0.0,670.49M,2.488B,,320.67M,3.479B,-594.49M,2.885B,66.55M,,,2.951B,3.064B,71.43M,30.86M,,102.30M,102.30M,155.00M,,155.00M,155.00M,16.66M,273.96M,1.610B,,1.610B,,,,280.99M,145.91M,,1.756B,2.030B,25.00M,-107.98M,846.69M,25.00M,-10.89M,752.82M
2008-03,0.00,4.045M,4.045M,0.885M,47.35M,,48.24M,21.76M,12.21M,10.36M,107.93M,0.0,670.49M,2.468B,,258.65M,3.397B,-567.82M,2.830B,63.70M,,,2.893B,3.001B,86.72M,30.88M,,117.60M,117.60M,148.18M,,148.18M,148.18M,15.94M,281.72M,1.537B,,1.537B,,,,278.36M,145.91M,,1.683B,1.965B,25.00M,-92.34M,844.25M,25.00M,-18.93M,757.98M
2007-12,0.00,2.017M,2.017M,,50.54M,,50.54M,20.29M,12.53M,9.956M,106.92M,0.0,670.49M,2.447B,,233.44M,3.351B,-541.99M,2.809B,64.19M,,,2.873B,2.980B,50.11M,28.52M,,78.64M,78.64M,169.82M,,169.82M,169.82M,15.58M,264.03M,1.488B,,1.488B,,,,281.96M,145.91M,10.23M,1.644B,1.908B,25.00M,-82.80M,857.11M,25.00M,-8.988M,790.32M
2007-09,10.24M,5.843M,16.08M,,,,36.53M,25.06M,11.70M,,89.37M,,,,,,3.314B,-532.39M,2.782B,70.79M,36.53M,,2.889B,2.954B,26.61M,28.72M,,55.33M,55.33M,,,167.57M,167.57M,,222.90M,1.401B,,1.401B,2.193M,2.193M,,256.03M,,,1.403B,1.874B,25.00M,-110.91M,905.55M,25.00M,4.751M,824.39M
2007-06,12.59M,3.815M,16.40M,,,,27.63M,34.06M,11.37M,,89.46M,,,,,,3.130B,-508.68M,2.621B,69.85M,27.63M,,2.719B,2.793B,9.68M,28.81M,,38.49M,38.49M,,,,,,38.49M,1.239B,,1.239B,2.193M,2.193M,,251.96M,,,1.241B,1.695B,25.00M,-97.50M,904.88M,25.00M,14.10M,846.47M
2007-03,15.04M,5.784M,20.82M,,,,27.94M,23.15M,10.78M,,82.69M,,,,,,2.903B,-486.13M,2.417B,64.22M,27.94M,,2.509B,2.576B,18.98M,28.55M,,47.53M,47.53M,,,,,,47.53M,1.251B,,1.251B,2.193M,2.193M,,230.26M,,,1.253B,1.714B,25.00M,-83.98M,690.47M,25.00M,0.268M,631.75M
2006-12,9.662M,0.00,9.662M,,,,18.20M,20.63M,13.95M,,62.44M,,,,,,2.777B,-465.02M,2.312B,,19.40M,,2.331B,2.486B,13.70M,24.91M,,38.61M,38.61M,,,93.00M,93.00M,,131.61M,1.154B,,1.154B,2.193M,2.193M,,236.12M,,,1.156B,1.638B,25.00M,-97.46M,686.94M,25.00M,-2.273M,612.21M
2006-09,30.14M,,30.14M,,,,18.88M,18.52M,15.00M,,82.55M,,,,,,2.767B,-457.22M,2.310B,53.81M,,,2.363B,2.459B,24.68M,24.74M,,49.41M,49.41M,,,,,,49.41M,1.177B,,1.177B,2.193M,2.193M,,227.76M,,,1.180B,1.493B,145.91M,-92.85M,662.04M,145.91M,-1.51M,738.60M
2006-06,9.022M,,9.022M,,,,32.10M,27.63M,14.04M,,82.79M,,,,,,2.632B,-437.15M,2.195B,36.50M,,,2.231B,2.328B,37.57M,23.32M,,60.88M,60.88M,,,,,,60.88M,1.196B,,1.196B,2.193M,2.193M,,229.69M,,,1.198B,1.498B,25.00M,-84.07M,648.14M,25.00M,11.70M,600.78M
2006-03,9.409M,,9.409M,,,,16.54M,22.68M,14.10M,,62.72M,,,,,,2.609B,-418.86M,2.190B,29.00M,,,2.219B,2.297B,42.30M,23.28M,,65.57M,65.57M,,,,,,65.57M,1.183B,,1.183B,2.193M,2.193M,,231.00M,,,1.185B,1.488B,25.00M,-86.73M,631.97M,25.00M,7.056M,577.30M
2005-12,0.00,27.23M,27.23M,,,,,,13.94M,,41.16M,,,,,,,,2.097B,,,,2.097B,2.239B,,,,,,,,,,,,1.355B,,1.355B,,,,233.21M,,,1.355B,1.425B,25.00M,-77.34M,632.65M,25.00M,,580.97M
2005-09,19.36M,,19.36M,,,,9.271M,20.97M,15.03M,,64.63M,,,,,,2.524B,-380.77M,2.144B,27.64M,,,2.171B,2.246B,45.02M,22.70M,,67.72M,67.72M,,,,,,67.72M,1.314B,,1.314B,2.193M,2.193M,,231.18M,,,1.316B,1.397B,25.00M,-63.54M,656.92M,25.00M,0.091M,618.47M
2005-06,33.08M,,33.08M,,,,9.372M,18.31M,13.61M,,74.37M,,,,,,2.493B,-361.88M,2.131B,30.76M,,,2.161B,2.246B,38.16M,22.66M,,60.82M,60.82M,,,,,,60.82M,1.313B,,1.313B,2.193M,2.193M,,233.08M,,,1.315B,1.389B,25.00M,-53.06M,654.37M,25.00M,-1.595M,624.71M
2005-03,12.52M,,12.52M,,,,9.204M,19.58M,16.01M,,57.31M,,,,,,2.445B,-347.99M,2.097B,66.41M,,,2.163B,2.231B,13.13M,22.66M,,35.79M,35.79M,,,,,,35.79M,1.318B,,1.318B,3.885M,3.885M,,232.14M,,,1.322B,1.392B,25.00M,-72.76M,653.03M,25.00M,1.165M,606.44M
2004-12,,,,,,,,,21.26M,,21.26M,,,,,,,,2.138B,,,,2.138B,2.217B,,,,,,,,,,,,1.317B,,1.317B,,,,240.13M,,,1.317B,1.386B,25.00M,-80.47M,646.74M,25.00M,,591.28M
2004-09,16.22M,,16.22M,,,,15.33M,24.57M,19.86M,,75.99M,,,,,,2.291B,-317.30M,1.974B,88.36M,,,2.062B,2.149B,9.888M,22.60M,,32.48M,32.48M,,,,,,32.48M,1.263B,,1.263B,5.00M,5.00M,,235.81M,,,1.268B,1.335B,0.002M,-94.87M,648.33M,,,578.46M
