,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2018-04,1.210B,0.00,2.10M,2.10M,487.60M,487.60M,124.60M,,23.10M,-130.10M,-2.059B,-558.00M,1.222B,,-270.10M,-1.665B,75.90M,,-736.70M,409.00M,-327.70M,-36.10M,-27.80M,-670.80M,-1.062B,,798.10M,734.60M,1.533B,55.60M,-50.90M,4.70M,-193.90M,-193.90M,-17.20M,1.326B,,4.042B,339.80M,-52.70M,4.329B,,55.60M,1.816B,-1.018B,-50.90M,,AOR,Restated
2018-01,-534.70M,-13.20M,-6.60M,-19.80M,463.20M,463.20M,479.70M,,16.70M,-5.50M,-34.90M,-1.239B,-915.10M,,490.70M,-1.698B,-1.296B,,-542.00M,339.60M,-202.40M,-5.08B,-11.20M,1.197B,-4.096B,,390.90M,-535.50M,-144.60M,143.00M,-9.70M,133.30M,-193.00M,-193.00M,-26.70M,-231.00M,,9.467B,-5.623B,198.60M,4.042B,,143.00M,2.262B,-1.871B,-9.70M,,AOR,Restated
2017-10,510.50M,0.10M,-4.70M,-4.60M,437.00M,437.00M,177.50M,,17.30M,-222.20M,252.10M,43.00M,651.80M,,-456.90M,490.00M,1.467B,,-823.00M,354.40M,-468.60M,-283.90M,-25.80M,-582.50M,-1.361B,,3.146B,-338.90M,2.807B,40.40M,0.20M,40.60M,-192.70M,-192.70M,-25.10M,2.63B,,6.537B,2.736B,39.50M,9.467B,,40.40M,4.338B,-1.191B,0.20M,,AOR,Restated
2017-07,641.80M,-93.70M,-6.20M,-99.90M,435.90M,435.90M,22.90M,,18.40M,-53.90M,-101.60M,-257.60M,212.60M,,30.20M,-116.40M,893.00M,,-590.90M,300.20M,-290.70M,0.00,314.20M,-625.20M,-601.70M,,239.50M,1.466B,1.705B,105.00M,0.00,105.00M,-191.80M,-191.80M,-23.20M,1.595B,,4.526B,1.887B,125.00M,6.537B,,105.00M,1.703B,-1.463B,0.00,,AOR,Restated
2017-04,808.30M,-281.40M,-2.10M,-283.50M,427.40M,427.40M,-112.30M,,14.10M,16.20M,-1.051B,-347.30M,821.30M,,254.10M,-323.30M,573.00M,,-640.30M,418.20M,-222.10M,0.00,-4.40M,-577.40M,-803.90M,,-327.50M,1.248B,920.50M,120.30M,0.00,120.30M,-190.60M,-190.60M,-15.30M,834.90M,,3.89B,604.00M,31.80M,4.526B,,120.30M,1.366B,-1.693B,0.00,,AOR,Restated
2017-01,198.40M,,-1.00M,-1.00M,415.70M,415.70M,11.90M,,18.20M,-44.10M,61.90M,-743.10M,-717.70M,,56.60M,-1.342B,-736.70M,,-537.80M,368.20M,-169.60M,113.90M,2.00M,1.158B,1.104B,,246.90M,-1.065B,-818.00M,263.30M,-6.20M,257.10M,-188.90M,-188.90M,-24.40M,-774.20M,,4.336B,-406.50M,-39.30M,3.89B,,263.30M,1.296B,-1.049B,-6.20M,,AOR,Restated
2016-10,284.50M,0.00,-2.60M,-2.60M,401.40M,401.40M,127.20M,35.40M,18.80M,35.60M,923.30M,274.00M,306.70M,,17.70M,1.522B,2.446B,,-837.50M,339.60M,-497.90M,0.40M,8.90M,-326.20M,-814.80M,,-334.80M,-1.080B,-1.415B,18.50M,0.00,18.50M,-188.70M,-188.70M,-11.10M,-1.596B,,4.321B,35.20M,-20.40M,4.336B,,18.50M,955.50M,-1.290B,0.00,,AOR,Restated
2016-07,488.50M,-74.50M,-4.60M,-79.10M,396.60M,396.60M,62.20M,0.00,19.80M,-66.90M,723.40M,25.70M,-94.10M,,124.80M,779.80M,1.636B,,-680.90M,286.50M,-394.40M,81.10M,30.10M,-289.20M,-572.40M,,-452.10M,-172.00M,-624.10M,6.40M,0.00,6.40M,-189.40M,-189.40M,-23.70M,-830.80M,,4.133B,232.90M,-45.10M,4.321B,,6.40M,838.60M,-1.291B,0.00,,AOR,Restated
2016-04,494.70M,0.00,5.90M,5.90M,387.60M,387.60M,-147.10M,37.10M,14.50M,20.20M,-1.356B,159.50M,501.70M,,321.80M,-373.40M,465.20M,,-726.30M,339.30M,-387.00M,-198.90M,12.20M,-67.90M,-641.60M,,-60.70M,1.113B,1.052B,8.40M,-97.60M,-89.20M,-190.10M,-190.10M,-9.40M,763.80M,,3.460B,587.40M,85.90M,4.133B,,8.40M,1.445B,-1.505B,-97.60M,,AOR,Restated
2016-01,253.80M,,-0.60M,-0.60M,374.20M,374.20M,240.40M,12.60M,17.50M,-76.30M,44.90M,-565.30M,-869.50M,,-218.70M,-1.609B,-777.60M,,-710.40M,290.80M,-419.60M,0.00,-53.00M,1.324B,851.60M,,650.70M,-1.075B,-424.20M,2.70M,-107.80M,-105.10M,-193.10M,-193.10M,-20.50M,-742.90M,,4.162B,-668.90M,-33.40M,3.460B,,2.70M,1.832B,-1.181B,-107.80M,,AOR,Restated
2015-10,351.50M,,4.20M,4.20M,353.20M,353.20M,-91.40M,34.80M,18.40M,52.50M,1.410B,250.10M,91.00M,,73.10M,1.824B,2.567B,,-1.009B,275.70M,-733.30M,0.00,-26.40M,-468.60M,-1.228B,,1.188B,-1.304B,-115.50M,1.70M,-936.80M,-935.10M,-198.40M,-198.40M,-33.70M,-1.283B,,4.131B,56.00M,-24.60M,4.162B,,1.70M,2.071B,-883.10M,-936.80M,,AOR,Restated
2015-07,511.70M,,-14.00M,-14.00M,346.30M,346.30M,-44.80M,0.00,19.00M,25.10M,262.80M,-8.60M,103.70M,,125.00M,482.90M,1.346B,,-662.60M,221.40M,-441.20M,0.40M,-25.80M,-515.80M,-982.40M,,-399.20M,658.20M,259.00M,84.30M,-660.00M,-575.70M,-202.10M,-202.10M,-11.00M,-529.80M,,4.355B,-165.70M,-58.90M,4.131B,,84.30M,1.128B,-1.527B,-660.00M,,AOR,Restated
2015-04,690.80M,,-1.30M,-1.30M,340.00M,340.00M,-58.30M,,10.60M,-134.10M,-1.133B,-329.00M,744.20M,,211.40M,-506.40M,355.40M,,-670.80M,310.20M,-360.60M,148.80M,103.90M,-125.20M,-233.10M,,65.40M,937.20M,1.003B,41.40M,-569.20M,-527.80M,-205.90M,-205.90M,-11.50M,257.40M,,3.975B,379.70M,0.90M,4.355B,,41.40M,1.284B,-1.219B,-569.20M,,AOR,Restated
2015-01,386.90M,,10.10M,10.10M,342.90M,342.90M,176.10M,0.00,18.10M,96.70M,605.60M,-603.90M,-1.442B,,-101.10M,-1.542B,-510.10M,,-483.70M,242.10M,-241.60M,,654.10M,972.60M,1.385B,,-6.50M,209.80M,203.30M,44.70M,-604.70M,-560.00M,-209.90M,-209.90M,-15.90M,-582.50M,,3.787B,292.50M,-104.70M,3.975B,,44.70M,1.228B,-1.234B,-604.70M,,AOR,Restated
2014-10,649.80M,,11.60M,11.60M,349.10M,349.10M,-31.00M,33.60M,17.90M,-179.30M,744.90M,805.00M,176.50M,,257.20M,1.984B,2.844B,,-968.90M,288.20M,-680.70M,6.00M,274.70M,-913.70M,-1.314B,,430.50M,165.90M,596.40M,10.70M,-1.10B,-1.089B,-217.40M,-217.40M,-10.90M,-721.20M,,3.035B,808.90M,-56.60M,3.787B,,10.70M,1.560B,-1.129B,-1.10B,,AOR,Restated
2014-07,851.00M,,-10.20M,-10.20M,327.10M,327.10M,-111.10M,0.00,15.90M,-80.00M,-126.40M,165.30M,265.10M,,197.50M,501.50M,1.514B,,-646.10M,232.40M,-413.70M,32.60M,84.70M,-1.004B,-1.300B,,1.474B,-1.033B,440.70M,30.10M,-537.70M,-507.60M,-186.30M,-186.30M,-13.20M,-266.40M,,3.078B,-52.30M,8.50M,3.035B,,30.10M,2.418B,-944.30M,-537.70M,,AOR,Restated
2014-04,981.20M,,4.90M,4.90M,287.20M,287.20M,-129.40M,36.00M,21.50M,40.60M,-1.746B,-431.40M,808.40M,,33.90M,-1.335B,-85.70M,,-542.00M,294.50M,-247.50M,3.50M,-132.70M,-564.00M,-940.70M,,-22.80M,1.693B,1.671B,54.40M,-616.10M,-561.70M,-189.80M,-189.80M,-10.30M,908.80M,,3.189B,-117.60M,7.50M,3.078B,,54.40M,2.013B,-2.036B,-616.10M,,AOR,Restated
2014-01,681.30M,,3.00M,3.00M,343.10M,343.10M,-8.60M,26.30M,23.20M,-12.50M,228.60M,-836.80M,-1.387B,,190.90M,-1.804B,-746.20M,,-502.30M,276.40M,-225.90M,303.70M,181.20M,414.30M,673.30M,,1.141B,-736.70M,404.40M,54.30M,-477.30M,-423.00M,-192.50M,-192.50M,1.60M,-209.50M,,3.504B,-282.40M,-33.00M,3.189B,,54.30M,2.241B,-1.10B,-477.30M,,AOR,Restated
2013-10,807.00M,,1.30M,1.30M,299.10M,299.10M,24.60M,51.60M,18.00M,86.60M,505.60M,225.80M,625.70M,,14.70M,1.372B,2.666B,,-745.40M,244.40M,-501.00M,-83.50M,80.60M,-1.414B,-1.918B,,-97.60M,736.50M,638.90M,12.10M,-779.50M,-767.40M,-196.60M,-196.60M,-14.50M,-339.60M,,3.090B,409.20M,4.50M,3.504B,,12.10M,961.30M,-1.059B,-779.50M,,AOR,Restated
2013-07,996.60M,,-1.30M,-1.30M,286.80M,286.80M,-93.40M,50.40M,17.70M,-84.50M,-184.40M,280.90M,256.40M,,213.50M,566.40M,1.744B,,-607.60M,185.90M,-421.70M,22.00M,-330.60M,-1.194B,-1.924B,,-422.30M,671.30M,249.00M,12.70M,-463.90M,-451.20M,-198.70M,-198.70M,-4.20M,-405.10M,,3.651B,-585.10M,24.00M,3.090B,,12.70M,1.302B,-1.724B,-463.90M,,AOR,Restated
2013-04,1.084B,,-6.50M,-6.50M,277.30M,277.30M,-83.20M,0.00,22.70M,110.80M,-2.001B,-66.10M,874.10M,,-128.60M,-1.322B,93.00M,,-530.70M,257.00M,-273.70M,0.00,-22.70M,-899.30M,-1.196B,,797.10M,649.70M,1.447B,32.10M,-191.60M,-159.50M,-178.90M,-178.90M,-4.90M,1.104B,,3.672B,0.80M,-21.50M,3.651B,,32.10M,1.593B,-795.60M,-191.60M,,AOR,Restated
2013-01,649.60M,,15.60M,15.60M,277.10M,277.10M,-20.60M,,22.30M,-160.50M,432.90M,-1.169B,-1.539B,,242.80M,-2.032B,-1.249B,,-491.60M,249.40M,-242.20M,0.00,90.30M,368.80M,216.90M,,-501.70M,691.90M,190.20M,117.60M,-96.40M,21.20M,-178.70M,-178.70M,15.00M,47.70M,,4.652B,-984.80M,4.70M,3.672B,,117.60M,877.80M,-1.380B,-96.40M,,AOR,Restated
2012-10,688.90M,,9.10M,9.10M,261.50M,261.50M,113.50M,33.40M,18.40M,56.50M,-24.10M,522.00M,664.20M,,-39.30M,1.123B,2.303B,,-800.30M,216.40M,-583.90M,-0.20M,75.00M,-1.080B,-1.589B,,1.387B,-340.50M,1.046B,23.90M,-362.40M,-338.50M,-181.60M,-181.60M,0.10M,526.10M,,3.398B,1.240B,14.30M,4.652B,,23.90M,2.386B,-999.20M,-362.40M,,AOR,Restated
2012-07,790.20M,,-2.50M,-2.50M,244.00M,244.00M,-81.20M,0.00,18.40M,-137.40M,-743.30M,-12.30M,506.60M,,-185.10M,-434.10M,391.90M,,-488.60M,164.30M,-324.30M,10.20M,-202.40M,-570.20M,-1.087B,,1.838B,-62.20M,1.776B,8.20M,-479.00M,-470.80M,-183.30M,-183.30M,-22.30M,1.100B,,3.020B,404.80M,-27.10M,3.398B,,8.20M,4.199B,-2.361B,-479.00M,,AOR,Restated
2012-04,1.058B,,-5.50M,-5.50M,255.40M,255.40M,-95.90M,,18.20M,16.80M,-1.688B,-570.80M,745.80M,,-46.50M,-1.56B,-300.50M,,-444.70M,196.50M,-248.20M,13.30M,-219.90M,-837.40M,-1.292B,,926.00M,815.80M,1.742B,10.00M,-358.40M,-348.40M,-165.20M,-165.20M,-13.80M,1.214B,,3.388B,-378.30M,9.80M,3.020B,,10.00M,2.647B,-1.721B,-358.40M,,AOR,Restated
2012-01,534.40M,,0.70M,0.70M,243.30M,243.30M,-28.20M,,19.50M,-169.50M,215.80M,-1.449B,-854.80M,,261.90M,-1.826B,-1.227B,,-387.40M,222.30M,-165.10M,6.90M,-334.60M,456.40M,-36.40M,,1.095B,481.80M,1.577B,18.90M,-387.90M,-369.00M,-167.80M,-167.80M,-0.10M,1.040B,,3.647B,-223.10M,-35.80M,3.388B,,18.90M,1.410B,-315.00M,-387.90M,,AOR,Restated
2011-10,672.00M,,10.00M,10.00M,237.00M,237.00M,156.80M,,18.20M,92.40M,-130.20M,44.10M,715.10M,,-120.90M,508.10M,1.690B,,-601.90M,160.60M,-441.30M,16.70M,-322.90M,-806.30M,-1.554B,,1.714B,-1.070B,643.90M,4.10M,-573.80M,-569.70M,-170.90M,-170.90M,-8.90M,-105.60M,,3.618B,30.80M,-1.90M,3.647B,,4.10M,2.140B,-425.60M,-573.80M,,AOR,Restated
2011-07,714.70M,,-3.00M,-3.00M,229.20M,229.20M,-14.50M,,17.70M,-190.70M,249.60M,-151.00M,287.60M,,157.70M,543.90M,1.301B,,-372.20M,139.40M,-232.80M,-13.30M,-216.40M,-614.90M,-1.077B,,61.40M,41.10M,102.50M,5.20M,-492.00M,-486.80M,-147.20M,-147.20M,-9.30M,-540.80M,,3.950B,-316.80M,-14.70M,3.618B,,5.20M,2.074B,-2.013B,-492.00M,,AOR,Restated
2011-04,906.80M,,-4.50M,-4.50M,229.70M,229.70M,-125.20M,,18.10M,-116.40M,-1.118B,-527.50M,731.60M,,235.00M,-679.30M,235.00M,,-399.40M,186.90M,-212.50M,1.90M,-3.90M,-757.80M,-972.30M,,783.60M,783.70M,1.567B,71.80M,-299.00M,-227.20M,-147.80M,-147.80M,18.70M,1.211B,,3.438B,473.70M,38.10M,3.950B,,71.80M,1.112B,-328.60M,-299.00M,,AOR,Restated
2011-01,514.30M,,8.60M,8.60M,219.00M,219.00M,-185.10M,,15.00M,-51.30M,-110.00M,-1.096B,-447.30M,,224.70M,-1.429B,-900.30M,,-307.30M,196.50M,-110.80M,845.00M,-11.30M,259.90M,982.80M,,-125.10M,19.50M,-105.60M,88.90M,-302.20M,-213.30M,-127.20M,-127.20M,21.10M,-425.00M,,3.791B,-342.50M,-10.10M,3.438B,,88.90M,328.40M,-453.50M,-302.20M,,AOR,Restated
2010-10,459.40M,,-1.20M,-1.20M,221.90M,221.90M,68.40M,,9.70M,53.50M,74.20M,15.20M,437.80M,,-193.60M,333.60M,1.194B,,-473.50M,158.40M,-315.10M,7.50M,6.50M,-792.00M,-1.093B,,-291.90M,516.10M,224.20M,61.10M,-256.00M,-194.90M,-127.30M,-127.30M,10.90M,-87.10M,,3.754B,13.90M,23.00M,3.791B,,61.10M,784.20M,-1.076B,-256.00M,,AOR,Restated
2010-07,619.50M,,-5.50M,-5.50M,229.50M,229.50M,-2.50M,,9.80M,-1.30M,51.20M,-313.00M,161.30M,,-103.00M,-203.50M,671.50M,,-319.90M,203.30M,-116.60M,17.70M,5.00M,-472.00M,-565.90M,,-93.30M,317.20M,223.90M,24.50M,-99.00M,-74.50M,-118.60M,-118.60M,-2.60M,28.20M,,3.615B,133.80M,5.00M,3.754B,,24.50M,897.10M,-990.40M,-99.00M,,AOR,Restated
2010-04,549.80M,,-4.20M,-4.20M,222.00M,222.00M,69.80M,,11.60M,190.00M,-1.015B,-406.70M,875.50M,,208.50M,-337.50M,734.90M,,-302.20M,193.60M,-108.60M,-22.80M,-21.50M,-669.70M,-822.60M,,-542.90M,-648.90M,-1.192B,19.00M,0.00,19.00M,-119.10M,-119.10M,-4.70M,-1.297B,,5.043B,-1.384B,-44.10M,3.615B,,19.00M,604.70M,-1.148B,0.00,,AOR,Restated
2010-01,245.60M,,8.70M,8.70M,241.40M,241.40M,39.30M,,40.10M,95.30M,-205.60M,-348.20M,-416.90M,,-43.90M,-1.015B,-318.30M,,-217.20M,158.90M,-58.30M,-13.00M,-15.00M,458.80M,372.50M,,-126.50M,571.60M,445.10M,24.50M,-3.80M,20.70M,-118.50M,-118.50M,-1.50M,345.80M,,4.652B,400.00M,-8.40M,5.043B,,24.50M,335.10M,-461.60M,-3.80M,,AOR,Restated
2009-10,-222.90M,,6.20M,6.20M,220.10M,220.10M,249.50M,,6.60M,82.90M,743.70M,540.60M,-265.90M,,-241.30M,777.10M,1.502B,,-375.90M,137.10M,-238.80M,-2.40M,-7.80M,-291.60M,-540.60M,,490.50M,-992.10M,-501.60M,7.00M,0.00,7.00M,-118.50M,-118.50M,-16.80M,-629.90M,,4.315B,331.30M,5.60M,4.652B,,7.00M,1.55B,-1.060B,0.00,,AOR,Restated
2009-07,419.60M,,2.50M,2.50M,222.50M,222.50M,-4.60M,,7.60M,-108.30M,862.70M,538.40M,-288.00M,,-31.10M,1.082B,1.664B,,-315.80M,113.70M,-202.10M,-3.10M,5.30M,-460.80M,-660.70M,,-304.90M,-1.197B,-1.502B,5.40M,0.00,5.40M,-0.40M,-0.40M,-7.60M,-1.504B,,4.797B,-501.30M,18.90M,4.315B,,5.40M,521.20M,-826.10M,0.00,,AOR,Restated
2009-04,472.20M,,2.20M,2.20M,213.80M,213.80M,-103.20M,,10.60M,92.50M,-841.60M,247.50M,268.00M,,16.50M,-309.60M,434.60M,,-279.70M,108.60M,-171.10M,-3.40M,41.60M,5.40M,-127.50M,,77.80M,-352.80M,-275.00M,1.00M,0.00,1.00M,-236.30M,-236.30M,-17.40M,-527.70M,,5.004B,-220.60M,13.70M,4.797B,,1.00M,1.369B,-1.292B,0.00,,AOR,Restated
2009-01,204.00M,,-3.90M,-3.90M,216.90M,216.90M,29.90M,,45.70M,-102.50M,-283.00M,-874.00M,-882.40M,,-6.20M,-2.046B,-1.616B,,-336.70M,117.90M,-218.80M,-40.90M,756.50M,775.00M,1.272B,,2.189B,1.157B,3.346B,3.10M,-3.20M,-0.10M,-118.20M,-118.20M,-95.50M,3.132B,,2.211B,2.789B,4.00M,5.004B,,3.10M,2.842B,-653.10M,-3.20M,,AOR,Restated
2008-10,346.00M,,-0.50M,-0.50M,204.10M,204.10M,232.80M,,6.90M,-61.30M,228.30M,17.50M,192.30M,,-190.00M,248.10M,1.006B,,-670.10M,110.80M,-559.30M,-10.00M,-49.60M,-423.80M,-1.043B,,366.70M,-473.30M,-106.60M,1.90M,-319.60M,-317.70M,-120.20M,-120.20M,-11.00M,-555.50M,,2.823B,-591.80M,-19.60M,2.211B,,1.90M,1.920B,-1.553B,-319.60M,,AOR,Restated
2008-07,575.20M,,-1.30M,-1.30M,218.80M,218.80M,-42.50M,,9.60M,-170.20M,613.10M,104.90M,153.20M,,-19.90M,851.30M,1.465B,,-317.40M,115.50M,-201.90M,-205.10M,37.10M,-401.30M,-771.20M,,346.60M,-70.10M,276.50M,6.80M,-356.50M,-349.70M,-108.10M,-108.10M,13.10M,-168.20M,,2.288B,525.80M,9.20M,2.823B,,6.80M,1.552B,-1.206B,-356.50M,,,Restated
2008-04,763.40M,,-11.10M,-11.10M,208.40M,208.40M,-80.40M,,8.60M,100.70M,-1.323B,-304.80M,735.40M,,181.60M,-710.60M,302.40M,,-308.40M,114.20M,-194.20M,20.40M,137.20M,-232.30M,-268.90M,,1.024B,246.60M,1.270B,31.50M,-520.00M,-488.50M,-109.40M,-109.40M,10.50M,682.90M,,1.496B,716.40M,75.10M,2.288B,,31.50M,1.810B,-786.60M,-520.00M,,,Restated
2008-01,369.10M,,-5.80M,-5.80M,199.70M,199.70M,-20.20M,,45.50M,-79.80M,53.00M,-1.013B,-378.80M,,-12.10M,-1.351B,-825.00M,,-312.30M,125.20M,-187.10M,-15.60M,472.40M,387.10M,656.80M,,-2.20M,-116.20M,-118.40M,68.70M,-481.50M,-412.80M,-110.40M,-110.40M,33.90M,-607.70M,,2.279B,-775.90M,-6.40M,1.496B,,68.70M,1.038B,-1.040B,-481.50M,,,Restated
2007-10,422.20M,,,11.80M,190.90M,190.90M,79.70M,,,-94.00M,705.90M,107.90M,62.30M,,-165.50M,710.60M,1.474B,,-456.70M,86.80M,-369.90M,32.80M,426.50M,-698.50M,-609.10M,,,,86.60M,39.30M,-400.80M,-361.50M,,-98.30M,25.30M,-347.90M,,1.773B,517.20M,-11.80M,2.279B,,39.30M,,,-400.80M,,,Restated
2007-07,537.20M,,,-111.80M,186.10M,186.10M,53.60M,,,126.30M,594.70M,219.40M,114.20M,,-274.80M,653.50M,1.445B,,-304.80M,100.20M,-204.60M,-144.90M,-177.60M,-607.50M,-1.135B,,,,-3.00M,67.80M,-522.00M,-454.20M,,-99.60M,17.60M,-539.20M,,1.984B,-228.90M,18.40M,1.773B,,67.80M,,,-522.00M,,,
2007-04,623.60M,,,58.40M,181.70M,181.70M,-133.60M,,,-67.90M,-1.139B,-104.70M,660.60M,,447.00M,-135.90M,526.30M,,-325.90M,73.40M,-252.50M,,-450.60M,-38.80M,-741.90M,,,,1.198B,97.50M,-392.40M,-294.90M,,-100.10M,24.80M,827.40M,,1.341B,611.80M,30.80M,1.984B,,97.50M,,,-392.40M,,,
