,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,,SECFilingLinks,AsOriginallyReported,Restated
2018-04,2.681B,435.90M,3.117B,368.31M,368.31M,4.370B,4.370B,567.06M,,,8.422B,0.00,1.378B,,5.455B,,3.246B,10.08B,-5.053B,5.026B,98.61M,,98.61M,3.178M,456.96M,5.585B,14.01B,,2018-04,2.509B,2.756B,2.221B,4.977B,,,,,,,,,4.977B,,2.231B,,2.231B,260.65M,260.65M,,,1.276B,3.768B,2018-04,625.20M,5.193B,0.00,,,2018-04,AOR,Restated
2018-01,2.758B,506.16M,3.265B,327.17M,327.17M,4.187B,4.187B,706.68M,,,8.486B,0.00,1.356B,,5.358B,,3.255B,9.968B,-4.962B,5.006B,100.07M,,100.07M,6.558M,459.61M,5.572B,14.06B,,2018-01,2.488B,3.002B,724.00M,3.726B,,,,,,,,713.63M,5.126B,138.01M,2.231B,221.92M,2.453B,277.81M,277.81M,263.18M,442.62M,33.25M,3.784B,2018-01,1.256B,4.334B,0.00,,,2018-01,AOR,Restated
2017-10,2.364B,511.62M,2.876B,345.87M,365.60M,4.726B,4.726B,422.72M,,,8.390B,0.00,1.295B,,5.172B,,3.146B,9.613B,-4.755B,4.858B,196.36M,,196.36M,6.655M,426.36M,5.488B,13.88B,,2017-10,2.986B,3.107B,2.361B,5.468B,,,,,,,,,5.468B,,2.230B,,2.230B,374.28M,374.28M,,,1.160B,3.764B,2017-10,632.30M,4.616B,0.00,,,2017-10,AOR,Restated
2017-07,2.449B,502.76M,2.952B,305.40M,323.84M,3.864B,3.864B,427.43M,,,7.568B,0.00,1.271B,,5.234B,,3.089B,9.594B,-4.850B,4.745B,197.52M,,197.52M,6.501M,419.12M,5.368B,12.94B,,2017-07,2.347B,2.449B,2.208B,4.657B,,,,,,,,,4.657B,,2.229B,,2.229B,392.65M,392.65M,,,1.117B,3.738B,2017-07,636.27M,4.465B,0.00,,,2017-07,AOR,Restated
2017-04,2.669B,457.09M,3.127B,317.22M,334.36M,3.736B,3.736B,351.44M,,,7.548B,0.00,1.256B,,5.020B,,2.963B,9.238B,-4.637B,4.601B,195.58M,,195.58M,6.347M,412.00M,5.215B,12.76B,,2017-04,2.175B,2.584B,2.022B,4.605B,,,,,,,,,4.605B,,2.228B,,2.228B,304.69M,304.69M,,,1.072B,3.605B,2017-04,643.28M,4.606B,0.00,,,2017-04,AOR,Restated
2017-01,2.930B,543.24M,3.473B,258.83M,258.83M,3.645B,3.645B,373.89M,,,7.751B,0.00,1.248B,,4.872B,,2.884B,9.003B,-4.471B,4.533B,195.87M,,195.87M,6.193M,398.08M,5.133B,12.88B,,2017-01,2.231B,2.807B,772.80M,3.580B,,,,,,,,547.52M,4.758B,123.46M,2.228B,176.23M,2.404B,350.71M,350.71M,231.68M,471.73M,34.14M,3.616B,2017-01,646.32M,4.559B,0.00,,,2017-01,AOR,Restated
2016-10,2.376B,450.80M,2.826B,306.43M,321.84M,4.384B,4.384B,409.99M,,,7.942B,0.00,1.119B,,5.470B,,2.937B,9.525B,-5.206B,4.319B,,,343.83M,3.624M,258.22M,4.925B,12.87B,,2016-10,2.687B,2.739B,2.156B,4.895B,,,,,,,,,4.895B,,2.227B,,2.227B,317.11M,317.11M,,,1.098B,3.643B,2016-10,651.90M,4.479B,,,,2016-10,AOR,Restated
2016-07,1.804B,421.15M,2.225B,288.78M,302.74M,3.871B,3.871B,412.53M,,,6.811B,0.00,1.078B,,5.383B,,2.936B,9.396B,-5.133B,4.263B,,,344.85M,6.861M,244.89M,4.860B,11.67B,,2016-07,2.258B,2.329B,1.985B,4.314B,,,,,,,,,4.314B,,1.616B,,1.616B,360.18M,360.18M,,,928.96M,2.905B,2016-07,656.64M,4.454B,0.00,,,2016-07,AOR,Restated
2016-04,1.944B,403.70M,2.348B,281.63M,294.14M,3.905B,3.905B,330.71M,,,6.878B,0.00,1.049B,,5.279B,,2.971B,9.299B,-5.069B,4.230B,,,346.45M,10.11M,240.76M,4.827B,11.70B,,2016-04,2.137B,2.363B,1.934B,4.297B,,,,,,,,,4.297B,,1.615B,,1.615B,349.00M,349.00M,,,908.54M,2.873B,2016-04,661.08M,4.410B,0.00,,,2016-04,AOR,Restated
2016-01,2.095B,352.31M,2.448B,238.07M,238.07M,3.695B,3.695B,391.59M,,,6.773B,0.00,1.013B,,4.413B,,2.818B,8.244B,-4.106B,4.138B,193.91M,,193.91M,13.83M,372.55M,4.718B,11.49B,,2016-01,2.203B,2.608B,708.86M,3.317B,,,,,,,,511.01M,4.402B,117.80M,1.615B,85.21M,1.700B,318.50M,318.50M,216.04M,418.16M,10.41M,2.781B,2016-01,663.50M,4.311B,0.00,,,2016-01,AOR,Restated
2015-10,1.723B,399.71M,2.123B,273.86M,289.73M,4.442B,4.442B,372.51M,120.88M,,7.348B,0.00,917.65M,,5.057B,,2.951B,8.925B,-4.858B,4.067B,,,342.06M,19.90M,215.33M,4.644B,11.99B,,2015-10,2.697B,2.773B,1.957B,4.730B,,,,,,,,,4.730B,,1.624B,,1.624B,380.79M,380.79M,,,907.09M,2.912B,2015-10,669.53M,4.226B,0.00,,,2015-10,AOR,Restated
2015-07,1.911B,327.51M,2.238B,260.95M,275.70M,3.750B,3.750B,405.03M,128.20M,,6.797B,0.00,905.39M,,4.937B,,2.887B,8.729B,-4.733B,3.996B,,,308.54M,21.45M,218.24M,4.544B,11.34B,,2015-07,2.259B,2.327B,1.834B,4.161B,,,,,,,,,4.161B,,1.624B,,1.624B,391.87M,391.87M,,,888.28M,2.904B,2015-07,674.37M,4.139B,0.00,,,2015-07,AOR,Restated
2015-04,2.260B,328.83M,2.589B,263.47M,277.08M,3.532B,3.532B,327.06M,147.57M,,6.872B,0.00,902.49M,,4.830B,,2.837B,8.570B,-4.633B,3.937B,,,309.31M,23.00M,224.82M,4.494B,11.37B,,2015-04,2.153B,2.395B,1.741B,4.137B,,,,,,,,,4.137B,,1.624B,,1.624B,436.82M,436.82M,,,878.39M,2.939B,2015-04,680.38M,4.117B,0.00,,,2015-04,AOR,Restated
2015-01,2.494B,282.62M,2.776B,213.82M,226.30M,3.218B,3.218B,356.82M,,,6.577B,0.00,888.58M,,4.671B,,2.781B,8.341B,-4.472B,3.868B,,,309.87M,22.53M,210.54M,4.411B,10.99B,,2015-01,2.008B,2.373B,618.38M,2.992B,,,,,,,,467.06M,3.930B,97.86M,1.624B,60.73M,1.685B,310.97M,310.97M,203.22M,460.09M,38.15M,2.795B,2015-01,684.73M,4.134B,,,,2015-01,AOR,Restated
2014-10,2.154B,277.22M,2.431B,260.94M,260.94M,3.959B,3.959B,381.24M,122.94M,,7.155B,0.00,808.36M,,4.652B,,2.836B,8.297B,-4.447B,3.850B,,,310.74M,25.80M,251.08M,4.437B,11.59B,,2014-10,2.554B,2.602B,1.787B,4.390B,,,,,,,,,4.390B,,1.624B,,1.624B,463.74M,463.74M,,,741.10M,2.829B,2014-10,688.90M,3.929B,0.00,,,2014-10,AOR,Restated
2014-07,2.183B,285.00M,2.468B,242.55M,242.55M,3.388B,3.388B,380.67M,114.03M,,6.594B,0.00,755.89M,,4.565B,,2.829B,8.150B,-4.374B,3.776B,,,311.44M,27.70M,213.05M,4.328B,10.92B,,2014-07,2.148B,2.179B,1.646B,3.825B,,,,,,,,,3.825B,,1.624B,,1.624B,470.74M,470.74M,,,727.91M,2.822B,2014-07,692.94M,3.749B,0.00,,,2014-07,AOR,Restated
2014-04,2.059B,259.89M,2.319B,255.78M,255.78M,3.208B,3.208B,319.02M,133.11M,,6.236B,0.00,732.44M,,4.402B,,2.773B,7.907B,-4.262B,3.646B,,,312.07M,29.60M,207.14M,4.194B,10.43B,,2014-04,1.956B,2.173B,1.533B,3.705B,,,,,,,,,3.705B,,1.274B,,1.274B,475.07M,475.07M,,,691.87M,2.441B,2014-04,700.31M,3.745B,0.00,,,2014-04,AOR,Restated
2014-01,2.150B,294.70M,2.444B,210.09M,210.09M,2.966B,2.966B,345.33M,101.64M,,6.068B,0.00,722.64M,,4.255B,,2.720B,7.698B,-4.104B,3.595B,,,312.69M,31.51M,194.33M,4.133B,10.20B,,2014-01,1.771B,1.939B,460.76M,2.399B,27.44M,,,,,,,612.06M,3.518B,122.93M,1.274B,0.00,1.274B,496.30M,496.30M,195.59M,334.85M,29.41M,2.453B,2014-01,705.02M,3.724B,0.00,,,2014-01,AOR,Restated
2013-10,2.011B,251.28M,2.262B,250.89M,250.89M,3.663B,3.663B,345.04M,102.45M,,6.624B,0.00,694.35M,,4.157B,,2.676B,7.528B,-3.987B,3.541B,,,313.46M,,191.67M,4.046B,10.67B,,2013-10,2.346B,2.375B,1.668B,4.044B,,,,,,,,,4.044B,,1.274B,,1.274B,396.31M,396.31M,,,831.23M,2.502B,2013-10,711.20M,3.641B,0.00,,,2013-10,AOR,Restated
2013-07,1.859B,231.21M,2.090B,221.16M,221.16M,3.188B,3.188B,359.02M,91.56M,,5.950B,0.00,660.93M,,4.005B,,2.588B,7.254B,-3.876B,3.378B,,,314.11M,,283.85M,3.976B,9.926B,,2013-07,1.940B,1.962B,1.481B,3.443B,,,,0.00,0.00,,,,3.443B,,1.274B,,1.274B,375.35M,375.35M,,,983.52M,2.633B,2013-07,715.24M,3.395B,0.00,,,2013-07,AOR,Restated
2013-04,1.990B,238.04M,2.228B,257.98M,257.98M,3.091B,3.091B,291.11M,107.70M,,5.976B,0.00,630.56M,,3.880B,,2.542B,7.052B,-3.779B,3.273B,,,312.95M,,277.95M,3.864B,9.840B,,2013-04,1.847B,2.057B,1.442B,3.499B,,,,0.00,0.00,,,,3.499B,,1.274B,0.00,1.274B,368.24M,368.24M,,,936.71M,2.579B,2013-04,719.77M,3.272B,0.00,,,2013-04,AOR,Restated
2013-01,1.812B,235.85M,2.048B,222.79M,222.79M,3.014B,3.014B,330.51M,96.22M,,5.712B,0.00,607.76M,,3.772B,,2.515B,6.895B,-3.672B,3.223B,,,316.27M,0.00,260.80M,3.800B,9.512B,,2013-01,1.931B,2.204B,427.60M,2.632B,33.42M,,,,,,,581.32M,3.761B,122.15M,774.55M,,774.55M,606.68M,606.68M,164.59M,395.28M,22.07M,2.085B,2013-01,723.90M,3.155B,0.00,,,2013-01,AOR,Restated
2012-10,1.642B,200.99M,1.843B,238.25M,238.25M,,3.297B,231.76M,84.64M,,5.695B,0.00,529.86M,,3.719B,,2.483B,6.732B,-3.676B,3.056B,,,179.95M,,241.81M,3.477B,9.172B,,2012-10,2.059B,2.086B,1.513B,3.599B,,,,0.00,0.00,,,,3.599B,,774.53M,0.00,774.53M,411.31M,411.31M,,,920.86M,2.107B,2012-10,729.25M,2.902B,0.00,,,2012-10,AOR,Restated
2012-07,1.620B,176.30M,1.797B,202.14M,202.14M,,3.008B,250.69M,83.53M,,5.341B,32.57M,406.52M,,3.613B,,2.406B,6.458B,-3.602B,2.856B,,,179.93M,,260.09M,3.296B,8.637B,,2012-07,1.863B,1.876B,1.338B,3.214B,,,,11.66M,11.66M,,,,3.225B,,774.51M,0.00,774.51M,386.48M,386.48M,,,860.14M,2.021B,2012-07,736.10M,2.853B,0.00,,,2012-07,AOR,Restated
2012-04,1.564B,174.87M,1.739B,232.88M,232.88M,,2.910B,242.07M,108.50M,,5.232B,0.00,412.54M,,3.529B,,2.418B,6.360B,-3.532B,2.828B,,,179.98M,,263.55M,3.271B,8.503B,,2012-04,1.758B,1.933B,1.216B,3.149B,,,,3.03M,3.03M,,,,3.152B,,774.50M,9.367M,783.86M,382.93M,382.93M,,,852.76M,2.020B,2012-04,740.95M,2.744B,0.00,,,2012-04,AOR,Restated
2012-01,1.507B,94.69M,1.602B,204.30M,204.30M,2.951B,2.951B,270.13M,105.87M,,5.133B,0.00,349.78M,,3.427B,,2.344B,6.121B,-3.406B,2.715B,,,179.94M,,253.91M,3.149B,8.282B,,2012-01,1.645B,1.815B,376.42M,2.191B,29.20M,,,2.97M,2.97M,,,436.60M,3.063B,114.51M,774.48M,10.15M,784.62M,612.07M,612.07M,163.63M,302.22M,31.85M,2.009B,2012-01,746.70M,2.655B,0.00,,,2012-01,AOR,Restated
2011-10,956.93M,71.74M,1.029B,235.98M,235.98M,,3.706B,366.18M,81.20M,,5.418B,0.00,344.88M,,3.407B,,2.333B,6.084B,-3.376B,2.708B,,,179.96M,,224.69M,3.113B,8.531B,,2011-10,2.048B,2.048B,1.328B,3.377B,,,,2.912M,2.912M,,,,3.380B,,774.46M,10.91M,785.37M,462.38M,462.38M,,,720.40M,1.968B,2011-10,377.14M,2.889B,0.00,,,2011-10,AOR,Restated
2011-07,977.76M,82.10M,1.060B,218.08M,218.08M,,3.368B,316.63M,66.41M,,5.029B,32.57M,359.21M,,3.495B,,2.264B,6.151B,-3.490B,2.660B,,,180.04M,,227.58M,3.068B,8.097B,,2011-07,1.922B,1.929B,1.259B,3.188B,,,,2.854M,2.854M,,,,3.191B,,774.44M,11.66M,786.10M,295.97M,295.97M,,,718.72M,1.801B,2011-07,380.98M,2.770B,0.00,,,2011-07,AOR,Restated
2011-04,1.377B,85.35M,1.462B,231.12M,231.12M,,3.015B,227.07M,72.93M,,5.008B,0.00,337.05M,,3.398B,,2.247B,5.982B,-3.407B,2.575B,,,180.07M,,221.08M,2.976B,7.984B,,2011-04,1.786B,1.883B,1.217B,3.099B,,,,2.798M,2.798M,,,,3.102B,,774.42M,12.40M,786.82M,256.08M,256.08M,,,716.33M,1.759B,2011-04,386.11M,2.768B,0.00,,,2011-04,AOR,Restated
2011-01,1.742B,76.26M,1.818B,200.15M,200.15M,,2.765B,249.83M,66.07M,,5.100B,0.00,320.63M,,3.256B,10.98M,2.112B,5.700B,-3.239B,2.461B,72.20M,107.74M,179.94M,,231.52M,2.872B,7.972B,,2011-01,1.684B,1.782B,1.348B,3.130B,,,,2.727M,2.727M,,,,3.133B,,774.40M,13.12M,787.52M,241.90M,241.90M,,,709.32M,1.739B,2011-01,389.66M,2.802B,0.00,,,2011-01,AOR,Restated
2010-07,1.380B,139.23M,1.519B,171.20M,171.20M,,2.885B,277.77M,95.95M,,4.949B,0.00,286.06M,,3.229B,,2.050B,5.565B,-3.214B,2.350B,179.88M,,179.88M,,207.54M,2.738B,7.687B,,2010-07,1.848B,1.855B,1.117B,2.972B,,,,2.529M,2.529M,,,,2.975B,,774.36M,14.52M,788.88M,230.20M,230.20M,,,719.32M,1.738B,2010-07,400.66M,2.706B,0.00,,,2010-07,AOR,Restated
2010-04,1.833B,126.07M,1.959B,168.04M,168.04M,,2.615B,240.42M,122.54M,,5.105B,0.00,282.30M,,3.141B,,1.986B,5.410B,-3.143B,2.267B,179.90M,,179.90M,,202.16M,2.649B,7.755B,,2010-04,1.685B,1.933B,1.079B,3.012B,,,,2.434M,2.434M,,,,3.015B,,774.34M,15.19M,789.54M,222.84M,222.84M,,,688.12M,1.700B,2010-04,407.98M,2.769B,,,,2010-04,AOR,Restated
2010-01,1.615B,130.64M,1.745B,148.13M,148.13M,,2.532B,255.71M,122.46M,,4.804B,0.00,281.53M,,3.087B,13.22M,1.931B,5.313B,-3.026B,2.287B,72.10M,107.69M,179.79M,,193.23M,2.660B,7.464B,,2010-01,1.508B,1.645B,1.248B,2.893B,,,,2.355M,2.355M,,,,2.895B,,774.32M,15.84M,790.17M,192.45M,192.45M,,,697.10M,1.680B,2010-01,409.39M,2.614B,0.00,,,2010-01,AOR,Restated
2009-10,1.446B,76.64M,1.522B,163.56M,163.56M,,3.268B,259.36M,117.79M,,5.331B,0.00,277.59M,1.911B,3.020B,,32.57M,5.241B,-2.966B,2.274B,179.77M,,179.77M,,198.34M,2.652B,7.983B,,2009-10,1.839B,1.839B,1.205B,3.043B,,200.36M,200.36M,2.309M,202.67M,,,,3.246B,,774.31M,16.45M,790.76M,263.07M,263.07M,,,742.59M,1.796B,2009-10,419.71M,2.606B,34.72M,,,2009-10,AOR,Restated
2009-07,1.427B,134.63M,1.562B,145.39M,145.39M,,3.100B,295.77M,108.85M,,5.212B,0.00,277.46M,1.865B,2.959B,,32.57M,5.134B,-2.891B,2.244B,179.78M,,179.78M,,200.95M,2.624B,7.836B,,2009-07,1.740B,1.740B,1.068B,2.808B,,418.94M,418.94M,2.263M,421.21M,,,,3.230B,,774.29M,17.04M,791.33M,229.99M,229.99M,,,753.25M,1.775B,2009-07,423.85M,2.308B,215.57M,,,2009-07,AOR,Restated
2009-04,1.012B,56.75M,1.069B,150.41M,150.41M,,2.818B,231.07M,138.49M,,4.407B,0.00,277.09M,1.768B,2.834B,,32.57M,4.911B,-2.744B,2.168B,,,179.59M,,184.73M,2.532B,6.939B,,2009-04,1.551B,1.602B,982.16M,2.584B,,742.23M,742.23M,2.218M,744.44M,,,,3.328B,,374.30M,17.63M,391.93M,148.95M,148.95M,,,734.26M,1.275B,2009-04,413.53M,2.099B,11.67M,,,2009-04,AOR,Restated
2009-01,453.53M,0.00,453.53M,143.50M,143.50M,,2.619B,274.09M,135.68M,,3.626B,0.00,280.28M,,2.784B,,1.761B,4.826B,-2.624B,2.201B,71.80M,107.73M,179.53M,,171.38M,2.552B,6.178B,,2009-01,1.276B,1.276B,1.097B,2.373B,,392.85M,392.85M,2.175M,395.03M,,,,2.768B,,365.58M,18.20M,383.78M,127.01M,127.01M,,,765.00M,1.276B,2009-01,412.82M,1.940B,,,,2009-01,,Restated
2008-10,387.35M,,387.35M,166.55M,166.55M,,3.279B,331.52M,97.71M,,4.262B,0.00,279.25M,1.728B,2.719B,,,4.726B,-2.561B,2.164B,179.46M,,179.46M,,182.19M,2.526B,6.788B,,2008-10,1.758B,1.758B,1.311B,3.070B,,,108.06M,,108.06M,,,46.96M,3.225B,,748.61M,18.76M,767.37M,99.80M,99.80M,,,570.29M,1.437B,2008-10,416.34M,1.802B,,,,2008-10,,
2008-07,517.49M,,517.49M,141.83M,141.83M,,3.105B,308.25M,93.85M,,4.166B,0.00,278.49M,1.855B,2.799B,32.57M,,4.965B,-2.702B,2.263B,179.98M,,179.98M,,183.16M,2.626B,6.793B,,2008-07,1.746B,1.746B,1.236B,2.982B,,,2.09M,,2.09M,,,,2.984B,,832.79M,19.31M,852.10M,98.55M,98.55M,,,744.03M,1.695B,2008-07,419.41M,1.728B,,,,2008-07,,
2008-04,698.12M,,698.12M,172.77M,172.77M,,2.900B,180.64M,100.91M,,4.052B,0.00,277.89M,1.810B,2.723B,32.57M,,4.843B,-2.621B,2.222B,181.44M,,181.44M,,190.86M,2.594B,6.647B,,2008-04,1.678B,1.678B,1.115B,2.793B,,,2.048M,,2.048M,,,27.47M,2.823B,,832.60M,19.85M,852.44M,78.92M,78.92M,,,754.55M,1.686B,2008-04,424.70M,1.744B,,,,2008-04,,
2008-01,732.61M,,732.61M,143.29M,143.29M,,2.737B,215.55M,163.46M,,3.992B,0.00,277.99M,1.785B,2.675B,32.57M,,4.771B,-2.536B,2.235B,181.52M,,181.52M,,190.98M,2.608B,6.600B,,2008-01,1.517B,1.517B,919.38M,2.436B,,,2.008M,,2.008M,,,322.85M,2.761B,,833.09M,20.37M,853.46M,42.90M,42.90M,,,811.33M,1.708B,2008-01,427.95M,1.732B,,,,2008-01,,
2007-10,388.13M,,388.13M,192.48M,192.48M,,3.364B,243.93M,96.70M,,4.286B,0.00,277.12M,1.773B,2.664B,18.24M,,4.733B,-2.496B,2.237B,182.97M,,182.97M,8.878M,228.08M,2.656B,6.942B,,2007-10,1.819B,1.819B,1.311B,3.130B,,,1.968M,,1.968M,,,,3.132B,,839.35M,20.89M,860.24M,,,,,808.31M,1.669B,2007-10,437.02M,1.717B,,,,2007-10,,
2007-07,533.79M,,533.79M,147.50M,147.50M,,3.050B,299.79M,94.37M,,4.126B,0.00,275.12M,1.705B,2.510B,32.57M,,4.522B,-2.414B,2.108B,182.86M,,182.86M,,203.52M,2.494B,6.620B,,2007-07,1.715B,1.715B,1.155B,2.870B,,,1.929M,,1.929M,,,,2.872B,,812.28M,21.40M,833.67M,5.323M,5.323M,,,754.66M,1.594B,2007-07,444.62M,1.735B,,,,2007-07,,
